,https://roic.ai/company/JNPR,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,-7.1579,0.0351,0.3985,0.1851,-0.0953,0.1840,0.2730,0.3106,-0.3141,0.2481,0.2509,0.1394,0.2278,0.1779,0.1217,0.1657,0.0360,0.2289,0.2268,0.2265,0.1821,0.1605,0.1248,0.1156
17,Operating Income,-32300000,-14600000,194089000,40863000,-127037000,57011000,203210000,445730000,-997782000,407062000,694974000,310695000,767584000,618524000,308100000,565900000,-419700000,912000000,889700000,848100000,572200000,442200000,353100000,387500000
18,Operating Income ratio,-8.5000,-0.1423,0.2882,0.0461,-0.2324,0.0813,0.1521,0.2160,-0.4331,0.1435,0.1945,0.0937,0.1875,0.1390,0.0706,0.1212,-0.0907,0.1877,0.1783,0.1687,0.1231,0.0995,0.0794,0.0818
19,Total Other Income Expenses (Gains),2000000,8000000,36283000,-24326000,11887000,1983000,15808000,56469000,100733000,103521000,33917000,1366000,10570000,-46808000,-16600000,-40400000,333400000,-59800000,-62300000,-36300000,-39500000,-27800000,-87900000,-77400000
20,Income Before Tax,- -,-6600000,230372000,16537000,-115150000,58994000,219018000,502199000,-897049000,510583000,728891000,312061000,778154000,571716000,291500000,525500000,-86300000,852200000,827400000,811800000,532700000,414400000,265200000,310100000
21,Income Before Tax Ratio,- -,-0.0643,0.3421,0.0186,-0.2107,0.0841,0.1639,0.2433,-0.3894,0.1800,0.2040,0.0941,0.1901,0.1285,0.0668,0.1125,-0.0187,0.1754,0.1658,0.1615,0.1146,0.0932,0.0597,0.0655
22,Income Tax expense (Gain),- -,2400000,82456000,29954000,4500000,19795000,83272000,148170000,104388000,149753000,217142000,196833000,158781000,146704000,105000000,85700000,248000000,218500000,234700000,505600000,-34200000,69400000,7400000,57400000
23,Net Income,-31000000,-9000000,147916000,-13417000,-119650000,39199000,135746000,354029000,-1001437000,360830000,511749000,116999000,618402000,425136000,186500000,439800000,-334300000,633700000,592700000,306200000,566900000,345000000,257800000,252700000
24,Net Income ratio,-8.1579,-0.0877,0.2196,-0.0151,-0.2189,0.0559,0.1016,0.1715,-0.4347,0.1272,0.1433,0.0353,0.1511,0.0956,0.0427,0.0942,-0.0722,0.1304,0.1188,0.0609,0.1220,0.0776,0.0580,0.0534
25,EPS,-0.02,-0.02,0.49,-0.04,-0.34,0.10,0.28,0.64,-1.76,0.67,0.96,0.43,1.18,0.80,0.36,0.88,-0.73,1.62,1.58,0.81,1.62,1.01,0.78,0.76
26,EPS Diluted,-0.02,-0.02,0.43,-0.04,-0.34,0.10,0.25,0.59,-1.76,0.62,0.93,0.42,1.15,0.79,0.35,0.86,-0.73,1.59,1.55,0.80,1.60,0.99,0.77,0.76
27,Weighted Average Shares Outstanding,1328571429,567966000,304381000,319378000,350695000,382180000,493073000,554223000,567454000,537767000,530337000,523603000,522444000,529768000,520900000,501800000,457400000,390600000,381700000,377700000,349000000,343200000,330400000,324000000
28,Weighted Average Shares Outstanding Diluted,1328571429,937260000,347858000,319378000,350695000,403072000,542625000,598907000,567454000,579145000,551433000,534015000,538790000,541417000,526200000,510300000,457400000,399400000,387800000,384200000,354400000,348200000,335200000,331100000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1043604/000089161801000244/0000891618-01-000244-index.html,https://www.sec.gov/Archives/edgar/data/1043604/000089161802001586/0000891618-02-001586-index.html,https://www.sec.gov/Archives/edgar/data/1043604/000089161803001207/0000891618-03-001207-index.html,https://www.sec.gov/Archives/edgar/data/1043604/000089161804000620/0000891618-04-000620-index.html,https://www.sec.gov/Archives/edgar/data/1043604/000095013405004228/0000950134-05-004228-index.html,https://www.sec.gov/Archives/edgar/data/1043604/000095013406004424/f17833e10vk.htm,https://www.sec.gov/Archives/edgar/data/1043604/000089161807000146/f27855e10vk.htm,https://www.sec.gov/Archives/edgar/data/1043604/000095013408003762/f38434e10vk.htm,https://www.sec.gov/Archives/edgar/data/1043604/000095013409004211/0000950134-09-004211-index.html,https://www.sec.gov/Archives/edgar/data/1043604/000095012310018160/0000950123-10-018160-index.html,https://www.sec.gov/Archives/edgar/data/1043604/000144530511000332/juniper10k123110.htm,https://www.sec.gov/Archives/edgar/data/1043604/000104360412000006/0001043604-12-000006-index.html,https://www.sec.gov/Archives/edgar/data/1043604/000104360413000022/0001043604-13-000022-index.html,https://www.sec.gov/Archives/edgar/data/1043604/000104360414000038/jnpr-10k20131231.htm,https://www.sec.gov/Archives/edgar/data/1043604/000104360415000022/jnpr-10k20141231.htm,https://www.sec.gov/Archives/edgar/data/1043604/000104360416000219/0001043604-16-000219-index.html,https://www.sec.gov/Archives/edgar/data/1043604/000104360417000045/0001043604-17-000045-index.html,https://www.sec.gov/Archives/edgar/data/1043604/000104360418000011/0001043604-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/1043604/000104360419000012/0001043604-19-000012-index.html,https://www.sec.gov/Archives/edgar/data/1043604/000104360420000021/0001043604-20-000021-index.html,https://www.sec.gov/Archives/edgar/data/1043604/000104360421000013/0001043604-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1043604/000104360422000017/0001043604-22-000017-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,158000000,563005000,606845000,194435000,365606000,713182000,918401000,1596333000,1716110000,2019084000,1604723000,1811887000,2910420000,2407800000,2284000000,1639600000,1420900000,1833200000,2006500000,2489000000,1215800000,1361900000,922500000
32,Short-Term Investments,- -,187900000,581738000,382797000,384036000,215906000,404659000,510364000,443910000,240355000,172896000,570522000,474514000,641323000,441500000,561900000,332200000,527100000,752300000,1026100000,1070100000,738000000,412100000,315500000
33,Cash and Short-Term Investments,- -,345900000,1144743000,989642000,578471000,581512000,1117841000,1428765000,2040243000,1956465000,2191980000,2175245000,2286401000,3551743000,2849300000,2845900000,1971800000,1948000000,2585500000,3032600000,3559100000,1953800000,1774000000,1238000000
34,Net Receivables,- -,24000000,176535000,103524000,78501000,77964000,187306000,268907000,249445000,379759000,429970000,458652000,596622000,577386000,438400000,578300000,598900000,780700000,1054100000,852000000,754600000,879700000,964100000,994400000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,62500000,37500000,54500000,66600000,87600000,93800000,80600000,90600000,210200000,272600000
36,Other Current Assets,- -,7900000,27269000,32882000,23957000,31333000,108586000,120784000,232118000,218891000,194256000,245062000,331347000,310532000,250500000,242200000,346700000,117100000,244700000,206100000,187500000,285700000,322900000,451600000
37,Total Current Assets,- -,377800000,1348547000,1126048000,680929000,690809000,1413733000,1818456000,2521806000,2555115000,2816206000,2878959000,3214370000,4439661000,3600700000,3703900000,2971900000,2912400000,3971900000,4184500000,4581800000,3209800000,3271200000,2956600000
38,PP&E,- -,12400000,36440000,251811000,266962000,244491000,275612000,319885000,349930000,401818000,436433000,456106651,493881000,598581000,811900000,882300000,904300000,1021000000,1063800000,1021100000,951700000,1000600000,946900000,864300000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,3624652000,3658602000,3658602000,3658602000,3927807000,3928144000,4057800000,4057700000,2981500000,2981300000,3081700000,3096200000,3108800000,3337100000,3669600000,3762100000
40,Intangible Assets,- -,25900000,136047000,222034000,1083114000,1050663000,4683909000,5174160000,169202000,77844000,28861000,13834000,121803000,123114000,128900000,197300000,71000000,41000000,130200000,128100000,118500000,185800000,266700000,284300000
41,Intangible Assets,- -,25900000,136047000,222034000,1083114000,1050663000,4683909000,5174160000,3793854000,3736446000,3687463000,3672436000,4049610000,4051258000,4186700000,4255000000,3052500000,3022300000,3211900000,3224300000,3227300000,3522900000,3936300000,4046400000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,483505000,535178000,740659000,988100000,1309100000,1223000000,1346600000,1134500000,988400000,199000000,589800000,656600000,455500000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,51499000,59025000,71079000,10555000,- -,- -,- -,- -,- -,- -,19500000,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,97300000,582095000,789695000,583664000,425134000,626460000,714098000,651306000,133002000,176160000,88701349,174812000,153661000,244700000,175700000,251400000,316900000,254900000,415500000,403500000,514600000,567300000,564200000
45,Total Non-Current Assets,- -,135600000,754582000,1263540000,1933740000,1720288000,5585981000,6208143000,4846589000,4330291000,4371135000,4711304000,5253481000,5544159000,6231400000,6622100000,5431200000,5706800000,5684600000,5649300000,4781500000,5627900000,6107100000,5930400000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,513400000,2103129000,2389588000,2614669000,2411097000,6999714000,8026599000,7368395000,6885406000,7187341000,7590263000,8467851000,9983820000,9832100000,10326000000,8403100000,8619200000,9656500000,9833800000,9363300000,8837700000,9378300000,8887000000
48,Accounts Payable,- -,15400000,72347000,76417000,51747000,61237000,113890000,165172000,179553000,219101000,249854000,242591000,292270000,324843000,209300000,200400000,234600000,159300000,221000000,217600000,208800000,219500000,277000000,273700000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,399496000,- -,- -,- -,- -,- -,- -,- -,299900000,- -,- -,349900000,- -,421500000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34936000,25000000,12545000,7800000,- -,- -,- -,- -,- -,- -,- -,- -,330000000
51,Deferred Revenue,- -,6000000,34625000,- -,46146000,75312000,159750000,213482000,312253000,425579000,459749000,571652000,660264000,712663000,693500000,705800000,780800000,822900000,1032000000,1030300000,829300000,812900000,867300000,937900000
52,Other Current Liabilities,- -,34300000,109436000,165802000,144131000,154264000,229197000,248746000,270811000,335667000,347007000,561542000,519442000,429197000,519200000,535200000,512300000,519800000,482900000,490300000,454500000,511500000,595300000,664900000
53,Total Current Liabilities,- -,55700000,216408000,242219000,242024000,290813000,502837000,627400000,762617000,1379843000,1056610000,1375785000,1471976000,1466703000,1422000000,1441400000,1527700000,1801900000,1735900000,1738200000,1842500000,1543900000,2161100000,1876500000
54,Long-Term Debt,- -,- -,1156719000,1150000000,942114000,557841000,400000000,460159000,399944000,- -,- -,170245000,103823000,999034000,999200000,999300000,1349000000,1648800000,2133700000,2136300000,1789100000,1687000000,1869300000,1829000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,181937000,224165000,254364000,229900000,363500000,294900000,345200000,449100000,509000000,384300000,410500000,418500000,475700000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,104140000,39330000,90750000,151703000,229326000,37531000,59087000,174061000,181500000,219600000,312400000,248900000,375300000,769400000,524200000,585700000,385900000,388900000
58,Total Non-Current Liabilities,- -,- -,1156719000,1150000000,942114000,557841000,504140000,499489000,490694000,151703000,229326000,389713000,387075000,1427459000,1410600000,1582400000,1956300000,2242900000,2958100000,3414700000,2697600000,2683200000,2673700000,2693600000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,158100000,163500000,142200000
61,Total Liabilities,- -,55700000,1373127000,1392219000,1184138000,848654000,1006977000,1126889000,1253311000,1531546000,1285936000,1765498000,1859051000,2894162000,2832600000,3023800000,3484000000,4044800000,4694000000,5152900000,4540100000,4227100000,4834800000,4570100000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,3000,3000,4000,4000,5000,6000,6000,5000,5000,5000,5000,5000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,-52200000,95749000,82332000,-37318000,1881000,137627000,491656000,-1532235000,-2813328000,-2905852000,-3236525000,-3108337000,-2972402000,-2911400000,-2631300000,-3861100000,-3741200000,-3281800000,-3355800000,-2831400000,-2741400000,-2669000000,-2653000000
65,Other Comprehensive Income/Loss,- -,-8200000,-19148000,- -,5939000,3186000,-33110000,-23906000,1266000,12251000,-4245000,-1433000,-1251000,-17590000,4700000,64600000,-13800000,-19200000,-37300000,-5400000,-18200000,-18500000,55600000,-2000000
66,Other Total Stockholders Equity,- -,518100000,653398000,915034000,1461906000,1557372000,5888215000,6431954000,7646047000,8154932000,8811497000,9060089000,9717783000,10079169000,9905900000,9868500000,8794200000,8334600000,8281300000,8041700000,7672600000,7371000000,- -,6971000000
67,Total Stockholders Equity,- -,457700000,730002000,997369000,1430531000,1562443000,5992737000,6899710000,6115084000,5353860000,5901405000,5822136000,6608200000,7089182000,6999000000,7302200000,4919100000,4574400000,4962500000,4680900000,4823200000,4610600000,4543500000,4316900000
68,Total Liabilities And Stockholders Equity,- -,513400000,2103129000,2389588000,2614669000,2411097000,6999714000,8026599000,7368395000,6885406000,7187341000,7587634000,8467251000,9983344000,9831600000,10326000000,8403100000,8619200000,9656500000,9833800000,9363300000,8837700000,9378300000,8887000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2629000,600000,476000,500000,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,513400000,2103129000,2389588000,2614669000,2411097000,6999714000,8026599000,7368395000,6885406000,7187341000,7590263000,8467851000,9983820000,9832100000,10326000000,8403100000,8619200000,9656500000,9833800000,9363300000,8837700000,9378300000,8887000000
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1043604/000089161801000244/0000891618-01-000244-index.html,https://www.sec.gov/Archives/edgar/data/1043604/000089161802001586/0000891618-02-001586-index.html,https://www.sec.gov/Archives/edgar/data/1043604/000089161803001207/0000891618-03-001207-index.html,https://www.sec.gov/Archives/edgar/data/1043604/000089161804000620/0000891618-04-000620-index.html,https://www.sec.gov/Archives/edgar/data/1043604/000095013405004228/0000950134-05-004228-index.html,https://www.sec.gov/Archives/edgar/data/1043604/000095013406004424/f17833e10vk.htm,https://www.sec.gov/Archives/edgar/data/1043604/000089161807000146/f27855e10vk.htm,https://www.sec.gov/Archives/edgar/data/1043604/000095013408003762/f38434e10vk.htm,https://www.sec.gov/Archives/edgar/data/1043604/000095013409004211/0000950134-09-004211-index.html,https://www.sec.gov/Archives/edgar/data/1043604/000095012310018160/0000950123-10-018160-index.html,https://www.sec.gov/Archives/edgar/data/1043604/000144530511000332/juniper10k123110.htm,https://www.sec.gov/Archives/edgar/data/1043604/000104360412000006/0001043604-12-000006-index.html,https://www.sec.gov/Archives/edgar/data/1043604/000104360413000022/0001043604-13-000022-index.html,https://www.sec.gov/Archives/edgar/data/1043604/000104360414000038/jnpr-10k20131231.htm,https://www.sec.gov/Archives/edgar/data/1043604/000104360415000022/jnpr-10k20141231.htm,https://www.sec.gov/Archives/edgar/data/1043604/000104360416000219/0001043604-16-000219-index.html,https://www.sec.gov/Archives/edgar/data/1043604/000104360417000045/0001043604-17-000045-index.html,https://www.sec.gov/Archives/edgar/data/1043604/000104360418000011/0001043604-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/1043604/000104360419000012/0001043604-19-000012-index.html,https://www.sec.gov/Archives/edgar/data/1043604/000104360420000021/0001043604-20-000021-index.html,https://www.sec.gov/Archives/edgar/data/1043604/000104360421000013/0001043604-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1043604/000104360422000017/0001043604-22-000017-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-31000000,-9000000,147916000,-13417000,-119650000,39199000,135746000,354029000,-1001437000,360830000,511749000,116999000,618402000,425136000,186500000,439800000,-334300000,633700000,592700000,306200000,566900000,345000000,257800000,252700000
74,Depreciation and Amortization,3800000,10200000,38001000,147678000,63047000,70040000,145674000,138904000,173490000,193166000,167474000,148373000,155288000,170038000,187000000,189900000,186100000,176500000,206700000,225600000,210500000,210300000,212400000,237400000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9436000,64035000,7225000,-18200000,72200000,-16900000,-14600000,55900000,-139600000,42600000,2900000,-52300000,71700000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,139659000,177825000,217761000,242700000,244600000,240000000,217300000,224600000,187500000,217100000,202200000,190200000,222600000
77,Change in Working Capital,2300000,- -,810039000,-248310000,-444924000,-38909000,510900000,280160000,568133000,-583917000,584324000,-256422000,239220000,1230564000,-794258000,83800000,-818300000,-333700000,1125500000,210300000,293000000,-1073400000,-555800000,-30000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-28682000,-129199000,18633000,139100000,-139900000,-16800000,-218900000,-263500000,203800000,96300000,-118100000,-76100000,-31800000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2422000,48217000,33871000,-121200000,-9500000,38300000,-80200000,66600000,-10100000,3500000,6400000,56000000,200000
81,Other Working Capital,322100000,322100000,1132139000,883829000,438905000,399996000,910896000,1191056000,1759189000,1175272000,1759596000,1503174000,1742394000,2972958000,2178700000,2262500000,1444200000,1110500000,2236000000,2446300000,2739300000,1665900000,1110100000,1080100000
82,Other Non-Cash Items,100000,19300000,-726873000,406808000,503937000,108224000,-352872000,-130150000,1015418000,816444000,-388368000,638052000,-442435000,-1063998000,838658000,-188000000,1506800000,213300000,-1099400000,470100000,-469000000,841900000,559700000,-64700000
83,Cash Provided by Operating Activities,-24800000,20500000,269083000,292759000,2410000,178554000,439448000,642943000,755604000,786523000,875179000,796097000,812335000,986726000,642400000,842300000,763400000,892500000,1106000000,1260100000,861100000,528900000,612000000,689700000
84,CAPEX,-6500000,-10000000,-34999000,-241129000,-36127000,-19388000,-63185000,-98192000,-102093000,-146858000,-164604000,-153101000,-185291000,-266314000,-414000000,-243100000,-192900000,-210300000,-214700000,-151200000,-147400000,-109600000,-100400000,-100000000
85,Acquisitions Net,- -,- -,-39974000,2728000,-375803000,- -,- -,-309889000,-15102000,-375000,- -,- -,-374765000,-30720000,-139400000,-10000000,-27100000,-3500000,-144600000,-33000000,-59100000,-278200000,-434000000,-192700000
86,Purchases of Investments,-3500000,-324400000,-1437406000,-1592317000,-977926000,-734679000,-739437000,-945854000,-523418000,-302690000,-474007000,-1467737000,-1584700000,-2335628000,-1512800000,-1821000000,-2466500000,-1496200000,-1623200000,-1897800000,-1246000000,-3316900000,-984400000,-659900000
87,Sales/Maturities of Investments,19300000,38500000,718714000,1531507000,1095541000,1085929000,704740000,805047000,632075000,1029081000,499351000,683814000,1624430000,1926598000,1490400000,1511200000,2970200000,1192000000,1533900000,1698000000,2017300000,3176500000,1235100000,965700000
88,Other Investing Activites,- -,-9500000,-100496000,-8205000,-1150000,-31737000,39415000,-34848000,20464000,-7407000,-10552000,-11276000,-12424000,-1174000,-86200000,-11500000,150300000,9300000,-1500000,75000000,- -,- -,-5200000,700000
89,Cash Used for Investing Activites,9300000,-305400000,-894161000,-307416000,-295465000,300125000,-58467000,-583736000,11926000,571751000,-149812000,-948300000,-532750000,-707238000,-596700000,-564400000,434000000,-508700000,-450100000,-309000000,564800000,-528200000,-288900000,13800000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1400000,-1400000,-400000,- -,-300000000,- -,- -,-950000000,-376200000,-423800000
91,Common Stock Issued,700000,430300000,36715000,58497000,26620000,91755000,175172000,146029000,87140000,355007000,119450000,164207000,451039000,346951000,99100000,141700000,159800000,121200000,62300000,64500000,56900000,55600000,54700000,56400000
92,Common Stock Repurchased,- -,- -,-130000000,- -,- -,- -,-63610000,-17000,-186388000,-1623190000,-604700000,-453888000,-565473000,-548590000,-650600000,-577800000,-2262500000,-1153600000,-324600000,-725800000,-756600000,-554900000,-381100000,-443500000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-86000000,-156300000,-152500000,-150400000,-249300000,-260100000,-264100000,-259100000
94,Other Financing Activites,4500000,-7400000,1123325000,- -,-145975000,-399263000,-144967000,- -,9650000,29686000,62857000,27523000,42013000,1020684000,4600000,35800000,364900000,607300000,485200000,16900000,-19600000,480600000,744300000,-61700000
95,Cash Used/Provided by Financing Activities,5200000,422900000,1030040000,58497000,-119355000,-307508000,-33405000,146012000,-89598000,-1238497000,-422393000,-262158000,-72421000,819045000,-548300000,-401700000,-1824200000,-581400000,-229600000,-794800000,-968600000,-1228800000,-222400000,-1131700000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17600000,-21100000,-14000000,17000000,-10600000,-1200000,5800000,-12100000
97,Net Change In Cash,5200000,137900000,404962000,43840000,-412410000,171171000,347576000,205219000,677932000,119777000,302974000,-414361000,207164000,1098533000,-502600000,-123800000,-644400000,-218700000,412300000,173300000,446700000,-1229300000,106500000,-440300000
98,Cash at the End of Period,- -,158000000,563005000,606845000,194435000,365606000,713182000,918401000,1596333000,1716110000,2019084000,1604723000,1811887000,2910420000,2407800000,2284000000,1639600000,1420900000,1833200000,2006500000,2505800000,1276500000,1383000000,942700000
99,Cash at the Beginning of Period,30400000,20100000,158043000,563005000,606845000,194435000,365606000,713182000,918401000,1596333000,1716110000,2019084000,1604723000,1811887000,2910400000,2407800000,2284000000,1639600000,1420900000,1833200000,2059100000,2505800000,1276500000,1383000000
100,Free Cash Flow,-31300000,10500000,234084000,51630000,-33717000,159166000,376263000,544751000,653511000,639665000,710575000,642996000,627044000,720412000,228400000,599200000,570500000,682200000,891300000,1108900000,713700000,419300000,511600000,589700000
