,https://roic.ai/company/WRE,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
83,Cash Provided by Operating Activities,- -,- -,- -,- -,17800000,19100000,21400000,23700000,25000000,29818808,30987211,37560000,42499000,53593000,52445000,61974000,74672000,70345000,76390000,79709000,87522000,86342000,115539000,97017000,102901000,111933000,117855000,131103000,113318000,80701000,107355000,116931000,130626000,147369000,130923000,112991000,89156000
84,CAPEX,- -,- -,- -,- -,-9700000,- -,- -,-38500000,- -,-36516161,-59118173,-81860000,-152717000,-79706000,-71918000,-43116000,-73803000,-83346000,-147520000,-88473000,-172398000,-266050000,-338488000,-53218000,-29823000,-182655000,-315137000,-87991000,190010000,-104746000,-87378000,-63455000,-192488000,-37979000,61527000,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-26581000,-59250000,-58075000,-120000000,-55135000,-123358000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-19100000,-15200000,-24200000,-92900000,-31300000,-83995496,-151849280,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-168230000,-19828000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,7400000,- -,77000000,53200000,49000000,75900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40231000,36842000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,100000,100000,-4600000,- -,100000,49045967,75949280,- -,- -,10844000,22033000,32313000,67365000,63888000,120000000,63206000,197237000,-68621000,-10145000,-37914000,-27688000,46068000,342799000,-87991000,190010000,-106163000,-90889000,-57712000,-192488000,-37979000,61527000,65760000,702170000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-28700000,-7700000,-28800000,-54400000,22000000,-22465690,-59118173,-81860000,-152717000,-68862000,-49885000,-37384000,-65688000,-77533000,-147520000,-80402000,-98519000,-334671000,-348633000,-181217000,-12809000,-111150000,61098000,-88546000,189848000,-107882000,-93018000,-58632000,-196354000,-38942000,61036000,65760000,702170000
90,Debt Repayment,- -,- -,- -,- -,-500000,-400000,-1000000,-10200000,-22100000,-18000000,-46045658,-67117000,-23129000,-95422000,-44594000,-54778000,-43843000,-7775000,-50000000,-57041000,-93000000,-59149000,-126700000,-377720000,-405791000,-316584000,-390852000,-234667000,-118679000,-103954000,-154512000,-270061000,-52571000,-320081000,-594724000,-610567000,-503894000
91,Common Stock Issued,- -,- -,- -,- -,30600000,- -,29200000,39900000,- -,- -,48700000,600000,62500000,200000,500000,100000,61560000,5200000,66062000,5665000,2846000,92735000,57761000,189036000,163394000,174166000,5043000,1316000,- -,30690000,5215000,173636000,115770000,37445000,59671000,48355000,40462000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5665000,-2846000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-15300000,-17000000,-19700000,-22500000,-24400000,-25981388,-29711993,-32718000,-36108000,-39614000,-41341000,-43955000,-49686000,-54352000,-58605000,-64836000,-67322000,-72681000,-78050000,-85564000,-100221000,-109112000,-115045000,-97734000,-80104000,-80277000,-61510000,-85648000,-91666000,-95059000,-96361000,-99080000,-90728000
94,Other Financing Activites,- -,- -,- -,- -,400000,- -,1400000,22200000,-500000,36170192,55984242,141679000,113187000,146792000,82996000,75753000,43000000,50750000,106083000,122665000,171192000,291207000,392850000,348837000,251855000,318311000,255899000,295087000,6855000,66206000,204468000,111254000,89196000,264285000,446566000,476093000,-11236000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,15200000,-17400000,9900000,29400000,-47000000,-7811196,28926591,42444000,116450000,11956000,-2439000,-22880000,11031000,-6177000,63540000,788000,10870000,252112000,245861000,74589000,-90763000,66781000,-244955000,-35998000,-191928000,-87335000,-6339000,-70819000,60729000,-113410000,-184848000,-185199000,-565396000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,-458078,795629,-1856000,6232000,-3313000,121000,1710000,20015000,-13365000,-7590000,95000,-127000,3783000,12767000,-9611000,-671000,67564000,-66002000,6559000,111238000,-114516000,7998000,-12520000,-4999000,-4983000,7111000,-6448000,225930000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,1301393,3531812,1676000,7908000,4595000,4716000,6426000,26441000,13076000,5486000,5562000,4938000,8721000,21488000,11874000,11203000,78767000,12765000,19324000,130343000,15827000,23825000,11305000,12623000,7640000,14751000,8303000,234220000
99,Cash at the Beginning of Period,- -,- -,- -,- -,2200000,6500000,500000,3000000,1800000,1759471,2736183,3532000,1676000,7908000,4595000,4716000,6426000,26441000,13076000,5467000,5065000,4938000,8721000,21485000,11874000,11203000,78767000,12765000,19105000,130343000,15827000,23825000,17622000,12623000,7640000,14751000,8290000
100,Free Cash Flow,- -,- -,- -,- -,8100000,19100000,21400000,-14800000,25000000,-6697353,-28130962,-44300000,-110218000,-26113000,-19473000,18858000,869000,-13001000,-71130000,-8764000,-84876000,-179708000,-222949000,43799000,73078000,-70722000,-197282000,131103000,113318000,80701000,107355000,116931000,130626000,147369000,130923000,112991000,89156000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/104894/000095013395000180/0000950133-95-000180-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/104894/000095016899000683/0000950168-99-000683-index.html,https://www.sec.gov/Archives/edgar/data/104894/000095016900000234/0000950169-00-000234-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/104894/000102140803004044/0001021408-03-004044-index.html,https://www.sec.gov/Archives/edgar/data/104894/000119312504040577/0001193125-04-040577-index.html,https://www.sec.gov/Archives/edgar/data/104894/000119312505052440/0001193125-05-052440-index.html,https://www.sec.gov/Archives/edgar/data/104894/000119312506056117/d10k.htm,https://www.sec.gov/Archives/edgar/data/104894/000119312507043918/d10k.htm,https://www.sec.gov/Archives/edgar/data/104894/000119312508043140/d10k.htm,https://www.sec.gov/Archives/edgar/data/104894/000119312509042475/0001193125-09-042475-index.html,https://www.sec.gov/Archives/edgar/data/104894/000119312510042822/0001193125-10-042822-index.html,https://www.sec.gov/Archives/edgar/data/104894/000119312511047462/d10k.htm,https://www.sec.gov/Archives/edgar/data/104894/000010489412000029/0000104894-12-000029-index.html,https://www.sec.gov/Archives/edgar/data/104894/000010489413000032/0000104894-13-000032-index.html,https://www.sec.gov/Archives/edgar/data/104894/000010489414000026/0000104894-14-000026-index.html,https://www.sec.gov/Archives/edgar/data/104894/000010489415000038/wre10-kx12312014.htm,https://www.sec.gov/Archives/edgar/data/104894/000010489416000140/0000104894-16-000140-index.html,https://www.sec.gov/Archives/edgar/data/104894/000010489417000020/0000104894-17-000020-index.html,https://www.sec.gov/Archives/edgar/data/104894/000010489418000022/0000104894-18-000022-index.html,https://www.sec.gov/Archives/edgar/data/104894/000010489419000023/0000104894-19-000023-index.html,https://www.sec.gov/Archives/edgar/data/104894/000010489420000028/0000104894-20-000028-index.html,https://www.sec.gov/Archives/edgar/data/104894/000010489421000025/0000104894-21-000025-index.htm,https://www.sec.gov/Archives/edgar/data/104894/000010489422000036/0000104894-22-000036-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
