,https://roic.ai/company/TSRI,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,15100000,20600000,19800000,19400000,18900000,14600000,100000,4900000,5900000,6200000,7100000,9400000,13400000,14800000,11628421,10826855,8463186,7449831,7768138,7510112,7640092,7229832,7447048,6685081,6215107,6708513,7466502,8080713,8253061,8883003,9120526,9683601,9471523,11672946,10928648,11808950
11,COGS and Expenses,18800000,23500000,23000000,21200000,19900000,14800000,14400000,16900000,21200000,25500000,30300000,46700000,64300000,76500000,72002583,72233945,55031239,48468550,48028985,47809562,46399860,47763578,49752319,41803053,36639326,38860279,45217614,45629404,49504699,56970431,60159405,62010122,64080618,65187582,60872053,69309253
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,322520,- -,- -,- -,- -,460794,- -,149466,43927,19943,12173,13833,6288,6114,8621,10888,12381,22309,4877,14991
13,Interest Expense (Gain),- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,79386,208392
14,Depreciation and Amortization,900000,1400000,1400000,1400000,1400000,400000,100000,100000,100000,100000,100000,200000,400000,1000000,143618,104626,130446,114506,80438,30309,20804,26066,24446,19000,11841,8472,10339,12198,15723,20428,22765,19976,14339,11586,7787,158154
15,EBITDA,1700000,2500000,2000000,1100000,1300000,-1000000,800000,500000,1100000,1600000,1800000,3500000,6600000,9500000,7837382,6886273,4868940,4270681,3839695,3776195,2008781,2359859,2271580,1113392,321324,447564,-26839,-721930,-53213,365139,810991,551165,881547,-1862409,-1751255,-343428
16,EBITDA ratio,0.0872,0.1025,0.0855,0.0526,0.0674,-0.0746,0.0537,0.0294,0.0502,0.0599,0.0566,0.0704,0.0938,0.1122,0.0989,0.0877,0.0819,0.0814,0.0742,0.0734,0.0418,0.0475,0.0439,0.0260,0.0087,0.0114,-0.0006,-0.0161,-0.0011,0.0064,0.0133,0.0088,0.0136,-0.0294,-0.0296,-0.0050
17,Operating Income,700000,900000,400000,-300000,-600000,-1400000,500000,100000,700000,1200000,1500000,3000000,6100000,8200000,7240865,6293786,4423923,3974610,3696446,3635119,1708729,1924998,1970531,998287,316641,482090,-2183,-715755,25168,432465,838876,562463,909377,-1847554,-1750652,-488036
18,Operating Income ratio,0.0359,0.0369,0.0171,-0.0144,-0.0311,-0.1045,0.0336,0.0059,0.0320,0.0449,0.0472,0.0604,0.0866,0.0968,0.0914,0.0801,0.0744,0.0758,0.0715,0.0707,0.0355,0.0387,0.0381,0.0233,0.0086,0.0123,-0.0000,-0.0159,0.0005,0.0075,0.0138,0.0090,0.0140,-0.0292,-0.0296,-0.0071
19,Total Other Income Expenses (Gains),100000,200000,300000,-100000,500000,900000,200000,300000,300000,300000,200000,300000,100000,300000,452899,487861,314571,181565,62811,110767,279248,408795,276603,96105,48487,20815,14837,12585,8720,11826,6325,14504,27653,10499,-59397,-198049
20,Income Before Tax,800000,1100000,- -,-400000,-100000,- -,700000,400000,1000000,1500000,1700000,3300000,6200000,8500000,7693764,6781647,4738494,4156175,3759257,3745886,1987977,2333793,2247134,1094392,365128,502905,12654,-703170,33888,444291,845201,576967,937030,-1837055,-1810049,-686085
21,Income Before Tax Ratio,0.0410,0.0451,- -,-0.0191,-0.0052,- -,0.0470,0.0235,0.0457,0.0562,0.0535,0.0664,0.0881,0.1004,0.0971,0.0864,0.0797,0.0793,0.0727,0.0728,0.0413,0.0470,0.0434,0.0256,0.0099,0.0128,0.0003,-0.0157,0.0007,0.0077,0.0139,0.0092,0.0144,-0.0290,-0.0306,-0.0100
22,Income Tax expense (Gain),200000,400000,- -,-300000,-200000,-300000,300000,200000,500000,700000,700000,1500000,2800000,3700000,3292000,2924000,2030000,1794000,1635000,1601000,774000,941000,971000,473000,166000,242000,25000,-214000,17000,152000,389000,263000,381000,-538000,-712000,-109000
23,Net Income,600000,700000,600000,-100000,100000,- -,400000,200000,500000,800000,1000000,1800000,3400000,4800000,4401764,3857647,2708494,2362175,2124257,2144886,1213977,1392793,1276134,621392,143483,197092,-62178,-520128,-85936,192711,399226,268189,486208,-1335995,-1126428,-600974
24,Net Income ratio,0.0308,0.0287,0.0256,-0.0048,0.0052,- -,0.0268,0.0118,0.0228,0.0300,0.0314,0.0362,0.0483,0.0567,0.0555,0.0491,0.0456,0.0450,0.0411,0.0417,0.0252,0.0280,0.0247,0.0145,0.0039,0.0050,-0.0014,-0.0116,-0.0017,0.0034,0.0065,0.0043,0.0075,-0.0211,-0.0191,-0.0087
25,EPS,0.14,0.14,0.14,-0.04,0.02,-0.02,0.14,0.06,0.16,0.28,0.32,0.62,1.16,1.62,1.76,1.72,1.22,1.06,0.94,0.94,0.54,0.60,0.56,0.30,0.08,0.10,-0.03,-0.26,-0.04,0.10,0.20,0.14,0.25,-0.68,-0.57,-0.31
26,EPS Diluted,0.14,0.14,0.14,-0.04,0.02,-0.02,0.14,0.06,0.16,0.26,0.32,0.62,1.14,1.62,1.76,1.72,1.22,1.06,0.94,0.94,0.54,0.60,0.56,0.30,0.08,0.10,-0.03,-0.26,-0.04,0.10,0.20,0.14,0.25,-0.68,-0.57,-0.31
27,Weighted Average Shares Outstanding,4285714,5000000,4285714,4142000,3314000,3256000,2857143,3333333,3125000,2857143,2996514,2914138,2940804,2975637,2511474,2247247,2209006,2209006,2272881,2284006,2284006,2284006,2284006,2117861,2025186,2019604,1999277,1971484,1962062,1962062,1962062,1962062,1962062,1962062,1962062,1962062
28,Weighted Average Shares Outstanding Diluted,4285714,5000000,4285714,4142000,3314000,3256000,2857143,3333333,3125000,3076923,2996514,2914138,3017519,2975637,2511474,2247247,2211174,2209006,2275469,2284983,2284006,2284006,2284006,2117861,2025186,2019604,1999277,1971484,1962062,1962062,1962062,1962062,1962062,1962062,1962062,1962062
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/98338/000095011000000829/0000950110-00-000829-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/98338/000107261307001794/0001072613-07-001794-index.html,https://www.sec.gov/Archives/edgar/data/98338/000107261308001648/0001072613-08-001648-index.html,https://www.sec.gov/Archives/edgar/data/98338/000107261309001263/0001072613-09-001263-index.html,https://www.sec.gov/Archives/edgar/data/98338/000107261310000720/0001072613-10-000720-index.htm,https://www.sec.gov/Archives/edgar/data/98338/000107261311000627/0001072613-11-000627-index.htm,https://www.sec.gov/Archives/edgar/data/98338/000107261312000523/0001072613-12-000523-index.htm,https://www.sec.gov/Archives/edgar/data/98338/000121390013004066/0001213900-13-004066-index.htm,https://www.sec.gov/Archives/edgar/data/98338/000121390014005350/0001213900-14-005350-index.htm,https://www.sec.gov/Archives/edgar/data/98338/000121390015005568/0001213900-15-005568-index.htm,https://www.sec.gov/Archives/edgar/data/98338/000121390016015370/0001213900-16-015370-index.htm,https://www.sec.gov/Archives/edgar/data/98338/000121390017008805/0001213900-17-008805-index.htm,https://www.sec.gov/Archives/edgar/data/98338/000121390018011517/0001213900-18-011517-index.htm,https://www.sec.gov/Archives/edgar/data/98338/000121390019016899/0001213900-19-016899-index.htm,https://www.sec.gov/Archives/edgar/data/98338/000121390020022549/0001213900-20-022549-index.htm,https://www.sec.gov/Archives/edgar/data/98338/000121390021044375/0001213900-21-044375-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000000,2900000,2400000,2200000,4110283,6208361,5793896,5063098,2268796,2571276,2660739,1900264,1588443,4075213,5669972,4645854,7514749,1881161,2841967,3669790,4514157,5723976,5323437,3694989,9730022,7370646
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5900000,3279232,4432978,8941535,12949174,6498839,7908138,5406830,6395131,6459832,4509346,3015389,3016542,520672,2008424,1514856,1271568,1553272,1020888,537160,527232,50344,45696
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000000,2900000,2400000,8100000,7389515,10641339,14735431,18012272,8767635,10479414,8067569,8295395,8048275,8584559,8685361,7662396,8035421,3889585,4356823,4941358,6067429,6744864,5860597,4222221,9780366,7416342
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6100000,10500000,15100000,14400000,12963080,11994811,10181398,9288865,9934320,7578699,8363135,8255666,8229311,6365954,6511698,8926842,8731411,9151299,8799668,8757242,7714533,7342746,7229917,7448902,7062453,9701921
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1800000,100000,1800000,200000,137858,271090,300283,280596,234401,241683,518949,353546,236803,307220,300325,185080,280260,365505,192347,236096,227069,377230,126558,170867,801755,253694
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10900000,13500000,19300000,22700000,20490453,22907240,25217112,27581733,18936356,18299796,16949653,16904607,16514389,15257733,15497384,16774318,17047092,13406389,13348838,13934696,14009031,14464840,13217072,11841990,17644574,17371957
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,500000,1000000,200000,183356,141513,76044,24955,24001,33093,36134,46290,23285,19115,9558,16249,20819,16784,34095,38931,27998,20650,27726,6502,397373,1011811
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,785883
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1671750
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2457633
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,250000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,189000,123000,123000,143000,148000,109000,62000,55000,61000,55000,51000,47000,146000,130000,28000,3000,- -,78000,636000,784000,941000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,200000,300000,271302,46145,180888,122307,99193,49893,1540200,1046098,1049301,49653,49653,49653,49653,49653,49653,49653,49653,49653,49653,49653,49653,47663
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,500000,1200000,500000,454658,376658,379932,270262,266194,230986,1685334,1154388,1127586,129768,114211,366902,117472,212437,213748,116584,80651,70303,155379,692155,1231026,4458107
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11200000,14000000,20500000,23200000,20945111,23283898,25597044,27851995,19202550,18530782,18634987,18058995,17641975,15387501,15611595,17141220,17164564,13618826,13562586,14051280,14089682,14535143,13372451,12534145,18875600,21830064
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,200000,300000,300000,178077,123852,119176,230632,144391,216031,209840,306695,313157,- -,- -,- -,- -,852228,929404,1129105,723705,644834,559428,574540,503166,2083140
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,689933,402258
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3877,14810,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1507439,1482652,1448255,1491946,1431522,1245563,1330714,1211232,1190014,1181234,1170500
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1600000,3400000,4000000,5100000,5018507,4973013,4579763,4322759,3815994,3692510,4372161,3782536,3508651,2969379,3042098,2878587,3162620,2389006,2221158,2387719,2648920,4800120,3333013,3852568,3031633,4817786
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1800000,3600000,4300000,5400000,5196584,5096865,4698939,4553391,3960385,3908541,4582001,4089231,3821808,2969379,3042098,4386026,4645272,4689489,4642508,4948346,4618188,6775668,5103673,5617122,5405966,8473684
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6659220,7366589
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1020231,568739
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7679451,7935328
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,381208,1017100
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2300000,3600000,4300000,5400000,5196584,5096865,4698939,4553391,3960385,3908541,4582001,4089231,3821808,2969379,3042098,4386026,4645272,4689489,4642508,4948346,4618188,6775668,5103673,5617122,13085417,16409012
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,60783,60783,60783,60783,62283,62283,62283,62283,62283,62283,62283,31142,31142,31142,31142,31142,31142,31142,31142,31142,31142,31142
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10300000,9500000,12900000,17800000,22165851,26023498,28731992,31094167,22081995,21486074,20918526,20849555,20663925,20517707,20661190,20858282,20796104,17305883,17219947,17412658,17811884,16118011,16604219,15268224,14141796,13540822
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-700000,-700000,-1000000,-1800000,-576647,-616386,-703930,-708346,-731581,-524142,-544946,-380838,-396963,-415963,-427804,-274890,-244268,-244868,-245482,-254732,-262076,-269069,-263742,-268886,-276673,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1600000,4300000,1700000,- -,- -,- -,-7188902,-6220693,-6435432,-6414628,-6578736,-6562611,-7763541,-7753992,-7901505,-8084956,-8166267,-8165653,-8156403,-8149059,-8142066,-8147393,-8142249,-8134462,-8174803
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8900000,10400000,16200000,17800000,15748527,18187033,20895527,23257702,15192004,14588783,14021235,13952264,13766634,12400486,12541677,12713029,12498022,8925890,8839954,9032665,9431891,7738018,8224226,6888231,5761803,5397161
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11200000,14000000,20500000,23200000,20945111,23283898,25594466,27811093,19152389,18497324,18603236,18041495,17588442,15369865,15583775,17099055,17143294,13615379,13482462,13981011,14050079,14513686,13327899,12505353,18847220,21806173
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2578,40902,50161,33458,31751,17500,53533,17636,27820,42165,21270,3447,80124,70269,39603,21457,44552,28792,28380,23891
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11200000,14000000,20500000,23200000,20945111,23283898,25597044,27851995,19202550,18530782,18634987,18058995,17641975,15387501,15611595,17141220,17164564,13618826,13562586,14051280,14089682,14535143,13372451,12534145,18875600,21830064
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/98338/000095011000000829/0000950110-00-000829-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/98338/000107261307001794/0001072613-07-001794-index.html,https://www.sec.gov/Archives/edgar/data/98338/000107261308001648/0001072613-08-001648-index.html,https://www.sec.gov/Archives/edgar/data/98338/000107261309001263/0001072613-09-001263-index.html,https://www.sec.gov/Archives/edgar/data/98338/000107261310000720/0001072613-10-000720-index.htm,https://www.sec.gov/Archives/edgar/data/98338/000107261311000627/0001072613-11-000627-index.htm,https://www.sec.gov/Archives/edgar/data/98338/000107261312000523/0001072613-12-000523-index.htm,https://www.sec.gov/Archives/edgar/data/98338/000121390013004066/0001213900-13-004066-index.htm,https://www.sec.gov/Archives/edgar/data/98338/000121390014005350/0001213900-14-005350-index.htm,https://www.sec.gov/Archives/edgar/data/98338/000121390015005568/0001213900-15-005568-index.htm,https://www.sec.gov/Archives/edgar/data/98338/000121390016015370/0001213900-16-015370-index.htm,https://www.sec.gov/Archives/edgar/data/98338/000121390017008805/0001213900-17-008805-index.htm,https://www.sec.gov/Archives/edgar/data/98338/000121390018011517/0001213900-18-011517-index.htm,https://www.sec.gov/Archives/edgar/data/98338/000121390019016899/0001213900-19-016899-index.htm,https://www.sec.gov/Archives/edgar/data/98338/000121390020022549/0001213900-20-022549-index.htm,https://www.sec.gov/Archives/edgar/data/98338/000121390021044375/0001213900-21-044375-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,-100000,- -,- -,400000,200000,500000,800000,1000000,1800000,3400000,4800000,4401764,3857647,2708494,2362175,2124257,2144886,1213977,1392793,1276134,621392,143483,197092,-62178,-520128,-85936,192711,399226,268189,486208,-1335995,-1126428,-600974
74,Depreciation and Amortization,- -,- -,- -,1400000,- -,400000,100000,100000,100000,100000,100000,200000,400000,1000000,143618,104626,130446,114506,80438,30309,20804,26066,24446,19000,11841,8472,10339,12198,15723,20428,22765,19976,14339,11586,7787,158154
75,Deferred Income Tax,- -,- -,- -,- -,- -,-700000,- -,- -,- -,-100000,- -,100000,- -,-200000,34000,8000,-21000,- -,-20000,-5000,69000,52000,17000,-4000,49000,8000,4000,-99000,16000,68000,17000,25000,28000,-558000,-148000,-157000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,236332
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9100000,800000,5100000,2300000,-2006131,2516506,2707798,2510169,-8052371,-584716,-2023603,447724,-122795,-404227,166932,-66994,13528,-3684920,-10570,280020,404493,-1701671,424227,-1888531,6013740,-3340335
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1831562,-162367,-2414120,193192,-417614,355945,35554,1036104,379389,96468,-215758,386216,-1824447
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,78614,-90672,362385,-155132,125077,409549,534667,-892309,2797809
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9100000,9900000,15000000,17300000,15293869,17810375,20518173,23028342,14975971,14391255,12367652,12815376,12692581,12288354,12455286,12388292,12401820,8716900,8706330,8986350,9390843,7689172,8113399,6224868,12238608,8898273
82,Other Non-Cash Items,- -,- -,- -,-1300000,- -,400000,-1000000,-100000,-700000,-400000,-9500000,-4300000,-9200000,-300000,3234950,-1774886,-1145871,-1688817,7000142,2976211,1684365,-620623,72949,1396099,-224977,-972501,393137,3256210,588770,152363,384356,2138877,177891,2187436,-6314153,5007497
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,100000,-500000,200000,-100000,400000,700000,-1400000,-300000,7600000,5808201,4711893,4379867,3298033,1132466,4561690,964543,1297960,1267734,1628264,146279,-825931,358826,-1035640,523987,713522,1227840,750371,1130665,-1583504,-1567054,1303674
84,CAPEX,- -,- -,- -,- -,- -,-100000,- -,-100000,-100000,-200000,-100000,-400000,-1000000,-100000,-165659,-62783,-280404,-6214,-22281,-25101,-23845,-36222,-1441,-14830,-2284,-15163,-14909,-8163,-33034,-25264,-11832,-12628,-21415,-3244,-21476,-125951
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3100114
86,Purchases of Investments,- -,- -,- -,- -,- -,-3600000,-9500000,-6100000,-4600000,-5800000,-5400000,-3100000,-1600000,-6700000,-4358917,-6824132,-14826955,-20867719,-8455071,-13829416,-11789314,-10269915,-10845061,-7459616,-4497444,-6596274,-1749532,-4980267,-2487000,-2238000,-2046000,-1987000,-493000,-739000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,7300000,9700000,3300000,7000000,3000000,8100000,4800000,- -,2400000,6985767,5692241,10312027,16854460,14914970,12419289,12792923,9779044,10777957,10403782,5995961,6345993,4498066,3491267,2983000,2487000,1762000,2523000,992000,740000,492000,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,1300000,- -,-100000,- -,- -,-200000,100000,100000,- -,23950,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,4900000,200000,-3000000,2300000,-3000000,2400000,1400000,-2500000,-4400000,2485141,-1194674,-4795332,-4019473,6437618,-1435228,979764,-527093,-68545,2929336,1496233,-265444,2733625,-1497163,462966,223736,-295832,523372,477585,7756,470524,-3226065
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
