,https://roic.ai/company/NDAQ,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),- -,- -,18853000,18660000,5041000,-9038000,-5630000,-7401000,-944000,428241000,-118021000,-212000000,-105000000,-123000000,-142000000,-88000000,-160000000,-90000000,-703000000,-119000000,36000000,2000000,-22000000,93000000
20,Income Before Tax,- -,- -,214873000,78795000,84177000,-66352000,2553000,106262000,213145000,793903000,522164000,391000000,526000000,573000000,548000000,600000000,594000000,630000000,136000000,880000000,1064000000,1019000000,1212000000,1534000000
21,Income Before Tax Ratio,- -,- -,0.2580,0.0919,0.1053,-0.1125,0.0047,0.1208,0.1286,0.3258,0.1431,0.1147,0.1645,0.1667,0.1757,0.1869,0.1697,0.1851,0.0367,0.2219,0.2488,0.2391,0.2154,0.2606
22,Income Tax expense (Gain),- -,- -,90477000,38332000,41049000,-21240000,749000,44572000,85252000,275502000,202284000,128000000,137000000,190000000,199000000,216000000,181000000,203000000,28000000,146000000,606000000,245000000,279000000,347000000
23,Net Income,34955000,86149000,23306000,40463000,43128000,-105447000,11362000,61690000,127893000,518401000,319880000,266000000,395000000,387000000,352000000,385000000,414000000,428000000,108000000,734000000,458000000,774000000,933000000,1187000000
24,Net Income ratio,0.0775,0.1358,0.0280,0.0472,0.0540,-0.1788,0.0210,0.0701,0.0771,0.2128,0.0877,0.0780,0.1236,0.1126,0.1129,0.1199,0.1183,0.1258,0.0291,0.1851,0.1071,0.1816,0.1658,0.2017
25,EPS,0.35,0.86,0.21,0.35,0.40,-1.45,-0.02,0.68,1.22,4.47,1.68,1.30,1.94,2.20,2.09,2.30,2.45,2.56,0.65,4.41,2.77,4.69,5.67,7.15
26,EPS Diluted,0.35,0.86,0.21,0.35,0.40,-1.45,-0.02,0.57,0.95,3.46,1.58,1.25,1.91,2.15,2.04,2.25,2.39,2.50,0.64,4.33,2.73,4.63,5.59,7.05
27,Weighted Average Shares Outstanding,99871429,100173256,110980952,119377778,83407500,78431724,91300000,81019118,104256557,115973378,190362605,205000000,203000000,176000000,168300000,166900000,168900000,167300000,165200000,166400000,165300000,164900000,164400000,165899459
28,Weighted Average Shares Outstanding Diluted,99871429,100173256,110980952,122090909,88712500,78431724,91300000,96654386,133887368,149826879,204514862,215000000,207000000,180000000,172600000,171300000,173000000,171300000,168800000,169600000,167700000,167000000,166900000,168362522
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1120193/000091205702012206/0000912057-02-012206-index.html,https://www.sec.gov/Archives/edgar/data/1120193/000104746903011291/0001047469-03-011291-index.html,https://www.sec.gov/Archives/edgar/data/1120193/000110465904007461/a04-3218_110k.htm,https://www.sec.gov/Archives/edgar/data/1120193/000119312505048077/d10k.htm,https://www.sec.gov/Archives/edgar/data/1120193/000119312506054916/d10k.htm,https://www.sec.gov/Archives/edgar/data/1120193/000119312507042803/0001193125-07-042803-index.html,https://www.sec.gov/Archives/edgar/data/1120193/000119312508037364/d10k.htm,https://www.sec.gov/Archives/edgar/data/1120193/000119312509039333/0001193125-09-039333-index.html,https://www.sec.gov/Archives/edgar/data/1120193/000119312510034340/0001193125-10-034340-index.html,https://www.sec.gov/Archives/edgar/data/1120193/000119312511045348/d10k.htm,https://www.sec.gov/Archives/edgar/data/1120193/000119312512077518/0001193125-12-077518-index.html,https://www.sec.gov/Archives/edgar/data/1120193/000119312513069357/0001193125-13-069357-index.html,https://www.sec.gov/Archives/edgar/data/1120193/000112019314000002/ndaq-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1120193/000112019315000003/ndaq-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1120193/000112019316000020/0001120193-16-000020-index.html,https://www.sec.gov/Archives/edgar/data/1120193/000112019317000003/0001120193-17-000003-index.html,https://www.sec.gov/Archives/edgar/data/1120193/000112019318000003/0001120193-18-000003-index.html,https://www.sec.gov/Archives/edgar/data/1120193/000112019319000002/0001120193-19-000002-index.html,https://www.sec.gov/Archives/edgar/data/1120193/000112019320000004/0001120193-20-000004-index.html,https://www.sec.gov/Archives/edgar/data/1120193/000112019321000011/0001120193-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1120193/000112019322000007/0001120193-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,293731000,204271000,148929000,58186000,165237000,321995000,1325314000,565760000,594000000,315000000,506000000,497000000,425000000,427000000,301000000,403000000,377000000,545000000,332000000,2745000000,393000000
32,Short-Term Investments,- -,- -,- -,228029000,240799000,209469000,203513000,179369000,1628209000,- -,227305000,308000000,253000000,279000000,223000000,162000000,174000000,201000000,245000000,235000000,268000000,291000000,195000000,208000000
33,Cash and Short-Term Investments,- -,- -,- -,521760000,445070000,358398000,261699000,344606000,1950204000,1325314000,793065000,902000000,568000000,785000000,720000000,587000000,601000000,502000000,648000000,612000000,813000000,623000000,2940000000,601000000
34,Net Receivables,- -,- -,- -,228993000,177745000,119136000,107487000,207650000,233266000,249524000,338564000,301000000,298000000,308000000,333000000,393000000,389000000,316000000,429000000,423000000,384000000,422000000,566000000,588000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,64419000,74191000,52083000,37011000,44707000,129076000,107179000,4303823000,2251000000,7644000000,5480000000,439000000,2183000000,2410000000,2466000000,3483000000,4494000000,5173000000,3245000000,4154000000,6234000000
37,Total Current Assets,- -,- -,- -,815172000,697006000,529617000,406197000,596963000,2312546000,1682017000,5435452000,3454000000,8510000000,6573000000,1492000000,3163000000,3400000000,3284000000,4560000000,5529000000,6370000000,4290000000,7660000000,7423000000
38,PP&E,- -,- -,- -,378833000,361225000,242943000,173840000,122576000,65269000,64523000,182943000,164000000,164000000,193000000,211000000,268000000,292000000,323000000,362000000,400000000,376000000,730000000,856000000,875000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,1028746000,980736000,4492422000,4800000000,5127000000,5061000000,5335000000,6186000000,5538000000,5395000000,6027000000,6586000000,6363000000,6366000000,6850000000,8433000000
40,Intangible Assets,- -,- -,- -,- -,16643000,871000,182172000,1177371000,199619000,181612000,1582864000,1631000000,1719000000,1648000000,1650000000,2386000000,2077000000,1959000000,2094000000,2468000000,2300000000,2249000000,2255000000,2813000000
41,Intangible Assets,- -,- -,- -,- -,16643000,871000,182172000,1177371000,1228365000,1162348000,6075286000,6431000000,6846000000,6709000000,6985000000,8572000000,7615000000,7354000000,8121000000,9054000000,8663000000,8615000000,9105000000,11246000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,74987000,69971000,72079000,48765000,133336000,96986000,63279000,644112000,504000000,433000000,392000000,294000000,404000000,536000000,619000000,717000000,391000000,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,57259000,31069000,5744000,3846000,16540000,13286000,7230000,357082000,169000000,254000000,224000000,150000000,170000000,244000000,281000000,390000000,412000000,291000000,289000000,358000000,571000000
45,Total Non-Current Assets,- -,- -,- -,511079000,478908000,321637000,408623000,1449823000,1403906000,1297380000,7259423000,7268000000,7697000000,7518000000,7640000000,9414000000,8687000000,8577000000,9590000000,10257000000,9330000000,9634000000,10319000000,12692000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,1326251000,1175914000,851254000,814820000,2046786000,3716452000,2979397000,12694875000,10722000000,16207000000,14091000000,9132000000,12577000000,12087000000,11861000000,14150000000,15786000000,15700000000,13924000000,17979000000,20115000000
48,Accounts Payable,- -,- -,- -,111676000,99758000,29959000,40180000,118884000,170753000,218688000,242356000,119000000,142000000,164000000,172000000,228000000,189000000,158000000,175000000,177000000,198000000,148000000,175000000,185000000
49,Short-Term Debt,- -,- -,- -,4454000,15725000,1607000,- -,7500000,10681000,- -,225000000,225000000,140000000,45000000,45000000,45000000,- -,- -,- -,480000000,875000000,391000000,391000000,1018000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,65366000,64633000,59739000,59537000,53593000,56447000,60537000,86328000,105000000,122000000,124000000,139000000,151000000,177000000,127000000,162000000,189000000,194000000,211000000,235000000,329000000
52,Other Current Liabilities,- -,- -,- -,112056000,115345000,146326000,108599000,145351000,222654000,131972000,4507525000,2418000000,7827000000,5697000000,571000000,2376000000,2614000000,2659000000,3745000000,4416000000,5303000000,3477000000,4123000000,6340000000
53,Total Current Liabilities,- -,- -,- -,293552000,295461000,237631000,208316000,325328000,460535000,411197000,5061209000,2867000000,8231000000,6030000000,927000000,2800000000,2980000000,2944000000,4082000000,5262000000,6570000000,4227000000,4924000000,7872000000
54,Long-Term Debt,- -,- -,- -,288548000,429689000,265000000,265000000,1184928000,1492947000,118438000,2293756000,1867000000,2181000000,2072000000,1931000000,2589000000,2313000000,2364000000,3603000000,3727000000,2956000000,2996000000,5541000000,5198000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,160000000,170000000,154000000,156000000,143000000,215000000,200000000,171000000,146000000,87000000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,41981000,49240000,40917000,29514000,95151000,115791000,91811000,671933000,683000000,698000000,670000000,713000000,708000000,626000000,602000000,720000000,602000000,501000000,552000000,502000000,406000000
57,Other Non-Current Liabilities,- -,- -,- -,178405000,137134000,147010000,155427000,187374000,189728000,149668000,409532000,201000000,198000000,179000000,196000000,153000000,159000000,142000000,144000000,162000000,137000000,510000000,576000000,234000000
58,Total Non-Current Liabilities,- -,- -,- -,508934000,616063000,452927000,449941000,1467453000,1798466000,359917000,3375221000,2911000000,3247000000,3075000000,2996000000,3593000000,3313000000,3308000000,4638000000,4637000000,3681000000,4058000000,6619000000,5838000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,7735000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,331000000,389000000,386000000
61,Total Liabilities,- -,- -,- -,802486000,911524000,690558000,658257000,1792781000,2259001000,771114000,8436430000,5778000000,11478000000,9105000000,3923000000,6393000000,6293000000,6252000000,8720000000,9899000000,10251000000,8285000000,11543000000,13710000000
62,Preferred Stock,- -,- -,- -,- -,133840000,133840000,130134000,95017000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,1302000,1305000,1306000,1306000,1307000,1307000,1393000,2023000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000
64,Retained Earnings,- -,- -,- -,412890000,446253000,332527000,330701000,385794000,512997000,1030398000,1350278000,1610000000,2004000000,2391000000,2678000000,2976000000,3292000000,3571000000,3479000000,3970000000,4558000000,5027000000,5628000000,6465000000
65,Other Comprehensive Income/Loss,- -,- -,- -,-336528000,-377724000,-369041000,-268787000,-1000000,136000000,-5000000,-619000000,-406000000,-272000000,-350000000,-185000000,-67000000,-682000000,-864000000,-979000000,-862000000,-1530000000,-1686000000,-1368000000,-1587000000
66,Other Total Stockholders Equity,- -,- -,- -,440724000,67198000,62064000,-36791000,-228111000,807051000,1181492000,3508121000,3721000000,2984000000,2933000000,2713000000,3273000000,3181000000,2900000000,2928000000,2777000000,2419000000,2296000000,2171000000,- -
67,Total Stockholders Equity,- -,- -,- -,518388000,270872000,160696000,156563000,253007000,1457355000,2208283000,4241422000,4927000000,4718000000,4976000000,5208000000,6184000000,5793000000,5609000000,5430000000,5887000000,5449000000,5639000000,6433000000,6395000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,1320874000,1182396000,851254000,814820000,2045788000,3716356000,2979397000,12677852000,10705000000,16196000000,14081000000,9131000000,12577000000,12086000000,11861000000,14150000000,15786000000,15700000000,13924000000,17976000000,20105000000
69,Minority Interest,- -,- -,- -,5377000,-6482000,- -,- -,998000,96000,- -,17023000,17000000,11000000,10000000,1000000,- -,1000000,- -,- -,- -,- -,- -,3000000,10000000
70,Total Liabilities & Equity,- -,- -,- -,1326251000,1175914000,851254000,814820000,2046786000,3716452000,2979397000,12694875000,10722000000,16207000000,14091000000,9132000000,12577000000,12087000000,11861000000,14150000000,15786000000,15700000000,13924000000,17979000000,20115000000
71,SEC Link,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/1120193/000091205702012206/0000912057-02-012206-index.html,https://www.sec.gov/Archives/edgar/data/1120193/000104746903011291/0001047469-03-011291-index.html,https://www.sec.gov/Archives/edgar/data/1120193/000110465904007461/a04-3218_110k.htm,https://www.sec.gov/Archives/edgar/data/1120193/000119312505048077/d10k.htm,https://www.sec.gov/Archives/edgar/data/1120193/000119312506054916/d10k.htm,https://www.sec.gov/Archives/edgar/data/1120193/000119312507042803/0001193125-07-042803-index.html,https://www.sec.gov/Archives/edgar/data/1120193/000119312508037364/d10k.htm,https://www.sec.gov/Archives/edgar/data/1120193/000119312509039333/0001193125-09-039333-index.html,https://www.sec.gov/Archives/edgar/data/1120193/000119312510034340/0001193125-10-034340-index.html,https://www.sec.gov/Archives/edgar/data/1120193/000119312511045348/d10k.htm,https://www.sec.gov/Archives/edgar/data/1120193/000119312512077518/0001193125-12-077518-index.html,https://www.sec.gov/Archives/edgar/data/1120193/000119312513069357/0001193125-13-069357-index.html,https://www.sec.gov/Archives/edgar/data/1120193/000112019314000002/ndaq-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1120193/000112019315000003/ndaq-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1120193/000112019316000020/0001120193-16-000020-index.html,https://www.sec.gov/Archives/edgar/data/1120193/000112019317000003/0001120193-17-000003-index.html,https://www.sec.gov/Archives/edgar/data/1120193/000112019318000003/0001120193-18-000003-index.html,https://www.sec.gov/Archives/edgar/data/1120193/000112019319000002/0001120193-19-000002-index.html,https://www.sec.gov/Archives/edgar/data/1120193/000112019320000004/0001120193-20-000004-index.html,https://www.sec.gov/Archives/edgar/data/1120193/000112019321000011/0001120193-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1120193/000112019322000007/0001120193-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,23306000,40463000,43128000,-105447000,11362000,61690000,127893000,518401000,319880000,266000000,395000000,387000000,352000000,385000000,414000000,428000000,108000000,734000000,458000000,774000000,933000000,1187000000
74,Depreciation and Amortization,- -,- -,65645000,100283000,101066000,89933000,76877000,68344000,70916000,38890000,92578000,104000000,103000000,109000000,104000000,122000000,137000000,138000000,170000000,188000000,210000000,190000000,202000000,278000000
75,Deferred Income Tax,- -,- -,-67063000,-23178000,13662000,2103000,26970000,3469000,13404000,-15582000,-103145000,-10000000,-35000000,4000000,16000000,28000000,-6000000,-14000000,-136000000,10000000,342000000,35000000,41000000,94000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35000000,33000000,36000000,46000000,47000000,62000000,68000000,86000000,70000000,69000000,79000000,87000000,90000000
77,Change in Working Capital,- -,- -,118815000,389606000,-120075000,-109559000,-94105000,73754000,1580376000,-581191000,-896577000,212757000,-308000000,264000000,22000000,-202000000,57000000,-80000000,138000000,-211000000,-467000000,263000000,2673000000,-469000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,51000000,-40000000,-38000000,5000000,-12000000,33000000,-49000000,5000000,-17000000
81,Other Working Capital,- -,- -,132014000,521620000,401545000,291986000,197881000,271635000,1852011000,1270820000,374243000,587000000,279000000,543000000,565000000,363000000,420000000,340000000,478000000,267000000,-200000000,63000000,2736000000,106000000
82,Other Non-Cash Items,- -,- -,114851000,-442144000,119364000,228237000,95921000,-86354000,-1591514000,212718000,994989000,-25757000,252000000,-131000000,54000000,194000000,23000000,145000000,356000000,118000000,416000000,-378000000,-2684000000,-97000000
83,Cash Provided by Operating Activities,- -,- -,255554000,65030000,157145000,105267000,117025000,120903000,201075000,173236000,407725000,582000000,440000000,669000000,594000000,574000000,687000000,685000000,722000000,909000000,1028000000,963000000,1252000000,1083000000
84,CAPEX,- -,- -,-195900000,-122555000,-85398000,-31595000,-26029000,-25402000,-21035000,-18489000,-54719000,-59000000,-42000000,-88000000,-87000000,-115000000,-140000000,-133000000,-134000000,-144000000,-111000000,-127000000,-188000000,-163000000
85,Acquisitions Net,- -,- -,-16979000,- -,- -,- -,-190000000,-970467000,-53959000,-15105000,-2998821000,8000000,-190000000,-26000000,-112000000,-1121000000,- -,-256000000,-1460000000,-776000000,185000000,-74000000,-157000000,-2240000000
86,Purchases of Investments,- -,- -,-248214000,-391893000,-212643000,-197604000,-264291000,-623656000,-1827057000,-80400000,-164588000,-623000000,-237000000,-533000000,-301000000,-453000000,-303000000,-384000000,-468000000,-392000000,-421000000,-579000000,-283000000,-316000000
87,Sales/Maturities of Investments,- -,- -,165742000,395038000,209181000,231325000,267709000,648102000,620450000,1916540000,15176000,621000000,351000000,501000000,372000000,500000000,298000000,348000000,411000000,424000000,543000000,554000000,424000000,285000000
88,Other Investing Activites,- -,- -,3108000,10214000,-13665000,-2357000,11299000,18040000,7218000,55332000,54282000,- -,- -,- -,- -,- -,-10000000,-16000000,-6000000,-2000000,- -,-14000000,-27000000,-219000000
89,Cash Used for Investing Activites,- -,- -,-292243000,-109196000,-102525000,-231000,-201312000,-953383000,-1274383000,1857878000,-3148670000,-53000000,-118000000,-146000000,-128000000,-1189000000,-155000000,-441000000,-1657000000,-890000000,196000000,-240000000,-231000000,-2653000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-340000000,-2216000000,-948000000,-145000000,-289000000,-970000000,-369000000,-1156000000,-708000000,-320000000,-1215000000,-1468000000,-804000000
91,Common Stock Issued,- -,- -,- -,93825000,2238000,996000,2273000,52930000,999544000,16818000,29729000,8000000,6000000,10000000,- -,23000000,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-240000000,-305155000,-147000,-85000,-38567000,-105059000,- -,- -,- -,-797000000,-100000000,-278000000,-10000000,-209000000,-411000000,-165000000,-274000000,-444000000,-239000000,-262000000,-1004000000
93,Dividends Paid,- -,- -,- -,- -,- -,-8279000,-8354000,-3220000,- -,- -,- -,- -,- -,- -,-65000000,-87000000,-98000000,-149000000,-200000000,-243000000,-280000000,-305000000,-320000000,-350000000
94,Other Financing Activites,- -,- -,288348000,221815000,158837000,-150140000,-290000,928388000,335581000,-1044613000,1999145000,-4000000,2412000000,713000000,3000000,910000000,792000000,567000000,2523000000,1172000000,17000000,822000000,3433000000,3576000000
95,Cash Used/Provided by Financing Activities,- -,- -,288348000,75640000,-144080000,-157570000,-6456000,939531000,1230066000,-1027795000,2028874000,-336000000,-595000000,-325000000,-485000000,547000000,-485000000,-362000000,1002000000,-53000000,-1027000000,-937000000,1383000000,1418000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-47483000,27000000,-6000000,-7000000,10000000,-4000000,-18000000,-8000000,-6000000,15000000,-10000000,-10000000,16000000,-331000000
97,Net Change In Cash,- -,- -,251659000,31474000,-89460000,-52534000,-90743000,107051000,156758000,1003319000,-759554000,220000000,-279000000,191000000,-9000000,-72000000,29000000,-126000000,61000000,-19000000,187000000,-224000000,2420000000,-483000000
98,Cash at the End of Period,- -,- -,262257000,293731000,204271000,148929000,58186000,165237000,321995000,1325314000,565760000,594000000,315000000,506000000,497000000,425000000,427000000,301000000,418000000,399000000,586000000,362000000,2782000000,5496000000
99,Cash at the Beginning of Period,- -,- -,10598000,262257000,293731000,201463000,148929000,58186000,165237000,321995000,1325314000,374000000,594000000,315000000,506000000,497000000,398000000,427000000,357000000,418000000,399000000,586000000,362000000,5979000000
100,Free Cash Flow,- -,- -,59654000,-57525000,71747000,73672000,90996000,95501000,180040000,154747000,353006000,523000000,398000000,581000000,507000000,459000000,547000000,552000000,588000000,765000000,917000000,836000000,1064000000,920000000
101,SEC Link,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1120193/000091205702012206/0000912057-02-012206-index.html,https://www.sec.gov/Archives/edgar/data/1120193/000104746903011291/0001047469-03-011291-index.html,https://www.sec.gov/Archives/edgar/data/1120193/000110465904007461/a04-3218_110k.htm,https://www.sec.gov/Archives/edgar/data/1120193/000119312505048077/d10k.htm,https://www.sec.gov/Archives/edgar/data/1120193/000119312506054916/d10k.htm,https://www.sec.gov/Archives/edgar/data/1120193/000119312507042803/0001193125-07-042803-index.html,https://www.sec.gov/Archives/edgar/data/1120193/000119312508037364/d10k.htm,https://www.sec.gov/Archives/edgar/data/1120193/000119312509039333/0001193125-09-039333-index.html,https://www.sec.gov/Archives/edgar/data/1120193/000119312510034340/0001193125-10-034340-index.html,https://www.sec.gov/Archives/edgar/data/1120193/000119312511045348/d10k.htm,https://www.sec.gov/Archives/edgar/data/1120193/000119312512077518/0001193125-12-077518-index.html,https://www.sec.gov/Archives/edgar/data/1120193/000119312513069357/0001193125-13-069357-index.html,https://www.sec.gov/Archives/edgar/data/1120193/000112019314000002/ndaq-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1120193/000112019315000003/ndaq-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1120193/000112019316000020/0001120193-16-000020-index.html,https://www.sec.gov/Archives/edgar/data/1120193/000112019317000003/0001120193-17-000003-index.html,https://www.sec.gov/Archives/edgar/data/1120193/000112019318000003/0001120193-18-000003-index.html,https://www.sec.gov/Archives/edgar/data/1120193/000112019319000002/0001120193-19-000002-index.html,https://www.sec.gov/Archives/edgar/data/1120193/000112019320000004/0001120193-20-000004-index.html,https://www.sec.gov/Archives/edgar/data/1120193/000112019321000011/0001120193-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1120193/000112019322000007/0001120193-22-000007-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
