,https://roic.ai/company/MEOH,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,3800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,220597000,220737000,228667000,201904000,193424000,197821000,193474000,198645000,217319000
43,Tax Assets,- -,- -,- -,68400000,72500000,113400000,126400000,98300000,142300000,164500000,172900000,261200000,265500000,331100000,351900000,338600000,299200000,300500000,307900000,302300000,191600000,147500000,233200000,285638000,290980000,266432000,281214000,272820000,137524000,98169000
44,Other Non-Current Assets,- -,- -,- -,69600000,9100000,-44700000,-58200000,-46100000,-97700000,-124400000,-122000000,-149900000,-169300000,-239100000,-251400000,-233900000,-168900000,-202700000,-234100000,-234900000,-132900000,-86697000,-142637000,-149241000,-79357000,-90567000,-147207000,-78395000,87909000,99186000
45,Total Non-Current Assets,- -,- -,- -,1152100000,1102100000,1133300000,1228900000,1182200000,1140000000,1117500000,1065700000,1431500000,1463000000,1488100000,1453200000,1646800000,2081700000,2300700000,2299200000,2359000000,2088400000,2512300000,3089400000,3523846000,3530996000,3367615000,3356923000,3964094000,4101134000,4100823000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,1774900000,1771200000,1968900000,1799100000,1644500000,1803700000,1693400000,1819300000,2081800000,2124900000,2097000000,2443500000,2869900000,2818000000,2923400000,3070200000,3393600000,3544600000,4113500000,4775300000,4555924000,4556663000,4610742000,4608999000,5196615000,5696051000,6089620000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,24400000,4900000,5100000,9100000,- -,- -,154693000,6078000,33026000,268303000,14032000,14032000,32247000,23330000,29330000,49965000,251107000,53334000,41504000,193831000,47864000,53997000,55905000,383793000,38420000,39771000,110076000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,302332000,191578000,147506000,233225000,223757000,137341000,102341000,59532000,111614000,- -,- -
52,Other Current Liabilities,- -,- -,- -,115600000,119200000,198000000,106600000,123300000,137300000,110307000,136022000,178374000,230797000,236068000,326568000,466053000,235370000,242270000,264135000,49561000,196088000,556290000,392744000,310321000,415595000,589702000,604028000,498212000,725621000,853142000
53,Total Current Liabilities,- -,- -,- -,140000000,124100000,203100000,115700000,123300000,137300000,265000000,142100000,211400000,499100000,250100000,340600000,498300000,258700000,271600000,314100000,603000000,441000000,745300000,819800000,581942000,606933000,747948000,1047353000,648246000,765392000,963218000
54,Long-Term Debt,- -,- -,- -,401300000,398200000,398500000,398700000,399000000,399200000,249500000,547200000,756200000,350900000,486900000,472900000,582000000,772000000,884900000,897000000,708100000,1240500000,1126800000,1528200000,1488026000,1502209000,1446366000,1074493000,2359118000,2323601000,2765217000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,213392000,212705000
57,Other Non-Current Liabilities,- -,- -,- -,94000000,136600000,175800000,177100000,165900000,222000000,243400000,225900000,330600000,325600000,410500000,420700000,454200000,505400000,530800000,582400000,677800000,573200000,583700000,641000000,766227000,850686000,915664000,975940000,857566000,952209000,193749000
58,Total Non-Current Liabilities,- -,- -,- -,495300000,534800000,574300000,575800000,564900000,621200000,492900000,773100000,1086800000,676500000,897400000,893600000,1036200000,1277400000,1415700000,1479400000,1385900000,1813700000,1710500000,2169200000,2254253000,2352895000,2362030000,2050433000,3216684000,3489202000,3171671000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32146000,- -,24676000,- -,- -,- -,62692000,55979000,- -,- -,- -,- -,- -,- -,718505000,722234000,717101000
61,Total Liabilities,- -,- -,- -,635300000,658900000,777400000,691500000,688200000,758500000,757900000,915200000,1298200000,1175600000,1147500000,1234200000,1534500000,1536100000,1687300000,1793500000,1988900000,2254700000,2455800000,2989000000,2836195000,2959828000,3109978000,3097786000,3864930000,4254594000,4134889000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,768200000,775000000,720600000,712500000,711100000,660400000,538200000,517200000,499300000,523300000,502900000,474700000,451600000,427300000,427800000,440100000,455400000,481800000,531600000,521000000,509464000,511465000,480331000,446544000,440472000,440723000,432728000
64,Retained Earnings,- -,- -,- -,371400000,337300000,470900000,395100000,245100000,384800000,397300000,386900000,284300000,422500000,442500000,724200000,876300000,872000000,806200000,850700000,943000000,805700000,1126700000,1263000000,1235615000,1124104000,1088150000,1145476000,1039819000,843606000,1251640000
65,Other Comprehensive Income/Loss,- -,- -,- -,-553600000,-721200000,-830600000,-914300000,-997800000,-1101600000,-1195900000,-1383900000,-1589100000,-1331800000,-1417400000,-1495000000,-17400000,-80000000,-49800000,-81000000,-32000000,-26000000,-11000000,-800000,-28000000,-41000000,-70000000,-82000000,-150000000,-137102000,-2720000
66,Other Total Stockholders Equity,- -,- -,- -,553600000,721100000,830600000,914300000,997900000,1101600000,1195900000,1383878000,1589074000,1335244000,1421514000,1505351000,24854000,62600000,51886000,66827000,38325000,28376000,10423000,3173000,2650000,2266000,2283000,1193000,1394000,1873000,- -
67,Total Stockholders Equity,- -,- -,- -,1139600000,1112200000,1191500000,1107600000,956300000,1045200000,935500000,904078000,783574000,949244000,949514000,1209251000,1335354000,1281900000,1236086000,1276627000,1404725000,1289876000,1657723000,1786373000,1719729000,1596835000,1500764000,1511213000,1331685000,1149100000,1683576000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,1774900000,1771100000,1968900000,1799100000,1644500000,1803700000,1693400000,1819278000,2081774000,2124844000,2097014000,2443451000,2869854000,2818000000,2923386000,3070127000,3393625000,3544576000,4113523000,4775373000,4555924000,4556663000,4610742000,4608999000,5196615000,5403694000,5818465000
69,Minority Interest,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,22000,26000,56000,-14000,49000,46000,- -,14000,73000,-25000,24000,-23000,-73000,- -,- -,- -,- -,- -,292357000,271155000
70,Total Liabilities & Equity,- -,- -,- -,1774900000,1771200000,1968900000,1799100000,1644500000,1803700000,1693400000,1819300000,2081800000,2124900000,2097000000,2443500000,2869900000,2818000000,2923400000,3070200000,3393600000,3544600000,4113500000,4775300000,4555924000,4556663000,4610742000,4608999000,5196615000,5696051000,6089620000
71,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/886977/000094523403000154/o09336exv3.htm,https://www.sec.gov/Archives/edgar/data/886977/000094523404000200/o11929aexv3.htm,https://www.sec.gov/Archives/edgar/data/886977/000094523405000212/o15578exv3.htm,https://www.sec.gov/Archives/edgar/data/886977/000094523406000255/o30192exv3.htm,https://www.sec.gov/Archives/edgar/data/886977/000094523407000207/0000945234-07-000207-index.html,https://www.sec.gov/Archives/edgar/data/886977/000094523408000134/o38546exv3.htm,https://www.sec.gov/Archives/edgar/data/886977/000136231009004447/0001362310-09-004447-index.html,https://www.sec.gov/Archives/edgar/data/886977/000095012310028633/0000950123-10-028633-index.html,- -,https://www.sec.gov/Archives/edgar/data/886977/000119312512119261/0001193125-12-119261-index.html,https://www.sec.gov/Archives/edgar/data/886977/000119312513107115/0001193125-13-107115-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/886977/000119312516496893/0001193125-16-496893-index.html,https://www.sec.gov/Archives/edgar/data/886977/000119312517073095/0001193125-17-073095-index.html,https://www.sec.gov/Archives/edgar/data/886977/000119312518072269/0001193125-18-072269-index.html,https://www.sec.gov/Archives/edgar/data/886977/000119312519072068/0001193125-19-072068-index.html,https://www.sec.gov/Archives/edgar/data/886977/000119312520084155/0001193125-20-084155-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-8600000,10700000,442700000,191700000,-7900000,202000000,-68400000,-149900000,144900000,71400000,26400000,7500000,236400000,165800000,482900000,375700000,172300000,700000,101700000,201300000,-68100000,329200000,454600000,200617000,-12545000,316135000,568982000,87767000,-156678000,482358000
74,Depreciation and Amortization,7400000,57800000,74600000,97600000,114100000,117100000,106800000,111500000,109971000,113719000,111289000,95107000,78701000,91225000,106828000,112428000,107126000,117590000,131381000,156667000,171635000,123335000,142738000,194849000,228054000,232225000,245303000,344127000,357129000,363084000
75,Deferred Income Tax,- -,3300000,30900000,27000000,4200000,40800000,-1400000,-28100000,26407000,22162000,8446000,45239000,46656000,65536000,20844000,-13316000,-39410000,1318000,7355000,- -,-83718000,65681000,155337000,10997000,-9279000,95788000,153491000,4474000,-62105000,110427000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12527000,31496000,-4890000,35907000,130873000,-15805000,-21989000,33493000,78821000,-6289000,-3950000,55253000,-1160000
77,Change in Working Capital,-18800000,-63000000,-207500000,138500000,-27700000,-24100000,22000000,-8500000,-80789000,157027000,-56519000,28405000,-39077000,38330000,-154083000,33396000,82532000,-18253000,-98706000,35388000,21774000,-67527000,57926000,-117126000,-64381000,-49368000,5998000,9426000,64923000,-83109000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,-5800000,-11300000,-61600000,45500000,-2300000,-26600000,21400000,1900000,-65495000,41158000,-22998000,552000,-15565000,2375000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-154083000,33396000,82532000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,-2600000,-300000,4600000,54500000,113500000,10600000,12400000,82500000,15315000,12148000,100493000,184713000,12939000,2157000,12348000,19127000,2505000,-3625000,-20344000,91242000,380779000,4235000,6221000,29603000,74588000,114141000,12721000,73587000,202560000,122326000
83,Cash Provided by Operating Activities,-22600000,8500000,345300000,509300000,196200000,346400000,71400000,7500000,215804000,376456000,190109000,360964000,335619000,363048000,468837000,527335000,325053000,110257000,152882000,479707000,458277000,585797000,801017000,296951000,249930000,787742000,980206000,515431000,461082000,993926000
84,CAPEX,-23800000,-69100000,-160000000,-182100000,-174300000,-153800000,-178000000,-138700000,-19355000,-91342000,-160158000,-242950000,-156723000,-118241000,-53074000,-278161000,-484957000,-322552000,-168383000,-157622000,-241520000,-594444000,-659770000,-424219000,-99947000,-103170000,-244476000,-323860000,-341816000,-245437000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-31733000,- -,- -,-74130000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-41781000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-4200000,-9800000,-179700000,-63700000,-17800000,44900000,-73100000,600000,-12227000,8624000,-10350000,-38742000,-4980000,-152000,34546000,-2248000,591000,-57778000,49251000,15059000,13112000,68015000,-21252000,-2036000,11738000,-2347000,-61875000,73168000,63753000,-7611000
89,Cash Used for Investing Activites,-28000000,-78900000,-339700000,-245800000,-192100000,-108900000,-251100000,-138100000,-63315000,-82718000,-170508000,-355822000,-161703000,-118393000,-18528000,-280409000,-526147000,-380330000,-119132000,-142563000,-228408000,-526429000,-681022000,-426255000,-88209000,-105517000,-306351000,-250692000,-278063000,-253048000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-26439000,-30991000,-55614000,-257817000,-39491000,-70875000,-225172000,-53561000,-63877000,-221915000,-490028000,-702751000,-336435000
91,Common Stock Issued,84100000,7500000,246000000,8800000,900000,2800000,900000,- -,663000,6428000,10684000,19173000,44654000,10621000,7519000,9520000,4075000,425000,9237000,11393000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-110900000,-85300000,- -,-125600000,-16400000,-1400000,-60987000,-187620000,-55974000,-88648000,-85720000,-130963000,-186779000,-204727000,-149856000,- -,- -,- -,- -,- -,-252644000,-146283000,- -,-286120000,-444414000,-52805000,- -,-62898000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12507000,-58537000,-33403000,-47989000,-52520000,-55045000,-56833000,-57087000,-57200000,-61909000,-68077000,-74937000,-89913000,-97221000,-98797000,-101497000,-105676000,-107876000,-36004000,-24634000
94,Other Financing Activites,-29200000,53400000,-33800000,20500000,-20700000,-6300000,-9400000,-3800000,-18172000,-6359000,127454000,-10654000,-177261000,-127618000,-22230000,136496000,243914000,194532000,69210000,-74097000,490924000,60411000,512301000,-98686000,-40407000,-79142000,-21252000,546656000,972814000,-218683000
95,Cash Used/Provided by Financing Activities,54900000,60900000,101300000,-56000000,-19800000,-129100000,-24900000,-5200000,-78496000,-187551000,69657000,-138666000,-251730000,-295949000,-254010000,-113756000,41300000,111431000,-9744000,-180227000,165030000,-54017000,98869000,-567362000,-192765000,-530636000,-793257000,-104053000,234059000,-642650000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,54900000,60900000,101300000,-56000000,-19800000,-129100000,-24900000,-135800000,73993000,106187000,89258000,-133524000,-77814000,-51294000,196299000,133170000,-159794000,-158642000,24006000,156917000,394899000,5351000,218864000,-696666000,-31044000,151589000,-119402000,160686000,417078000,98228000
