,https://roic.ai/company/YELL,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,1325700000,1466400000,1558500000,1761900000,2020900000,2032500000,2117100000,2012100000,2593500000,3627535000,3925170000,3869795000,4181698000,3659840000,4056407000,4523125000,4178162000,3322442000,3880398000,8422390000,11028149000,12692364000,12773503000,8965941000,6166729000,4559919000,5007081000,4836100000,4839200000,5035200000,4737500000,4587800000,4793200000,4969900000,4860500000,5176000000,5017500000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4293000,874000,321000,435000,700000,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,77907000,161923000,159192000,156106000,150800000,163900000,150000000,107600000,103400000,102800000,105800000,111200000,135900000,150700000
14,Depreciation and Amortization,75800000,86900000,99000000,108400000,-123300000,-128100000,-124700000,-118400000,-132400000,133970000,135265000,130098000,119018000,103856000,110310000,126883000,126143000,79334000,87398000,171468000,250562000,274184000,255603000,264291000,255212000,203461000,195666000,183800000,172300000,163600000,163700000,159800000,147700000,147700000,320400000,134000000,276900000
15,EBITDA,171300000,210200000,163400000,213400000,-96800000,-26200000,-84300000,-64500000,-97000000,126537000,90244000,95797000,208183000,104659000,199589000,247287000,154668000,-955000,154212000,469131000,722825000,730140000,-396114000,-801264000,-473570000,-62068000,-6943000,179200000,206700000,229800000,266900000,287800000,232400000,284800000,323300000,197900000,321600000
16,EBITDA ratio,0.1119,0.1227,0.0928,0.1058,-0.0436,-0.0114,-0.0360,-0.0285,-0.0340,0.0441,0.0295,0.0312,0.0622,0.0361,0.0619,0.0689,0.0472,-0.0004,0.0503,0.0693,0.0827,0.0736,-0.0412,-0.0896,-0.0896,-0.0143,-0.0014,0.0369,0.0425,0.0453,0.0552,0.0613,0.0475,0.0559,0.0664,0.0439,0.0628
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,11011000,-21588000,-13515000,98731000,83396000,107506000,152529000,57353000,46864000,88602000,361601000,536310000,545434000,-565126000,-1074126000,-883951000,-230560000,-138237000,24100000,28400000,45500000,93000000,124300000,98400000,142900000,16200000,56500000,103600000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0038,-0.0071,-0.0044,0.0295,0.0288,0.0333,0.0425,0.0175,0.0179,0.0289,0.0534,0.0614,0.0550,-0.0587,-0.1201,-0.1673,-0.0532,-0.0284,0.0050,0.0058,0.0090,0.0192,0.0265,0.0201,0.0281,0.0033,0.0125,0.0202
19,Total Other Income Expenses (Gains),-109100000,-124000000,-137100000,-149600000,-172400000,-168000000,-186600000,-185200000,-227600000,-14386000,-23433000,-20786000,-9566000,-13847000,-18227000,-30841000,-28828000,-9278000,-21788000,-63938000,-64047000,-89478000,-86591000,-69336000,-6754000,-173040000,-223632000,-175600000,-157900000,-129300000,-97400000,-99700000,-116500000,-111600000,-124500000,-129500000,-209600000
20,Income Before Tax,95500000,123300000,64400000,105000000,26500000,101900000,40400000,65400000,35400000,-3375000,-45021000,-34301000,89165000,69549000,89279000,121688000,28525000,37586000,66814000,297663000,472263000,455956000,-651717000,-1143462000,-890705000,-403600000,-361869000,-151500000,-129500000,-83800000,-4400000,24600000,-18100000,31300000,-108300000,-73000000,-106000000
21,Income Before Tax Ratio,0.0624,0.0719,0.0366,0.0521,0.0119,0.0443,0.0172,0.0289,0.0124,-0.0012,-0.0147,-0.0112,0.0266,0.0240,0.0277,0.0339,0.0087,0.0143,0.0218,0.0440,0.0540,0.0460,-0.0677,-0.1279,-0.1686,-0.0931,-0.0743,-0.0312,-0.0266,-0.0165,-0.0009,0.0052,-0.0037,0.0061,-0.0222,-0.0162,-0.0207
22,Income Tax expense (Gain),40000000,56200000,23100000,36000000,7900000,36600000,13700000,24400000,16600000,473000,-14899000,-7121000,36730000,29472000,38364000,52386000,13224000,13613000,26131000,113336000,184133000,179324000,-13336000,-169070000,-268686000,-102487000,-7452000,-15000000,-45900000,-16100000,-5100000,3100000,-7300000,11100000,-4300000,-19000000,3100000
23,Net Income,55500000,67100000,41300000,69000000,18600000,65300000,26700000,29500000,18800000,-7906000,-30122000,-27180000,52435000,-28669000,50915000,68018000,15301000,-93902000,40683000,184327000,288130000,276632000,-638381000,-974392000,-622019000,-322234000,-351263000,-140400000,-83600000,-67700000,700000,21500000,-10800000,20200000,-104000000,-53000000,-109100000
24,Net Income ratio,0.0363,0.0392,0.0235,0.0342,0.0084,0.0284,0.0114,0.0130,0.0066,-0.0028,-0.0099,-0.0088,0.0157,-0.0099,0.0158,0.0190,0.0047,-0.0358,0.0133,0.0272,0.0330,0.0279,-0.0664,-0.1090,-0.1177,-0.0743,-0.0721,-0.0289,-0.0172,-0.0134,0.0001,0.0046,-0.0022,0.0040,-0.0213,-0.0117,-0.0213
25,EPS,14626.46,17626.76,10801.08,18001.80,4875.49,17326.73,7125.71,7875.79,5025.50,-2100.21,-8025.80,-7275.73,13951.40,-8025.80,15301.53,20702.07,4725.47,-25127.51,10051.01,28727.87,39753.98,36153.62,-83783.38,-126912.69,-78307.83,-2439.24,-196.12,-19.20,-8.96,-3.00,0.02,0.66,-0.33,0.74,-3.13,-1.28,-2.62
26,EPS Diluted,14626.46,17626.76,10801.08,18001.80,4875.49,17326.73,7125.71,7875.79,5025.50,-2100.21,-8025.80,-7275.73,13726.37,-8025.80,15151.52,20552.06,4650.47,-25127.51,9976.00,28127.81,38028.80,35553.56,-83783.38,-126912.69,-78307.83,-2439.24,-196.12,-19.20,-8.96,-3.00,0.02,0.65,-0.33,0.72,-3.13,-1.28,-2.62
27,Weighted Average Shares Outstanding,3794,3807,3824,3833,3815,3769,3747,3746,3741,3747,3747,3747,3768,3560,3333,3286,3249,3733,4048,6419,7247,7647,7619,7676,7927,131990,2087000,7311000,9332000,28592000,31736000,32416000,32685000,32983000,33252000,41694000,41694000
28,Weighted Average Shares Outstanding Diluted,3794,3807,3824,3833,3815,3769,3747,3746,3741,3747,3747,3747,3820,3588,3355,3304,3290,3782,4086,6555,7586,7777,7619,7676,7927,131990,2087000,7311000,9332000,28592000,32592000,33040000,32685000,33859000,33252000,41694000,41694000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/716006/0000950124-94-000601-index.html,https://www.sec.gov/Archives/edgar/data/716006/000095012495000900/0000950124-95-000900-index.html,https://www.sec.gov/Archives/edgar/data/716006/000095013796000379/0000950137-96-000379-index.html,https://www.sec.gov/Archives/edgar/data/716006/000095013797001237/0000950137-97-001237-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/716006/000095013701000911/0000950137-01-000911-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/716006/000119312505050743/d10k.htm,https://www.sec.gov/Archives/edgar/data/716006/000119312506054641/d10k.htm,https://www.sec.gov/Archives/edgar/data/716006/000119312507044346/d10k.htm,https://www.sec.gov/Archives/edgar/data/716006/000119312508043208/d10k.htm,https://www.sec.gov/Archives/edgar/data/716006/000119312509042369/0001193125-09-042369-index.html,https://www.sec.gov/Archives/edgar/data/716006/000119312510058523/0001193125-10-058523-index.html,https://www.sec.gov/Archives/edgar/data/716006/000119312511066014/d10k.htm,https://www.sec.gov/Archives/edgar/data/716006/000119312512083494/0001193125-12-083494-index.html,https://www.sec.gov/Archives/edgar/data/716006/000071600613000003/0000716006-13-000003-index.html,https://www.sec.gov/Archives/edgar/data/716006/000071600614000006/yrcw-201310k.htm,https://www.sec.gov/Archives/edgar/data/716006/000071600615000013/yrcw-201410k.htm,https://www.sec.gov/Archives/edgar/data/716006/000071600616000049/0000716006-16-000049-index.html,https://www.sec.gov/Archives/edgar/data/716006/000071600617000004/0000716006-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/716006/000071600618000004/0000716006-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/716006/000071600619000004/0000716006-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/716006/000156459020010103/0001564590-20-010103-index.html,https://www.sec.gov/Archives/edgar/data/716006/000156459021005530/0001564590-21-005530-index.htm,https://www.sec.gov/Archives/edgar/data/716006/000095017022000779/0000950170-22-000779-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,7500000,14600000,8700000,8200000,4400000,8300000,4800000,19000000,13900000,17613000,25861000,24800000,19793000,25522000,22581000,25799000,20694000,28714000,75166000,106489000,82361000,76391000,58233000,325349000,97788000,143017000,200521000,208700000,176300000,171100000,173800000,136700000,91600000,227600000,109200000,439000000,310700000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,7305000,5414000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,7500000,14600000,8700000,8200000,4400000,8300000,4800000,19000000,13900000,24918000,31275000,24800000,19793000,25522000,22581000,25799000,20694000,28714000,75166000,106489000,82361000,76391000,58233000,325349000,97788000,143017000,200521000,208700000,176300000,171100000,173800000,136700000,91600000,227600000,109200000,439000000,310700000
34,Net Receivables,137900000,153800000,172900000,193300000,207200000,201600000,200500000,188300000,276200000,295332000,323814000,286908000,359568000,272436000,265302000,222926000,208267000,327913000,699142000,778596000,1164383000,1190818000,1073915000,837055000,515807000,442500000,476793000,460100000,460900000,470500000,427400000,448700000,488300000,470300000,464400000,505000000,663700000
35,Inventory,35200000,37800000,35800000,- -,39400000,44200000,40900000,41600000,55900000,62198000,16909000,15426000,16528000,8966000,16563000,15455000,14274000,- -,16452000,20916000,31499000,26600000,29051000,24719000,18407000,16463000,25909000,27400000,17000000,14200000,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,10900000,11800000,11500000,51500000,14700000,15600000,23800000,25100000,33400000,20909000,113012000,62874000,62872000,67691000,47446000,49225000,69175000,68726000,93676000,147440000,199389000,297282000,216335000,273382000,226818000,166052000,134736000,77900000,143700000,95900000,133200000,195400000,120200000,58700000,44600000,85000000,69100000
37,Total Current Assets,191500000,218000000,228900000,253000000,265700000,269700000,270000000,274000000,379400000,403357000,485010000,390008000,458761000,374615000,351892000,313405000,312410000,425353000,884436000,1053441000,1477632000,1591091000,1377534000,1460505000,858820000,768032000,837959000,774100000,797900000,751700000,734400000,780800000,700100000,756600000,618200000,1029000000,1043500000
38,PP&E,533700000,623000000,676900000,748600000,803400000,836600000,816200000,775100000,855900000,877284000,921848000,812690000,786309000,702802000,866772000,888578000,865572000,564976000,1403268000,1422718000,2205792000,2269846000,2380473000,2200977000,1839478000,1550574000,1336554000,1191400000,1089800000,994200000,937300000,870600000,812700000,796100000,1156300000,764000000,1317100000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,96383000,94392000,101722000,52656000,617313000,632141000,1230781000,1326583000,700659000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,467114000,468310000,713677000,691417000,533327000,184769000,163544000,139525000,117492000,99200000,79800000,60300000,40400000,27200000,27800000,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,96383000,94392000,101722000,52656000,1084427000,1100451000,1944458000,2018000000,1233986000,184769000,163544000,139525000,117492000,99200000,79800000,60300000,40400000,27200000,27800000,25200000,15000000,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22300000,23400000,23200000,22300000,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18300000,21400000,23000000,24900000,- -,- -,600000,- -,1400000
44,Other Non-Current Assets,22700000,21400000,18100000,19100000,12600000,9700000,11600000,11900000,30400000,26580000,28039000,25109000,25742000,28268000,10536000,12102000,6073000,- -,91098000,50559000,106307000,73300000,70630000,119862000,170232000,134802000,193835000,138500000,55700000,134200000,137200000,66500000,44900000,39200000,41500000,- -,63600000
45,Total Non-Current Assets,556400000,644400000,695000000,767700000,816000000,846300000,827800000,787000000,886300000,903864000,949887000,837799000,812051000,731070000,973691000,995072000,973367000,617632000,2578793000,2573728000,4256557000,4361146000,3685089000,2505608000,2173254000,1824901000,1647881000,1451400000,1267000000,1233300000,1160200000,989200000,885400000,860500000,1213400000,764000000,1382100000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,747900000,862400000,923900000,1020700000,1081700000,1116000000,1097800000,1061000000,1265700000,1307221000,1434897000,1227807000,1270812000,1105685000,1325583000,1308477000,1285777000,1042985000,3463229000,3627169000,5734189000,5952237000,5062623000,3966113000,3032074000,2592933000,2485840000,2225500000,2064900000,1985000000,1894600000,1770000000,1585500000,1617100000,1831600000,1793000000,2425600000
48,Accounts Payable,- -,- -,- -,- -,61300000,57100000,49200000,45300000,71600000,118412000,81986000,76288000,85601000,68041000,67265000,76814000,57683000,114989000,158780000,194172000,263806000,397586000,387740000,333910000,198725000,147112000,151922000,162000000,176700000,172200000,161100000,160600000,172000000,178000000,163700000,160000000,178400000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,7741000,84592000,78911000,83477000,79680000,70304000,132860000,76941000,74261000,103152000,117317000,130128000,225000000,411955000,573337000,197127000,222873000,9459000,9100000,8600000,31100000,15900000,16800000,30600000,20700000,124900000,118200000,148800000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29800000,27600000,23600000,24700000,25800000,68600000,72800000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,226100000,260300000,241100000,264500000,208000000,233100000,238500000,209900000,270900000,249838000,276218000,268506000,311757000,268474000,297240000,292526000,234584000,261109000,601265000,888250000,1270840000,737883000,795844000,846404000,613976000,648712000,514355000,424100000,399300000,400200000,396500000,384500000,341600000,393700000,363400000,421800000,496900000
53,Total Current Liabilities,226100000,260300000,241100000,264500000,269300000,290200000,287700000,255200000,342500000,375991000,442796000,423705000,480835000,416195000,434809000,502200000,369208000,450359000,863197000,1199739000,1664774000,1360469000,1595539000,1753651000,1009828000,1018697000,675736000,595200000,584600000,603500000,573500000,561900000,544200000,592400000,652000000,700000000,824100000
54,Long-Term Debt,66600000,75400000,126200000,168900000,186700000,163700000,145600000,123000000,214200000,240019000,341648000,192492000,163080000,156988000,274015000,136645000,213745000,50024000,836082000,403535000,1113085000,1058496000,822048000,787415000,935782000,837262000,1345201000,1065900000,1065700000,800500000,792600000,721800000,632000000,617000000,629500000,4000000,1601100000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,74600000,86600000,102700000,113700000,82300000,86900000,83300000,72800000,58900000,54481000,56032000,31555000,30341000,18433000,79005000,92413000,92817000,- -,298256000,319839000,387220000,609193000,521615000,238704000,146576000,118624000,31687000,- -,1800000,1500000,3700000,3600000,3100000,1800000,- -,- -,- -
57,Other Non-Current Liabilities,58700000,63700000,61000000,64600000,104800000,106300000,105300000,124500000,163600000,175887000,171744000,184355000,150705000,142817000,128374000,117443000,119018000,182644000,463609000,489865000,632622000,731530000,511117000,711949000,772698000,808367000,791828000,1193500000,1010200000,1053800000,904200000,898900000,759700000,711400000,991300000,- -,363900000
58,Total Non-Current Liabilities,199900000,225700000,289900000,347200000,373800000,356900000,334200000,320300000,436700000,470387000,569424000,408402000,344126000,318238000,481394000,346501000,425580000,232668000,1597947000,1213239000,2132927000,2399219000,1854780000,1738068000,1855056000,1764253000,2168716000,2259400000,2077700000,1855800000,1700500000,1624300000,1394800000,1330200000,1620800000,4000000,1965000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1489000000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,306900000,297500000,285100000,278000000,268600000,254600000,242200000,598400000,512500000,419200000
61,Total Liabilities,426000000,486000000,531000000,611700000,643100000,647100000,621900000,575500000,779200000,846378000,1012220000,832107000,824961000,734433000,916203000,848701000,794788000,683027000,2461144000,2412978000,3797701000,3759688000,3450319000,3491719000,2864884000,2782950000,2844452000,2854600000,2662300000,2459300000,2274000000,2186200000,1939000000,1922600000,2272800000,2185000000,2789100000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4346000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,28858000,28858000,28863000,29289000,29356000,29437000,29959000,31028000,31825000,50146000,51303000,60450000,60876000,61514000,62413000,991000,477000,68000,100000,100000,300000,300000,300000,300000,300000,300000,- -,500000
64,Retained Earnings,292800000,346000000,370000000,421100000,448300000,490300000,490600000,492200000,483600000,447887000,404761000,377712000,429700000,403262000,454177000,522195000,537496000,325474000,366157000,550484000,838614000,1115246000,471119000,-547338000,-1177280000,-1499514000,-1930202000,-2070600000,-2154200000,-2240000000,-2239300000,-2217800000,-2228600000,-2208400000,-2312400000,- -,-2475000000
65,Other Comprehensive Income/Loss,-299000000,-366300000,-419600000,-499900000,-572900000,-647800000,-734500000,-799100000,-910100000,-989281000,-1067541000,-1153108000,-1194015000,-1194227000,-1226698000,-1240359000,-1267834000,-35596000,-23167000,-33159000,-27610000,-54534000,12329000,-172550000,-144479000,-239626000,-234100000,-392400000,-315000000,-432800000,-360300000,-425200000,-355800000,-332300000,-369300000,-148800000,-184600000
66,Other Total Stockholders Equity,328100000,396700000,442500000,487800000,563200000,626400000,719800000,792400000,913000000,973379000,1056599000,1142233000,1180877000,1132861000,1152464000,1147981000,1190299000,38255000,608949000,645563000,1065034000,1070961000,1067342000,1131869000,1483612000,1550540000,1810220000,1833800000,1871700000,2198200000,2219900000,2226500000,2230600000,2234900000,2240200000,- -,2295600000
67,Total Stockholders Equity,321900000,376400000,392900000,409000000,438600000,468900000,475900000,485500000,486500000,460843000,422677000,395700000,445851000,371252000,409380000,459776000,490989000,359958000,1002085000,1214191000,1936488000,2192549000,1612304000,474394000,167190000,-188123000,-354014000,-629100000,-597400000,-474300000,-379400000,-416200000,-353500000,-305500000,-441200000,-223300000,-363500000
68,Total Liabilities And Stockholders Equity,747900000,862400000,923900000,1020700000,1081700000,1116000000,1097800000,1061000000,1265700000,1307221000,1434897000,1227807000,1270812000,1105685000,1325583000,1308477000,1285777000,1042985000,3463229000,3627169000,5734189000,5952237000,5062623000,3966113000,3032074000,2594827000,2490438000,2225500000,2064900000,1985000000,1894600000,1770000000,1585500000,1617100000,1831600000,1961700000,2425600000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1894000,-4598000,- -,- -,- -,- -,- -,- -,- -,- -,-168700000,- -
70,Total Liabilities & Equity,747900000,862400000,923900000,1020700000,1081700000,1116000000,1097800000,1061000000,1265700000,1307221000,1434897000,1227807000,1270812000,1105685000,1325583000,1308477000,1285777000,1042985000,3463229000,3627169000,5734189000,5952237000,5062623000,3966113000,3032074000,2592933000,2485840000,2225500000,2064900000,1985000000,1894600000,1770000000,1585500000,1617100000,1831600000,1793000000,2425600000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/716006/0000950124-94-000601-index.html,https://www.sec.gov/Archives/edgar/data/716006/000095012495000900/0000950124-95-000900-index.html,https://www.sec.gov/Archives/edgar/data/716006/000095013796000379/0000950137-96-000379-index.html,https://www.sec.gov/Archives/edgar/data/716006/000095013797001237/0000950137-97-001237-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/716006/000095013701000911/0000950137-01-000911-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/716006/000119312505050743/d10k.htm,https://www.sec.gov/Archives/edgar/data/716006/000119312506054641/d10k.htm,https://www.sec.gov/Archives/edgar/data/716006/000119312507044346/d10k.htm,https://www.sec.gov/Archives/edgar/data/716006/000119312508043208/d10k.htm,https://www.sec.gov/Archives/edgar/data/716006/000119312509042369/0001193125-09-042369-index.html,https://www.sec.gov/Archives/edgar/data/716006/000119312510058523/0001193125-10-058523-index.html,https://www.sec.gov/Archives/edgar/data/716006/000119312511066014/d10k.htm,https://www.sec.gov/Archives/edgar/data/716006/000119312512083494/0001193125-12-083494-index.html,https://www.sec.gov/Archives/edgar/data/716006/000071600613000003/0000716006-13-000003-index.html,https://www.sec.gov/Archives/edgar/data/716006/000071600614000006/yrcw-201310k.htm,https://www.sec.gov/Archives/edgar/data/716006/000071600615000013/yrcw-201410k.htm,https://www.sec.gov/Archives/edgar/data/716006/000071600616000049/0000716006-16-000049-index.html,https://www.sec.gov/Archives/edgar/data/716006/000071600617000004/0000716006-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/716006/000071600618000004/0000716006-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/716006/000071600619000004/0000716006-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/716006/000156459020010103/0001564590-20-010103-index.html,https://www.sec.gov/Archives/edgar/data/716006/000156459021005530/0001564590-21-005530-index.htm,https://www.sec.gov/Archives/edgar/data/716006/000095017022000779/0000950170-22-000779-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,18600000,65300000,26700000,29500000,18800000,-7906000,-30122000,-27180000,52435000,-28669000,50915000,68018000,15301000,-93902000,40683000,184327000,288130000,276632000,-638381000,-974392000,-622019000,-322234000,-351263000,-140400000,-83600000,-67700000,700000,21500000,-10800000,20200000,-104000000,-53000000,-109100000
74,Depreciation and Amortization,- -,- -,- -,- -,-123300000,-128100000,-124700000,-118400000,-132400000,133970000,135265000,130098000,119018000,103856000,110310000,126883000,126143000,79334000,87398000,171468000,250562000,274184000,255603000,264291000,255212000,203461000,195666000,183800000,172300000,163600000,163700000,159800000,147700000,147700000,320400000,134000000,276900000
75,Deferred Income Tax,- -,- -,- -,- -,-13400000,3100000,-11800000,-14300000,-10800000,4147000,29641000,-26481000,7509000,5638000,11106000,11824000,15864000,1449000,25767000,17996000,52600000,161223000,8533000,-158352000,-201847000,-70447000,-167000,3800000,-42400000,-200000,-9800000,-400000,-13200000,-1100000,-3000000,-14000000,-500000
