,https://roic.ai/company/HAL,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Income Tax expense (Gain),113800000,-37400000,16900000,68800000,112100000,153500000,63800000,-6100000,-26600000,112900000,131900000,103300000,300000000,244400000,214000000,129000000,384000000,80000000,234000000,241000000,79000000,1144000000,907000000,1211000000,518000000,853000000,1439000000,1235000000,648000000,1275000000,-274000000,-1858000000,1131000000,157000000,7000000,-278000000,-216000000
23,Net Income,28700000,-515200000,48100000,84600000,133700000,197400000,26600000,-137300000,-161000000,177800000,168300000,300400000,454400000,-14700000,438000000,501000000,809000000,-998000000,-820000000,-979000000,2358000000,2348000000,3499000000,1538000000,1145000000,1835000000,2839000000,2635000000,2125000000,3500000000,-671000000,-5763000000,-463000000,1656000000,-1131000000,-2945000000,1457000000
24,Net Income ratio,0.0060,-0.1468,0.0143,0.0173,0.0236,0.0285,0.0038,-0.0210,-0.0254,0.0310,0.0295,0.0407,0.0515,-0.0008,0.0294,0.0419,0.0620,-0.0794,-0.0504,-0.0478,0.1122,0.1043,0.2292,0.0841,0.0780,0.1021,0.1143,0.0924,0.0723,0.1065,-0.0284,-0.3627,-0.0225,0.0690,-0.0505,-0.2039,0.0953
25,EPS,0.07,-1.22,0.12,0.20,0.32,0.41,0.05,-0.32,-0.30,0.39,0.37,0.59,0.89,-0.01,0.50,0.56,0.94,-1.16,-0.94,-1.13,2.33,2.31,3.83,1.75,1.27,2.02,3.09,2.85,2.37,4.13,-0.79,-6.69,-0.53,1.89,-1.29,-3.34,1.64
26,EPS Diluted,0.07,-1.22,0.12,0.20,0.32,0.41,0.05,-0.32,-0.30,0.39,0.37,0.59,0.88,-0.01,0.49,0.56,0.94,-1.16,-0.94,-1.13,2.27,2.23,3.68,1.70,1.27,2.01,3.08,2.84,2.36,4.11,-0.79,-6.69,-0.53,1.89,-1.29,-3.34,1.64
27,Weighted Average Shares Outstanding,410000000,424032922,418260870,412682927,424444444,475662651,532000000,435873016,527868852,456800000,458000000,504400000,510561798,877600000,880000000,884000000,856000000,864000000,868000000,874000000,1010000000,1014000000,913000000,877000000,900000000,908000000,918000000,926000000,898000000,848000000,853000000,861000000,870000000,875000000,875000000,881000000,894000000
28,Weighted Average Shares Outstanding Diluted,410000000,424032922,418260870,412682927,424444444,475662651,532000000,435873016,527868852,457272727,459047619,522597403,519314286,877600000,886000000,892000000,860000000,864000000,874000000,882000000,1038000000,1054000000,950000000,904000000,902000000,911000000,922000000,928000000,902000000,852000000,853000000,861000000,870000000,877000000,875000000,881000000,894000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/45012/000004501295000011/0000045012-95-000011-index.html,https://www.sec.gov/Archives/edgar/data/45012/000004501296000006/0000045012-96-000006-index.html,https://www.sec.gov/Archives/edgar/data/45012/000004501297000011/0000045012-97-000011-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/45012/000004501201000009/0000045012-01-000009-index.html,https://www.sec.gov/Archives/edgar/data/45012/000004501202000011/0000045012-02-000011-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/45012/000004501205000055/0000045012-05-000055-index.htm,https://www.sec.gov/Archives/edgar/data/45012/000004501206000124/0000045012-06-000124-index.htm,https://www.sec.gov/Archives/edgar/data/45012/000004501207000072/0000045012-07-000072-index.htm,https://www.sec.gov/Archives/edgar/data/45012/000004501208000122/0000045012-08-000122-index.htm,https://www.sec.gov/Archives/edgar/data/45012/000004501209000098/0000045012-09-000098-index.htm,https://www.sec.gov/Archives/edgar/data/45012/000004501210000085/0000045012-10-000085-index.htm,https://www.sec.gov/Archives/edgar/data/45012/000004501211000087/0000045012-11-000087-index.htm,https://www.sec.gov/Archives/edgar/data/45012/000004501212000075/0000045012-12-000075-index.htm,https://www.sec.gov/Archives/edgar/data/45012/000004501213000086/0000045012-13-000086-index.htm,https://www.sec.gov/Archives/edgar/data/45012/000004501214000069/0000045012-14-000069-index.htm,https://www.sec.gov/Archives/edgar/data/45012/000004501215000040/0000045012-15-000040-index.htm,https://www.sec.gov/Archives/edgar/data/45012/000004501216000272/0000045012-16-000272-index.htm,https://www.sec.gov/Archives/edgar/data/45012/000004501217000047/0000045012-17-000047-index.htm,https://www.sec.gov/Archives/edgar/data/45012/000004501218000059/0000045012-18-000059-index.htm,https://www.sec.gov/Archives/edgar/data/45012/000004501219000044/0000045012-19-000044-index.htm,https://www.sec.gov/Archives/edgar/data/45012/000004501220000031/0000045012-20-000031-index.htm,https://www.sec.gov/Archives/edgar/data/45012/000004501221000009/0000045012-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/45012/000004501222000013/0000045012-22-000013-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,428100000,174900000,213600000,221300000,202600000,466000000,231000000,290000000,1107000000,1815000000,2808000000,2391000000,4379000000,1847000000,1124000000,2082000000,1398000000,2698000000,2484000000,2356000000,2291000000,10077000000,4009000000,2337000000,2008000000,2268000000,2563000000,3044000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,388000000,- -,1312000000,653000000,150000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,428100000,174900000,213600000,221300000,202600000,466000000,231000000,290000000,1107000000,1815000000,2808000000,2391000000,4379000000,2235000000,1124000000,3394000000,2051000000,2848000000,2484000000,2356000000,2291000000,10077000000,4009000000,2337000000,2008000000,2268000000,2563000000,3044000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,1459900000,1391000000,1702300000,2205800000,3860400000,3879000000,3845000000,4095000000,3257000000,4765000000,5751000000,4801000000,4674000000,3093000000,3795000000,2964000000,3924000000,5084000000,5787000000,6181000000,7564000000,5317000000,3922000000,5036000000,5234000000,4577000000,3071000000,3666000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,268900000,251500000,292200000,326900000,1301800000,1238000000,723000000,787000000,734000000,695000000,723000000,953000000,1261000000,1459000000,1828000000,1598000000,1940000000,2570000000,3186000000,3305000000,3571000000,2417000000,2275000000,2396000000,3028000000,3139000000,2349000000,2361000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1325900000,232500000,189900000,217600000,718300000,439000000,769000000,401000000,462000000,644000000,680000000,1182000000,869000000,786000000,664000000,682000000,971000000,1075000000,1629000000,1862000000,1642000000,3798000000,1471000000,1008000000,881000000,1228000000,1492000000,872000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,3482800000,2049900000,2398000000,2971600000,6083100000,6022000000,5568000000,5573000000,5560000000,7919000000,9962000000,9327000000,11183000000,7573000000,7411000000,8638000000,8886000000,11577000000,13086000000,13704000000,15068000000,21609000000,11677000000,10777000000,11151000000,11212000000,9475000000,9943000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,1076800000,1111200000,1291600000,1662700000,2921600000,2791000000,2410000000,2669000000,2629000000,2526000000,2553000000,2648000000,3048000000,3630000000,4782000000,5759000000,6842000000,8492000000,10257000000,11322000000,12475000000,10911000000,8532000000,8521000000,8961000000,8241000000,5111000000,5260000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,597000000,- -,- -,- -,- -,- -,775000000,790000000,1072000000,1100000000,1315000000,1776000000,2135000000,2168000000,2330000000,2109000000,2414000000,2693000000,2825000000,2812000000,2804000000,2843000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,213400000,207500000,233900000,323100000,770200000,768000000,- -,720000000,723000000,670000000,795000000,765000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,213400000,207500000,233900000,323100000,770200000,768000000,597000000,720000000,723000000,670000000,795000000,765000000,775000000,790000000,1072000000,1100000000,1315000000,1776000000,2135000000,2168000000,2330000000,2109000000,2414000000,2693000000,2825000000,2812000000,2804000000,2843000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,340000000,410000000,607000000,738000000,780000000,838000000,603000000,348000000,157000000,- -,- -,- -,- -,- -,- -,- -,1960000000,1230000000,1384000000,1683000000,2166000000,2695000000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,495300000,278000000,513100000,645600000,1337100000,1147000000,1188000000,1594000000,3325000000,3610000000,1706000000,1432000000,1211000000,794000000,963000000,1041000000,1254000000,1832000000,1932000000,2029000000,2367000000,2313000000,2417000000,1864000000,1661000000,1429000000,1124000000,1580000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1785500000,1596700000,2038600000,2631400000,5028900000,4706000000,4535000000,5393000000,7284000000,7544000000,5834000000,5683000000,5637000000,5562000000,6974000000,7900000000,9411000000,12100000000,14324000000,15519000000,17172000000,15333000000,15323000000,14308000000,14831000000,14165000000,11205000000,12378000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,5268300000,3646600000,4436600000,5603000000,11112000000,10728000000,10103000000,10966000000,12844000000,15463000000,15796000000,15010000000,16820000000,13135000000,14385000000,16538000000,18297000000,23677000000,27410000000,29223000000,32240000000,36942000000,27000000000,25085000000,25982000000,25377000000,20680000000,22321000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,303500000,357300000,452100000,586500000,1008500000,932000000,782000000,917000000,1077000000,1776000000,2271000000,1967000000,2834000000,768000000,898000000,787000000,1139000000,1826000000,2041000000,2365000000,2814000000,2019000000,1764000000,2554000000,3018000000,2432000000,1573000000,2353000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,30700000,10000000,46400000,9800000,573500000,1257000000,8000000,81000000,295000000,22000000,347000000,361000000,45000000,159000000,26000000,750000000,- -,- -,- -,- -,- -,659000000,163000000,512000000,36000000,- -,946000000,247000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,292000000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,98000000,99000000,100000000,104000000,- -,- -,- -,209000000,231000000,215000000,266000000,309000000,307000000,350000000,349000000,298000000,261000000,257000000,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,595400000,788800000,1006200000,1176600000,2421700000,1504000000,2938000000,1811000000,1800000000,4640000000,4446000000,2109000000,1848000000,1275000000,1626000000,1137000000,1352000000,1986000000,2404000000,2311000000,2720000000,2383000000,1835000000,1539000000,1748000000,2446000000,1902000000,1706000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,929600000,1156100000,1504700000,1772900000,4003700000,3693000000,3826000000,2908000000,3272000000,6542000000,7064000000,4437000000,4727000000,2411000000,2781000000,2889000000,2757000000,4121000000,4752000000,5026000000,5883000000,5359000000,4023000000,4862000000,4802000000,4878000000,4421000000,4306000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,643100000,200000000,200000000,538900000,1369700000,1056000000,1049000000,1403000000,1181000000,3415000000,3593000000,2813000000,2786000000,2627000000,2586000000,3824000000,3824000000,4820000000,4820000000,7816000000,7840000000,14687000000,12214000000,10430000000,10421000000,10316000000,9890000000,9972000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1748200000,540700000,572700000,686800000,1507200000,1539000000,1262000000,1862000000,4762000000,2859000000,1099000000,1243000000,1484000000,1137000000,1274000000,1068000000,1329000000,1520000000,2048000000,2766000000,2219000000,1401000000,1315000000,1444000000,1215000000,2158000000,1386000000,1315000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,2391300000,740700000,772700000,1225700000,2876900000,2595000000,2311000000,3265000000,5943000000,6274000000,4692000000,4056000000,4270000000,3764000000,3860000000,4892000000,5153000000,6340000000,6868000000,10582000000,10059000000,16088000000,13529000000,11874000000,11636000000,12474000000,11276000000,11287000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1033000000,1009000000,1085000000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,3320900000,1896800000,2277400000,2998600000,6880600000,6288000000,6137000000,6173000000,9215000000,12816000000,11756000000,8493000000,8997000000,6175000000,6641000000,7781000000,7910000000,10461000000,11620000000,15608000000,15942000000,21447000000,17552000000,16736000000,16438000000,17352000000,15697000000,15593000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1120000000,1132000000,1138000000,1141000000,1142000000,1146000000,1317000000,2650000000,2657000000,2666000000,2669000000,2674000000,2683000000,2682000000,2680000000,2679000000,2677000000,2674000000,2673000000,2671000000,2669000000,2666000000,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,1637300000,1431400000,1656300000,1947600000,3236000000,3453000000,3733000000,4327000000,3110000000,2071000000,871000000,2975000000,5051000000,8202000000,9411000000,10863000000,12371000000,14880000000,17182000000,18842000000,21809000000,20524000000,14141000000,12668000000,13739000000,11989000000,8691000000,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2341400000,-2225800000,-2269200000,-2325300000,-3928500000,-3994000000,-3150000000,-3281000000,-3323000000,-3540000000,-3674000000,-266000000,-437000000,-104000000,-215000000,-213000000,-240000000,-273000000,-309000000,-307000000,-399000000,-363000000,-454000000,-469000000,-355000000,-362000000,-362000000,-183000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,2651500000,2544200000,2772100000,2982100000,4923900000,3861000000,2251000000,2609000000,2630000000,2874000000,5589000000,2346000000,112000000,-3889000000,-4137000000,-4591000000,-4432000000,-4092000000,-3790000000,-7634000000,-7822000000,-7376000000,-6952000000,-6550000000,-6533000000,-6284000000,-6021000000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1947400000,1749800000,2159200000,2604400000,4231400000,4440000000,3966000000,4793000000,3558000000,2547000000,3932000000,6372000000,7376000000,6866000000,7725000000,8728000000,10373000000,13198000000,15765000000,13581000000,16267000000,15462000000,9409000000,8322000000,9522000000,8012000000,4974000000,6713000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,5268300000,3646600000,4436600000,5603000000,11112000000,10728000000,10103000000,10966000000,12773000000,15363000000,15688000000,14865000000,16373000000,13041000000,14366000000,16509000000,18283000000,23659000000,27385000000,29189000000,32209000000,36909000000,26961000000,25058000000,25960000000,25364000000,20671000000,22306000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,71000000,100000000,108000000,145000000,447000000,94000000,19000000,29000000,14000000,18000000,25000000,34000000,31000000,33000000,39000000,27000000,22000000,13000000,9000000,15000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,5268300000,3646600000,4436600000,5603000000,11112000000,10728000000,10103000000,10966000000,12844000000,15463000000,15796000000,15010000000,16820000000,13135000000,14385000000,16538000000,18297000000,23677000000,27410000000,29223000000,32240000000,36942000000,27000000000,25085000000,25982000000,25377000000,20680000000,22321000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/45012/000004501295000011/0000045012-95-000011-index.html,https://www.sec.gov/Archives/edgar/data/45012/000004501296000006/0000045012-96-000006-index.html,https://www.sec.gov/Archives/edgar/data/45012/000004501297000011/0000045012-97-000011-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/45012/000004501201000009/0000045012-01-000009-index.html,https://www.sec.gov/Archives/edgar/data/45012/000004501202000011/0000045012-02-000011-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/45012/000004501205000055/0000045012-05-000055-index.htm,https://www.sec.gov/Archives/edgar/data/45012/000004501206000124/0000045012-06-000124-index.htm,https://www.sec.gov/Archives/edgar/data/45012/000004501207000072/0000045012-07-000072-index.htm,https://www.sec.gov/Archives/edgar/data/45012/000004501208000122/0000045012-08-000122-index.htm,https://www.sec.gov/Archives/edgar/data/45012/000004501209000098/0000045012-09-000098-index.htm,https://www.sec.gov/Archives/edgar/data/45012/000004501210000085/0000045012-10-000085-index.htm,https://www.sec.gov/Archives/edgar/data/45012/000004501211000087/0000045012-11-000087-index.htm,https://www.sec.gov/Archives/edgar/data/45012/000004501212000075/0000045012-12-000075-index.htm,https://www.sec.gov/Archives/edgar/data/45012/000004501213000086/0000045012-13-000086-index.htm,https://www.sec.gov/Archives/edgar/data/45012/000004501214000069/0000045012-14-000069-index.htm,https://www.sec.gov/Archives/edgar/data/45012/000004501215000040/0000045012-15-000040-index.htm,https://www.sec.gov/Archives/edgar/data/45012/000004501216000272/0000045012-16-000272-index.htm,https://www.sec.gov/Archives/edgar/data/45012/000004501217000047/0000045012-17-000047-index.htm,https://www.sec.gov/Archives/edgar/data/45012/000004501218000059/0000045012-18-000059-index.htm,https://www.sec.gov/Archives/edgar/data/45012/000004501219000044/0000045012-19-000044-index.htm,https://www.sec.gov/Archives/edgar/data/45012/000004501220000031/0000045012-20-000031-index.htm,https://www.sec.gov/Archives/edgar/data/45012/000004501221000009/0000045012-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/45012/000004501222000013/0000045012-22-000013-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,133700000,197400000,26600000,-137300000,-161000000,177800000,168300000,300400000,454400000,-14700000,438000000,501000000,809000000,-998000000,-820000000,-979000000,2358000000,2348000000,3499000000,1538000000,1145000000,1835000000,2839000000,2635000000,2125000000,3500000000,-671000000,-5763000000,-463000000,1656000000,-1131000000,-2945000000,1457000000
