,https://roic.ai/company/FLUX,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,30000,4390000,6340000,-90000,320000,14530000,17070000,21560000,- -,90000,40000,50000,40000,7730000,6040000,4080000,3554000,4668000,5078000,10331000,20568000,29390000,39735000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4833,62000,116000,169000,114000,472000,273000,752000,1247000,1788000,622000
14,Depreciation and Amortization,- -,- -,2484,- -,- -,687418,705317,548801,- -,- -,- -,- -,- -,30000,44000,55000,32000,25000,40000,57000,81000,141000,274000
15,EBITDA,-30000,-4390000,-6337516,90000,-320000,-182582,-2084683,-5681199,-25430000,32480000,-40000,-50000,-50000,-2298000,510000,-4076000,-2269000,-4074000,-4122000,-6156000,-11086000,-12407000,-11897000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-0.0141,-0.1544,-0.3706,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-0.3875,0.6623,-11.3222,-3.1734,-7.3011,-4.5698,-1.4949,-1.1899,-0.7367,-0.4531
17,Operating Income,-30000,-4390000,-6340933,-212967,-315586,-1541432,-3779823,-6232589,- -,-87534,- -,- -,-40721,-1797000,-5264000,-3721000,-2839000,-4110000,-4176000,-6213000,-11251000,-12548000,-13478000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.1187,-0.2800,-0.4066,- -,-Infinity,- -,- -,-Infinity,-0.3030,-6.8364,-10.3361,-3.9706,-7.3656,-4.6297,-1.5087,-1.2076,-0.7450,-0.5133
19,Total Other Income Expenses (Gains),- -,- -,933,302967,-4414,671432,989823,2589,- -,-2466,- -,- -,-9279,-593000,5614000,-579000,424000,-461000,-259000,-752000,-1163000,-1788000,685000
20,Income Before Tax,-30000,-4390000,-6340000,90000,-320000,-870000,-2790000,-6230000,-15640350,-90000,-40000,-50000,-50000,-2390000,350000,-4300000,-2415000,-4571000,-4435000,-6965000,-12414000,-14336000,-12793000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-0.0670,-0.2067,-0.4064,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.4030,0.4545,-11.9444,-3.3776,-8.1918,-4.9169,-1.6914,-1.3324,-0.8512,-0.4872
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,9792485,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-30000,-4390000,-6340000,90000,-320000,-870000,-2790000,-6230000,-25430000,32480000,-40000,-50000,-50000,-2390000,350000,-4300000,-2415000,-4571000,-4435000,-6965000,-12414000,-14336000,-12793000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-0.0670,-0.2067,-0.4064,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-0.4030,0.4545,-11.9444,-3.3776,-8.1918,-4.9169,-1.6914,-1.3324,-0.8512,-0.4872
25,EPS,-0.00,-0.28,-13.72,0.19,-0.68,-1.01,-3.00,-6.00,-30.00,37.83,-0.03,-0.06,-0.06,-5.99,0.74,-4.61,-2.43,-2.18,-1.77,-2.24,-2.43,-1.93,-1.08
26,EPS Diluted,-0.00,-0.28,-13.72,0.19,-0.68,-1.01,-3.00,-6.00,-30.00,37.83,-0.03,-0.06,-0.06,-5.99,0.74,-4.61,-2.43,-2.18,-1.77,-2.24,-2.43,-1.93,-1.08
27,Weighted Average Shares Outstanding,15992099,15992099,462179,462179,462179,857993,857993,858658,858660,858680,859115,859115,859115,369413,473555,932741,994640,2093751,2508552,3106102,5101580,7420487,11796217
28,Weighted Average Shares Outstanding Diluted,15992099,15992099,462179,462179,462179,857993,857993,858658,858660,858680,859115,859115,859115,369413,473555,932741,994640,2093751,2508552,3106102,5101580,7420487,11796217
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1083743/000142488408000073/0001424884-08-000073-index.htm,https://www.sec.gov/Archives/edgar/data/1083743/000142488409000031/0001424884-09-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1083743/000142488410000042/0001424884-10-000042-index.htm,https://www.sec.gov/Archives/edgar/data/1083743/000142488411000061/0001424884-11-000061-index.htm,https://www.sec.gov/Archives/edgar/data/1083743/000143209312000165/0001432093-12-000165-index.htm,https://www.sec.gov/Archives/edgar/data/1083743/000114420412053573/0001144204-12-053573-index.htm,https://www.sec.gov/Archives/edgar/data/1083743/000114420413055300/0001144204-13-055300-index.htm,https://www.sec.gov/Archives/edgar/data/1083743/000114420414059936/0001144204-14-059936-index.htm,https://www.sec.gov/Archives/edgar/data/1083743/000114420415057288/0001144204-15-057288-index.htm,https://www.sec.gov/Archives/edgar/data/1083743/000143774916039123/0001437749-16-039123-index.htm,https://www.sec.gov/Archives/edgar/data/1083743/000143774917016221/0001437749-17-016221-index.htm,https://www.sec.gov/Archives/edgar/data/1083743/000165495418010522/0001654954-18-010522-index.htm,https://www.sec.gov/Archives/edgar/data/1083743/000165495419010687/0001654954-19-010687-index.htm,https://www.sec.gov/Archives/edgar/data/1083743/000149315220018485/0001493152-20-018485-index.htm,https://www.sec.gov/Archives/edgar/data/1083743/000149315221023867/0001493152-21-023867-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,10000,- -,29,- -,19,- -,127014,4894,- -,- -,- -,1026,511,812000,20000,116000,53000,127000,121000,2706000,102000,726000,4713000
32,Short-Term Investments,- -,- -,- -,36100,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,10000,- -,29,36100,19,- -,127014,4894,- -,- -,- -,1026,511,812000,20000,116000,53000,127000,121000,2706000,102000,726000,4713000
34,Net Receivables,- -,- -,- -,- -,- -,1611756,1622974,1493473,- -,- -,- -,- -,- -,54000,13000,140000,69000,82000,80000,946000,2416000,3069000,6097000
35,Inventory,- -,- -,- -,- -,- -,1983039,1778340,740384,- -,- -,- -,- -,- -,736000,160000,85000,181000,202000,1566000,1512000,3813000,5256000,10513000
36,Other Current Assets,- -,20000,15000,55348,23,141609,193739,33121,- -,- -,- -,- -,- -,1668000,1651000,18000,56000,86000,69000,92000,371000,787000,417000
37,Total Current Assets,10000,20000,15029,91448,42,3736404,3722067,2271872,- -,- -,- -,1026,511,3270000,1844000,359000,359000,497000,1836000,5256000,6702000,9838000,21740000
38,PP&E,- -,10000,11799,46385,- -,9712015,13040126,17929297,- -,- -,- -,- -,- -,135000,132000,78000,66000,46000,59000,87000,346000,3963000,4391000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,4204744,- -,- -,794805,742307,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,4204744,- -,- -,794805,742307,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,5510000,5511908,- -,- -,1350201,- -,- -,- -,- -,- -,- -,- -,1561000,- -,25000,25000,16000,26000,26000,158000,174000,131000
45,Total Non-Current Assets,- -,5520000,5523707,4251129,- -,11062216,13834931,18671604,- -,- -,- -,- -,- -,1696000,132000,103000,91000,62000,85000,113000,504000,4137000,4522000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,10000,5540000,5538736,4342577,42,14798620,17556998,20943476,- -,- -,- -,1026,511,4966000,1976000,462000,450000,559000,1921000,5369000,7206000,13975000,26262000
48,Accounts Payable,- -,- -,- -,18434,124559,3154429,2690957,5311101,- -,- -,- -,- -,- -,293000,370000,320000,453000,526000,367000,417000,2483000,4648000,7175000
49,Short-Term Debt,- -,- -,- -,4312602,26226,1152314,1193785,16321327,- -,- -,- -,- -,70000,- -,1250000,- -,1600000,196000,- -,10880000,6434000,7663000,435000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,682000,143000,136000,136000,136000,- -,- -,- -,1567000,195000
52,Other Current Liabilities,- -,- -,300000,- -,150000,542414,4406145,1213106,34412897,87534,36975,87978,63017,5885000,489000,790000,345000,359000,498000,1405000,1429000,1919000,2585000
53,Total Current Liabilities,- -,- -,300000,4331036,300785,4849157,8290887,22845534,34412897,87534,36975,87978,133017,6860000,2252000,1246000,2534000,1217000,865000,12702000,10346000,15797000,10390000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,4818000,- -,- -,- -,- -,- -,- -,- -,1218000,- -,110000,1200000,5685000,- -,- -,4598000,2866000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,120000,102000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,300000,300000,- -,- -,2797975,4909363,4932126,- -,- -,- -,- -,- -,250000,- -,- -,- -,- -,- -,- -,29000,- -,- -
58,Total Non-Current Liabilities,- -,300000,300000,- -,- -,2797975,9727363,4932126,- -,- -,- -,- -,- -,250000,1218000,- -,110000,1200000,5805000,102000,29000,4598000,2866000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,2797975,3512882,3410322,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58000,3617000,3301000
61,Total Liabilities,- -,300000,300000,4331036,300785,7647132,18018250,27777660,34412897,87534,36975,87978,133017,7110000,3470000,1246000,2644000,2417000,6670000,12804000,10375000,20395000,13256000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,30000,25801,40908,16852,257400,257400,257600,257600,2576,2577,2577,2577,44000,47000,93000,99000,209000,25000,31000,5000,7000,14000
64,Retained Earnings,-40000,-4430000,-4427104,-10796004,-11112311,-2958939,-5555688,-11967279,-37400114,-4918351,-4955326,-5005303,-5050857,-4328000,-3977000,-8276000,-10691000,-15262000,-19697000,-26662000,-39076000,-53412000,-66205000
65,Other Comprehensive Income/Loss,- -,- -,- -,818871,818871,42210,333619,302278,-1843600,- -,- -,- -,- -,-62000,-106000,-150000,-140000,-165000,-205000,-261000,-269000,-313000,- -
66,Other Total Stockholders Equity,50000,9640000,9640039,9947766,9975845,9810817,4503417,4573217,4573217,4828241,4915774,4915774,4915774,2202000,2542000,7549000,8538000,13360000,15128000,19457000,36171000,47298000,79197000
67,Total Stockholders Equity,10000,5240000,5238736,11541,-300743,7151488,-461252,-6834184,-34412897,-87534,-36975,-86952,-132506,-2144000,-1494000,-784000,-2194000,-1858000,-4749000,-7435000,-3169000,-6420000,13006000
68,Total Liabilities And Stockholders Equity,10000,5540000,5538736,4342577,42,14798620,17556998,20943476,- -,- -,- -,1026,511,4966000,1976000,462000,450000,559000,1921000,5369000,7206000,13975000,26262000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,10000,5540000,5538736,4342577,42,14798620,17556998,20943476,- -,- -,- -,1026,511,4966000,1976000,462000,450000,559000,1921000,5369000,7206000,13975000,26262000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1083743/000142488408000073/0001424884-08-000073-index.htm,https://www.sec.gov/Archives/edgar/data/1083743/000142488409000031/0001424884-09-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1083743/000142488410000042/0001424884-10-000042-index.htm,https://www.sec.gov/Archives/edgar/data/1083743/000142488411000061/0001424884-11-000061-index.htm,https://www.sec.gov/Archives/edgar/data/1083743/000143209312000165/0001432093-12-000165-index.htm,https://www.sec.gov/Archives/edgar/data/1083743/000114420412053573/0001144204-12-053573-index.htm,https://www.sec.gov/Archives/edgar/data/1083743/000114420413055300/0001144204-13-055300-index.htm,https://www.sec.gov/Archives/edgar/data/1083743/000114420414059936/0001144204-14-059936-index.htm,https://www.sec.gov/Archives/edgar/data/1083743/000114420415057288/0001144204-15-057288-index.htm,https://www.sec.gov/Archives/edgar/data/1083743/000143774916039123/0001437749-16-039123-index.htm,https://www.sec.gov/Archives/edgar/data/1083743/000143774917016221/0001437749-17-016221-index.htm,https://www.sec.gov/Archives/edgar/data/1083743/000165495418010522/0001654954-18-010522-index.htm,https://www.sec.gov/Archives/edgar/data/1083743/000165495419010687/0001654954-19-010687-index.htm,https://www.sec.gov/Archives/edgar/data/1083743/000149315220018485/0001493152-20-018485-index.htm,https://www.sec.gov/Archives/edgar/data/1083743/000149315221023867/0001493152-21-023867-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-30000,-4390000,-6340000,90000,-320000,-870000,-2790000,-6230000,-25430000,32480000,-40000,-50000,-50000,-2390000,350000,-4300000,-2415000,-4571000,-4435000,-6965000,-12414000,-14336000,-12793000
74,Depreciation and Amortization,- -,- -,2484,- -,- -,687418,705317,548801,- -,- -,- -,- -,- -,30000,44000,55000,32000,25000,40000,57000,81000,141000,274000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45000,94000,239000,237000,109000,40000,255000,1944000,1803000,797000
77,Change in Working Capital,10000,10000,-304971,-3954617,3938845,-812010,-3456067,-16004842,-13839235,34325363,50559,-49977,-45554,-3457494,3182000,-479000,-1288000,1455000,1691000,-8417000,3802000,-2315000,17309000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13000,41000,-127000,71000,-13000,2000,-866000,-1470000,-653000,-3028000
79,Inventory,- -,- -,- -,- -,- -,-1015050,204699,1037956,- -,- -,- -,- -,- -,1263000,653000,104000,-96000,-21000,-1364000,54000,-2301000,-1760000,-5062000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,284000,77000,-50000,133000,-42000,-159000,51000,2065000,2165000,2527000
81,Other Working Capital,10000,20000,-284971,-4239588,-300743,-1112753,-4568820,-20573662,-34412897,-87534,-36975,-86952,-132506,-3590000,-408000,-887000,-2175000,-720000,971000,-7446000,-3644000,-5959000,11350000
82,Other Non-Cash Items,-10000,4050000,6634826,4099240,-3611661,938050,3904757,20682379,41415113,-74791256,-18034,68003,25039,4278494,-7041000,2334000,1071000,-938000,-3034000,8570000,-4125000,6363000,-23945000
83,Cash Provided by Operating Activities,-30000,-330000,-7661,234623,7184,-56542,-1635993,-1003662,2145878,-7985893,-7475,-31974,-70515,-1494000,-3371000,-2151000,-2363000,-3920000,-5698000,-6500000,-10712000,-8344000,-18358000
84,CAPEX,- -,-10000,- -,-4241814,- -,-4049749,-5327925,-5439184,- -,- -,- -,- -,- -,-60000,-41000,-4000,-25000,-5000,-53000,-85000,-275000,-323000,-1102000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-36100,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,36100,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,4250408,1667148,1716416,- -,- -,7985893,- -,- -,- -,- -,- -,3000,9000,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,-10000,- -,-4277914,4286508,-2382601,-3611509,-5439184,- -,7985893,- -,- -,- -,-60000,-41000,-1000,-16000,-5000,-53000,-85000,-275000,-323000,-1102000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-215000,- -,-2507000,-30000,-3308000
91,Common Stock Issued,- -,- -,- -,30321,23023,- -,- -,- -,- -,- -,- -,- -,- -,1126000,980000,1276000,501000,1049000,1075000,3975000,4390000,1369000,26055000
92,Common Stock Repurchased,40000,30000,- -,- -,-30321,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,300000,8000,4012602,-4286376,1808526,4813575,6352067,- -,- -,7475,33000,70000,1000000,1640000,972000,1815000,2950000,4885000,5195000,6500000,7952000,700000
95,Cash Used/Provided by Financing Activities,40000,330000,8000,4042923,-4293674,1808526,4813575,6352067,- -,- -,7475,33000,70000,2126000,2620000,2248000,2316000,3999000,5745000,9170000,8383000,9291000,23447000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,-250407,335752,-31341,-2145878,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,10000,-10000,339,4042923,-4293674,-881024,-98175,-122120,- -,- -,7475,33000,-515,572000,-792000,96000,-63000,74000,-6000,2585000,-2604000,624000,3987000
98,Cash at the End of Period,10000,- -,368,- -,18,-421097,127014,4894,- -,- -,- -,1026,511,812000,20000,116000,53000,127000,121000,2706000,102000,726000,4713000
99,Cash at the Beginning of Period,- -,10000,29,368,- -,459927,225189,127014,- -,- -,- -,- -,1026,240000,812000,20000,116000,53000,127000,121000,2706000,102000,726000
100,Free Cash Flow,-30000,-340000,-7661,-4007191,7184,-4106291,-6963918,-6442846,2145878,-7985893,-7475,-31974,-70515,-1554000,-3412000,-2155000,-2388000,-3925000,-5751000,-6585000,-10987000,-8667000,-19460000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1083743/000142488408000073/0001424884-08-000073-index.htm,https://www.sec.gov/Archives/edgar/data/1083743/000142488409000031/0001424884-09-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1083743/000142488410000042/0001424884-10-000042-index.htm,https://www.sec.gov/Archives/edgar/data/1083743/000142488411000061/0001424884-11-000061-index.htm,https://www.sec.gov/Archives/edgar/data/1083743/000143209312000165/0001432093-12-000165-index.htm,https://www.sec.gov/Archives/edgar/data/1083743/000114420412053573/0001144204-12-053573-index.htm,https://www.sec.gov/Archives/edgar/data/1083743/000114420413055300/0001144204-13-055300-index.htm,https://www.sec.gov/Archives/edgar/data/1083743/000114420414059936/0001144204-14-059936-index.htm,https://www.sec.gov/Archives/edgar/data/1083743/000114420415057288/0001144204-15-057288-index.htm,https://www.sec.gov/Archives/edgar/data/1083743/000143774916039123/0001437749-16-039123-index.htm,https://www.sec.gov/Archives/edgar/data/1083743/000143774917016221/0001437749-17-016221-index.htm,https://www.sec.gov/Archives/edgar/data/1083743/000165495418010522/0001654954-18-010522-index.htm,https://www.sec.gov/Archives/edgar/data/1083743/000165495419010687/0001654954-19-010687-index.htm,https://www.sec.gov/Archives/edgar/data/1083743/000149315220018485/0001493152-20-018485-index.htm,https://www.sec.gov/Archives/edgar/data/1083743/000149315221023867/0001493152-21-023867-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
