,https://roic.ai/company/CBD,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),94955976,218927048,673833761,336420371,375567001,686700301,743364051,583575000,622599000,- -,- -,68041000,120670000,111353000,411248000,924498000,867661000,687000000,1133000000,705000000,498000000,390000000,1386000000,1174000000,1352000000
14,Depreciation and Amortization,67211100,122017326,156997199,263981958,339631730,381691711,333173661,489569000,625281000,547943000,550696000,604743000,461611000,440139000,706494000,834109000,865425000,931000000,1102000000,1089000000,833000000,889000000,1559000000,2564000000,2117000000
15,EBITDA,320890176,531667202,708789986,924394102,947400863,1355457255,1497538833,1393430000,1557864000,634939000,772978000,1044217000,1287212000,1360472000,1920960000,3329686000,3144164000,3624000000,2846000000,1336000000,2247000000,2921000000,4007000000,6579000000,3677000000
16,EBITDA ratio,0.0982,0.1152,0.1229,0.1131,0.1160,0.1175,0.1468,0.1109,0.1161,0.0457,0.0519,0.0579,0.0554,0.0424,0.0412,0.0654,0.0545,0.0553,0.0411,0.0322,0.0503,0.0591,0.0708,0.1284,0.0717
17,Operating Income,128770776,201253499,274888110,285491194,275524639,510080982,542792802,211106000,228122000,64674000,235229000,392951000,1030996000,1601905000,2102538000,2858388000,2900929000,3896000000,1611000000,796000000,1569000000,2144000000,1948000000,2531000000,1690000000
18,Operating Income ratio,0.0394,0.0436,0.0477,0.0349,0.0337,0.0442,0.0532,0.0168,0.0170,0.0047,0.0158,0.0218,0.0444,0.0499,0.0451,0.0561,0.0502,0.0595,0.0233,0.0192,0.0352,0.0434,0.0344,0.0494,0.0329
19,Total Other Income Expenses (Gains),29952324,-10530671,-396929084,38500578,-43322506,-223015740,-121791681,80278000,32131000,-323229000,-9084000,- -,-292736000,-788502000,-1297883000,-1182054000,-1146139000,-1400000000,-1541000000,-843000000,-790000000,-441000000,-1188000000,-630000000,-1321000000
20,Income Before Tax,158723100,190722827,-122040974,323991773,232202132,287065243,421001121,291384000,260253000,-258555000,226145000,392951000,738260000,813403000,804655000,1676334000,1754790000,2496000000,70000000,-47000000,779000000,1703000000,760000000,1901000000,369000000
21,Income Before Tax Ratio,0.0486,0.0413,-0.0212,0.0397,0.0284,0.0249,0.0413,0.0232,0.0194,-0.0186,0.0152,0.0218,0.0318,0.0253,0.0173,0.0329,0.0304,0.0381,0.0010,-0.0011,0.0175,0.0345,0.0134,0.0371,0.0072
22,Income Tax expense (Gain),14588352,18694479,-32743578,11654493,-1586131,72987549,95239462,-49544000,52994000,1472000,11404000,111006000,95840000,86558000,84999000,519898000,358583000,736000000,346000000,24000000,297000000,449000000,272000000,662000000,-594000000
23,Net Income,144134748,172028349,-89297396,312337280,233788263,214077694,325761660,369830000,256990000,85524000,210878000,260427000,609091000,722422000,718219000,1051181000,1052495000,1270000000,265000000,-482000000,619000000,1193000000,790000000,2179000000,802000000
24,Net Income ratio,0.0441,0.0373,-0.0155,0.0382,0.0286,0.0186,0.0319,0.0294,0.0192,0.0062,0.0142,0.0144,0.0262,0.0225,0.0154,0.0206,0.0182,0.0194,0.0038,-0.0116,0.0139,0.0242,0.0139,0.0425,0.0156
25,EPS,0.95,1.09,-0.54,1.56,1.05,0.88,1.38,1.63,1.30,0.38,0.93,1.11,2.32,2.82,2.76,3.78,3.75,4.51,0.94,-1.82,2.32,4.20,2.78,8.13,2.99
26,EPS Diluted,0.95,1.09,-0.54,1.56,1.05,0.88,1.37,1.63,1.30,0.38,0.93,1.11,2.32,2.80,2.76,3.78,3.75,4.51,0.94,-1.82,2.32,4.20,2.78,8.12,2.99
27,Weighted Average Shares Outstanding,148785676,156232250,165523422,201908912,220105494,226263404,226391924,227044478,227335832,227542756,227920000,235249000,254482000,256178014,260000000,262097000,264005000,265000000,265702000,266000000,266346844,267000000,267000000,268000000,268000000
28,Weighted Average Shares Outstanding Diluted,148785676,157607586,165523422,205417514,223901476,254908274,226919038,227044478,227335832,227542756,227920000,235249000,254482000,258007857,260000000,263426000,264632000,265000000,265702000,266000000,266346844,268000000,268000000,269000000,268000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1038572/000129281405001590/0001292814-05-001590-index.htm,https://www.sec.gov/Archives/edgar/data/1038572/000129281406001686/0001292814-06-001686-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1038572/000129281408001532/0001292814-08-001532-index.htm,https://www.sec.gov/Archives/edgar/data/1038572/000129281409001454/0001292814-09-001454-index.htm,https://www.sec.gov/Archives/edgar/data/1038572/000129281410002232/0001292814-10-002232-index.htm,https://www.sec.gov/Archives/edgar/data/1038572/000129281411001900/0001292814-11-001900-index.htm,https://www.sec.gov/Archives/edgar/data/1038572/000129281412001179/0001292814-12-001179-index.htm,https://www.sec.gov/Archives/edgar/data/1038572/000129281413000925/0001292814-13-000925-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1038572/000129281415001075/0001292814-15-001075-index.htm,https://www.sec.gov/Archives/edgar/data/1038572/000129281416005907/0001292814-16-005907-index.htm,https://www.sec.gov/Archives/edgar/data/1038572/000129281417001257/0001292814-17-001257-index.htm,https://www.sec.gov/Archives/edgar/data/1038572/000129281418001444/0001292814-18-001444-index.htm,https://www.sec.gov/Archives/edgar/data/1038572/000129281419001549/0001292814-19-001549-index.htm,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,370074076,1267510337,889524219,1048948076,1117563652,980542336,1105519000,168603000,247677000,414013000,263910000,2341927000,3817994000,4969955000,7086251000,8367176000,11149000000,11015000000,5112000000,3792000000,4369000000,7954000000,8711000000,8274000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,1542234000,1033834000,650119000,1361702000,2099545000,608002000,- -,- -,24453000,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,370074076,1267510337,889524219,1048948076,1117563652,980542336,1105519000,1710837000,1281511000,1064132000,1625612000,4441472000,4425996000,4969955000,7086251000,8391629000,11149000000,11015000000,5112000000,3792000000,4369000000,7954000000,8711000000,8274000000
34,Net Receivables,- -,490798629,574397765,937489563,1053878318,1438434176,1450926026,1187809000,1892963000,2000441000,2196342000,2199296000,2781801000,4935589000,6624823000,4404785000,3797429000,4313000000,4665000000,1343000000,1499000000,1365000000,2800000000,2250000000,2884000000
35,Inventory,- -,344823905,541175679,793234751,686664631,982604475,942316718,1089648000,1115286000,1231963000,1534242000,1570863000,2827463000,4823768000,5552769000,5759648000,6381544000,8405000000,8965000000,4641000000,4822000000,5909000000,8631000000,6536000000,5257000000
36,Other Current Assets,- -,36812646,53968799,87524712,110195457,240806875,398592006,107705000,191289000,364501000,214416000,256705000,-1806387000,531012000,128845000,- -,39133000,266000000,315000000,20555000000,23107000000,24661000000,583000000,360000000,1457000000
37,Total Current Assets,- -,1242509255,2437052579,2707773245,2899686482,3779409177,3772377086,3490681000,4910375000,4878416000,5009132000,5652476000,8244349000,14716365000,17276392000,17250684000,18609735000,24133000000,24960000000,31651000000,33220000000,36304000000,19968000000,17857000000,17872000000
38,PP&E,- -,1417455407,2030783607,2798905254,3116535889,3761791493,3993037773,4425445000,3861714000,4241040000,4820179000,4859481000,5252720000,6703595000,7358250000,8114498000,9053600000,9699000000,10377000000,9182000000,9138000000,9650000000,24290000000,19888000000,16344000000
39,Goodwill,- -,- -,- -,- -,- -,788608179,736156896,- -,- -,- -,- -,- -,1794441000,1362592000,1371825000,1405139000,2004114000,2283000000,2272000000,1107000000,1107000000,1148000000,1315000000,750000000,729000000
40,Intangible Assets,- -,264798778,445445417,664399669,687296297,-67306137,-83514131,- -,- -,630945000,674852000,659710000,214044000,3519173000,3567536000,3570417000,3696543000,4212000000,4271000000,801000000,817000000,1527000000,4921000000,5414000000,5024000000
41,Intangible Assets,- -,264798778,445445417,664399669,687296297,721302042,652642765,- -,- -,630945000,674852000,659710000,2008485000,4881765000,4939361000,4975556000,5700657000,6495000000,6543000000,1908000000,1924000000,2675000000,6236000000,6164000000,5753000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,263621000,227632000,79557000,110987000,113909000,197247000,232540000,340122000,362429000,309528000,401000000,382000000,316000000,177000000,203000000,609000000,1250000000,1254000000
43,Tax Assets,- -,- -,63643283,61743267,126493359,289698869,289460451,387462000,383584000,837676000,1026540000,1035716000,1087365000,1392509000,1249687000,1078842000,950757000,491000000,406000000,170000000,121000000,207000000,337000000,- -,581000000
44,Other Non-Current Assets,- -,49486664,132503376,212857792,267777446,395440372,441904178,1855669000,1539907000,1004639000,1104416000,1224901000,1241201000,2005974000,2605193000,3614225000,3384075000,4281000000,4573000000,1990000000,3348000000,3810000000,7035000000,8352000000,7639000000
45,Total Non-Current Assets,- -,1731740849,2672375683,3737905982,4198102991,5168232775,5377045166,6932197000,6012837000,6793857000,7736974000,7893717000,9787018000,15216383000,16492613000,18145550000,19398617000,21367000000,22281000000,13566000000,14708000000,16545000000,38507000000,35654000000,31571000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,2974250104,5109428262,6445679227,7097789473,8947641952,9149422252,10422878000,10923212000,11672273000,12746106000,13546193000,18031367000,29932748000,33769005000,35396234000,38008352000,45500000000,47241000000,45217000000,47928000000,52849000000,58475000000,53511000000,49443000000
48,Accounts Payable,- -,604073420,796804766,977787940,814191413,1412218269,1188557322,1545449000,1654234000,2027268000,2324975000,2409501000,4004395000,5507573000,6278757000,6803240000,8547544000,13322000000,15508000000,7232000000,8128000000,9246000000,14887000000,11424000000,10078000000
49,Short-Term Debt,- -,408038137,967765026,1012410186,1290843488,1670129554,1796482837,1304314000,440593000,1286082000,1466910000,337441000,529708000,2977504000,4917498000,4211150000,5171418000,6594000000,3814000000,2957000000,1251000000,2016000000,4425000000,3256000000,2365000000
50,Tax Payable,- -,- -,- -,- -,- -,33412361,43205421,54617000,89753000,68675000,102418000,110234000,351694000,400508000,511218000,1535099000,1764650000,1731000000,1853000000,868000000,941000000,1056000000,1511000000,1482000000,1388000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,81915000,92120000,114749000,214000000,420000000,224000000,146000000,250000000,365000000,297000000,383000000
52,Other Current Liabilities,- -,163489999,157103334,381082602,231477575,186229930,225432758,398445000,474604000,510559000,560829000,671053000,1341718000,2331821000,2223032000,2848883000,3179043000,3718000000,5531000000,17169000000,19467000000,21273000000,3458000000,3722000000,3724000000
53,Total Current Liabilities,- -,1175601556,1921673126,2371280728,2336512476,3268577753,3210472918,3248208000,2569431000,3823909000,4352714000,3417995000,5875821000,10816898000,13501202000,13955393000,17012754000,23848000000,25273000000,27582000000,28992000000,32785000000,23135000000,18699000000,16550000000
54,Long-Term Debt,- -,735875958,714413347,830465951,886161812,1398356334,682541782,1400464000,1615328000,1382152000,1698944000,3078103000,3582599000,5591936000,6240900000,6281104000,4321850000,3134000000,4164000000,2912000000,3337000000,3509000000,18436000000,14269000000,12805000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,381406000,471665000,455637000,834000000,1223000000,24000000,22000000,13000000,26000000,19000000,65000000
56,Deferred Tax Liabilities,- -,697131,- -,- -,- -,- -,5403923,- -,- -,- -,- -,- -,46794000,1325333000,1114873000,1137376000,1060852000,1133000000,1184000000,317000000,394000000,581000000,1195000000,1034000000,935000000
57,Other Non-Current Liabilities,- -,118952123,278442737,504844070,631672567,979627486,1679486309,1371645000,2198694000,1495669000,1544638000,1538104000,1882914000,2614811000,2436199000,2482745000,2445295000,2069000000,2045000000,1785000000,1891000000,2022000000,2135000000,2683000000,2708000000
58,Total Non-Current Liabilities,- -,855525212,992856084,1335310021,1517834379,2377983819,2367432014,2772109000,3814022000,2877821000,3243582000,4616207000,5512307000,9532080000,10173378000,10372890000,8283634000,7170000000,8616000000,5038000000,5644000000,6125000000,21792000000,18005000000,16513000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,65015874,45830925,- -,- -,- -,- -,- -,- -,- -,- -,245591000,254841000,263000000,- -,215000000,- -,- -,8667000000,8374000000,6118000000
61,Total Liabilities,- -,2031126768,2914529210,3706590748,3854346855,5646561572,5577904931,6020317000,6383453000,6701730000,7596296000,8034202000,11388128000,20348978000,23674580000,24328283000,25296388000,31018000000,33889000000,32620000000,34636000000,38910000000,44927000000,36704000000,33063000000
62,Preferred Stock,- -,- -,- -,- -,- -,3591642965,3424653512,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6710035000,6764300000,6792000000,6806000000,6811000000,6822000000,6825000000,6857000000,5650000000,5859000000
64,Retained Earnings,- -,478740793,649841832,804992588,1192526595,1217067992,1029114172,- -,- -,- -,- -,- -,425680000,1240000,80147000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
65,Other Comprehensive Income/Loss,- -,-450850704,- -,- -,- -,-3938789572,-2604970945,541569000,572132000,887498000,862134000,956991000,823766000,1518090000,1415721000,1784690000,2718890000,3788000000,3548000000,3049000000,3511000000,4258000000,4083000000,8045000000,7790000000
66,Other Total Stockholders Equity,- -,915233248,1545057221,1934095891,2050916022,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,- -,943123336,2194899053,2739088479,3243442617,3301080380,3571517321,4050990000,4252372000,4842127000,5011992000,5407716000,6624197000,7098589000,7625273000,8494725000,9483190000,10580000000,10354000000,9860000000,10333000000,11083000000,10940000000,13695000000,13649000000
68,Total Liabilities And Stockholders Equity,- -,2974250104,5109428262,6445679227,7097789473,8947641952,9149422252,10071307000,10635825000,11543857000,12608288000,13441918000,18012325000,27447567000,31299853000,32823008000,34779578000,41598000000,44243000000,42480000000,44969000000,49993000000,55867000000,50399000000,46712000000
69,Minority Interest,- -,- -,0,- -,- -,- -,- -,351571000,287387000,128416000,137818000,104275000,19042000,2485181000,2469152000,2573226000,3228774000,3902000000,2998000000,2737000000,2959000000,2856000000,2608000000,3112000000,2731000000
70,Total Liabilities & Equity,- -,2974250104,5109428262,6445679227,7097789473,8947641952,9149422252,10422878000,10923212000,11672273000,12746106000,13546193000,18031367000,29932748000,33769005000,35396234000,38008352000,45500000000,47241000000,45217000000,47928000000,52849000000,58475000000,53511000000,49443000000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1038572/000129281405001590/0001292814-05-001590-index.htm,https://www.sec.gov/Archives/edgar/data/1038572/000129281406001686/0001292814-06-001686-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1038572/000129281408001532/0001292814-08-001532-index.htm,https://www.sec.gov/Archives/edgar/data/1038572/000129281409001454/0001292814-09-001454-index.htm,https://www.sec.gov/Archives/edgar/data/1038572/000129281410002232/0001292814-10-002232-index.htm,https://www.sec.gov/Archives/edgar/data/1038572/000129281411001900/0001292814-11-001900-index.htm,https://www.sec.gov/Archives/edgar/data/1038572/000129281412001179/0001292814-12-001179-index.htm,https://www.sec.gov/Archives/edgar/data/1038572/000129281413000925/0001292814-13-000925-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1038572/000129281415001075/0001292814-15-001075-index.htm,https://www.sec.gov/Archives/edgar/data/1038572/000129281416005907/0001292814-16-005907-index.htm,https://www.sec.gov/Archives/edgar/data/1038572/000129281417001257/0001292814-17-001257-index.htm,https://www.sec.gov/Archives/edgar/data/1038572/000129281418001444/0001292814-18-001444-index.htm,https://www.sec.gov/Archives/edgar/data/1038572/000129281419001549/0001292814-19-001549-index.htm,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,144134748,172028349,-89297396,312337280,233788263,214077694,325761660,369830000,256990000,85524000,210878000,260427000,609091000,722422000,718219000,1051181000,1052495000,1270000000,265000000,-482000000,619000000,1193000000,790000000,2179000000,802000000
74,Depreciation and Amortization,67211100,122017326,156997199,263981958,339631730,381691711,333173661,489569000,625281000,547943000,550696000,604743000,461611000,440139000,706494000,834109000,865425000,931000000,1102000000,1089000000,833000000,889000000,1559000000,2564000000,2117000000
75,Deferred Income Tax,14588352,-955686,-46147182,-6194801,-39836734,31132717,72339867,-88587000,-80867000,-90729000,-38316000,-33300000,27759000,34506000,-57118000,193348000,89090000,222000000,135000000,-113000000,-38000000,77000000,240000000,69000000,-676000000
76,Stock Based Compensation,468720,1293982,3542034,4061621,4303222,3228316,3606463,- -,- -,- -,- -,- -,26577000,- -,26869000,45022000,42715000,47000000,25000000,29000000,24000000,43000000,38000000,32000000,26000000
77,Change in Working Capital,-2981952,77516904,120403975,-338641296,-270880039,-15709721,-28733408,134258000,175613000,-62580000,-274016000,-323193000,240129000,-972229000,-1521195000,2082214000,631930000,24000000,2094000000,-3347000000,-1177000000,-352000000,-2502000000,630000000,606000000
78,Accounts Receivable,- -,- -,- -,- -,-117754544,-117723794,9229659,150434000,19971000,-226079000,-211916000,-60566000,-170835000,733423000,-1925932000,2296663000,-333269000,-922000000,-434000000,-1259000000,-2115000000,-326000000,-14000000,-257000000,-140000000
79,Inventory,-44104320,-108763372,-190242670,-274458717,167767597,-187313115,34844198,-48838000,-25638000,-116677000,-215623000,-36621000,-849380000,-706705000,-752539000,-191977000,-581776000,-1503000000,-261000000,107000000,-1505000000,-1475000000,-181000000,-1142000000,989000000
80,Accounts Payable,3579012,169796803,68207092,-269476748,-321074231,366686414,-205634721,144290000,108785000,373034000,236672000,70239000,1052761000,245298000,972395000,498422000,2270264000,3556000000,2503000000,-1486000000,3059000000,2149000000,-1215000000,726000000,-738000000
81,Other Working Capital,-18416232,-1865461,22759683,-32030843,-6760215,-175950293,-98078469,194870000,52826000,79498000,-60291000,-132049000,-161138000,70608000,245914000,-179431000,-186175000,219000000,344000000,-28000000,-668000000,176000000,-367000000,156000000,-383000000
82,Other Non-Cash Items,-4614660,19053314,170636458,2562155,9862808,-25242456,-37902478,-231571000,86463000,457397000,113191000,732277000,477676000,138449000,1254794000,1093381000,2210295000,2522000000,1011000000,1520000000,1634000000,736000000,1010000000,-732000000,-147000000
83,Cash Provided by Operating Activities,218806308,390954189,316135088,238106918,276869251,589178260,668245764,673499000,1063480000,937555000,562433000,1240954000,1842843000,363287000,1128063000,5299255000,4891950000,5016000000,4632000000,-1304000000,1895000000,2586000000,1135000000,4742000000,2728000000
84,CAPEX,-398441016,-648213798,-564199800,-1137988952,-541288651,-899390386,-533115942,-557095000,-878063000,-828987000,-1017283000,-488318000,-746693000,-1493178000,-1454275000,-1393394000,-1849612000,-1897000000,-1985000000,-1544000000,-1713000000,-2366000000,-2782000000,-2490000000,-1267000000
85,Acquisitions Net,- -,-273157105,-235524580,-260333714,-93853432,-333712991,-1295441,-2343000,-21537000,-70444000,-60533000,- -,-894431000,64957000,-112000,-32729000,-211536000,188000000,51000000,-484000000,- -,- -,-983000000,-3560000000,-1000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4107000,-224777000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58798000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,330336,1652818,-36181276,111144,-2491828,527433,-64584530,142513000,961761000,-16172000,-24684000,-102526000,-41657000,-192226000,-93631000,35526000,-95730000,-459000000,-322000000,-271000000,-190000000,-69000000,179000000,1558000000,959000000
89,Cash Used for Investing Activites,-398110680,-919718086,-835905656,-1398211522,-637633911,-1232575943,-598995914,-416925000,62161000,-918388000,-1319011000,-484726000,-1636794000,-1364935000,-1356383000,-1306154000,-1963093000,-1650000000,-1852000000,-2020000000,-1592000000,-1899000000,-3266000000,-4291000000,-77000000
90,Debt Repayment,-952270524,-1058882187,-1258267589,-869916125,-1155014483,-1957481522,-1452616736,-1449312000,-1411474000,-593238000,-1917419000,-595013000,-393129000,-1204381000,-4772162000,-7976686000,-6519347000,-7519000000,-9301000000,-7481000000,-9785000000,-8747000000,-11450000000,-7218000000,-6838000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,88196000,487144000,35120000,22971000,21310000,16240000,436000000,14000000,5000000,11000000,3000000,32000000,9000000,9000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-31631904,-3694676,-5036920,-17276025,- -,-75157458,-59345062,-54792000,-89059000,-62053000,-20312000,-50084000,-109157000,-151412000,-183468000,-186394000,-452664000,-258000000,-434000000,-4000000,-101000000,-351000000,-268000000,-339000000,-780000000
94,Other Financing Activites,1369003896,1501832471,2394627322,1459051990,1419192365,2675686221,1335025862,1371136000,906259000,206798000,2476930000,362153000,527504000,3798388000,6312940000,6264965000,5307839000,6705000000,6715000000,8955000000,7781000000,9137000000,13580000000,7267000000,4866000000
95,Cash Used/Provided by Financing Activities,385101468,439255608,1131322813,571859839,264177881,643047241,-176935935,-132968000,-594274000,-448493000,539199000,-194748000,512362000,2477715000,1380281000,-1876805000,-1647932000,-636000000,-3006000000,1475000000,-2094000000,42000000,1894000000,-281000000,-2743000000
96,Effect of Forex Changes on Cash,-8232732,-293593,104951424,103870640,86120173,-480969503,177345630,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52000000,92000000,-24000000,- -,- -,111000000,587000000,-345000000
97,Net Change In Cash,197564364,-89801881,716503669,-484374125,-10466606,-481319945,69659544,123606000,531367000,-429326000,-217379000,561480000,718411000,1476067000,1151961000,2116296000,1280925000,2782000000,-134000000,-1873000000,-1791000000,729000000,-126000000,757000000,-437000000
98,Cash at the End of Period,424781964,370074076,1267510337,889524219,1048948076,1117563652,980542336,1105519000,1710837000,1281511000,1064132000,1625612000,2341927000,3817994000,4969955000,7086251000,8367176000,11149000000,11015000000,9142000000,7351000000,8080000000,7954000000,8711000000,8274000000
99,Cash at the Beginning of Period,227217600,459875958,551006668,1373898344,1059414682,1598883597,910882791,981913000,1179470000,1710837000,1281511000,1064132000,1623516000,2341927000,3817994000,4969955000,7086251000,8367000000,11149000000,11015000000,9142000000,7351000000,8080000000,7954000000,8711000000
100,Free Cash Flow,-179634708,-257259610,-248064712,-899882035,-264419400,-310212126,135129822,116404000,185417000,108568000,-454850000,752636000,1096150000,-1129891000,-326212000,3905861000,3042338000,3119000000,2647000000,-2848000000,182000000,220000000,-1647000000,2252000000,1461000000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1038572/000129281405001590/0001292814-05-001590-index.htm,https://www.sec.gov/Archives/edgar/data/1038572/000129281406001686/0001292814-06-001686-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1038572/000129281408001532/0001292814-08-001532-index.htm,https://www.sec.gov/Archives/edgar/data/1038572/000129281409001454/0001292814-09-001454-index.htm,https://www.sec.gov/Archives/edgar/data/1038572/000129281410002232/0001292814-10-002232-index.htm,https://www.sec.gov/Archives/edgar/data/1038572/000129281411001900/0001292814-11-001900-index.htm,https://www.sec.gov/Archives/edgar/data/1038572/000129281412001179/0001292814-12-001179-index.htm,https://www.sec.gov/Archives/edgar/data/1038572/000129281413000925/0001292814-13-000925-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1038572/000129281415001075/0001292814-15-001075-index.htm,https://www.sec.gov/Archives/edgar/data/1038572/000129281416005907/0001292814-16-005907-index.htm,https://www.sec.gov/Archives/edgar/data/1038572/000129281417001257/0001292814-17-001257-index.htm,https://www.sec.gov/Archives/edgar/data/1038572/000129281418001444/0001292814-18-001444-index.htm,https://www.sec.gov/Archives/edgar/data/1038572/000129281419001549/0001292814-19-001549-index.htm,- -,- -,- -
