,https://roic.ai/company/CFX,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Income Tax expense (Gain),-6010000,6907000,3866000,39147000,5438000,9525000,11473000,15432000,90703000,93652000,-62025000,49724000,62808000,42554000,-21000,31630000,-6053000,66695000
23,Net Income,57306000,12247000,94000,64882000,-571000,21722000,16215000,4555000,-64402000,178628000,392098000,167739000,128111000,151090000,140196000,-527646000,42625000,71657000
24,Net Income ratio,0.1851,0.0354,0.0002,0.1281,-0.0009,0.0414,0.0299,0.0066,-0.0165,0.0425,0.0848,0.0423,0.0351,0.0458,0.0382,-0.1586,0.0139,0.0186
25,EPS,-0.62,-0.06,0.01,1.79,-0.11,0.50,0.37,0.10,-0.92,1.56,3.06,1.35,1.04,1.23,1.16,-3.89,0.31,0.47
26,EPS Diluted,-0.62,-0.06,0.01,1.79,-0.11,0.50,0.37,0.10,-0.92,1.54,3.02,1.34,1.04,1.22,1.16,-3.89,0.31,0.46
27,Weighted Average Shares Outstanding,21885929,21885929,21885929,21885929,33601388,43444000,43824324,44268110,90601087,101430769,120975490,124251111,123183654,122837398,120858621,135641645,137500000,152461702
28,Weighted Average Shares Outstanding Diluted,21885929,21885929,21885929,21885929,33601388,43444000,43824324,44268110,90601087,101430769,124034000,124869649,123199000,123996000,120858621,135641645,138900000,155500000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1420800/000119312509046352/0001193125-09-046352-index.html,https://www.sec.gov/Archives/edgar/data/1420800/000114420410009950/0001144204-10-009950-index.html,https://www.sec.gov/Archives/edgar/data/1420800/000114420411010880/0001144204-11-010880-index.htm,https://www.sec.gov/Archives/edgar/data/1420800/000114420412010610/0001144204-12-010610-index.html,https://www.sec.gov/Archives/edgar/data/1420800/000114420413009826/0001144204-13-009826-index.html,https://www.sec.gov/Archives/edgar/data/1420800/000142080014000006/0001420800-14-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1420800/000142080015000004/cfx10-kx2014.htm,https://www.sec.gov/Archives/edgar/data/1420800/000142080016000047/0001420800-16-000047-index.html,https://www.sec.gov/Archives/edgar/data/1420800/000142080017000004/0001420800-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/1420800/000142080018000004/0001420800-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/1420800/000142080019000002/0001420800-19-000002-index.html,https://www.sec.gov/Archives/edgar/data/1420800/000142080020000005/0001420800-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/1420800/000142080021000009/0001420800-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1420800/000142080022000004/0001420800-22-000004-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,7821000,7608000,48093000,28762000,49963000,60542000,75108000,482449000,311301000,305448000,197469000,221730000,262019000,245019000,109632000,97068000,719370000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,149608000,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,7821000,7608000,48093000,28762000,49963000,60542000,75108000,482449000,311301000,305448000,197469000,221730000,411627000,245019000,109632000,97068000,719370000
34,Net Receivables,- -,59125000,70526000,84763000,137435000,117484000,144178000,151171000,873382000,1030892000,1029150000,888166000,913614000,970199000,989418000,561865000,517006000,638700000
35,Inventory,- -,41331000,57113000,68287000,80327000,71150000,57941000,56136000,493649000,445752000,442732000,420386000,403857000,429627000,496535000,571558000,564822000,776295000
36,Other Current Assets,- -,32183000,39555000,85924000,48333000,50964000,58395000,68793000,281302000,350401000,322133000,253744000,246396000,258379000,227469000,161190000,182933000,168914000
37,Total Current Assets,- -,140460000,174802000,287067000,294857000,289561000,321056000,351208000,2130782000,2138346000,2099463000,1759765000,1785597000,2069832000,1958441000,1404245000,1361829000,2303279000
38,PP&E,- -,74156000,79960000,88391000,92090000,90434000,89246000,417777000,688570000,757140000,729728000,644536000,604214000,552802000,503344000,664561000,660902000,705820000
39,Goodwill,- -,149793000,154231000,168959000,165530000,167254000,172338000,204844000,2074230000,2384522000,2872903000,2817687000,2563326000,2538544000,2576617000,3202517000,3314541000,3467295000
40,Intangible Assets,- -,- -,- -,- -,13516000,11952000,28298000,41029000,779049000,832553000,1043583000,995712000,899340000,1017203000,1012913000,1719019000,1663446000,1675462000
41,Intangible Assets,152681000,149793000,154231000,168959000,179046000,179206000,200636000,245873000,2853279000,3217075000,3916486000,3813399000,3462666000,3555747000,3589530000,4921536000,4977987000,5142757000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,60931000,64230000,36447000,53428000,52023000,52385000,43989000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,275234000,324003000,315676000,293655000,391907000,358754000,29696000,457096000,470292000,499421000,515219000,532982000,531316000,552557000,396490000,350831000,363489000
45,Total Non-Current Assets,- -,560114000,622424000,609473000,618219000,713570000,701021000,737335000,3998945000,4444507000,5145635000,4973154000,4599862000,4639865000,4645431000,5982587000,5989720000,6212066000
46,Other Assets,707881000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,707881000,700574000,797226000,896540000,913076000,1003131000,1022077000,1088543000,6129727000,6582853000,7245098000,6732919000,6385459000,6709697000,6603872000,7386832000,7351549000,8515345000
48,Accounts Payable,- -,27575000,38114000,48910000,52138000,36579000,50896000,54035000,699626000,860380000,780287000,718893000,605895000,587129000,640667000,359782000,330251000,504173000
49,Short-Term Debt,- -,1944000,2541000,2640000,5420000,8969000,10000000,10000000,34799000,29449000,9855000,5792000,5406000,5766000,6334000,67663000,66769000,50717000
50,Tax Payable,- -,- -,- -,- -,11457000,2154000,6173000,4911000,39919000,71314000,58009000,51834000,38367000,53939000,67273000,55258000,57286000,72276000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,14704000,61431000,53280000,58049000,45590000,151015000,145853000,147307000,16009000,36737000,31468000
52,Other Current Liabilities,- -,78045000,89547000,96824000,96728000,98651000,130614000,161303000,379602000,431981000,437344000,346069000,344358000,358632000,405037000,413860000,377901000,437226000
53,Total Current Liabilities,- -,107564000,130202000,148374000,154286000,144199000,191510000,240042000,1175458000,1375090000,1285535000,1116344000,1106674000,1097380000,1199345000,857314000,811658000,1023584000
54,Long-Term Debt,- -,156510000,186179000,203853000,420385000,82516000,72500000,483912000,1693512000,1457642000,1529389000,1411755000,1286738000,1055305000,1192408000,2284184000,2343399000,2224005000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,6925000,8375000,9908000,7685000,10375000,13529000,13145000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,437154000,466571000,481354000,163789000,567209000,528167000,162169000,1104471000,1009006000,1077730000,948264000,898703000,829748000,735173000,755706000,608618000,606323000
58,Total Non-Current Liabilities,- -,600589000,661125000,695115000,591859000,660100000,614196000,659226000,2797983000,2466648000,2607119000,2360019000,2185441000,1885053000,1927581000,3039890000,2952017000,2830328000
59,Other Liabilities,609791000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,176420000,178925000,187729000
61,Total Liabilities,609791000,708153000,791327000,843489000,746145000,804299000,805706000,899268000,3973441000,3841738000,3892654000,3476363000,3292115000,2982433000,3126926000,3897204000,3763675000,3853912000
62,Preferred Stock,- -,1000,1000,1000,- -,- -,- -,- -,14000,14000,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,1000,1000,22000,43000,43000,43000,44000,94000,102000,124000,123000,123000,123000,117000,118000,118000,156000
64,Retained Earnings,- -,-141655000,-141561000,-109238000,-113301000,-91579000,-60058000,-55503000,-138856000,19376000,389561000,557300000,685411000,846490000,991838000,479560000,517367000,589024000
65,Other Comprehensive Income/Loss,- -,-67609000,-54223000,-39394000,-120070000,-112484000,-130515000,-170793000,-146594000,-46608000,-443691000,-686715000,-988345000,-574372000,-780177000,-483845000,-452106000,-516013000
66,Other Total Stockholders Equity,98090000,201683000,201681000,201660000,400259000,402852000,406901000,415527000,2197694000,2541005000,3200832000,3199267000,3199682000,3228174000,3057982000,3445597000,3478008000,- -
67,Total Stockholders Equity,98090000,-7579000,5899000,53051000,166931000,198832000,216371000,189275000,1912352000,2513889000,3146826000,3069975000,2896871000,3500415000,3269760000,3441430000,3543387000,4617378000
68,Total Liabilities And Stockholders Equity,707881000,700574000,797226000,896540000,913076000,1003131000,1022077000,1088543000,5885793000,6355627000,7039480000,6546338000,6188986000,6482848000,6396686000,7338634000,7307062000,8471290000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,243934000,227226000,205618000,186581000,196473000,226849000,207186000,48198000,44487000,44055000
70,Total Liabilities & Equity,707881000,700574000,797226000,896540000,913076000,1003131000,1022077000,1088543000,6129727000,6582853000,7245098000,6732919000,6385459000,6709697000,6603872000,7386832000,7351549000,8515345000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1420800/000119312509046352/0001193125-09-046352-index.html,https://www.sec.gov/Archives/edgar/data/1420800/000114420410009950/0001144204-10-009950-index.html,https://www.sec.gov/Archives/edgar/data/1420800/000114420411010880/0001144204-11-010880-index.htm,https://www.sec.gov/Archives/edgar/data/1420800/000114420412010610/0001144204-12-010610-index.html,https://www.sec.gov/Archives/edgar/data/1420800/000114420413009826/0001144204-13-009826-index.html,https://www.sec.gov/Archives/edgar/data/1420800/000142080014000006/0001420800-14-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1420800/000142080015000004/cfx10-kx2014.htm,https://www.sec.gov/Archives/edgar/data/1420800/000142080016000047/0001420800-16-000047-index.html,https://www.sec.gov/Archives/edgar/data/1420800/000142080017000004/0001420800-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/1420800/000142080018000004/0001420800-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/1420800/000142080019000002/0001420800-19-000002-index.html,https://www.sec.gov/Archives/edgar/data/1420800/000142080020000005/0001420800-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/1420800/000142080021000009/0001420800-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1420800/000142080022000004/0001420800-22-000004-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , 
73,Net Income,- -,12247000,94000,64882000,-571000,21722000,16215000,4555000,-64402000,178628000,392098000,167739000,128111000,151090000,140196000,-527646000,42625000,71657000
74,Depreciation and Amortization,- -,12914000,13136000,16883000,14788000,- -,- -,22598000,200400000,119258000,174724000,154542000,143258000,132203000,141877000,236026000,246229000,262919000
75,Deferred Income Tax,- -,-3444000,-6208000,22186000,-13357000,3593000,-296000,-1722000,7222000,9946000,-139488000,-22717000,-1682000,12066000,-66573000,-590000,-29218000,-22188000
76,Stock Based Compensation,- -,- -,- -,- -,11330000,2593000,3137000,4908000,9373000,13334000,17580000,16321000,19020000,21548000,25103000,21960000,28911000,35350000
77,Change in Working Capital,- -,-28750000,11704000,94093000,1878000,4791000,-15816000,-18380000,844158000,-192068000,50672000,-170507000,35502000,293529000,-213356000,-212165000,3240000,-17101000
78,Accounts Receivable,- -,- -,- -,- -,-20612000,16280000,-6060000,-5972000,-37338000,-98912000,-19916000,64048000,-50958000,-44345000,-72405000,49924000,42688000,-110985000
79,Inventory,- -,-7407000,-12466000,-2279000,-15556000,10763000,11598000,10844000,26694000,79987000,57847000,-390000,19665000,-34023000,-47156000,-44887000,23787000,-129967000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,-10902000,88927000,128889000,-54666000,-11184000,52308000,10266000,70085000,-119325000,-30747000,178467000
81,Other Working Capital,- -,32896000,44600000,138693000,140571000,145362000,129546000,111166000,955324000,763256000,813928000,643421000,678923000,972452000,759096000,546931000,550171000,45384000
82,Other Non-Cash Items,- -,-721000,-36081000,-123561000,-47049000,5587000,58725000,45194000,-832452000,233071000,-109828000,158435000,-77235000,-391666000,199120000,613363000,10148000,25462000
83,Cash Provided by Operating Activities,- -,-7754000,-17355000,74483000,-32981000,38286000,61965000,57153000,164299000,362169000,385758000,303813000,246974000,218770000,226367000,130948000,301935000,356099000
84,CAPEX,- -,-7081000,-10236000,-13671000,-18645000,-11006000,-12527000,-14786000,-83586000,-71482000,-81343000,-69877000,-63251000,-68765000,-69646000,-125402000,-114785000,-104237000
85,Acquisitions Net,- -,-14721000,- -,-32987000,-439000,-1260000,-27960000,-56346000,-1859645000,-372476000,-948800000,-196007000,-25992000,143544000,-272514000,-1515136000,-69846000,-223272000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,139480000,- -,- -,- -
88,Other Investing Activites,- -,3370000,157000,133000,23000,219000,74000,1162000,2256000,-31012000,- -,18927000,7249000,15097000,34829000,7781000,9552000,7033000
89,Cash Used for Investing Activites,- -,-18432000,-10079000,-46525000,-19061000,-12047000,-40413000,-69970000,-1940975000,-474970000,-1030143000,-246957000,-81994000,89876000,-167851000,-1632757000,-175079000,-320476000
90,Debt Repayment,- -,- -,- -,- -,-242092000,-5417000,-14455000,-112180000,-584829000,-1007888000,-1429688000,-2336927000,-1015524000,-1698286000,-1112813000,-3661302000,-978997000,-1117526000
91,Common Stock Issued,- -,- -,- -,- -,193020000,- -,- -,- -,756762000,324153000,613927000,6052000,2206000,6944000,4699000,11879000,3500000,745179000
92,Common Stock Repurchased,- -,-82000000,- -,- -,-5731000,- -,- -,- -,- -,- -,-19565000,-27367000,-20812000,- -,-200000000,- -,- -,- -
93,Dividends Paid,- -,-18742000,- -,- -,-38546000,- -,- -,- -,-17446000,-20396000,-3853000,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,34840000,26561000,11737000,128185000,- -,6412000,144922000,2038462000,659078000,1489228000,2226973000,888912000,1410895000,1260961000,5018917000,843846000,957253000
95,Cash Used/Provided by Financing Activities,- -,-65902000,26561000,11737000,34836000,-5417000,-8043000,32742000,2192949000,-45053000,650049000,-131269000,-145218000,-280447000,-47153000,1369494000,-131651000,584906000
96,Effect of Forex Changes on Cash,- -,-314000,660000,790000,-2125000,379000,-2930000,-5359000,-8932000,-13294000,-11517000,-33566000,4499000,12090000,-28363000,-3072000,-3768000,-2228000
97,Net Change In Cash,- -,-92402000,-213000,40485000,-19331000,21201000,10579000,14566000,407341000,-171148000,-5853000,-107979000,24261000,40289000,-17000000,-135387000,-8563000,618301000
98,Cash at the End of Period,- -,7821000,7608000,48093000,28762000,49963000,60542000,75108000,482449000,311301000,305448000,197469000,221730000,262019000,245019000,109632000,101069000,719370000
99,Cash at the Beginning of Period,- -,100223000,7821000,7608000,48093000,28762000,49963000,60542000,75108000,482449000,311301000,305448000,197469000,221730000,262019000,245019000,109632000,101069000
100,Free Cash Flow,- -,-14835000,-27591000,60812000,-51626000,27280000,49438000,42367000,80713000,290687000,304415000,233936000,183723000,150005000,156721000,5546000,187150000,251862000
101,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1420800/000119312509046352/0001193125-09-046352-index.html,https://www.sec.gov/Archives/edgar/data/1420800/000114420410009950/0001144204-10-009950-index.html,https://www.sec.gov/Archives/edgar/data/1420800/000114420411010880/0001144204-11-010880-index.htm,https://www.sec.gov/Archives/edgar/data/1420800/000114420412010610/0001144204-12-010610-index.html,https://www.sec.gov/Archives/edgar/data/1420800/000114420413009826/0001144204-13-009826-index.html,https://www.sec.gov/Archives/edgar/data/1420800/000142080014000006/0001420800-14-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1420800/000142080015000004/cfx10-kx2014.htm,https://www.sec.gov/Archives/edgar/data/1420800/000142080016000047/0001420800-16-000047-index.html,https://www.sec.gov/Archives/edgar/data/1420800/000142080017000004/0001420800-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/1420800/000142080018000004/0001420800-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/1420800/000142080019000002/0001420800-19-000002-index.html,https://www.sec.gov/Archives/edgar/data/1420800/000142080020000005/0001420800-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/1420800/000142080021000009/0001420800-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1420800/000142080022000004/0001420800-22-000004-index.htm
102,false,,,,,,,,,,,,,,,,,,
