,https://roic.ai/company/FLXS,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19322174,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-13900000,-20000000,-2400000,-7400000,-2900000,-2800000,-4200000,-1500000,-7200000,-3800000,-1635138,-2014525,-19880090,-21150304,-4126310,-860312,-1118446,-774964,-631704,-520233,-721000,-698000,-777000,-1086000,-5537000,-1955000,-3100000,-30537000,-42230000,-13042000,-1689000,-47000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,9500000,10800000,7900000,5100000,8500000,4600000,3700000,5700000,2700000,4800000,4843652,4425506,6275994,27369890,12049572,584981,1773698,476840,762783,1460320,359000,410000,405000,1273000,5209000,1611000,2900000,12474000,44172000,28970000,1695000,46000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2000000,2100000,- -,-5800000,- -,100000,-1245834,-934029,1145070,1345357,436230,2121083,89786,6039946,73847,-526977,-1217000,-2386000,-10905000,-6204000,-4089000,-32215000,-4492000,-11609000,-23295000,-21098000,16779000,16063000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-8100000,-10400000,3600000,-5600000,-1500000,-5800000,-3800000,-6900000,-6900000,-7300000,-4755414,-1340228,-13558940,2465152,-16992650,-1501232,-105406,-5097657,-1022937,413110,-1579000,-2674000,-11277000,-6017000,-4417000,-32559000,-4692000,-29672000,-21353000,-5170000,16785000,16062000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20810597,-10000000,- -,- -,- -,- -,- -,-11904000,- -,- -,- -,-15000000,-5000000
91,Common Stock Issued,- -,- -,- -,- -,- -,500000,200000,300000,400000,400000,400000,400000,200000,500000,600000,716015,100704,276133,459513,626245,206941,95894,82087,61706,- -,344000,324000,916000,1107000,2388000,790000,1591000,1078000,233000,81000,21000,94000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-700000,-900000,- -,- -,- -,- -,-1300000,-2100000,-2200000,-4700000,-5092408,-2296411,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-170000,-1132000,-552000,-210000,-1563000,-29757000
93,Dividends Paid,- -,- -,- -,- -,- -,-3400000,-3400000,-3400000,-3400000,-3400000,-3400000,-3500000,-3400000,-3300000,-3200000,-3322054,-3190069,-3155096,-4065345,-2521785,-3393842,-3408994,-3414369,-3414960,-2893279,-1320000,-1839000,-2535000,-4213000,-4323000,-5115000,-5455000,-6062000,-6746000,-6918000,-7022000,-2622000
94,Other Financing Activites,- -,- -,- -,- -,- -,-2200000,-300000,-300000,-400000,3200000,-400000,-300000,-400000,-400000,-400000,-325000,-325000,-325000,-650000,1058815,-8805426,10952559,-2946618,-2412869,4857055,- -,- -,- -,182000,1357000,12721000,1761000,1494000,- -,- -,14442000,7060000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,-5800000,-4400000,-3400000,-3400000,200000,-3400000,-4700000,-5700000,-5400000,-7700000,-8023447,-5710776,-3203963,-4255832,-836725,-11992327,7639459,-6278900,-5766123,-18846821,-10976000,-1515000,-1619000,-2924000,-578000,8396000,-14177000,-4622000,-7065000,-7047000,-9122000,-30225000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,-5800000,-4400000,-3400000,-3400000,200000,-3400000,-4700000,-5700000,-5400000,-600000,-885183,6047707,-4672879,7435702,-10334864,-769937,279184,-1085442,1940997,-1127606,6564000,9611000,-3919000,-3036000,11242000,-20894000,35498000,-7906000,-1124000,-5503000,25950000,-46855000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4900000,4000855,10048562,5375683,12811385,2476521,1706584,1985768,900326,2841323,1713717,8278000,17889000,13970000,10934000,22176000,1282000,36780000,28874000,27750000,22247000,48197000,1342000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,5100000,2700000,4000000,3400000,4400000,3400000,5800000,3900000,4400000,5500000,4886038,4000855,10048562,5375683,12811385,2476521,1706584,1985768,900326,2841323,1714000,8278000,17889000,13970000,10934000,22176000,1282000,36780000,28874000,27750000,22247000,48197000
100,Free Cash Flow,- -,- -,- -,- -,- -,7800000,14900000,-2700000,6700000,-4800000,1900000,3300000,7800000,10900000,6000000,5175584,10281531,10990110,4126591,1464543,9376638,-8105313,-548364,7502194,16103112,17868000,11227000,-1962000,-320000,12050000,-34154000,46985000,12931000,-2153000,-14632000,14599000,-35272000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/37472/000089710199000935/0000897101-99-000935-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/37472/000089710102000666/0000897101-02-000666-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/37472/000089710105001916/flexsteel053631_10k.htm,https://www.sec.gov/Archives/edgar/data/37472/000089710106001915/flexsteel063421_10k.htm,https://www.sec.gov/Archives/edgar/data/37472/000089710107001852/0000897101-07-001852-index.html,https://www.sec.gov/Archives/edgar/data/37472/000089710108001892/0000897101-08-001892-index.html,https://www.sec.gov/Archives/edgar/data/37472/000089710109001735/0000897101-09-001735-index.html,https://www.sec.gov/Archives/edgar/data/37472/000089710110001710/0000897101-10-001710-index.html,https://www.sec.gov/Archives/edgar/data/37472/000089710111001464/0000897101-11-001464-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/37472/000089710115001165/0000897101-15-001165-index.html,https://www.sec.gov/Archives/edgar/data/37472/000089710116002836/flexsteel162877_10-k.htm,https://www.sec.gov/Archives/edgar/data/37472/000089710117001032/0000897101-17-001032-index.html,https://www.sec.gov/Archives/edgar/data/37472/000089710118000887/0000897101-18-000887-index.html,https://www.sec.gov/Archives/edgar/data/37472/000089710119000829/0000897101-19-000829-index.html,https://www.sec.gov/Archives/edgar/data/37472/000003747220000043/0000037472-20-000043-index.htm,https://www.sec.gov/Archives/edgar/data/37472/000003747221000023/0000037472-21-000023-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
