,https://roic.ai/company/PWR,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,7600000,37500000,138100000,282053000,236340000,-578690000,41624000,52343000,136575000,148189000,247511000,395721000,369440000,394862000,352311000,627228000,784154000,652904000,614096000,522441000,587469000,738463000,914604000,911956000,1106668000
16,EBITDA ratio,0.0997,0.1213,0.1492,0.1573,0.1173,-0.3305,0.0253,0.0322,0.0735,0.0695,0.0932,0.1047,0.1113,0.1004,0.0762,0.1059,0.1202,0.0832,0.0811,0.0683,0.0621,0.0661,0.0755,0.0814,0.0853
17,Operating Income,5600000,31100000,123300000,250728000,193265000,-155532000,16571000,9854000,68545000,76002000,169480000,289167000,242122000,256183000,217683000,465122000,526928000,475575000,237503000,320813000,378849000,540269000,554874000,611371000,663521000
18,Operating Income ratio,0.0735,0.1006,0.1332,0.1398,0.0959,-0.0888,0.0101,0.0061,0.0369,0.0357,0.0638,0.0765,0.0730,0.0652,0.0471,0.0786,0.0808,0.0606,0.0314,0.0419,0.0400,0.0484,0.0458,0.0546,0.0511
19,Total Other Income Expenses (Gains),-1300000,-4200000,-20400000,-51677000,-36299000,-38312000,-69640000,-22499000,-16298000,-10876000,-2118000,-7400000,-8392000,-9928000,-1313000,-542000,112321000,-2458000,-8828000,-13127000,-25092000,-82603000,17413000,-40025000,-40620000
20,Income Before Tax,4300000,26900000,102900000,199051000,156966000,-193844000,-53069000,-12645000,52247000,65126000,167362000,281767000,233730000,246255000,216370000,464580000,639249000,473117000,228675000,307686000,353757000,457666000,572287000,571346000,622901000
21,Income Before Tax Ratio,0.0564,0.0870,0.1112,0.1110,0.0779,-0.1107,-0.0323,-0.0078,0.0281,0.0306,0.0630,0.0745,0.0704,0.0626,0.0468,0.0785,0.0980,0.0603,0.0302,0.0402,0.0374,0.0410,0.0472,0.0510,0.0480
22,Income Tax expense (Gain),1800000,11700000,49000000,93328000,71200000,-19710000,-18080000,-3451000,22690000,47643000,34222000,115026000,70195000,90698000,71954000,158859000,217940000,157408000,97472000,107246000,35532000,161659000,165472000,119387000,130918000
23,Net Income,2500000,15200000,53900000,105723000,85766000,-619556000,-34989000,-9194000,29557000,17483000,135977000,166741000,162162000,153176000,132515000,306629000,401921000,296714000,310907000,198383000,314978000,293346000,402044000,445596000,485956000
24,Net Income ratio,0.0328,0.0492,0.0582,0.0590,0.0426,-0.3539,-0.0213,-0.0057,0.0159,0.0082,0.0512,0.0441,0.0489,0.0390,0.0287,0.0518,0.0616,0.0378,0.0411,0.0259,0.0333,0.0263,0.0332,0.0398,0.0374
25,EPS,0.51,0.57,0.76,1.78,1.11,-7.77,-0.30,-0.08,0.26,0.15,1.00,0.94,0.81,0.73,0.62,1.44,1.87,1.35,1.59,1.26,2.02,1.92,2.76,3.15,3.51
26,EPS Diluted,0.51,0.56,0.67,1.42,1.10,-7.77,-0.30,-0.08,0.25,0.15,0.89,0.88,0.81,0.72,0.62,1.44,1.87,1.35,1.59,1.26,2.00,1.90,2.73,3.07,3.41
27,Weighted Average Shares Outstanding,4500000,26469000,70765500,58900000,77256000,80815000,110906000,114441000,115756000,117027000,135793000,176790000,200733000,210046000,212648000,212777000,214929000,219668000,195113000,157287000,156124000,152963000,145710000,141380000,140008000
28,Weighted Average Shares Outstanding Diluted,43200000,27999000,84219000,76583000,78238000,80815000,110906000,114441000,116634000,117863000,167260000,202363000,201311000,211796000,213168000,212835000,214978000,219690000,195120000,157288000,157155000,154226000,147534000,145247000,144304000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1050915/000095012999001324/0000950129-99-001324-index.html,https://www.sec.gov/Archives/edgar/data/1050915/000095012900001546/0000950129-00-001546-index.html,https://www.sec.gov/Archives/edgar/data/1050915/000095012901001845/0000950129-01-001845-index.html,https://www.sec.gov/Archives/edgar/data/1050915/000095012902001681/0000950129-02-001681-index.html,https://www.sec.gov/Archives/edgar/data/1050915/000095012903001726/0000950129-03-001726-index.html,https://www.sec.gov/Archives/edgar/data/1050915/000095012904001307/0000950129-04-001307-index.htm,https://www.sec.gov/Archives/edgar/data/1050915/000095012905002505/0000950129-05-002505-index.htm,https://www.sec.gov/Archives/edgar/data/1050915/000095012906002185/0000950129-06-002185-index.htm,https://www.sec.gov/Archives/edgar/data/1050915/000095012907000940/0000950129-07-000940-index.htm,https://www.sec.gov/Archives/edgar/data/1050915/000095012908001378/0000950129-08-001378-index.htm,https://www.sec.gov/Archives/edgar/data/1050915/000095013409004251/0000950134-09-004251-index.htm,https://www.sec.gov/Archives/edgar/data/1050915/000095012310019204/0000950123-10-019204-index.htm,https://www.sec.gov/Archives/edgar/data/1050915/000095012311020719/0000950123-11-020719-index.htm,https://www.sec.gov/Archives/edgar/data/1050915/000119312512088822/0001193125-12-088822-index.htm,https://www.sec.gov/Archives/edgar/data/1050915/000119312513087221/0001193125-13-087221-index.htm,https://www.sec.gov/Archives/edgar/data/1050915/000119312514079763/0001193125-14-079763-index.htm,https://www.sec.gov/Archives/edgar/data/1050915/000119312515073003/0001193125-15-073003-index.htm,https://www.sec.gov/Archives/edgar/data/1050915/000119312516485494/0001193125-16-485494-index.htm,https://www.sec.gov/Archives/edgar/data/1050915/000119312517064821/0001193125-17-064821-index.htm,https://www.sec.gov/Archives/edgar/data/1050915/000105091518000003/0001050915-18-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1050915/000105091519000014/0001050915-19-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1050915/000105091520000020/0001050915-20-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1050915/000105091521000009/0001050915-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1050915/000105091522000008/0001050915-22-000008-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,500000,3200000,10800000,17306000,6287000,27901000,179626000,265560000,304267000,383687000,407081000,437901000,699629000,539221000,315349000,394701000,488777000,190515000,128771000,112183000,138285000,78687000,164798000,184620000,229097000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,500000,3200000,10800000,17306000,6287000,27901000,179626000,265560000,304267000,383687000,407081000,437901000,699629000,539221000,315349000,394701000,488777000,190515000,128771000,112183000,138285000,78687000,164798000,184620000,229097000
34,Net Receivables,14600000,94600000,299900000,538711000,451870000,367057000,364844000,348828000,469637000,543874000,792096000,849630000,688260000,766387000,1066273000,1670858000,1652593000,2102986000,1938878000,1973423000,2482369000,2931628000,3349179000,3169915000,4203771000
35,Inventory,900000,2500000,8700000,19874000,25053000,25646000,23809000,18849000,25717000,28768000,25920000,25813000,33451000,51754000,71416000,38261000,31877000,38921000,75285000,88548000,80890000,107732000,55719000,50472000,84659000
36,Other Current Assets,700000,4400000,15700000,26516000,93910000,108893000,107814000,66799000,31389000,34300000,79665000,68147000,161452000,239002000,312116000,97907000,140071000,221554000,134585000,114591000,168363000,208057000,261290000,183382000,215050000
37,Total Current Assets,16700000,104700000,335100000,602407000,577120000,529497000,676093000,700036000,831010000,990629000,1304762000,1381491000,1582792000,1596364000,1765154000,2201727000,2313318000,2553976000,2277519000,2288745000,2869907000,3326104000,3830986000,3588389000,4732577000
38,PP&E,18300000,74200000,191900000,341029000,385480000,369568000,341542000,314983000,286606000,276789000,532285000,635456000,854437000,900768000,971696000,1045983000,1205608000,1480128000,1101959000,1174094000,1288602000,1276032000,1671023000,1817501000,2160302000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,331282000,1355098000,1363100000,1449558000,1561155000,1601210000,1537645000,1780717000,1931485000,1552658000,1603169000,1868600000,1899879000,2022675000,2121014000,3528886000
40,Intangible Assets,100000,150900000,624800000,906031000,1036982000,395597000,388882000,388620000,388357000,- -,152695000,140717000,184822000,194067000,207224000,183836000,207877000,260593000,205074000,187023000,263179000,280180000,413734000,435655000,1801180000
41,Intangible Assets,100000,150900000,624800000,906031000,1036982000,395597000,388882000,388620000,388357000,331282000,1507793000,1503817000,1634380000,1755222000,1808434000,1721481000,1988594000,2192078000,1757732000,1790192000,2131779000,2180059000,2436409000,2556669000,5330066000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,600000,5200000,7800000,24627000,43319000,70150000,59918000,56358000,48812000,40457000,42992000,34023000,45345000,88858000,153830000,171566000,285725000,85842000,76333000,101028000,189866000,293592000,393264000,435713000,632244000
45,Total Non-Current Assets,19000000,230300000,824500000,1271687000,1465781000,835315000,790342000,759961000,723775000,648528000,2083070000,2173296000,2534162000,2744848000,2933960000,2939030000,3479927000,3758048000,2936024000,3065314000,3610247000,3749683000,4500696000,4809883000,8122612000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,35700000,335000000,1159600000,1874094000,2042901000,1364812000,1466435000,1459997000,1554785000,1639157000,3387832000,3554787000,4116954000,4341212000,4699114000,5140757000,5793245000,6312024000,5213543000,5354059000,6480154000,7075787000,8331682000,8398272000,12855189000
48,Accounts Payable,6600000,38000000,141000000,215684000,202327000,189080000,76437000,84147000,241811000,136198000,269377000,400253000,- -,- -,343676000,373947000,412601000,487790000,452295000,529608000,632931000,786546000,798718000,1510,1251118000
49,Short-Term Debt,7200000,3800000,6700000,8772000,8063000,6652000,5034000,6236000,2252000,34845000,271011000,1155000,3426000,1327000,56000,9000,2234000,8876000,7067000,7563000,1220000,65646000,74869000,14764000,107417000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15021000,- -,- -,- -,16945000,196384000,261870000,272422000,407240000,290358000,449354000,466044000,639338000,528864000,802872000
52,Other Current Liabilities,700000,7000000,23200000,27981000,31140000,16409000,117919000,130675000,14008000,163413000,202020000,50390000,492262000,499068000,420399000,310839000,366815000,368237000,337142000,377699000,408562000,487891000,750124000,1594926490,1003553000
53,Total Current Liabilities,14500000,48800000,170900000,252437000,241530000,212141000,199390000,221058000,258071000,334456000,757429000,451798000,495688000,500395000,781076000,881179000,1043520000,1137325000,1203744000,1205228000,1492067000,1806127000,2263049000,2138556000,3164960000
54,Long-Term Debt,7500000,109600000,199700000,491102000,500274000,385667000,500447000,462034000,450091000,413750000,143750000,143750000,126608000,- -,- -,- -,- -,72489000,475364000,353562000,670721000,1040532000,1292195000,1174294000,3894901000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,2500000,6300000,32100000,61599000,94346000,82411000,103362000,111329000,142885000,161868000,101416000,83422000,167575000,212200000,233644000,225050000,244256000,300516000,186491000,192834000,179381000,219115000,214779000,166407000,191098000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,72922000,104000,2329000,- -,- -,200094000,217851000,216522000,261698000,295131000,262612000,264150000,276154000,260129000,259733000,342356000,404560000,507828000,570043000,487309000
58,Total Non-Current Liabilities,10000000,115900000,231800000,552701000,594620000,541000000,603913000,575692000,592976000,575618000,445260000,445023000,510705000,473898000,528775000,487662000,508406000,649159000,921984000,806129000,1192458000,1664207000,2014802000,1910744000,4573308000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,104000,2329000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,288996000,263956000,248678000
61,Total Liabilities,24500000,164700000,402700000,805138000,836150000,753141000,803303000,796750000,851047000,910074000,1202689000,896821000,1006393000,974293000,1309851000,1368841000,1551926000,1786484000,2125728000,2011357000,2684525000,3470334000,4277851000,4049300000,7738268000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,952380000,980303000,- -,- -,- -,- -,2000,2000,2000,2000,2000,2000,2000,2000,2000,1000,2000,2000,2000,0,2000
64,Retained Earnings,11800000,27000000,81800000,186612000,271448000,-356605000,-389485000,-398679000,-369122000,-351639000,-214191000,-47450000,75836000,229012000,361527000,668156000,1070077000,1366791000,1677698000,1876081000,2191059000,2477291000,2854271000,3265,3714843000
65,Other Comprehensive Income/Loss,-19200000,-25400000,-46300000,-81778000,-132444000,-182247000,-233020000,-277475000,-291795000,-296903000,4000000,-3000000,4000000,14000000,1000000,14000000,-37000000,-123000000,-295000000,-272000000,-203000000,-286000000,-242000000,-232997000,-237689000
66,Other Total Stockholders Equity,18600000,168700000,721400000,964122000,115367000,170220000,1285637000,1339401000,1364655000,1377625000,2395332000,2708414000,3029345000,3122541000,3019423000,3084390000,3201109000,3270680000,1702794000,1735345000,1803510000,1412866000,1438019000,4577174735,- -
67,Total Stockholders Equity,11200000,170300000,756900000,1068956000,1206751000,611671000,663132000,663247000,703738000,729083000,2185143000,2657966000,3109183000,3365555000,3381952000,3766548000,4234188000,4514473000,3085494000,3339427000,3791571000,3604159000,4050292000,4344181000,5112301000
68,Total Liabilities And Stockholders Equity,35700000,335000000,1159600000,1874094000,2042901000,1364812000,1466435000,1459997000,1554785000,1639157000,3387832000,3554787000,4115576000,4339848000,4691803000,5135389000,5786114000,6300957000,5211222000,5350784000,6476096000,7074493000,8328143000,8393481000,12850569000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1378000,1364000,7311000,5368000,7131000,11067000,2321000,3275000,4058000,1294000,3539000,4791000,4620000
70,Total Liabilities & Equity,35700000,335000000,1159600000,1874094000,2042901000,1364812000,1466435000,1459997000,1554785000,1639157000,3387832000,3554787000,4116954000,4341212000,4699114000,5140757000,5793245000,6312024000,5213543000,5354059000,6480154000,7075787000,8331682000,8398272000,12855189000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1050915/000095012999001324/0000950129-99-001324-index.html,https://www.sec.gov/Archives/edgar/data/1050915/000095012900001546/0000950129-00-001546-index.html,https://www.sec.gov/Archives/edgar/data/1050915/000095012901001845/0000950129-01-001845-index.html,https://www.sec.gov/Archives/edgar/data/1050915/000095012902001681/0000950129-02-001681-index.html,https://www.sec.gov/Archives/edgar/data/1050915/000095012903001726/0000950129-03-001726-index.html,https://www.sec.gov/Archives/edgar/data/1050915/000095012904001307/0000950129-04-001307-index.htm,https://www.sec.gov/Archives/edgar/data/1050915/000095012905002505/0000950129-05-002505-index.htm,https://www.sec.gov/Archives/edgar/data/1050915/000095012906002185/0000950129-06-002185-index.htm,https://www.sec.gov/Archives/edgar/data/1050915/000095012907000940/0000950129-07-000940-index.htm,https://www.sec.gov/Archives/edgar/data/1050915/000095012908001378/0000950129-08-001378-index.htm,https://www.sec.gov/Archives/edgar/data/1050915/000095013409004251/0000950134-09-004251-index.htm,https://www.sec.gov/Archives/edgar/data/1050915/000095012310019204/0000950123-10-019204-index.htm,https://www.sec.gov/Archives/edgar/data/1050915/000095012311020719/0000950123-11-020719-index.htm,https://www.sec.gov/Archives/edgar/data/1050915/000119312512088822/0001193125-12-088822-index.htm,https://www.sec.gov/Archives/edgar/data/1050915/000119312513087221/0001193125-13-087221-index.htm,https://www.sec.gov/Archives/edgar/data/1050915/000119312514079763/0001193125-14-079763-index.htm,https://www.sec.gov/Archives/edgar/data/1050915/000119312515073003/0001193125-15-073003-index.htm,https://www.sec.gov/Archives/edgar/data/1050915/000119312516485494/0001193125-16-485494-index.htm,https://www.sec.gov/Archives/edgar/data/1050915/000119312517064821/0001193125-17-064821-index.htm,https://www.sec.gov/Archives/edgar/data/1050915/000105091518000003/0001050915-18-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1050915/000105091519000014/0001050915-19-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1050915/000105091520000020/0001050915-20-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1050915/000105091521000009/0001050915-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1050915/000105091522000008/0001050915-22-000008-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,2500000,15200000,53900000,105723000,85766000,-619556000,-34989000,-9194000,29557000,17483000,135977000,166741000,162162000,153176000,132515000,306629000,401921000,296714000,310907000,198383000,314978000,293346000,402044000,445596000,485956000
74,Depreciation and Amortization,3300000,10600000,35200000,57294000,79374000,60576000,62871000,64988000,60379000,56240000,77312000,113954000,125814000,146075000,146021000,157994000,161625000,194017000,197693000,201925000,216013000,246513000,280198000,301960000,420895000
75,Deferred Income Tax,- -,-400000,5600000,13344000,10006000,6105000,37532000,-13080000,8797000,-1666000,5597000,7909000,26911000,36430000,7017000,22533000,-16470000,33664000,-19403000,-15695000,-32130000,61974000,-7919000,-60016000,26071000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19875000,23048000,21618000,25990000,35876000,39030000,36939000,42843000,46448000,52484000,52013000,91641000,88259000
77,Change in Working Capital,-1200000,53700000,108300000,185770000,-14380000,-18234000,159347000,2275000,93961000,83234000,-108840000,382360000,157411000,8865000,-111891000,336470000,-50750000,146853000,-342876000,9742000,294323000,142137000,47960000,-118104000,-457682000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-341825000,-74249000,-231974000,150470000,144877000,-425313000,-475919000,-214580000,71058000,-248452000
79,Inventory,-300000,-900000,-1800000,-6275000,-3636000,-593000,1837000,-2450000,-6868000,-3051000,6715000,309000,7536000,-17127000,-18529000,26435000,5986000,-4025000,-33524000,-9905000,14110000,-28131000,52168000,9860000,1418000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39419000,115569000,95829000
81,Other Working Capital,2200000,55900000,164200000,349970000,335590000,317356000,476703000,478978000,572939000,656173000,547333000,929693000,1087104000,1095969000,984078000,1320548000,1269798000,1416651000,1073775000,1083517000,1377840000,1519977000,1567937000,1449833000,31972000
82,Other Non-Cash Items,400000,-70800000,-156700000,-316709000,49260000,692631000,-107578000,99091000,-110264000,-34651000,109194000,-428464000,-115275000,-127336000,22750000,-743399000,-85610000,-399454000,457265000,-57057000,-467157000,-437665000,-247745000,454900000,18891000
83,Cash Provided by Operating Activities,5000000,8300000,46300000,45422000,210026000,121522000,117183000,144080000,82430000,120640000,219240000,242500000,376898000,240258000,218030000,106217000,446592000,310824000,640525000,380141000,372475000,358789000,526551000,1115977000,582390000
84,CAPEX,-6400000,-111800000,-369800000,-89610000,-84982000,-49454000,-35943000,-38971000,-42556000,-48452000,-127931000,-200207000,-164980000,-149653000,-172005000,-210986000,-263558000,-301728000,-210179000,-212555000,-244651000,-308043000,-262270000,-260574000,-386719000
85,Acquisitions Net,- -,- -,- -,-273812000,-119496000,-8000000,- -,- -,- -,- -,-20137000,-34547000,36234000,-130251000,-114660000,-122477000,-97652000,-265345000,-118988000,-79097000,-352231000,-127121000,-388432000,-274681000,-2590724000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-511655000,-309055000,- -,- -,- -,-4000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,1300000,- -,- -,- -,- -,- -,- -,- -,511655000,309055000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29109000
88,Other Investing Activites,200000,1400000,1500000,1424000,-17343000,-12693000,-6125000,13827000,12000000,9972000,27498000,15407000,9064000,25651000,9448000,318343000,41244000,23955000,847219000,19528000,21057000,-275549000,-229164000,-224642000,-336998000
89,Cash Used for Investing Activites,-6200000,-109100000,-368300000,-361998000,-221821000,-70147000,-42068000,-25144000,-30556000,-38480000,-120570000,-219347000,-119682000,-254253000,-281217000,-13579000,-319966000,-542866000,518263000,-272124000,-575825000,-402670000,-617596000,-499323000,-2898613000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3301000,-147188000,-5680000,-1052756000,-342286000,-896672000,-2943605000,-2872343000,-2632548000,-4077758000,-5905272000,-4190615000,-4269113000
91,Common Stock Issued,- -,45600000,286600000,28528000,14666000,103200000,7121000,3218000,5130000,1011000,10288000,5987000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-15307000,-11725000,- -,- -,- -,- -,-875000,- -,- -,- -,-149547000,- -,- -,-93482000,-1606361000,- -,-50000000,-443152000,-20092000,-247249000,-66687000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-23236000,-28891000,-34022000
94,Other Financing Activites,1100000,57900000,42900000,294579000,1417000,-121236000,69489000,-36220000,-18297000,-3751000,-88352000,2250000,4782000,1483000,-3506000,1037412000,325635000,931807000,3332588000,2747518000,2910312000,4504340000,6126287000,3865390000,6730699000
95,Cash Used/Provided by Financing Activities,1100000,103500000,329500000,323107000,776000,-29761000,76610000,-33002000,-13167000,-2740000,-78939000,8237000,1481000,-145705000,-158733000,-15344000,-16651000,-58347000,-1217378000,-124825000,227764000,-16570000,177687000,-601365000,2360877000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3663000,-570000,3031000,-708000,-1952000,2058000,-15899000,-7873000,-3154000,220000,1688000,-68000,-153000,1774000,425000
97,Net Change In Cash,1100000,103500000,7600000,6531000,-11019000,21614000,151725000,85934000,38707000,79420000,23394000,30820000,261728000,-160408000,-223872000,79352000,94076000,-298262000,-61744000,-16588000,26102000,-60519000,86489000,17063000,45079000
98,Cash at the End of Period,- -,- -,10800000,17306000,6287000,27901000,179626000,265560000,304267000,383687000,407081000,437901000,699629000,539221000,315349000,394701000,488777000,190515000,128771000,112183000,138285000,83256000,169745000,186808000,231887000
99,Cash at the Beginning of Period,500000,500000,3200000,10775000,17306000,6287000,27901000,179626000,265560000,304267000,383687000,407081000,437901000,699629000,539221000,315349000,394701000,488777000,190515000,128771000,112183000,143775000,83256000,169745000,186808000
100,Free Cash Flow,-1400000,-103500000,-323500000,-44188000,125044000,72068000,81240000,105109000,39874000,72188000,91309000,42293000,211918000,90605000,46025000,-104769000,183034000,9096000,430346000,167586000,127824000,50746000,264281000,855403000,195671000
