,https://roic.ai/company/MLM,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Income Tax expense (Gain),32100000,36200000,40300000,52700000,58500000,68500000,56794000,53077000,46455000,41047000,56543000,72534000,106640000,116073000,71822000,27375000,29217000,20986000,16950000,44045000,94847000,124863000,181584000,-94457000,105705000,136300000,168200000,153200000
23,Net Income,53700000,67600000,78600000,98500000,115600000,125800000,112027000,105362000,86315000,93623000,129163000,192666000,245422000,262749000,176256000,85459000,97012000,82379000,84474000,121337000,155601000,288792000,425386000,713342000,469998000,611900000,721000000,702500000
24,Net Income ratio,0.1070,0.1017,0.1089,0.1093,0.1093,0.0999,0.0738,0.0613,0.0510,0.0547,0.0734,0.0961,0.1112,0.1190,0.0831,0.0502,0.0544,0.0481,0.0415,0.0563,0.0526,0.0816,0.1114,0.1799,0.1107,0.1291,0.1524,0.1298
25,EPS,1.19,1.47,1.71,2.14,2.49,2.70,2.40,2.20,1.77,1.91,2.68,4.14,5.40,6.16,4.26,1.92,2.11,1.79,1.83,2.62,2.73,4.31,6.66,11.30,7.46,9.77,11.56,11.26
26,EPS Diluted,1.19,1.47,1.71,2.13,2.48,2.68,2.39,2.19,1.77,1.91,2.66,4.08,5.29,6.06,4.20,1.91,2.10,1.78,1.83,2.61,2.71,4.29,6.63,11.25,7.43,9.74,11.54,11.22
27,Weighted Average Shares Outstanding,45126050,45986395,46079300,46028037,46425703,46668000,46753000,47873000,48727000,48905000,48142000,46540000,45453000,42653000,41400000,44000000,45500000,45700000,45800000,46200000,56900000,66800000,63610000,62900000,62895000,62528000,62300000,62400000
28,Weighted Average Shares Outstanding Diluted,45126050,45986395,46141732,46244131,46612903,46947000,46948000,48066000,48858000,49136000,48534000,47279000,46367000,43347000,42000000,44200000,45700000,45800000,46000000,46300000,57100000,67000000,63861000,63200000,63147000,62710000,62400000,62600000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/916076/000095014403003919/g81353e10vk.htm,https://www.sec.gov/Archives/edgar/data/916076/000095014404002492/g87608ke10vk.htm,https://www.sec.gov/Archives/edgar/data/916076/000095014405001851/g93420e10vk.htm,https://www.sec.gov/Archives/edgar/data/916076/000095014406001538/g99743e10vk.htm,https://www.sec.gov/Archives/edgar/data/916076/000095014407001677/g05626e10vk.htm,https://www.sec.gov/Archives/edgar/data/916076/000095014408001341/g11819e10vk.htm,https://www.sec.gov/Archives/edgar/data/916076/000095014409001377/0000950144-09-001377-index.html,https://www.sec.gov/Archives/edgar/data/916076/000095012310018035/0000950123-10-018035-index.html,https://www.sec.gov/Archives/edgar/data/916076/000095012311018849/g25580e10vk.htm,https://www.sec.gov/Archives/edgar/data/916076/000119312512088047/0001193125-12-088047-index.html,https://www.sec.gov/Archives/edgar/data/916076/000119312513070711/0001193125-13-070711-index.html,https://www.sec.gov/Archives/edgar/data/916076/000119312514064999/d654417d10k.htm,https://www.sec.gov/Archives/edgar/data/916076/000119312515060008/d877241d10k.htm,https://www.sec.gov/Archives/edgar/data/916076/000119312516473754/0001193125-16-473754-index.html,https://www.sec.gov/Archives/edgar/data/916076/000119312517056282/0001193125-17-056282-index.html,https://www.sec.gov/Archives/edgar/data/916076/000119312518055887/0001193125-18-055887-index.html,https://www.sec.gov/Archives/edgar/data/916076/000119312519049961/0001193125-19-049961-index.html,https://www.sec.gov/Archives/edgar/data/916076/000156459020005784/0001564590-20-005784-index.html,https://www.sec.gov/Archives/edgar/data/916076/000156459021006959/0001564590-21-006959-index.htm,https://www.sec.gov/Archives/edgar/data/916076/000156459022005965/0001564590-22-005965-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,-4300000,18700000,14600000,3400000,- -,1379000,- -,125133000,161620000,76745000,32282000,20038000,37794000,263591000,70323000,26022000,25394000,42437000,108651000,168409000,50038000,1446364000,44892000,21000000,207300000,258400000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,-4300000,18700000,14600000,3400000,- -,1379000,- -,125133000,161620000,101745000,32282000,20038000,37794000,263591000,70323000,26022000,25394000,42437000,108651000,168409000,50038000,1446364000,44892000,21000000,207300000,258400000
34,Net Receivables,- -,- -,136600000,147400000,171500000,197600000,180915000,215184000,232884000,234578000,219589000,225012000,244920000,247916000,213070000,162815000,183361000,203748000,224050000,245421000,421001000,410921000,457910000,487240000,523276000,573700000,575100000,774000000
35,Inventory,- -,- -,113800000,132600000,157100000,172900000,207534000,231003000,239726000,213843000,209309000,222728000,256287000,286885000,318018000,332569000,331894000,322607000,332311000,347307000,484919000,469141000,521624000,600591000,663035000,690800000,709000000,752600000
36,Other Current Assets,- -,- -,25100000,23300000,26200000,29500000,36552000,48666000,53539000,47965000,33735000,52556000,58865000,71171000,96149000,97885000,110633000,105473000,118646000,120201000,274245000,33697000,56813000,96965000,134613000,141200000,176900000,240600000
37,Total Current Assets,- -,- -,271200000,322000000,369400000,403400000,425001000,496232000,526149000,621519000,624253000,602041000,592354000,626010000,665031000,856860000,696211000,657850000,700401000,755366000,1288816000,1082168000,1086385000,2631160000,1365816000,1426700000,1668300000,2025600000
38,PP&E,- -,- -,408800000,591400000,777500000,847000000,914072000,1082189000,1067576000,1042432000,1065215000,1166351000,1295491000,1433553000,1690529000,1692905000,1687830000,1774291000,1753241000,1799241000,3402770000,3156000000,3423395000,3592813000,5157229000,5687900000,5695300000,6764700000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,571186000,- -,- -,- -,569263000,570538000,574667000,622297000,624224000,626527000,616671000,616204000,616621000,2068799000,2068235000,2159337000,2160290000,2399118000,2396800000,2414000000,3494400000
40,Intangible Assets,- -,- -,63200000,174900000,376000000,406800000,409456000,35782000,609421000,602728000,586137000,18744000,10948000,9426000,13890000,12469000,17548000,54133000,50433000,48591000,595205000,510552000,511312000,506349000,501282000,486800000,508000000,1065000000
41,Intangible Assets,- -,- -,63200000,174900000,376000000,406800000,409456000,606968000,609421000,602728000,586137000,588007000,581486000,584093000,636187000,636693000,644075000,670804000,666637000,665212000,2664004000,2578787000,2670649000,2666639000,2900400000,2883600000,2922000000,4559400000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,25700000,17400000,65700000,85400000,92910000,39191000,55384000,63414000,80247000,76917000,37090000,40149000,40755000,52825000,46627000,44877000,40647000,40007000,108802000,144777000,120476000,101899000,127974000,133400000,295200000,1043300000
45,Total Non-Current Assets,- -,- -,497700000,783700000,1219200000,1339200000,1416438000,1728348000,1732381000,1708574000,1731599000,1831275000,1914067000,2057795000,2367471000,2382423000,2378532000,2489972000,2460525000,2504460000,6175576000,5879564000,6214520000,6361351000,8185603000,8704900000,8912500000,12367400000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,768900000,1105700000,1588600000,1742600000,1841439000,2224580000,2258530000,2330093000,2355852000,2433316000,2506421000,2683805000,3032502000,3239283000,3074743000,3147822000,3160926000,3259826000,7464392000,6961732000,7300905000,8992511000,9551419000,10131600000,10580800000,14393000000
48,Accounts Payable,- -,- -,36400000,49600000,57700000,55900000,59029000,79572000,73186000,76576000,89949000,93445000,85237000,86868000,62921000,52107000,60333000,92210000,83537000,103600000,202476000,164718000,178598000,183638000,210808000,229600000,207800000,356200000
49,Short-Term Debt,- -,- -,5500000,1400000,15700000,39700000,45155000,4490000,11389000,1068000,970000,8153000,134346000,282487000,207207000,227856000,250837000,7182000,5676000,14959000,14519000,29481000,180036000,299909000,390042000,340000000,48600000,53900000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,46200000,57200000,78800000,87100000,84929000,107975000,113252000,142520000,112894000,98524000,95489000,137261000,78511000,93590000,74323000,74320000,84122000,91990000,179653000,172992000,187954000,210669000,185900000,268900000,242900000,342500000
53,Total Current Liabilities,- -,- -,88100000,108200000,152200000,182700000,189113000,192037000,197827000,220164000,203813000,200122000,315072000,506616000,348639000,373553000,385493000,173712000,173335000,210549000,396648000,367191000,546588000,694216000,786750000,838500000,499300000,752600000
54,Long-Term Debt,- -,- -,125900000,310700000,602100000,602000000,601580000,797385000,733471000,717073000,713661000,709159000,579308000,848186000,1152414000,1023492000,782045000,1052902000,1042183000,1018518000,1571059000,1553649000,1506153000,2727294000,2730439000,2433600000,3036200000,5480200000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,13600000,50000000,75600000,81900000,- -,102664000,108496000,130102000,139179000,149972000,159094000,160902000,174308000,195946000,228698000,222064000,225592000,279999000,734583000,583459000,663019000,410723000,705564000,733000000,781500000,895300000
57,Other Non-Current Liabilities,- -,- -,60300000,75000000,91000000,102000000,187460000,110282000,135726000,132907000,145772000,200378000,198975000,222110000,335437000,239881000,210248000,250280000,269517000,175841000,409354000,397256000,442555000,477801000,379254000,773200000,370500000,727300000
58,Total Non-Current Liabilities,- -,- -,199800000,435700000,768700000,785900000,789040000,1010331000,977693000,980082000,998612000,1059509000,937377000,1231198000,1662159000,1459319000,1220991000,1525246000,1537292000,1474358000,2714996000,2534364000,2611727000,3615818000,3815257000,3939800000,4188200000,7102800000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,486600000,459000000,433300000
61,Total Liabilities,- -,- -,287900000,543900000,920900000,968600000,978153000,1202368000,1175520000,1200246000,1202425000,1259631000,1252449000,1737814000,2010798000,1832872000,1606484000,1698958000,1710627000,1684907000,3111644000,2901555000,3158315000,4310034000,4602007000,4778300000,4687500000,7855400000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,500000,468000,485000,488000,486000,472000,457000,448000,412000,414000,453000,455000,456000,459000,461000,671000,643000,630000,628000,624000,- -,600000,600000
64,Retained Earnings,- -,- -,149200000,225600000,318000000,419500000,506272000,584707000,642734000,702643000,795299000,948012000,1142084000,931656000,1044417000,1058698000,1082160000,1090891000,1101598000,1148738000,1213035000,874436000,935574000,1440069000,1693259000,2077200000,2607700000,3161900000
65,Other Comprehensive Income/Loss,- -,- -,-61200000,-651300000,-725000000,-806200000,-899529000,-992233000,-1078904000,-1163033000,-1244322000,-15000000,-36000000,-37000000,-102000000,-75000000,-54000000,-84000000,-106000000,-44000000,-106000000,-106000000,-131000000,-129000000,-144000000,-146000000,-158400000,-97600000
66,Other Total Stockholders Equity,- -,- -,393000000,987500000,1074700000,1160200000,1256075000,1429253000,1518692000,1589751000,1601978000,240216000,147440000,50923000,78873000,381089000,396825000,401974000,414488000,432678000,3243460000,3288205000,3334774000,3367903000,3396480000,3419600000,3440800000,3470400000
67,Total Stockholders Equity,- -,- -,481000000,561800000,667700000,774000000,863286000,1022212000,1083010000,1129847000,1153427000,1173685000,1253972000,945991000,1021704000,1365240000,1425440000,1409321000,1410545000,1537877000,4351166000,4057284000,4139978000,4679600000,4946363000,5350800000,5890700000,6535300000
68,Total Liabilities And Stockholders Equity,- -,- -,768900000,1105700000,1588600000,1742600000,1841439000,2224580000,2258530000,2330093000,2355852000,2433316000,2506421000,2683805000,3032502000,3198112000,3031924000,3108279000,3121172000,3222784000,7462810000,6958839000,7298293000,8989634000,9548370000,10129100000,10578200000,14390700000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41171000,42819000,39543000,39754000,37042000,1582000,2893000,2612000,2877000,3049000,2500000,2600000,2300000
70,Total Liabilities & Equity,- -,- -,768900000,1105700000,1588600000,1742600000,1841439000,2224580000,2258530000,2330093000,2355852000,2433316000,2506421000,2683805000,3032502000,3239283000,3074743000,3147822000,3160926000,3259826000,7464392000,6961732000,7300905000,8992511000,9551419000,10131600000,10580800000,14393000000
71,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/916076/000095014403003919/g81353e10vk.htm,https://www.sec.gov/Archives/edgar/data/916076/000095014404002492/g87608ke10vk.htm,https://www.sec.gov/Archives/edgar/data/916076/000095014405001851/g93420e10vk.htm,https://www.sec.gov/Archives/edgar/data/916076/000095014406001538/g99743e10vk.htm,https://www.sec.gov/Archives/edgar/data/916076/000095014407001677/g05626e10vk.htm,https://www.sec.gov/Archives/edgar/data/916076/000095014408001341/g11819e10vk.htm,https://www.sec.gov/Archives/edgar/data/916076/000095014409001377/0000950144-09-001377-index.html,https://www.sec.gov/Archives/edgar/data/916076/000095012310018035/0000950123-10-018035-index.html,https://www.sec.gov/Archives/edgar/data/916076/000095012311018849/g25580e10vk.htm,https://www.sec.gov/Archives/edgar/data/916076/000119312512088047/0001193125-12-088047-index.html,https://www.sec.gov/Archives/edgar/data/916076/000119312513070711/0001193125-13-070711-index.html,https://www.sec.gov/Archives/edgar/data/916076/000119312514064999/d654417d10k.htm,https://www.sec.gov/Archives/edgar/data/916076/000119312515060008/d877241d10k.htm,https://www.sec.gov/Archives/edgar/data/916076/000119312516473754/0001193125-16-473754-index.html,https://www.sec.gov/Archives/edgar/data/916076/000119312517056282/0001193125-17-056282-index.html,https://www.sec.gov/Archives/edgar/data/916076/000119312518055887/0001193125-18-055887-index.html,https://www.sec.gov/Archives/edgar/data/916076/000119312519049961/0001193125-19-049961-index.html,https://www.sec.gov/Archives/edgar/data/916076/000156459020005784/0001564590-20-005784-index.html,https://www.sec.gov/Archives/edgar/data/916076/000156459021006959/0001564590-21-006959-index.htm,https://www.sec.gov/Archives/edgar/data/916076/000156459022005965/0001564590-22-005965-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,53700000,67600000,78600000,98500000,115600000,125800000,112027000,105362000,86315000,93623000,129163000,192666000,245422000,262749000,176256000,85459000,97012000,82379000,84474000,121337000,155601000,288792000,425386000,713342000,469998000,611900000,721000000,702500000
74,Depreciation and Amortization,42800000,55700000,61200000,79700000,98800000,124800000,136373000,154635000,138696000,139606000,132859000,138251000,141429000,150338000,166485000,175367000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,393500000,- -
75,Deferred Income Tax,-900000,100000,100000,7100000,-3500000,-3300000,9457000,14356000,24489000,22629000,38544000,5711000,17156000,8741000,23848000,8685000,1708000,11324000,13929000,24113000,50292000,85225000,67050000,-239056000,85063000,29400000,43800000,92200000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21865000,20552000,14675000,11522000,7781000,7008000,8993000,13589000,20481000,30460000,29253000,34100000,30000000,43000000
77,Change in Working Capital,-16800000,183100000,- -,30700000,3400000,3500000,15188000,68307000,24127000,73033000,19085000,-18521000,-124637000,-157888000,196998000,166915000,-172589000,173420000,42928000,17751000,347351000,-177191000,-175180000,1397147000,-1357878000,9134000,580800000,-115400000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34242000,48521000,-20546000,-19375000,-20302000,-22523000,-16650000,12309000,-25072000,-29329000,-10617000,-50400000,6100000,-194400000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,-14329000,18039000,786000,-10952000,-33681000,-31514000,-25182000,-12525000,1241000,-5107000,-9640000,-11639000,-12020000,-21525000,-47381000,-78966000,-21984000,-27700000,-19300000,73200000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-24411000,-10452000,8223000,30387000,-8673000,20063000,5303000,-40053000,-8116000,-17874000,20148000,25900000,-34000000,109800000
81,Other Working Capital,- -,183100000,183100000,213800000,217200000,220700000,235888000,304195000,328322000,401355000,420440000,401919000,277282000,119394000,316392000,483307000,310718000,484138000,527066000,544817000,892168000,714977000,539797000,1936944000,579066000,588200000,1169000000,-104000000
82,Other Non-Cash Items,700000,-177900000,-5000000,-20400000,8300000,-27100000,-60165000,-89717000,-70067000,-51722000,-52810000,-323000,58822000,131628000,-243707000,-138610000,329002000,-19551000,73577000,138742000,-180579000,362736000,340917000,-1244015000,1478712000,281566000,-719000000,415400000
83,Cash Provided by Operating Activities,79500000,128600000,134900000,195600000,222600000,223700000,212880000,252943000,203560000,277169000,266841000,317784000,338192000,395568000,341745000,318368000,269808000,259094000,222689000,308951000,381658000,573151000,678654000,657878000,705148000,966100000,1050100000,1137700000
84,CAPEX,-47000000,-230700000,-83200000,-365500000,-471800000,-214900000,-170805000,-194386000,-152680000,-120638000,-163445000,-221401000,-265976000,-264923000,-258246000,-139230000,-135916000,-155363000,-151023000,-155233000,-232183000,-318232000,-387267000,-410325000,-375954000,-393500000,-359700000,-423100000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33000000,28000000,9000000,-193000000,-42000000,-38000000,-84000000,10000000,-56000000,182000000,405000000,-168000000,24000000,-1573000000,8000000,77200000,-3066400000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14900000
88,Other Investing Activites,-77700000,2700000,71800000,32100000,-34000000,300000,-31001000,-175799000,-47970000,20860000,40120000,-468000,-447000,-104000,484000,-3801000,-266000,439000,-2187000,-3316000,858000,1778000,-46000,-154000,748000,-400000,-127200000,- -
89,Cash Used for Investing Activites,-124700000,-228000000,-11400000,-333400000,-505800000,-214600000,-201806000,-370185000,-200650000,-99778000,-123325000,-213869000,-213423000,-256027000,-450762000,-185031000,-174182000,-238924000,-143210000,-214549000,-49325000,88546000,-555313000,-386479000,-1948206000,-385900000,-409700000,-3474600000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-207992000,-439083000,-419988000,-472573000,-193655000,-621170000,-1060364000,-251320000,-452670000,-1068591000,-913538000,-986100000,-780600000,-431200000
91,Common Stock Issued,188500000,- -,- -,200000,1900000,2000000,2039000,2621000,640000,1037000,3787000,33266000,31535000,14623000,3271000,294177000,3047000,1473000,6959000,11691000,39714000,37078000,21321000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-1300000,- -,- -,- -,- -,-12700000,- -,- -,- -,-13253000,-71507000,-178787000,-172888000,-551164000,-24017000,- -,- -,- -,- -,- -,- -,-519962000,-259228000,-111804000,-112242000,-126300000,-64500000,-19500000
93,Dividends Paid,-10200000,-20300000,-21200000,-22100000,-23200000,-24300000,-25248000,-26927000,-28278000,-33714000,-36507000,-39953000,-46421000,-53610000,-62511000,-71178000,-73550000,-73648000,-73767000,-74197000,-91304000,-107462000,-105036000,-108852000,-116436000,-129800000,-140300000,-147800000
94,Other Financing Activites,-132700000,119000000,-103700000,182600000,300500000,14700000,3954000,147705000,-74686000,-20826000,-2802000,-3316000,18542000,438366000,418022000,308544000,201597000,480277000,180356000,606317000,845835000,239727000,553901000,2414174000,983802000,638100000,628400000,2889900000
95,Cash Used/Provided by Financing Activities,44300000,98700000,-124900000,160700000,279200000,-20300000,-19255000,123399000,-102324000,-66756000,-107029000,-188790000,-169232000,-151785000,126773000,92460000,-288894000,-64471000,-80107000,-77359000,-266119000,-601939000,-241712000,1124927000,-158414000,-604100000,-357000000,2291400000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,44300000,98700000,- -,- -,- -,-11200000,-8181000,6157000,-1683000,110635000,36487000,-84875000,-44463000,-12244000,17756000,225797000,-193268000,-44301000,-628000,17043000,66214000,59758000,-118371000,1396326000,-1401472000,-23900000,283400000,-45500000
98,Cash at the End of Period,- -,- -,- -,- -,- -,3400000,-4778000,1379000,-304000,125133000,161620000,76745000,32282000,20038000,37794000,263591000,70323000,26022000,25394000,42437000,108651000,168409000,50038000,1446364000,44892000,21000000,304400000,258900000
99,Cash at the Beginning of Period,-1200000,-2200000,-2900000,-4300000,18700000,14600000,3403000,-4778000,1379000,14498000,125133000,161620000,76745000,32282000,20038000,37794000,263591000,70323000,26022000,25394000,42437000,108651000,168409000,50038000,1446364000,44900000,21000000,304400000
