,https://roic.ai/company/DD,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,2262000000,2240000000,3219000000,3793000000,4127000000,5181000000,5930000000,6464000000,5618000000,5807000000,4437000000,4195000000,3952000000,3778000000,3676000000,3789000000,2985000000,2729000000,2436000000,2539000000,2673000000,2877000000,3241000000,3371000000,4378000000,4778000000,4930000000,5047000000,5232000000,5189000000,4988000000,5432000000,7144000000,11672000000,4668000000,5214000000,3198000000
11,COGS and Expenses,10900000000,9828000000,11065000000,12556000000,13544000000,17020000000,17126000000,17681000000,16620000000,17670000000,16370000000,17044000000,17405000000,16360000000,16823000000,20861000000,26637000000,26509000000,30613000000,36783000000,40949000000,44403000000,49641000000,55390000000,43526000000,50558000000,55959000000,52839000000,52826000000,52653000000,42824000000,43073000000,57558000000,77005000000,18724000000,18736000000,14001000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,86000000,39000000,37000000,40000000,41000000,41000000,51000000,71000000,107000000,147000000,210000000,55000000,10000000,4000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,648000000,1571000000,1473000000,1341000000,1269000000,1101000000,983000000,946000000,858000000,1082000000,1504000000,668000000,767000000,525000000
14,Depreciation and Amortization,977000000,744000000,814000000,981000000,1061000000,1322000000,1465000000,1487000000,1552000000,1525000000,1442000000,1298000000,1287000000,1305000000,1301000000,1315000000,1815000000,1825000000,1903000000,2088000000,2079000000,2074000000,2190000000,2236000000,2827000000,2962000000,2883000000,2698000000,2681000000,2747000000,2521000000,2862000000,3969000000,5918000000,3195000000,3094000000,1458000000
15,EBITDA,1007000000,1980000000,2945000000,4848000000,4984000000,3684000000,2917000000,1272000000,2802000000,3242000000,4955000000,4392000000,4136000000,3300000000,3398000000,3651000000,1202000000,1207000000,3551000000,5762000000,8376000000,6953000000,6321000000,4130000000,4949000000,7226000000,7783000000,5714000000,10557000000,8928000000,13299000000,8047000000,6035000000,12755000000,4501000000,887000000,8842000000
16,EBITDA ratio,0.0873,0.1782,0.2202,0.2906,0.2832,0.1863,0.1551,0.0670,0.1551,0.1620,0.2453,0.2190,0.2066,0.1789,0.1795,0.1587,0.0432,0.0437,0.1088,0.1435,0.1809,0.1415,0.1181,0.0718,0.1103,0.1346,0.1297,0.1006,0.1850,0.1535,0.2726,0.1671,0.0966,0.1484,0.2092,0.0435,0.5310
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),-607000000,-49000000,-181000000,-259000000,-133000000,-391000000,-229000000,-740000000,-190000000,-628000000,-504000000,85000000,236000000,-86000000,-9000000,189000000,-1781000000,-1722000000,-268000000,418000000,1041000000,251000000,357000000,-803000000,-880000000,-314000000,-425000000,-2282000000,2550000000,-249000000,3976000000,-672000000,-3733000000,-3479000000,-3262000000,-4558000000,1804000000
20,Income Before Tax,30000000,1236000000,2131000000,3867000000,3923000000,2362000000,1452000000,550000000,1250000000,1717000000,3326000000,3094000000,2849000000,1995000000,2097000000,2336000000,-613000000,-622000000,1751000000,3796000000,6399000000,4972000000,4229000000,1321000000,469000000,2802000000,3601000000,1665000000,6804000000,5265000000,9930000000,4413000000,1193000000,5493000000,-474000000,-2897000000,2196000000
21,Income Before Tax Ratio,0.0026,0.1112,0.1593,0.2318,0.2229,0.1195,0.0772,0.0290,0.0692,0.0858,0.1647,0.1543,0.1423,0.1082,0.1108,0.1015,-0.0220,-0.0225,0.0537,0.0945,0.1382,0.1012,0.0790,0.0230,0.0105,0.0522,0.0600,0.0293,0.1192,0.0905,0.2036,0.0916,0.0191,0.0639,-0.0220,-0.1420,0.1319
22,Income Tax expense (Gain),-28000000,495000000,886000000,1457000000,1436000000,978000000,510000000,274000000,606000000,779000000,1442000000,1187000000,1041000000,685000000,766000000,823000000,-228000000,-280000000,-82000000,877000000,1782000000,1155000000,1244000000,667000000,-97000000,481000000,817000000,565000000,1988000000,1426000000,2147000000,9000000,-476000000,1489000000,140000000,-23000000,392000000
23,Net Income,58000000,741000000,1245000000,2410000000,2487000000,1384000000,942000000,-489000000,644000000,938000000,2071000000,1907000000,1808000000,1310000000,1331000000,1513000000,-385000000,-338000000,1730000000,2797000000,4515000000,3724000000,2887000000,579000000,648000000,2310000000,2742000000,1182000000,4787000000,3772000000,7685000000,4318000000,1460000000,3844000000,498000000,-2951000000,6467000000
24,Net Income ratio,0.0050,0.0667,0.0931,0.1445,0.1413,0.0700,0.0501,-0.0258,0.0357,0.0469,0.1025,0.0951,0.0903,0.0710,0.0703,0.0658,-0.0138,-0.0122,0.0530,0.0696,0.0975,0.0758,0.0539,0.0101,0.0144,0.0430,0.0457,0.0208,0.0839,0.0648,0.1576,0.0897,0.0234,0.0447,0.0231,-0.1447,0.3883
25,EPS,0.05,0.57,0.97,1.90,3.06,1.70,1.15,-0.61,0.78,3.37,7.72,7.71,7.81,5.83,6.02,6.72,-1.29,-1.11,5.64,8.94,14.07,11.61,9.09,1.86,0.96,5.25,6.18,2.13,11.16,8.73,19.35,10.71,2.76,4.98,0.67,-4.01,12.49
26,EPS Diluted,0.05,0.57,0.97,1.90,3.06,1.70,1.15,-0.61,0.77,3.37,7.72,7.71,7.70,5.76,5.93,6.66,-1.29,-1.11,5.61,8.79,13.86,11.46,8.97,1.86,0.96,5.16,6.15,2.10,11.04,8.61,18.45,10.56,2.73,4.95,0.67,-4.01,12.45
27,Weighted Average Shares Outstanding,285382096,287029742,284211928,275437161,269570301,270259990,270978708,272861589,274760485,276099723,268199731,246299753,230599769,223499776,220099779,225333108,300599699,303499696,306266360,313366353,321066345,320766345,317699682,310133023,347732985,375299624,382999617,389899610,395399604,390299609,376699623,369366297,526599473,766999233,746300000,735500000,521500000
28,Weighted Average Shares Outstanding Diluted,285382096,287029742,284211928,275437161,269570301,270259990,270978708,272861589,274760485,276099723,268199731,246299753,234025740,227299772,224399775,227666439,300599699,303499696,308699691,317933015,325599674,324799675,321866344,312999687,351299648,381266285,386066280,392132941,430132903,395666271,413799586,374399625,532699467,771832561,746300000,735500000,523100000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1666700/000166670018000009/0001666700-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/1666700/000166670019000006/0001666700-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/1666700/000166670020000006/0001666700-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1666700/000166670021000005/0001666700-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1666700/000166670022000009/0001666700-22-000009-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,114000000,261000000,418000000,225000000,117000000,204000000,236000000,375000000,407000000,569000000,2839000000,1903000000,235000000,123000000,506000000,215000000,220000000,1484000000,2392000000,3108000000,3806000000,2757000000,1736000000,2800000000,2846000000,7039000000,5444000000,4318000000,5940000000,5654000000,8577000000,6607000000,13438000000,13482000000,1540000000,2544000000,2011000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,706000000,89000000,44000000,89000000,42000000,84000000,32000000,153000000,1000000,- -,- -,- -,2000000,- -,- -,- -,- -,- -,956000000,134000000,- -,- -,- -
33,Cash and Short-Term Investments,114000000,261000000,418000000,225000000,117000000,204000000,236000000,375000000,407000000,569000000,2839000000,1903000000,235000000,123000000,1212000000,304000000,264000000,1573000000,2434000000,3192000000,3838000000,2910000000,1737000000,2800000000,2846000000,7039000000,5446000000,4318000000,5940000000,5654000000,8577000000,6607000000,14394000000,13616000000,1540000000,2544000000,2011000000
34,Net Receivables,2187000000,2368000000,3229000000,3768000000,4219000000,4538000000,4215000000,3730000000,3832000000,4458000000,4109000000,4396000000,4958000000,4537000000,4614000000,5385000000,5098000000,5485000000,5820000000,7357000000,7926000000,8048000000,9684000000,6856000000,9195000000,9044000000,9626000000,9679000000,9647000000,9372000000,7846000000,9024000000,16893000000,17339000000,3802000000,3551000000,2711000000
35,Inventory,2023000000,1940000000,2105000000,2370000000,2832000000,3182000000,2968000000,2692000000,2526000000,2712000000,2748000000,2815000000,2921000000,2810000000,2786000000,3463000000,4440000000,4208000000,4050000000,4957000000,5319000000,6058000000,6885000000,6036000000,6847000000,7087000000,7577000000,8476000000,8303000000,8101000000,6871000000,7363000000,16992000000,16621000000,4319000000,3726000000,2862000000
36,Other Current Assets,- -,- -,- -,- -,172000000,95000000,300000000,646000000,887000000,954000000,858000000,716000000,526000000,570000000,235000000,108000000,506000000,415000000,698000000,384000000,321000000,193000000,348000000,368000000,672000000,611000000,773000000,1211000000,1087000000,1140000000,1181000000,665000000,1614000000,2027000000,338000000,1056000000,481000000
37,Total Current Assets,4324000000,4569000000,5752000000,6363000000,7340000000,8019000000,7719000000,7443000000,7652000000,8693000000,10554000000,9830000000,8640000000,8040000000,8847000000,9260000000,10308000000,11681000000,13002000000,15890000000,17404000000,17209000000,18654000000,16060000000,19560000000,23781000000,23422000000,23684000000,24977000000,24267000000,24475000000,23659000000,49893000000,49603000000,9999000000,10877000000,8065000000
38,PP&E,5127000000,5347000000,5551000000,6576000000,7642000000,8249000000,8775000000,8801000000,8580000000,8726000000,8113000000,8484000000,8052000000,8447000000,8490000000,9190000000,13579000000,13797000000,14217000000,13828000000,13537000000,13722000000,14388000000,14294000000,18141000000,17668000000,17299000000,17520000000,17454000000,18051000000,17854000000,23486000000,36247000000,35848000000,10143000000,9985000000,6966000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3242000000,3572000000,3394000000,13114000000,12967000000,12930000000,12739000000,12798000000,12632000000,12154000000,15272000000,59527000000,59032000000,33151000000,30244000000,19578000000
40,Intangible Assets,265000000,303000000,485000000,691000000,3997000000,4189000000,4309000000,4382000000,4434000000,4365000000,658000000,899000000,1762000000,1641000000,1834000000,1887000000,3130000000,3802000000,3805000000,3687000000,3583000000,457000000,781000000,829000000,5966000000,5530000000,5061000000,4711000000,4314000000,3768000000,3617000000,6026000000,33274000000,30965000000,13593000000,11144000000,8442000000
41,Intangible Assets,265000000,303000000,485000000,691000000,3997000000,4189000000,4309000000,4382000000,4434000000,4365000000,658000000,899000000,1762000000,1641000000,1834000000,1887000000,3130000000,3802000000,3805000000,3687000000,3583000000,3699000000,4353000000,4223000000,19080000000,18497000000,17991000000,17450000000,17112000000,16400000000,15771000000,21298000000,92801000000,89997000000,46744000000,41388000000,28020000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4715000000,5166000000,5963000000,5725000000,5995000000,6383000000,5913000000,6686000000,7042000000,6640000000,6881000000,6716000000,7900000000,7905000000,1228000000,1083000000,981000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2248000000,3470000000,4113000000,4369000000,3658000000,4006000000,2126000000,3900000000,2039000000,2079000000,2559000000,3333000000,1964000000,2135000000,1694000000,3079000000,1869000000,1724000000,236000000,234000000,143000000
44,Other Non-Current Assets,2114000000,2023000000,2568000000,2609000000,3187000000,3496000000,3924000000,4734000000,4839000000,4761000000,4257000000,5460000000,5586000000,5702000000,6328000000,7308000000,6250000000,6812000000,6754000000,8111000000,3037000000,1779000000,3317000000,1272000000,1122000000,1180000000,2040000000,932000000,952000000,1303000000,1351000000,1273000000,3454000000,2953000000,1046000000,7337000000,1532000000
45,Total Non-Current Assets,7506000000,7673000000,8604000000,9876000000,14826000000,15934000000,17008000000,17917000000,17853000000,17852000000,13028000000,14843000000,15400000000,15790000000,16652000000,18385000000,25207000000,27881000000,28889000000,29995000000,28530000000,28372000000,30147000000,29414000000,46377000000,45807000000,45802000000,45921000000,44524000000,44529000000,43551000000,55852000000,142271000000,138427000000,59397000000,60027000000,37642000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,11830000000,12242000000,14356000000,16239000000,22166000000,23953000000,24727000000,25360000000,25505000000,26545000000,23582000000,24673000000,24040000000,23830000000,25499000000,27645000000,35515000000,39562000000,41891000000,45885000000,45934000000,45581000000,48801000000,45474000000,65937000000,69588000000,69224000000,69605000000,69501000000,68796000000,68026000000,79511000000,192164000000,188030000000,69396000000,70904000000,45707000000
48,Accounts Payable,- -,- -,- -,- -,2274000000,2468000000,2386000000,2083000000,2244000000,2562000000,2246000000,2320000000,2691000000,2663000000,2869000000,3799000000,3639000000,2834000000,4884000000,5895000000,5760000000,5674000000,6536000000,5533000000,6167000000,6605000000,4778000000,5010000000,4590000000,4481000000,3577000000,4519000000,9134000000,9457000000,2934000000,2964000000,2612000000
49,Short-Term Debt,463000000,279000000,179000000,432000000,2286000000,1433000000,1573000000,1278000000,1042000000,1275000000,698000000,1272000000,2062000000,1826000000,1035000000,1659000000,408000000,1377000000,1346000000,965000000,1520000000,1510000000,2134000000,3814000000,3221000000,3222000000,3290000000,1068000000,1140000000,945000000,995000000,907000000,4015000000,2802000000,3830000000,5000000,150000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,637000000,186000000,349000000,382000000,251000000,435000000,361000000,452000000,600000000,843000000,857000000,240000000,205000000,278000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,2512000000,2529000000,3276000000,3743000000,1924000000,1853000000,2176000000,2280000000,2365000000,2781000000,2657000000,2412000000,2587000000,2353000000,2391000000,2415000000,4078000000,4645000000,3304000000,3646000000,3383000000,3417000000,3775000000,3761000000,3718000000,4069000000,5566000000,5415000000,6241000000,6167000000,6643000000,7178000000,12979000000,12456000000,1582000000,1730000000,1500000000
53,Total Current Liabilities,2975000000,2808000000,3455000000,4175000000,6484000000,5754000000,6135000000,5641000000,5651000000,6618000000,5601000000,6004000000,7340000000,6842000000,6295000000,7873000000,8125000000,8856000000,9534000000,10506000000,10663000000,10601000000,12445000000,13108000000,13106000000,13896000000,13634000000,11493000000,11971000000,11593000000,11215000000,12604000000,26128000000,24715000000,8346000000,4699000000,4262000000
54,Long-Term Debt,3198000000,3404000000,3779000000,3338000000,3855000000,5209000000,6079000000,6191000000,5902000000,5303000000,4705000000,4196000000,4196000000,4051000000,5022000000,4865000000,9266000000,11659000000,11763000000,11629000000,9186000000,8036000000,7581000000,8042000000,19152000000,20605000000,18310000000,19919000000,16820000000,18838000000,16215000000,20456000000,30056000000,37662000000,13617000000,21806000000,10632000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,331000000,441000000,527000000,567000000,642000000,698000000,529000000,214000000,372000000,644000000,659000000,1005000000,649000000,747000000,839000000,887000000,760000000,994000000,1124000000,1301000000,1395000000,999000000,854000000,746000000,1285000000,1295000000,1091000000,837000000,718000000,622000000,575000000,923000000,6266000000,5435000000,3514000000,2905000000,1974000000
57,Other Non-Current Liabilities,534000000,421000000,826000000,904000000,2633000000,2838000000,1539000000,3204000000,3091000000,3240000000,3140000000,3389000000,3504000000,4186000000,4062000000,3924000000,7014000000,10061000000,9919000000,9730000000,9030000000,8515000000,8118000000,10067000000,11270000000,11150000000,12751000000,15489000000,12068000000,14389000000,13838000000,18299000000,27787000000,24039000000,2363000000,2424000000,1789000000
58,Total Non-Current Liabilities,4063000000,4266000000,5132000000,4809000000,7130000000,8745000000,8147000000,9609000000,9365000000,9187000000,8504000000,8590000000,8349000000,8984000000,9923000000,9676000000,17040000000,22714000000,22806000000,22660000000,19611000000,17550000000,16553000000,18855000000,31707000000,33050000000,32152000000,36245000000,29606000000,33849000000,30628000000,39678000000,64109000000,67136000000,19494000000,27135000000,14395000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000000
61,Total Liabilities,7038000000,7074000000,8587000000,8984000000,13614000000,14499000000,14282000000,15250000000,15016000000,15805000000,14105000000,14594000000,15689000000,15826000000,16218000000,17549000000,25165000000,31570000000,32340000000,33166000000,30274000000,28151000000,28998000000,31963000000,44813000000,46946000000,45786000000,47738000000,41577000000,45442000000,41843000000,52282000000,90237000000,91851000000,27840000000,31834000000,18657000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4000000000,4000000000,4000000000,4000000000,4000000000,4000000000,4000000000,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,818000000,2453000000,2453000000,2453000000,2453000000,2453000000,2453000000,2453000000,2453000000,2453000000,2906000000,2931000000,2961000000,3008000000,3054000000,3107000000,3107000000,3107000000,23000000,24000000,7000000,7000000,5000000
64,Retained Earnings,4058000000,4426000000,5226000000,7167000000,8999000000,9675000000,9920000000,8720000000,8645000000,8857000000,10159000000,11323000000,12357000000,12887000000,13445000000,14071000000,11112000000,9520000000,9994000000,11527000000,14719000000,16987000000,18004000000,17013000000,16704000000,17736000000,19087000000,18495000000,21407000000,23045000000,28425000000,30338000000,29211000000,30536000000,-8400000000,-11586000000,-23187000000
65,Other Comprehensive Income/Loss,-6748000000,-7368000000,-7951000000,-8784000000,-9692000000,-10900000000,-11888000000,-12643000000,-13028000000,-14484000000,-15105000000,-15253000000,-15293000000,-15988000000,-15786000000,-16301000000,-22311000000,-2158000000,-1521000000,-989000000,-559000000,-2235000000,-170000000,-4389000000,-3892000000,-4399000000,-5996000000,-7516000000,-4827000000,-8017000000,-8667000000,-9822000000,-8972000000,-12394000000,-1416000000,44000000,41000000
66,Other Total Stockholders Equity,7482000000,8110000000,8494000000,8872000000,9245000000,10679000000,12413000000,14033000000,14872000000,16367000000,14423000000,14009000000,11287000000,11105000000,10804000000,9873000000,19096000000,-2189000000,-1751000000,-721000000,-1289000000,-140000000,-898000000,-1566000000,837000000,1571000000,2229000000,2890000000,3264000000,288000000,-1491000000,2364000000,80068000000,76405000000,50796000000,50039000000,- -
67,Total Stockholders Equity,4792000000,5168000000,5769000000,7255000000,8552000000,9454000000,10445000000,10110000000,10489000000,10740000000,9477000000,10079000000,8351000000,8004000000,9281000000,10096000000,10350000000,7626000000,9175000000,12270000000,15324000000,17065000000,19389000000,13511000000,20555000000,21839000000,22281000000,20877000000,26898000000,22423000000,25374000000,25987000000,100330000000,94571000000,40987000000,38504000000,26433000000
68,Total Liabilities And Stockholders Equity,11830000000,12242000000,14356000000,16239000000,22166000000,23953000000,24727000000,25360000000,25505000000,26545000000,23582000000,24673000000,24040000000,23830000000,25499000000,27645000000,35515000000,39196000000,41515000000,45436000000,45598000000,45216000000,48387000000,45474000000,65368000000,68785000000,68067000000,68615000000,68475000000,67865000000,67217000000,78269000000,190567000000,186422000000,68827000000,70338000000,45090000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,366000000,376000000,449000000,336000000,365000000,414000000,- -,569000000,803000000,1157000000,990000000,1026000000,931000000,809000000,1242000000,1597000000,1608000000,569000000,566000000,617000000
70,Total Liabilities & Equity,11830000000,12242000000,14356000000,16239000000,22166000000,23953000000,24727000000,25360000000,25505000000,26545000000,23582000000,24673000000,24040000000,23830000000,25499000000,27645000000,35515000000,39562000000,41891000000,45885000000,45934000000,45581000000,48801000000,45474000000,65937000000,69588000000,69224000000,69605000000,69501000000,68796000000,68026000000,79511000000,192164000000,188030000000,69396000000,70904000000,45707000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1666700/000166670018000009/0001666700-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/1666700/000166670019000006/0001666700-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/1666700/000166670020000006/0001666700-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1666700/000166670021000005/0001666700-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1666700/000166670022000009/0001666700-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,2487000000,1384000000,942000000,-489000000,644000000,938000000,2071000000,1907000000,1808000000,1310000000,1331000000,1513000000,-385000000,-338000000,1730000000,2797000000,4515000000,3724000000,2887000000,579000000,648000000,2310000000,2742000000,1182000000,4787000000,3772000000,7685000000,4318000000,1460000000,3844000000,498000000,-2951000000,6467000000
74,Depreciation and Amortization,- -,- -,- -,- -,1061000000,1322000000,1465000000,1487000000,1552000000,1525000000,1442000000,1298000000,1287000000,1305000000,1301000000,1315000000,1815000000,1825000000,1903000000,2088000000,2079000000,2074000000,2190000000,2236000000,2827000000,2962000000,2883000000,2698000000,2681000000,2747000000,2521000000,2862000000,3969000000,5918000000,3195000000,3094000000,1458000000
75,Deferred Income Tax,- -,- -,- -,- -,-32000000,143000000,-177000000,-295000000,24000000,34000000,268000000,306000000,150000000,-15000000,154000000,125000000,-391000000,-311000000,-378000000,255000000,740000000,104000000,494000000,-260000000,-652000000,328000000,1000000,-465000000,113000000,466000000,305000000,-1259000000,-2083000000,-434000000,-768000000,-692000000,-323000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,-114000000,1409000000,-681000000,218000000,199000000,74000000,2878000000,-1127000000,-2526000000,-102000000,1354000000,-1165000000,796000000,642000000,643000000,1916000000,1357000000,-133000000,-399000000,-3257000000,3502000000,3431000000,-97000000,2403000000,815000000,-332000000,586000000,-2205000000,12710000000,1123000000,-23235000000,4525000000,-450000000
