,https://roic.ai/company/KEX,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,0.0366,-0.4349,0.0630,0.2523,0.0630,0.0876,0.0704,0.0026,0.0602,0.0467,0.0213,0.0697,0.0644,0.0304,0.0586,0.0665,0.0699,0.0513,0.0667,0.0734,0.0864,0.0970,0.1052,0.1156,0.1164,0.1048,0.0989,0.0991,0.1129,0.1099,0.1056,0.0799,0.1414,0.0264,0.0502,-0.1255,-0.1099
25,EPS,0.06,-0.55,0.03,0.52,0.20,0.34,0.30,0.01,0.43,0.29,0.17,0.52,0.45,0.23,0.51,0.70,0.82,0.57,0.84,1.01,1.37,1.82,2.33,2.94,2.37,2.16,3.35,3.75,4.46,4.95,4.12,2.63,5.66,1.32,2.38,-4.55,-4.11
26,EPS Diluted,0.06,-0.55,0.03,0.52,0.20,0.34,0.29,0.01,0.43,0.29,0.17,0.52,0.44,0.23,0.51,0.69,0.81,0.56,0.83,0.98,1.33,1.79,2.29,2.91,2.36,2.15,3.33,3.73,4.44,4.93,4.11,2.62,5.66,1.31,2.37,-4.55,-4.11
27,Weighted Average Shares Outstanding,47272727,48000000,100000000,47500000,45641026,45294118,43606557,46666667,53023256,45400000,55194118,51864762,48723596,43952174,42457426,48732857,48003636,48150877,48423669,49053465,50205109,52445604,52936052,53397000,53192000,53331000,54191000,55466000,56354000,56674000,54729000,53454000,55308000,59557000,59750000,59915000,60053000
28,Weighted Average Shares Outstanding Diluted,47272727,48000000,100000000,47500000,45641026,45294118,45084746,46666667,53023256,45400000,56618000,52284000,49277273,43952174,42457426,49083453,48592638,48576991,49003593,50298477,51521348,53324581,53860699,54020000,53313000,53466000,54413000,55674000,56552000,56867000,54826000,53512000,55361000,59689000,59909000,59915000,60053000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/56047/000095012996000358/0000950129-96-000358-index.html,https://www.sec.gov/Archives/edgar/data/56047/000095012997000866/0000950129-97-000866-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/56047/000095012905001993/h22444e10vk.htm,https://www.sec.gov/Archives/edgar/data/56047/000095012906002289/h32083e10vk.htm,https://www.sec.gov/Archives/edgar/data/56047/000095012907001015/h43416e10vk.htm,https://www.sec.gov/Archives/edgar/data/56047/000095012908001244/h53780e10vk.htm,https://www.sec.gov/Archives/edgar/data/56047/000095012909000665/0000950129-09-000665-index.html,https://www.sec.gov/Archives/edgar/data/56047/000095012310018030/0000950123-10-018030-index.html,https://www.sec.gov/Archives/edgar/data/56047/000119312511046507/d10k.htm,https://www.sec.gov/Archives/edgar/data/56047/000119312512083165/0001193125-12-083165-index.html,https://www.sec.gov/Archives/edgar/data/56047/000114036113009529/0001140361-13-009529-index.html,https://www.sec.gov/Archives/edgar/data/56047/000114036114009215/form10k.htm,https://www.sec.gov/Archives/edgar/data/56047/000114036115008395/form10k.htm,https://www.sec.gov/Archives/edgar/data/56047/000114036116054260/0001140361-16-054260-index.html,https://www.sec.gov/Archives/edgar/data/56047/000114036117008777/0001140361-17-008777-index.html,https://www.sec.gov/Archives/edgar/data/56047/000114036118010152/0001140361-18-010152-index.html,https://www.sec.gov/Archives/edgar/data/56047/000114036119003795/0001140361-19-003795-index.html,https://www.sec.gov/Archives/edgar/data/56047/000114036120003820/0001140361-20-003820-index.html,https://www.sec.gov/Archives/edgar/data/56047/000114036121005871/0001140361-21-005871-index.htm,https://www.sec.gov/Archives/edgar/data/56047/000095017022001486/0000950170-22-001486-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,11840000,1457000,1544000,2043000,861000,3571000,4658000,1850000,1432000,4064000,629000,17838000,2653000,5117000,8647000,97836000,195600000,16249000,11059000,4022000,24299000,5885000,5634000,20102000,7800000,24737000,80338000,34813000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,173275000,15692000,18199000,21773000,20795000,13091000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2689000,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,185115000,17149000,19743000,23816000,21656000,16662000,4658000,1850000,1432000,4064000,629000,17838000,2653000,5117000,8647000,97836000,195600000,16249000,11059000,4022000,24299000,5885000,5634000,20102000,7800000,24737000,83027000,34813000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,82784000,65755000,79866000,84595000,70505000,78392000,87403000,84097000,85958000,97932000,106318000,126699000,183659000,183589000,200186000,140039000,167971000,335147000,356256000,354602000,532923000,393374000,392504000,558453000,521883000,483349000,600182000,567922000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,8270000,9555000,16361000,14875000,14181000,13127000,15650000,15105000,15549000,13991000,15426000,18967000,41777000,53377000,48518000,39793000,38821000,130130000,177397000,135887000,192354000,184511000,185402000,315729000,507441000,351401000,309675000,331350000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,14985000,12645000,13915000,12511000,6016000,14642000,10755000,12195000,16529000,15792000,17277000,22772000,21503000,25260000,22160000,22429000,23523000,47803000,51544000,49495000,53578000,57006000,63015000,62798000,59365000,58092000,55087000,69780000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,291154000,105104000,129885000,135797000,112358000,122823000,118466000,113247000,119468000,131779000,139650000,186276000,249592000,267343000,279511000,300097000,425915000,529329000,596256000,544006000,803154000,640776000,646555000,957082000,1096489000,917579000,1047971000,1003865000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,330762000,322335000,318724000,272384000,256899000,451851000,453807000,466239000,486852000,536512000,574211000,642381000,766606000,906098000,990932000,1085057000,1118161000,1822173000,2315165000,2370803000,2589498000,2778980000,2921374000,2959265000,3539802000,3936751000,4091387000,3846245000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5368000,161095000,162604000,156726000,156726000,156726000,160641000,160641000,223432000,229292000,230774000,228873000,228873000,483468000,596030000,591405000,591405000,586718000,598131000,935135000,953826000,953826000,657800000,438748000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,9280000,3605000,8316000,6652000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,232808000,224197000,210682000,68979000,60070000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,9280000,3605000,8316000,6652000,5368000,161095000,162604000,156726000,156726000,156726000,160641000,160641000,223432000,229292000,230774000,228873000,228873000,483468000,596030000,591405000,591405000,586718000,598131000,1167943000,1178023000,1164508000,726779000,498818000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10238000,9162000,12205000,11866000,2264000,1921000,2056000,3052000,3336000,3682000,1808000,2156000,2539000,2090000,2622000,1890000,2495000,2025000,2689000,2134000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43615000,45901000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,36276000,23425000,21704000,103126000,15674000,17628000,14391000,18259000,18474000,20782000,17968000,24384000,29225000,25821000,22825000,18884000,18652000,121759000,143869000,174147000,155313000,147702000,134817000,41247000,54785000,58234000,55348000,48001000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,376318000,392980000,394645000,382162000,277941000,630574000,630802000,641224000,672290000,723182000,765025000,839272000,1021527000,1163132000,1246587000,1335866000,1369022000,2431082000,3056872000,3138511000,3338755000,3515490000,3656944000,4170345000,4775105000,5161518000,4876203000,4395198000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,667472000,498084000,524530000,517959000,390299000,753397000,749268000,754471000,791758000,854961000,904675000,1025548000,1271119000,1430475000,1526098000,1635963000,1794937000,2960411000,3653128000,3682517000,4141909000,4156266000,4303499000,5127427000,5871594000,6079097000,5924174000,5399063000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,15771000,21691000,30518000,26712000,12918000,29909000,35877000,35378000,37509000,41577000,41916000,68895000,88213000,100908000,78020000,52091000,71354000,158855000,156763000,177375000,222020000,132799000,134571000,222005000,278057000,206778000,162507000,199088000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,10962000,5676000,5333000,5333000,5333000,5335000,5335000,335000,336000,225000,1304000,4000,844000,1368000,1243000,35000,128000,39005000,65000000,- -,116700000,- -,- -,3000,19000,27340000,32790000,35836000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1443000,6602000,7623000,7629000,6167000,9182000,4755000,5210000,3065000,4124000,13129000,15075000,17164000,17089000,18769000,22982000,41474000,39951000,44840000,44740000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7006000,12297000,11633000,39554000,16857000,36698000,50804000,41300000,36001000,48347000,80123000,42982000,45406000,72770000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,40853000,42059000,53840000,63558000,47689000,56321000,55825000,61344000,53400000,57066000,61170000,70922000,77810000,89144000,86797000,72681000,77144000,121386000,116400000,131916000,204503000,187818000,187766000,209951000,249583000,237015000,225329000,236078000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,67586000,69426000,89691000,95603000,65940000,91565000,97037000,97057000,91245000,98868000,104390000,139821000,166867000,191420000,173066000,137104000,160259000,358800000,355020000,345989000,594027000,361917000,358338000,480306000,607782000,514115000,466032000,543772000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,148535000,173550000,176617000,149485000,137552000,316272000,288037000,249402000,265665000,255040000,217436000,200032000,309518000,296015000,246064000,200204000,200006000,763000000,1070110000,749150000,600000000,778834000,722802000,992403000,1410169000,1369751000,1468546000,1321105000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,42587000,43615000,45901000,48409000,40045000,92794000,89138000,89542000,85768000,106134000,123330000,126755000,125943000,130899000,145568000,200397000,231775000,292355000,426096000,544110000,595769000,669808000,719057000,468451000,542785000,588204000,606844000,574152000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,168362000,-39993000,-64713000,-75162000,5722000,-97072000,-109526000,-102361000,-95164000,19854000,21444000,18310000,33778000,39334000,67845000,42163000,43758000,92098000,94848000,21115000,87200000,66511000,90435000,72044000,94557000,235435000,295199000,71252000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,359484000,177172000,157805000,122732000,183319000,311994000,267649000,236583000,256269000,381028000,362210000,345097000,469239000,466248000,459477000,442764000,475539000,1147453000,1591054000,1314375000,1282969000,1515153000,1532294000,1532898000,2047511000,2193390000,2370589000,1966509000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,166781000,196246000,193574000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,427070000,246598000,247496000,218335000,249259000,403559000,364686000,333640000,347514000,479896000,466600000,484918000,636106000,657668000,632543000,579868000,635798000,1506253000,1946074000,1660364000,1876996000,1877070000,1890632000,2013204000,2655293000,2707505000,2836621000,2510281000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,3078000,3091000,3091000,3091000,3091000,3091000,3091000,3091000,3091000,3091000,3091000,3091000,5734000,5734000,5734000,5734000,5734000,5928000,5978000,5978000,5978000,5978000,5978000,6547000,6547000,6547000,6547000,6547000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,78651000,88034000,115263000,136945000,147054000,168495000,202608000,242211000,269657000,310575000,360119000,428900000,524351000,647692000,804425000,930366000,1046615000,1229641000,1439079000,1692140000,1974146000,2200830000,2342236000,2646937000,2723592000,2865939000,2593393000,2346439000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-153672000,-178119000,-200049000,-198635000,-209544000,-236704000,-270369000,-309918000,-8062000,-5950000,-5672000,-2028000,-23087000,-22522000,-55047000,-30468000,-33642000,-56176000,-61127000,-16793000,-61037000,-44686000,-51007000,-32405000,-33511000,-37799000,-61452000,-25966000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,312345000,338480000,358729000,358223000,200439000,414956000,449252000,485447000,176867000,64416000,77697000,107579000,124997000,138926000,134941000,146831000,137392000,263132000,311038000,329361000,334949000,106689000,112111000,489741000,516559000,533936000,545818000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,240402000,251486000,277034000,299624000,141040000,349838000,384582000,420831000,441553000,372132000,435235000,537542000,631995000,769830000,890053000,1052463000,1156099000,1442525000,1694968000,2010686000,2254036000,2268811000,2409318000,3110820000,3213187000,3368623000,3084306000,2886324000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,667472000,498084000,524530000,517959000,390299000,753397000,749268000,754471000,789067000,852028000,901835000,1022460000,1268101000,1427498000,1522596000,1632331000,1791897000,2948778000,3641042000,3671050000,4131032000,4145881000,4299950000,5124024000,5868480000,6076128000,5920927000,5396605000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2691000,2933000,2840000,3088000,3018000,2977000,3502000,3632000,3040000,11633000,12086000,11467000,10877000,10385000,3549000,3403000,3114000,2969000,3247000,2458000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,667472000,498084000,524530000,517959000,390299000,753397000,749268000,754471000,791758000,854961000,904675000,1025548000,1271119000,1430475000,1526098000,1635963000,1794937000,2960411000,3653128000,3682517000,4141909000,4156266000,4303499000,5127427000,5871594000,6079097000,5924174000,5399063000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/56047/000095012996000358/0000950129-96-000358-index.html,https://www.sec.gov/Archives/edgar/data/56047/000095012997000866/0000950129-97-000866-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/56047/000095012905001993/h22444e10vk.htm,https://www.sec.gov/Archives/edgar/data/56047/000095012906002289/h32083e10vk.htm,https://www.sec.gov/Archives/edgar/data/56047/000095012907001015/h43416e10vk.htm,https://www.sec.gov/Archives/edgar/data/56047/000095012908001244/h53780e10vk.htm,https://www.sec.gov/Archives/edgar/data/56047/000095012909000665/0000950129-09-000665-index.html,https://www.sec.gov/Archives/edgar/data/56047/000095012310018030/0000950123-10-018030-index.html,https://www.sec.gov/Archives/edgar/data/56047/000119312511046507/d10k.htm,https://www.sec.gov/Archives/edgar/data/56047/000119312512083165/0001193125-12-083165-index.html,https://www.sec.gov/Archives/edgar/data/56047/000114036113009529/0001140361-13-009529-index.html,https://www.sec.gov/Archives/edgar/data/56047/000114036114009215/form10k.htm,https://www.sec.gov/Archives/edgar/data/56047/000114036115008395/form10k.htm,https://www.sec.gov/Archives/edgar/data/56047/000114036116054260/0001140361-16-054260-index.html,https://www.sec.gov/Archives/edgar/data/56047/000114036117008777/0001140361-17-008777-index.html,https://www.sec.gov/Archives/edgar/data/56047/000114036118010152/0001140361-18-010152-index.html,https://www.sec.gov/Archives/edgar/data/56047/000114036119003795/0001140361-19-003795-index.html,https://www.sec.gov/Archives/edgar/data/56047/000114036120003820/0001140361-20-003820-index.html,https://www.sec.gov/Archives/edgar/data/56047/000114036121005871/0001140361-21-005871-index.htm,https://www.sec.gov/Archives/edgar/data/56047/000095017022001486/0000950170-22-001486-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,8900000,15400000,13300000,700000,22800000,16653000,9383000,27229000,21682000,10109000,21441000,34113000,39603000,27446000,40918000,49544000,68781000,95451000,123341000,157168000,125941000,116249000,183026000,209438000,253061000,282006000,226684000,141406000,313187000,78452000,142347000,-272546000,-246954000
74,Depreciation and Amortization,- -,- -,- -,- -,11600000,13800000,15000000,-21400000,-28100000,-33834000,38986000,34805000,28113000,27383000,31278000,48204000,50244000,45507000,53328000,55120000,57405000,64396000,80916000,100457000,93968000,95296000,126029000,145147000,164437000,169312000,192240000,200917000,202881000,224972000,219142000,219921000,213718000
75,Deferred Income Tax,- -,- -,- -,- -,- -,3400000,2600000,1900000,5200000,1895000,964000,3146000,2790000,-4967000,-511000,194000,2994000,-1883000,20384000,17500000,-132000,-292000,1653000,- -,- -,34439000,70004000,77005000,103056000,77976000,62755000,51296000,-256263000,34881000,46839000,25163000,-44419000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9796000,11621000,11591000,11104000,11675000,11460000,19104000,13612000,14722000,15713000
77,Change in Working Capital,- -,- -,- -,- -,-14000000,- -,- -,- -,- -,223568000,-187890000,4516000,- -,6224000,-15160000,-9829000,-5239000,12033000,4688000,2349000,11195000,36270000,-6802000,30522000,56548000,102663000,-95127000,70707000,-43219000,11110000,69732000,9358000,188559000,11931000,-85243000,178475000,15948000
78,Accounts Receivable,- -,- -,- -,- -,-15400000,-5800000,-2300000,-6800000,-12800000,-4718000,-8568000,-8079000,-5171000,13821000,15114000,-8171000,2260000,-1092000,-596000,-20694000,-20315000,-15540000,1868000,-21277000,59083000,-17563000,-58351000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,-2300000,200000,-2288000,-1286000,-2176000,1486000,32000,1054000,-955000,545000,-444000,1557000,138000,-3541000,-5009000,-9335000,6208000,8724000,973000,-26355000,-46372000,43275000,-56468000,-7320000,3182000,19673000,-144685000,122773000,47076000,-19248000
