,https://roic.ai/company/GOLD,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
28,Weighted Average Shares Outstanding Diluted,167777778,205384615,254166667,255714286,253043478,271764706,286721311,286514000,353300000,356686076,364373058,374072463,380998020,398830408,396944118,396000000,635445131,541295838,539900065,534296443,855000000,879000000,885000000,903000000,987000000,1001000000,1001000000,1022000000,1165000000,1165000000,1165000000,1166000000,1167000000,1758000000,1778000000,1779000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/756894/000090956704000785/t12971exv2.htm,https://www.sec.gov/Archives/edgar/data/756894/000090956705000696/t16189exv2.htm,https://www.sec.gov/Archives/edgar/data/756894/000090956706000513/o30834exv2.htm,https://www.sec.gov/Archives/edgar/data/756894/000090956707000544/0000909567-07-000544-index.html,https://www.sec.gov/Archives/edgar/data/756894/000104746908003676/a2184254zex-99_3.htm,https://www.sec.gov/Archives/edgar/data/1206942/000110465909005019/0001104659-09-005019-index.html,https://www.sec.gov/Archives/edgar/data/756894/000110465910017012/0001104659-10-017012-index.html,https://www.sec.gov/Archives/edgar/data/756894/000110465911017950/0001104659-11-017950-index.html,https://www.sec.gov/Archives/edgar/data/756894/000119312512137603/0001193125-12-137603-index.html,https://www.sec.gov/Archives/edgar/data/756894/000119312513131918/0001193125-13-131918-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/756894/000119312516518731/0001193125-16-518731-index.html,https://www.sec.gov/Archives/edgar/data/756894/000119312517095834/0001193125-17-095834-index.html,https://www.sec.gov/Archives/edgar/data/756894/000119312518094424/0001193125-18-094424-index.html,https://www.sec.gov/Archives/edgar/data/756894/000119312519083744/0001193125-19-083744-index.html,https://www.sec.gov/Archives/edgar/data/756894/000119312520085600/0001193125-20-085600-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1044036347,970000000,1398000000,1037000000,3043000000,2207000000,1437000000,509000000,1345000000,2467000000,1909000000,648000000,1597000000,2142000000,1735000000,1807000000,1094000000,2586000000,5188000000,5280000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36220372,169000000,286000000,- -,- -,- -,- -,2055000000,2623000000,278000000,184000000,1756000000,1102000000,313000000,654000000,427000000,477000000,728000000,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1080256719,1139000000,1684000000,1037000000,3043000000,2207000000,1437000000,2564000000,3968000000,2745000000,2093000000,2404000000,2699000000,2455000000,2389000000,2234000000,1571000000,3314000000,5188000000,5280000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,71805300,69000000,58000000,155000000,371000000,417000000,350000000,452000000,557000000,620000000,675000000,647000000,626000000,474000000,488000000,406000000,430000000,665000000,766000000,942000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,163944843,157000000,215000000,402000000,931000000,1118000000,1309000000,1540000000,1852000000,2498000000,2695000000,2679000000,2722000000,1717000000,1930000000,1890000000,1851892940,2289000000,1878000000,1734000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12073458,- -,- -,154000000,451000000,546000000,1016000000,382000000,736000000,682000000,400000000,482000000,103000000,822000000,67000000,154000000,125000000,619000000,311000000,293000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1328080320,1365000000,1957000000,1748000000,4796000000,4288000000,4112000000,4938000000,7113000000,6545000000,5863000000,6212000000,6150000000,5468000000,4874000000,4684000000,3977892940,6887000000,8143000000,8249000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3881298850,3366000000,3617000000,4397000000,8703000000,8596000000,11547000000,13125000000,17751000000,28979000000,28717000000,21688000000,19193000000,14434000000,14103000000,13806000000,12826000000,24141000000,24628000000,24954000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5855000000,5847000000,5280000000,5197000000,5287000000,9626000000,8837000000,5835000000,4426000000,1371000000,1371000000,1330000000,1176000000,4769000000,4769000000,4769000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1971150791,- -,- -,- -,75000000,68000000,75000000,66000000,140000000,569000000,453000000,320000000,308000000,271000000,272000000,255000000,227000000,226000000,169000000,150000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1971150791,1764000000,- -,- -,5930000000,5915000000,5355000000,5263000000,5427000000,10195000000,9290000000,6155000000,4734000000,1642000000,1643000000,1585000000,1403000000,4995000000,4938000000,4919000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,127000000,134000000,200000000,973000000,1216000000,1145000000,1228000000,494000000,601000000,213000000,147000000,241000000,1207000000,1203000000,1213000000,1443000000,4785000000,5098000000,5008000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,230000000,139000000,114000000,798000000,841000000,754000000,1184000000,1114000000,4231000000,2602000000,2258000000,2036000000,1553000000,1520000000,1245000000,1236000000,3091000000,98000000,29000000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,524242232,-1490000000,427000000,403000000,173000000,1095000000,1248000000,1337000000,1423000000,-1667000000,597000000,988000000,1525000000,2004000000,1921000000,2775000000,1745000000,493000000,3601000000,3731000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6376691873,3997000000,4317000000,5114000000,16577000000,17663000000,20049000000,22137000000,26209000000,42339000000,41419000000,31236000000,27729000000,20840000000,20390000000,20624000000,18653000000,37505000000,38363000000,38641000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7704772193,5362000000,6274000000,6862000000,21373000000,21951000000,24161000000,27075000000,33322000000,48884000000,47282000000,37448000000,33879000000,26308000000,25264000000,25308000000,22630892940,44392000000,46506000000,46890000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,163944843,245000000,335000000,386000000,686000000,808000000,970000000,1221000000,1511000000,963000000,1018000000,1058000000,974000000,736000000,749000000,760000000,744000000,715000000,929000000,539000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19698799,- -,30835903,79972483,862734999,232604974,205896887,54000000,14000000,196000000,1848000000,179000000,333000000,203000000,143000000,59000000,43000000,375000000,20000000,24000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,94000000,535000000,306000000,41000000,75000000,84000000,- -,283000000,298000000,203000000,224000000,436000000,285000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34949482,230000000,139000000,114000000,798000000,841000000,- -,949000000,467000000,409000000,- -,- -,- -,1040000000,- -,- -,- -,- -,47000000,43000000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,227489357,-125000000,-86835903,-19972483,-494734999,-585604974,668103113,-451000000,497000000,1343000000,1549000000,1647000000,1253000000,-132000000,927000000,928000000,881000000,1286000000,1224000000,1480000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,446082481,350000000,418000000,560000000,1852000000,1296000000,1844000000,1773000000,2489000000,2911000000,4415000000,2884000000,2560000000,1847000000,1819000000,1747000000,1668000000,2376000000,2220000000,2086000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,756815149,719000000,1655000000,1721000000,3244000000,3153000000,4350000000,6281000000,6678000000,13173000000,12095000000,12901000000,12748000000,9765000000,7788000000,6364000000,5695000000,5161000000,5344000000,5449000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,596000000,592000000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,552201817,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3034000000,3293000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,353307492,799000000,638000000,731000000,2078000000,2246000000,2690000000,3958000000,5090000000,9437000000,8927000000,8130000000,8324000000,7518000000,7722000000,7911000000,7675000000,15423000000,3602000000,3163000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1662324458,1518000000,2293000000,2452000000,5322000000,5399000000,7040000000,10239000000,11768000000,22610000000,21022000000,21031000000,21072000000,17283000000,15510000000,14275000000,13370000000,20584000000,12576000000,12497000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19698799,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46000000,19000000,96000000,66000000,68000000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2108406939,1868000000,2711000000,3012000000,7174000000,6695000000,8884000000,12012000000,14257000000,25521000000,25437000000,23915000000,23632000000,19130000000,17329000000,16022000000,15038000000,22960000000,14796000000,14583000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4115000000,4129000000,4222000000,13106000000,13273000000,13372000000,17390000000,17790000000,17892000000,17926000000,20869000000,20864000000,20869000000,20877000000,20893000000,20883000000,29231000000,29236000000,28497000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,576984177,-694000000,-624000000,-341000000,974000000,1832000000,2261000000,-2382000000,456000000,4562000000,3142000000,-7581000000,-10739000000,-13642000000,-13074000000,-11759000000,-13453000000,-9722000000,-7949000000,-6566000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20969689,72970036,58338195,-30957090,119323547,151042191,-355789820,55000000,531000000,595000000,463000000,-69000000,-199000000,-370000000,-189000000,-169000000,-158000000,-122000000,14000000,-23000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6694414438,52631,-541295,-184797,178556,226060,-484764,- -,288000000,314000000,314000000,314000000,321000000,321000000,321000000,321000000,321000000,2045000000,2040000000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5596365254,3494022667,3562796900,3849858113,14199502103,15256268251,15276725416,15063000000,19065000000,23363000000,21845000000,13533000000,10247000000,7178000000,7935000000,9286000000,7593000000,21432000000,23341000000,23857000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7704772193,5362022667,6273796900,6861858113,21373502103,21951268251,24160725416,27075000000,33322000000,48884000000,47282000000,37448000000,33879000000,26308000000,25264000000,25308000000,22631000000,44392000000,38137000000,38440000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-22667,203100,141887,-502103,-268251,274584,- -,- -,- -,- -,- -,- -,- -,- -,- -,-107060,- -,8369000000,8450000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7704772193,5362000000,6274000000,6862000000,21373000000,21951000000,24161000000,27075000000,33322000000,48884000000,47282000000,37448000000,33879000000,26308000000,25264000000,25308000000,22630892940,44392000000,46506000000,46890000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/756894/000090956704000785/t12971exv2.htm,https://www.sec.gov/Archives/edgar/data/756894/000090956705000696/t16189exv2.htm,https://www.sec.gov/Archives/edgar/data/756894/000090956706000513/o30834exv2.htm,https://www.sec.gov/Archives/edgar/data/756894/000090956707000544/0000909567-07-000544-index.html,https://www.sec.gov/Archives/edgar/data/756894/000104746908003676/a2184254zex-99_3.htm,https://www.sec.gov/Archives/edgar/data/1206942/000110465909005019/0001104659-09-005019-index.html,https://www.sec.gov/Archives/edgar/data/756894/000110465910017012/0001104659-10-017012-index.html,https://www.sec.gov/Archives/edgar/data/756894/000110465911017950/0001104659-11-017950-index.html,https://www.sec.gov/Archives/edgar/data/756894/000119312512137603/0001193125-12-137603-index.html,https://www.sec.gov/Archives/edgar/data/756894/000119312513131918/0001193125-13-131918-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/756894/000119312516518731/0001193125-16-518731-index.html,https://www.sec.gov/Archives/edgar/data/756894/000119312517095834/0001193125-17-095834-index.html,https://www.sec.gov/Archives/edgar/data/756894/000119312518094424/0001193125-18-094424-index.html,https://www.sec.gov/Archives/edgar/data/756894/000119312519083744/0001193125-19-083744-index.html,https://www.sec.gov/Archives/edgar/data/756894/000119312520085600/0001193125-20-085600-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,- -,-282500000,-351400000,292482582,218022619,-122980063,300988436,331029239,-766102147,258198266,228760247,200000000,248000000,401000000,1415000000,1119000000,785000000,-4274000000,3274000000,4484000000,-665000000,-10366000000,-2907000000,-2838000000,655000000,1438000000,-1545000000,3969000000,2324000000,2022000000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,-94100000,-148800000,181298130,182998906,188037775,216034628,385014170,338711828,481216233,482938298,513895358,455037920,429099665,734827024,1009968785,1032778784,1073000000,1196000000,1419000000,1722000000,1732000000,1648000000,1771000000,1574000000,1647000000,1457000000,2032000000,2208000000,2102000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,-39800000,-26700000,15034837,14009486,-41972718,56980425,34976153,-234697960,-13820832,-59731842,34932464,-228352363,-30097171,-109022234,- -,- -,- -,- -,- -,-236000000,630000000,306000000,-31000000,917000000,1231000000,1198000000,1567000000,1332000000,1344000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15000000,16000000,8000000,-5000000,2000000,82000000,80000000,33000000,71000000,87000000,81000000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,-2700000,300000,14594793,5034659,11052816,1938110,-53984931,32671023,-63450182,-44481159,105573669,-64172014,-69653453,9442871,-243681402,-373085159,-297000000,195000000,-911000000,-999000000,-28000000,-751000000,-305000000,-677000000,-924000000,-342000000,-470000000,-378000000,-393000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49000000,-23000000,28000000,-24000000,81000000,-5000000,8000000,-9000000,-118000000,-192000000,-46000000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,11600000,-4900000,-6527319,-21962787,-4966772,-14018993,-53984931,-10001334,37064958,45116604,3881385,-50837570,-151345773,-193149627,- -,-373085159,-372000000,- -,-708000000,-616000000,-352000000,-78000000,24000000,-190000000,-372000000,-111000000,9000000,121000000,-163000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-329000000,-35000000,-190000000,-35000000,19000000,-108000000,42000000,140000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1,- -,- -,1,- -,29230476,31051079,-25002083,13758705,82410507,-243681402,- -,75000000,- -,-102000000,-331000000,-251000000,-284000000,-237000000,-362000000,-196000000,-169000000,-113000000,-70000000,-120000000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,- -,-600000,-400000,-1026770,42904049,435886674,-36888689,4976843,1334177891,16961930,44481159,-271417482,95361947,-4577264,101009958,-132191018,760873827,1176000000,-538000000,308000000,5601000000,12263000000,4005000000,4195000000,89000000,-1407000000,964000000,-4336000000,-156000000,-778000000
