,https://roic.ai/company/FARM,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,198900000,179600000,174700000,179900000,171500000,168200000,169800000,160700000,184300000,209500000,194900000,208100000,199200000,184800000,169723000,173316000,167647000,177670000,189826000,205003000,210418000,220335000,277129000,356927000,489510000,524562000,514724000,513967000,523278000,531772000,528075000,527896000,601904000,605446000,527529000,435373000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1236000,303000,178000,214000,452000,429000,381000,496000,567000,2000,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,335000,986000,1965000,2137000,1782000,1258000,769000,425000,2185000,3177000,12000000,10483000,15962000
14,Depreciation and Amortization,8300000,8200000,3900000,3800000,4300000,5200000,5300000,5200000,5200000,4700000,5700000,5400000,5000000,5200000,5628000,5527000,5493000,5776000,7098000,8396000,8963000,9324000,9757000,18292000,26778000,31758000,32113000,32542000,27334000,24179000,20774000,22970000,30464000,31065000,29896000,27625000
15,EBITDA,19900000,43600000,22500000,27600000,36800000,39900000,38800000,39400000,21900000,35400000,44600000,32700000,57800000,53800000,66847000,64733000,54853000,43347000,23080000,-2933000,12968000,16172000,-5566000,-360000,1282000,-29761000,4574000,25037000,41429000,26002000,31120000,65509000,32673000,9581000,3097000,15531000
16,EBITDA ratio,0.0959,0.2072,0.1187,0.1389,0.1860,0.2034,0.1967,0.2066,0.1129,0.1508,0.1990,0.1455,0.2407,0.2428,0.3057,0.3005,0.2665,0.2151,0.1192,-0.0148,0.0625,0.0748,-0.0209,-0.0011,0.0028,-0.0641,0.0092,0.0491,0.0784,0.0476,0.0572,0.1210,0.0539,0.0161,0.0062,0.0390
17,Operating Income,8700000,30800000,14800000,18800000,26300000,28000000,27500000,30000000,9600000,25200000,29200000,16700000,40900000,36800000,48965000,42115000,38210000,23888000,3763000,-6583000,-2965000,-4076000,-10644000,-15203000,-39192000,-68422000,-24867000,-4095000,8916000,3284000,8179000,42166000,1124000,-14702000,-43002000,-38173000
18,Operating Income ratio,0.0419,0.1464,0.0781,0.0946,0.1330,0.1427,0.1394,0.1573,0.0495,0.1074,0.1303,0.0743,0.1703,0.1661,0.2239,0.1955,0.1856,0.1185,0.0194,-0.0332,-0.0143,-0.0188,-0.0399,-0.0445,-0.0870,-0.1475,-0.0502,-0.0080,0.0169,0.0060,0.0150,0.0779,0.0019,-0.0247,-0.0858,-0.0959
19,Total Other Income Expenses (Gains),2900000,4600000,3800000,5000000,6200000,6700000,6000000,9500000,7100000,6100000,9700000,10600000,11900000,11800000,12254000,17401000,11150000,13683000,12219000,-4746000,6970000,10924000,-4679000,-3784000,12710000,4938000,-4809000,-5192000,3921000,-2230000,1742000,-1812000,-2092000,-18782000,5720000,10117000
20,Income Before Tax,11600000,35400000,18600000,23800000,32500000,34700000,33500000,39500000,16700000,31300000,38900000,27300000,52800000,48600000,61219000,59516000,49360000,37571000,15982000,-11329000,4005000,6848000,-15323000,-18987000,-26482000,-63484000,-29676000,-9287000,12837000,1054000,9921000,40354000,-968000,-33484000,-37282000,-28056000
21,Income Before Tax Ratio,0.0559,0.1683,0.0982,0.1198,0.1643,0.1769,0.1698,0.2071,0.0861,0.1334,0.1736,0.1214,0.2199,0.2193,0.2799,0.2763,0.2398,0.1864,0.0826,-0.0571,0.0193,0.0317,-0.0575,-0.0556,-0.0588,-0.1368,-0.0599,-0.0182,0.0243,0.0019,0.0182,0.0745,-0.0016,-0.0562,-0.0744,-0.0705
22,Income Tax expense (Gain),5300000,17400000,7400000,9300000,12700000,13300000,13300000,15300000,6400000,11800000,15500000,10600000,19400000,19700000,23643000,23028000,18791000,13942000,3295000,-5902000,-751000,33000,-7399000,14283000,-2529000,-9167000,-347000,-825000,705000,402000,-79997000,15954000,17312000,40111000,-195000,13595000
23,Net Income,6300000,18000000,11200000,14500000,19800000,21400000,20200000,18900000,10300000,18900000,23400000,16700000,33400000,28900000,37576000,36178000,30569000,23629000,12687000,-5427000,4756000,6815000,-7924000,-33270000,-23953000,-54317000,-29329000,-8462000,12132000,652000,89918000,24400000,-18280000,-73595000,-37087000,-41651000
24,Net Income ratio,0.0303,0.0856,0.0591,0.0730,0.1001,0.1091,0.1024,0.0991,0.0531,0.0805,0.1044,0.0743,0.1391,0.1304,0.1718,0.1679,0.1485,0.1172,0.0655,-0.0274,0.0229,0.0315,-0.0297,-0.0974,-0.0532,-0.1171,-0.0592,-0.0166,0.0230,0.0012,0.1652,0.0451,-0.0301,-0.1235,-0.0740,-0.1047
25,EPS,0.33,0.94,0.58,0.76,1.03,1.11,1.05,0.98,0.54,1.01,1.21,0.87,1.73,1.52,2.02,1.96,1.65,1.30,0.81,-0.40,0.34,0.48,-0.55,-2.29,-1.61,-3.61,-1.89,-0.54,0.76,0.04,5.45,1.46,-1.11,-4.36,-2.19,-2.39
26,EPS Diluted,0.33,0.94,0.58,0.76,1.03,1.11,1.05,0.98,0.54,1.01,1.21,0.87,1.73,1.52,2.02,1.96,1.65,1.30,0.81,-0.40,0.34,0.48,-0.55,-2.29,-1.61,-3.61,-1.89,-0.54,0.76,0.04,5.41,1.45,-1.11,-4.36,-2.19,-2.39
27,Weighted Average Shares Outstanding,19090909,19251337,19178082,19205298,19260700,19261926,19238095,19207317,19216418,18657453,19291014,19284065,19264140,19034200,18580340,18433920,18483950,18145910,15576450,13653420,13890609,14106011,14284324,14508320,14866306,15066663,15492314,15604452,15909631,16127610,16502523,16668745,16815020,16996354,17205849,17635402
28,Weighted Average Shares Outstanding Diluted,19090909,19251337,19178082,19205298,19260700,19261926,19238095,19207317,19216418,19273302,19305857,19284065,19264140,19158879,18750000,18433920,18483950,18145910,15576450,13653420,13890609,14106011,14398074,14508320,14866306,15066663,15492314,15604452,16014587,16267134,16627402,16785752,16815020,16996354,17205849,17635402
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/34563/000003456394000014/0000034563-94-000014-index.html,https://www.sec.gov/Archives/edgar/data/34563/000003456395000010/0000034563-95-000010-index.html,https://www.sec.gov/Archives/edgar/data/34563/000003456396000009/0000034563-96-000009-index.html,https://www.sec.gov/Archives/edgar/data/34563/000003456397000008/0000034563-97-000008-index.html,https://www.sec.gov/Archives/edgar/data/34563/000003456398000008/0000034563-98-000008-index.html,https://www.sec.gov/Archives/edgar/data/34563/000003456399000006/0000034563-99-000006-index.html,https://www.sec.gov/Archives/edgar/data/34563/000003456300000016/0000034563-00-000016-index.html,https://www.sec.gov/Archives/edgar/data/34563/000003456301500018/0000034563-01-500018-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/34563/000110465906060879/a06-19524_110k.htm,https://www.sec.gov/Archives/edgar/data/34563/000110465907068865/0001104659-07-068865-index.html,https://www.sec.gov/Archives/edgar/data/34563/000104746908010086/0001047469-08-010086-index.html,https://www.sec.gov/Archives/edgar/data/34563/000104746909008327/0001047469-09-008327-index.html,https://www.sec.gov/Archives/edgar/data/34563/000119312510209081/0001193125-10-209081-index.html,https://www.sec.gov/Archives/edgar/data/34563/000119312511246167/0001193125-11-246167-index.html,https://www.sec.gov/Archives/edgar/data/34563/000003456312000029/0000034563-12-000029-index.html,https://www.sec.gov/Archives/edgar/data/34563/000003456313000038/farm-2013630x10k.htm,https://www.sec.gov/Archives/edgar/data/34563/000003456314000033/0000034563-14-000033-index.html,https://www.sec.gov/Archives/edgar/data/34563/000003456315000047/0000034563-15-000047-index.html,https://www.sec.gov/Archives/edgar/data/34563/000003456316000127/farm-2016630x10k.htm,https://www.sec.gov/Archives/edgar/data/34563/000003456317000064/0000034563-17-000064-index.html,https://www.sec.gov/Archives/edgar/data/34563/000003456318000049/0000034563-18-000049-index.html,https://www.sec.gov/Archives/edgar/data/34563/000003456319000064/0000034563-19-000064-index.html,https://www.sec.gov/Archives/edgar/data/34563/000003456320000111/0000034563-20-000111-index.htm,https://www.sec.gov/Archives/edgar/data/34563/000003456321000061/0000034563-21-000061-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,22700000,29200000,35800000,38000000,41800000,23400000,26400000,64700000,8700000,8300000,28200000,34200000,6800000,4400000,15504000,19362000,7047000,18986000,21807000,9814000,5333000,12586000,9973000,20038000,4149000,6081000,3906000,2678000,11993000,15160000,21095000,6241000,2438000,6983000,60013000,10263000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,122200000,114346000,243818000,285540000,274444000,176903000,171055000,176336000,158050000,113286000,42926000,50942000,24874000,21021000,20546000,22632000,23665000,25591000,368000,- -,- -,- -,- -
33,Cash and Short-Term Investments,22700000,29200000,35800000,38000000,41800000,23400000,26400000,64700000,8700000,8300000,28200000,34200000,6800000,126600000,129850000,263180000,292587000,293430000,198710000,180869000,181669000,170636000,123259000,62964000,55091000,30955000,24927000,23224000,34625000,38825000,46686000,6609000,2438000,6983000,60013000,10263000
34,Net Receivables,16600000,13500000,14600000,16000000,14700000,14900000,36300000,13800000,21300000,18500000,19800000,20600000,18600000,18400000,19834000,15326000,16557000,16634000,14973000,19549000,13250000,17651000,22735000,49907000,48436000,43949000,41498000,44331000,42458000,40696000,44611000,46764000,58803000,56346000,41713000,40321000
35,Inventory,26300000,27000000,31600000,31200000,29700000,29600000,31400000,32300000,34900000,36800000,40800000,35200000,38100000,33700000,36770000,35780000,37361000,34702000,35579000,41086000,45008000,44996000,54253000,68961000,83712000,79759000,65981000,60867000,71044000,50522000,46378000,56251000,104431000,87910000,67408000,76791000
36,Other Current Assets,3100000,3000000,4000000,4600000,10000000,30600000,1100000,44300000,38500000,86200000,78300000,80300000,131300000,2800000,2106000,4593000,1929000,1851000,3458000,3715000,6881000,6079000,17503000,4714000,2717000,2747000,3445000,11327000,9333000,5642000,15690000,7540000,7842000,8669000,7579000,11711000
37,Total Current Assets,68700000,72700000,86000000,89800000,96200000,98500000,95200000,155100000,103400000,149800000,167100000,170300000,194800000,181500000,188560000,318879000,348434000,346617000,252720000,245219000,246808000,239362000,217750000,186546000,189956000,157410000,135851000,139749000,157460000,135685000,153365000,117164000,173514000,159908000,176713000,139086000
38,PP&E,25200000,24600000,20100000,22100000,26900000,26300000,27700000,27700000,28900000,33200000,33300000,32500000,30600000,31500000,38741000,39094000,38572000,41753000,42300000,42671000,46385000,52667000,69065000,112063000,120372000,114107000,108135000,92159000,95641000,90201000,118416000,176066000,186589000,189458000,186750000,176345000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16959000,17568000,- -,- -,- -,- -,- -,- -,272000,272000,10996000,36224000,36224000,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7615000,6277000,5628000,6419000,6218000,18618000,31515000,28878000,20662000,18252000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16959000,17568000,28758000,25242000,14639000,7615000,6277000,5628000,6691000,6490000,29614000,67739000,65102000,20662000,18252000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3263000,2672000,1462000,1099000,5765000,6617000,15597000,7855000,892000,1059000,1005000,854000,467000,414000,751000,80786000,63055000,39308000,- -,- -,- -
44,Other Non-Current Assets,11900000,13000000,14100000,26200000,30000000,46600000,67800000,33500000,87600000,61300000,60500000,74000000,81600000,111800000,126166000,29159000,27846000,26583000,21752000,21268000,17427000,13024000,746000,1758000,2492000,2892000,2904000,5484000,7034000,7615000,9933000,6837000,8381000,10142000,8574000,4323000
45,Total Non-Current Assets,37100000,37600000,34200000,48300000,56900000,72900000,95500000,61200000,116500000,94500000,93800000,106500000,112200000,143300000,164907000,71516000,69090000,69798000,65151000,69704000,70429000,98247000,95234000,143471000,149165000,132643000,119508000,104387000,108717000,105258000,215625000,275572000,302017000,264702000,215986000,198920000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,105800000,110300000,120200000,138100000,153100000,171400000,190700000,216300000,219900000,244300000,260900000,276800000,307000000,324800000,353467000,390395000,417524000,416415000,317871000,314923000,317237000,337609000,312984000,330017000,339121000,290053000,255359000,244136000,266177000,240943000,368990000,392736000,475531000,424610000,392699000,338006000
48,Accounts Payable,- -,- -,- -,- -,4400000,5300000,5000000,6600000,3400000,9400000,4600000,7500000,5600000,4800000,5921000,5153000,4827000,3321000,9589000,7852000,4197000,8702000,12169000,34627000,34053000,42473000,27676000,27740000,44336000,27023000,23919000,39784000,56603000,72771000,36987000,45703000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17090000,37887000,32932000,32863000,13063000,3857000,3327000,1432000,28579000,89977000,34000,5854000,7404000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,19900000,8300000,9200000,14300000,8000000,6400000,8500000,8700000,9100000,9300000,9700000,8900000,10600000,11100000,11045000,12502000,11432000,13338000,11600000,12841000,12381000,18394000,16740000,24740000,26606000,28057000,32150000,35747000,28677000,34524000,31486000,28904000,31877000,23301000,21451000,23133000
53,Total Current Liabilities,19900000,8300000,9200000,14300000,12400000,11700000,13500000,15300000,12500000,18700000,14300000,16400000,16200000,15900000,16966000,17655000,16259000,16659000,21189000,20693000,16578000,27096000,28909000,76457000,98546000,103462000,92689000,76550000,76870000,64874000,56837000,97267000,178457000,96106000,64292000,76240000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000000,- -,- -,- -,- -,- -,92000000,122000000,108440000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1773000,1815000,607000,852000,689000,928000,- -,- -,- -,1795000,1494000,1160000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,-100000,9000000,10000000,11500000,12900000,14300000,15900000,21200000,23388000,25692000,28212000,30611000,26984000,29344000,31436000,44297000,17620000,57071000,73207000,56661000,93331000,74896000,73754000,85130000,129560000,80334000,68019000,77215000,93000000,47207000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,-100000,9000000,10000000,11500000,12900000,14300000,15900000,21200000,23388000,25692000,28212000,30611000,26984000,29344000,31436000,44297000,17620000,57071000,74980000,58476000,93938000,85748000,74443000,86058000,129560000,80334000,68019000,171010000,216494000,156807000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,908000,724000,1570000,15867000,12168000,9703000,5848000,30469000,1195000,248000,32000,21491000,27066000
61,Total Liabilities,19900000,8300000,9200000,14300000,12400000,11700000,13400000,24300000,22500000,30200000,27200000,30700000,32100000,37100000,40354000,43347000,44471000,47270000,48173000,50037000,48014000,71393000,46529000,133528000,173526000,161938000,186627000,162298000,151313000,150932000,186397000,177601000,246476000,267116000,280786000,233047000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15000,15000,15000,15000
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1900000,1926000,1926000,1926000,1926000,16075000,16075000,16075000,16075000,16075000,16078000,16164000,16186000,16309000,16454000,16562000,16658000,16782000,16846000,16952000,17042000,17348000,17853000
64,Retained Earnings,83400000,99500000,108500000,121300000,138800000,157500000,174800000,189500000,196000000,211600000,230800000,242900000,271400000,283200000,311153000,341434000,365725000,382831000,283654000,272791000,271733000,272406000,257693000,217792000,186900000,129784000,100455000,94080000,106212000,106864000,196782000,221182000,220307000,146177000,108536000,66311000
65,Other Comprehensive Income/Loss,-49600000,-54400000,-32200000,-39700000,-39900000,-38400000,-41500000,-41500000,-48000000,- -,-51200000,-54000000,-56700000,-58600000,-59368000,-61880000,-62950000,-34410000,-62279000,-56272000,-50103000,-53088000,-37925000,-34912000,-39699000,-23888000,-57229000,-42514000,-27792000,-60420000,-63632000,-60099000,-62039000,-63652000,-76029000,-45329000
66,Other Total Stockholders Equity,52100000,56900000,34700000,42200000,41800000,40600000,44000000,44000000,49400000,2500000,54100000,57200000,60200000,61200000,59402000,65568000,68352000,18798000,32248000,32292000,31518000,30823000,30612000,-2469000,2230000,6033000,9197000,13818000,19882000,26909000,32662000,37206000,53820000,57912000,62043000,66109000
67,Total Stockholders Equity,85900000,102000000,111000000,123800000,140700000,159700000,177300000,192000000,197400000,214100000,233700000,246100000,274900000,287700000,313113000,347048000,373053000,369145000,269698000,264886000,269223000,266216000,266455000,196489000,165595000,128115000,68732000,81838000,114864000,90011000,182594000,215135000,229055000,157494000,111913000,104959000
68,Total Liabilities And Stockholders Equity,105800000,110300000,120200000,138100000,153100000,171400000,190700000,216300000,219900000,244300000,260900000,276800000,307000000,324800000,353467000,390395000,417524000,416415000,317871000,314923000,317237000,337609000,312984000,330017000,339121000,290053000,255359000,244136000,266177000,240943000,368991000,392736000,475531000,424610000,392699000,338006000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,105800000,110300000,120200000,138100000,153100000,171400000,190700000,216300000,219900000,244300000,260900000,276800000,307000000,324800000,353467000,390395000,417524000,416415000,317871000,314923000,317237000,337609000,312984000,330017000,339121000,290053000,255359000,244136000,266177000,240943000,368990000,392736000,475531000,424610000,392699000,338006000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/34563/000003456394000014/0000034563-94-000014-index.html,https://www.sec.gov/Archives/edgar/data/34563/000003456395000010/0000034563-95-000010-index.html,https://www.sec.gov/Archives/edgar/data/34563/000003456396000009/0000034563-96-000009-index.html,https://www.sec.gov/Archives/edgar/data/34563/000003456397000008/0000034563-97-000008-index.html,https://www.sec.gov/Archives/edgar/data/34563/000003456398000008/0000034563-98-000008-index.html,https://www.sec.gov/Archives/edgar/data/34563/000003456399000006/0000034563-99-000006-index.html,https://www.sec.gov/Archives/edgar/data/34563/000003456300000016/0000034563-00-000016-index.html,https://www.sec.gov/Archives/edgar/data/34563/000003456301500018/0000034563-01-500018-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/34563/000110465906060879/a06-19524_110k.htm,https://www.sec.gov/Archives/edgar/data/34563/000110465907068865/0001104659-07-068865-index.html,https://www.sec.gov/Archives/edgar/data/34563/000104746908010086/0001047469-08-010086-index.html,https://www.sec.gov/Archives/edgar/data/34563/000104746909008327/0001047469-09-008327-index.html,https://www.sec.gov/Archives/edgar/data/34563/000119312510209081/0001193125-10-209081-index.html,https://www.sec.gov/Archives/edgar/data/34563/000119312511246167/0001193125-11-246167-index.html,https://www.sec.gov/Archives/edgar/data/34563/000003456312000029/0000034563-12-000029-index.html,https://www.sec.gov/Archives/edgar/data/34563/000003456313000038/farm-2013630x10k.htm,https://www.sec.gov/Archives/edgar/data/34563/000003456314000033/0000034563-14-000033-index.html,https://www.sec.gov/Archives/edgar/data/34563/000003456315000047/0000034563-15-000047-index.html,https://www.sec.gov/Archives/edgar/data/34563/000003456316000127/farm-2016630x10k.htm,https://www.sec.gov/Archives/edgar/data/34563/000003456317000064/0000034563-17-000064-index.html,https://www.sec.gov/Archives/edgar/data/34563/000003456318000049/0000034563-18-000049-index.html,https://www.sec.gov/Archives/edgar/data/34563/000003456319000064/0000034563-19-000064-index.html,https://www.sec.gov/Archives/edgar/data/34563/000003456320000111/0000034563-20-000111-index.htm,https://www.sec.gov/Archives/edgar/data/34563/000003456321000061/0000034563-21-000061-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,19800000,21400000,20200000,18900000,10300000,18900000,23400000,16700000,33400000,28900000,37576000,36178000,30569000,23629000,12687000,-5427000,4756000,6815000,-7924000,-33270000,-23953000,-54317000,-29329000,-8462000,12132000,652000,89918000,24400000,-18280000,-73595000,-37087000,-41651000
74,Depreciation and Amortization,- -,- -,- -,- -,4300000,5200000,5300000,5200000,5200000,4700000,5700000,5400000,5000000,5200000,5628000,5527000,5493000,5776000,7098000,8396000,8963000,9324000,9757000,18292000,26778000,31758000,32113000,32542000,27334000,24179000,20774000,22970000,30464000,31065000,29896000,27625000
75,Deferred Income Tax,- -,- -,- -,- -,- -,500000,-300000,500000,700000,-200000,100000,200000,-1900000,-1000000,- -,1736000,495000,3989000,-1536000,-3510000,-5001000,-8141000,719000,15556000,758000,336000,-78000,74000,137000,123000,-80314000,15482000,17154000,41654000,-300000,13404000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5452000,4784000,3825000,3287000,3563000,4692000,5691000,4342000,3959000,3822000,3674000,4309000,4580000
77,Change in Working Capital,- -,- -,- -,- -,-4900000,3000000,-5100000,58100000,-48900000,40200000,21700000,1100000,24700000,-13000000,5994000,129630000,30951000,-2217000,-98427000,-7005000,5704000,-17964000,-23425000,-78752000,-18679000,-37462000,-10786000,20037000,17391000,-9779000,25717000,-76631000,-24840000,68745000,48619000,-49575000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2929000,2765000,-2429000,2248000,2078000,-3476000,-14000,-4628000,2757000,12893000,1438000
79,Inventory,- -,- -,- -,- -,1500000,100000,-1800000,-900000,-2600000,-1900000,-4100000,5600000,-2900000,4400000,- -,990000,-1581000,2659000,-877000,-5507000,-3922000,4200000,-9257000,1730000,-14751000,3952000,13314000,5115000,-14439000,20470000,3608000,-8504000,-15513000,16192000,19530000,-9383000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22457000,-738000,12997000,-13083000,1773000,17526000,-16841000,-3343000,8885000,3864000,16546000,-35784000,7790000
