,https://roic.ai/company/STC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,6600000,11800000,5700000,5200000,7000000,8000000,8600000,28500000,45200000,22300000,21829000,34978000,37079000,92327000,65965000,24363000,105444000,175968000,225464000,165487000,182838000,110134000,-16179000,-192778000,-38612000,22338000,36499000,102561000,112383000,70718000,31840000,108189000,92916000,89837000,132177000,225578000,458622000
16,EBITDA ratio,0.0472,0.0661,0.0311,0.0294,0.0371,0.0380,0.0396,0.0983,0.1297,0.0738,0.0773,0.1017,0.0523,0.0953,0.0616,0.0260,0.0829,0.0989,0.1005,0.0758,0.0752,0.0446,-0.0077,-0.1239,-0.0226,0.0134,0.0223,0.0537,0.0583,0.0378,0.0157,0.0539,0.0475,0.0471,0.0681,0.0986,0.1387
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1896315000,2637854000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.8287,0.7979
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,16500000,14500000,16700000,17500000,14400000,12900000,1257000,1205000,35320000,50372000,59039000,52463000,65852000,71119000,78666000,68907000,82495000,81159000,66037000,44473000,56895000,81176000,102324000,162856000,117145000,132891000,129954000,84271000,55837000,161753000,153728000,-1677810000,-2203883000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10729000,22878000,23679000,76327000,46565000,1146000,80580000,153860000,199503000,133214000,164964000,84536000,-51921000,-234506000,-62188000,2925000,18019000,89338000,101065000,51812000,9693000,88026000,75067000,72529000,116967000,218505000,433971000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0380,0.0665,0.0334,0.0788,0.0435,0.0012,0.0634,0.0865,0.0889,0.0610,0.0679,0.0342,-0.0246,-0.1508,-0.0364,0.0017,0.0110,0.0468,0.0524,0.0277,0.0048,0.0439,0.0384,0.0380,0.0603,0.0955,0.1313
22,Income Tax expense (Gain),1200000,2800000,-7100000,400000,-500000,700000,-600000,6600000,13900000,4200000,3722000,8441000,8391000,29289000,18143000,540000,31894000,59380000,75748000,50696000,56768000,23045000,-23926000,2128000,-19757000,8075000,9341000,-29639000,28481000,13503000,5650000,19605000,14921000,13507000,26695000,48833000,93989000
23,Net Income,4400000,7800000,11700000,3700000,100000,200000,1700000,14600000,23700000,9700000,7007000,14437000,15288000,47038000,28422000,606000,48686000,94480000,123755000,82518000,88765000,43252000,-40220000,-241860000,-50975000,-12582000,2348000,109182000,63026000,29753000,-6204000,55478000,48659000,47523000,78615000,154905000,323216000
24,Net Income ratio,0.0315,0.0437,0.0639,0.0209,0.0005,0.0010,0.0078,0.0503,0.0680,0.0321,0.0248,0.0420,0.0216,0.0486,0.0265,0.0006,0.0383,0.0531,0.0552,0.0378,0.0365,0.0175,-0.0191,-0.1555,-0.0299,-0.0075,0.0014,0.0572,0.0327,0.0159,-0.0031,0.0276,0.0249,0.0249,0.0405,0.0677,0.0978
25,EPS,0.17,0.23,0.32,0.10,0.00,0.01,0.05,0.40,0.65,0.39,0.56,1.07,1.12,3.37,1.96,0.04,3.01,5.33,6.93,4.56,4.89,2.37,-2.21,-13.37,-2.80,-0.68,0.12,5.63,2.80,1.24,-0.27,2.37,2.05,2.00,3.32,5.80,12.65
26,EPS Diluted,0.17,0.23,0.32,0.10,0.00,0.01,0.05,0.40,0.64,0.39,0.56,1.07,1.11,3.33,1.95,0.04,2.98,5.30,6.88,4.53,4.86,2.36,-2.21,-13.37,-2.80,-0.69,0.12,4.61,2.60,1.24,-0.27,1.85,2.05,2.00,3.31,5.80,12.48
27,Weighted Average Shares Outstanding,8638000,12086000,12086000,12186000,12184000,12184000,12184000,12184000,11254000,12424000,12584000,13414000,13650000,13978603,14501020,15150000,16174751,17726079,17857864,18096053,18152352,18249789,18162000,18092000,18177000,18375058,19303844,19403765,22501030,24005760,23341106,23431279,23719522,23719347,23709407,26728242,26873000
28,Weighted Average Shares Outstanding Diluted,8638000,12086000,12086000,12186000,12184000,12184000,12184000,12184000,11254000,12424000,12584000,13414000,13794000,14154000,14606000,15150000,16348000,17826000,17980000,18199000,18246000,18327119,18162000,18092000,18182000,18375058,19303844,24384000,24741000,24710000,23544000,23472000,23719522,23719347,23753000,26728242,27238000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/94344/000095012906002568/h33794e10vk.htm,https://www.sec.gov/Archives/edgar/data/94344/000095012907001090/h43929e10vk.htm,https://www.sec.gov/Archives/edgar/data/94344/000095012908001380/h54248e10vk.htm,https://www.sec.gov/Archives/edgar/data/94344/000095013409005240/0000950134-09-005240-index.html,https://www.sec.gov/Archives/edgar/data/94344/000095012310021253/0000950123-10-021253-index.html,https://www.sec.gov/Archives/edgar/data/94344/000095012311021783/h79965e10vk.htm,https://www.sec.gov/Archives/edgar/data/94344/000119312512109948/0001193125-12-109948-index.html,https://www.sec.gov/Archives/edgar/data/94344/000119312513093781/0001193125-13-093781-index.html,https://www.sec.gov/Archives/edgar/data/94344/000119312514077383/d652336d10k.htm,https://www.sec.gov/Archives/edgar/data/94344/000162828015001257/stc1231201410-k.htm,https://www.sec.gov/Archives/edgar/data/94344/000009434416000011/0000094344-16-000011-index.html,https://www.sec.gov/Archives/edgar/data/94344/000009434417000004/0000094344-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/94344/000009434418000007/0000094344-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/94344/000009434419000004/0000094344-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/94344/000009434420000006/0000094344-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/94344/000009434421000009/0000094344-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/94344/000009434422000006/0000094344-22-000006-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,16200000,16698000,18484000,30391000,44883000,36803000,35728000,60706000,139156000,114202000,121383000,134734000,136137000,109239000,76558000,97971000,144564000,117196000,208538000,194289000,200558000,179067000,185772000,150079000,192067000,330609000,432683000,485919000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28238000,31946000,35761000,59446000,67455000,53748000,56267000,50673000,153322000,181195000,206717000,161711000,79780000,37120000,24194000,33457000,33137000,37025000,38336000,25042000,39707000,22239000,24463000,22950000,23527000,20678000,17650000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,16200000,44936000,50430000,66152000,104329000,104258000,89476000,116973000,189829000,267524000,302578000,341451000,297848000,189019000,113678000,122165000,178021000,150333000,245563000,232625000,225600000,218774000,208011000,174542000,215017000,354136000,453361000,503569000
34,Net Receivables,- -,- -,- -,- -,28500000,26100000,26000000,26000000,32700000,29400000,7242000,31616000,31868000,46732000,48580000,57039000,52036000,69041000,79025000,80277000,88662000,110467000,129762000,107568000,125282000,78682000,88761000,100688000,104667000,98674000,81671000,71776000,78516000,71462000,72003000,87812000,119340000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,249800000,263881000,233644000,247468000,261603000,277031000,300094000,365270000,413021000,486538000,531061000,612766000,656839000,716512000,846735000,753490000,530448000,560019000,421857000,-48930000,-38020000,507924000,538336000,607306000,507615000,-71743000,-108490000,573755000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,295400000,316059000,315690000,345488000,412664000,429869000,446609000,534279000,671891000,833087000,913916000,1042879000,1065154000,1035293000,1067981000,1000937000,787151000,799113000,768108000,288362000,286254000,808369000,818123000,860364000,794094000,354396000,432683000,1196664000
38,PP&E,- -,- -,- -,- -,18000000,16600000,15400000,17700000,35100000,24800000,24271000,51147000,53776000,62202000,74231000,80146000,90613000,103497000,119696000,137813000,147380000,173307000,180700000,161896000,149054000,138966000,133843000,132074000,131088000,152132000,147112000,145819000,141259000,135531000,222116000,231013000,283893000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11029000,16535000,18427000,23615000,31641000,36693000,52971000,66885000,79084000,124636000,155624000,204302000,208824000,210901000,212763000,206861000,214492000,220955000,231838000,251868000,217722000,217094000,231428000,248890000,248890000,431477000,924837000
40,Intangible Assets,- -,- -,- -,- -,3500000,4200000,3700000,3300000,3700000,5000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,16988000,15268000,15444000,17157000,8448000,6406000,8228000,8693000,7015000,13050000,26311000,18100000,10900000,9700000,9700000,4600000,37400000,229804000
41,Intangible Assets,- -,- -,- -,- -,3500000,4200000,3700000,3300000,3700000,5000000,11029000,16535000,18427000,23615000,31641000,36693000,52971000,66885000,79084000,141624000,170892000,219746000,225981000,219349000,219169000,215089000,223185000,227970000,244888000,278179000,235822000,227994000,241128000,258590000,253490000,468877000,1154641000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,61347000,169516000,201009000,223104000,178850000,95590000,804264000,704638000,501389000,512177000,109596000,135007000,176514000,145872000,178129000,252196000,205328000,191346000,215236000,178164000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-61347000,-169516000,-201009000,-223104000,-178850000,-95590000,-804264000,-704638000,-501389000,-512177000,53429000,526713000,499399000,-15588000,-28341000,-89061000,-20613000,571437000,-446267000,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,29800000,35300000,67682000,72203000,85817000,105872000,116839000,143584000,170382000,198780000,279437000,318272000,393053000,406681000,381245000,368223000,354055000,357028000,523069000,1037696000,1106224000,513218000,523601000,545522000,578836000,1238389000,468859000,1616698000
46,Other Assets,132000000,178500000,182400000,193900000,197800000,201300000,219100000,251900000,313900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4430060000
47,Total Assets,132000000,178500000,182400000,193900000,197800000,201300000,219100000,251900000,313900000,325200000,351359000,383372000,417691000,498481000,535741000,563448000,677863000,842273000,1031867000,1193353000,1361151000,1458207000,1441974000,1449226000,1369160000,1141206000,1156141000,1291177000,1326058000,1392478000,1321587000,1341724000,1405886000,1372930000,1592785000,901542000,2813362000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20559000,24614000,25189000,40652000,40399000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,225180000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7600000,7300000,19100000,32543000,- -,- -,- -,- -,- -,- -,- -,222684000,202007000,- -,11722000,- -,- -,- -,- -,- -,- -,98875000,98875000,98875000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,148641000,159886000,164011000,181148000,185301000,220457000,276300000,341300000,393200000,456100000,524400000,563400000,605500000,374716000,433093000,632900000,617978000,651200000,637900000,633700000,589907000,593716000,624363000,492494000,639688000,2898000,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,169200000,184500000,196800000,229100000,244800000,253000000,276300000,341300000,393200000,456100000,524400000,563400000,605500000,597400000,635100000,632900000,629700000,651200000,637900000,633700000,589907000,593716000,624363000,591369000,738563000,326953000,- -
54,Long-Term Debt,- -,5500000,5000000,7300000,5300000,6600000,6800000,4200000,3400000,7900000,12589000,12324000,11487000,8894000,-46000,- -,13794000,14195000,24583000,49930000,70396000,109549000,108714000,135276000,83783000,73122000,64513000,71168000,32946000,65562000,102399000,106808000,109312000,9161000,11757000,2898000,632908000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11284000,22440000,29335000,15784000,14139000,13509000,11896000,- -,- -,27449000,2645000,3174000,13485000,1356000,7856000,19034000,14214000,28719000,23852000,48779000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5289000,-4424000,-87000,6000,6046000,15400000,-6794000,-18079000,-29723000,-39365000,-15780000,-31188000,-39823000,210828000,202017000,-22000,-15762000,-2613000,-3220000,-13447000,-1356000,-7856000,-19034000,84661000,66440000,-103263000,- -
58,Total Non-Current Liabilities,- -,5500000,5000000,7300000,5300000,6600000,6800000,4200000,3400000,7900000,7300000,7900000,11400000,8900000,6000000,15400000,7000000,7400000,17300000,39900000,70400000,92500000,82400000,358000000,285800000,73100000,76200000,71200000,32900000,65600000,102399000,106808000,109312000,108036000,106916000,-76513000,681687000
59,Other Liabilities,56300000,77200000,72200000,84400000,84200000,90200000,107500000,123200000,156000000,172000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,562703000,2200314000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,113843000,119089000,149417000
61,Total Liabilities,56300000,71700000,67200000,77100000,78900000,83600000,100700000,119000000,152600000,164100000,171942000,188107000,203795000,232535000,244144000,261458000,274090000,337785000,397259000,481558000,576156000,638673000,672205000,942157000,907094000,692873000,692684000,710805000,662969000,692025000,684459000,692876000,727076000,693093000,839026000,966169000,1518627000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6390000,6741000,6906000,7065000,14696000,15168000,17918000,18057000,18352000,18446000,18480000,18557000,18362000,18472000,18708000,18851000,19656000,19756000,22853000,24358000,23693000,23783000,24072000,24072000,24062000,27080000,27246000
64,Retained Earnings,56700000,62100000,70900000,71800000,70000000,68800000,69800000,83600000,106300000,112800000,118547000,131496000,145140000,190363000,209454000,210060000,258746000,353226000,469107000,543295000,619232000,649598000,597118000,353547000,296116000,282666000,284097000,391447000,452314000,479733000,455519000,471788000,491698000,514248000,564392000,688819000,974800000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6000000,8000000,20000000,- -,11000000,14000000,17000000,27000000,11000000,13000000,-4000000,-9000000,-1000000,-25000000,-3000000,- -,253000
66,Other Total Stockholders Equity,19000000,44700000,44300000,45000000,45000000,45100000,45000000,45000000,49900000,43600000,49915000,52753000,57458000,63015000,60774000,69861000,117876000,122309000,133930000,135572000,122601000,126107000,118579000,121823000,122452000,119693000,129461000,130603000,169131000,176094000,154069000,154629000,157441000,160205000,161852000,289213000,- -
67,Total Stockholders Equity,75700000,106800000,115200000,116800000,115000000,113900000,114800000,128600000,156200000,156400000,174852000,190990000,209504000,260443000,284924000,295089000,394540000,493592000,621389000,697313000,766313000,802262000,754059000,493842000,448276000,435210000,450214000,568806000,655298000,693185000,629281000,641200000,672211000,673525000,747306000,1005112000,1282009000
68,Total Liabilities And Stockholders Equity,132000000,178500000,182400000,193900000,193900000,197500000,215500000,247600000,308800000,320500000,346794000,379097000,413299000,492978000,529068000,556547000,668630000,831377000,1018648000,1178871000,1342469000,1440935000,1426264000,1435999000,1355370000,1128083000,1142898000,1279611000,1318267000,1385210000,1313740000,1334076000,1399287000,1366618000,1586332000,1971281000,2800636000
69,Minority Interest,- -,- -,- -,- -,3900000,3800000,3600000,4300000,5100000,4700000,4565000,4275000,4392000,5503000,6673000,6901000,9233000,10896000,13219000,14482000,18682000,17272000,15710000,13227000,13790000,13123000,13243000,11566000,7791000,7268000,7847000,7648000,6599000,6312000,6453000,-1069739000,12726000
70,Total Liabilities & Equity,132000000,178500000,182400000,193900000,197800000,201300000,219100000,251900000,313900000,325200000,351359000,383372000,417691000,498481000,535741000,563448000,677863000,842273000,1031867000,1193353000,1361151000,1458207000,1441974000,1449226000,1369160000,1141206000,1156141000,1291177000,1326058000,1392478000,1321587000,1341724000,1405886000,1372930000,1592785000,901542000,2813362000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/94344/000095012906002568/h33794e10vk.htm,https://www.sec.gov/Archives/edgar/data/94344/000095012907001090/h43929e10vk.htm,https://www.sec.gov/Archives/edgar/data/94344/000095012908001380/h54248e10vk.htm,https://www.sec.gov/Archives/edgar/data/94344/000095013409005240/0000950134-09-005240-index.html,https://www.sec.gov/Archives/edgar/data/94344/000095012310021253/0000950123-10-021253-index.html,https://www.sec.gov/Archives/edgar/data/94344/000095012311021783/h79965e10vk.htm,https://www.sec.gov/Archives/edgar/data/94344/000119312512109948/0001193125-12-109948-index.html,https://www.sec.gov/Archives/edgar/data/94344/000119312513093781/0001193125-13-093781-index.html,https://www.sec.gov/Archives/edgar/data/94344/000119312514077383/d652336d10k.htm,https://www.sec.gov/Archives/edgar/data/94344/000162828015001257/stc1231201410-k.htm,https://www.sec.gov/Archives/edgar/data/94344/000009434416000011/0000094344-16-000011-index.html,https://www.sec.gov/Archives/edgar/data/94344/000009434417000004/0000094344-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/94344/000009434418000007/0000094344-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/94344/000009434419000004/0000094344-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/94344/000009434420000006/0000094344-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/94344/000009434421000009/0000094344-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/94344/000009434422000006/0000094344-22-000006-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,11700000,3700000,100000,200000,1700000,14600000,23700000,9700000,7007000,14437000,15288000,47038000,28422000,606000,48686000,94480000,123755000,82518000,88765000,43252000,-40220000,-241860000,-50975000,-12582000,2348000,109182000,63026000,29753000,-6204000,55478000,48659000,47523000,78615000,154905000,323216000
74,Depreciation and Amortization,- -,- -,- -,- -,5900000,5800000,6300000,6600000,7100000,7800000,9900000,11000000,12100000,14600000,18100000,20951000,22648000,21383000,25240000,31025000,33954000,37747000,41125000,40959000,28064000,21422000,19542000,17783000,17920000,24226000,30298000,30044000,25878000,24932000,22526000,19216000,36386000
75,Deferred Income Tax,- -,- -,- -,- -,-900000,-1600000,-3700000,-6500000,-6500000,-1800000,1344000,596000,-1886000,4142000,3524000,- -,- -,12775000,9375000,7391000,-9158000,-4232000,-8175000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9747000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4020000,4445000,2982000,5303000,4809000,2097000,5751000,11966000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,295400000,-148541000,-15669000,17498000,34876000,1505000,8540000,64370000,72612000,109296000,17929000,60663000,-16725000,-71961000,40788000,-104744000,-211586000,15162000,-52505000,-466446000,2092000,565908000,5945000,11594000,-33276000,-586892000,489897000,-34348000
78,Accounts Receivable,- -,- -,- -,- -,-1300000,200000,-600000,-3200000,-4500000,3300000,2000000,-3600000,-300000,-14400000,-900000,576000,-1660000,-18785000,-9848000,-1354000,-23893000,-21050000,-13378000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6598000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,-1500000,-400000,4200000,3000000,4100000,-10000000,-1800000,3000000,1400000,17200000,-1500000,-3138000,18450000,30818000,-3317000,15954000,22077000,-8244000,-20323000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,295400000,146859000,131190000,148688000,183564000,185069000,193609000,257979000,330591000,439887000,457816000,518479000,501754000,429793000,470581000,365837000,154251000,169413000,116908000,-349538000,-347446000,218462000,224407000,236001000,202725000,-384167000,105730000,12721000
82,Other Non-Cash Items,- -,- -,-900000,5200000,6600000,6600000,14300000,21600000,30200000,-283200000,150858000,26386000,-9172000,-14189000,6324000,1816000,-27518000,-38699000,-73726000,31547000,-716000,39689000,83809000,54955000,110703000,243940000,-13643000,46062000,472687000,3898000,-513933000,28513000,16634000,40189000,650013000,-384216000,53071000
83,Cash Provided by Operating Activities,- -,- -,10800000,8900000,11700000,11000000,18600000,36300000,54500000,27900000,20568000,36750000,33828000,86467000,57875000,31913000,108186000,162551000,193940000,170410000,173508000,99731000,4578000,-105158000,-16952000,41194000,23409000,120522000,87187000,63989000,80514000,122962000,108068000,84177000,166359000,275806000,390291000
