,https://roic.ai/company/EEFT,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
83,Cash Provided by Operating Activities,-2300000,-6300000,-22800000,-20400000,-16357000,39000,6498000,21656000,44631000,52295000,95927000,78336000,91248000,96051000,108086000,99306000,181454000,169332000,235027000,215054000,368182000,291318000,397233000,504488000,253505000,406576000
84,CAPEX,-1100000,-7600000,-9700000,-8700000,-3428000,-2756000,-4712000,-5656000,-8708000,-18245000,-20454000,-38083000,-43014000,-35016000,-33254000,-49185000,-46212000,-40903000,-63098000,-74620000,-87411000,-97235000,-112484000,-131287000,-97628000,-92207000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-49447000,-14252000,-120689000,-2069000,-378684000,20600000,-10119000,-24418000,-78688000,-22337000,-23238000,-84703000,-113969000,-68266000,- -,-12854000,-94187000,-1100000,- -
86,Purchases of Investments,- -,-75700000,-29800000,-5400000,- -,- -,- -,- -,- -,- -,- -,-19990000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,43900000,58800000,7800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11900000,- -,- -,- -,- -,- -
88,Other Investing Activites,-200000,100000,-16800000,-3500000,693000,566000,-138000,25856000,-2175000,-576000,-3602000,-3180000,-2239000,5334000,2300000,3809000,-614000,-5333000,-5231000,-5394000,-4887000,-4623000,-6945000,-3553000,-6803000,-5902000
89,Cash Used for Investing Activites,-1300000,-39300000,2500000,-9800000,-2735000,-2190000,-4850000,-29247000,-25135000,-139510000,-26125000,-439937000,-21349000,-39801000,-55372000,-124064000,-69163000,-69474000,-153032000,-193983000,-148664000,-101858000,-132283000,-229027000,-105531000,-98109000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-417997000,-573863000,-190042000,-572689000,-1063965000,-2090490000,-2314954000,-1327126000,-2505606000,-2580411000,-5618425000,-3199470000,-2848557000,-5061000000
91,Common Stock Issued,- -,51900000,- -,600000,14500000,5706000,17917000,23986000,9813000,8377000,14680000,167727000,1379000,2108000,2116000,2397000,2884000,12809000,9221000,10510000,6292000,10990000,18608000,14979000,18101000,10848000
92,Common Stock Repurchased,6500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15996000,-42853000,- -,-64512000,-6078000,-77360000,-3065000,-177855000,-74456000,-241518000,-229877000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2798000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-900000,-1300000,67500000,-11100000,-3494000,-1987000,-15922000,-8777000,72361000,177837000,10042000,136608000,270888000,514300000,143152000,600205000,1011358000,1986465000,2588326000,1321504000,2656184000,2411337000,5779696000,3675245000,3107372000,5067793000
95,Cash Used/Provided by Financing Activities,5600000,50600000,67500000,-10500000,11006000,3719000,1995000,15209000,82174000,186214000,24722000,301537000,-145730000,-57455000,-44774000,13917000,-92576000,-91216000,218081000,-1190000,79510000,-161149000,2024000,416298000,35398000,-212236000
96,Effect of Forex Changes on Cash,- -,- -,900000,200000,200000,99000,-442000,-394000,3283000,-3265000,6602000,6597000,-9867000,2840000,-4233000,-5731000,809000,-251000,-41892000,-30373000,-22132000,56419000,-36540000,-5332000,98757000,-109637000
97,Net Change In Cash,2100000,50600000,67500000,-40600000,-7886000,1667000,3201000,7224000,104953000,95734000,101126000,-53467000,-85698000,1635000,3707000,-16572000,20524000,8391000,258184000,-10492000,276896000,84730000,230434000,686427000,282129000,-13406000
98,Cash at the End of Period,2500000,- -,- -,15000000,7151000,8818000,12021000,19245000,124198000,219932000,321058000,267591000,181893000,183528000,187235000,170663000,191187000,209826000,468010000,457518000,734414000,819144000,1130952000,1817379000,2099508000,2086102000
99,Cash at the Beginning of Period,400000,2500000,7500000,55600000,15037000,7151000,8820000,12021000,19245000,124198000,219932000,321058000,267591000,181893000,183528000,187235000,170663000,201435000,209826000,468010000,457518000,734414000,900518000,1130952000,1817379000,2099508000
100,Free Cash Flow,-3400000,-13900000,-32500000,-29100000,-19785000,-2717000,1786000,16000000,35923000,34050000,75473000,40253000,48234000,61035000,74832000,50121000,135242000,128429000,171929000,140434000,280771000,194083000,284749000,373201000,155877000,314369000
