,https://roic.ai/company/FIX,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
44,Other Non-Current Assets,1800000,11800000,14200000,2538000,2517000,13604000,10908000,9276000,7486000,6031000,6381000,2009000,2827000,6018000,6329000,7682000,5993000,10792000,21555000,5938000,4578000,5155000,6615000,7970000,8683000
45,Total Non-Current Assets,176900000,476700000,530700000,493116000,473745000,143142000,128173000,122387000,83284000,84489000,96444000,153561000,161793000,237072000,203784000,208201000,204825000,252558000,267321000,292946000,391763000,452864000,714828000,945503000,1181793000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,287800000,789300000,943300000,926410000,876625000,366535000,351110000,383116000,408683000,460874000,547067000,598492000,574948000,640020000,591066000,580754000,601822000,665750000,691594000,708903000,881120000,1062564000,1505012000,1757355000,2209114000
48,Accounts Payable,22800000,74200000,96000000,114613000,101566000,66570000,58566000,64771000,72154000,147129000,195102000,98400000,83848000,101134000,114255000,100641000,100825000,106211000,106684000,103440000,132011000,176167000,196195000,204145000,254788000
49,Short-Term Debt,900000,9100000,27900000,9066000,85000,1780000,1594000,2071000,- -,- -,375000,1336000,1167000,1267000,632000,300000,2000000,317000,751000,763000,613000,3279000,34833000,16586000,21838000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1011000,- -,- -,- -,1710000,1821000,1945000,2216000,1973000,2308000,2685000,2938000,3731000,3861000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,74957000,65908000,78984000,87572000,89242000,109900000,136219000,172424000,230796000,321114000
52,Other Current Liabilities,29900000,95900000,116200000,136396000,151648000,79303000,79139000,92926000,123006000,71031000,86216000,198649000,164015000,165809000,163084000,92689000,100705000,97125000,110384000,124236000,131204000,151393000,204545000,241377000,238814000
53,Total Current Liabilities,53600000,179200000,240100000,260075000,253299000,147653000,139299000,159768000,195160000,218160000,281693000,298385000,249030000,268210000,277971000,268587000,269438000,282637000,305391000,317681000,373728000,467058000,607997000,692904000,836554000
54,Long-Term Debt,20300000,227400000,277900000,265535000,201423000,10604000,8809000,6751000,- -,- -,1125000,9363000,6441000,28669000,14749000,7100000,- -,39500000,10500000,1955000,59926000,73639000,205318000,316309000,492943000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,1000000,1100000,4500000,- -,7698000,- -,- -,- -,- -,- -,- -,- -,9603000,18871000,4541000,7954000,9941000,10817000,1810000,2289000,2263000,1387000,1425000,1339000,1745000
57,Other Non-Current Liabilities,200000,1700000,1800000,561000,384000,3192000,2342000,- -,- -,- -,1671000,4273000,3890000,11486000,10699000,9807000,8421000,11403000,8888000,10345000,27258000,22433000,104968000,50374000,72206000
58,Total Non-Current Liabilities,21500000,230200000,284200000,266096000,209505000,13796000,11151000,6751000,- -,- -,2796000,13636000,19934000,59026000,29989000,24861000,18362000,61720000,21198000,14589000,89447000,97459000,311711000,368022000,566894000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,846000,507000,256000,- -,- -,86713000,97162000,126751000
61,Total Liabilities,75100000,409400000,524300000,526171000,462804000,161449000,150450000,166519000,195160000,218160000,284489000,312021000,268964000,327236000,307960000,293448000,287800000,344357000,326589000,332270000,463175000,564517000,919708000,1060926000,1403448000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,400000,393000,393000,393000,393000,393000,400000,407000,411000,411000,411000,411000,411000,411000,411000,411000,411000,411000,411000,411000,411000,411000,411000
64,Retained Earnings,6700000,45600000,87900000,71042000,84166000,-124914000,-130493000,-119780000,-126006000,-97282000,-64856000,-15166000,13461000,20620000,-19991000,-6528000,14768000,29384000,69390000,123984000,168269000,268904000,368685000,502810000,628774000
65,Other Comprehensive Income/Loss,-19600000,-47300000,-55400000,-59859000,-66873000,-785000,-540000,-1587000,-1135000,-35335000,-37852000,-326000,-48236000,- -,-62854000,-68670000,-74115000,-79638000,-87642000,-97136000,-108310000,-119221000,-129369000,- -,- -
66,Other Total Stockholders Equity,225600000,381600000,386100000,388663000,396135000,330392000,331300000,337571000,340264000,374924000,364875000,301552000,340348000,291753000,347025000,345192000,354770000,356124000,364562000,349374000,357575000,347953000,345577000,193208000,176481000
67,Total Stockholders Equity,212700000,379900000,419000000,400239000,413821000,205086000,200660000,216597000,213523000,242714000,262578000,286471000,305984000,312784000,264591000,270405000,295834000,306281000,346721000,376633000,417945000,498047000,585304000,696429000,805666000
68,Total Liabilities And Stockholders Equity,287800000,789300000,943300000,926410000,876625000,366535000,351110000,383116000,408683000,460874000,547067000,598492000,574948000,640020000,572551000,563853000,583634000,650638000,673310000,708903000,881120000,1062564000,1505012000,1757355000,2209114000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18515000,16901000,18188000,15112000,18284000,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,287800000,789300000,943300000,926410000,876625000,366535000,351110000,383116000,408683000,460874000,547067000,598492000,574948000,640020000,591066000,580754000,601822000,665750000,691594000,708903000,881120000,1062564000,1505012000,1757355000,2209114000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1035983/000089056699000401/0000890566-99-000401-index.html,https://www.sec.gov/Archives/edgar/data/1035983/000089056600000296/0000890566-00-000296-index.html,https://www.sec.gov/Archives/edgar/data/1035983/000095012901001677/0000950129-01-001677-index.html,https://www.sec.gov/Archives/edgar/data/1035983/000095013402001814/0000950134-02-001814-index.html,https://www.sec.gov/Archives/edgar/data/1035983/000095012903001732/0000950129-03-001732-index.html,https://www.sec.gov/Archives/edgar/data/1035983/000104746904005828/0001047469-04-005828-index.html,https://www.sec.gov/Archives/edgar/data/1035983/000110465905009133/0001104659-05-009133-index.htm,https://www.sec.gov/Archives/edgar/data/1035983/000110465906012318/0001104659-06-012318-index.htm,https://www.sec.gov/Archives/edgar/data/1035983/000110465907015093/0001104659-07-015093-index.htm,https://www.sec.gov/Archives/edgar/data/1035983/000104746908001857/0001047469-08-001857-index.htm,https://www.sec.gov/Archives/edgar/data/1035983/000104746909001904/0001047469-09-001904-index.htm,https://www.sec.gov/Archives/edgar/data/1035983/000104746910001681/0001047469-10-001681-index.htm,https://www.sec.gov/Archives/edgar/data/1035983/000104746911001639/0001047469-11-001639-index.htm,https://www.sec.gov/Archives/edgar/data/1035983/000104746912001931/0001047469-12-001931-index.htm,https://www.sec.gov/Archives/edgar/data/1035983/000104746913001962/0001047469-13-001962-index.htm,https://www.sec.gov/Archives/edgar/data/1035983/000104746914001513/0001047469-14-001513-index.htm,https://www.sec.gov/Archives/edgar/data/1035983/000104746915001294/0001047469-15-001294-index.htm,https://www.sec.gov/Archives/edgar/data/1035983/000104746916010332/0001047469-16-010332-index.htm,https://www.sec.gov/Archives/edgar/data/1035983/000155837017000882/0001558370-17-000882-index.htm,https://www.sec.gov/Archives/edgar/data/1035983/000155837018000936/0001558370-18-000936-index.htm,https://www.sec.gov/Archives/edgar/data/1035983/000155837019000857/0001558370-19-000857-index.htm,https://www.sec.gov/Archives/edgar/data/1035983/000155837020001491/0001558370-20-001491-index.htm,https://www.sec.gov/Archives/edgar/data/1035983/000155837021001828/0001558370-21-001828-index.htm,https://www.sec.gov/Archives/edgar/data/1035983/000155837022001753/0001558370-22-001753-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-2800000,35000000,42300000,-16853000,13124000,-209080000,-5579000,10713000,-6226000,28724000,32466000,49690000,34182000,14740000,-36830000,13463000,27269000,23063000,49364000,64896000,55272000,112903000,114324000,150139000,143348000
74,Depreciation and Amortization,4000000,14000000,23100000,24902000,24466000,9243000,6839000,8450000,5113000,5365000,6960000,12693000,13499000,17442000,20053000,20630000,18572000,21336000,23416000,26166000,37456000,42689000,51572000,60629000,68944000
75,Deferred Income Tax,-700000,1000000,1300000,-2590000,-1408000,3715000,809000,-367000,3336000,-887000,-729000,-3177000,3151000,-3484000,-9525000,3541000,4514000,-4579000,-414000,-1239000,4178000,4456000,-4251000,-7953000,6902000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3851000,3454000,3687000,3604000,2797000,3974000,4806000,5609000,5041000,6377000,7161000,5878000,6934000,10593000
77,Change in Working Capital,-14100000,76100000,39100000,719000,-23638000,-73841000,7898000,17323000,29278000,27986000,10705000,-22384000,17579000,-29387000,-25427000,-5345000,23593000,2996000,-11673000,-20606000,17353000,27013000,39545000,-63239000,-56954000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2913000,-12427000,-18339000,-3584000,7038000,-37799000,-68621000,-49508000,38486000,-58046000
79,Inventory,1100000,-800000,-4800000,1103000,940000,2427000,2058000,-764000,1553000,-713000,-345000,-33000,1697000,1034000,-270000,1195000,1208000,281000,956000,213000,-584000,-1538000,2366000,-1457000,-5651000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,57300000,133400000,172500000,173219000,149581000,75740000,83638000,100961000,130239000,158225000,168930000,146546000,164125000,134738000,109311000,103966000,127559000,130555000,118882000,98276000,115629000,142642000,182187000,118948000,44620000
82,Other Non-Cash Items,11900000,-131600000,-87400000,51994000,54285000,284053000,3537000,-9935000,5945000,-43454000,34240000,42178000,-17614000,29151000,77805000,-4576000,-39499000,-5070000,31565000,16930000,-6546000,-47032000,-65040000,140000000,7318000
83,Cash Provided by Operating Activities,-1700000,-5500000,18400000,58172000,66829000,14090000,13504000,26184000,37446000,17734000,83642000,82851000,54251000,32149000,29680000,30510000,38423000,42552000,97867000,91188000,114090000,147190000,142028000,286510000,180151000
84,CAPEX,-3900000,-11100000,-47500000,-18037000,-5978000,-5322000,-3406000,-4998000,-6188000,-8113000,-11088000,-14572000,-9457000,-7089000,-8666000,-11782000,-17403000,-19183000,-20808000,-23217000,-35467000,-27268000,-31750000,-24131000,-22330000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-2943000,25357000,-7309000,-41193000,-14135000,1514000,-29801000,-12492000,43000,-56314000,-6158000,-57163000,-94860000,-70140000,-194859000,-185941000,-227493000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18525000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8600000,4000000,3925000,2000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-53600000,-132000000,1000000,2650000,1975000,155911000,-457000,2522000,2362000,477000,265000,656000,770000,-41351000,717000,1106000,1107000,1355000,1338000,1062000,1359000,1698000,2159000,2270000,3101000
89,Cash Used for Investing Activites,-57500000,-143100000,-46500000,-15387000,-4003000,150589000,-3863000,-2476000,-6769000,17721000,-18132000,-65034000,-18822000,-43001000,-35750000,-23168000,-16253000,-74142000,-25628000,-79318000,-128968000,-95710000,-224450000,-207802000,-246722000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11093000,-6341000,-18645000,-14387000,-7349000,-5400000,-92115000,-53443000,-154843000,-133091000,-120127000,-231784000,-287534000,-159501000
91,Common Stock Issued,79900000,16700000,2300000,1522000,833000,696000,914000,1262000,2561000,2425000,1303000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-12900000,-1224000,- -,- -,- -,- -,- -,- -,-11544000,-26054000,-13043000,-5690000,-7256000,-2860000,-1832000,-7974000,-8330000,-13088000,-9007000,-28533000,-19550000,-30120000,-27054000
93,Dividends Paid,-1600000,-1000000,- -,- -,- -,- -,- -,- -,-999000,-5674000,-6125000,-7134000,-7271000,-7530000,-7520000,-7498000,-7875000,-8444000,-9358000,-10264000,-10987000,-12268000,-14543000,-15499000,-17384000
94,Other Financing Activites,-10600000,121800000,35300000,-30726000,-69055000,-169896000,-6523000,-2530000,-9222000,2487000,201000,3848000,2061000,1213000,124000,-115000,4234000,120133000,23292000,141935000,172431000,118526000,353467000,258553000,274390000
95,Cash Used/Provided by Financing Activities,67700000,137500000,24700000,-30428000,-68222000,-169200000,-5609000,-1268000,-7660000,-762000,-16165000,-40433000,-24594000,-30652000,-29039000,-17822000,-10873000,11600000,-47839000,-36260000,19346000,-42402000,87590000,-74600000,70451000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,67700000,137500000,-3300000,12357000,-5396000,-4521000,4032000,22440000,23017000,34693000,49345000,-22616000,10835000,-41504000,-35109000,-10480000,11297000,-19990000,24400000,-24390000,4468000,9078000,5168000,4108000,3880000
98,Cash at the End of Period,- -,- -,3700000,16021000,10625000,6104000,10136000,32576000,55593000,90286000,139631000,117015000,127850000,86346000,51237000,40757000,52054000,32064000,56464000,32074000,36542000,45620000,50788000,54896000,58776000
99,Cash at the Beginning of Period,6100000,18100000,7000000,3664000,16021000,10625000,6104000,10136000,32576000,55593000,90286000,139631000,117015000,127850000,86346000,51237000,40757000,52054000,32064000,56464000,32074000,36542000,45620000,50788000,54896000
100,Free Cash Flow,-5600000,-16600000,-29100000,40135000,60851000,8768000,10098000,21186000,31258000,9621000,72554000,68279000,44794000,25060000,21014000,18728000,21020000,23369000,77059000,67971000,78623000,119922000,110278000,262379000,157821000
