,https://roic.ai/company/INVE,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,-0.0093,0.0755,0.0671,0.1343,0.0274,-0.3039,-0.1719,-0.5377,-0.3179,-0.2154,0.0640,-0.0403,-0.3195,-0.3432,-0.0609,-0.0522,-0.5285,-0.3792,-0.1362,-0.5571,-0.1427,-0.0500,0.0017,0.0439,-0.0030,0.0100
17,Operating Income,-1000000,700000,3300000,9900000,-8480000,-70810000,-32378000,-11536000,-18726000,-12349000,-8742000,-4472000,-7597000,-13456000,-9878000,-10226000,-58972000,-23315000,-13440000,-35879000,-11220000,-4630000,-1865000,-109000,-3448000,-1347000
18,Operating Income ratio,-0.0465,0.0252,0.0388,0.0778,-0.0537,-0.3829,-0.1822,-0.1735,-0.3815,-0.2535,-0.2601,-0.1469,-0.2679,-0.3257,-0.1164,-0.0996,-0.6234,-0.3084,-0.1654,-0.5902,-0.1998,-0.0769,-0.0239,-0.0013,-0.0397,-13.4700
19,Total Other Income Expenses (Gains),200000,700000,-5500000,4000000,2739000,-4465000,-2916000,1276000,-394000,2553000,825000,1293000,-2137000,-2655000,-835000,-1185000,-1420000,-1459000,-4889000,-3119000,-2351000,-3736000,-2683000,-716000,-1584000,1349000
20,Income Before Tax,- -,1400000,-2200000,13900000,-5741000,-75275000,-35294000,-10260000,-19120000,-9796000,-7917000,-3179000,-9734000,-16111000,-10713000,-11411000,-60392000,-24774000,-18329000,-38998000,-13571000,-8366000,-4548000,-825000,-5032000,2000
21,Income Before Tax Ratio,- -,0.0504,-0.0259,0.1092,-0.0364,-0.4070,-0.1986,-0.1543,-0.3895,-0.2011,-0.2355,-0.1045,-0.3432,-0.3900,-0.1263,-0.1111,-0.6384,-0.3277,-0.2256,-0.6415,-0.2416,-0.1389,-0.0582,-0.0099,-0.0579,0.0200
22,Income Tax expense (Gain),- -,300000,2800000,4800000,-1032000,-6699000,13780000,-1442000,-178000,-33000,73000,113000,752000,-1549000,-345000,-1441000,-6824000,47000,95000,222000,132000,-214000,155000,326000,73000,- -
23,Net Income,-1100000,1100000,-5000000,9100000,-4709000,-68347000,-49074000,-38176000,-18663000,-12435000,1042000,-1921000,-10110000,-14179000,-9518000,-9502000,-50336000,-34865000,-17794000,-39144000,-13695000,-8138000,-4708000,-1151000,-5105000,2000
24,Net Income ratio,-0.0512,0.0396,-0.0588,0.0715,-0.0298,-0.3696,-0.2762,-0.5742,-0.3802,-0.2552,0.0310,-0.0631,-0.3565,-0.3432,-0.1122,-0.0925,-0.5321,-0.4611,-0.2190,-0.6439,-0.2438,-0.1351,-0.0602,-0.0137,-0.0587,0.0200
25,EPS,-10.90,0.80,-3.80,6.50,-3.20,-44.60,-31.50,-24.90,-12.10,-8.00,0.70,-1.20,-6.40,-6.40,-2.20,-1.80,-8.40,-5.30,-2.06,-3.62,-1.25,-0.61,-0.30,-0.13,-0.34,0.00
26,EPS Diluted,-10.90,0.60,-3.80,6.00,-3.20,-44.60,-31.50,-24.90,-12.10,-8.00,0.70,-1.20,-6.40,-6.40,-2.20,-1.80,-8.40,-5.30,-2.06,-3.62,-1.25,-0.61,-0.30,-0.13,-0.34,0.00
27,Weighted Average Shares Outstanding,100917,381900,1325300,1408200,1464100,1531900,1559700,1531700,1540200,1553200,1563800,1572500,1574300,2201300,4272200,5374800,5962300,6632700,8648000,10812000,10916000,13273000,15654000,16984000,17978000,22448000
28,Weighted Average Shares Outstanding Diluted,100917,501500,1325300,1508600,1464100,1531900,1559700,1533400,1559500,1553200,1564600,1572500,1574300,2201300,4272200,5374800,5962300,6632700,8648000,10812000,10916000,13273000,15654000,16984000,17978000,29330000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1036044/000089161801000268/0000891618-01-000268-index.html,https://www.sec.gov/Archives/edgar/data/1036044/000089161802001432/0000891618-02-001432-index.htm,https://www.sec.gov/Archives/edgar/data/1036044/000089161803001451/0000891618-03-001451-index.htm,https://www.sec.gov/Archives/edgar/data/1036044/000089161804000703/0000891618-04-000703-index.htm,https://www.sec.gov/Archives/edgar/data/1036044/000095013405006573/0000950134-05-006573-index.htm,https://www.sec.gov/Archives/edgar/data/1036044/000095013406005414/0000950134-06-005414-index.htm,https://www.sec.gov/Archives/edgar/data/1036044/000095013407006187/0000950134-07-006187-index.htm,https://www.sec.gov/Archives/edgar/data/1036044/000095013408004956/0000950134-08-004956-index.htm,https://www.sec.gov/Archives/edgar/data/1036044/000095013409006515/0000950134-09-006515-index.htm,https://www.sec.gov/Archives/edgar/data/1036044/000119312510049767/0001193125-10-049767-index.htm,https://www.sec.gov/Archives/edgar/data/1036044/000119312511057765/0001193125-11-057765-index.htm,https://www.sec.gov/Archives/edgar/data/1036044/000119312512139749/0001193125-12-139749-index.htm,https://www.sec.gov/Archives/edgar/data/1036044/000119312513115182/0001193125-13-115182-index.htm,https://www.sec.gov/Archives/edgar/data/1036044/000156459014001232/0001564590-14-001232-index.htm,https://www.sec.gov/Archives/edgar/data/1036044/000156459015001898/0001564590-15-001898-index.htm,https://www.sec.gov/Archives/edgar/data/1036044/000156459016015693/0001564590-16-015693-index.htm,https://www.sec.gov/Archives/edgar/data/1036044/000156459017005365/0001564590-17-005365-index.htm,https://www.sec.gov/Archives/edgar/data/1036044/000156459018007026/0001564590-18-007026-index.htm,https://www.sec.gov/Archives/edgar/data/1036044/000156459019008048/0001564590-19-008048-index.htm,https://www.sec.gov/Archives/edgar/data/1036044/000156459020011497/0001564590-20-011497-index.htm,https://www.sec.gov/Archives/edgar/data/1036044/000156459021012914/0001564590-21-012914-index.htm,https://www.sec.gov/Archives/edgar/data/1036044/000156459022009897/0001564590-22-009897-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,25600000,47100000,45700000,33699000,59421000,50133000,49382000,31181000,13660000,32103000,18600000,20550000,4836000,10799000,17239000,7378000,5095000,36547000,16667000,9116000,19052000,10866000,9383000,11409000,28553000
32,Short-Term Investments,- -,- -,- -,- -,33227000,- -,5384000,5656000,14972000,18780000,4799000,13844000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,25600000,47100000,45700000,66926000,59421000,55517000,55038000,46153000,32440000,36902000,32444000,20550000,4836000,10799000,17239000,7378000,5095000,36547000,16667000,9116000,19052000,10866000,9383000,11409000,28553000
34,Net Receivables,- -,6600000,25500000,32200000,54913000,44368000,31254000,15409000,8700000,6904000,6583000,8638000,8665000,7013000,15357000,13748000,17261000,13289000,13612000,7915000,9430000,12282000,14952000,18363000,18927000,19963000
35,Inventory,- -,3400000,12200000,15900000,36799000,32690000,39114000,9108000,8319000,6005000,1927000,2738000,5065000,5379000,10584000,9263000,8892000,9098000,9254000,14726000,11596000,11126000,13631000,16145000,20296000,19924000
36,Other Current Assets,- -,30600000,86700000,88600000,5492000,8174000,6629000,3878000,2336000,2038000,2489000,1455000,1139000,1647000,2088000,2256000,3659000,5347000,2202000,1966000,1510000,1779000,2743000,2292000,2813000,4286000
37,Total Current Assets,- -,66200000,171500000,182400000,164130000,144653000,132514000,83433000,65508000,47387000,47901000,45275000,35419000,18875000,38828000,42506000,37190000,32829000,61615000,41274000,31652000,44239000,42192000,46183000,53445000,72726000
38,PP&E,- -,1200000,4100000,6400000,10476000,10464000,9124000,6321000,4597000,3050000,1457000,1522000,1236000,683000,5373000,6699000,8892000,5888000,5311000,4218000,2416000,2043000,2624000,6671000,6232000,6154000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21895000,47126000,58404000,45270000,8991000,8853000,- -,- -,- -,9286000,10238000,10266000,10268000
40,Intangible Assets,- -,- -,4800000,8000000,64129000,17331000,4317000,3076000,1740000,879000,272000,- -,307000,22082000,33865000,36001000,11882000,10184000,8730000,7275000,5820000,4365000,10980000,10104000,7563000,6445000
41,Intangible Assets,- -,- -,4800000,8000000,64129000,17331000,4317000,3076000,1740000,879000,272000,- -,307000,43977000,80991000,94405000,57152000,19175000,17583000,7275000,5820000,4365000,20266000,20342000,17829000,16713000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,11252000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,2900000,14200000,13660000,1888000,2662000,3612000,1462000,1418000,1725000,1767000,2176000,1036000,793000,501000,1671000,867000,1371000,1129000,712000,715000,1224000,1122000,1171000,1070000
45,Total Non-Current Assets,- -,1200000,11800000,28600000,88265000,40935000,16103000,13009000,7799000,5347000,3454000,3289000,5719000,45696000,87157000,101605000,67715000,25930000,24265000,12622000,8948000,7123000,24114000,28135000,25232000,23937000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,67400000,183300000,211000000,252395000,185588000,148617000,96442000,73307000,52734000,51355000,48564000,41138000,64571000,125985000,144111000,104905000,58759000,85880000,53896000,40600000,51362000,66306000,74318000,78677000,96663000
48,Accounts Payable,- -,4300000,15000000,17700000,27167000,28252000,23984000,7571000,4790000,5700000,4572000,3063000,3555000,5530000,12833000,11941000,12926000,9353000,8372000,6280000,6024000,5863000,5654000,8799000,10964000,10502000
49,Short-Term Debt,- -,- -,- -,1500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1027000,1670000,884000,3559000,2971000,- -,- -,8119000,9829000,2000000,1814000,21363000,1269000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,411000,188000,44000,428000,- -,- -,275000,282000,334000,19000,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1244000,2085000,2843000,729000,1143000,2196000,1871000,1978000,4716000,3641000,3021000,2153000
52,Other Current Liabilities,- -,1600000,9500000,12700000,13218000,15031000,24533000,25092000,21557000,14316000,11362000,8185000,7933000,8204000,13776000,10852000,17990000,11325000,10120000,7740000,6552000,3535000,17108000,20221000,6225000,6924000
53,Total Current Liabilities,- -,5900000,24500000,31900000,40385000,43283000,48517000,32663000,26347000,20016000,15934000,11248000,11488000,14761000,29523000,25762000,37318000,24378000,19635000,16216000,22566000,21205000,29478000,34475000,41573000,20848000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8355000,1790000,1189000,8176000,3051000,13938000,18104000,- -,- -,- -,- -,- -,938000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5545000,4878000,3987000,2998000,2496000,1000000,385000,280000
56,Deferred Tax Liabilities,- -,- -,- -,3200000,1214000,434000,- -,355000,131000,101000,103000,77000,1340000,3515000,6795000,6094000,120000,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,184000,- -,8073000,13595000,9701000,6586000,630000,508000,10114000,3306000,632000,3377000,2530000,85000
58,Total Non-Current Liabilities,- -,- -,- -,3200000,1214000,434000,- -,355000,131000,101000,103000,277000,1524000,11870000,16658000,20878000,17997000,9637000,20113000,23490000,14101000,6304000,3128000,4377000,2915000,1303000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9829000,- -,4827000,3551000,- -
61,Total Liabilities,- -,5900000,24500000,35100000,41599000,43717000,48517000,33018000,26478000,20117000,16037000,11525000,13012000,26631000,46181000,46640000,55315000,34015000,39748000,39706000,36667000,27509000,32606000,38852000,44488000,22151000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000,5000,5000,5000,- -
63,Common Stock,- -,- -,- -,- -,15000,16000,16000,15000,15000,16000,16000,16000,16000,26000,48000,58000,61000,75000,11000,11000,11000,15000,17000,18000,19000,24000
64,Retained Earnings,- -,-7700000,-11200000,-1500000,-6061000,-74408000,-123482000,-161658000,-180321000,-192756000,-191714000,-192089000,-202199000,-216378000,-225896000,-235398000,-286011000,-320876000,-338670000,-377814000,-391509000,-399647000,-404353000,-405504000,- -,-408989000
65,Other Comprehensive Income/Loss,- -,-700000,-3500000,-4700000,-7580000,-9603000,-1368000,1262000,2514000,458000,1213000,2475000,3298000,3159000,323000,2038000,1379000,1227000,1699000,2229000,2053000,2675000,2209000,2025000,2578000,1949000
66,Other Total Stockholders Equity,- -,69900000,173500000,182100000,224422000,225866000,224934000,223805000,224621000,224899000,225803000,226637000,227011000,251133000,303426000,328981000,335034000,346068000,384829000,389920000,393558000,420985000,435992000,438922000,31587000,481528000
67,Total Stockholders Equity,- -,61500000,158800000,175900000,210796000,141871000,100100000,63424000,46829000,32617000,35318000,37039000,28126000,37940000,77901000,95679000,50463000,26494000,47869000,14346000,4113000,24031000,33870000,35466000,34189000,74512000
68,Total Liabilities And Stockholders Equity,- -,67400000,183300000,211000000,252395000,185588000,148617000,96442000,73307000,52734000,51355000,48564000,41138000,64571000,124082000,142319000,105778000,60509000,87617000,54052000,40780000,51540000,66476000,74318000,78677000,96663000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1903000,1792000,-873000,-1750000,-1737000,-156000,-180000,-178000,-170000,- -,- -,- -
70,Total Liabilities & Equity,- -,67400000,183300000,211000000,252395000,185588000,148617000,96442000,73307000,52734000,51355000,48564000,41138000,64571000,125985000,144111000,104905000,58759000,85880000,53896000,40600000,51362000,66306000,74318000,78677000,96663000
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1036044/000089161801000268/0000891618-01-000268-index.html,https://www.sec.gov/Archives/edgar/data/1036044/000089161802001432/0000891618-02-001432-index.htm,https://www.sec.gov/Archives/edgar/data/1036044/000089161803001451/0000891618-03-001451-index.htm,https://www.sec.gov/Archives/edgar/data/1036044/000089161804000703/0000891618-04-000703-index.htm,https://www.sec.gov/Archives/edgar/data/1036044/000095013405006573/0000950134-05-006573-index.htm,https://www.sec.gov/Archives/edgar/data/1036044/000095013406005414/0000950134-06-005414-index.htm,https://www.sec.gov/Archives/edgar/data/1036044/000095013407006187/0000950134-07-006187-index.htm,https://www.sec.gov/Archives/edgar/data/1036044/000095013408004956/0000950134-08-004956-index.htm,https://www.sec.gov/Archives/edgar/data/1036044/000095013409006515/0000950134-09-006515-index.htm,https://www.sec.gov/Archives/edgar/data/1036044/000119312510049767/0001193125-10-049767-index.htm,https://www.sec.gov/Archives/edgar/data/1036044/000119312511057765/0001193125-11-057765-index.htm,https://www.sec.gov/Archives/edgar/data/1036044/000119312512139749/0001193125-12-139749-index.htm,https://www.sec.gov/Archives/edgar/data/1036044/000119312513115182/0001193125-13-115182-index.htm,https://www.sec.gov/Archives/edgar/data/1036044/000156459014001232/0001564590-14-001232-index.htm,https://www.sec.gov/Archives/edgar/data/1036044/000156459015001898/0001564590-15-001898-index.htm,https://www.sec.gov/Archives/edgar/data/1036044/000156459016015693/0001564590-16-015693-index.htm,https://www.sec.gov/Archives/edgar/data/1036044/000156459017005365/0001564590-17-005365-index.htm,https://www.sec.gov/Archives/edgar/data/1036044/000156459018007026/0001564590-18-007026-index.htm,https://www.sec.gov/Archives/edgar/data/1036044/000156459019008048/0001564590-19-008048-index.htm,https://www.sec.gov/Archives/edgar/data/1036044/000156459020011497/0001564590-20-011497-index.htm,https://www.sec.gov/Archives/edgar/data/1036044/000156459021012914/0001564590-21-012914-index.htm,https://www.sec.gov/Archives/edgar/data/1036044/000156459022009897/0001564590-22-009897-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-1100000,1100000,-5000000,9100000,-4709000,-68347000,-49074000,-38176000,-18663000,-12435000,1042000,-1921000,-10110000,-14179000,-9518000,-9502000,-50336000,-34865000,-17794000,-39144000,-13695000,-8138000,-4708000,-1151000,-5105000,2000
74,Depreciation and Amortization,600000,700000,7900000,3200000,10059000,18853000,4753000,3867000,3236000,1974000,1036000,580000,297000,1061000,4696000,5581000,5563000,3981000,3015000,3148000,3170000,2752000,3167000,3583000,3313000,- -
75,Deferred Income Tax,- -,- -,-1200000,-1100000,-983000,-7976000,- -,315000,-224000,-30000,2000,-26000,364000,-2056000,-204000,-2098000,-6716000,-120000,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,355000,347000,2573000,1227000,1208000,1465000,2227000,4667000,2842000,2480000,2646000,2650000,3027000,- -
77,Change in Working Capital,-1200000,60300000,86700000,3500000,-26755000,-22375000,-17373000,-33227000,-11609000,-11790000,4596000,2060000,-10096000,-19817000,5191000,7439000,-16872000,8579000,33529000,-16922000,-15972000,13948000,-10320000,-1006000,164000,40006000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-327000,4855000,-4400000,2140000,-3135000,1024000,-1472000,5450000,-1437000,-2786000,-68000,-2754000,-591000,- -
79,Inventory,-100000,-1300000,-5100000,-2300000,-18282000,2676000,-4355000,6063000,1352000,2103000,398000,-731000,-2475000,1483000,-2053000,1923000,484000,-1804000,-710000,-5858000,3285000,484000,-959000,-2278000,-4105000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,724000,25000,3307000,-2112000,-433000,1354000,115000,-1890000,-191000,-222000,-1819000,2756000,2455000,- -
81,Other Working Capital,- -,60300000,147000000,150500000,123745000,101370000,83997000,50770000,39161000,27371000,31967000,34027000,23931000,4114000,9305000,16744000,-128000,8451000,41980000,25058000,9086000,23034000,12714000,11708000,11872000,51878000
82,Other Non-Cash Items,- -,-60900000,-88900000,-12700000,472000,80928000,60169000,69510000,16088000,9468000,-6497000,-6137000,7978000,28715000,-12037000,-7292000,54973000,18532000,-32710000,25248000,17438000,-18874000,4019000,-3649000,-3165000,-40008000
83,Cash Provided by Operating Activities,-1700000,1200000,-500000,2000000,-21916000,1083000,-1525000,2289000,-11172000,-12813000,179000,-5444000,-11212000,-5929000,-9299000,-4645000,-12180000,-2428000,-11733000,-23003000,-6217000,-7832000,-5196000,427000,-1766000,- -
84,CAPEX,-600000,-800000,-12900000,-4400000,-6971000,-4676000,-1570000,-1185000,-362000,-76000,-73000,-222000,-694000,-727000,-758000,-1728000,-3241000,-2074000,-1311000,-341000,-549000,-967000,-1346000,-289000,-1564000,- -
85,Acquisitions Net,- -,- -,- -,- -,-31420000,-2203000,-4157000,- -,- -,- -,- -,- -,- -,-10892000,3881000,-5154000,572000,-2289000,1395000,- -,- -,- -,-2027000,-1287000,- -,- -
86,Purchases of Investments,- -,-30300000,-114200000,-76900000,-91827000,-28499000,-5586000,-5506000,-14385000,-15851000,-2878000,-28647000,-2500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-50000,- -,- -
87,Sales/Maturities of Investments,- -,- -,61800000,79700000,135253000,60697000,1305000,4605000,4849000,12055000,16918000,19587000,13873000,- -,1015000,- -,- -,- -,- -,- -,- -,- -,- -,142000,- -,- -
88,Other Investing Activites,- -,- -,-2500000,-5200000,496000,590000,42000,-227000,32000,383000,3495000,22000,877000,1360000,-758000,-1728000,-3241000,-2074000,-1311000,-341000,-549000,-967000,-1346000,-289000,-1564000,- -
89,Cash Used for Investing Activites,-600000,-31100000,-67800000,-6800000,5531000,25909000,-9966000,-2313000,-9866000,-3489000,17462000,-9260000,12250000,-9532000,4138000,-6882000,-2669000,-4363000,84000,-341000,-549000,-967000,-3373000,-1484000,-1564000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-53000,-1707000,-2106000,-254000,- -,- -,- -,-58741000,-28214000,-5610000,-9047000,- -
91,Common Stock Issued,- -,56900000,90100000,3600000,10659000,857000,1289000,1050000,784000,279000,262000,109000,18000,- -,- -,19345000,- -,- -,- -,- -,- -,12560000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-674000,-2104000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1795000,-1915000,-221000,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-289000
94,Other Financing Activites,4500000,-3300000,-800000,- -,-4508000,- -,- -,- -,- -,- -,- -,- -,- -,- -,11630000,- -,6962000,5956000,43704000,4046000,- -,64258000,29022000,5383000,13900000,- -
95,Cash Used/Provided by Financing Activities,4500000,53600000,89300000,3600000,6151000,857000,615000,-1054000,784000,279000,262000,109000,18000,- -,11577000,17638000,4856000,5702000,41909000,2131000,-221000,18077000,808000,-227000,4853000,- -
96,Effect of Forex Changes on Cash,-300000,-700000,300000,-300000,-1729000,-2127000,1588000,327000,2053000,-1498000,540000,1092000,894000,-253000,-453000,329000,132000,-1176000,1176000,1333000,-564000,658000,-425000,-199000,503000,- -
97,Net Change In Cash,4500000,53600000,89300000,-1500000,-11963000,25722000,-9288000,-751000,-18201000,-17521000,18443000,-13503000,1950000,-15714000,5963000,6440000,-9861000,-1014000,31452000,-19880000,-7551000,9936000,-8186000,-1483000,2026000,- -
98,Cash at the End of Period,- -,- -,- -,45700000,33699000,59421000,50133000,49382000,31181000,13660000,32103000,18600000,20550000,4836000,10799000,17239000,7378000,5095000,36547000,16667000,9116000,19052000,10866000,9383000,11409000,- -
99,Cash at the Beginning of Period,700000,2600000,25700000,47200000,45662000,33699000,59421000,50133000,49382000,31181000,13660000,32103000,18600000,20550000,4836000,10799000,17239000,6109000,5095000,36547000,16667000,9116000,19052000,10866000,9383000,11409000
100,Free Cash Flow,-2300000,400000,-13400000,-2400000,-28887000,-3593000,-3095000,1104000,-11534000,-12889000,106000,-5666000,-11906000,-6656000,-10057000,-6373000,-15421000,-4502000,-13044000,-23344000,-6766000,-8799000,-6542000,138000,-3330000,- -
