,https://roic.ai/company/CEQP,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
53,Total Current Liabilities,- -,- -,- -,39236000,62221000,64732000,137790000,294903000,308249000,310800000,449100000,257200000,232400000,309800000,239000000,596100000,424900000,258200000,337300000,505100000,332100000,357800000,377800000,- -
54,Long-Term Debt,- -,- -,- -,43663000,105095000,118678000,113986000,541800000,642804000,684700000,1046100000,1071300000,1661100000,1845600000,739800000,2260900000,2392800000,2542700000,1522700000,1491300000,1752400000,2328300000,2512300000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,144700000,172200000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20200000,20600000,17200000,12000000,8400000,5300000,3300000,2600000,2600000,2700000,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,1647000,11830000,7700000,1000000,900000,14300000,19300000,23400000,140400000,47200000,47500000,44600000,104700000,173600000,156900000,90600000,- -
58,Total Non-Current Liabilities,- -,- -,- -,43663000,105095000,118678000,113986000,543447000,654634000,692400000,1047100000,1072200000,1675400000,1885100000,783800000,2418500000,2452000000,2598600000,1572600000,1599300000,1928600000,2632500000,2777800000,- -
59,Other Liabilities,10230000,38896000,68924000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2911000000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2600000,1900000,1600000,1300000,1000000,2400000,62800000,46100000,- -
61,Total Liabilities,10230000,38896000,68924000,82899000,167316000,183410000,251776000,838350000,962883000,1003200000,1496200000,1329400000,1907800000,2194900000,1022800000,3014600000,2876900000,2856800000,1909900000,2104400000,2260700000,2990300000,3155600000,2911000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,175869000,224600000,623861000,648773000,739500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,-5812000,-13352000,3114000,27443000,40033000,27379000,1700000,200000,-327900000,-445100000,-588000000,-450200000,- -,-380100000,-436900000,-457800000,-464400000,-568400000,-703400000,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,78566000,134268000,- -,- -,- -,- -,- -,886100000,1131600000,1634400000,1734000000,1635000000,- -,5964600000,3383800000,2996800000,2644900000,2602200000,3062400000,- -,- -
67,Total Stockholders Equity,- -,- -,- -,72754000,120916000,178983000,252043000,663894000,676152000,741200000,637800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-431600000,1099600000
68,Total Liabilities And Stockholders Equity,10230000,38896000,68924000,155653000,288232000,362393000,503819000,1502244000,1639035000,1744400000,2134000000,2133100000,3097100000,3340900000,2207600000,3014600000,8461400000,5803700000,4448900000,4284900000,4294500000,5349300000,2724000000,4010600000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3600000,- -,- -,- -,- -,5508600000,- -,- -,- -,- -,- -,- -,2519700000,434400000
70,Total Liabilities & Equity,10230000,38896000,68924000,155653000,288232000,362393000,503819000,1502244000,1639035000,1744400000,2137600000,2133100000,3097100000,3340900000,2207600000,8523200000,8461400000,5803700000,4448900000,4284900000,4294500000,5349300000,5243700000,4445000000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1136352/000095013102005008/0000950131-02-005008-index.html,https://www.sec.gov/Archives/edgar/data/1136352/000119312503098956/0001193125-03-098956-index.html,https://www.sec.gov/Archives/edgar/data/1136352/000119312504208799/0001193125-04-208799-index.html,https://www.sec.gov/Archives/edgar/data/1136352/000119312505240951/d10k.htm,https://www.sec.gov/Archives/edgar/data/1136352/000119312506247923/d10k.htm,https://www.sec.gov/Archives/edgar/data/1136352/000119312507255946/0001193125-07-255946-index.html,https://www.sec.gov/Archives/edgar/data/1136352/000119312508245905/0001193125-08-245905-index.html,https://www.sec.gov/Archives/edgar/data/1136352/000119312509243949/0001193125-09-243949-index.html,https://www.sec.gov/Archives/edgar/data/1136352/000119312510270033/0001193125-10-270033-index.html,https://www.sec.gov/Archives/edgar/data/1136352/000119312511313155/0001193125-11-313155-index.html,https://www.sec.gov/Archives/edgar/data/1136352/000144530512003720/0001445305-12-003720-index.html,- -,https://www.sec.gov/Archives/edgar/data/1136352/000113635215000003/ceqp-10k2014.htm,https://www.sec.gov/Archives/edgar/data/1136352/000113635216000018/0001136352-16-000018-index.html,https://www.sec.gov/Archives/edgar/data/1136352/000113635217000003/crestwood-10k2016.htm,https://www.sec.gov/Archives/edgar/data/1136352/000113635218000004/crestwood-10k2017.htm,https://www.sec.gov/Archives/edgar/data/1136352/000113635219000003/crestwood-10k2018.htm,https://www.sec.gov/Archives/edgar/data/1304464/000113635220000003/0001136352-20-000003-index.html,https://www.sec.gov/Archives/edgar/data/1136352/000113635221000003/0001136352-21-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1136352/000113635222000003/0001136352-22-000003-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-35000,-185000,- -,4300000,8300000,13500000,-4600000,38600000,9800000,102600000,35500000,57100000,61800000,17600000,554900000,6700000,56400000,-1666900000,-216300000,-191900000,50800000,285100000,-56100000,-78500000
74,Depreciation and Amortization,394000,690000,- -,6956000,12697000,15349000,22775000,52189000,78954000,85800000,100300000,115800000,161800000,191800000,169600000,167900000,285300000,300100000,229600000,191700000,168700000,195800000,237400000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-500000,400000,-2800000,-5200000,-3600000,-3100000,-2100000,-700000,- -,100000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3100000,4800000,5800000,12900000,17400000,21300000,19700000,19200000,25500000,28500000,47000000,30700000,- -
77,Change in Working Capital,- -,10809000,- -,-24515000,10111000,1426000,-10401000,14070000,-25553000,463000,-64800000,66600000,793000000,-665000000,-78100000,-113600000,187300000,-35600000,-41500000,-10700000,21800000,-28600000,9500000,-22100000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41400000,1900000,-59900000,-1300000,-39900000,60400000,119700000,-76900000,-170700000,167800000,42900000,-27500000,- -
79,Inventory,- -,- -,- -,-6154000,-24636000,7038000,-19048000,-34669000,28392000,8400000,8200000,3900000,-33400000,-75400000,85700000,-23600000,26900000,2000000,-22500000,-9900000,-24100000,10900000,-33700000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-44700000,15500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,11390000,22199000,- -,-2316000,7795000,9221000,-1180000,12890000,-12663000,-12200000,-77000000,-10400000,782600000,117600000,39500000,-74100000,113200000,77600000,36100000,25400000,47200000,18600000,28100000,6000000
82,Other Non-Cash Items,3000,-12088000,- -,17918000,-23329000,4153000,24382000,-17190000,41271000,-20963000,112800000,-3200000,-846100000,564700000,-420700000,112700000,-262100000,1827000000,358200000,243400000,-15500000,-78900000,186500000,100600000
83,Cash Provided by Operating Activities,362000,-774000,- -,4659000,7779000,34428000,32156000,87669000,104472000,167900000,183800000,239400000,175300000,114400000,239000000,188300000,283000000,440700000,346100000,255900000,253600000,420400000,408100000,- -
84,CAPEX,- -,- -,- -,-4758000,-6385000,-6230000,-14521000,-34122000,-34509000,-100900000,-200100000,-224800000,-92300000,-180600000,-268700000,-347000000,-424000000,-182700000,-100700000,-188400000,-305500000,-455500000,-168300000,- -
85,Acquisitions Net,- -,- -,- -,-56263000,-84759000,-25941000,-85154000,-810053000,-187214000,-99600000,-215100000,-12100000,-253000000,-824500000,-32500000,-707100000,-61700000,-42000000,-19600000,-58000000,-64400000,-523400000,-171700000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-727000,-13130000,- -,-3004000,-2873000,-2317000,1371000,3520000,10798000,12700000,28500000,6300000,-581100000,614500000,-49400000,11200000,2700000,12000000,987500000,285100000,128700000,35200000,66700000,507000000
89,Cash Used for Investing Activites,-727000,-13130000,- -,-64025000,-94017000,-34488000,-98304000,-840655000,-210925000,-187800000,-386700000,-230600000,-926400000,-390600000,-350600000,-1042900000,-483000000,-212700000,867200000,38700000,-241200000,-943700000,-273300000,507000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-905600000,-992500000,-1824100000,-1825000000,-1971900000,-2699200000,-4115200000,-2538200000,-2916600000,-2017300000,-1733000000,-978900000,- -
91,Common Stock Issued,- -,- -,- -,34310000,35350000,23339000,113219000,435554000,131441000,108400000,1300000,201200000,602700000,309300000,292400000,714000000,- -,- -,- -,15200000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-33000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2200000,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,-2554000,-16197000,-25217000,-37372000,-67811000,-107605000,-136800000,-158900000,-187200000,-245500000,-260100000,-267900000,-68400000,-102500000,-171500000,-219800000,-182600000,-230900000,-232500000,-242800000,- -
94,Other Financing Activites,336000,14056000,- -,28441000,67002000,3369000,-10989000,392419000,85160000,44000000,370100000,877100000,1519100000,1918200000,1902800000,2186000000,3005300000,4050400000,1545800000,2789100000,2251700000,2497300000,1075200000,-502000000
95,Cash Used/Provided by Financing Activities,336000,14056000,- -,60164000,86155000,1491000,64858000,760162000,108996000,15600000,212500000,-14500000,883800000,143300000,100100000,859700000,203600000,-236300000,-1212200000,-294900000,3500000,531800000,-146500000,-502000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,9000,18000,68000,1000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,798000,-83000,1440000,-1272000,7244000,2544000,-4300000,9600000,-5700000,132700000,-132900000,- -,5100000,3600000,-8300000,1100000,-300000,15900000,8500000,-11700000,- -
98,Cash at the End of Period,- -,- -,- -,2171000,2088000,3528000,2256000,9500000,12044000,7700000,17300000,11600000,144300000,11500000,- -,5200000,8800000,500000,1600000,1300000,17200000,25700000,14000000,- -
99,Cash at the Beginning of Period,- -,- -,- -,1373000,2171000,2088000,3528000,2256000,9500000,12000000,7700000,17300000,11600000,144400000,11500000,100000,5200000,8800000,500000,1600000,1300000,17200000,25700000,- -
100,Free Cash Flow,362000,-774000,- -,-99000,1394000,28198000,17635000,53547000,69963000,67000000,-16300000,14600000,83000000,-66200000,-29700000,-158700000,-141000000,258000000,245400000,67500000,-51900000,-35100000,239800000,- -
101,SEC Link,- -,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/1136352/000095013102005008/0000950131-02-005008-index.html,https://www.sec.gov/Archives/edgar/data/1136352/000119312503098956/0001193125-03-098956-index.html,https://www.sec.gov/Archives/edgar/data/1136352/000119312504208799/0001193125-04-208799-index.html,https://www.sec.gov/Archives/edgar/data/1136352/000119312505240951/d10k.htm,https://www.sec.gov/Archives/edgar/data/1136352/000119312506247923/d10k.htm,https://www.sec.gov/Archives/edgar/data/1136352/000119312507255946/0001193125-07-255946-index.html,https://www.sec.gov/Archives/edgar/data/1136352/000119312508245905/0001193125-08-245905-index.html,https://www.sec.gov/Archives/edgar/data/1136352/000119312509243949/0001193125-09-243949-index.html,https://www.sec.gov/Archives/edgar/data/1136352/000119312510270033/0001193125-10-270033-index.html,https://www.sec.gov/Archives/edgar/data/1136352/000119312511313155/0001193125-11-313155-index.html,https://www.sec.gov/Archives/edgar/data/1136352/000144530512003720/0001445305-12-003720-index.html,- -,https://www.sec.gov/Archives/edgar/data/1136352/000113635215000003/ceqp-10k2014.htm,https://www.sec.gov/Archives/edgar/data/1136352/000113635216000018/0001136352-16-000018-index.html,https://www.sec.gov/Archives/edgar/data/1136352/000113635217000003/crestwood-10k2016.htm,https://www.sec.gov/Archives/edgar/data/1136352/000113635218000004/crestwood-10k2017.htm,https://www.sec.gov/Archives/edgar/data/1136352/000113635219000003/crestwood-10k2018.htm,https://www.sec.gov/Archives/edgar/data/1304464/000113635220000003/0001136352-20-000003-index.html,https://www.sec.gov/Archives/edgar/data/1136352/000113635221000003/0001136352-21-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1136352/000113635222000003/0001136352-22-000003-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
