,https://roic.ai/company/SWKS,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
25,EPS,- -,- -,- -,- -,- -,-0.01,-0.01,-0.05,0.00,-0.23,0.02,0.00,-0.05,-0.17,0.04,0.14,-0.18,-0.31,-0.11,-0.48,-2.31,-1.72,-3.24,0.15,0.16,-0.55,0.36,0.69,0.56,0.78,1.24,1.09,1.48,2.44,4.21,5.27,5.48,5.06,4.92,4.84,9.07
26,EPS Diluted,- -,- -,- -,- -,- -,-0.01,-0.01,-0.05,0.00,-0.23,0.02,0.00,-0.05,-0.17,0.04,0.14,-0.18,-0.31,-0.11,-0.48,-2.31,-1.72,-3.24,0.15,0.16,-0.55,0.36,0.68,0.55,0.75,1.19,1.05,1.45,2.38,4.10,5.18,5.41,5.01,4.89,4.80,8.97
27,Weighted Average Shares Outstanding,- -,- -,- -,- -,- -,21412000,21428000,21476000,21476000,21478000,22254000,22348000,22434000,22564000,23184000,26265000,88587000,138300000,138300000,138300000,138300000,137416000,139376000,152090000,157453000,159408000,159993000,161878000,167047000,175020000,182879000,185839000,187500000,187200000,189500000,188700000,184300000,181300000,173500000,168500000,165200000
28,Weighted Average Shares Outstanding Diluted,- -,- -,- -,- -,- -,21412000,21428000,21476000,21476000,21478000,22254000,22348000,22434000,22564000,23184000,26265000,88587000,138300000,138300000,138300000,138300000,137416000,139376000,154242000,158857000,159408000,161064000,164755000,169663000,182738000,190667000,191846000,192200000,192600000,194900000,192100000,186700000,183200000,174500000,169900000,167000000
29,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/4127/000095013502005681/0000950135-02-005681-index.html,- -,https://www.sec.gov/Archives/edgar/data/4127/000000412704000082/tenk.htm,- -,https://www.sec.gov/Archives/edgar/data/4127/000089256906001446/a25760e10vk.htm,https://www.sec.gov/Archives/edgar/data/4127/000089256907001468/0000892569-07-001468-index.html,- -,https://www.sec.gov/Archives/edgar/data/4127/000095012309066947/0000950123-09-066947-index.html,https://www.sec.gov/Archives/edgar/data/4127/000095012310109435/0000950123-10-109435-index.html,https://www.sec.gov/Archives/edgar/data/4127/000000412711000015/0000004127-11-000015-index.html,https://www.sec.gov/Archives/edgar/data/4127/000000412712000042/0000004127-12-000042-index.html,https://www.sec.gov/Archives/edgar/data/4127/000000412713000056/0000004127-13-000056-index.html,https://www.sec.gov/Archives/edgar/data/4127/000000412714000046/0000004127-14-000046-index.html,https://www.sec.gov/Archives/edgar/data/4127/000000412715000037/0000004127-15-000037-index.html,https://www.sec.gov/Archives/edgar/data/4127/000000412716000068/0000004127-16-000068-index.html,https://www.sec.gov/Archives/edgar/data/4127/000000412717000033/0000004127-17-000033-index.html,https://www.sec.gov/Archives/edgar/data/4127/000000412718000046/0000004127-18-000046-index.html,https://www.sec.gov/Archives/edgar/data/4127/000000412719000049/0000004127-19-000049-index.html,https://www.sec.gov/Archives/edgar/data/4127/000000412720000058/0000004127-20-000058-index.htm,https://www.sec.gov/Archives/edgar/data/4127/000000412722000002/0000004127-22-000002-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4200000,2000000,53400000,161506000,123500000,116522000,136700000,241600000,225104000,364200000,453300000,410087000,307100000,511100000,805800000,1043600000,1083800000,1616800000,733300000,851300000,566700000,882900000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3988000,85000000,113325000,28200000,5700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,294100000,203300000,408100000,137200000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4200000,2000000,53400000,165494000,208500000,229847000,164900000,247300000,225104000,364200000,453300000,410087000,307100000,511100000,805800000,1043600000,1083800000,1616800000,1027400000,1054600000,974800000,1020100000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,67600000,40800000,94400000,144267000,157800000,171454000,158800000,167300000,146710000,115000000,175200000,177940000,297600000,292700000,317600000,538000000,416600000,454700000,655800000,465300000,393600000,756200000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,90000000,37400000,55600000,58168000,79600000,77400000,81500000,82100000,103791000,86100000,125100000,198183000,232900000,229500000,270800000,267900000,424000000,493500000,490200000,609700000,806000000,885000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5200000,3200000,24000000,18166000,18000000,17281000,15600000,17000000,19051000,24800000,36300000,30124000,45700000,40000000,35000000,65200000,77700000,68700000,88800000,105000000,143200000,204100000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,167000000,83400000,227400000,386095000,463900000,495982000,420800000,513700000,494656000,590100000,789900000,816334000,883300000,1073300000,1429200000,1914700000,2002100000,2633700000,2262200000,2234600000,2317600000,2865400000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,263400000,169500000,143800000,121556000,143500000,144208000,150400000,153500000,173360000,162300000,204400000,251365000,279400000,328600000,555900000,826400000,806300000,882300000,1140900000,1205600000,1417400000,1667700000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,64000000,50800000,905200000,- -,504500000,- -,493400000,480900000,483671000,482900000,485600000,663041000,800500000,800500000,851000000,856700000,873300000,883000000,1189800000,1189800000,1189800000,2176700000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6800000,6800000,35500000,527695000,19900000,511119000,15600000,13400000,19746000,18200000,12500000,86808000,94000000,64800000,75000000,45000000,67000000,67800000,143700000,107900000,53500000,1698600000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,70800000,57600000,940700000,527695000,524400000,511119000,509000000,494300000,503417000,501100000,498100000,749849000,894500000,865300000,926000000,901700000,940300000,950800000,1333500000,1297700000,1243300000,3875300000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22800000,27600000,5200000,7100000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22766000,- -,16052000,- -,- -,53192000,- -,- -,60863000,- -,- -,- -,- -,54100000,- -,- -,- -,55300000,119500000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,400000,3800000,35000000,32556000,37000000,20482000,10300000,28400000,11474000,99100000,71700000,11978000,79400000,65900000,62700000,76600000,52600000,106800000,69500000,74100000,67900000,55700000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,334600000,230900000,1119500000,704573000,704900000,691861000,669700000,676200000,741443000,762500000,774200000,1074055000,1253300000,1259800000,1544600000,1804700000,1853300000,1939900000,2566700000,2605000000,2789100000,5725300000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,501600000,314300000,1346900000,1090668000,1168800000,1187843000,1090500000,1189900000,1236099000,1352600000,1564100000,1890389000,2136600000,2333100000,2973800000,3719400000,3855400000,4573600000,4828900000,4839600000,5106700000,8590700000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5200000,2700000,45400000,50369000,73400000,72276000,73100000,56400000,58527000,69100000,112000000,115290000,140600000,126500000,200600000,291100000,110400000,258400000,229900000,190500000,226900000,236000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41681000,50000000,50000000,50000000,99335000,50000000,82617000,50000000,26089000,- -,- -,- -,- -,- -,- -,- -,- -,- -,33000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,88600000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26200000,20100000,102200000,44766000,57900000,35959000,52500000,41465000,40213000,44483000,42300000,105717000,42100000,53200000,97000000,172800000,99800000,129500000,159800000,183500000,221500000,389500000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31400000,22800000,147600000,136816000,181300000,158235000,175600000,197200000,148740000,196200000,204300000,247096000,182700000,179700000,297600000,463900000,210200000,387900000,389700000,374000000,448400000,658500000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,180000000,275000000,230000000,230000000,179300000,200000000,137616000,41500000,24700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2380100000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,65141000,45900000,41600000,71000000,71800000,92900000,310500000,312400000,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3700000,3800000,4300000,5677000,5900000,7044000,6500000,6400000,5527000,6100000,18500000,34198000,-16741000,6400000,102200000,25300000,32000000,27100000,31700000,30900000,494100000,255000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3700000,3800000,184300000,280677000,235900000,237044000,185800000,206400000,143143000,47600000,43200000,34198000,48400000,52300000,143800000,96300000,103800000,120000000,342200000,343300000,494100000,2635100000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,150700000,177500000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35100000,26600000,331900000,417493000,417200000,395279000,361400000,403600000,291883000,243800000,247500000,281294000,231100000,232000000,441400000,560200000,314000000,507900000,731900000,717300000,942500000,3293600000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34400000,37151000,39000000,39656000,40400000,40300000,41398000,43200000,45100000,46597000,48100000,47000000,47300000,47600000,46200000,45800000,44400000,42500000,41400000,41300000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-170200000,-621609000,-599200000,-573586000,-661700000,-604100000,-493083000,-465200000,-327900000,-101275000,100800000,378900000,794900000,1469200000,2263600000,3059600000,3732900000,4312600000,4820400000,5185800000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,932800000,575400000,-200000,-632000,-786000,-1137000,-599000,-214000,-1180000,-1380000,-1297000,-1331000,-1593000,-900000,-4900000,-8200000,-10900000,-8500000,-8800000,-7900000,-7800000,-7900000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1151000000,- -,1312609000,- -,1350992000,1350361000,- -,1528509000,1600693000,1665104000,1758168000,1676100000,1695100000,1650600000,1242500000,968800000,328500000,-224900000,-689800000,77900000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,466400000,287700000,1015000000,673175000,751623000,792564000,729093000,786347000,944216000,1105129000,1316596000,1609095000,1905475000,2101100000,2532400000,3159200000,3541400000,4065700000,4097000000,4122300000,4164200000,5297100000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,501500000,314300000,1346900000,1090668000,1168823000,1187843000,1090493000,1189947000,1236099000,1348929000,1564096000,1890389000,2136575000,2333100000,2973800000,3719400000,3855400000,4573600000,4828900000,4839600000,5106700000,8590700000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,- -,-23000,- -,7000,-47000,- -,3671000,4000,- -,25000,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,501600000,314300000,1346900000,1090668000,1168800000,1187843000,1090500000,1189900000,1236099000,1352600000,1564100000,1890389000,2136600000,2333100000,2973800000,3719400000,3855400000,4573600000,4828900000,4839600000,5106700000,8590700000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/4127/000095013502005681/0000950135-02-005681-index.html,- -,https://www.sec.gov/Archives/edgar/data/4127/000000412704000082/tenk.htm,- -,https://www.sec.gov/Archives/edgar/data/4127/000089256906001446/a25760e10vk.htm,https://www.sec.gov/Archives/edgar/data/4127/000089256907001468/0000892569-07-001468-index.html,- -,https://www.sec.gov/Archives/edgar/data/4127/000095012309066947/0000950123-09-066947-index.html,https://www.sec.gov/Archives/edgar/data/4127/000095012310109435/0000950123-10-109435-index.html,https://www.sec.gov/Archives/edgar/data/4127/000000412711000015/0000004127-11-000015-index.html,https://www.sec.gov/Archives/edgar/data/4127/000000412712000042/0000004127-12-000042-index.html,https://www.sec.gov/Archives/edgar/data/4127/000000412713000056/0000004127-13-000056-index.html,https://www.sec.gov/Archives/edgar/data/4127/000000412714000046/0000004127-14-000046-index.html,https://www.sec.gov/Archives/edgar/data/4127/000000412715000037/0000004127-15-000037-index.html,https://www.sec.gov/Archives/edgar/data/4127/000000412716000068/0000004127-16-000068-index.html,https://www.sec.gov/Archives/edgar/data/4127/000000412717000033/0000004127-17-000033-index.html,https://www.sec.gov/Archives/edgar/data/4127/000000412718000046/0000004127-18-000046-index.html,https://www.sec.gov/Archives/edgar/data/4127/000000412719000049/0000004127-19-000049-index.html,https://www.sec.gov/Archives/edgar/data/4127/000000412720000058/0000004127-20-000058-index.htm,https://www.sec.gov/Archives/edgar/data/4127/000000412722000002/0000004127-22-000002-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,-3000000,-11500000,2800000,3800000,-15572000,10302000,-14900000,-66500000,-318900000,-236100000,-451416000,22400000,25611000,-105200000,39700000,111006000,95000000,137300000,226585000,202000000,278100000,457700000,798300000,995200000,1010200000,918400000,853600000,814800000,1498300000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4800000,4700000,4500000,4200000,4700000,5921000,6773000,42500000,67000000,74000000,60626000,43450000,41048000,41227000,42353000,43692000,53398000,50531000,52709000,76530000,102754000,103400000,122700000,195800000,247800000,254800000,299200000,371600000,364300000,436700000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-23117000,351000,3394000,3253000,16547000,-1741000,-36648000,-27182000,38543000,12370000,12906000,13700000,3300000,-3900000,- -,2200000,27300000,-6100000,-13400000,-59500000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23466000,40741000,58338000,72172000,71700000,86000000,99800000,78000000,88500000,107800000,80100000,156600000,191900000
