,https://roic.ai/company/SF,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2927000,- -,- -,- -,- -,- -,-9243000,-33329000,-10589000,-251652000,13422000,-18817000,-120180000,-88592000,-80378000,-604659000,-51043000,-7220000,-8394000,-193097000,36720000,-144471000
86,Purchases of Investments,- -,- -,- -,-100000,-1100000,-200000,-500000,-1000000,- -,-400000,-1800000,-3200000,-11800000,-6500000,-7710000,-2488000,-35000,-7732000,-7624000,-15388000,-68620000,-133982000,-101305000,-674185000,-915224000,-1135071000,-1557609000,-1402505000,-473644000,-1839773000,-3408422000,-2621365000,-1911577000,-520863000,-1270217000,-3505187000
87,Sales/Maturities of Investments,- -,- -,- -,500000,900000,1900000,- -,1100000,100000,1700000,3800000,100000,100000,4800000,543000,100000,905000,2683000,3623000,14649000,74444000,64065000,107378000,110508000,415349000,740671000,650661000,619795000,855941000,1058477000,695565000,1384378000,2096784000,1721397000,1058849000,2333271000
88,Other Investing Activites,- -,- -,- -,-800000,-600000,-1900000,-2600000,-1600000,-2000000,-300000,-500000,-800000,-3900000,-4000000,-4163000,-4513000,-3183000,- -,- -,-26096000,-7572000,-47466000,-81948000,-7592000,-53859000,-243137000,-179894000,-202694000,-668223000,-517488000,-2462405000,-1374959000,-1057847000,-1199867000,-1441303000,-5460939000
89,Cash Used for Investing Activites,- -,- -,- -,-400000,-800000,-200000,-3100000,-1500000,-1900000,1000000,1500000,-3900000,-15600000,-5700000,-8403000,-6901000,-2313000,-5049000,-4001000,-26835000,-10991000,-150712000,-86464000,-850813000,-568048000,-716084000,-1225859000,-1106274000,-392936000,-1973265000,-5254516000,-2647383000,-989241000,-350327000,-1689315000,-6965502000
90,Debt Repayment,- -,- -,- -,- -,- -,-600000,-213400000,-23000000,-700000,-1100000,-1300000,-8400000,-600000,-700000,-1552000,-2073000,-10795000,-1110000,-849000,-674000,-2681000,-11755000,-914000,-2712000,-15682000,96253000,-1639000,-61179000,-3131000,-175000000,-150000000,- -,-431522000,-290000000,-550000000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,140003000,5910000,3983000,11603000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-91769000,-48505000,-11380000,-13670000,- -,-117752000,-113462000,-12998000,-170204000,-215430000,-58261000,-322741000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,-600000,-400000,-500000,-600000,-600000,-800000,-900000,-922000,-908000,-463000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3906000,-23063000,-44013000,-59267000,-73758000,-101923000
94,Other Financing Activites,- -,- -,- -,9300000,-600000,-100000,243900000,300000,-71900000,21200000,46100000,-28800000,-15400000,70900000,-36257000,-20610000,8920000,34710000,-82759000,224491000,76803000,116694000,-71153000,982867000,617326000,533414000,1726751000,789873000,126328000,2717684000,5985572000,1796551000,2393434000,-512173000,1880892000,6219059000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,9300000,-600000,-700000,30500000,-23300000,-73000000,19600000,44200000,-37800000,-16800000,69300000,-38731000,-23591000,-2338000,33600000,-83608000,223817000,74122000,104939000,-72067000,1120158000,515785000,585145000,1725335000,715024000,123197000,2424932000,5718204000,1760490000,1747695000,-1076870000,1198873000,5794395000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1740000,-807000,1061000,1650000,-7308000,-3601000,-12600000,7895000,-5691000,4932000,6862000,-3536000
97,Net Change In Cash,- -,- -,- -,9300000,-600000,-700000,30500000,-23300000,-73000000,19600000,44200000,-37800000,-16800000,4100000,-2272000,1725000,-2429000,-1649000,8909000,-8616000,8453000,26981000,191762000,-77905000,91709000,-85858000,236270000,312619000,-26778000,121237000,101913000,-216649000,1282289000,-795404000,1178236000,-302549000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16900000,14589000,16314000,13885000,12236000,21145000,12529000,20982000,47963000,239725000,161820000,253529000,167671000,403941000,716560000,689782000,811019000,912932000,696283000,2069374000,1273970000,2452206000,2149657000
99,Cash at the Beginning of Period,- -,- -,- -,900000,1200000,1600000,2300000,5000000,6500000,6900000,6300000,8000000,15400000,12800000,16861000,14589000,16314000,13885000,12236000,21145000,12529000,20982000,47963000,239725000,161820000,253529000,167671000,403941000,716560000,689782000,811019000,912932000,787085000,2069374000,1273970000,2452206000
100,Free Cash Flow,- -,- -,- -,-9700000,1200000,-300000,-27300000,25100000,73400000,-22400000,-44500000,48200000,25900000,-63600000,40699000,27704000,-961000,-30200000,96518000,-210395000,-62250000,48278000,329412000,-375142000,114496000,-13842000,-283104000,669941000,223637000,-396651000,-377386000,634132000,421319000,468964000,1588452000,683918000
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/720672/000072067296000011/0000720672-96-000011-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/720672/000072067201500004/0000720672-01-500004-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/720672/000072067205000045/r200410k.htm,https://www.sec.gov/Archives/edgar/data/720672/000072067206000052/r10k05.htm,https://www.sec.gov/Archives/edgar/data/720672/000072067207000056/r200610k.htm,https://www.sec.gov/Archives/edgar/data/720672/000072067208000046/r200710k1.htm,https://www.sec.gov/Archives/edgar/data/720672/000072067209000030/0000720672-09-000030-index.html,https://www.sec.gov/Archives/edgar/data/720672/000072067210000038/0000720672-10-000038-index.html,https://www.sec.gov/Archives/edgar/data/720672/000072067211000042/formv10vk.htm,https://www.sec.gov/Archives/edgar/data/720672/000072067212000054/0000720672-12-000054-index.html,https://www.sec.gov/Archives/edgar/data/720672/000119312513085533/0001193125-13-085533-index.html,https://www.sec.gov/Archives/edgar/data/720672/000119312514080643/d682733d10k.htm,https://www.sec.gov/Archives/edgar/data/720672/000119312515073686/d883383d10k.htm,https://www.sec.gov/Archives/edgar/data/720672/000156459016013780/0001564590-16-013780-index.html,https://www.sec.gov/Archives/edgar/data/720672/000156459017002227/0001564590-17-002227-index.html,https://www.sec.gov/Archives/edgar/data/720672/000156459018003065/0001564590-18-003065-index.html,https://www.sec.gov/Archives/edgar/data/720672/000156459019003474/0001564590-19-003474-index.html,https://www.sec.gov/Archives/edgar/data/720672/000156459020005266/0001564590-20-005266-index.html,https://www.sec.gov/Archives/edgar/data/720672/000156459021006800/0001564590-21-006800-index.htm,https://www.sec.gov/Archives/edgar/data/720672/000095017022001451/0000950170-22-001451-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
