,https://roic.ai/company/GL,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,-43600000,-18500000,-41400000,-31670000,-15501000,-11209000,-18310000,64188000,-18333000,-3761000,-3523000,-14734000,-15700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,71900000,63100000,19600000,-6623000,9091000,2255000,3753000,53175000,265279000,8152000,-27614000,5815000,371800000,371034000,413385000,423829000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,1361373000,1778402000,1830937000,1921569000,2188290000,1924319000,2139355000,2763580000,-1022068000,-825600000,-1049000000,-1572305000,-10906284000,-1526703000,-2363399000,-1089895000,209656000,301699000,730919000,32944000,476333000,-648855000,219830000,1741684000,916210000,2589039000,22292580,-448260000
82,Other Non-Cash Items,- -,- -,- -,- -,181900000,209100000,207000000,136500000,65600000,-1374188000,-250294000,49433000,51129000,-121443000,492788000,-51156000,-406288000,3711603000,34097000,423100000,404341000,9226943000,-9542139000,1115048000,-702344000,-788022000,249536000,-15705000,1288783000,-121620000,1718138000,-19756000,-1547290000,1401655000,-1069745000,3311407420,-2039427420
83,Cash Provided by Operating Activities,- -,- -,- -,- -,431700000,454900000,479100000,435500000,399100000,281431000,319573000,422396000,488833000,397653000,511613000,532774000,662413000,650812000,740474000,767100000,857457000,865587000,849997000,730611000,976113000,1028593000,859464000,942839000,1119280000,864708000,1120050000,1398708000,1429058000,1277647000,1363874000,1476434000,- -
84,CAPEX,- -,- -,- -,- -,-20400000,-23700000,-122200000,-40400000,-15800000,-48988000,-6510000,-15412000,-9422000,-6170000,-8494000,-6508000,-3692000,-2442000,-3614000,-4000000,-3020000,-7665000,-24162000,-9800000,-6499000,-9181000,-5386000,-4667000,-11168000,-19367000,-36957000,-25162000,-20285000,-45092000,-42203000,-41756000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15500000,- -,143444000,- -,- -,- -,- -,- -,- -,- -,- -,-47122000,-24779000,-24556000,289720000,-28224000,-186424000,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-1152400000,-1205700000,-2028700000,-1652200000,-2244100000,-1387808000,-1967677000,-1150068000,-1784111000,-2013816000,-2202956000,-1137511000,-1599409000,-1261133000,-1414756000,-1226000000,-934859000,-1297980000,-2083800000,-1103545000,-2551972000,-1909014000,-1139249000,-1579480000,-1239594000,-761076000,-1182730000,-1599855000,-1444626000,-1272574000,-1666178000,-1636028000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,760500000,976600000,1645300000,1284500000,1528500000,1550843000,1607309000,871050000,1307086000,1304747000,1816183000,899045000,1159191000,1322477000,1436113000,1189400000,904761000,1259619000,1731578000,721172000,1669580000,1099304000,877763000,1095606000,660651000,444750000,606690000,578004000,559623000,439993000,924464000,511992000,21305287000
88,Other Investing Activites,- -,- -,- -,- -,12700000,82200000,10700000,15900000,229000000,-620785000,29882000,96023000,18167000,16457000,8091000,1266000,1159000,-527454000,-617426000,-458600000,-465840000,-474575000,-79090000,-15296000,-23652000,-28470000,-17037000,-23074000,-24267000,-14470000,-20353000,-15423000,-21536000,-18550000,-25394000,-15938000,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,-399600000,-170600000,-494900000,-392200000,-502400000,-506738000,-336996000,-182907000,-468280000,-555338000,-387176000,-243708000,-442751000,-468552000,-599683000,-499200000,-498958000,-520601000,-502596000,-432248000,-937099000,-557641000,-312133000,-698039000,-614378000,-350163000,-633350000,-1062436000,-926824000,-896223000,-809311000,-1181730000,- -
90,Debt Repayment,- -,- -,- -,- -,-6600000,-177900000,-23800000,-137000000,-189700000,-218108000,-60867000,-149144000,-118317000,-607346000,-75281000,-95390000,-133454000,-2633000,-19031000,-12000000,- -,-334639000,- -,- -,-170379000,-8913000,- -,-123711000,-94050000,- -,- -,-250000000,-126875000,-327762000,-6875000,-386875000,- -
91,Common Stock Issued,- -,- -,- -,- -,3100000,4100000,5800000,15500000,6700000,4408000,2953000,10145000,93973000,520095000,37164000,9886000,135003000,5097000,10525000,26100000,217257000,21451000,42636000,25473000,300738000,37863000,162613000,181022000,97816000,56294000,35958000,61329000,61215000,36091000,83163000,48093000,109218000
92,Common Stock Repurchased,- -,- -,- -,- -,-54200000,-109100000,-49500000,-189100000,-41900000,-106054000,- -,-106996000,-182903000,-161126000,-221878000,-147008000,-503085000,-182188000,-225273000,-285300000,-554946000,-344861000,-451791000,-455736000,-47564000,-246006000,-972556000,-570165000,-482264000,-449308000,-418526000,-404784000,-412989000,-421749000,-459569000,-443866000,- -
93,Dividends Paid,- -,- -,- -,- -,-73500000,-79800000,-84400000,-82400000,-82900000,-82336000,-80887000,-82893000,-80999000,-90780000,-48175000,-46422000,-45188000,-43501000,-43850000,-48800000,-46346000,-48095000,-49581000,-48802000,-46615000,-50061000,-49125000,-55527000,-60911000,-65006000,-66899000,-66931000,-68831000,-71421000,-74188000,-78192000,- -
94,Other Financing Activites,- -,- -,- -,- -,97000000,81600000,171600000,353700000,445800000,576747000,158084000,94513000,275187000,490677000,193254000,10516000,295687000,44432000,142365000,50100000,34182000,358577000,111982000,217807000,112258000,-62504000,34583000,299269000,3490000,-41940000,-76238000,340595000,93499000,393321000,-133039000,586783000,- -
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-34200000,-281100000,19700000,-39300000,138000000,174657000,19283000,-234375000,-13059000,151520000,-114916000,-268418000,-251037000,-178793000,-135264000,-269900000,-349853000,-347567000,-346754000,-261258000,148438000,-329621000,-824485000,-269112000,-535919000,-499960000,-525705000,-319791000,-453981000,-391520000,-590508000,-274057000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2735000,-10803000,-1934000,-7570000,-4412000,1909000,6250000,14491000,34369000,-1701000,-5853000,12559000,-9148000,-1733000,- -
97,Net Change In Cash,- -,- -,- -,- -,-34200000,-281100000,19700000,-39300000,34700000,-50650000,1860000,5114000,7494000,-6165000,9521000,20648000,-31375000,3467000,5527000,-2000000,8646000,-2581000,3382000,26302000,185518000,133761000,-281566000,-22403000,-24767000,29076000,-4636000,14780000,42400000,2463000,-45093000,18914000,- -
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,53400000,2758000,13158000,18272000,25766000,4920000,14441000,35089000,3714000,7181000,12708000,10700000,19297000,16716000,20098000,46400000,231918000,365679000,84113000,61710000,36943000,66019000,61383000,76163000,118563000,121026000,75933000,94847000,- -
99,Cash at the Beginning of Period,- -,- -,- -,- -,9500000,7400000,10700000,14700000,18700000,53408000,11298000,13158000,18272000,11085000,4920000,14441000,35089000,3714000,7181000,12700000,10651000,19297000,16716000,20098000,46400000,231918000,365679000,84113000,61710000,36943000,66019000,61383000,76163000,118563000,121026000,75933000,- -
100,Free Cash Flow,- -,- -,- -,- -,411300000,431200000,356900000,395100000,383300000,232443000,313063000,406984000,479411000,391483000,503119000,526266000,658721000,648370000,736860000,763100000,854437000,857922000,825835000,720811000,969614000,1019412000,854078000,938172000,1108112000,845341000,1083093000,1373546000,1408773000,1232555000,1321671000,1434678000,- -
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/320335/000095010995000857/0000950109-95-000857-index.html,https://www.sec.gov/Archives/edgar/data/320335/000093176396000091/0000931763-96-000091-index.html,https://www.sec.gov/Archives/edgar/data/320335/000095010997002410/0000950109-97-002410-index.html,https://www.sec.gov/Archives/edgar/data/320335/000093176398000750/0000931763-98-000750-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/320335/000093176301000503/0000931763-01-000503-index.html,https://www.sec.gov/Archives/edgar/data/320335/000093176302000748/0000931763-02-000748-index.html,https://www.sec.gov/Archives/edgar/data/320335/000093176303000621/0000931763-03-000621-index.htm,https://www.sec.gov/Archives/edgar/data/320335/000119312504042167/0001193125-04-042167-index.htm,https://www.sec.gov/Archives/edgar/data/320335/000119312505051197/0001193125-05-051197-index.htm,https://www.sec.gov/Archives/edgar/data/320335/000119312506046266/0001193125-06-046266-index.htm,https://www.sec.gov/Archives/edgar/data/320335/000119312507043904/0001193125-07-043904-index.htm,https://www.sec.gov/Archives/edgar/data/320335/000119312508043419/0001193125-08-043419-index.htm,https://www.sec.gov/Archives/edgar/data/320335/000119312509040782/0001193125-09-040782-index.htm,https://www.sec.gov/Archives/edgar/data/320335/000119312510042810/0001193125-10-042810-index.htm,https://www.sec.gov/Archives/edgar/data/320335/000119312511049737/0001193125-11-049737-index.htm,https://www.sec.gov/Archives/edgar/data/320335/000119312512085031/0001193125-12-085031-index.htm,https://www.sec.gov/Archives/edgar/data/320335/000119312513084290/0001193125-13-084290-index.htm,https://www.sec.gov/Archives/edgar/data/320335/000119312514076801/0001193125-14-076801-index.htm,https://www.sec.gov/Archives/edgar/data/320335/000119312515069449/0001193125-15-069449-index.htm,https://www.sec.gov/Archives/edgar/data/320335/000032033516000059/0000320335-16-000059-index.htm,https://www.sec.gov/Archives/edgar/data/320335/000032033517000010/0000320335-17-000010-index.htm,https://www.sec.gov/Archives/edgar/data/320335/000032033518000006/0000320335-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/320335/000032033519000006/0000320335-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/320335/000032033520000008/0000320335-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/320335/000032033521000010/0000320335-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/320335/000032033522000006/0000320335-22-000006-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
