,https://roic.ai/company/MANH,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,0.2554,0.1176,0.0135,0.1222,0.1070,0.1434,0.1110,0.1029,0.0756,0.0669,0.0911,0.0676,0.0671,0.0944,0.1364,0.1378,0.1623,0.1666,0.1860,0.2055,0.1959,0.1872,0.1388,0.1488,0.1665
25,EPS,0.10,0.08,0.01,0.16,0.15,0.22,0.18,0.18,0.16,0.18,0.29,0.24,0.18,0.33,0.55,0.66,0.88,1.09,1.41,1.73,1.68,1.58,1.33,1.37,1.74
26,EPS Diluted,0.10,0.07,0.01,0.13,0.13,0.21,0.18,0.18,0.16,0.17,0.28,0.23,0.18,0.31,0.52,0.64,0.86,1.08,1.40,1.72,1.68,1.58,1.32,1.36,1.72
27,Weighted Average Shares Outstanding,79047619,91250000,88000000,100696000,108308000,114612000,118128000,120224000,114760000,108732000,104696000,96212000,89540000,85988000,81820000,78640000,76664000,74995000,73443000,71674000,69175000,66201000,64397000,63538000,63445000
28,Weighted Average Shares Outstanding Diluted,83000000,100689655,110000000,121812000,122968000,121804000,123528000,124268000,117188000,111884000,109316000,97312000,90232000,89800000,85968000,81084000,77932000,75841000,74038000,72060000,69424000,66434000,65103000,64333000,64323000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1056696/000095014401004628/0000950144-01-004628-index.html,- -,https://www.sec.gov/Archives/edgar/data/1056696/000095014403004237/0000950144-03-004237-index.html,https://www.sec.gov/Archives/edgar/data/1056696/000095014404002541/0000950144-04-002541-index.html,https://www.sec.gov/Archives/edgar/data/1056696/000095014405002666/0000950144-05-002666-index.html,https://www.sec.gov/Archives/edgar/data/1056696/000095014406002275/g00110e10vk.htm,https://www.sec.gov/Archives/edgar/data/1056696/000095014407002192/g05735e10vk.htm,https://www.sec.gov/Archives/edgar/data/1056696/000095014408001344/g11896e10vk.htm,https://www.sec.gov/Archives/edgar/data/1056696/000095014409001575/0000950144-09-001575-index.html,https://www.sec.gov/Archives/edgar/data/1056696/000095012310014461/0000950123-10-014461-index.html,https://www.sec.gov/Archives/edgar/data/1056696/000095012311017219/c12968e10vk.htm,https://www.sec.gov/Archives/edgar/data/1056696/000119312512073423/0001193125-12-073423-index.html,https://www.sec.gov/Archives/edgar/data/1056696/000119312513071744/0001193125-13-071744-index.html,https://www.sec.gov/Archives/edgar/data/1056696/000119312514038899/d645079d10k.htm,https://www.sec.gov/Archives/edgar/data/1056696/000156459015000520/manh-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/1056696/000156459016012414/0001564590-16-012414-index.html,https://www.sec.gov/Archives/edgar/data/1056696/000156459017000938/0001564590-17-000938-index.html,https://www.sec.gov/Archives/edgar/data/1056696/000156459018001747/0001564590-18-001747-index.html,https://www.sec.gov/Archives/edgar/data/1056696/000156459019002439/0001564590-19-002439-index.html,https://www.sec.gov/Archives/edgar/data/1056696/000156459020003915/0001564590-20-003915-index.html,https://www.sec.gov/Archives/edgar/data/1056696/000156459021004542/0001564590-21-004542-index.htm,https://www.sec.gov/Archives/edgar/data/1056696/000156459022004100/0001564590-22-004100-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,27800000,19700000,51032000,84029000,64664000,140964000,37429000,19419000,18449000,44675000,85739000,120217000,120744000,92180000,96737000,124375000,115708000,118416000,95615000,125522000,99126000,110678000,204705000,263706000
32,Short-Term Investments,- -,- -,20200000,16635000,20160000,57193000,4992000,88794000,36091000,90570000,17904000,- -,- -,4414000,6079000,6310000,8581000,8730000,10344000,- -,- -,1440000,- -,- -,- -
33,Cash and Short-Term Investments,- -,27800000,39900000,67667000,104189000,121857000,145956000,126223000,55510000,109019000,62579000,85739000,120217000,125158000,98259000,103047000,132956000,124438000,128760000,95615000,125522000,100566000,110678000,204705000,263706000
34,Net Receivables,- -,20800000,24300000,28177000,26660000,32384000,40790000,45996000,58623000,60937000,72534000,63896000,37945000,49865000,61123000,62102000,71136000,86828000,97379000,100285000,92231000,100875000,102269000,111076000,124420000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,7300000,4200000,10856000,7709000,4967000,6713000,11344000,18094000,17147000,15248000,13646000,10592000,13957000,15132000,16358000,14646000,18595000,21003000,11118000,10320000,13941000,19094000,18260000,20293000
37,Total Current Assets,- -,55900000,68400000,106700000,138558000,159208000,193459000,183563000,132227000,187103000,150361000,163281000,168754000,188980000,174514000,181507000,218738000,229861000,247142000,207018000,228073000,215382000,232041000,334041000,408419000
38,PP&E,- -,7400000,9200000,10833000,11185000,12352000,12152000,13598000,14240000,15850000,24421000,21721000,15759000,14833000,13321000,15650000,14342000,17265000,21176000,19019000,15493000,14318000,58621000,49373000,41161000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,70361000,62285000,62276000,62280000,62265000,62261000,62265000,62272000,62250000,62233000,62228000,62248000,62240000,62237000,62252000,62239000
40,Intangible Assets,- -,4200000,3200000,32454000,27450000,44023000,31688000,40789000,73820000,14344000,9691000,6438000,3473000,1186000,14000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,4200000,3200000,32454000,27450000,44023000,31688000,40789000,73820000,84705000,71976000,68714000,65753000,63451000,62275000,62265000,62272000,62250000,62233000,62228000,62248000,62240000,62237000,62252000,62239000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2967000,2797000,1711000,855000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,3322000,4051000,4110000,3583000,11995000,481000,9846000,10932000,9826000,8816000,5696000,732000,427000,270000,86000,2867000,1877000,5442000,6814000,5760000,7650000
44,Other Non-Current Assets,- -,300000,100000,2388000,188000,562000,22610000,48968000,41116000,26754000,15056000,2606000,1822000,2673000,2939000,1659000,2049000,8524000,7275000,6008000,7304000,9768000,12566000,13986000,20239000
45,Total Non-Current Assets,- -,11900000,12500000,45675000,42145000,60988000,70560000,106938000,141171000,127790000,121299000,106940000,95957000,91484000,85086000,80306000,79090000,88309000,90770000,90122000,86922000,91768000,140238000,131371000,131289000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,67800000,80900000,152375000,180703000,220196000,264019000,290501000,273398000,314893000,271660000,270221000,264711000,280464000,259600000,261813000,297828000,318170000,337912000,297140000,314995000,307150000,372279000,465412000,539708000
48,Accounts Payable,- -,5000000,4500000,9355000,8285000,6754000,5235000,6800000,7904000,11716000,9112000,8480000,4434000,7745000,8090000,10229000,11555000,12483000,11219000,12052000,14028000,18181000,20561000,17805000,19625000
49,Short-Term Debt,- -,100000,200000,2029000,3663000,164000,132000,139000,147000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1874000,376000
51,Deferred Revenue,- -,- -,- -,- -,14285000,15318000,17937000,22710000,27204000,29918000,31817000,32984000,37436000,44974000,49882000,47935000,53812000,58968000,68757000,63457000,75068000,81894000,94371000,114164000,153196000
52,Other Current Liabilities,- -,6200000,16700000,25124000,11101000,12293000,11789000,15154000,31730000,34438000,37553000,35982000,29081000,33663000,30151000,32977000,38821000,51364000,47209000,42134000,35159000,45189000,66664000,65017000,76221000
53,Total Current Liabilities,- -,11300000,21400000,36508000,37334000,34529000,35093000,44803000,66985000,76072000,78482000,77446000,70951000,86382000,88123000,91141000,104188000,122815000,127185000,117643000,124255000,145264000,181596000,196986000,249042000
54,Long-Term Debt,- -,800000,800000,5866000,1750000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27843000,23157000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8387000,7830000,7444000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,100000,- -,- -,141000,396000,466000,- -,913000,- -,- -,- -,- -,- -,656000,3176000,3960000,5704000,53000,69000,53000,37000,- -,- -
57,Other Non-Current Liabilities,- -,100000,- -,- -,432000,240000,288000,605000,1015000,768000,7473000,4549000,2565000,2838000,9397000,8507000,8878000,9372000,9531000,10078000,15715000,14686000,48368000,21686000,16865000
58,Total Non-Current Liabilities,- -,900000,900000,5866000,2182000,381000,684000,1071000,1015000,1681000,7473000,12936000,10395000,10282000,9397000,9163000,12054000,13332000,15235000,10131000,15784000,14739000,48405000,49529000,40022000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,240000,288000,148000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32416000,27843000,23157000
61,Total Liabilities,- -,12200000,22300000,42374000,39516000,34910000,35777000,45874000,68000000,77753000,85955000,90382000,81346000,96664000,97520000,100304000,116242000,136147000,142420000,127774000,140039000,160003000,230001000,246515000,289064000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,200000,264000,277000,290000,301000,296000,272000,276000,249000,234000,225000,217000,204000,196000,764000,741000,728000,702000,678000,649000,635000,635000,631000
64,Retained Earnings,- -,3100000,4200000,20425000,36612000,61808000,83653000,105762000,116990000,136321000,165189000,182882000,182387000,184152000,166989000,166016000,188604000,191305000,207070000,184558000,186117000,163359000,159490000,236524000,269841000
65,Other Comprehensive Income/Loss,- -,-1800000,-5000000,-9187000,-14833000,-16297000,-22632000,-29079000,1000000,2000000,3000000,-3000000,-2000000,-1000000,-5000000,-5000000,-8000000,-10000000,-12000000,-16000000,-12000000,-17000000,-18000000,-18262000,-19828000
66,Other Total Stockholders Equity,- -,54300000,59200000,98499000,119131000,139485000,166920000,167648000,87136000,98543000,17267000,-277000,2753000,431000,-113000,297000,218000,-23000,-306000,106000,161000,139000,153000,- -,- -
67,Total Stockholders Equity,- -,55600000,58600000,110001000,141187000,185286000,228242000,244627000,205398000,237140000,185705000,179839000,183365000,183800000,162080000,161509000,181586000,182023000,195492000,169366000,174956000,147147000,142278000,218897000,250644000
68,Total Liabilities And Stockholders Equity,- -,67800000,80900000,152375000,180703000,220196000,264019000,290501000,273398000,314893000,271660000,270221000,264711000,280464000,259600000,261813000,297828000,318170000,337912000,297140000,314995000,307150000,372279000,465412000,539708000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,67800000,80900000,152375000,180703000,220196000,264019000,290501000,273398000,314893000,271660000,270221000,264711000,280464000,259600000,261813000,297828000,318170000,337912000,297140000,314995000,307150000,372279000,465412000,539708000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1056696/000095014401004628/0000950144-01-004628-index.html,- -,https://www.sec.gov/Archives/edgar/data/1056696/000095014403004237/0000950144-03-004237-index.html,https://www.sec.gov/Archives/edgar/data/1056696/000095014404002541/0000950144-04-002541-index.html,https://www.sec.gov/Archives/edgar/data/1056696/000095014405002666/0000950144-05-002666-index.html,https://www.sec.gov/Archives/edgar/data/1056696/000095014406002275/g00110e10vk.htm,https://www.sec.gov/Archives/edgar/data/1056696/000095014407002192/g05735e10vk.htm,https://www.sec.gov/Archives/edgar/data/1056696/000095014408001344/g11896e10vk.htm,https://www.sec.gov/Archives/edgar/data/1056696/000095014409001575/0000950144-09-001575-index.html,https://www.sec.gov/Archives/edgar/data/1056696/000095012310014461/0000950123-10-014461-index.html,https://www.sec.gov/Archives/edgar/data/1056696/000095012311017219/c12968e10vk.htm,https://www.sec.gov/Archives/edgar/data/1056696/000119312512073423/0001193125-12-073423-index.html,https://www.sec.gov/Archives/edgar/data/1056696/000119312513071744/0001193125-13-071744-index.html,https://www.sec.gov/Archives/edgar/data/1056696/000119312514038899/d645079d10k.htm,https://www.sec.gov/Archives/edgar/data/1056696/000156459015000520/manh-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/1056696/000156459016012414/0001564590-16-012414-index.html,https://www.sec.gov/Archives/edgar/data/1056696/000156459017000938/0001564590-17-000938-index.html,https://www.sec.gov/Archives/edgar/data/1056696/000156459018001747/0001564590-18-001747-index.html,https://www.sec.gov/Archives/edgar/data/1056696/000156459019002439/0001564590-19-002439-index.html,https://www.sec.gov/Archives/edgar/data/1056696/000156459020003915/0001564590-20-003915-index.html,https://www.sec.gov/Archives/edgar/data/1056696/000156459021004542/0001564590-21-004542-index.htm,https://www.sec.gov/Archives/edgar/data/1056696/000156459022004100/0001564590-22-004100-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,8300000,7300000,1100000,16268000,16187000,25196000,21845000,22109000,18635000,19331000,30751000,22798000,16562000,28061000,44907000,51853000,67296000,82000000,103475000,124234000,116481000,104690000,85762000,87240000,110472000
74,Depreciation and Amortization,500000,1700000,5100000,6100000,11368000,8573000,11262000,10782000,12074000,13247000,13617000,12699000,11418000,9161000,7284000,5638000,5825000,6377000,7764000,9090000,9060000,8613000,7987000,8946000,7914000
75,Deferred Income Tax,- -,-400000,-1800000,-2127000,-459000,-627000,-273000,-1632000,1368000,-574000,-2759000,-1389000,2077000,-463000,9890000,5388000,3165000,-1705000,1532000,1797000,1574000,-4265000,-1406000,1036000,-1912000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8864000,8622000,10420000,10372000,8338000,7325000,9671000,14528000,15934000,16229000,19864000,31841000,33355000,43259000
77,Change in Working Capital,-2200000,- -,2400000,23192000,31032000,23455000,33687000,-19606000,-73518000,45789000,-39152000,13956000,11968000,4795000,-16207000,3975000,24184000,-7504000,12911000,-30582000,14443000,-33700000,-19673000,86610000,25936000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7077000,26658000,-9454000,-8994000,-5446000,-9174000,-16758000,-12223000,-4358000,10139000,-9341000,-1065000,-6592000,-16650000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-162000,3164000,13519000,-1592000,-9261000,-5354000,18603000,20812000,-3097000,12256000
81,Other Working Capital,44600000,44600000,47000000,70192000,101224000,124679000,158366000,138760000,65242000,111031000,71879000,85835000,97803000,102598000,86391000,90366000,114550000,107046000,119957000,89375000,103818000,70118000,50445000,137055000,36863000
82,Other Non-Cash Items,400000,-5700000,4700000,-7077000,-18773000,-10631000,-30260000,32828000,74826000,-33673000,35817000,6913000,7676000,-2002000,-422000,79000,-18408000,5323000,-20057000,18873000,6279000,42147000,42397000,-76302000,-486000
83,Cash Provided by Operating Activities,7000000,2900000,11500000,36356000,39355000,45966000,36261000,44481000,33385000,44120000,38274000,63841000,58323000,49972000,55824000,75271000,89387000,94162000,120153000,139346000,164066000,137349000,146908000,140885000,185183000
84,CAPEX,-1800000,-6000000,-4800000,-5089000,-6101000,-5990000,-6718000,-7572000,-8488000,-9641000,-9401000,-7708000,-2378000,-5871000,-5074000,-7873000,-4740000,-9415000,-11492000,-6843000,-6199000,-7306000,-15193000,-2730000,-4016000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3000000,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-15200000,- -,-3456000,-37077000,- -,-1095608000,-870123000,-831932000,-688172000,-323956000,- -,-8625000,-7296000,-7582000,-14751000,-14644000,-15385000,- -,-12873000,-14584000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,3610000,- -,- -,42730000,1083982000,931247000,793799000,772689000,345579000,84000,- -,7761000,8446000,11686000,14165000,13334000,10201000,13302000,12052000,1439000,- -,- -
88,Other Investing Activites,- -,-8500000,-900000,-12780000,-717000,-21163000,-4750000,-1698000,-48789000,-126000,- -,- -,- -,5614000,- -,- -,- -,227000,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-1800000,-14500000,-20900000,-14259000,-10274000,-64230000,31262000,-20896000,3847000,-47900000,75116000,13915000,-2294000,-8882000,-4609000,-7009000,-7805000,-12667000,-13543000,3358000,-5770000,-9838000,-13754000,-2730000,-4016000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,48900000,1500000,11310000,6717000,8636000,9270000,4039000,6672000,16156000,10910000,3177000,1662000,36368000,52721000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-885000,-4110000,- -,-21763000,-61011000,-16029000,-99931000,-35107000,-23435000,-77704000,-133144000,-103155000,-64199000,-99204000,-112138000,-167933000,-131707000,-149322000,-121487000,-43561000,-120418000
93,Dividends Paid,-5100000,-11700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-1100000,-200000,-2170000,-1947000,-5441000,-234000,-133000,-104000,2372000,721000,100000,64000,475000,2474000,39613000,12391000,10133000,9864000,5232000,- -,- -,- -,- -,- -
95,Cash Used/Provided by Financing Activities,-5100000,36100000,1300000,9140000,3885000,-915000,9036000,-17857000,-54443000,2499000,-88300000,-31830000,-21709000,-40861000,-77949000,-63542000,-51808000,-89071000,-102274000,-162701000,-131707000,-149322000,-121487000,-43561000,-120418000
96,Effect of Forex Changes on Cash,- -,- -,- -,100000,31000,-186000,-259000,294000,-799000,311000,1136000,-4862000,158000,298000,-1830000,-163000,-2136000,-1091000,-1628000,-2804000,3318000,-4585000,-115000,-567000,-1748000
97,Net Change In Cash,-5100000,- -,-8100000,31337000,32997000,-19365000,76300000,6022000,-18010000,-970000,26226000,41064000,34478000,527000,-28564000,4557000,27638000,-8667000,2708000,-22801000,29907000,-26396000,11552000,94027000,59001000
98,Cash at the End of Period,- -,- -,19700000,51032000,84029000,64664000,140964000,37429000,19419000,18449000,44675000,85739000,120217000,120744000,92180000,96737000,124375000,115708000,118416000,95615000,125522000,99126000,110678000,204705000,263706000
99,Cash at the Beginning of Period,3200000,3200000,27800000,19695000,51032000,84029000,64664000,31407000,37429000,19419000,18449000,44675000,85739000,120217000,120744000,92180000,96737000,124375000,115708000,118416000,95615000,125522000,99126000,110678000,204705000
100,Free Cash Flow,5200000,-3100000,6700000,31267000,33254000,39976000,29543000,36909000,24897000,34479000,28873000,56133000,55945000,44101000,50750000,67398000,84647000,84747000,108661000,132503000,157867000,130043000,131715000,138155000,181167000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1056696/000095014401004628/0000950144-01-004628-index.html,- -,https://www.sec.gov/Archives/edgar/data/1056696/000095014403004237/0000950144-03-004237-index.html,https://www.sec.gov/Archives/edgar/data/1056696/000095014404002541/0000950144-04-002541-index.html,https://www.sec.gov/Archives/edgar/data/1056696/000095014405002666/0000950144-05-002666-index.html,https://www.sec.gov/Archives/edgar/data/1056696/000095014406002275/g00110e10vk.htm,https://www.sec.gov/Archives/edgar/data/1056696/000095014407002192/g05735e10vk.htm,https://www.sec.gov/Archives/edgar/data/1056696/000095014408001344/g11896e10vk.htm,https://www.sec.gov/Archives/edgar/data/1056696/000095014409001575/0000950144-09-001575-index.html,https://www.sec.gov/Archives/edgar/data/1056696/000095012310014461/0000950123-10-014461-index.html,https://www.sec.gov/Archives/edgar/data/1056696/000095012311017219/c12968e10vk.htm,https://www.sec.gov/Archives/edgar/data/1056696/000119312512073423/0001193125-12-073423-index.html,https://www.sec.gov/Archives/edgar/data/1056696/000119312513071744/0001193125-13-071744-index.html,https://www.sec.gov/Archives/edgar/data/1056696/000119312514038899/d645079d10k.htm,https://www.sec.gov/Archives/edgar/data/1056696/000156459015000520/manh-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/1056696/000156459016012414/0001564590-16-012414-index.html,https://www.sec.gov/Archives/edgar/data/1056696/000156459017000938/0001564590-17-000938-index.html,https://www.sec.gov/Archives/edgar/data/1056696/000156459018001747/0001564590-18-001747-index.html,https://www.sec.gov/Archives/edgar/data/1056696/000156459019002439/0001564590-19-002439-index.html,https://www.sec.gov/Archives/edgar/data/1056696/000156459020003915/0001564590-20-003915-index.html,https://www.sec.gov/Archives/edgar/data/1056696/000156459021004542/0001564590-21-004542-index.htm,https://www.sec.gov/Archives/edgar/data/1056696/000156459022004100/0001564590-22-004100-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
