,https://roic.ai/company/FISV,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/798354/000079835495000007/0000798354-95-000007-index.html,https://www.sec.gov/Archives/edgar/data/798354/000079835496000009/0000798354-96-000009-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/798354/000119312504031049/0001193125-04-031049-index.htm,https://www.sec.gov/Archives/edgar/data/798354/000119312505037404/0001193125-05-037404-index.htm,https://www.sec.gov/Archives/edgar/data/798354/000119312506055120/0001193125-06-055120-index.htm,https://www.sec.gov/Archives/edgar/data/798354/000119312507042737/0001193125-07-042737-index.htm,https://www.sec.gov/Archives/edgar/data/798354/000119312508041891/0001193125-08-041891-index.htm,https://www.sec.gov/Archives/edgar/data/798354/000119312509041067/0001193125-09-041067-index.htm,https://www.sec.gov/Archives/edgar/data/798354/000119312510042577/0001193125-10-042577-index.htm,https://www.sec.gov/Archives/edgar/data/798354/000119312511045000/0001193125-11-045000-index.htm,https://www.sec.gov/Archives/edgar/data/798354/000119312512077375/0001193125-12-077375-index.htm,https://www.sec.gov/Archives/edgar/data/798354/000119312513071589/0001193125-13-071589-index.htm,https://www.sec.gov/Archives/edgar/data/798354/000119312514060861/0001193125-14-060861-index.htm,https://www.sec.gov/Archives/edgar/data/798354/000119312515056319/0001193125-15-056319-index.htm,https://www.sec.gov/Archives/edgar/data/798354/000162828016011435/0001628280-16-011435-index.htm,https://www.sec.gov/Archives/edgar/data/798354/000079835417000006/0000798354-17-000006-index.htm,https://www.sec.gov/Archives/edgar/data/798354/000079835418000005/0000798354-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/798354/000079835419000005/0000798354-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/798354/000079835420000006/0000798354-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/798354/000079835421000004/0000798354-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/798354/000079835422000004/0000798354-22-000004-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,28300000,59700000,80800000,89400000,71600000,80554000,98856000,136088000,227239000,202768000,516127000,184471000,185328000,297000000,232000000,363000000,563000000,337000000,358000000,400000000,294000000,275000000,300000000,325000000,415000000,893000000,906000000,835000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1633693000,1796899000,1885063000,2000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,28300000,59700000,80800000,89400000,71600000,1714247000,1895755000,2021151000,227241000,202768000,516127000,184471000,185328000,297000000,232000000,363000000,563000000,337000000,358000000,400000000,294000000,275000000,300000000,325000000,415000000,893000000,906000000,835000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,120000000,154600000,160700000,197800000,1649500000,2431418000,2458931000,1738268000,2080249000,2357935000,437764000,553402000,601226000,840000000,601000000,554000000,572000000,666000000,663000000,751000000,798000000,802000000,902000000,997000000,1049000000,2782000000,2482000000,2860000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,34400000,1090800000,54400000,91300000,1376800000,89378000,91077000,108003000,119880000,120168000,100810000,105782000,176236000,3067000000,1312000000,360000000,282000000,353000000,391000000,421000000,394000000,429000000,526000000,653000000,760000000,13371000000,12831000000,15175000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,182700000,1305100000,295900000,378500000,3097900000,4235043000,4445763000,3867422000,2427370000,2680871000,1054701000,843655000,962790000,4204000000,2145000000,1277000000,1417000000,1356000000,1412000000,1572000000,1486000000,1506000000,1728000000,1975000000,2224000000,17046000000,16219000000,18870000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,113400000,148300000,143700000,149100000,179400000,195333000,205555000,247748000,223070000,206076000,213799000,226013000,248040000,372000000,303000000,293000000,267000000,258000000,249000000,266000000,317000000,396000000,405000000,390000000,398000000,1606000000,1628000000,1742000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2363078000,4817000000,4409000000,4371000000,4377000000,4720000000,4719000000,5216000000,5209000000,5200000000,5373000000,5590000000,5702000000,36038000000,36322000000,36433000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,147700000,357900000,342200000,405700000,595200000,802071000,846739000,1109822000,1672487000,2423067000,2378796000,2843310000,614818000,2324000000,2121000000,2006000000,1879000000,1881000000,1760000000,2142000000,2003000000,1872000000,1833000000,1882000000,2143000000,17642000000,15358000000,14009000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,147700000,357900000,342200000,405700000,595200000,802071000,846739000,1109822000,1672487000,2423067000,2378796000,2843310000,2977896000,7141000000,6530000000,6377000000,6256000000,6601000000,6479000000,7358000000,7212000000,7072000000,7206000000,7472000000,7845000000,53680000000,51680000000,50442000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2127000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,65000000,2720000000,2756000000,2561000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,974600000,74000000,1126700000,2703200000,85800000,75263000,88263000,97250000,2115778000,1904161000,4736053000,-462000,2019197000,129000000,353000000,431000000,341000000,333000000,357000000,317000000,322000000,366000000,404000000,452000000,730000000,2487000000,2336000000,2634000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1235700000,580200000,1612600000,3258000000,860400000,1072667000,1140557000,1454820000,4011335000,4533304000,7328648000,5195861000,5245133000,7642000000,7186000000,7101000000,6864000000,7192000000,7085000000,7941000000,7851000000,7834000000,8015000000,8314000000,9038000000,60493000000,58400000000,57379000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1418400000,1885300000,1908500000,3636500000,3958300000,5307710000,5586320000,5322242000,6438705000,7214175000,8383349000,6039516000,6207923000,11846000000,9331000000,8378000000,8281000000,8548000000,8497000000,9513000000,9337000000,9340000000,9743000000,10289000000,11262000000,77539000000,74619000000,76249000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,21400000,43900000,43500000,53800000,65400000,66400000,80633000,83303000,122266000,179184000,202616000,241751000,229025000,182000000,101000000,104000000,92000000,836000000,97000000,67000000,61000000,74000000,110000000,80000000,127000000,392000000,437000000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,95000000,38400000,234350000,19725000,112800000,100000000,139000000,100000000,- -,- -,510000000,255000000,259000000,3000000,179000000,2000000,92000000,92000000,5000000,95000000,3000000,4000000,287000000,384000000,508000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,198000000,- -,137000000,130000000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,171101000,181173000,208996000,226080000,240105000,263236000,351000000,338000000,337000000,351000000,369000000,526000000,674000000,750000000,803000000,892000000,1033000000,944000000,1142000000,1248000000,585000000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,881100000,1023700000,1084800000,2458000000,2564400000,1953561000,2181620000,1546756000,1971188000,2113841000,408468000,369917000,384343000,2711000000,1353000000,461000000,445000000,- -,480000000,499000000,583000000,620000000,723000000,822000000,935000000,13906000000,13568000000,17202000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,902500000,1067600000,1128300000,2606800000,2668200000,2254311000,2281978000,1913960000,2374627000,2641021000,937164000,851773000,876604000,3754000000,2047000000,1161000000,891000000,1384000000,1105000000,1332000000,1486000000,1502000000,1820000000,1938000000,2010000000,15727000000,15637000000,18295000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,139900000,381400000,271500000,252000000,389600000,472824000,334958000,343093000,482824000,699116000,505327000,595385000,747256000,4895000000,3850000000,3382000000,3353000000,3216000000,3228000000,3756000000,3711000000,4288000000,4467000000,4897000000,5955000000,21365000000,20300000000,20729000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,89000000,155000000,187000000,225000000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,22800000,- -,- -,- -,- -,- -,34992000,39407000,46127000,91532000,134330000,165992000,172126000,571000000,530000000,580000000,627000000,617000000,638000000,713000000,716000000,726000000,762000000,552000000,745000000,4247000000,4389000000,4172000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,2400000,2000000,1400000,8400000,14700000,1489559000,1682320000,1420956000,1707458000,1582698000,4242106000,1960626000,1986315000,159000000,310000000,229000000,181000000,73000000,109000000,127000000,129000000,164000000,153000000,171000000,170000000,1450000000,1036000000,878000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,165100000,383400000,272900000,260400000,404300000,1962383000,2052270000,1803456000,2236409000,2373346000,4881763000,2722003000,2905697000,5625000000,4690000000,4191000000,4161000000,3906000000,3975000000,4596000000,4556000000,5178000000,5382000000,5620000000,6959000000,27217000000,25912000000,26004000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,384000000,744000000,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1067600000,1451000000,1401200000,2867200000,3072500000,4216694000,4334248000,3717416000,4611036000,5014367000,5818927000,3573776000,3782301000,9379000000,6737000000,5352000000,5052000000,5290000000,5080000000,5928000000,6042000000,6680000000,7202000000,7558000000,8969000000,42944000000,41549000000,44299000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1254000,1254000,1903000,1924000,1943000,1959000,1975000,1978000,2000000,2000000,2000000,2000000,2000000,2000000,4000000,4000000,4000000,4000000,4000000,8000000,8000000,8000000,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,154800000,102700000,164900000,324500000,438600000,576510000,753531000,961748000,1227885000,1542897000,1920539000,2436977000,2886891000,3326000000,3895000000,4371000000,4867000000,5339000000,5950000000,6598000000,7352000000,8064000000,8994000000,10240000000,11635000000,12528000000,13441000000,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-103100000,-130700000,-161200000,-221100000,-285400000,-297598000,-326489000,-385081000,23882000,17345000,26695000,1321000,-131000,-41000000,-120000000,-69000000,-50000000,-78000000,-60000000,-60000000,-63000000,-74000000,-76000000,-54000000,-67000000,-180000000,-387000000,-745000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,299100000,462300000,503600000,665900000,732600000,810850000,823776000,1026256000,573978000,637623000,615229000,25467000,-463116000,-820000000,-1183000000,-1278000000,-1590000000,-2005000000,-2475000000,-2957000000,-3998000000,-5334000000,-6381000000,-7459000000,-9283000000,20623000000,19268000000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,350800000,434300000,507300000,769300000,885800000,1091016000,1252072000,1604826000,1827669000,2199808000,2564422000,2465740000,2425622000,2467000000,2594000000,3026000000,3229000000,3258000000,3417000000,3585000000,3295000000,2660000000,2541000000,2731000000,2293000000,32979000000,32330000000,30952000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1418400000,1885300000,1908500000,3636500000,3958300000,5307710000,5586320000,5322242000,6438705000,7214175000,8383349000,6039516000,6207923000,11846000000,9331000000,8378000000,8281000000,8548000000,8497000000,9513000000,9337000000,9340000000,9743000000,10289000000,11262000000,75923000000,73879000000,75251000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1616000000,740000000,998000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1418400000,1885300000,1908500000,3636500000,3958300000,5307710000,5586320000,5322242000,6438705000,7214175000,8383349000,6039516000,6207923000,11846000000,9331000000,8378000000,8281000000,8548000000,8497000000,9513000000,9337000000,9340000000,9743000000,10289000000,11262000000,77539000000,74619000000,76249000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/798354/000079835495000007/0000798354-95-000007-index.html,https://www.sec.gov/Archives/edgar/data/798354/000079835496000009/0000798354-96-000009-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/798354/000119312504031049/0001193125-04-031049-index.htm,https://www.sec.gov/Archives/edgar/data/798354/000119312505037404/0001193125-05-037404-index.htm,https://www.sec.gov/Archives/edgar/data/798354/000119312506055120/0001193125-06-055120-index.htm,https://www.sec.gov/Archives/edgar/data/798354/000119312507042737/0001193125-07-042737-index.htm,https://www.sec.gov/Archives/edgar/data/798354/000119312508041891/0001193125-08-041891-index.htm,https://www.sec.gov/Archives/edgar/data/798354/000119312509041067/0001193125-09-041067-index.htm,https://www.sec.gov/Archives/edgar/data/798354/000119312510042577/0001193125-10-042577-index.htm,https://www.sec.gov/Archives/edgar/data/798354/000119312511045000/0001193125-11-045000-index.htm,https://www.sec.gov/Archives/edgar/data/798354/000119312512077375/0001193125-12-077375-index.htm,https://www.sec.gov/Archives/edgar/data/798354/000119312513071589/0001193125-13-071589-index.htm,https://www.sec.gov/Archives/edgar/data/798354/000119312514060861/0001193125-14-060861-index.htm,https://www.sec.gov/Archives/edgar/data/798354/000119312515056319/0001193125-15-056319-index.htm,https://www.sec.gov/Archives/edgar/data/798354/000162828016011435/0001628280-16-011435-index.htm,https://www.sec.gov/Archives/edgar/data/798354/000079835417000006/0000798354-17-000006-index.htm,https://www.sec.gov/Archives/edgar/data/798354/000079835418000005/0000798354-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/798354/000079835419000005/0000798354-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/798354/000079835420000006/0000798354-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/798354/000079835421000004/0000798354-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/798354/000079835422000004/0000798354-22-000004-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,11400000,13800000,18300000,23000000,30700000,37700000,-59900000,61700000,90800000,114300000,137868000,177021000,208217000,266137000,315012000,377642000,516438000,449914000,439000000,569000000,476000000,496000000,472000000,611000000,648000000,754000000,712000000,930000000,1246000000,1187000000,893000000,958000000,1334000000
74,Depreciation and Amortization,- -,- -,- -,- -,14600000,14600000,20500000,22700000,30600000,40800000,64400000,67000000,63200000,72500000,119507000,148842000,147696000,141114000,171791000,185363000,179179000,199106000,193000000,362000000,333000000,339000000,349000000,354000000,403000000,404000000,417000000,411000000,433000000,556000000,1651000000,3210000000,3196000000
75,Deferred Income Tax,- -,- -,- -,- -,1000000,3200000,2400000,5400000,11800000,12400000,-59000000,3500000,4200000,2500000,14183000,4813000,11700000,30805000,24897000,23022000,19183000,13660000,20000000,-4000000,64000000,37000000,29000000,5000000,-9000000,3000000,20000000,21000000,-247000000,133000000,47000000,71000000,-262000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34000000,36000000,39000000,39000000,44000000,46000000,49000000,65000000,68000000,63000000,73000000,229000000,369000000,239000000
77,Change in Working Capital,- -,- -,- -,- -,-3500000,- -,- -,- -,- -,-719800000,957300000,-1069900000,-1395900000,2658000000,1551032000,183053000,-210323000,-1900719000,-12893000,77687000,-125655000,94304000,363814000,-352000000,18000000,410000000,-554000000,335000000,-67000000,-240000000,4000000,-96000000,129000000,177000000,1105000000,-737000000,-495000000
