,https://roic.ai/company/CDZI,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,- -,25500000,- -,- -,2700000,2900000,3000000,4041000,- -,16521000,21732000,22191000,22930000,27337000,28947000,6173000,3577000,20961000,7864000,10249000,11495000,9787000,11145000,10812000,12909000,13718000,10338000,13979000,9622000,13077000,11660000,12430000,12295000,17653000
11,COGS and Expenses,- -,25500000,23300000,8300000,3100000,3100000,3400000,4041000,- -,93087000,96474000,106012000,110855000,106445000,115303000,9138000,3577000,21955000,8585000,10815000,12593000,10889000,12072000,12253000,13430000,14273000,10695000,14313000,9622000,13077000,11660000,12430000,12295000,18076000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35000,8000,1000,3000,- -,- -,- -,- -,51000,223000,226000,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4349000,4742000,3261000,6712000,6292000,8292000,9872000,14637000,14969000,16689000,16991000,10899000,11386000
14,Depreciation and Amortization,- -,- -,- -,- -,-700000,-700000,-1000000,1450000,- -,9227000,10601000,11060000,10926000,11664000,13241000,1602000,4294000,257000,977000,2175000,2717000,342000,344000,365000,350000,254000,254000,270000,292000,274000,258000,265000,381000,423000
15,EBITDA,- -,600000,-6600000,-19600000,-9400000,-4800000,-4800000,-3141000,- -,689000,3131000,2466000,-11372000,-14001000,-8984000,-9934000,-11743000,-22432000,-12842000,-11454000,-13186000,-9704000,-10807000,-13204000,-12823000,-16125000,-10331000,-13867000,-11406000,-18617000,-9320000,-12266000,-26530000,-18488000
16,EBITDA ratio,- -,0.0225,-0.3607,-17.8182,-94.0000,-48.0000,-48.0000,-5.7845,- -,0.0069,0.0294,0.0214,-0.1055,-0.1395,-0.0786,-3.1417,-249.8511,-18.7402,-20.9153,-26.8873,-13.2923,-12.0099,-10.5640,-12.9578,-35.4227,-53.5714,-30.7470,-45.6151,-27.6845,-42.6018,-21.1818,-27.8141,-49.0388,-32.7801
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,-3498000,- -,7070000,10070000,9217000,-3110000,-6114000,-1053000,-6631000,-3530000,-20758000,-7971000,-10389000,-11601000,-10081000,-11049000,-11234000,-13068000,-13972000,-10359000,-14009000,-9210000,-12640000,-11220000,-11989000,-11754000,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,-6.4420,- -,0.0706,0.0945,0.0800,-0.0289,-0.0609,-0.0092,-2.0971,-75.1064,-17.3417,-12.9821,-24.3873,-11.6946,-12.4765,-10.8006,-11.0245,-36.0994,-46.4186,-30.8304,-46.0822,-22.3544,-28.9245,-25.5000,-27.1859,-21.7264,- -
19,Total Other Income Expenses (Gains),- -,-600000,-1600000,- -,- -,- -,100000,- -,- -,-15608000,-17540000,- -,-19188000,-19551000,-21172000,-4905000,-12507000,-1931000,-5848000,-3240000,-4302000,-4314000,-4844000,-5596000,-6817000,-8699000,-8518000,-10000000,-17125000,-21220000,-15047000,-17043000,-23887000,- -
20,Income Before Tax,- -,600000,-6600000,- -,- -,- -,- -,- -,- -,-8538000,-7470000,- -,-22298000,-25665000,-22225000,-11536000,-16037000,-22689000,-13819000,-13629000,-15903000,-14395000,-15893000,-16830000,-19885000,-22671000,-18877000,-24009000,-26335000,-33860000,-26267000,-29032000,-35641000,-30297000
21,Income Before Tax Ratio,- -,0.0225,-0.3607,- -,- -,- -,- -,- -,- -,-0.0852,-0.0701,- -,-0.2070,-0.2558,-0.1945,-3.6483,-341.2128,-18.9549,-22.5065,-31.9930,-16.0313,-17.8156,-15.5357,-16.5162,-54.9309,-75.3189,-56.1815,-78.9770,-63.9199,-77.4828,-59.6977,-65.8322,-65.8799,-53.7181
22,Income Tax expense (Gain),- -,300000,-600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,160000,57000,- -,- -,- -,336000,6000,4000,6000,4000,6000,7000,-311000,6000,4000,4000,4000,4000,6000,6000,7000,-10000
23,Net Income,- -,300000,-6000000,-19600000,-8700000,-4100000,-3800000,-4591000,- -,-8538000,-7470000,-8594000,-22458000,-25722000,-22225000,-11536000,-16037000,-23025000,-13825000,-13633000,-15909000,-14399000,-15899000,-16837000,-19574000,-22677000,-18881000,-24013000,-26339000,-33864000,-26273000,-29528000,-37817000,-30287000
24,Net Income ratio,- -,0.0112,-0.3279,-17.8182,-87.0000,-41.0000,-38.0000,-8.4549,- -,-0.0852,-0.0701,-0.0746,-0.2084,-0.2564,-0.1945,-3.6483,-341.2128,-19.2356,-22.5163,-32.0023,-16.0373,-17.8205,-15.5415,-16.5231,-54.0718,-75.3389,-56.1935,-78.9901,-63.9296,-77.4920,-59.7114,-66.9569,-69.9020,-53.7004
25,EPS,- -,0.44,-8.80,-28.73,-12.75,-6.01,-5.57,-7.00,- -,-8.25,-5.75,-6.25,-16.00,-18.75,-16.76,-6.39,-2.32,-2.14,-1.21,-1.15,-1.32,-1.13,-1.16,-1.20,-1.27,-1.46,-1.15,-1.35,-1.41,-1.50,-1.09,-1.11,-1.11,-1.14
26,EPS Diluted,- -,0.44,-8.80,-28.73,-12.75,-6.01,-5.57,-7.00,- -,-8.25,-5.75,-6.25,-16.00,-18.75,-16.76,-6.39,-2.32,-2.14,-1.21,-1.15,-1.32,-1.13,-1.16,-1.20,-1.27,-1.46,-1.15,-1.35,-1.41,-1.50,-1.09,-1.11,-1.11,-1.14
27,Weighted Average Shares Outstanding,- -,682138,682138,682138,682138,682138,682138,655857,707250,1179400,1326920,1387120,1413760,1434160,1452000,2200000,6911000,10756000,11381000,11845000,12014000,12722000,13672000,14082000,15438000,15570000,16370000,17782000,18719000,22535000,23998000,26549000,34188000,26549000
28,Weighted Average Shares Outstanding Diluted,- -,682138,682138,682138,682138,682138,682138,655857,707250,1179400,1326920,1387120,1413760,1434160,1452000,2200000,6911000,10756000,11381000,11845000,12014000,12722000,13672000,14082000,15438000,15570000,16370000,17782000,18719000,22535000,23998000,26549000,34188000,26549000
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/727273/000072727301500026/0000727273-01-500026-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/727273/000072727306000010/0000727273-06-000010-index.htm,- -,https://www.sec.gov/Archives/edgar/data/727273/000072727308000006/0000727273-08-000006-index.htm,https://www.sec.gov/Archives/edgar/data/727273/000072727309000010/0000727273-09-000010-index.htm,https://www.sec.gov/Archives/edgar/data/727273/000072727310000004/0000727273-10-000004-index.htm,https://www.sec.gov/Archives/edgar/data/727273/000072727311000003/0000727273-11-000003-index.htm,https://www.sec.gov/Archives/edgar/data/727273/000072727312000006/0000727273-12-000006-index.htm,https://www.sec.gov/Archives/edgar/data/727273/000072727313000008/0000727273-13-000008-index.htm,https://www.sec.gov/Archives/edgar/data/727273/000072727314000003/0000727273-14-000003-index.htm,https://www.sec.gov/Archives/edgar/data/727273/000072727315000005/0000727273-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/727273/000072727316000047/0000727273-16-000047-index.htm,https://www.sec.gov/Archives/edgar/data/727273/000072727317000008/0000727273-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/727273/000072727318000003/0000727273-18-000003-index.htm,https://www.sec.gov/Archives/edgar/data/727273/000072727319000004/0000727273-19-000004-index.htm,https://www.sec.gov/Archives/edgar/data/727273/000072727320000011/0000727273-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/727273/000143774921007331/0001437749-21-007331-index.htm,https://www.sec.gov/Archives/edgar/data/727273/000143774922007512/0001437749-22-007512-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,700000,100000,4400000,2454000,- -,5298000,13635000,4537000,4768000,1458000,3229000,3422000,9031000,5302000,10397000,8921000,2014000,8878000,5911000,11370000,1685000,11887000,16206000,2690000,12172000,13030000,12558000,15682000,7290000,10965000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1354000,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,700000,100000,4400000,2454000,- -,5298000,13635000,4537000,4768000,1458000,3229000,3422000,9031000,5302000,10397000,8921000,6514000,8878000,5911000,11370000,1685000,11887000,16206000,2690000,12172000,13030000,12558000,15682000,8644000,10965000
34,Net Receivables,- -,- -,- -,- -,200000,100000,100000,- -,- -,5881000,6295000,8436000,7884000,6327000,7754000,- -,- -,170000,301000,20000,66000,175000,277000,139000,260000,291000,239000,187000,39000,36000,38000,49000,55000,270000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,198000,- -,13838000,15019000,18423000,15203000,13027000,13513000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,148000,- -,1161000,992000,917000,631000,788000,1166000,248000,1222000,774000,243000,216000,507000,362000,299000,604000,404000,350000,346000,309000,3391000,411000,408000,386000,-663000,1979000
37,Total Current Assets,- -,- -,- -,- -,900000,200000,4500000,2800000,- -,26178000,35941000,32313000,28486000,21600000,25662000,3670000,10253000,6246000,10941000,9157000,7087000,9415000,6487000,12113000,2349000,12528000,16791000,3186000,15602000,13477000,13004000,16117000,8036000,13214000
38,PP&E,- -,- -,- -,- -,800000,1000000,1100000,2308000,- -,160193000,166022000,169009000,164824000,165297000,154928000,39514000,35552000,35323000,35190000,36032000,35784000,36613000,38315000,41886000,44074000,43820000,43640000,44474000,44182000,45269000,46619000,50006000,53496000,82171000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,5389000,- -,- -,- -,- -,- -,- -,3813000,3813000,- -,- -,3813000,3813000,3813000,3813000,3813000,3813000,3813000,3813000,3813000,3813000,3813000,3813000,3813000,3813000,3813000,3813000
40,Intangible Assets,- -,- -,- -,- -,6100000,5900000,5600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,3813000,3813000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,6100000,5900000,5600000,5389000,- -,- -,- -,- -,- -,- -,3813000,3813000,3813000,3813000,3813000,3813000,3813000,3813000,3813000,3813000,3813000,3813000,3813000,3813000,3813000,3813000,3813000,3813000,3813000,3813000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,258000,- -,- -,- -,- -,- -,- -,- -,- -,- -,729000,1354000,976000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,21300000,20500000,22900000,24391000,- -,16678000,12396000,12780000,11784000,11378000,7480000,2529000,1453000,664000,382000,570000,728000,220000,321000,186000,282000,4013000,3968000,3943000,3502000,3946000,5873000,6059000,7664000,12319000
45,Total Non-Current Assets,- -,- -,- -,- -,28200000,27400000,29600000,32088000,- -,176871000,178418000,181789000,176608000,176675000,166221000,45856000,40818000,39800000,39385000,40415000,40325000,40904000,42449000,45885000,48169000,51646000,51421000,52230000,51497000,53028000,56305000,60607000,66327000,99279000
46,Other Assets,- -,48400000,55200000,34500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,48400000,55200000,34500000,29100000,27600000,34100000,34888000,- -,203049000,214359000,214102000,205094000,198275000,191883000,49526000,51071000,46046000,50326000,49572000,47412000,50319000,48936000,57998000,50518000,64174000,68212000,55416000,67099000,66505000,69309000,76724000,74363000,112493000
48,Accounts Payable,- -,- -,- -,- -,800000,1000000,1000000,1174000,- -,8517000,8753000,8110000,9377000,11758000,7394000,857000,470000,369000,444000,408000,247000,499000,358000,1069000,957000,833000,302000,309000,439000,411000,225000,194000,548000,286000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,519000,613000,725000,859000,5370000,45419000,- -,- -,8000,9000,9000,9000,20000,16000,4000,11000,11000,11000,49000,170000,1408000,59000,75000,51000,238000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,750000,750000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,426000,- -,6114000,6846000,7686000,5815000,5680000,6816000,1545000,743000,819000,380000,744000,775000,829000,1518000,1370000,1395000,1738000,1580000,1665000,3953000,4668000,3858000,4536000,1786000,1239000
53,Total Current Liabilities,- -,- -,- -,- -,800000,1000000,1000000,1600000,- -,15150000,16212000,16521000,16051000,22808000,59629000,2402000,1213000,1196000,833000,1161000,1031000,1348000,1892000,2443000,2363000,2582000,1893000,2023000,4562000,6487000,4142000,4805000,3135000,2513000
54,Long-Term Debt,- -,13600000,17000000,19900000,18800000,17900000,13700000,16381000,- -,131689000,142317000,142089000,145610000,141429000,115447000,30253000,25000000,25883000,25881000,29652000,33975000,36665000,44403000,52032000,63250000,96417000,104384000,108218000,102374000,123768000,136246000,137565000,78596000,49734000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,670000,750000,750000,750000,750000,750000,750000,750000,750000,750000,750000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,5447000,5447000,5447000,5447000,5447000,5447000,- -,- -,- -,- -,- -,- -,- -,321000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,-81000,- -,382000,673000,375000,4263000,10888000,12481000,654000,- -,- -,- -,- -,- -,1073000,1374000,923000,923000,923000,923000,923000,13730000,14199000,14411000,15722000,17183000,18887000
58,Total Non-Current Liabilities,- -,13600000,17000000,19900000,18800000,17900000,13700000,16300000,- -,137518000,148437000,147911000,155320000,157764000,133375000,30907000,25000000,25883000,25881000,29652000,33975000,37738000,46098000,53625000,64923000,98090000,106057000,109891000,116854000,138717000,151407000,154037000,96529000,69371000
59,Other Liabilities,- -,37400000,43900000,44000000,39800000,36900000,28100000,32640000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12287000,13276000,14411000,15766000,17183000,- -
61,Total Liabilities,- -,23800000,26900000,24100000,21800000,20000000,15400000,17940000,- -,152668000,164649000,164432000,171371000,180572000,193004000,33309000,26213000,27079000,26714000,30813000,35006000,39086000,47990000,56068000,67286000,100672000,107950000,111914000,121416000,145204000,155549000,158842000,99664000,71884000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,170000,- -,326000,336000,352000,357000,361000,15000,65000,103000,114000,116000,119000,125000,135000,137000,154000,154000,161000,177000,179000,218000,230000,247000,285000,368000,436000
64,Retained Earnings,- -,700000,-5300000,-24800000,-33500000,-37600000,-41300000,-45909000,- -,-70818000,-78288000,-86882000,-109340000,-135062000,-157287000,-168823000,-184860000,-207885000,-221710000,-235343000,-251252000,-265651000,-281550000,-298387000,-317961000,-340638000,-359519000,-383532000,-409871000,-443735000,-470008000,-501597000,-539414000,-573400000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-3500000,-600000,-800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5739000,-4231000,-2987000,-3139000,-3480000,-3822000,-4166000,-4531000,-4881000,-5136000,-5389000,-5659000,-5951000,-6170000,-6428000,-6693000,- -,- -
66,Other Total Stockholders Equity,- -,23900000,33600000,35200000,44300000,45800000,60800000,62687000,- -,120873000,127662000,136200000,142706000,152404000,156151000,184974000,215354000,230969000,248193000,257122000,267013000,280571000,286525000,304694000,305920000,309115000,324993000,332514000,361287000,370976000,389949000,425887000,513744000,613573000
67,Total Stockholders Equity,- -,24600000,28300000,10400000,7300000,7600000,18700000,16948000,- -,50381000,49710000,49670000,33723000,17703000,-1121000,16217000,24858000,18967000,23612000,18759000,12406000,11233000,946000,1930000,-16768000,-36498000,-39738000,-56498000,-54317000,-78699000,-86240000,-82118000,-25301000,40609000
68,Total Liabilities And Stockholders Equity,- -,48400000,55200000,34500000,29100000,27600000,34100000,34888000,- -,203049000,214359000,214102000,205094000,198275000,191883000,49526000,51071000,46046000,50326000,49572000,47412000,50319000,48936000,57998000,50518000,64174000,68212000,55416000,67099000,66505000,69309000,76724000,74363000,112493000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,48400000,55200000,34500000,29100000,27600000,34100000,34888000,- -,203049000,214359000,214102000,205094000,198275000,191883000,49526000,51071000,46046000,50326000,49572000,47412000,50319000,48936000,57998000,50518000,64174000,68212000,55416000,67099000,66505000,69309000,76724000,74363000,112493000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/727273/000072727301500026/0000727273-01-500026-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/727273/000072727306000010/0000727273-06-000010-index.htm,- -,https://www.sec.gov/Archives/edgar/data/727273/000072727308000006/0000727273-08-000006-index.htm,https://www.sec.gov/Archives/edgar/data/727273/000072727309000010/0000727273-09-000010-index.htm,https://www.sec.gov/Archives/edgar/data/727273/000072727310000004/0000727273-10-000004-index.htm,https://www.sec.gov/Archives/edgar/data/727273/000072727311000003/0000727273-11-000003-index.htm,https://www.sec.gov/Archives/edgar/data/727273/000072727312000006/0000727273-12-000006-index.htm,https://www.sec.gov/Archives/edgar/data/727273/000072727313000008/0000727273-13-000008-index.htm,https://www.sec.gov/Archives/edgar/data/727273/000072727314000003/0000727273-14-000003-index.htm,https://www.sec.gov/Archives/edgar/data/727273/000072727315000005/0000727273-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/727273/000072727316000047/0000727273-16-000047-index.htm,https://www.sec.gov/Archives/edgar/data/727273/000072727317000008/0000727273-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/727273/000072727318000003/0000727273-18-000003-index.htm,https://www.sec.gov/Archives/edgar/data/727273/000072727319000004/0000727273-19-000004-index.htm,https://www.sec.gov/Archives/edgar/data/727273/000072727320000011/0000727273-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/727273/000143774921007331/0001437749-21-007331-index.htm,https://www.sec.gov/Archives/edgar/data/727273/000143774922007512/0001437749-22-007512-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,-8700000,-4100000,-3800000,-4591000,-8487000,-8538000,-7470000,-8594000,-22458000,-25722000,-22225000,-11536000,-16037000,-23025000,-13825000,-13633000,-15909000,-14399000,-15899000,-16837000,-19574000,-22677000,-18881000,-24013000,-26339000,-33864000,-26273000,-29528000,-37817000,-30287000
74,Depreciation and Amortization,- -,- -,- -,- -,-700000,-700000,-1000000,1450000,1909000,9227000,10601000,11060000,10926000,11664000,13241000,1602000,4294000,257000,977000,2175000,2717000,342000,344000,365000,350000,254000,254000,270000,292000,274000,258000,265000,381000,423000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2273000,4009000,2376000,383000,516000,1077000,1116000,1296000,2304000,473000,562000,2096000,4747000
77,Change in Working Capital,- -,- -,- -,- -,100000,100000,-900000,4300000,-2300000,9828000,8701000,-3937000,-3357000,-13643000,-32759000,35235000,7772000,-3990000,5058000,-2112000,-1940000,2011000,-3472000,5075000,-9684000,9960000,4952000,-13735000,9877000,-4050000,1872000,2450000,-6411000,5800000
78,Accounts Receivable,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-109000,-102000,138000,-121000,-31000,52000,52000,148000,3000,-2000,-11000,-6000,-215000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,570000,-1559000,-3318000,2740000,1830000,-1116000,-3043000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,900000,1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,252000,-141000,304000,128000,43000,-533000,9000,130000,-79000,-98000,-68000,129000,-92000
81,Other Working Capital,- -,- -,- -,- -,- -,100000,-800000,3500000,1200000,11028000,19729000,15792000,12435000,-1208000,-33967000,1268000,9040000,5050000,10108000,7996000,6056000,8067000,4595000,9670000,-14000,9946000,14898000,1163000,11040000,6990000,8862000,11312000,4901000,10701000
82,Other Non-Cash Items,- -,- -,- -,- -,4100000,1800000,2300000,-3992000,3142000,-10359000,-19729000,-1124000,7235000,23399000,31610000,-31885000,-3668000,23057000,2514000,8287000,7999000,3395000,8257000,1507000,17125000,-3820000,2477000,23794000,5360000,24870000,11477000,12543000,28323000,4043000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,-5200000,-2900000,-3400000,-2833000,-5736000,158000,-7897000,-2595000,-7654000,-4302000,-10133000,-6584000,-7639000,-3701000,-5276000,-5283000,-7133000,-6378000,-6761000,-7514000,-11400000,-15767000,-10121000,-12568000,-9514000,-10466000,-12193000,-13708000,-13428000,-15274000
84,CAPEX,- -,- -,- -,- -,- -,-200000,-400000,-1506000,-358000,-2114000,-7308000,-4835000,-1252000,-1583000,-638000,-140000,-8000,-68000,-22000,-1105000,-93000,-119000,-1184000,-4140000,-3226000,-167000,-72000,-906000,- -,-1006000,-1726000,-1599000,-5729000,-22908000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-904000,-3109000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-525000,- -,- -,-2142000,- -,- -,- -,-8819000,-4500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2000000,- -,-1000000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8819000,- -,4500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,-1600000,-1700000,-1862000,-1999000,-785000,9975000,-7786000,-915000,-3877000,-1451000,-1173000,2132000,- -,- -,-250000,-235000,- -,- -,- -,-63000,- -,- -,- -,- -,- -,- -,- -,- -,-564000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-1800000,-2100000,-3368000,-2357000,-2899000,2667000,-12621000,-2692000,-5460000,-2089000,-3455000,2124000,-68000,- -,-1355000,-4828000,4381000,-1184000,-4140000,-3289000,-167000,-72000,-906000,- -,-1006000,-3726000,-2503000,-9838000,-23472000
90,Debt Repayment,- -,- -,- -,- -,- -,-800000,-4600000,-530000,-177000,-141248000,-587000,-685000,-686000,-1564000,-1171000,-7000,- -,- -,- -,- -,- -,-20000,-22000,-16000,-10000,-11000,-11000,-42000,-10554000,-44923000,-56000,-59000,-43000,-77595000
