,https://roic.ai/company/HD,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
17,Operating Income,19000000,58300000,98300000,126700000,184600000,265700000,381700000,549400000,706700000,987200000,1179900000,1533700000,2016000000,2661000000,3795000000,4191000000,4932000000,5830000000,6846000000,7926000000,9363000000,9673000000,7242000000,4359000000,4803000000,5839000000,6661000000,7766000000,9166000000,10469000000,11774000000,13427000000,14681000000,15530000000,15843000000,18278000000,23040000000
18,Operating Income ratio,0.0271,0.0576,0.0676,0.0634,0.0669,0.0696,0.0743,0.0769,0.0765,0.0791,0.0763,0.0785,0.0835,0.0881,0.0987,0.0916,0.0921,0.1001,0.1056,0.1084,0.1149,0.1065,0.0936,0.0611,0.0726,0.0859,0.0946,0.1039,0.1163,0.1259,0.1330,0.1419,0.1455,0.1435,0.1437,0.1384,0.1524
19,Total Other Income Expenses (Gains),-7400000,-11200000,-2700000,-800000,-2500000,-5900000,14500000,26600000,30200000,-7200000,15100000,9300000,-118000000,-7000000,9000000,26000000,25000000,42000000,-3000000,-14000000,-81000000,-365000000,-622000000,-769000000,-821000000,-566000000,-593000000,-545000000,-699000000,-493000000,-753000000,-936000000,-983000000,-974000000,-1128000000,-1300000000,-1303000000
20,Income Before Tax,11600000,47100000,95600000,125900000,182100000,259800000,396200000,576000000,736900000,980000000,1195000000,1543000000,1898000000,2654000000,3804000000,4217000000,4957000000,5872000000,6843000000,7912000000,9282000000,9308000000,6620000000,3590000000,3982000000,5273000000,6068000000,7221000000,8467000000,9976000000,11021000000,12491000000,13698000000,14556000000,14715000000,16978000000,21737000000
21,Income Before Tax Ratio,0.0166,0.0466,0.0658,0.0630,0.0660,0.0681,0.0771,0.0806,0.0798,0.0785,0.0772,0.0790,0.0786,0.0878,0.0990,0.0922,0.0926,0.1008,0.1056,0.1082,0.1139,0.1025,0.0856,0.0504,0.0602,0.0775,0.0862,0.0966,0.1074,0.1199,0.1245,0.1320,0.1358,0.1345,0.1335,0.1285,0.1438
22,Income Tax expense (Gain),3400000,23200000,41500000,49100000,70100000,96400000,147000000,213100000,279500000,375000000,464000000,597000000,738000000,1040000000,1484000000,1636000000,1913000000,2208000000,2539000000,2911000000,3444000000,3547000000,2410000000,1278000000,1362000000,1935000000,2185000000,2686000000,3082000000,3631000000,4012000000,4534000000,5068000000,3435000000,3473000000,4112000000,5304000000
23,Net Income,8200000,23900000,54100000,76800000,112000000,163400000,249200000,362900000,457400000,605000000,732000000,938000000,1160000000,1614000000,2320000000,2581000000,3044000000,3664000000,4304000000,5001000000,5838000000,5761000000,4395000000,2260000000,2661000000,3338000000,3883000000,4535000000,5385000000,6345000000,7009000000,7957000000,8630000000,11121000000,11242000000,12866000000,16433000000
24,Net Income ratio,0.0117,0.0236,0.0372,0.0384,0.0406,0.0428,0.0485,0.0508,0.0495,0.0485,0.0473,0.0480,0.0480,0.0534,0.0604,0.0564,0.0568,0.0629,0.0664,0.0684,0.0716,0.0634,0.0568,0.0317,0.0402,0.0491,0.0552,0.0607,0.0683,0.0763,0.0792,0.0841,0.0855,0.1028,0.1020,0.0974,0.1087
25,EPS,0.01,0.02,0.04,0.05,0.07,0.10,0.13,0.19,0.23,0.29,0.35,0.43,0.53,0.73,1.03,1.11,1.30,1.57,1.88,2.27,2.73,2.80,2.38,1.34,1.58,2.03,2.49,3.03,3.78,4.74,5.49,6.47,7.33,9.78,10.29,11.98,15.59
26,EPS Diluted,0.01,0.02,0.04,0.05,0.07,0.10,0.13,0.19,0.23,0.29,0.34,0.43,0.52,0.71,1.00,1.10,1.29,1.56,1.88,2.26,2.72,2.79,2.37,1.34,1.57,2.01,2.47,3.00,3.76,4.71,5.46,6.45,7.29,9.73,10.25,11.94,15.53
27,Weighted Average Shares Outstanding,820000000,1195000000,1352500000,1536000000,1600000000,1634000000,1916923077,1910000000,1988695652,2084482759,2090000000,2194884000,2188679245,2206500000,2244000000,2315000000,2335000000,2336000000,2283000000,2207000000,2138000000,2054000000,1849000000,1682000000,1683000000,1648000000,1562000000,1499000000,1425000000,1338000000,1277000000,1229000000,1178000000,1137000000,1093000000,1074000000,1054000000
28,Weighted Average Shares Outstanding Diluted,820000000,1195000000,1352500000,1536000000,1600000000,1634000000,1916923077,1910000000,1988695652,2084482759,2151470588,2194884000,2230769231,2320500000,2342000000,2352000000,2353000000,2344000000,2289000000,2216000000,2147000000,2062000000,1856000000,1686000000,1692000000,1658000000,1570000000,1511000000,1434000000,1346000000,1283000000,1234000000,1184000000,1143000000,1097000000,1078000000,1058000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/354950/000035495096000002/0000354950-96-000002-index.html,https://www.sec.gov/Archives/edgar/data/354950/000095014497004508/0000950144-97-004508-index.html,https://www.sec.gov/Archives/edgar/data/354950/000095014498005045/0000950144-98-005045-index.html,- -,https://www.sec.gov/Archives/edgar/data/354950/000095014400005338/0000950144-00-005338-index.html,- -,https://www.sec.gov/Archives/edgar/data/354950/000095014402004155/0000950144-02-004155-index.html,- -,https://www.sec.gov/Archives/edgar/data/354950/000104746904011651/a2132560z10-k.htm,https://www.sec.gov/Archives/edgar/data/354950/000104746905009783/a2153171z10-k.htm,https://www.sec.gov/Archives/edgar/data/354950/000104746906004211/a2168212z10-k.htm,https://www.sec.gov/Archives/edgar/data/354950/000104746907002295/a2176777z10-k.htm,https://www.sec.gov/Archives/edgar/data/354950/000104746908004077/0001047469-08-004077-index.html,https://www.sec.gov/Archives/edgar/data/354950/000095014409002875/0000950144-09-002875-index.html,https://www.sec.gov/Archives/edgar/data/354950/000119312510067178/0001193125-10-067178-index.html,https://www.sec.gov/Archives/edgar/data/354950/000119312511076501/d10k.htm,https://www.sec.gov/Archives/edgar/data/354950/000035495012000003/0000354950-12-000003-index.html,https://www.sec.gov/Archives/edgar/data/354950/000035495013000008/0000354950-13-000008-index.html,https://www.sec.gov/Archives/edgar/data/354950/000035495014000008/hd-222014x10xk.htm,https://www.sec.gov/Archives/edgar/data/354950/000035495015000008/hd-212015x10xk.htm,https://www.sec.gov/Archives/edgar/data/354950/000035495016000060/0000354950-16-000060-index.html,https://www.sec.gov/Archives/edgar/data/354950/000035495017000005/0000354950-17-000005-index.html,https://www.sec.gov/Archives/edgar/data/354950/000035495018000019/0000354950-18-000019-index.html,https://www.sec.gov/Archives/edgar/data/354950/000035495019000010/0000354950-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/354950/000035495020000015/0000354950-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/354950/000035495021000089/0000354950-21-000089-index.htm,https://www.sec.gov/Archives/edgar/data/354950/000035495022000070/0000354950-22-000070-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,53000000,146000000,172000000,62000000,168000000,- -,2477000000,2188000000,2826000000,506000000,793000000,600000000,445000000,519000000,1421000000,545000000,1987000000,2494000000,1929000000,1723000000,2216000000,2538000000,3595000000,1778000000,2133000000,7895000000,2343000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,57000000,55000000,412000000,2000000,- -,2000000,- -,69000000,65000000,26000000,1659000000,14000000,14000000,12000000,6000000,6000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,58000000,108000000,558000000,174000000,62000000,170000000,- -,2546000000,2253000000,2852000000,2165000000,807000000,614000000,457000000,525000000,1427000000,545000000,1987000000,2494000000,1929000000,1723000000,2216000000,2538000000,3595000000,1778000000,2133000000,7895000000,2343000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,272000000,325000000,388000000,556000000,469000000,587000000,- -,920000000,1072000000,1097000000,1499000000,2396000000,3223000000,1259000000,972000000,964000000,1085000000,1245000000,1395000000,1398000000,1484000000,1890000000,2029000000,1952000000,1936000000,2106000000,2992000000,3426000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,1749000000,2180000000,2708000000,3602000000,4293000000,5489000000,- -,6725000000,8338000000,9076000000,10076000000,11401000000,12822000000,11731000000,10673000000,10188000000,10625000000,10325000000,10710000000,11057000000,11079000000,11809000000,12549000000,12748000000,13925000000,14531000000,16627000000,22068000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,54000000,59000000,55000000,128000000,109000000,144000000,- -,170000000,254000000,303000000,450000000,742000000,1341000000,1227000000,1192000000,1321000000,1224000000,963000000,773000000,895000000,1016000000,1078000000,608000000,638000000,890000000,1040000000,963000000,1218000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,2133000000,2672000000,3709000000,4460000000,4933000000,6390000000,- -,10361000000,11917000000,13328000000,14190000000,15346000000,18000000000,14674000000,13362000000,13900000000,13479000000,14520000000,15372000000,15279000000,15302000000,16993000000,17724000000,18933000000,18529000000,19810000000,28477000000,29055000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,3397000000,4461000000,5437000000,6509000000,8160000000,10227000000,- -,15375000000,17168000000,20063000000,22726000000,24901000000,26605000000,27476000000,26234000000,25550000000,25060000000,24448000000,38491000000,39064000000,38513000000,39266000000,40426000000,22075000000,22375000000,22770000000,30667000000,31167000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,89000000,87000000,87000000,140000000,- -,311000000,- -,419000000,575000000,833000000,1394000000,3286000000,6314000000,1109000000,1134000000,1171000000,1187000000,1120000000,1170000000,1289000000,1353000000,2102000000,2093000000,2275000000,2252000000,2254000000,7126000000,7449000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,268000000,- -,- -,- -,- -,- -,- -,- -,778000000,100000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,89000000,87000000,87000000,140000000,268000000,311000000,- -,419000000,575000000,833000000,1394000000,3286000000,7092000000,1209000000,1134000000,1171000000,1187000000,1120000000,1170000000,1289000000,1353000000,2102000000,2093000000,2275000000,2252000000,2254000000,7126000000,7449000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,98000000,25000000,8000000,15000000,- -,15000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,19000000,37000000,66000000,78000000,- -,87000000,- -,189000000,362000000,967000000,1309000000,1023000000,1416000000,688000000,369000000,- -,272000000,340000000,319000000,514000000,642000000,- -,296000000,440000000,491000000,706000000,- -,909000000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,42000000,72000000,35000000,27000000,104000000,51000000,- -,50000000,-11000000,-754000000,-712000000,-74000000,-850000000,277000000,65000000,256000000,127000000,90000000,-14268000000,-15628000000,-15864000000,-15812000000,-17573000000,806000000,356000000,5696000000,4311000000,3296000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,3645000000,4682000000,5633000000,6769000000,8532000000,10691000000,- -,16033000000,18094000000,21109000000,24717000000,29136000000,34263000000,29650000000,27802000000,26977000000,26646000000,25998000000,25712000000,25239000000,24644000000,25556000000,25242000000,25596000000,25474000000,31426000000,42104000000,42821000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,5778000000,7354000000,9342000000,11229000000,13465000000,17081000000,- -,26394000000,30011000000,34437000000,38907000000,44482000000,52263000000,44324000000,41164000000,40877000000,40125000000,40518000000,41084000000,40518000000,39946000000,42549000000,42966000000,44529000000,44003000000,51236000000,70581000000,71876000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,681000000,825000000,1090000000,1358000000,1586000000,1993000000,- -,3436000000,4560000000,5159000000,5766000000,6032000000,7356000000,5732000000,4822000000,4863000000,4717000000,4856000000,5376000000,5797000000,5807000000,6565000000,7000000000,7244000000,7755000000,7787000000,11606000000,13462000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14000000,- -,- -,- -,- -,509000000,11000000,1413000000,18000000,2047000000,1767000000,1020000000,1042000000,30000000,1321000000,33000000,328000000,427000000,1252000000,2761000000,2395000000,3641000000,2244000000,4312000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,626000000,470000000,381000000,414000000,494000000,408000000,469000000,510000000,533000000,574000000,667000000,660000000,967000000,848000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1281000000,1546000000,1757000000,1634000000,1474000000,1165000000,1158000000,1177000000,1147000000,1270000000,1337000000,1468000000,1566000000,1669000000,1805000000,1782000000,2116000000,2823000000,3596000000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,533000000,591000000,752000000,1098000000,1257000000,1663000000,- -,3065000000,3475000000,2605000000,3206000000,3699000000,3923000000,3453000000,3399000000,3322000000,3186000000,3343000000,3495000000,3582000000,3666000000,3968000000,4212000000,4384000000,4784000000,4831000000,6493000000,7323000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1214000000,1416000000,1842000000,2456000000,2857000000,3656000000,- -,6501000000,8035000000,9554000000,10529000000,12901000000,12931000000,12706000000,11153000000,10363000000,10122000000,9376000000,11462000000,10749000000,11269000000,12526000000,14133000000,16194000000,16716000000,18375000000,23166000000,28693000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,983000000,720000000,1247000000,1303000000,1566000000,750000000,- -,1250000000,1321000000,856000000,2148000000,2672000000,11643000000,11383000000,9667000000,8662000000,8707000000,10758000000,9475000000,14691000000,16869000000,20888000000,22349000000,24267000000,26807000000,28670000000,35822000000,41957000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,909000000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,85000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,319000000,272000000,340000000,319000000,514000000,642000000,854000000,296000000,440000000,491000000,706000000,1131000000,909000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,139000000,230000000,298000000,372000000,208000000,334000000,- -,561000000,853000000,1620000000,2072000000,2000000000,2659000000,2521000000,2567000000,2140000000,2135000000,2146000000,2051000000,2042000000,1844000000,1965000000,1855000000,2174000000,1867000000,6601000000,7163000000,1104000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1122000000,950000000,1545000000,1675000000,1859000000,1084000000,- -,1811000000,2174000000,2476000000,4220000000,4672000000,14302000000,13904000000,12234000000,11121000000,11114000000,13244000000,11845000000,17247000000,19355000000,23707000000,24500000000,26881000000,29165000000,35977000000,44116000000,44879000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5894000000,6184000000,6183000000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,2336000000,2366000000,3387000000,4131000000,4716000000,4740000000,- -,8312000000,10209000000,12030000000,14749000000,17573000000,27233000000,26610000000,23387000000,21484000000,21236000000,22620000000,23307000000,27996000000,30624000000,36233000000,38633000000,43075000000,45881000000,54352000000,67282000000,73572000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,23000000,24000000,24000000,73000000,- -,115000000,- -,117000000,118000000,119000000,119000000,120000000,121000000,85000000,85000000,86000000,86000000,87000000,88000000,88000000,88000000,88000000,88000000,89000000,89000000,89000000,89000000,90000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,1937000000,2579000000,3407000000,4430000000,5876000000,7941000000,- -,12799000000,15971000000,19680000000,23962000000,28943000000,33052000000,11388000000,12093000000,13226000000,14995000000,17246000000,20038000000,23180000000,26995000000,30973000000,35519000000,39935000000,46423000000,51729000000,58134000000,67580000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12000000,-508000000,-713000000,-978000000,-1262000000,-54000000,- -,-440000000,-145000000,14000000,119000000,271000000,310000000,755000000,-77000000,362000000,445000000,293000000,397000000,46000000,-452000000,-898000000,-867000000,-566000000,-772000000,-739000000,-671000000,-704000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1494000000,2893000000,3237000000,3573000000,4135000000,4339000000,- -,5606000000,3858000000,2594000000,-42000000,-2425000000,-8453000000,5486000000,5676000000,5719000000,3363000000,272000000,-2746000000,-10792000000,-17309000000,-23847000000,-30407000000,-38004000000,-47618000000,-54195000000,-54253000000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,3442000000,4988000000,5955000000,7098000000,8749000000,12341000000,- -,18082000000,19802000000,22407000000,24158000000,26909000000,25030000000,17714000000,17777000000,19393000000,18889000000,17898000000,17777000000,12522000000,9322000000,6316000000,4333000000,1454000000,-1878000000,-3116000000,3299000000,-1696000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,5778000000,7354000000,9342000000,11229000000,13465000000,17081000000,- -,26394000000,30011000000,34437000000,38907000000,44482000000,52263000000,44324000000,41164000000,40877000000,40125000000,40518000000,41084000000,40518000000,39946000000,42549000000,42966000000,44529000000,44003000000,51236000000,70581000000,71876000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,5778000000,7354000000,9342000000,11229000000,13465000000,17081000000,- -,26394000000,30011000000,34437000000,38907000000,44482000000,52263000000,44324000000,41164000000,40877000000,40125000000,40518000000,41084000000,40518000000,39946000000,42549000000,42966000000,44529000000,44003000000,51236000000,70581000000,71876000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/354950/000035495096000002/0000354950-96-000002-index.html,https://www.sec.gov/Archives/edgar/data/354950/000095014497004508/0000950144-97-004508-index.html,https://www.sec.gov/Archives/edgar/data/354950/000095014498005045/0000950144-98-005045-index.html,- -,https://www.sec.gov/Archives/edgar/data/354950/000095014400005338/0000950144-00-005338-index.html,undefined,https://www.sec.gov/Archives/edgar/data/354950/000095014402004155/0000950144-02-004155-index.html,- -,https://www.sec.gov/Archives/edgar/data/354950/000104746904011651/a2132560z10-k.htm,https://www.sec.gov/Archives/edgar/data/354950/000104746905009783/a2153171z10-k.htm,https://www.sec.gov/Archives/edgar/data/354950/000104746906004211/a2168212z10-k.htm,https://www.sec.gov/Archives/edgar/data/354950/000104746907002295/a2176777z10-k.htm,https://www.sec.gov/Archives/edgar/data/354950/000104746908004077/0001047469-08-004077-index.html,https://www.sec.gov/Archives/edgar/data/354950/000095014409002875/0000950144-09-002875-index.html,https://www.sec.gov/Archives/edgar/data/354950/000119312510067178/0001193125-10-067178-index.html,https://www.sec.gov/Archives/edgar/data/354950/000119312511076501/d10k.htm,https://www.sec.gov/Archives/edgar/data/354950/000035495012000003/0000354950-12-000003-index.html,https://www.sec.gov/Archives/edgar/data/354950/000035495013000008/0000354950-13-000008-index.html,https://www.sec.gov/Archives/edgar/data/354950/000035495014000008/hd-222014x10xk.htm,https://www.sec.gov/Archives/edgar/data/354950/000035495015000008/hd-212015x10xk.htm,https://www.sec.gov/Archives/edgar/data/354950/000035495016000060/0000354950-16-000060-index.html,https://www.sec.gov/Archives/edgar/data/354950/000035495017000005/0000354950-17-000005-index.html,https://www.sec.gov/Archives/edgar/data/354950/000035495018000019/0000354950-18-000019-index.html,https://www.sec.gov/Archives/edgar/data/354950/000035495019000010/0000354950-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/354950/000035495020000015/0000354950-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/354950/000035495021000089/0000354950-21-000089-index.htm,https://www.sec.gov/Archives/edgar/data/354950/000035495022000070/0000354950-22-000070-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
