,https://roic.ai/company/EMR,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,1085800000,1151500000,1372000000,1450400000,1566400000,1697700000,1728500000,1755300000,1947300000,1679600000,1933200000,2192000000,2450900000,2676700000,2770200000,2987900000,3772500000,2950000000,2935000000,3302000000,3623000000,4146000000,4656000000,5138000000,5062000000,5186000000,5328000000,5436000000,5946000000,5995000000,5609000000,3548000000,3754000000,4469000000,4695000000,4238000000,4479000000
11,COGS and Expenses,3909700000,4196000000,5247400000,5656000000,5998300000,6430200000,6275600000,6514700000,6896400000,7232600000,8413600000,9357000000,10316500000,11272300000,11964000000,13003900000,13891000000,11950000000,11995000000,13351000000,14745000000,17111000000,19117000000,20806000000,18278000000,17899000000,19993000000,20080000000,20663000000,20374000000,18865000000,11808000000,12614000000,14417000000,15252000000,14014000000,15152000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24000000,19000000,- -,17000000,16000000,24000000,29000000,27000000,36000000,43000000,27000000,19000000,12000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,244000000,280000000,223000000,241000000,234000000,218000000,200000000,215000000,201000000,202000000,201000000,175000000,166000000
14,Depreciation and Amortization,148000000,163600000,214300000,227300000,230800000,269300000,294400000,295200000,340700000,364500000,408900000,464600000,511600000,562500000,637500000,678500000,708500000,541000000,534000000,557000000,562000000,607000000,656000000,707000000,727000000,816000000,867000000,823000000,819000000,831000000,815000000,568000000,636000000,758000000,822000000,854000000,969000000
15,EBITDA,842100000,878600000,1024900000,1087100000,1184800000,1258300000,1297500000,1339100000,1452700000,1676400000,1847500000,2073600000,2295200000,2486000000,2658400000,2856800000,2297100000,1168000000,2024000000,2409000000,2711000000,3291000000,3763000000,4256000000,3388000000,4108000000,4697000000,4123000000,4187000000,4360000000,5153000000,3115000000,3015000000,3606000000,3860000000,3339000000,4023000000
16,EBITDA ratio,0.1811,0.1774,0.1661,0.1634,0.1676,0.1661,0.1747,0.1738,0.1777,0.1948,0.1845,0.1860,0.1866,0.1849,0.1863,0.1838,0.1484,0.0845,0.1450,0.1543,0.1567,0.1635,0.1667,0.1716,0.1620,0.1953,0.1939,0.1689,0.1697,0.1777,0.2310,0.2145,0.1975,0.2071,0.2101,0.1989,0.2206
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),-45400000,-41900000,-112300000,-135700000,-119000000,-154200000,-148300000,-147400000,-165400000,53200000,-139400000,-183900000,-198500000,-251400000,-284600000,-362600000,- -,-309000000,-549000000,-412000000,-411000000,-338000000,-348000000,-410000000,-220000000,-261000000,-598000000,-1217000000,-810000000,-815000000,722000000,-398000000,-315000000,-324000000,-261000000,-436000000,-172000000
20,Income Before Tax,694100000,715000000,810600000,859800000,954000000,989000000,1003100000,1043900000,1112000000,1427800000,1459900000,1609000000,1783600000,1923500000,2020900000,2178300000,1588600000,1565000000,1414000000,1852000000,2149000000,2684000000,3107000000,3591000000,2417000000,2879000000,3631000000,3115000000,3196000000,3348000000,4161000000,2316000000,2335000000,2667000000,2859000000,2335000000,2912000000
21,Income Before Tax Ratio,0.1493,0.1444,0.1314,0.1293,0.1349,0.1306,0.1351,0.1355,0.1360,0.1659,0.1458,0.1443,0.1450,0.1430,0.1416,0.1401,0.1026,0.1132,0.1013,0.1186,0.1242,0.1333,0.1376,0.1448,0.1156,0.1368,0.1499,0.1276,0.1296,0.1364,0.1866,0.1595,0.1530,0.1532,0.1556,0.1391,0.1597
22,Income Tax expense (Gain),293000000,306100000,343400000,331000000,366000000,375800000,371200000,381000000,403900000,523400000,530900000,590500000,661700000,694900000,707300000,755900000,556800000,505000000,401000000,595000000,727000000,839000000,971000000,1137000000,693000000,848000000,1127000000,1091000000,1130000000,1164000000,1428000000,697000000,660000000,443000000,531000000,345000000,585000000
23,Net Income,401100000,408900000,467200000,528800000,588000000,613200000,631900000,662900000,708100000,788500000,907700000,1018500000,1121900000,1228600000,1313600000,1422400000,1031800000,122000000,1089000000,1257000000,1422000000,1845000000,2136000000,2412000000,1724000000,2164000000,2480000000,1968000000,2004000000,2147000000,2710000000,1635000000,1518000000,2203000000,2306000000,1965000000,2303000000
24,Net Income ratio,0.0863,0.0826,0.0757,0.0795,0.0832,0.0810,0.0851,0.0860,0.0866,0.0916,0.0907,0.0913,0.0912,0.0914,0.0921,0.0915,0.0667,0.0088,0.0780,0.0805,0.0822,0.0916,0.0946,0.0972,0.0824,0.1029,0.1024,0.0806,0.0812,0.0875,0.1215,0.1126,0.0994,0.1266,0.1255,0.1171,0.1263
25,EPS,0.46,0.47,0.50,0.58,0.66,0.69,0.71,0.74,0.79,0.88,1.01,1.14,1.26,1.40,1.51,1.67,1.22,0.14,1.30,1.50,1.72,2.26,2.69,3.09,2.29,2.88,3.36,2.72,2.84,3.08,4.14,2.54,2.37,3.50,3.77,3.29,3.87
26,EPS Diluted,0.46,0.47,0.50,0.58,0.66,0.69,0.71,0.74,0.79,0.88,1.01,1.14,1.26,1.39,1.50,1.65,1.20,0.14,1.29,1.49,1.70,2.24,2.66,3.06,2.27,2.84,3.27,2.67,2.76,3.03,3.99,2.52,2.35,3.46,3.71,3.24,3.82
27,Weighted Average Shares Outstanding,881538462,870000000,934400000,911724138,890909091,888695652,890000000,895810811,896329114,896928000,894285714,895384615,890396825,877571429,867062706,854294294,849218107,841379310,837692308,838000000,829154519,816371681,794052045,780300000,755000000,752690806,738877768,724113291,706660259,696605222,654608521,642796490,641691971,629200000,611000000,598000000,595800000
28,Weighted Average Shares Outstanding Diluted,881538462,870000000,934400000,911724138,890909091,888695652,890000000,895810811,896329114,896928000,894285714,896284000,891514000,887075812,875733333,862060606,859833333,841379310,840926641,843624161,836470588,823660714,803007519,789400000,759471366,757000000,753500000,734600000,722900000,704100000,676500000,646800000,643400000,635300000,620600000,606600000,601800000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/32604/000003260494000022/0000032604-94-000022-index.html,https://www.sec.gov/Archives/edgar/data/32604/000003260495000011/0000032604-95-000011-index.html,https://www.sec.gov/Archives/edgar/data/32604/000003260496000015/0000032604-96-000015-index.html,https://www.sec.gov/Archives/edgar/data/32604/000003260497000015/0000032604-97-000015-index.html,https://www.sec.gov/Archives/edgar/data/32604/000003260498000016/0000032604-98-000016-index.html,https://www.sec.gov/Archives/edgar/data/32604/000003260499000014/0000032604-99-000014-index.html,https://www.sec.gov/Archives/edgar/data/32604/000003260400000030/0000032604-00-000030-index.html,https://www.sec.gov/Archives/edgar/data/32604/000003260401500032/0000032604-01-500032-index.html,https://www.sec.gov/Archives/edgar/data/32604/000003260402000022/0000032604-02-000022-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/32604/000114420407063041/0001144204-07-063041-index.html,https://www.sec.gov/Archives/edgar/data/32604/000114420408066523/0001144204-08-066523-index.html,https://www.sec.gov/Archives/edgar/data/32604/000114420409061535/0001144204-09-061535-index.html,https://www.sec.gov/Archives/edgar/data/32604/000114420410063258/0001144204-10-063258-index.html,https://www.sec.gov/Archives/edgar/data/32604/000114420411066373/0001144204-11-066373-index.html,https://www.sec.gov/Archives/edgar/data/32604/000003260412000012/0000032604-12-000012-index.html,https://www.sec.gov/Archives/edgar/data/32604/000003260413000044/0000032604-13-000044-index.html,https://www.sec.gov/Archives/edgar/data/32604/000003260414000048/0000032604-14-000048-index.html,https://www.sec.gov/Archives/edgar/data/32604/000003260415000051/0000032604-15-000051-index.html,https://www.sec.gov/Archives/edgar/data/32604/000003260416000105/0000032604-16-000105-index.html,https://www.sec.gov/Archives/edgar/data/32604/000003260417000046/0000032604-17-000046-index.html,https://www.sec.gov/Archives/edgar/data/32604/000003260418000044/0000032604-18-000044-index.html,https://www.sec.gov/Archives/edgar/data/32604/000003260419000048/0000032604-19-000048-index.html,https://www.sec.gov/Archives/edgar/data/32604/000003260420000041/0000032604-20-000041-index.htm,https://www.sec.gov/Archives/edgar/data/32604/000003260421000038/0000032604-21-000038-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,113300000,117300000,149000000,221100000,209700000,266100000,280800000,355700000,381000000,696000000,1346000000,1233000000,810000000,1008000000,1777000000,1560000000,1592000000,2052000000,2367000000,3275000000,3149000000,3054000000,3182000000,3062000000,1093000000,1494000000,3315000000,2354000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,113300000,117300000,149000000,221100000,209700000,266100000,280800000,355700000,381000000,696000000,1346000000,1233000000,810000000,1008000000,1777000000,1560000000,1592000000,2052000000,2367000000,3275000000,3149000000,3054000000,3182000000,3062000000,1093000000,1494000000,3315000000,2354000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,1542600000,1757600000,1979800000,2200200000,2416100000,2516300000,2705600000,2551200000,2513000000,2650000000,2932000000,3256000000,3716000000,4260000000,4618000000,3623000000,3989000000,4502000000,4983000000,4808000000,5019000000,4319000000,2701000000,3072000000,3344000000,2985000000,2802000000,2971000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,1392200000,1602600000,1743900000,1881600000,1996500000,1921100000,2052700000,1896800000,1624000000,1558000000,1705000000,1813000000,2222000000,2227000000,2348000000,1855000000,2105000000,2100000000,2125000000,1895000000,2057000000,1847000000,1208000000,1696000000,1813000000,1880000000,1928000000,2050000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,290100000,306600000,314500000,413900000,379000000,420900000,443600000,516400000,443000000,596000000,433000000,535000000,582000000,570000000,588000000,615000000,677000000,691000000,651000000,1021000000,642000000,829000000,2869000000,422000000,369000000,780000000,761000000,1057000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,3338200000,3784100000,4187200000,4716800000,5001300000,5124400000,5482700000,5320100000,4961000000,5500000000,6416000000,6837000000,7330000000,8065000000,9331000000,7653000000,8363000000,9345000000,10126000000,10999000000,10867000000,10049000000,9960000000,8252000000,6619000000,7139000000,8806000000,8432000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,1947300000,2134900000,2450800000,2735400000,3011600000,3154400000,3243400000,3288000000,3116000000,2962000000,2937000000,3003000000,3220000000,3431000000,3507000000,3500000000,3287000000,3437000000,3509000000,3605000000,3802000000,3585000000,2931000000,3321000000,3562000000,3642000000,3688000000,3738000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,1862900000,2384900000,2779200000,3116000000,3702700000,- -,- -,- -,- -,- -,- -,- -,6013000000,6412000000,6562000000,7078000000,8656000000,8771000000,8026000000,7509000000,7182000000,6653000000,3909000000,5316000000,6455000000,6536000000,6734000000,7723000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4263000000,5320000000,5182000000,4910000000,4942000000,5259000000,5479000000,633000000,- -,- -,- -,2150000000,1969000000,1838000000,1672000000,1689000000,1526000000,902000000,1890000000,2751000000,2615000000,2468000000,2877000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1862900000,2384900000,2779200000,3116000000,3702700000,4263000000,5320000000,5182000000,4910000000,4942000000,5259000000,5479000000,6646000000,6412000000,6562000000,7078000000,10806000000,10740000000,9864000000,9181000000,8871000000,8179000000,4811000000,7206000000,9206000000,9151000000,9202000000,10600000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1066600000,1095100000,1063800000,895100000,944200000,1081700000,1118200000,1256300000,1558000000,1790000000,1749000000,1908000000,1476000000,1772000000,1640000000,1532000000,387000000,339000000,319000000,926000000,637000000,275000000,4041000000,810000000,1003000000,565000000,1186000000,1945000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,4876800000,5614900000,6293800000,6746500000,7658500000,8499100000,9681600000,9726300000,9584000000,9694000000,9945000000,10390000000,11342000000,11615000000,11709000000,12110000000,14480000000,14516000000,13692000000,13712000000,13310000000,12039000000,11783000000,11337000000,13771000000,13358000000,14076000000,16283000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,8215000000,9399000000,10481000000,11463300000,12659800000,13623500000,15164300000,15046400000,14545000000,15194000000,16361000000,17227000000,18672000000,19680000000,21040000000,19763000000,22843000000,23861000000,23818000000,24711000000,24177000000,22088000000,21743000000,19589000000,20390000000,20497000000,22882000000,24715000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,611400000,740200000,791300000,942100000,1036700000,1068800000,1210600000,1127500000,1268000000,1397000000,1629000000,1841000000,2305000000,2501000000,2699000000,1949000000,2409000000,2677000000,2767000000,2725000000,2951000000,2358000000,1517000000,1776000000,1943000000,1874000000,1715000000,2108000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,923300000,1387100000,967000000,1445100000,1524400000,1953700000,2352700000,2447500000,1560000000,391000000,902000000,970000000,898000000,404000000,1221000000,577000000,480000000,877000000,1506000000,1587000000,2465000000,2553000000,2584000000,862000000,1623000000,1444000000,1160000000,872000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52000000,96000000,139000000,128000000,129000000,162000000,86000000,180000000,65000000,64000000,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1063300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1082600000,1153400000,199500000,1455200000,1460600000,1567900000,1655500000,1804100000,1572000000,1629000000,1808000000,2120000000,2171000000,2641000000,2653000000,2430000000,2960000000,2911000000,2860000000,3313000000,3038000000,2889000000,3907000000,2407000000,2598000000,2658000000,2910000000,3266000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,2617300000,3280700000,3021100000,3842400000,4021700000,4590400000,5218800000,5379100000,4400000000,3417000000,4339000000,4931000000,5374000000,5546000000,6573000000,4956000000,5849000000,6465000000,7133000000,7625000000,8454000000,7800000000,8008000000,5045000000,6164000000,5976000000,5785000000,6246000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,279900000,208600000,772600000,570700000,1056600000,1317100000,2247700000,2255600000,2990000000,3733000000,3136000000,3128000000,3128000000,3372000000,3297000000,3998000000,4586000000,4324000000,3787000000,4055000000,3559000000,4289000000,4062000000,3794000000,3137000000,4277000000,6326000000,6206000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,724000000,519000000,533000000,- -,- -,- -,337000000,823000000,572000000,408000000,210000000,425000000,484000000,327000000,261000000,711000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,976000000,1038900000,1333900000,1629500000,1778200000,1535500000,1295000000,1297700000,1414000000,1584000000,1648000000,1768000000,1116000000,1280000000,1336000000,2254000000,2456000000,2521000000,2119000000,1490000000,1425000000,1463000000,1845000000,1555000000,1615000000,1644000000,2063000000,1629000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1255900000,1247500000,2106500000,2200200000,2834800000,2852600000,3542700000,3553300000,4404000000,5317000000,4784000000,4896000000,4968000000,5171000000,5166000000,6252000000,7042000000,6845000000,6243000000,6368000000,5556000000,6160000000,6117000000,5774000000,5236000000,6248000000,8650000000,8546000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,373000000,413000000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,3873200000,4528200000,5127600000,6042600000,6856500000,7443000000,8761500000,8932400000,8804000000,8734000000,9123000000,9827000000,10342000000,10717000000,11739000000,11208000000,12891000000,13310000000,13376000000,13993000000,14010000000,13960000000,14125000000,10819000000,11400000000,12224000000,14435000000,14792000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,238300000,238300000,238300000,238300000,238300000,238300000,238300000,238300000,238000000,238000000,238000000,238000000,238000000,477000000,477000000,477000000,477000000,477000000,477000000,477000000,477000000,477000000,477000000,477000000,477000000,477000000,477000000,477000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,4619100000,5128300000,5707700000,6348900000,7056500000,7803700000,8612900000,8990700000,8461000000,8889000000,9471000000,10199000000,11314000000,12536000000,14002000000,14714000000,15869000000,17310000000,18107000000,18930000000,19867000000,21308000000,21716000000,21995000000,23072000000,24199000000,24955000000,26047000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1893400000,-2095600000,-2414800000,-2698300000,-3059100000,-3223400000,-3168200000,-3376200000,-3533000000,-386000000,-88000000,-65000000,306000000,382000000,141000000,-496000000,-426000000,-562000000,-731000000,-189000000,-575000000,-1617000000,-1999000000,-1019000000,-1015000000,-1722000000,-1577000000,-872000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1377800000,1599800000,1822200000,1531800000,1567600000,1361900000,719800000,261200000,575000000,-2281000000,-2383000000,-2972000000,-3704000000,-4623000000,-5507000000,-6140000000,-6128000000,-6826000000,-7558000000,-8633000000,-9650000000,-12087000000,-12626000000,-12735000000,-13587000000,-14721000000,-15450000000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,4341800000,4870800000,5353400000,5420700000,5803300000,6180500000,6402800000,6114000000,5741000000,6460000000,7238000000,7400000000,8154000000,8772000000,9113000000,8555000000,9792000000,10399000000,10295000000,10585000000,10119000000,8081000000,7568000000,8718000000,8947000000,8233000000,8405000000,9883000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,8215000000,9399000000,10481000000,11463300000,12659800000,13623500000,15164300000,15046400000,14545000000,15194000000,16361000000,17227000000,18496000000,19489000000,20852000000,19763000000,22683000000,23709000000,23671000000,24578000000,24129000000,22041000000,21693000000,19537000000,20347000000,20457000000,22840000000,24675000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,176000000,191000000,188000000,- -,160000000,152000000,147000000,133000000,48000000,47000000,50000000,52000000,43000000,40000000,42000000,40000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,8215000000,9399000000,10481000000,11463300000,12659800000,13623500000,15164300000,15046400000,14545000000,15194000000,16361000000,17227000000,18672000000,19680000000,21040000000,19763000000,22843000000,23861000000,23818000000,24711000000,24177000000,22088000000,21743000000,19589000000,20390000000,20497000000,22882000000,24715000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/32604/000003260494000022/0000032604-94-000022-index.html,https://www.sec.gov/Archives/edgar/data/32604/000003260495000011/0000032604-95-000011-index.html,https://www.sec.gov/Archives/edgar/data/32604/000003260496000015/0000032604-96-000015-index.html,https://www.sec.gov/Archives/edgar/data/32604/000003260497000015/0000032604-97-000015-index.html,https://www.sec.gov/Archives/edgar/data/32604/000003260498000016/0000032604-98-000016-index.html,https://www.sec.gov/Archives/edgar/data/32604/000003260499000014/0000032604-99-000014-index.html,https://www.sec.gov/Archives/edgar/data/32604/000003260400000030/0000032604-00-000030-index.html,https://www.sec.gov/Archives/edgar/data/32604/000003260401500032/0000032604-01-500032-index.html,https://www.sec.gov/Archives/edgar/data/32604/000003260402000022/0000032604-02-000022-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/32604/000114420407063041/0001144204-07-063041-index.html,https://www.sec.gov/Archives/edgar/data/32604/000114420408066523/0001144204-08-066523-index.html,https://www.sec.gov/Archives/edgar/data/32604/000114420409061535/0001144204-09-061535-index.html,https://www.sec.gov/Archives/edgar/data/32604/000114420410063258/0001144204-10-063258-index.html,https://www.sec.gov/Archives/edgar/data/32604/000114420411066373/0001144204-11-066373-index.html,https://www.sec.gov/Archives/edgar/data/32604/000003260412000012/0000032604-12-000012-index.html,https://www.sec.gov/Archives/edgar/data/32604/000003260413000044/0000032604-13-000044-index.html,https://www.sec.gov/Archives/edgar/data/32604/000003260414000048/0000032604-14-000048-index.html,https://www.sec.gov/Archives/edgar/data/32604/000003260415000051/0000032604-15-000051-index.html,https://www.sec.gov/Archives/edgar/data/32604/000003260416000105/0000032604-16-000105-index.html,https://www.sec.gov/Archives/edgar/data/32604/000003260417000046/0000032604-17-000046-index.html,https://www.sec.gov/Archives/edgar/data/32604/000003260418000044/0000032604-18-000044-index.html,https://www.sec.gov/Archives/edgar/data/32604/000003260419000048/0000032604-19-000048-index.html,https://www.sec.gov/Archives/edgar/data/32604/000003260420000041/0000032604-20-000041-index.htm,https://www.sec.gov/Archives/edgar/data/32604/000003260421000038/0000032604-21-000038-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,588000000,613200000,631900000,662900000,708100000,788500000,907700000,1018500000,1121900000,1228600000,1313600000,1422400000,1031800000,122000000,1089000000,1257000000,1422000000,1845000000,2136000000,2412000000,1724000000,2164000000,2480000000,1968000000,2004000000,2147000000,2710000000,1635000000,1518000000,2203000000,2306000000,1965000000,2303000000
