,https://roic.ai/company/AIMC,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,291366000,338115000,421212000,521142000,587487000,416281000,462360000,602378000,651943000,649528000,742941000,675224000,644943000,789887000,1084216000,1595900000,1493600000,1657000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,32976000,- -,24035000,40790000,10586000,11994000,12164000,11679000,7710000,28601000,73800000,72100000,94500000
14,Depreciation and Amortization,6993000,13960000,18144000,26313000,23201000,22072000,20036000,25264000,27376000,27924000,32137000,30121000,29898000,36025000,60026000,128400000,127600000,122300000
15,EBITDA,13235000,19813000,32882000,45981000,46426000,50370000,54565000,97730000,102613000,97936000,107234000,93435000,75462000,114862000,140375000,350400000,203700000,224600000
16,EBITDA ratio,0.0436,0.0545,0.0711,0.0787,0.0731,0.1112,0.1049,0.1448,0.1402,0.1356,0.1308,0.1251,0.1064,0.1310,0.1194,0.1910,0.1180,0.1182
17,Operating Income,12296000,25350000,41073000,60835000,45539000,29279000,55076000,72434000,76851000,71579000,75109000,64214000,47546000,80987000,86677000,224100000,77500000,97400000
18,Operating Income ratio,0.0405,0.0697,0.0888,0.1041,0.0717,0.0647,0.1059,0.1073,0.1050,0.0991,0.0916,0.0860,0.0671,0.0924,0.0737,0.1222,0.0449,0.0513
19,Total Other Income Expenses (Gains),-6054000,-19497000,-26335000,-39166000,-22090000,-33957000,-20547000,-24003000,-42492000,-12243000,-11991000,-13127000,-13661000,-9860000,-34929000,-75900000,-73500000,-89600000
20,Income Before Tax,6242000,5853000,14738000,21669000,23449000,-4678000,34529000,48431000,34359000,59336000,63118000,51087000,33885000,71127000,51748000,148200000,4000000,7800000
21,Income Before Tax Ratio,0.0206,0.0161,0.0319,0.0371,0.0369,-0.0103,0.0664,0.0718,0.0469,0.0822,0.0770,0.0684,0.0478,0.0811,0.0440,0.0808,0.0023,0.0041
22,Income Tax expense (Gain),5240000,3349000,5797000,8208000,16731000,-2364000,10004000,10756000,10154000,19151000,22936000,15744000,8745000,19700000,16407000,21000000,29500000,-19900000
23,Net Income,1002000,2504000,8941000,11460000,6494000,-2314000,24525000,37675000,24293000,40275000,40167000,35406000,25140000,51427000,35341000,127200000,-25500000,27700000
24,Net Income ratio,0.0033,0.0069,0.0193,0.0196,0.0102,-0.0051,0.0471,0.0558,0.0332,0.0558,0.0490,0.0474,0.0355,0.0587,0.0301,0.0694,-0.0148,0.0146
25,EPS,3.33,8.32,7.56,0.49,0.25,-0.09,0.93,1.42,0.91,1.50,1.50,1.36,0.97,1.78,1.27,1.98,-0.39,0.43
26,EPS Diluted,0.05,0.13,0.46,0.47,0.25,-0.09,0.92,1.41,0.91,1.50,1.47,1.36,0.97,1.78,1.26,1.97,-0.39,0.43
27,Weighted Average Shares Outstanding,301000,301000,1183000,23579000,25496000,25945000,26399000,26526000,26632000,26766000,26713000,26064000,25719000,28949000,37868000,64300000,64600000,64600000
28,Weighted Average Shares Outstanding Diluted,19162000,301000,19525000,24630000,26095000,25945000,26535000,26689000,26737000,26841000,27403000,26109000,25872000,29064000,38380000,64500000,64600000,64600000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1374535/000095013508001801/b68970ahe10vk.htm,https://www.sec.gov/Archives/edgar/data/1374535/000095013509001598/0000950135-09-001598-index.html,https://www.sec.gov/Archives/edgar/data/1374535/000095012310022386/0000950123-10-022386-index.html,https://www.sec.gov/Archives/edgar/data/1374535/000095012311019904/b84498e10vk.htm,https://www.sec.gov/Archives/edgar/data/1374535/000119312512077689/0001193125-12-077689-index.html,https://www.sec.gov/Archives/edgar/data/1374535/000119312513074398/0001193125-13-074398-index.html,https://www.sec.gov/Archives/edgar/data/1374535/000119312514069588/d633528d10k.htm,https://www.sec.gov/Archives/edgar/data/1374535/000137453515000032/aimc-123114x10k.htm,https://www.sec.gov/Archives/edgar/data/1374535/000137453516000168/0001374535-16-000168-index.html,https://www.sec.gov/Archives/edgar/data/1374535/000156459017002602/0001564590-17-002602-index.html,https://www.sec.gov/Archives/edgar/data/1374535/000156459018003056/0001564590-18-003056-index.html,https://www.sec.gov/Archives/edgar/data/1374535/000156459019005841/0001564590-19-005841-index.html,https://www.sec.gov/Archives/edgar/data/1374535/000156459020007474/0001564590-20-007474-index.html,https://www.sec.gov/Archives/edgar/data/1374535/000156459021009491/0001564590-21-009491-index.htm,https://www.sec.gov/Archives/edgar/data/1374535/000095017022002319/0000950170-22-002319-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,4729000,10060000,42527000,45807000,52073000,51497000,72723000,92515000,85154000,63604000,47503000,50320000,69118000,51994000,168957000,167300000,254400000,246100000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,4729000,10060000,42527000,45807000,52073000,51497000,72723000,92515000,85154000,63604000,47503000,50320000,69118000,51994000,168957000,167300000,254400000,246100000
34,Net Receivables,45969000,46441000,61506000,90348000,68803000,57609000,71529000,99158000,99330000,114116000,112705000,99866000,120926000,142133000,269987000,248400000,247700000,236200000
35,Inventory,56732000,54654000,75769000,101835000,98410000,71853000,88217000,125970000,123776000,143665000,132736000,121156000,139840000,145611000,231172000,222500000,210400000,267800000
36,Other Current Assets,5937000,4752000,14315000,15025000,19222000,12912000,10066000,12997000,15496000,27820000,17857000,15814000,14303000,18425000,33791000,29100000,35700000,417700000
37,Total Current Assets,113367000,115907000,194117000,253015000,238508000,193871000,242535000,330640000,323756000,349205000,310801000,287156000,344187000,358163000,703907000,667300000,748200000,1167800000
38,PP&E,68006000,66393000,82387000,116610000,110220000,105603000,105298000,123464000,138094000,157535000,156366000,145413000,177043000,191918000,364433000,391000000,385200000,325800000
39,Goodwill,63145000,65345000,65397000,114979000,77497000,78832000,76897000,83799000,88225000,104339000,102087000,97309000,188841000,206040000,1662341000,1694900000,1596000000,1564000000
40,Intangible Assets,48758000,44751000,59662000,88943000,79339000,74905000,69250000,77108000,76098000,118768000,110730000,96069000,154683000,159613000,1585728000,1502400000,1459600000,1057200000
41,Intangible Assets,111903000,110096000,125059000,203922000,156836000,153737000,146147000,160907000,164323000,223107000,212817000,193378000,343524000,365653000,3248069000,3197300000,3055600000,2621200000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,2135000,231000,495000,679000,82000,1614000,1150000,934000,987000,3201000,2510000,2608000,4931000,3000000,4900000,2300000
44,Other Non-Current Assets,6111000,5295000,5670000,6747000,7525000,11309000,14040000,13360000,5716000,4895000,3592000,3184000,2560000,2315000,15903000,25100000,14200000,13500000
45,Total Non-Current Assets,186020000,181784000,215251000,327510000,275076000,271328000,265567000,299345000,309283000,386471000,373762000,345176000,525637000,562494000,3633336000,3616400000,3459900000,2962800000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,299387000,297691000,409368000,580525000,513584000,465199000,508102000,629985000,633039000,735676000,684563000,632332000,869824000,920657000,4337243000,4283700000,4208100000,4130600000
48,Accounts Payable,28787000,30724000,34053000,41668000,33890000,27421000,40812000,52768000,43042000,51180000,44298000,40297000,60845000,68014000,175790000,154700000,163600000,173300000
49,Short-Term Debt,913000,186000,573000,2667000,3391000,1059000,3393000,688000,9135000,16924000,15176000,3187000,43690000,384000,17188000,31500000,29900000,25400000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,12963000,3189000,3563000,706000,9082000,7542000,13200000,17900000,6000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,26096000,32134000,37300000,47049000,42436000,39379000,42687000,48650000,53723000,71969000,60154000,60865000,67088000,74094000,144132000,153500000,167100000,217800000
53,Total Current Liabilities,55796000,63044000,71926000,91384000,79717000,67859000,86892000,102106000,105900000,140073000,119628000,104349000,171623000,142492000,337110000,339700000,360600000,416500000
54,Long-Term Debt,172938000,173574000,228555000,291399000,258132000,216490000,213109000,263361000,238460000,261348000,240576000,231568000,325969000,275587000,1690898000,1563800000,1437900000,1438600000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,9828000,7653000,7130000,24490000,23336000,30712000,20558000,35798000,38821000,53813000,53226000,44185000,61084000,52250000,393217000,369100000,359600000,250500000
57,Other Non-Current Liabilities,31737000,28469000,22341000,26820000,23534000,11195000,22791000,20324000,17846000,11109000,12374000,9663000,27800000,53623000,67822000,88800000,53300000,39900000
58,Total Non-Current Liabilities,214503000,209696000,258026000,342709000,305002000,258397000,256458000,319483000,295127000,326270000,306176000,285416000,414853000,381460000,2151937000,2021700000,1850800000,1729000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38200000,43100000,51900000
61,Total Liabilities,270299000,272740000,329952000,434093000,384719000,326256000,343350000,421589000,401027000,466343000,425804000,389765000,586476000,523952000,2489047000,2361400000,2211400000,2145500000
62,Preferred Stock,35100000,35500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,21000,25000,26000,26000,26000,27000,27000,27000,26000,26000,27000,29000,64000,100000,100000,- -
64,Retained Earnings,-5893000,-5851000,5552000,16831000,23325000,21011000,45536000,83211000,103200000,133231000,161061000,181539000,191108000,223204000,232604000,315400000,269500000,- -
65,Other Comprehensive Income/Loss,549000,-4811000,-3064000,1923000,-24090000,-14646000,-14671000,-25076000,-23403000,-18396000,-41415000,-63832000,-76086000,-49864000,-71593000,-89900000,21100000,-11000
66,Other Total Stockholders Equity,34981000,37802000,76907000,127653000,129604000,132552000,133861000,150234000,152188000,154471000,139087000,124834000,168299000,223336000,1687121000,1696700000,1706000000,- -
67,Total Stockholders Equity,29088000,24951000,79416000,146432000,128865000,138943000,164752000,208396000,232012000,269333000,258759000,242567000,283348000,396705000,1848196000,1922300000,1996700000,1985100000
68,Total Liabilities And Stockholders Equity,299387000,297691000,409368000,580525000,513584000,465199000,508102000,629985000,633039000,735676000,684563000,632332000,869824000,920657000,4337243000,4283700000,4208100000,4130600000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,299387000,297691000,409368000,580525000,513584000,465199000,508102000,629985000,633039000,735676000,684563000,632332000,869824000,920657000,4337243000,4283700000,4208100000,4130600000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1374535/000095013508001801/b68970ahe10vk.htm,https://www.sec.gov/Archives/edgar/data/1374535/000095013509001598/0000950135-09-001598-index.html,https://www.sec.gov/Archives/edgar/data/1374535/000095012310022386/0000950123-10-022386-index.html,https://www.sec.gov/Archives/edgar/data/1374535/000095012311019904/b84498e10vk.htm,https://www.sec.gov/Archives/edgar/data/1374535/000119312512077689/0001193125-12-077689-index.html,https://www.sec.gov/Archives/edgar/data/1374535/000119312513074398/0001193125-13-074398-index.html,https://www.sec.gov/Archives/edgar/data/1374535/000119312514069588/d633528d10k.htm,https://www.sec.gov/Archives/edgar/data/1374535/000137453515000032/aimc-123114x10k.htm,https://www.sec.gov/Archives/edgar/data/1374535/000137453516000168/0001374535-16-000168-index.html,https://www.sec.gov/Archives/edgar/data/1374535/000156459017002602/0001564590-17-002602-index.html,https://www.sec.gov/Archives/edgar/data/1374535/000156459018003056/0001564590-18-003056-index.html,https://www.sec.gov/Archives/edgar/data/1374535/000156459019005841/0001564590-19-005841-index.html,https://www.sec.gov/Archives/edgar/data/1374535/000156459020007474/0001564590-20-007474-index.html,https://www.sec.gov/Archives/edgar/data/1374535/000156459021009491/0001564590-21-009491-index.htm,https://www.sec.gov/Archives/edgar/data/1374535/000095017022002319/0000950170-22-002319-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , 
73,Net Income,1002000,2504000,8941000,11460000,6494000,-2314000,24525000,37675000,24293000,40275000,40167000,35406000,25140000,51427000,35341000,127200000,-25500000,27700000
74,Depreciation and Amortization,6993000,13960000,18144000,26313000,23201000,22072000,20036000,25264000,27376000,27924000,32137000,30121000,29898000,36025000,60026000,128400000,127600000,122300000
75,Deferred Income Tax,-914000,225000,1190000,5455000,1401000,-1804000,- -,4879000,-625000,3464000,2712000,-170000,-2850000,-8012000,-10105000,-33100000,-28300000,-82100000
76,Stock Based Compensation,- -,- -,- -,- -,- -,3267000,2136000,2471000,2696000,3173000,3101000,4004000,4230000,5274000,8130000,13600000,13200000,15700000
77,Change in Working Capital,1417000,-4708000,69328000,39440000,-2840000,-32779000,29631000,72891000,-10678000,-8724000,-17959000,-8366000,-10243000,43107000,151126000,-39197000,60000000,-55700000
78,Accounts Receivable,- -,- -,- -,- -,- -,19267000,-13540000,-9379000,836000,5791000,-1050000,7223000,-4140000,-8103000,1527000,14800000,10600000,4400000
79,Inventory,-6830000,-1353000,-3973000,-2277000,-2074000,28180000,-16819000,-19948000,4084000,6412000,5402000,6049000,2324000,-2379000,-14012000,5800000,19000000,-67400000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,57571000,52863000,122191000,161631000,158791000,126012000,155643000,228534000,217856000,209132000,191173000,182807000,172564000,215671000,366797000,327600000,387600000,-29700000
82,Other Non-Cash Items,729000,42000,-86475000,-40860000,16858000,70946000,-33564000,-96279000,16856000,23513000,24341000,25821000,30466000,-47240000,-128235000,58997000,115500000,189100000
83,Cash Provided by Operating Activities,9227000,12023000,11128000,41808000,45114000,59388000,42764000,46901000,59918000,89625000,84499000,86816000,76641000,80581000,116283000,255900000,262500000,217000000
84,CAPEX,-3778000,-6199000,-9408000,-11633000,-19289000,-9194000,-17295000,-22242000,-31346000,-27823000,-28050000,-22906000,-18941000,-32826000,-37531000,-51700000,-33700000,-40600000
85,Acquisitions Net,-180112000,1607000,-53755000,-113039000,15602000,- -,-532000,-67645000,-7424000,-94613000,-15092000,- -,-187967000,2883000,-951848000,-29500000,-1900000,-125200000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5000000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,56200000,- -
88,Other Investing Activites,4442000,-605000,- -,- -,- -,- -,- -,- -,- -,-7569000,848000,1201000,- -,3221000,- -,300000,- -,2200000
89,Cash Used for Investing Activites,-179448000,-5197000,-63163000,-124672000,-3687000,-9194000,-17827000,-89887000,-38770000,-130005000,-42294000,-21705000,-206908000,-26722000,-989379000,-80900000,15600000,-163600000
90,Debt Repayment,-12112000,- -,- -,- -,- -,-262415000,-1795000,-13327000,-202577000,-65685000,-34673000,-148925000,-35169000,-81658000,-302545000,-131100000,-261500000,-1040900000
91,Common Stock Issued,- -,400000,41850000,49592000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-1176000,- -,- -,-319000,-919000,-944000,- -,- -,-17618000,-17298000,-4713000,- -,- -,- -,-3900000,-5500000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,-4304000,-7548000,-15033000,-14928000,-11667000,-18259000,-19960000,-44400000,-27800000,-18300000
94,Other Financing Activites,184848000,-1371000,43163000,34945000,-31760000,208718000,-645000,79036000,177001000,91224000,13359000,125368000,201321000,25869000,1308751000,-2400000,100000000,1012200000
95,Cash Used/Provided by Financing Activities,172736000,-971000,83837000,84537000,-31760000,-54016000,-3359000,64765000,-29880000,17991000,-53965000,-55783000,149772000,-74048000,986246000,-177900000,-193200000,-52500000
96,Effect of Forex Changes on Cash,234000,-524000,665000,1607000,-3401000,3246000,-352000,-1987000,1371000,839000,-4341000,-6511000,-707000,3065000,3813000,1200000,2200000,-9200000
97,Net Change In Cash,1566000,5331000,32467000,3280000,6266000,-576000,21226000,19792000,-7361000,-21550000,-16101000,2817000,18798000,-17124000,116963000,-1700000,87100000,-8300000
98,Cash at the End of Period,4729000,10060000,42527000,45807000,52073000,51497000,72723000,92515000,85154000,63604000,47503000,50320000,69118000,51994000,168957000,167300000,254400000,246100000
99,Cash at the Beginning of Period,3163000,4729000,10060000,42527000,45807000,52073000,51497000,72723000,92515000,85154000,63604000,47503000,50320000,69118000,51994000,169000000,167300000,254400000
100,Free Cash Flow,5449000,5824000,1720000,30175000,25825000,50194000,25469000,24659000,28572000,61802000,56449000,63910000,57700000,47755000,78752000,204200000,228800000,176400000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1374535/000095013508001801/b68970ahe10vk.htm,https://www.sec.gov/Archives/edgar/data/1374535/000095013509001598/0000950135-09-001598-index.html,https://www.sec.gov/Archives/edgar/data/1374535/000095012310022386/0000950123-10-022386-index.html,https://www.sec.gov/Archives/edgar/data/1374535/000095012311019904/b84498e10vk.htm,https://www.sec.gov/Archives/edgar/data/1374535/000119312512077689/0001193125-12-077689-index.html,https://www.sec.gov/Archives/edgar/data/1374535/000119312513074398/0001193125-13-074398-index.html,https://www.sec.gov/Archives/edgar/data/1374535/000119312514069588/d633528d10k.htm,https://www.sec.gov/Archives/edgar/data/1374535/000137453515000032/aimc-123114x10k.htm,https://www.sec.gov/Archives/edgar/data/1374535/000137453516000168/0001374535-16-000168-index.html,https://www.sec.gov/Archives/edgar/data/1374535/000156459017002602/0001564590-17-002602-index.html,https://www.sec.gov/Archives/edgar/data/1374535/000156459018003056/0001564590-18-003056-index.html,https://www.sec.gov/Archives/edgar/data/1374535/000156459019005841/0001564590-19-005841-index.html,https://www.sec.gov/Archives/edgar/data/1374535/000156459020007474/0001564590-20-007474-index.html,https://www.sec.gov/Archives/edgar/data/1374535/000156459021009491/0001564590-21-009491-index.htm,https://www.sec.gov/Archives/edgar/data/1374535/000095017022002319/0000950170-22-002319-index.htm
102,false,,,,,,,,,,,,,,,,,,
