,https://roic.ai/company/IIIN,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,641000,453000,958000,623000,235000,252000,320000,158000,136000,114000,168000,106000,96000
14,Depreciation and Amortization,1800000,2100000,3400000,3000000,-3300000,6200000,-6700000,-6800000,-6100000,-7100000,7797000,8061000,8224000,8738000,8908000,11203000,13000000,8351000,7056000,8119000,7070000,5107000,6209000,7769000,7885000,7009000,9573000,9762000,9833000,10274000,11934000,11544000,11649000,12818000,13553000,14255000,14521000
15,EBITDA,8700000,9200000,9800000,13100000,5400000,10200000,-4500000,-1600000,1500000,200000,14056000,14630000,9335000,8838000,24608000,14636000,-25200000,-17349000,6956000,61019000,45970000,57677000,44409000,76069000,-25374000,7962000,10631000,13102000,28030000,35693000,45218000,67992000,45953000,55562000,21176000,38531000,100720000
16,EBITDA ratio,0.1069,0.0916,0.0549,0.0670,0.0274,0.0405,-0.0187,-0.0067,0.0061,0.0008,0.0540,0.0548,0.0356,0.0332,0.0908,0.0464,-0.0841,-0.0691,0.0328,0.2042,0.1486,0.1750,0.1491,0.2149,-0.1102,0.0376,0.0316,0.0361,0.0770,0.0873,0.1010,0.1624,0.1182,0.1226,0.0465,0.0815,0.1705
17,Operating Income,8400000,8000000,8500000,9900000,10000000,7300000,4000000,6300000,8700000,6900000,8743000,8927000,6457000,-57000,18218000,12634000,-24153000,-454000,9946000,66129000,42109000,53875000,38478000,68132000,-32300000,771000,1021000,3547000,18600000,23500000,33860000,56465000,34273000,42503000,6757000,24439000,89160000
18,Operating Income ratio,0.1032,0.0797,0.0476,0.0506,0.0507,0.0290,0.0167,0.0263,0.0354,0.0279,0.0336,0.0335,0.0246,-0.0002,0.0672,0.0401,-0.0806,-0.0018,0.0469,0.2213,0.1361,0.1635,0.1292,0.1925,-0.1403,0.0036,0.0030,0.0098,0.0511,0.0575,0.0757,0.1349,0.0881,0.0938,0.0148,0.0517,0.1510
19,Total Other Income Expenses (Gains),-1500000,-900000,-2100000,-2000000,-1300000,-3300000,-1800000,-1100000,-1100000,-900000,-2484000,-2358000,-2469000,557000,-2518000,-9201000,-13947000,-10946000,-10046000,-12629000,-3709000,32000,-178000,68000,-400000,-371000,-921000,-847000,-600000,1700000,-896000,-175000,-105000,127000,698000,-269000,-3057000
20,Income Before Tax,6900000,7100000,6400000,7900000,8700000,4000000,2200000,5200000,7600000,6000000,6259000,6569000,3988000,500000,15700000,3433000,-38100000,-11400000,-100000,53500000,38400000,53907000,38300000,68200000,-32700000,400000,100000,2700000,18000000,25200000,32964000,56290000,34168000,42630000,7455000,24170000,86103000
21,Income Before Tax Ratio,0.0848,0.0707,0.0358,0.0404,0.0441,0.0159,0.0092,0.0217,0.0309,0.0243,0.0240,0.0246,0.0152,0.0019,0.0579,0.0109,-0.1271,-0.0454,-0.0005,0.1790,0.1242,0.1636,0.1286,0.1927,-0.1421,0.0019,0.0003,0.0074,0.0495,0.0616,0.0737,0.1345,0.0879,0.0941,0.0164,0.0511,0.1458
22,Income Tax expense (Gain),3300000,3300000,2900000,1900000,2000000,500000,500000,900000,1300000,2200000,-77000,2326000,1452000,200000,5700000,1312000,-14400000,- -,-6800000,21400000,13900000,19530000,14000000,24500000,-11800000,- -,500000,917000,6262000,8567000,11254000,19045000,11620000,6364000,1857000,5161000,19493000
23,Net Income,3600000,3800000,3500000,8200000,6700000,3500000,1700000,4300000,6300000,5100000,6336000,4243000,-341000,-100000,10000000,2121000,-23800000,-25700000,6700000,31500000,25000000,33040000,24200000,43800000,-22100000,500000,-400000,1800000,11700000,16600000,21710000,37245000,22548000,36266000,5598000,19009000,66610000
24,Net Income ratio,0.0442,0.0378,0.0196,0.0419,0.0340,0.0139,0.0071,0.0179,0.0256,0.0206,0.0243,0.0159,-0.0013,-0.0004,0.0369,0.0067,-0.0794,-0.1024,0.0316,0.1054,0.0808,0.1003,0.0813,0.1238,-0.0960,0.0024,-0.0012,0.0050,0.0322,0.0406,0.0485,0.0890,0.0580,0.0800,0.0123,0.0402,0.1128
25,EPS,0.08,0.11,0.12,0.30,0.37,0.21,0.11,0.30,0.40,0.30,0.38,0.25,-0.02,-0.01,0.59,0.13,-1.41,-1.52,0.40,2.13,1.34,1.80,1.33,2.49,-1.27,0.03,-0.02,0.10,0.65,0.91,1.18,1.99,1.19,1.90,0.29,0.99,3.44
26,EPS Diluted,0.08,0.11,0.10,0.25,0.31,0.19,0.11,0.27,0.39,0.30,0.38,0.25,-0.02,-0.01,0.59,0.13,-1.41,-1.52,0.39,2.04,1.32,1.79,1.32,2.47,-1.27,0.03,-0.02,0.10,0.64,0.89,1.15,1.95,1.17,1.88,0.29,0.98,3.41
27,Weighted Average Shares Outstanding,6141000,6154000,6166000,6233000,6240000,6351000,5774000,6391000,8267000,8333000,8393000,16832000,16872000,16000000,16925424,16968000,16906762,16922368,17017722,17278118,18656000,18307000,18142000,17547000,17380000,17466000,17562000,17664000,17948000,18257000,18418000,18754000,19011000,19079000,19243000,19278000,19344000
28,Weighted Average Shares Outstanding Diluted,6141000,6154000,6166000,6233000,6240000,6351000,5774000,6391000,8267000,8333000,8393000,16832000,16872000,17241379,16925424,16968000,16906762,16922368,17235897,17998039,18954000,18473000,18314000,17712000,17380000,17564000,17562000,17990000,18353000,18665000,18803000,19055000,19217000,19277000,19340000,19383000,19534000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/764401/000095014402012962/g79876e10vk.htm,https://www.sec.gov/Archives/edgar/data/764401/000095014404006214/g89605e10vk.htm,https://www.sec.gov/Archives/edgar/data/764401/000095014404011815/g92264e10vk.htm,https://www.sec.gov/Archives/edgar/data/764401/000095014405012675/g98743e10vk.htm,https://www.sec.gov/Archives/edgar/data/764401/000095014406011379/0000950144-06-011379-index.html,https://www.sec.gov/Archives/edgar/data/764401/000095014407010780/0000950144-07-010780-index.html,https://www.sec.gov/Archives/edgar/data/764401/000095014408008769/0000950144-08-008769-index.html,https://www.sec.gov/Archives/edgar/data/764401/000095012309060253/0000950123-09-060253-index.html,https://www.sec.gov/Archives/edgar/data/764401/000095012310109739/0000950123-10-109739-index.html,https://www.sec.gov/Archives/edgar/data/764401/000119312511306348/0001193125-11-306348-index.html,https://www.sec.gov/Archives/edgar/data/764401/000143774912010790/0001437749-12-010790-index.html,https://www.sec.gov/Archives/edgar/data/764401/000143774913013544/0001437749-13-013544-index.html,https://www.sec.gov/Archives/edgar/data/764401/000143774914018761/0001437749-14-018761-index.html,https://www.sec.gov/Archives/edgar/data/764401/000143774915019173/0001437749-15-019173-index.html,https://www.sec.gov/Archives/edgar/data/764401/000143774916040500/0001437749-16-040500-index.html,https://www.sec.gov/Archives/edgar/data/764401/000143774917017727/0001437749-17-017727-index.html,https://www.sec.gov/Archives/edgar/data/764401/000143774918018853/0001437749-18-018853-index.html,https://www.sec.gov/Archives/edgar/data/764401/000143774919020623/0001437749-19-020623-index.html,https://www.sec.gov/Archives/edgar/data/764401/000143774920021957/0001437749-20-021957-index.htm,https://www.sec.gov/Archives/edgar/data/764401/000143774921024481/0001437749-21-024481-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,1700000,100000,1000000,10200000,- -,3800000,400000,9300000,1200000,263000,1423000,1079000,400000,800000,3230000,1000000,300000,300000,2300000,1400000,10689000,8700000,26500000,35100000,45900000,- -,- -,15400000,3100000,33258000,58873000,32105000,43941000,38181000,68688000,89884000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,1700000,100000,1000000,10200000,- -,3800000,400000,9300000,1200000,263000,1423000,1079000,400000,800000,3230000,1000000,300000,300000,2300000,1400000,10689000,8700000,26500000,35100000,45900000,- -,- -,15400000,3100000,33258000,58873000,32105000,43941000,38181000,68688000,89884000
34,Net Receivables,12500000,22300000,25700000,27900000,26000000,32600000,28400000,29100000,29500000,33400000,31516000,33872000,31049000,28700000,31100000,42614000,40700000,29900000,30900000,44500000,38600000,37519000,34500000,49600000,34300000,25500000,42000000,42100000,41100000,52000000,46782000,47389000,41209000,51484000,45397000,53817000,67917000
35,Inventory,8500000,15100000,16900000,19200000,17100000,28700000,21700000,26500000,23700000,28800000,40566000,31845000,44463000,30600000,36400000,48475000,34600000,32700000,30300000,40400000,31600000,46797000,47400000,71200000,38500000,43900000,76400000,65800000,58800000,81900000,66009000,71186000,81853000,94157000,70851000,68963000,79049000
36,Other Current Assets,800000,2000000,2100000,800000,900000,1200000,1700000,1200000,1800000,1100000,1509000,1693000,3571000,2000000,3000000,7179000,8700000,5800000,8300000,3800000,9400000,3086000,4700000,3100000,3800000,3500000,4000000,7200000,5900000,5600000,5309000,3039000,5024000,5895000,6155000,5570000,10056000
37,Total Current Assets,21800000,41100000,44800000,48900000,54200000,62500000,55600000,57200000,64300000,64500000,73854000,68833000,80162000,61700000,71300000,101498000,85000000,68700000,69800000,91000000,81000000,98091000,95300000,150400000,111700000,118800000,122400000,115100000,121200000,142600000,151358000,180487000,160191000,195477000,160584000,197038000,246906000
38,PP&E,19200000,28100000,30000000,26500000,27900000,48800000,47100000,50500000,63200000,66500000,65100000,71072000,86401000,80400000,85500000,110191000,79000000,57300000,52700000,50500000,41600000,55217000,67100000,69100000,64200000,58700000,89500000,87700000,83100000,90400000,84178000,88193000,98670000,106148000,104960000,103914000,107341000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7000000,6965000,6965000,6965000,8293000,8293000,9745000,9745000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1700000,9800000,10220000,9063000,7913000,9703000,8610000,8567000,7668000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1700000,16800000,17185000,16028000,14878000,17996000,16903000,18312000,17413000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3100000,- -,3400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,171000,69000,227000,170000,105000,40000,237000,170000,106000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5700000,7700000,- -,- -,- -,- -,- -,- -,- -,- -,400000,- -,1800000,1700000,4100000,7300000,6600000,6057000,5472000,- -,5340000,6900000,- -,- -
44,Other Non-Current Assets,1700000,2900000,2800000,3300000,7800000,7400000,6200000,5100000,5500000,7900000,7181000,5758000,4913000,-700000,300000,33759000,14800000,10400000,10400000,9800000,15700000,13288000,11100000,8300000,6200000,3200000,2900000,1700000,-871000,331000,1234000,2542000,9229000,4533000,3425000,18468000,18944000
45,Total Non-Current Assets,20900000,31000000,32800000,29800000,35700000,56200000,53300000,55600000,68700000,74400000,72281000,76830000,91314000,85400000,96600000,143950000,111600000,67700000,63100000,60300000,57300000,68505000,78200000,77800000,70400000,63700000,94100000,93500000,91400000,114200000,108881000,112405000,122882000,134057000,132425000,140864000,143804000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,42700000,72100000,77600000,78700000,89900000,118700000,108900000,112800000,133000000,138900000,146135000,145663000,171476000,147100000,167900000,245448000,196600000,136400000,132900000,151300000,138300000,166596000,173500000,228200000,182100000,182500000,216500000,208600000,212600000,256800000,260239000,292892000,283073000,329534000,293009000,337902000,390710000
48,Accounts Payable,- -,- -,- -,- -,15600000,- -,19600000,22200000,25400000,25200000,27471000,23841000,31639000,28800000,25000000,43466000,29100000,23900000,19400000,15000000,15400000,30691000,16700000,23600000,24000000,20700000,38600000,30100000,30600000,52800000,32182000,42759000,33651000,60059000,21595000,38961000,49443000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13456000,3188000,2620000,- -,- -,10120000,- -,- -,2663000,3960000,2376000,- -,- -,- -,- -,- -,675000,- -,- -,- -,- -,- -,- -,- -,- -,1230000,1030000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1234000,1233000,1155000,1242000,3694000,1328000,1384000,2054000,1820000,3471000,6349000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,13300000,23700000,24800000,18200000,3300000,35600000,7500000,7800000,8500000,14100000,6897000,8156000,9216000,6600000,10600000,9576000,13500000,12400000,6337000,10740000,11624000,10462000,7900000,29300000,5400000,6100000,7425000,5900000,6800000,10400000,13644000,11024000,8667000,11929000,6818000,13487000,18376000
53,Total Current Liabilities,13300000,23700000,24800000,18200000,18900000,35600000,27100000,30000000,33900000,39300000,47824000,35185000,43475000,35400000,35600000,63162000,42600000,36300000,28400000,29700000,29400000,41153000,24600000,52900000,29400000,26800000,46700000,36000000,37400000,63200000,45826000,53783000,42318000,71988000,28413000,53678000,68849000
54,Long-Term Debt,9400000,24200000,24000000,23200000,27300000,33700000,32100000,30400000,29200000,26800000,22089000,29655000,49673000,35700000,46200000,94880000,97800000,70000000,67600000,49000000,9500000,- -,- -,- -,- -,- -,13500000,11500000,- -,- -,- -,- -,- -,- -,- -,1300000,695000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,3300000,4200000,4600000,4600000,4700000,8200000,8000000,7400000,7000000,6300000,5010000,6410000,5989000,- -,- -,8934000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8103000,- -,- -,6568000,6296000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,736000,1017000,6800000,8800000,1033000,6100000,6800000,5700000,1400000,2300000,3005000,5100000,5500000,5600000,7800000,7900000,11600000,14200000,14700000,14198000,14543000,9276000,15881000,18579000,11553000,12832000
58,Total Non-Current Liabilities,12700000,28400000,28600000,27800000,32000000,41900000,40100000,37800000,36200000,33100000,27099000,36801000,56679000,42500000,55000000,104847000,103900000,76800000,73300000,50400000,11800000,3005000,5100000,5500000,5600000,7800000,21400000,23100000,14200000,14700000,14198000,14543000,17379000,15881000,18579000,19421000,19823000
59,Other Liabilities,12600000,28400000,28600000,55700000,64100000,83900000,40000000,75700000,36200000,33100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2530000,1725000
61,Total Liabilities,25900000,52100000,53400000,46100000,51000000,77600000,67100000,67900000,70100000,72400000,74923000,71986000,100154000,77900000,90600000,168009000,146500000,113100000,101700000,80100000,41200000,44158000,29700000,58400000,35000000,34600000,68100000,59100000,51600000,77900000,60024000,68326000,59697000,87869000,46992000,73099000,88672000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16787000,16871000,16873000,16900000,16900000,16920000,16900000,16900000,16900000,18200000,18900000,18213000,18300000,17500000,17500000,17600000,17600000,17700000,18200000,18400000,18466000,18976000,19041000,19223000,19261000,19304000,19408000
64,Retained Earnings,10800000,12500000,13000000,17700000,20600000,18700000,15300000,13100000,9000000,12100000,16392000,18614000,16249000,14100000,22100000,22192000,-1600000,-27300000,-20600000,10900000,34800000,57882000,79900000,112500000,88300000,86700000,84200000,83800000,89000000,103400000,122928000,139314000,135851000,151084000,154372000,171068000,206384000
65,Other Comprehensive Income/Loss,-8300000,-10200000,-13600000,-10800000,-13700000,-18600000,-23500000,-28200000,-32300000,-38000000,- -,- -,- -,-58000000,-64400000,- -,-7200000,-9200000,-3413000,-1637000,-1600000,-662000,-3251000,-3341000,-2520000,-2309000,-2015000,-2441000,-1562000,-1790000,-2146000,-1541000,-1333000,-1494000,-2248000,-1956000,-2442000
66,Other Total Stockholders Equity,14300000,17700000,24800000,25700000,32000000,41000000,50000000,60000000,86200000,92400000,38033000,38192000,38200000,96300000,102700000,38327000,42000000,42900000,38385000,43214000,44936000,47005000,48901000,43188000,43790000,45885000,48689000,50441000,55418000,58873000,60967000,67817000,69817000,72852000,74632000,76387000,78688000
67,Total Stockholders Equity,16800000,20000000,24200000,32600000,38900000,41100000,41800000,44900000,62900000,66500000,71212000,73677000,71322000,69300000,77300000,77439000,50100000,23300000,31272000,70677000,97036000,122438000,143850000,169847000,147070000,147876000,148474000,149500000,161056000,178883000,200215000,224566000,223376000,241665000,246017000,264803000,302038000
68,Total Liabilities And Stockholders Equity,42700000,72100000,77600000,78700000,89900000,118700000,108900000,112800000,133000000,138900000,146135000,145663000,171476000,147200000,167900000,245448000,196600000,136400000,132972000,150777000,138236000,166596000,173550000,228247000,182070000,182476000,216574000,208600000,212656000,256783000,260239000,292892000,283073000,329534000,293009000,337902000,390710000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,- -,- -,- -,- -,-72000,523000,64000,- -,-50000,-47000,30000,24000,-74000,- -,-56000,17000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,42700000,72100000,77600000,78700000,89900000,118700000,108900000,112800000,133000000,138900000,146135000,145663000,171476000,147100000,167900000,245448000,196600000,136400000,132900000,151300000,138300000,166596000,173500000,228200000,182100000,182500000,216500000,208600000,212600000,256800000,260239000,292892000,283073000,329534000,293009000,337902000,390710000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/764401/000095014402012962/g79876e10vk.htm,https://www.sec.gov/Archives/edgar/data/764401/000095014404006214/g89605e10vk.htm,https://www.sec.gov/Archives/edgar/data/764401/000095014404011815/g92264e10vk.htm,https://www.sec.gov/Archives/edgar/data/764401/000095014405012675/g98743e10vk.htm,https://www.sec.gov/Archives/edgar/data/764401/000095014406011379/0000950144-06-011379-index.html,https://www.sec.gov/Archives/edgar/data/764401/000095014407010780/0000950144-07-010780-index.html,https://www.sec.gov/Archives/edgar/data/764401/000095014408008769/0000950144-08-008769-index.html,https://www.sec.gov/Archives/edgar/data/764401/000095012309060253/0000950123-09-060253-index.html,https://www.sec.gov/Archives/edgar/data/764401/000095012310109739/0000950123-10-109739-index.html,https://www.sec.gov/Archives/edgar/data/764401/000119312511306348/0001193125-11-306348-index.html,https://www.sec.gov/Archives/edgar/data/764401/000143774912010790/0001437749-12-010790-index.html,https://www.sec.gov/Archives/edgar/data/764401/000143774913013544/0001437749-13-013544-index.html,https://www.sec.gov/Archives/edgar/data/764401/000143774914018761/0001437749-14-018761-index.html,https://www.sec.gov/Archives/edgar/data/764401/000143774915019173/0001437749-15-019173-index.html,https://www.sec.gov/Archives/edgar/data/764401/000143774916040500/0001437749-16-040500-index.html,https://www.sec.gov/Archives/edgar/data/764401/000143774917017727/0001437749-17-017727-index.html,https://www.sec.gov/Archives/edgar/data/764401/000143774918018853/0001437749-18-018853-index.html,https://www.sec.gov/Archives/edgar/data/764401/000143774919020623/0001437749-19-020623-index.html,https://www.sec.gov/Archives/edgar/data/764401/000143774920021957/0001437749-20-021957-index.htm,https://www.sec.gov/Archives/edgar/data/764401/000143774921024481/0001437749-21-024481-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,6700000,- -,1700000,4300000,6300000,5100000,6336000,4243000,-341000,-100000,10000000,2121000,-23800000,-25700000,6700000,31500000,25000000,33040000,24200000,43800000,-22100000,500000,-400000,1800000,11700000,16600000,21710000,37245000,22548000,36266000,5598000,19009000,66610000
74,Depreciation and Amortization,- -,- -,- -,- -,-3300000,- -,-6700000,-6800000,-6100000,-7100000,7797000,8061000,8224000,8738000,8908000,11203000,13000000,8351000,7056000,8119000,7070000,5107000,6209000,7769000,7885000,7009000,9573000,9762000,9833000,10274000,11934000,11544000,11649000,12818000,13553000,14255000,14521000
75,Deferred Income Tax,- -,- -,- -,- -,400000,- -,-200000,-500000,-400000,600000,- -,- -,- -,- -,- -,1139000,-11379000,-16000,-6834000,7465000,2004000,-1627000,2003000,484000,997000,-1121000,209000,835000,3881000,41000,333000,536000,2503000,-2807000,1798000,-424000,-118000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2036000,2258000,2917000,2208000,2161000,2661000,2298000,2439000,2245000,2078000,2057000,2028000,1988000
77,Change in Working Capital,- -,- -,- -,- -,3700000,- -,1600000,-1300000,3200000,-5200000,830000,7618000,3039000,-10387000,9400000,2636000,4064000,-10000000,9000000,19900000,-9700000,5338000,13762000,26800000,-15200000,9700000,-16300000,3400000,4700000,-4400000,26132000,21172000,-8831000,5616000,8682000,11189000,-13195000
78,Accounts Receivable,- -,- -,- -,- -,1900000,- -,4700000,-800000,- -,-4900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28298000,- -,-17001000,-167000,1028000,-2084000,4266000,-607000,7105000,-11200000,7302000,-5806000,-14100000
79,Inventory,- -,- -,- -,- -,2100000,- -,6900000,-4800000,2800000,-5000000,-11816000,8721000,-12758000,13898000,-4168000,8371000,12534000,-1165000,2394000,-10145000,7244000,-15228000,-604000,-23819000,6737000,-7710000,-11870000,10600000,6981000,-16814000,15890000,-5177000,-10667000,-12304000,23306000,5060000,-10086000
80,Accounts Payable,- -,- -,- -,- -,1200000,- -,-2100000,2600000,3200000,-200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3687000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,26900000,- -,28500000,27200000,30400000,25200000,26030000,33648000,36687000,26300000,35700000,38336000,42400000,32400000,41400000,61300000,51600000,56938000,70700000,97500000,82300000,92000000,75700000,79100000,83800000,79400000,105532000,126704000,117873000,123489000,132171000,143360000,-900000
