,https://roic.ai/company/RHP,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,204700000,162200000,49900000,561500000,-226543000,-10476000,14562000,-58214000,-94013000,-46681000,-95277000,164653000,5655000,9150000,-132916000,17488000,-28669000,25815000,125000000,99656000,162766000,126945000,276415000,146769000,-433737000,-189844000
21,Income Before Tax Ratio,0.2740,0.1964,0.0951,1.0993,-0.4404,-0.0322,0.0351,-0.1297,-0.1254,-0.0537,-0.1005,0.2202,0.0061,0.0104,-0.1726,0.0184,-0.0291,0.0270,0.1201,0.0912,0.1416,0.1072,0.2168,0.0915,-0.8270,-0.2021
22,Income Tax expense (Gain),73500000,10800000,18700000,211700000,-73073000,-3188000,1806000,-24669000,-39731000,-15147000,-12445000,62665000,1046000,9197000,-40718000,7420000,-2034000,-92662000,-1467000,-11855000,3400000,-49155000,11745000,18475000,27084000,4957000
23,Net Income,131200000,143900000,31200000,349800000,-153470000,-47743000,95144000,826000,-53638000,-33950000,-79435000,111911000,4364000,-23000,-89128000,10177000,-26644000,118352000,126452000,111511000,159366000,176100000,264670000,128294000,-417391000,-176966000
24,Net Income ratio,0.1756,0.1742,0.0595,0.6848,-0.2984,-0.1468,0.2296,0.0018,-0.0716,-0.0391,-0.0838,0.1497,0.0047,-0.0000,-0.1158,0.0107,-0.0270,0.1240,0.1215,0.1021,0.1387,0.1486,0.2076,0.0800,-0.7958,-0.1884
25,EPS,4.07,4.45,0.95,10.63,-4.60,-1.42,2.82,0.02,-1.35,-0.85,-1.96,2.73,0.11,-0.00,-1.89,0.21,-0.56,2.22,2.38,2.18,3.12,3.44,5.16,2.82,-7.59,-3.54
26,EPS Diluted,4.07,4.41,0.94,10.53,-4.60,-1.42,2.82,0.02,-1.35,-0.85,-1.96,2.65,0.11,-0.00,-1.89,0.20,-0.56,1.81,2.17,2.16,3.11,3.43,5.14,2.81,-7.59,-3.54
27,Weighted Average Shares Outstanding,32235872,32337079,32842105,32906867,33363043,33621831,33739007,41300000,39731852,39941176,40528061,40993040,39672727,42490000,47256000,48351000,47602000,51174000,50861000,51241000,51009000,51147000,51294000,51609000,54962000,55065000
28,Weighted Average Shares Outstanding Diluted,32235872,32630385,33191489,33219373,33363043,33621831,33739007,41300000,39731852,39941176,40528061,42230566,39672727,42490000,47256000,49783000,47602000,62810000,55880000,51612000,51312000,51371000,51507000,51975000,54962000,55065000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1040829/000095014498003815/0000950144-98-003815-index.html,https://www.sec.gov/Archives/edgar/data/1040829/000095014499003817/0000950144-99-003817-index.html,https://www.sec.gov/Archives/edgar/data/1040829/000095014400004089/0000950144-00-004089-index.html,https://www.sec.gov/Archives/edgar/data/1040829/000095014401004631/0000950144-01-004631-index.html,https://www.sec.gov/Archives/edgar/data/1040829/000095014402003186/0000950144-02-003186-index.html,https://www.sec.gov/Archives/edgar/data/1040829/000095014403004173/0000950144-03-004173-index.html,https://www.sec.gov/Archives/edgar/data/1040829/000095014404002344/0000950144-04-002344-index.htm,https://www.sec.gov/Archives/edgar/data/1040829/000095014405002490/0000950144-05-002490-index.htm,https://www.sec.gov/Archives/edgar/data/1040829/000095014406002242/0000950144-06-002242-index.htm,https://www.sec.gov/Archives/edgar/data/1040829/000095014407001730/0000950144-07-001730-index.htm,https://www.sec.gov/Archives/edgar/data/1040829/000095014408001484/0000950144-08-001484-index.htm,https://www.sec.gov/Archives/edgar/data/1040829/000095014409001764/0000950144-09-001764-index.htm,https://www.sec.gov/Archives/edgar/data/1040829/000095012310017849/0000950123-10-017849-index.htm,https://www.sec.gov/Archives/edgar/data/1040829/000095012311018482/0000950123-11-018482-index.htm,https://www.sec.gov/Archives/edgar/data/1040829/000119312512077439/0001193125-12-077439-index.htm,https://www.sec.gov/Archives/edgar/data/1040829/000119312513079938/0001193125-13-079938-index.htm,https://www.sec.gov/Archives/edgar/data/1040829/000119312514075712/0001193125-14-075712-index.htm,https://www.sec.gov/Archives/edgar/data/1040829/000119312515064903/0001193125-15-064903-index.htm,https://www.sec.gov/Archives/edgar/data/1040829/000119312516480931/0001193125-16-480931-index.htm,https://www.sec.gov/Archives/edgar/data/1040829/000119312517061161/0001193125-17-061161-index.htm,https://www.sec.gov/Archives/edgar/data/1040829/000119312518060772/0001193125-18-060772-index.htm,https://www.sec.gov/Archives/edgar/data/1040829/000155837019001107/0001558370-19-001107-index.htm,https://www.sec.gov/Archives/edgar/data/1040829/000155837020001342/0001558370-20-001342-index.htm,https://www.sec.gov/Archives/edgar/data/1040829/000155837021001956/0001558370-21-001956-index.htm,https://www.sec.gov/Archives/edgar/data/1040829/000155837022002101/0001558370-22-002101-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,13700000,8700000,18700000,18700000,35852000,10846000,98632000,120965000,45492000,83448000,56277000,23592000,1043000,180033000,124398000,44388000,97170000,61579000,76408000,56291000,59128000,57557000,103437000,362430000,56697000,140688000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,27000000,- -,394913000,- -,- -,- -,22000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,13700000,8700000,18700000,18700000,35852000,10846000,98632000,120965000,72492000,83448000,451190000,23592000,1043000,180033000,124420000,44388000,97170000,61579000,76408000,56291000,59128000,57557000,103437000,362430000,56697000,140688000
34,Net Receivables,108700000,82200000,94400000,83300000,66869000,25931000,40572000,26101000,30328000,37168000,39458000,39214000,71333000,40917000,34188000,41939000,73493000,55397000,62877000,61818000,47818000,57520000,67923000,201292000,119125000,167429000
35,Inventory,- -,23200000,27000000,28500000,16893000,3577000,3900000,- -,- -,- -,- -,7611000,10222000,- -,- -,- -,6495000,6653000,7446000,8051000,8065000,- -,9823000,10329000,7157000,16738000
36,Other Current Assets,64900000,37300000,49100000,33500000,96039000,142956000,52596000,93481000,111193000,67673000,247023000,24428000,25980000,84626000,54242000,58329000,34087000,40354000,34294000,46777000,44408000,143386000,129939000,135577000,58021000,98567000
37,Total Current Assets,187300000,151400000,189200000,164000000,215653000,183310000,195700000,240547000,214013000,188289000,737671000,94845000,108578000,305576000,212850000,144656000,211245000,163983000,181025000,172937000,159419000,258463000,311122000,709628000,241000000,423422000
38,PP&E,640300000,550300000,586900000,611600000,778960000,1000332000,1112078000,1297528000,1343251000,1404419000,1638443000,2196264000,2227574000,2149814000,2201445000,2209127000,2148999000,2067997000,2036261000,1982816000,1998012000,2065657000,3149095000,3130252000,3117247000,3031844000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,87331000,6915000,6915000,329000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,39400000,84400000,117500000,141900000,103792000,25335000,11276000,239738000,192032000,246231000,50942000,1654000,1601000,1588000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,39400000,84400000,117500000,141900000,103792000,25335000,11276000,239738000,192032000,246231000,138273000,8569000,8516000,1917000,- -,- -,- -,- -,- -,- -,- -,- -,246770000,207113000,166971000,126804000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,128000,- -,- -,- -,- -,- -,- -,70440000,88685000,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40557000,25959000,- -,- -
44,Other Non-Current Assets,315200000,331500000,118400000,814900000,841148000,958845000,873142000,799450000,771749000,693651000,118132000,37189000,215711000,203588000,206638000,209617000,182895000,192649000,195860000,175681000,177882000,111423000,106339000,15516000,31277000,89903000
45,Total Non-Current Assets,994900000,966200000,822800000,1568400000,1723900000,1984512000,1996496000,2336716000,2307032000,2344301000,1894848000,2242022000,2451801000,2355447000,2408083000,2418744000,2331894000,2260646000,2232121000,2158497000,2246334000,2265765000,3542761000,3378840000,3315495000,3248551000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1182200000,1117600000,1012000000,1732400000,1939553000,2167822000,2192196000,2577263000,2521045000,2532590000,2632519000,2336867000,2560379000,2661023000,2620933000,2563400000,2543139000,2424629000,2413146000,2331434000,2405753000,2524228000,3853883000,4088468000,3556495000,3580525000
48,Accounts Payable,111700000,127700000,31200000,41700000,28902000,6965000,7547000,154952000,18855000,190692000,222717000,12395000,168155000,- -,- -,- -,57289000,26932000,31942000,20913000,32315000,32663000,77620000,40238000,23125000,336444000
49,Short-Term Debt,- -,- -,6300000,299800000,176878000,88004000,8526000,8584000,463000,1825000,2034000,2058000,1904000,1814000,58574000,755000,130358000,- -,- -,- -,- -,- -,- -,- -,98421000,190000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,51821000,54991000
51,Deferred Revenue,- -,- -,- -,- -,- -,11047000,11910000,- -,- -,- -,- -,25620000,- -,- -,- -,- -,41018000,39822000,38581000,47794000,41080000,51232000,69280000,- -,- -,- -
52,Other Current Liabilities,52300000,- -,84600000,86400000,122943000,104042000,67880000,2930000,150866000,3650000,670260000,205572000,2935000,152532000,188175000,169161000,79136000,76543000,86877000,73750000,88134000,86651000,103729000,198644000,110398000,156560000
53,Total Current Liabilities,164000000,127700000,122100000,427900000,328723000,210058000,95863000,166466000,170184000,196167000,895011000,245645000,172994000,154346000,246749000,169916000,307801000,143297000,157400000,142457000,161529000,170546000,250629000,238882000,231944000,683004000
54,Long-Term Debt,326100000,388400000,276700000,10300000,633605000,994047000,945166000,540175000,575946000,598475000,753572000,979042000,1260997000,1176874000,1100641000,1073070000,901505000,1154420000,1341555000,1431710000,1502554000,1590753000,2441277000,2558660000,2667156000,2860589000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41018000,39822000,38581000,47794000,41080000,51232000,69280000,76744000,70441000,116820000
56,Deferred Tax Liabilities,117900000,32600000,52700000,293000000,204805000,165824000,244372000,251039000,207062000,177652000,96537000,73662000,62656000,100590000,101140000,108219000,99626000,23117000,14284000,1163000,1469000,- -,- -,- -,665000,4671000
57,Other Non-Current Liabilities,46400000,42700000,33100000,38700000,43009000,137735000,117331000,715074000,698252000,711729000,89373000,97026000,160513000,150529000,142651000,166660000,339591000,306278000,459919000,328748000,331124000,333541000,623120000,569453000,366472000,-62166000
58,Total Non-Current Liabilities,490400000,463700000,362500000,342000000,881419000,1297606000,1306869000,1506288000,1481260000,1487856000,939482000,1149730000,1484166000,1427993000,1344432000,1347949000,1381740000,1523637000,1854339000,1809415000,1876227000,1975526000,3133677000,3204857000,3104734000,2919914000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,68275000,73871000,79352000,84716000,89959000,95717000,100686000,107639000,108664000,114654000
61,Total Liabilities,654400000,591400000,484600000,769900000,1210142000,1507664000,1402732000,1672754000,1651444000,1684023000,1834493000,1395375000,1657160000,1582339000,1591181000,1517865000,1689541000,1666934000,2011739000,1951872000,2037756000,2146072000,3384306000,3443739000,3336678000,3602918000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,300000,334000,337000,338000,394000,399000,403000,408000,413000,409000,470000,481000,484000,526000,505000,510000,513000,510000,512000,513000,549000,550000,551000
64,Retained Earnings,39500000,16800000,26700000,351000000,197558000,149815000,282798000,283624000,232270000,198320000,118885000,230758000,234751000,234728000,145600000,155777000,-366066000,-454770000,-446963000,-473404000,-491805000,-479170000,-388524000,-495514000,-911092000,-1088105000
65,Other Comprehensive Income/Loss,-333900000,-237300000,-257600000,-269300000,-290768000,-314092000,-361452000,-408901000,-471145000,-19000000,-16000000,-11000000,-43000000,-33000000,-28000000,-36000000,-25000000,-9000000,-26000000,-25000000,-22000000,-27000000,-28000000,-28000000,-57951000,-29080000
66,Other Total Stockholders Equity,807400000,736700000,756100000,879200000,820741000,822419000,865895000,1029392000,1108077000,668844000,694733000,721321000,711059000,876486000,911671000,925274000,1244138000,1220960000,873860000,877453000,881292000,883814000,885588000,1167694000,1173794000,1094400000
67,Total Stockholders Equity,513000000,516200000,525200000,961200000,727865000,658479000,787579000,904509000,869601000,848567000,798026000,941492000,903219000,1078684000,1029752000,1045535000,853598000,757695000,401407000,379562000,367997000,378156000,469577000,644729000,205301000,-22234000
68,Total Liabilities And Stockholders Equity,1167400000,1107600000,1009800000,1731100000,1938007000,2166143000,2190311000,2577263000,2521045000,2532590000,2632519000,2336867000,2560379000,2661023000,2620933000,2563400000,2543139000,2424629000,2413146000,2331434000,2405753000,2524228000,3853883000,4088468000,3541979000,3580684000
69,Minority Interest,14800000,10000000,2200000,1300000,1546000,1679000,1885000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14516000,-159000
70,Total Liabilities & Equity,1182200000,1117600000,1012000000,1732400000,1939553000,2167822000,2192196000,2577263000,2521045000,2532590000,2632519000,2336867000,2560379000,2661023000,2620933000,2563400000,2543139000,2424629000,2413146000,2331434000,2405753000,2524228000,3853883000,4088468000,3556495000,3580525000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1040829/000095014498003815/0000950144-98-003815-index.html,https://www.sec.gov/Archives/edgar/data/1040829/000095014499003817/0000950144-99-003817-index.html,https://www.sec.gov/Archives/edgar/data/1040829/000095014400004089/0000950144-00-004089-index.html,https://www.sec.gov/Archives/edgar/data/1040829/000095014401004631/0000950144-01-004631-index.html,https://www.sec.gov/Archives/edgar/data/1040829/000095014402003186/0000950144-02-003186-index.html,https://www.sec.gov/Archives/edgar/data/1040829/000095014403004173/0000950144-03-004173-index.html,https://www.sec.gov/Archives/edgar/data/1040829/000095014404002344/0000950144-04-002344-index.htm,https://www.sec.gov/Archives/edgar/data/1040829/000095014405002490/0000950144-05-002490-index.htm,https://www.sec.gov/Archives/edgar/data/1040829/000095014406002242/0000950144-06-002242-index.htm,https://www.sec.gov/Archives/edgar/data/1040829/000095014407001730/0000950144-07-001730-index.htm,https://www.sec.gov/Archives/edgar/data/1040829/000095014408001484/0000950144-08-001484-index.htm,https://www.sec.gov/Archives/edgar/data/1040829/000095014409001764/0000950144-09-001764-index.htm,https://www.sec.gov/Archives/edgar/data/1040829/000095012310017849/0000950123-10-017849-index.htm,https://www.sec.gov/Archives/edgar/data/1040829/000095012311018482/0000950123-11-018482-index.htm,https://www.sec.gov/Archives/edgar/data/1040829/000119312512077439/0001193125-12-077439-index.htm,https://www.sec.gov/Archives/edgar/data/1040829/000119312513079938/0001193125-13-079938-index.htm,https://www.sec.gov/Archives/edgar/data/1040829/000119312514075712/0001193125-14-075712-index.htm,https://www.sec.gov/Archives/edgar/data/1040829/000119312515064903/0001193125-15-064903-index.htm,https://www.sec.gov/Archives/edgar/data/1040829/000119312516480931/0001193125-16-480931-index.htm,https://www.sec.gov/Archives/edgar/data/1040829/000119312517061161/0001193125-17-061161-index.htm,https://www.sec.gov/Archives/edgar/data/1040829/000119312518060772/0001193125-18-060772-index.htm,https://www.sec.gov/Archives/edgar/data/1040829/000155837019001107/0001558370-19-001107-index.htm,https://www.sec.gov/Archives/edgar/data/1040829/000155837020001342/0001558370-20-001342-index.htm,https://www.sec.gov/Archives/edgar/data/1040829/000155837021001956/0001558370-21-001956-index.htm,https://www.sec.gov/Archives/edgar/data/1040829/000155837022002101/0001558370-22-002101-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,131200000,143900000,31200000,349800000,-153470000,-47743000,95144000,826000,-53638000,-33950000,-79435000,111911000,4364000,-23000,-89128000,10177000,-26644000,118352000,126452000,111511000,159366000,176100000,264670000,128294000,-417391000,-176966000
74,Depreciation and Amortization,48900000,53400000,42800000,52600000,79235000,77262000,92784000,94169000,107272000,112953000,115809000,91618000,114182000,116592000,105561000,125289000,130691000,116528000,112278000,114383000,109816000,111959000,120876000,213847000,215082000,220357000
75,Deferred Income Tax,2100000,-80600000,20200000,176600000,-36018000,-3229000,65070000,-24871000,-39712000,-15147000,-12445000,-36396000,6753000,36726000,- -,5399000,-9105000,-89530000,-5877000,-13847000,321000,-52637000,10190000,14414000,26526000,4006000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10013000,10062000,10170000,8964000,11560000,5773000,6158000,6128000,6640000,7656000,7833000,8732000,12104000
77,Change in Working Capital,-20800000,400000,43400000,-331000000,150830000,86322000,126585000,-25756000,-30252000,-51707000,-149462000,6540000,86384000,215646000,-185129000,8639000,-71296000,117242000,2939000,6855000,-32590000,90027000,-27424000,410253000,-461690000,51834000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8197000,8071000,-10146000,-13404000,3561000,6594000,-9845000,7215000,-9702000,-8320000,-2844000,50501000,-54639000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,23300000,23700000,67100000,-263900000,-113070000,-26748000,99837000,74081000,43829000,-7878000,-157340000,-150800000,-64416000,151230000,-33899000,-25260000,-96556000,20686000,23625000,30480000,-2110000,87917000,60493000,470746000,9056000,-539000
82,Other Non-Cash Items,-96100000,-90700000,-59400000,-241800000,-25275000,-83339000,-292303000,32438000,74017000,68703000,236392000,-146974000,-89442000,-255898000,298118000,-5755000,143860000,-136453000,5439000,9302000,50560000,-36259000,-54049000,-419955000,467217000,-82000
83,Cash Provided by Operating Activities,65300000,26400000,78200000,6200000,15302000,29273000,87280000,76806000,57687000,80852000,110859000,26699000,122241000,123056000,139484000,153919000,176470000,137699000,247004000,234362000,293601000,295830000,321919000,354686000,-161524000,111253000
84,CAPEX,-115500000,-176900000,-83000000,-110500000,-232304000,-281138000,-185649000,-223720000,-127828000,-129540000,-294947000,-578815000,-395156000,-49552000,-194647000,-132592000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,-11620000,- -,- -,- -,- -,-20223000,- -,- -,-30000,- -,- -,- -,- -,- -,9350000,10000000,-63356000,-25622000,-229726000,-24722000,-8868000,-218710000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-130850000,-15000000,-6587000,-775000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,20100000,- -,- -,- -,- -,- -,165850000,42000000,2228000,222397000,- -,17621000,4161000,- -,4480000,1740000,- -,- -,- -,- -,- -,13211000,- -,- -
88,Other Investing Activites,68000000,137300000,151400000,93300000,-48599000,14147000,272735000,67429000,-2610000,13865000,-6504000,106413000,-18214000,-1564000,-1312000,4313000,110576000,-50481000,-68812000,-84637000,-115885000,-188890000,-193584000,-151526000,-163780000,-71028000
89,Cash Used for Investing Activites,-47500000,-39600000,88500000,-17200000,-292523000,-266991000,87086000,-156291000,-95438000,-108898000,-305810000,-250780000,-413400000,-33495000,-191798000,-128279000,115056000,-48741000,-59462000,-74637000,-179241000,-214512000,-423310000,-163037000,-172648000,-289738000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-352071000,-26965000,-100000000,-55000000,-286902000,-358710000,-284100000,-10000000,-605150000,-5000000,-1476612000,-5000000,-405000000
91,Common Stock Issued,1400000,14300000,300000,10200000,2136000,2548000,919000,4459000,11529000,9040000,13028000,12573000,1859000,125297000,- -,- -,32722000,- -,- -,- -,- -,- -,- -,282908000,- -,- -
92,Common Stock Repurchased,-5900000,-1700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19999000,-4599000,- -,- -,-185400000,-100028000,-177423000,-154681000,-24811000,- -,- -,- -,- -,- -
93,Dividends Paid,-34900000,-33900000,-21300000,-26400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-62007000,-76424000,-109414000,-131305000,-151160000,-161706000,-172415000,-183346000,-102331000,-502000
94,Other Financing Activites,23200000,29600000,-135700000,27200000,292241000,218169000,-85847000,97359000,12749000,35305000,163766000,199744000,286750000,320802000,23648000,-5650000,30941000,338805000,472834000,390244000,74448000,683967000,349185000,1456708000,100861000,667233000
95,Cash Used/Provided by Financing Activities,-16200000,8300000,-156700000,11000000,294377000,220717000,-84928000,101818000,24278000,44345000,176794000,212317000,268610000,89429000,-3317000,-105650000,-238744000,-124549000,-172713000,-179842000,-111523000,-82889000,171770000,79658000,-6470000,261731000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-16200000,8300000,10000000,- -,17156000,-17001000,89438000,22333000,-13473000,16299000,-18157000,-11764000,-22549000,178990000,-55631000,-80010000,52782000,-35591000,14829000,-20117000,2837000,-1571000,70379000,271307000,-340642000,83246000
98,Cash at the End of Period,- -,- -,18700000,18700000,35852000,10846000,98632000,120965000,45492000,59797000,40562000,23592000,1043000,180033000,124398000,44388000,97170000,61579000,76408000,56291000,59128000,57557000,149089000,420396000,79754000,163000000
99,Cash at the Beginning of Period,12100000,13700000,8700000,18700000,18696000,27847000,9194000,98632000,58965000,43498000,58719000,35356000,23592000,1043000,180029000,124398000,44388000,97170000,61579000,76408000,56291000,59128000,78710000,149089000,420396000,79754000
100,Free Cash Flow,-50200000,-150500000,-4800000,-104300000,-217002000,-251865000,-98369000,-146914000,-70141000,-48688000,-184088000,-552116000,-272915000,73504000,-55163000,21327000,176470000,137699000,247004000,234362000,293601000,295830000,321919000,354686000,-161524000,111253000
