,https://roic.ai/company/PGR,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2847000000,-3201000000,-3731000000,-4648000000,-5129000000,-5903000000,-6433000000,-6776000000,-8307000000,-9761000000,-10745000000,-11506000000,-11450000000,-11734000000,-11859000000,-12124000000,-9154900000,1248800000,511900000,568200000,-10899400000,-13437900000,-14028600000,-17578200000,-22985800000,-27282700000,- -,-59900000
82,Other Non-Cash Items,- -,- -,- -,- -,-193000000,-165600000,129300000,-27500000,40100000,3004700000,613700000,844700000,1215100000,586200000,1182100000,1228700000,1085200000,2691800000,2535200000,1705700000,1045400000,-35500000,475000000,1610600000,566700000,-2487100000,-10009800000,1368200000,512000000,11763700000,3347100000,1976900000,5382700000,8737500000,6191900000,-26502900000,-1382500000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,193000000,-72200000,190600000,150600000,323500000,451300000,530600000,652200000,734700000,618000000,775100000,822400000,1234600000,1912000000,2436900000,2662500000,1994000000,2024600000,1791000000,1549200000,1486800000,1679300000,1497900000,1691400000,1899900000,1725600000,2292900000,2701900000,3756800000,6284800000,6261600000,6905600000,7761700000
84,CAPEX,- -,- -,- -,- -,-16900000,- -,-45100000,-12100000,-60000000,-58200000,-38300000,-35800000,-121900000,-174200000,-147500000,-130300000,-74900000,-89900000,-171100000,-192000000,-219300000,-334300000,-136300000,-98500000,-66600000,-64700000,-78900000,-127700000,-140400000,-108100000,-130700000,-215000000,-155700000,-266000000,-363500000,-223500000,-243500000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-753000000,- -,-18000000,- -,- -,- -,-313200000
86,Purchases of Investments,- -,- -,- -,- -,-2065000000,-12400000,-1281600000,-1369300000,-1692100000,-1951200000,-3362500000,-5172500000,-7671100000,-4974200000,-7171400000,-6486400000,-6631200000,-8605600000,-10343000000,-728600000,-33216900000,-10425800000,-16831500000,-9417500000,-10917000000,-5068600000,-7076000000,-6100500000,-7422800000,-9213200000,-9958200000,-12044800000,-14843400000,-21691800000,-29145100000,-36381900000,-34015600000
87,Sales/Maturities of Investments,- -,- -,- -,- -,1780100000,- -,1165300000,1357900000,69200000,828700000,1725200000,3314900000,5710900000,2729800000,5258300000,4312700000,6590600000,8265200000,8398000000,717900000,687000000,10116400000,17026800000,8202400000,9803200000,4638800000,6407000000,6003500000,6050800000,8508500000,8927900000,9729700000,11628800000,14901800000,25111000000,30382200000,31338400000
88,Other Investing Activites,- -,- -,- -,- -,- -,82700000,- -,- -,1293700000,590700000,1156000000,1276700000,1364200000,1819500000,996300000,1793300000,-1366900000,-1661000000,-37100000,-645800000,31203100000,-123500000,37100000,1100000,1800000,8000000,3000000,-40200000,155900000,-24100000,-9900000,65600000,-18400000,-275800000,59300000,105500000,114100000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-301800000,70300000,-161400000,-23500000,-389200000,-590000000,-519600000,-616700000,-717900000,-599100000,-1064300000,-510700000,-1482400000,-2091300000,-2153200000,-848500000,-1546100000,-767200000,96100000,-1312500000,-1178600000,-486500000,-744900000,-264900000,-1356500000,-836900000,-1923900000,-2464500000,-3406700000,-7331800000,-4338300000,-6117700000,-3119800000
90,Debt Repayment,- -,- -,- -,- -,-800000,-171000000,-170800000,-170900000,-240200000,-400000,-400000,-400000,-20400000,- -,-30000000,-300400000,-500000,-800000,- -,-206000000,- -,-100000000,- -,- -,- -,-214300000,-15000000,-382500000,-208100000,-48900000,-39700000,-43700000,-684600000,-37100000,- -,- -,-520000000
91,Common Stock Issued,- -,- -,- -,- -,5500000,- -,96400000,4200000,178800000,5100000,10100000,6900000,14100000,11500000,12600000,18600000,26000000,22600000,50000000,51700000,44200000,43300000,30800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-52500000,-95700000,-107300000,-105900000,-12200000,-36300000,-2300000,-128700000,-2900000,-42600000,-600000,-17800000,-120200000,-214300000,-316800000,-1628500000,-482800000,-1214500000,-1548400000,-179400000,-180600000,-258600000,-997800000,-174200000,-273400000,-271400000,-208500000,-192500000,-62500000,-79000000,-91300000,-111600000,-223000000
93,Dividends Paid,- -,- -,- -,- -,-11600000,-11500000,-17000000,-20800000,-23100000,-23400000,-24100000,-19600000,-17300000,-18100000,-19000000,-19800000,-20600000,-21100000,-21700000,-23300000,-23700000,-25000000,-1406500000,-98300000,- -,-763700000,-263600000,-853700000,-175600000,-892600000,-403600000,-519000000,-395400000,-668400000,-1670000000,-1577800000,-3773300000
94,Other Financing Activites,- -,- -,- -,- -,172200000,280000000,170000000,170000000,148200000,198400000,8500000,105500000,17600000,25600000,321800000,2400000,365400000,398600000,- -,- -,- -,38800000,1037200000,38100000,28500000,41200000,520700000,6300000,10300000,357500000,399000000,504800000,841600000,1631200000,-9600000,750600000,- -
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,112800000,1800000,-28700000,-123400000,51500000,143400000,-8200000,-36300000,-8900000,-23600000,284800000,-317000000,250100000,185000000,-288500000,-1806100000,-462300000,-1257400000,-1886900000,-239600000,-152100000,-1195400000,-755700000,-1404100000,-646800000,-855400000,-252800000,-250400000,-300900000,846700000,-1770900000,-938800000,-4516300000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1700000,800000,-500000,1000000,-600000,- -,-200000,400000,-300000,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,112800000,1800000,-28700000,-123400000,-14200000,4700000,2800000,-800000,7900000,-4700000,-4400000,-5300000,2300000,5700000,-4800000,7900000,-14400000,- -,200000,-2900000,157800000,-1800000,-3200000,23400000,-104000000,33300000,116000000,-12600000,48900000,-200300000,152400000,-150900000,125600000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,8700000,13400000,16200000,15400000,23300000,18600000,14200000,8900000,11200000,16900000,12100000,20000000,5600000,5600000,5800000,2900000,160700000,158900000,155700000,179100000,75100000,108400000,224400000,211500000,275300000,75000000,227400000,76500000,202100000
99,Cash at the Beginning of Period,- -,- -,- -,- -,17700000,300000,18700000,19200000,22900000,8700000,13400000,16200000,15400000,23300000,18600000,14200000,8900000,11200000,16900000,12100000,20000000,5600000,5600000,5800000,2900000,160700000,158900000,155700000,179100000,75100000,108400000,224100000,226400000,275300000,75000000,227400000,76500000
100,Free Cash Flow,- -,- -,- -,- -,176100000,-72200000,145500000,138500000,263500000,393100000,492300000,616400000,612800000,443800000,627600000,692100000,1159700000,1822100000,2265800000,2470500000,1774700000,1690300000,1654700000,1450700000,1420200000,1614600000,1419000000,1563700000,1759500000,1617500000,2162200000,2486900000,3601100000,6018800000,5898100000,6682100000,7518200000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/80661/000095015295000465/0000950152-95-000465-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/80661/000095015202002479/l93089ae10-k405.htm,https://www.sec.gov/Archives/edgar/data/80661/000095015203002937/l99510ae10vk.htm,https://www.sec.gov/Archives/edgar/data/80661/000095015204001600/l05942ae10vk.htm,https://www.sec.gov/Archives/edgar/data/80661/000095015205001650/l12357ae10vk.htm,https://www.sec.gov/Archives/edgar/data/80661/000095015206001512/l17994ae10vk.htm,https://www.sec.gov/Archives/edgar/data/80661/000095015207001579/l24289ae10vk.htm,https://www.sec.gov/Archives/edgar/data/80661/000095015208001442/l30025ae10vk.htm,https://www.sec.gov/Archives/edgar/data/80661/000119312509037067/0001193125-09-037067-index.html,https://www.sec.gov/Archives/edgar/data/80661/000119312510044296/0001193125-10-044296-index.html,https://www.sec.gov/Archives/edgar/data/80661/000119312511051378/d10k.htm,https://www.sec.gov/Archives/edgar/data/80661/000119312512083846/0001193125-12-083846-index.html,https://www.sec.gov/Archives/edgar/data/80661/000119312513075784/0001193125-13-075784-index.html,https://www.sec.gov/Archives/edgar/data/80661/000008066114000010/pgr-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/80661/000008066115000010/pgr-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/80661/000008066116000080/0000080661-16-000080-index.html,https://www.sec.gov/Archives/edgar/data/80661/000008066117000012/0000080661-17-000012-index.html,https://www.sec.gov/Archives/edgar/data/80661/000008066118000011/0000080661-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/80661/000008066119000008/0000080661-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/80661/000008066120000006/0000080661-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/80661/000008066121000014/0000080661-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/80661/000008066122000046/0000080661-22-000046-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
