,https://roic.ai/company/CNC,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1071739/000095013403003059/0000950134-03-003059-index.html,https://www.sec.gov/Archives/edgar/data/1071739/000095013704001221/0000950137-04-001221-index.htm,https://www.sec.gov/Archives/edgar/data/1071739/000119312505036156/0001193125-05-036156-index.htm,https://www.sec.gov/Archives/edgar/data/1071739/000119312506038095/0001193125-06-038095-index.htm,https://www.sec.gov/Archives/edgar/data/1071739/000107173907000012/0001071739-07-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1071739/000107173908000010/0001071739-08-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1071739/000107173909000007/0001071739-09-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1071739/000107173910000009/0001071739-10-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1071739/000107173911000012/0001071739-11-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1071739/000107173912000006/0001071739-12-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1071739/000107173913000024/0001071739-13-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1071739/000107173914000033/0001071739-14-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1071739/000107173915000034/0001071739-15-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1071739/000107173916000192/0001071739-16-000192-index.htm,https://www.sec.gov/Archives/edgar/data/1071739/000107173917000018/0001071739-17-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1071739/000107173918000030/0001071739-18-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1071739/000107173919000032/0001071739-19-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1071739/000107173920000060/0001071739-20-000060-index.htm,https://www.sec.gov/Archives/edgar/data/1071739/000107173921000039/0001071739-21-000039-index.htm,https://www.sec.gov/Archives/edgar/data/1071739/000107173922000071/0001071739-22-000071-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,19023000,88867000,59656000,64346000,84105000,147358000,271047000,268584000,379099000,403752000,434166000,573698000,843952000,1038073000,1610000000,1760000000,3930000000,4072000000,5342000000,12123000000,10800000000,13118000000
32,Short-Term Investments,- -,- -,7400000,1169000,9571000,15160000,94283000,56700000,66921000,46269000,109393000,39554000,21346000,130499000,139118000,102126000,177000000,176000000,505000000,531000000,722000000,863000000,1580000000,1539000000
33,Cash and Short-Term Investments,- -,- -,26423000,90036000,69227000,79506000,178388000,204058000,337968000,314853000,488492000,443306000,455512000,704197000,983070000,1140199000,1787000000,1936000000,4435000000,4603000000,6064000000,12986000000,12380000000,14657000000
34,Net Receivables,- -,- -,15538000,7032000,16773000,20308000,31475000,44108000,91664000,90072000,92531000,103456000,136243000,157450000,263452000,428570000,912000000,1279000000,3098000000,3413000000,5150000000,6247000000,9696000000,12238000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,4755000,4979000,7089000,10487000,14429000,24439000,22189000,41414000,85320000,69372000,65066000,78363000,127080000,231404000,335000000,390000000,832000000,687000000,784000000,1090000000,1317000000,1602000000
37,Total Current Assets,- -,- -,46716000,102047000,93089000,110301000,224292000,272605000,451821000,446339000,666343000,616134000,656821000,940010000,1373602000,1800173000,3034000000,3605000000,8365000000,8703000000,11998000000,20323000000,23393000000,28497000000
38,PP&E,- -,- -,1360000,3796000,6295000,23106000,- -,67199000,110688000,138139000,175858000,230421000,326341000,349622000,377726000,395407000,445000000,518000000,797000000,1104000000,1706000000,2121000000,4085000000,3391000000
39,Goodwill,- -,- -,- -,- -,- -,13066000,101631000,157278000,135877000,141030000,163380000,224587000,278051000,281981000,256288000,348432000,754000000,842000000,4712000000,4749000000,7015000000,6863000000,18652000000,19771000000
40,Intangible Assets,- -,- -,- -,2396000,10695000,6294000,14439000,17368000,16202000,13205000,17575000,22479000,29109000,27430000,20268000,48780000,120000000,155000000,1545000000,1398000000,2239000000,2063000000,8388000000,7824000000
41,Intangible Assets,- -,- -,347000,2396000,10695000,19360000,116070000,174646000,152079000,154235000,180955000,247066000,307160000,309411000,276556000,397212000,874000000,997000000,6257000000,6147000000,9254000000,8926000000,27040000000,27595000000
42,Investments,- -,- -,- -,- -,104999000,184811000,116787000,123661000,145417000,317041000,332411000,545629000,595879000,506140000,614723000,791900000,1280000000,1927000000,4545000000,5312000000,6861000000,7717000000,12853000000,14043000000
43,Tax Assets,- -,- -,713000,788000,472000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,16881000,22339000,-5223000,25114000,70785000,29919000,34975000,63368000,95585000,63114000,57681000,85153000,99075000,144608000,205000000,292000000,233000000,589000000,1082000000,1907000000,1348000000,4849000000
45,Total Non-Current Assets,- -,- -,19301000,29319000,117238000,252391000,303642000,395425000,443159000,672783000,784809000,1086230000,1287061000,1250326000,1368080000,1729127000,2804000000,3734000000,11832000000,13152000000,18903000000,20671000000,45326000000,49878000000
46,Other Assets,45727000,52207000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,45727000,52207000,66017000,131366000,210327000,362692000,527934000,668030000,894980000,1119122000,1451152000,1702364000,1943882000,2190336000,2741682000,3529300000,5838000000,7339000000,20197000000,21855000000,30901000000,40994000000,68719000000,78375000000
48,Accounts Payable,- -,- -,- -,7712000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,191343000,375862000,751000000,976000000,3763000000,4165000000,4051000000,4164000000,6865000000,8493000000
49,Short-Term Debt,- -,- -,- -,- -,- -,579000,486000,- -,971000,971000,255000,646000,2817000,3234000,3373000,3065000,5000000,5000000,4000000,4000000,38000000,88000000,301000000,267000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17107000,91644000,117344000,9890000,34597000,38191000,168000000,143000000,313000000,328000000,385000000,383000000,523000000,434000000
52,Other Current Liabilities,- -,- -,51973000,59565000,101929000,128207000,201673000,214651000,386980000,485829000,623616000,623618000,645085000,824489000,967777000,1142003000,1976000000,2505000000,4543000000,4835000000,7497000000,8297000000,13896000000,16571000000
53,Total Current Liabilities,- -,- -,51973000,67277000,101929000,128786000,202159000,214651000,387951000,486800000,640978000,715908000,765246000,837613000,1197090000,1559121000,2900000000,3629000000,8623000000,9332000000,11971000000,12932000000,21585000000,25765000000
54,Long-Term Debt,4000000,4000000,4000000,- -,- -,7616000,46973000,92448000,174646000,206406000,264637000,307085000,327824000,348344000,535481000,665697000,888000000,1216000000,4651000000,4695000000,6648000000,13638000000,18016000000,18571000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1534000000,1407000000
57,Other Non-Current Liabilities,- -,- -,18878000,- -,5334000,6175000,7490000,8883000,5960000,10869000,44265000,59944000,53757000,67960000,55344000,61043000,307000000,326000000,1014000000,964000000,1269000000,1765000000,1699000000,5692000000
58,Total Non-Current Liabilities,4000000,4000000,22878000,- -,5334000,13791000,54463000,101331000,180606000,217275000,308902000,367029000,381581000,416304000,590825000,726740000,1195000000,1542000000,5665000000,5659000000,7917000000,15403000000,21249000000,25670000000
59,Other Liabilities,55923000,72574000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1538000000,- -
61,Total Liabilities,51923000,68574000,74851000,67277000,107263000,142577000,256622000,315982000,568557000,704075000,949880000,1082937000,1146827000,1253917000,1787915000,2285861000,4095000000,5171000000,14288000000,14991000000,19888000000,28335000000,42834000000,51435000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,10000,11000,20000,41000,43000,44000,44000,43000,46000,52000,54000,55000,59000,- -,- -,- -,- -,- -,- -,1000000,1000000
64,Retained Earnings,- -,- -,-9285000,3087000,28708000,61975000,106287000,161919000,118290000,191739000,275236000,358907000,453743000,564961000,566820000,731919000,1003000000,1358000000,1920000000,2748000000,3663000000,4984000000,6792000000,8139000000
65,Other Comprehensive Income/Loss,- -,- -,- -,-3864000,1087000,740000,- -,-1754000,-1251000,2000000,3152000,7348000,6424000,5761000,5189000,-2620000,-1000000,-10000000,-36000000,-3000000,-56000000,134000000,337000000,77000000
66,Other Total Stockholders Equity,- -,- -,451000,64856000,72377000,157380000,164984000,191840000,209340000,221264000,222841000,234544000,333720000,364858000,380992000,504683000,741000000,820000000,4025000000,4119000000,7406000000,7541000000,18643000000,18578000000
67,Total Stockholders Equity,-6196000,-16367000,-8834000,64089000,102183000,220115000,271312000,352048000,326423000,415047000,501272000,600845000,793939000,935634000,953056000,1234041000,1744000000,2157000000,5895000000,6850000000,10917000000,12551000000,25773000000,26795000000
68,Total Liabilities And Stockholders Equity,45727000,52207000,66017000,131366000,209446000,362692000,527934000,668030000,894980000,1119122000,1451152000,1683782000,1940766000,2189551000,2740971000,3519902000,5839000000,7328000000,20183000000,21841000000,30805000000,40886000000,68607000000,78230000000
69,Minority Interest,- -,- -,- -,- -,881000,- -,- -,- -,- -,- -,- -,18582000,3116000,785000,711000,9398000,-1000000,11000000,14000000,14000000,96000000,108000000,112000000,145000000
70,Total Liabilities & Equity,45727000,52207000,66017000,131366000,210327000,362692000,527934000,668030000,894980000,1119122000,1451152000,1702364000,1943882000,2190336000,2741682000,3529300000,5838000000,7339000000,20197000000,21855000000,30901000000,40994000000,68719000000,78375000000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1071739/000095013403003059/0000950134-03-003059-index.html,https://www.sec.gov/Archives/edgar/data/1071739/000095013704001221/0000950137-04-001221-index.htm,https://www.sec.gov/Archives/edgar/data/1071739/000119312505036156/0001193125-05-036156-index.htm,https://www.sec.gov/Archives/edgar/data/1071739/000119312506038095/0001193125-06-038095-index.htm,https://www.sec.gov/Archives/edgar/data/1071739/000107173907000012/0001071739-07-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1071739/000107173908000010/0001071739-08-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1071739/000107173909000007/0001071739-09-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1071739/000107173910000009/0001071739-10-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1071739/000107173911000012/0001071739-11-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1071739/000107173912000006/0001071739-12-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1071739/000107173913000024/0001071739-13-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1071739/000107173914000033/0001071739-14-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1071739/000107173915000034/0001071739-15-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1071739/000107173916000192/0001071739-16-000192-index.htm,https://www.sec.gov/Archives/edgar/data/1071739/000107173917000018/0001071739-17-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1071739/000107173918000030/0001071739-18-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1071739/000107173919000032/0001071739-19-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1071739/000107173920000060/0001071739-20-000060-index.htm,https://www.sec.gov/Archives/edgar/data/1071739/000107173921000039/0001071739-21-000039-index.htm,https://www.sec.gov/Archives/edgar/data/1071739/000107173922000071/0001071739-22-000071-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,7728000,12895000,25621000,33270000,44312000,55632000,-43629000,73402000,83497000,83671000,94836000,111218000,1859000,165099000,271000000,355000000,562000000,828000000,900000000,1321000000,1808000000,1347000000
74,Depreciation and Amortization,- -,- -,1034000,1847000,2565000,6448000,10014000,13069000,20600000,27807000,35414000,44004000,52000000,58327000,65866000,67420000,89000000,111000000,278000000,361000000,495000000,643000000,1259000000,1476000000
75,Deferred Income Tax,- -,- -,- -,-37000,-574000,772000,-1638000,1786000,-6692000,-10223000,1286000,3696000,10317000,2031000,-14438000,-2293000,-42000000,-17000000,92000000,-108000000,-129000000,55000000,-51000000,-132000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,650000,4974000,14904000,15781000,15328000,14634000,13874000,18171000,25332000,36656000,48000000,71000000,148000000,135000000,145000000,177000000,281000000,203000000
77,Change in Working Capital,- -,- -,4148000,40027000,-43610000,-9645000,40618000,35821000,5916000,-104331000,65826000,-125139000,-8651000,210822000,74115000,64540000,-107052000,-158000000,-234000000,-371000000,656000000,7364000000,-5583000000,1376000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-116558000,-142977000,-463000000,-360000000,74000000,-50000000,-1173000000,-1076000000,-52000000,-2453000000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,-1987000,15597000,22623000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,-5257000,34770000,-8840000,-18485000,22133000,57954000,63870000,-40461000,25365000,-99774000,-108425000,102397000,176512000,241052000,134000000,-24000000,-258000000,-629000000,27000000,7391000000,1808000000,-108000000
82,Other Non-Cash Items,- -,- -,548000,-24544000,55657000,25154000,5449000,-37234000,203933000,199804000,20627000,227329000,6556000,-138873000,125957000,51104000,964052000,296000000,1005000000,644000000,-833000000,-8077000000,7789000000,-65000000
83,Cash Provided by Operating Activities,- -,- -,13458000,30188000,39659000,55999000,99405000,74048000,195032000,202240000,221978000,248195000,168932000,261696000,278691000,382526000,1223000000,658000000,1851000000,1489000000,1234000000,1483000000,5503000000,4205000000
84,CAPEX,- -,- -,-642000,-3635000,-3918000,-19162000,-25009000,-26909000,-50318000,-53937000,-65156000,-83113000,-109836000,-73708000,-82144000,-67835000,-103000000,-150000000,-306000000,-422000000,-675000000,-730000000,-869000000,-910000000
85,Acquisitions Net,- -,- -,-1097000,-7995000,-10501000,-5861000,- -,- -,- -,- -,-85377000,-38563000,-60388000,-4375000,- -,-62773000,-136000000,-18000000,-1297000000,-50000000,-2055000000,-36000000,-3583000000,-466000000
86,Purchases of Investments,- -,- -,-20260000,-25481000,-192371000,-435282000,-254358000,-150444000,-319322000,-642367000,-549652000,-791194000,-615506000,-318397000,-695687000,-790653000,-1015000000,-1321000000,-2450000000,-2704000000,-3846000000,-2575000000,-7402000000,-7400000000
87,Sales/Maturities of Investments,- -,- -,7382000,25037000,127706000,319564000,243623000,176387000,286155000,456738000,546264000,642783000,570423000,267404000,589921000,579161000,406000000,669000000,1656000000,1899000000,1991000000,1809000000,4921000000,5458000000
88,Other Investing Activites,- -,- -,- -,14740000,-595000,- -,-86739000,-55485000,-66772000,14102000,- -,- -,-105136000,-73708000,-82144000,-67835000,-103000000,-143000000,-306000000,-410000000,-675000000,-730000000,-891000000,-891000000
89,Cash Used for Investing Activites,- -,- -,-14617000,2666000,-79679000,-140741000,-122483000,-56451000,-150257000,-225464000,-153921000,-270087000,-210607000,-129076000,-187910000,-342100000,-848000000,-813000000,-2397000000,-1265000000,-4585000000,-1532000000,-6955000000,-3299000000
90,Debt Repayment,- -,- -,-2350000,-4000000,- -,-386000,- -,- -,- -,-187162000,-178491000,-616677000,-195728000,-416283000,-218234000,-41593000,-1674000000,-1583000000,-6076000000,-1353000000,-4083000000,-17826000000,-4067000000,-7591000000
91,Common Stock Issued,- -,- -,- -,41092000,10809000,82458000,- -,- -,- -,- -,- -,- -,104534000,- -,- -,15225000,- -,- -,- -,- -,2779000000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-102000,- -,- -,- -,- -,-7833000,-9541000,-23510000,-6304000,-3224000,-7809000,-12741000,-19779000,-29000000,-53000000,-63000000,-65000000,-71000000,-75000000,-626000000,-297000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7387000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,7360000,42837000,45656000,86747000,217464000,244459000,669526000,173894000,431004000,410448000,199842000,1901000000,1941000000,8856000000,1336000000,5987000000,24733000000,4953000000,9250000000
95,Cash Used/Provided by Financing Activities,- -,- -,-2350000,36990000,10809000,89432000,42837000,45656000,78914000,20761000,42458000,46545000,72089000,6912000,179473000,153695000,198000000,305000000,2717000000,-82000000,4612000000,6832000000,260000000,1362000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000000,- -,-1000000,- -,- -,-2000000,18000000,-11000000
97,Net Change In Cash,- -,- -,-3509000,69844000,-29211000,4690000,19759000,63253000,123689000,-2463000,110515000,24653000,30414000,139532000,270254000,194121000,572000000,150000000,2170000000,142000000,1261000000,6781000000,-1174000000,2257000000
98,Cash at the End of Period,- -,- -,19023000,88867000,59656000,64346000,84105000,147358000,271047000,268584000,379099000,403752000,434166000,573698000,843952000,1038073000,1610000000,1760000000,3930000000,4072000000,5350000000,12131000000,10957000000,13214000000
99,Cash at the Beginning of Period,- -,- -,22532000,19023000,88867000,59656000,64346000,84105000,147358000,271047000,268584000,379099000,403752000,434166000,573698000,843952000,1038000000,1610000000,1760000000,3930000000,4089000000,5350000000,12131000000,10957000000
100,Free Cash Flow,- -,- -,12816000,26553000,35741000,36837000,74396000,47139000,144714000,148303000,156822000,165082000,59096000,187988000,196547000,314691000,1120000000,508000000,1545000000,1067000000,559000000,753000000,4634000000,3295000000
101,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1071739/000095013403003059/0000950134-03-003059-index.html,https://www.sec.gov/Archives/edgar/data/1071739/000095013704001221/0000950137-04-001221-index.htm,https://www.sec.gov/Archives/edgar/data/1071739/000119312505036156/0001193125-05-036156-index.htm,https://www.sec.gov/Archives/edgar/data/1071739/000119312506038095/0001193125-06-038095-index.htm,https://www.sec.gov/Archives/edgar/data/1071739/000107173907000012/0001071739-07-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1071739/000107173908000010/0001071739-08-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1071739/000107173909000007/0001071739-09-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1071739/000107173910000009/0001071739-10-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1071739/000107173911000012/0001071739-11-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1071739/000107173912000006/0001071739-12-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1071739/000107173913000024/0001071739-13-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1071739/000107173914000033/0001071739-14-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1071739/000107173915000034/0001071739-15-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1071739/000107173916000192/0001071739-16-000192-index.htm,https://www.sec.gov/Archives/edgar/data/1071739/000107173917000018/0001071739-17-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1071739/000107173918000030/0001071739-18-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1071739/000107173919000032/0001071739-19-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1071739/000107173920000060/0001071739-20-000060-index.htm,https://www.sec.gov/Archives/edgar/data/1071739/000107173921000039/0001071739-21-000039-index.htm,https://www.sec.gov/Archives/edgar/data/1071739/000107173922000071/0001071739-22-000071-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
