,https://roic.ai/company/HNI,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,421300000,450400000,510100000,489000000,557000000,595600000,553300000,644300000,708800000,758900000,826400000,891900000,- -,1217600000,1517300000,1868300000,1669300000,1549900000,- -,1914149000,2231564000,2473400000,2376800000,- -,2392700000,1652300000,1748702000,1916400000,1954000000,- -,2109846000,2036220000,2099192000,2129722000,2095605000,- -,1855170000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,415000,623000,842000,626000,- -,418000,305000,297000,579000,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12080000,11951000,10865000,9906000,- -,8336000,5086000,6375000,10027000,8628000,- -,6990000
14,Depreciation and Amortization,8800000,9200000,10600000,11900000,12900000,14000000,14100000,15500000,16600000,19000000,21400000,25300000,- -,35600000,53000000,79046000,81385000,68755000,- -,66703000,65514000,69503000,68173000,- -,70155000,74867000,46287000,43360000,46621000,- -,56722000,68947000,72872000,74788000,77427000,- -,77683000
15,EBITDA,58800000,65700000,54900000,63300000,57600000,83100000,66700000,77400000,87900000,105100000,86900000,130600000,- -,174800000,223100000,244946000,197685000,209355000,- -,245572000,280229000,256603000,245673000,- -,139255000,79147000,128635000,132525000,153527000,- -,170305000,202883000,194556000,203591000,228771000,- -,139056000
16,EBITDA ratio,0.1242,0.1305,0.0988,0.1189,0.0957,0.1252,0.1098,0.1095,0.1126,0.1242,0.0973,0.1308,- -,0.1283,0.1315,0.1197,0.1103,0.1237,- -,0.1173,0.1144,0.0958,0.0956,- -,0.0562,0.0478,0.0702,0.0661,0.0745,- -,0.0766,0.0921,0.0894,0.0902,0.1018,- -,0.0711
17,Operating Income,52000000,53200000,45300000,43500000,45000000,68300000,54400000,62300000,71500000,87100000,66700000,106200000,- -,145200000,179200000,178000000,123100000,142700000,- -,179298000,219008000,206400000,193700000,- -,84900000,3992000,81487000,87627000,105987000,- -,112849000,133692000,76690000,128173000,151342000,- -,61375000
18,Operating Income ratio,0.1099,0.1056,0.0816,0.0817,0.0748,0.1029,0.0895,0.0882,0.0916,0.1030,0.0747,0.1064,- -,0.1066,0.1056,0.0870,0.0687,0.0843,- -,0.0856,0.0894,0.0770,0.0754,- -,0.0343,0.0024,0.0444,0.0437,0.0515,- -,0.0508,0.0607,0.0352,0.0568,0.0674,- -,0.0314
19,Total Other Income Expenses (Gains),-2000000,3300000,-1000000,-1600000,-300000,800000,-1800000,-400000,-700000,-800000,-1200000,-900000,- -,-6100000,-9100000,-12000000,-6800000,-2100000,- -,-429000,-4299000,-13200000,-17000000,- -,-15700000,-11692000,-11328000,-10027000,-9287000,- -,-7918000,-4781000,-6078000,-9448000,-8628000,- -,-6990000
20,Income Before Tax,50000000,56500000,44300000,41900000,44700000,69100000,52600000,61900000,70800000,86300000,65500000,105300000,- -,139100000,170100000,166000000,116300000,140600000,- -,178869000,214709000,193200000,176700000,- -,69200000,-7700000,70159000,77600000,96700000,- -,104931000,128911000,70612000,118725000,142714000,- -,54385000
21,Income Before Tax Ratio,0.1056,0.1122,0.0798,0.0787,0.0743,0.1041,0.0866,0.0876,0.0907,0.1020,0.0733,0.1055,- -,0.1021,0.1003,0.0811,0.0649,0.0831,- -,0.0854,0.0876,0.0721,0.0687,- -,0.0279,-0.0046,0.0383,0.0387,0.0469,- -,0.0472,0.0585,0.0325,0.0526,0.0635,- -,0.0278
22,Income Tax expense (Gain),24000000,27200000,19500000,16100000,17200000,25900000,19700000,23200000,26200000,31900000,24400000,37200000,- -,52200000,63800000,59700000,41900000,49200000,- -,65287000,77295000,63700000,57100000,- -,23600000,-1400000,24411000,29300000,33300000,- -,43776000,43273000,25514000,25399000,32211000,- -,12466000
23,Net Income,26000000,29300000,24800000,35300000,27500000,43200000,32900000,38700000,45100000,54200000,41100000,68100000,- -,87000000,106300000,106200000,74400000,91400000,- -,113582000,137420000,123400000,120400000,- -,45500000,-6400000,45986000,49000000,63700000,- -,61471000,85577000,89795000,93377000,110505000,- -,41917000
24,Net Income ratio,0.0549,0.0582,0.0447,0.0663,0.0457,0.0651,0.0541,0.0548,0.0578,0.0641,0.0460,0.0682,- -,0.0638,0.0627,0.0519,0.0415,0.0540,- -,0.0543,0.0561,0.0460,0.0468,- -,0.0184,-0.0039,0.0251,0.0245,0.0309,- -,0.0277,0.0388,0.0413,0.0414,0.0492,- -,0.0214
25,EPS,0.31,0.36,0.31,0.47,0.39,0.65,0.51,0.59,0.70,0.86,0.68,1.13,- -,0.72,1.72,1.77,1.26,1.55,- -,1.99,2.51,2.46,2.58,- -,1.03,-0.14,1.03,1.08,1.41,- -,1.37,1.93,2.05,2.14,2.56,- -,0.98
26,EPS Diluted,0.31,0.36,0.31,0.47,0.39,0.65,0.51,0.59,0.70,0.86,0.68,1.13,- -,0.72,1.72,1.77,1.26,1.55,- -,1.97,2.50,2.45,2.57,- -,1.02,-0.14,1.01,1.07,1.39,- -,1.35,1.88,2.00,2.11,2.54,- -,0.98
27,Weighted Average Shares Outstanding,83870968,81388889,80000000,75106383,70512821,66461538,64509804,65593220,64428571,62658960,60888889,60265487,- -,59223301,61802326,60009605,59053175,58941935,- -,57127110,54649199,50059443,46684774,- -,44309765,44888809,44803248,45211385,45250665,- -,44759716,44413941,43839004,43639003,43101000,- -,42689000
28,Weighted Average Shares Outstanding Diluted,83870968,81388889,80000000,75106383,70512821,66461538,64509804,65593220,64428571,63508772,60888889,60265487,- -,59223301,61854839,60185851,59053175,59190939,- -,57577630,55033741,50374758,46925161,- -,44433945,44888809,45694278,45819979,45956280,- -,45578872,45502219,44839813,44327602,43495000,- -,42956000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/48287/000095013195000749/0000950131-95-000749-index.html,https://www.sec.gov/Archives/edgar/data/48287/000095013196001292/0000950131-96-001292-index.html,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/48287/000091205701008394/0000912057-01-008394-index.html,https://www.sec.gov/Archives/edgar/data/48287/000091205702011161/0000912057-02-011161-index.htm,https://www.sec.gov/Archives/edgar/data/48287/000104746903009781/0001047469-03-009781-index.htm,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/48287/000114036107004255/0001140361-07-004255-index.htm,https://www.sec.gov/Archives/edgar/data/48287/000114036108004941/0001140361-08-004941-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/48287/000114036109005205/0001140361-09-005205-index.htm,https://www.sec.gov/Archives/edgar/data/48287/000114036110008626/0001140361-10-008626-index.htm,https://www.sec.gov/Archives/edgar/data/48287/000004828712000010/0000048287-12-000010-index.htm,https://www.sec.gov/Archives/edgar/data/48287/000004828713000006/0000048287-13-000006-index.htm,https://www.sec.gov/Archives/edgar/data/48287/000004828714000007/0000048287-14-000007-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/48287/000004828715000009/0000048287-15-000009-index.htm,https://www.sec.gov/Archives/edgar/data/48287/000004828717000067/0000048287-17-000067-index.htm,https://www.sec.gov/Archives/edgar/data/48287/000004828718000059/0000048287-18-000059-index.htm,https://www.sec.gov/Archives/edgar/data/48287/000004828719000045/0000048287-19-000045-index.htm,https://www.sec.gov/Archives/edgar/data/48287/000004828720000045/0000048287-20-000045-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/48287/000004828721000038/0000048287-21-000038-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,24500000,36400000,28300000,68100000,37000000,31400000,30200000,40100000,32800000,27700000,32200000,31200000,- -,46100000,17500000,3200000,78800000,139200000,- -,29676000,75707000,28100000,33900000,- -,39500000,87400000,72812000,41800000,65000000,- -,34144000,36312000,23348000,76819000,52073000,- -,116120000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14700000,1500000,- -,300000,200000,- -,- -,16400000,- -,6836000,9035000,9200000,9900000,- -,9800000,6000000,9157000,7300000,7300000,- -,3052000,2252000,2015000,1327000,1096000,- -,1687000
33,Cash and Short-Term Investments,24500000,36400000,28300000,68100000,37000000,31400000,30200000,40100000,32800000,27700000,46900000,32700000,- -,46400000,17700000,3200000,78800000,155600000,- -,36512000,84742000,37300000,43800000,- -,49300000,93400000,81969000,49100000,72300000,- -,37196000,38564000,25363000,78146000,53169000,- -,117807000
34,Net Receivables,59700000,53600000,61700000,54900000,66300000,63300000,65400000,78900000,83700000,94300000,88200000,109100000,- -,158400000,183600000,211200000,161400000,181100000,- -,234731000,278515000,316600000,288800000,- -,238300000,163700000,204036000,213500000,228700000,- -,240053000,229436000,258551000,255736000,275422000,- -,202457000
35,Inventory,40700000,40900000,42100000,39400000,39200000,34600000,35800000,30300000,38600000,43300000,36600000,43600000,- -,60200000,67200000,84400000,50100000,46800000,- -,77590000,91110000,105800000,108500000,- -,84300000,65100000,101873000,93500000,89500000,- -,121791000,118438000,155683000,157178000,163465000,- -,137811000
36,Other Current Assets,7100000,11300000,9900000,13000000,20100000,17300000,19500000,22000000,33300000,23500000,22500000,20100000,- -,30200000,21800000,31300000,29400000,21600000,- -,25746000,32231000,44500000,48000000,- -,45900000,38100000,46162000,48800000,42700000,- -,56519000,46603000,49283000,40823000,36778000,- -,37660000
37,Total Current Assets,132000000,142200000,142000000,175400000,162600000,146600000,150900000,171300000,188400000,188800000,194200000,205500000,- -,295200000,290300000,330100000,319700000,405100000,- -,374579000,486598000,504200000,489100000,- -,417800000,360300000,434040000,404900000,433200000,- -,455559000,433041000,488880000,531883000,528834000,- -,495735000
38,PP&E,73200000,87600000,98400000,94300000,114100000,124600000,125500000,145800000,157800000,177800000,210000000,234600000,- -,341000000,444200000,454300000,405000000,353300000,- -,311344000,294660000,310000000,305400000,- -,315600000,260100000,229727000,240500000,267400000,- -,311008000,356445000,390321000,384933000,456519000,- -,442271000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,900000,51200000,- -,98700000,108600000,216400000,214300000,192400000,- -,- -,242244000,251800000,256800000,- -,268400000,261100000,270761000,288300000,286700000,- -,279310000,290699000,279505000,270788000,270820000,- -,292434000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28500000,- -,224554000,- -,82500000,74300000,- -,78900000,66800000,60516000,86900000,94600000,- -,141205000,182666000,211387000,192502000,174889000,- -,166462000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,900000,51200000,- -,98700000,108600000,216400000,214300000,220900000,- -,224554000,242244000,334300000,331100000,- -,347300000,327900000,331277000,375200000,381300000,- -,420515000,473365000,490892000,463290000,445709000,- -,458896000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10800000,10700000,- -,19100000,31400000,37200000,39600000,37100000,- -,- -,- -,29300000,26700000,- -,25300000,24200000,- -,55400000,69000000,- -,89411000,719000,76861000,82155000,87196000,- -,607000
44,Other Non-Current Assets,31500000,26500000,7700000,6200000,7600000,5800000,4500000,5600000,6200000,6000000,-6400000,11500000,- -,700000,-10000000,-15500000,-16700000,4200000,- -,111180000,116769000,48600000,54700000,- -,59600000,21800000,59214000,3600000,-16200000,- -,-37159000,66664000,-55404000,-60417000,-65746000,- -,20523000
45,Total Non-Current Assets,104700000,114100000,106100000,100500000,121700000,130400000,130000000,151400000,164000000,183800000,215300000,308000000,- -,459500000,574200000,692400000,642200000,615500000,- -,647078000,653673000,722200000,717900000,- -,747800000,634000000,620218000,674700000,701500000,- -,783775000,897193000,902670000,869961000,923678000,- -,922297000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,236700000,256300000,248100000,275900000,284300000,277000000,280900000,322700000,352400000,372600000,409500000,513500000,- -,754700000,864500000,1022500000,961900000,1020600000,- -,1021657000,1140271000,1226400000,1207000000,- -,1165600000,994300000,1054258000,1079600000,1134700000,- -,1239334000,1330234000,1391550000,1401844000,1452512000,- -,1418032000
48,Accounts Payable,- -,- -,- -,- -,- -,76800000,70100000,78900000,97200000,99900000,- -,- -,- -,- -,- -,- -,216184000,252145000,- -,253958000,307952000,328882000,367320000,- -,96800000,114400000,159292000,189400000,199900000,- -,224026000,- -,235577000,221395000,227557000,- -,190527000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,6200000,- -,- -,- -,- -,- -,- -,- -,42795000,- -,5488000,48952000,29660000,17141000,- -,60194000,424000,30345000,4927000,3785000,- -,3579000,38427000,39575000,5443000,25503000,- -,22400000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14940000,10101000,- -,- -,- -,15440000,17828000,- -,16313000,20299000,- -,21977000,16051000,- -,17310000,- -,193000,1569000,176000,- -,- -
52,Other Current Liabilities,68100000,69400000,68500000,78800000,106100000,16700000,12200000,12900000,13600000,5000000,128900000,152600000,- -,200800000,217400000,264900000,-724000,-6341000,- -,6804000,1270000,-15482000,-17789000,- -,200293000,164977000,199273000,179596000,191864000,- -,212418000,425046000,214358000,205901000,225469000,- -,226101000
53,Total Current Liabilities,68100000,69400000,68500000,78800000,106100000,93500000,82300000,91800000,110800000,111100000,128900000,152600000,- -,200800000,217400000,264900000,230400000,298700000,- -,266250000,358174000,358500000,384500000,- -,373600000,300100000,388910000,395900000,411600000,- -,457333000,463473000,489703000,434308000,478705000,- -,439028000
54,Long-Term Debt,37800000,38500000,42300000,38700000,38300000,39600000,35700000,54200000,51200000,46100000,42600000,77600000,- -,134500000,135600000,128300000,80800000,9800000,- -,3645000,103869000,286000000,281100000,- -,267300000,200000000,150200000,150400000,150200000,- -,197736000,180000000,240000000,249355000,176020000,- -,232289000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,9800000,10400000,9600000,9900000,11700000,12300000,13400000,13700000,11000000,12100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,42554000,35473000,- -,- -,- -,- -,- -,42770000,55433000,68964000,- -,89411000,110708000,76861000,82155000,87196000,- -,74706000
57,Other Non-Current Liabilities,200000,1700000,1300000,1000000,- -,- -,-100000,- -,-200000,8700000,21800000,30900000,- -,37700000,49400000,55900000,58000000,65200000,- -,40045000,48671000,85900000,82500000,- -,75900000,74900000,53056000,57567000,67636000,- -,80267000,75044000,70918000,73093000,126547000,- -,81264000
58,Total Non-Current Liabilities,47800000,50600000,53200000,49600000,50000000,51900000,49000000,67900000,62000000,66900000,64400000,108500000,- -,172200000,185000000,184200000,138800000,75000000,- -,86244000,188013000,371900000,363600000,- -,343200000,274900000,246026000,263400000,286800000,- -,367414000,365752000,387779000,404603000,389763000,- -,388259000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1284000,- -,1018000,819000,674000,776000,- -,43000,385000,340000,226000,106000,- -,- -,- -,- -,- -,82596000,- -,79324000
61,Total Liabilities,115900000,120000000,121700000,128400000,156100000,145400000,131300000,159700000,172800000,178000000,193300000,261100000,- -,373000000,402400000,449100000,369200000,373700000,- -,352494000,546187000,730400000,748100000,- -,716800000,575000000,634936000,659300000,698400000,- -,824747000,829225000,877482000,838911000,868468000,- -,827287000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30400000,29700000,- -,61700000,61300000,59800000,58700000,58400000,- -,55303000,51849000,47900000,44800000,- -,44300000,45100000,44855000,45000000,45000000,- -,44166000,44079000,43354000,43582000,42595000,- -,42919000
64,Retained Earnings,110400000,126200000,107400000,128400000,110900000,99000000,117200000,143700000,161100000,174600000,193500000,227400000,- -,265200000,351800000,495800000,532600000,587700000,- -,606632000,540822000,448300000,410100000,- -,400400000,355300000,348210000,353900000,373700000,- -,374929000,461524000,467296000,504909000,529723000,- -,517994000
65,Other Comprehensive Income/Loss,-43800000,-51900000,-59100000,-66000000,-77800000,-83400000,-95300000,-102300000,-108900000,-119100000,-16400000,-10000000,- -,-2200000,1200000,800000,1200000,239000,- -,349000,332000,-3062000,846000,- -,-1907000,-774000,1715000,1313000,965000,- -,-5375000,-5000000,-3611000,-3599000,-8073000,- -,-9153000
66,Other Total Stockholders Equity,54200000,62000000,78100000,85100000,95100000,116000000,127700000,121600000,127400000,139100000,8700000,5300000,- -,57000000,47700000,16900000,200000,554000,- -,- -,- -,2781000,3162000,- -,6040000,19658000,24277000,20146000,16663000,- -,867000,- -,7029000,18041000,19799000,- -,38659000
67,Total Stockholders Equity,120800000,136300000,126400000,147500000,128200000,131600000,149600000,163000000,179600000,194600000,216200000,252400000,- -,381700000,462000000,573300000,592700000,646893000,- -,669163000,593944000,495919000,458908000,- -,448833000,419284000,419057000,420359000,436328000,- -,414587000,500603000,514068000,562933000,584044000,- -,590419000
68,Total Liabilities And Stockholders Equity,236700000,256300000,248100000,275900000,284300000,277000000,280900000,322700000,352400000,372600000,409500000,513500000,- -,754700000,864400000,1022400000,961900000,1020593000,- -,1021657000,1140131000,1226319000,1207008000,- -,1165633000,994284000,1053993000,1079659000,1134728000,- -,1239334000,1329828000,1391550000,1401844000,1452512000,- -,1417706000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,100000,- -,7000,- -,- -,140000,81000,-8000,- -,-33000,16000,265000,-59000,-28000,- -,- -,406000,- -,- -,- -,- -,326000
70,Total Liabilities & Equity,236700000,256300000,248100000,275900000,284300000,277000000,280900000,322700000,352400000,372600000,409500000,513500000,- -,754700000,864500000,1022500000,961900000,1020600000,- -,1021657000,1140271000,1226400000,1207000000,- -,1165600000,994300000,1054258000,1079600000,1134700000,- -,1239334000,1330234000,1391550000,1401844000,1452512000,- -,1418032000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/48287/000095013195000749/0000950131-95-000749-index.html,https://www.sec.gov/Archives/edgar/data/48287/000095013196001292/0000950131-96-001292-index.html,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/48287/000091205701008394/0000912057-01-008394-index.html,https://www.sec.gov/Archives/edgar/data/48287/000091205702011161/0000912057-02-011161-index.htm,https://www.sec.gov/Archives/edgar/data/48287/000104746903009781/0001047469-03-009781-index.htm,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/48287/000114036107004255/0001140361-07-004255-index.htm,https://www.sec.gov/Archives/edgar/data/48287/000114036108004941/0001140361-08-004941-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/48287/000114036109005205/0001140361-09-005205-index.htm,https://www.sec.gov/Archives/edgar/data/48287/000114036110008626/0001140361-10-008626-index.htm,https://www.sec.gov/Archives/edgar/data/48287/000004828712000010/0000048287-12-000010-index.htm,https://www.sec.gov/Archives/edgar/data/48287/000004828713000006/0000048287-13-000006-index.htm,https://www.sec.gov/Archives/edgar/data/48287/000004828714000007/0000048287-14-000007-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/48287/000004828715000009/0000048287-15-000009-index.htm,https://www.sec.gov/Archives/edgar/data/48287/000004828717000067/0000048287-17-000067-index.htm,https://www.sec.gov/Archives/edgar/data/48287/000004828718000059/0000048287-18-000059-index.htm,https://www.sec.gov/Archives/edgar/data/48287/000004828719000045/0000048287-19-000045-index.htm,https://www.sec.gov/Archives/edgar/data/48287/000004828720000045/0000048287-20-000045-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/48287/000004828721000038/0000048287-21-000038-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,43200000,32900000,38700000,45100000,54200000,41100000,68100000,- -,87000000,106300000,106200000,74400000,91400000,- -,113582000,137420000,123400000,120400000,- -,45500000,-6400000,45986000,49000000,63700000,- -,61471000,85577000,89795000,93377000,110505000,- -,41917000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,14000000,14100000,15500000,16600000,19000000,21400000,25300000,- -,35600000,53000000,79046000,81385000,68755000,- -,66703000,65514000,69503000,68173000,- -,70155000,74867000,46287000,43360000,46621000,- -,56722000,68947000,72872000,74788000,77427000,- -,77683000
75,Deferred Income Tax,- -,- -,- -,- -,- -,4700000,1800000,-200000,-2100000,800000,-4000000,5100000,- -,7100000,13800000,-7213000,6962000,2321000,- -,708000,-8933000,-3712000,-4935000,- -,2600000,-5844000,12400000,7060000,18451000,- -,14655000,20495000,-33606000,3197000,6750000,- -,-12005000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3830000,12077000,6437000,7451000,- -,8597000,8141000,7750000,7317000,6830000,- -,7827000
77,Change in Working Capital,- -,- -,- -,- -,- -,-2400000,15500000,10900000,-1900000,100000,-12400000,-12400000,- -,41500000,-21500000,-26300000,24100000,17100000,- -,-107971000,20095000,17276000,-41100000,- -,-60400000,16000000,-1670000,-36130000,12600000,- -,-23374000,-32902000,29609000,98398000,-47446000,- -,6578000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6993000,-21029000,- -,8631000,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,4600000,-1200000,6600000,-7900000,-4600000,6700000,200000,- -,3100000,-4300000,6410000,35048000,2348000,- -,-9409000,-10488000,-7123000,20380000,- -,31842000,19146000,-11279000,9546000,1606000,- -,-23437000,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27606000,25863000,- -,26910000,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,53100000,68600000,79500000,77600000,77700000,65300000,52900000,- -,94400000,72900000,65200000,89300000,106400000,- -,108329000,128424000,145700000,104600000,- -,44200000,60200000,45130000,9000000,21600000,- -,-1774000,-30432000,-823000,97575000,50129000,- -,56707000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,-1300000,-30500000,-9100000,6300000,-9500000,46900000,7200000,- -,-29800000,-4800000,53187000,40953000,22815000,- -,121234000,-13087000,-46865000,148649000,- -,116514000,110752000,19198000,75050000,16179000,- -,49725000,73104000,-33271000,-90647000,65314000,- -,92469000
