,https://roic.ai/company/QUIK,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,17400000,22121000,26437000,31155000,39790000,26269000,30991000,26503000,27365000,26680000,24600000,- -,16870000,17530000,19220000,20550000,23849000,- -,25058000,19472000,19930000,21268000,- -,14364000
11,COGS and Expenses,30000000,37076000,47505000,52973000,59362000,47290000,51869000,44627000,45104000,46090000,41090000,- -,24740000,27140000,27100000,37860000,40645000,- -,36469000,26099000,26225000,25673000,- -,18750000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6000,- -,- -,- -,-77000,-157000,-126000,- -,-107000,21000,77000,189000,- -,97000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,225000,- -,93000,67000,138000,211000,211000,- -,189000,115000,108000,350000,- -,231000
14,Depreciation and Amortization,1700000,2148000,2939000,3654000,3984000,4478000,4300000,2637000,3122000,2946000,2214000,- -,1750000,1236000,1223000,1338000,1510000,- -,1409000,1373000,1276000,1201000,- -,817000
15,EBITDA,1900000,5309000,12569000,-22824000,-27303000,-241000,-4532000,5156000,-6021000,-8109000,-6975000,- -,-7970000,1239000,-10931000,-10276000,-11290000,- -,-16104000,-12556000,-12243000,-13973000,- -,-10052000
16,EBITDA ratio,0.0633,0.1334,0.2356,-0.7065,-0.8380,-0.0057,-0.1016,0.1068,-0.1724,-0.2356,-0.2186,- -,-0.5289,0.0473,-0.7317,-0.3942,-0.4055,- -,-0.8495,-1.0335,-0.9694,-1.3553,- -,-1.1642
17,Operating Income,- -,2709000,5837000,-21286000,-27564000,-5321000,-7257000,3632000,-10180000,-11673000,-7780000,- -,-9670000,-941000,-12158000,-11791000,-12800000,- -,-17513000,-13950000,-13596000,-15363000,- -,-10869000
18,Operating Income ratio,- -,0.0681,0.1094,-0.6589,-0.8460,-0.1268,-0.1627,0.0753,-0.2915,-0.3391,-0.2438,- -,-0.6417,-0.0359,-0.8138,-0.4523,-0.4597,- -,-0.9239,-1.1482,-1.0766,-1.4901,- -,-1.2589
19,Total Other Income Expenses (Gains),- -,- -,- -,-7463000,-16027000,719000,-4733000,-1113000,1037000,613000,-1630000,- -,-150000,881000,-142000,-29000,-211000,- -,-189000,-94000,-31000,-161000,- -,-231000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,2519000,-9143000,-11060000,-9410000,- -,-9820000,-60000,-12300000,-11820000,-13011000,- -,-17702000,-14044000,-13627000,-15524000,- -,-11100000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,0.0522,-0.2618,-0.3213,-0.2949,- -,-0.6516,-0.0023,-0.8233,-0.4534,-0.4673,- -,-0.9338,-1.1560,-1.0790,-1.5057,- -,-1.2856
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,169000,71000,75000,-54000,- -,-63000,-184000,18000,455000,68000,- -,146000,87000,152000,-80000,- -,51000
23,Net Income,200000,3161000,9630000,-26478000,-31287000,-4719000,-8832000,2350000,-9214000,-11130000,-9360000,- -,-9750000,120000,-12310000,-12280000,-13079000,- -,-17848000,-14131000,-13779000,-15444000,- -,-11151000
24,Net Income ratio,0.0067,0.0795,0.1805,-0.8196,-0.9603,-0.1124,-0.1980,0.0487,-0.2638,-0.3234,-0.2933,- -,-0.6470,0.0046,-0.8240,-0.4710,-0.4697,- -,-0.9415,-1.1631,-1.0911,-1.4980,- -,-1.2915
25,EPS,0.84,5.88,6.86,-17.36,-18.76,-2.80,-4.90,1.26,-4.48,-5.32,-4.48,- -,-4.48,0.00,-4.06,-3.78,-3.22,- -,-4.48,-2.52,-2.10,-2.02,- -,-1.14
26,EPS Diluted,0.28,2.66,6.30,-17.36,-18.76,-2.80,-4.90,1.12,-4.48,-5.32,-4.48,- -,-4.48,0.00,-4.06,-3.78,-3.22,- -,-4.48,-2.52,-2.10,-2.02,- -,-1.14
27,Weighted Average Shares Outstanding,238097,543931,1391865,1528937,1663652,1722153,1820939,1925297,2034655,2074369,2118084,- -,2195656,2552086,2987946,3268733,3957238,- -,4033738,5520818,6365038,7663000,- -,9781000
28,Weighted Average Shares Outstanding Diluted,714290,1171435,1543866,1528937,1663652,1722153,1820939,2002797,2034655,2074369,2118084,- -,2195656,2788445,2987946,3268733,3957238,- -,4033738,5520818,6365038,7663000,- -,9781000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/882508/000091205702009873/0000912057-02-009873-index.htm,https://www.sec.gov/Archives/edgar/data/882508/000104746903009437/0001047469-03-009437-index.htm,https://www.sec.gov/Archives/edgar/data/882508/000110465904006787/0001104659-04-006787-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/882508/000104746908002505/0001047469-08-002505-index.htm,https://www.sec.gov/Archives/edgar/data/882508/000104746909002474/0001047469-09-002474-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/882508/000119312510055378/0001193125-10-055378-index.htm,https://www.sec.gov/Archives/edgar/data/882508/000088250811000004/0000882508-11-000004-index.htm,https://www.sec.gov/Archives/edgar/data/882508/000088250813000003/0000882508-13-000003-index.htm,https://www.sec.gov/Archives/edgar/data/882508/000088250814000003/0000882508-14-000003-index.htm,https://www.sec.gov/Archives/edgar/data/882508/000088250815000004/0000882508-15-000004-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/882508/000088250816000049/0000882508-16-000049-index.htm,https://www.sec.gov/Archives/edgar/data/882508/000088250818000005/0000882508-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/882508/000156459019008052/0001564590-19-008052-index.htm,https://www.sec.gov/Archives/edgar/data/882508/000156459020010836/0001564590-20-010836-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/882508/000143774921006923/0001437749-21-006923-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,34558000,70210000,28853000,13001000,26443000,24914000,28283000,24621000,20900000,19400000,- -,18200000,22000000,22600000,37400000,30050000,- -,19136000,16527000,26363000,21448000,- -,22748000
32,Short-Term Investments,- -,- -,- -,- -,9002000,- -,2022000,1297000,1530000,1300000,100000,- -,900000,900000,300000,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,34558000,70210000,28853000,22003000,26443000,26936000,29580000,26151000,22200000,19500000,- -,19100000,22900000,22900000,37400000,30050000,- -,19136000,16527000,26363000,21448000,- -,22748000
34,Net Receivables,- -,5543000,6578000,3101000,4900000,3924000,4801000,5556000,2839000,2600000,1700000,- -,2500000,4100000,1200000,3300000,1552000,- -,1601000,925000,2209000,1991000,- -,1688000
35,Inventory,- -,4349000,10327000,13592000,7876000,5255000,6741000,7830000,9064000,5800000,1900000,- -,2100000,3300000,3000000,4100000,4952000,- -,2878000,3559000,3836000,3260000,- -,2688000
36,Other Current Assets,- -,1467000,1876000,2595000,2281000,1727000,1491000,1265000,1894000,1600000,900000,- -,500000,800000,1100000,1300000,1146000,- -,1312000,997000,1875000,1665000,- -,1066000
37,Total Current Assets,- -,45917000,88991000,48141000,37060000,37349000,39969000,44231000,39948000,32200000,24000000,- -,24200000,31100000,28200000,46100000,37700000,- -,24927000,22008000,34283000,28364000,- -,28190000
38,PP&E,- -,4510000,8976000,14675000,11967000,9070000,5403000,5697000,5480000,5900000,3500000,- -,2700000,2300000,2700000,2800000,3217000,- -,3315000,2375000,1449000,3200000,- -,548000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,185000,- -,185000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1341000,- -,860000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1526000,- -,1045000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,600000,59000,- -,437000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,55000,2340000,21443000,13104000,11944000,5569000,5068000,4807000,2700000,841000,- -,263000,200000,100000,200000,222000,- -,219000,253000,354000,314000,- -,- -
45,Total Non-Current Assets,- -,4565000,11316000,36118000,25071000,21014000,10972000,10765000,10287000,9200000,4400000,- -,3400000,2500000,2800000,3000000,3439000,- -,3534000,2628000,1803000,5040000,- -,1593000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,50482000,100307000,84259000,62131000,58363000,50941000,54996000,50235000,41400000,28400000,- -,27600000,33600000,31000000,49100000,41139000,- -,28461000,24636000,36086000,33404000,- -,29783000
48,Accounts Payable,- -,5202000,5821000,4293000,3013000,3555000,4119000,3338000,4383000,4200000,2000000,- -,2700000,2200000,2000000,3600000,2506000,- -,4032000,1437000,1488000,1003000,- -,- -
49,Short-Term Debt,- -,716000,311000,222000,9650000,4972000,4286000,1790000,2292000,2497000,753000,- -,249000,408000,160000,177000,225000,- -,281000,6000000,15000000,15000000,- -,685000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,79000,79000,516000,- -,696000,- -,2161000,2117000,- -,- -
51,Deferred Revenue,- -,- -,- -,1468000,- -,- -,1667000,1626000,2112000,516000,282000,- -,- -,328000,- -,- -,- -,- -,- -,- -,- -,158000,- -,52000
52,Other Current Liabilities,- -,7431000,7320000,1784000,3082000,3245000,2511000,3434000,2462000,2687000,3565000,- -,3151000,1264000,1140000,4523000,1574000,- -,1482000,1952000,2219000,1837000,- -,17275000
53,Total Current Liabilities,- -,13349000,13452000,7767000,15745000,11772000,12583000,10188000,11249000,9900000,6600000,- -,6100000,4200000,3300000,8300000,4305000,- -,5795000,9389000,18707000,17998000,- -,18012000
54,Long-Term Debt,- -,128000,1121000,2069000,1455000,2723000,1036000,1163000,1618000,2500000,- -,- -,300000,- -,300000,100000,1191000,- -,2208000,- -,108000,1583000,- -,1197000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,266000,133000,191000,- -,208000,- -,108000,23000,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,1156000,1408000,- -,- -,- -,- -,-100000,100000,-166000,-33000,-115000,- -,-75000,369000,-92000,-23000,- -,- -
58,Total Non-Current Liabilities,- -,128000,1121000,2069000,1455000,2723000,2192000,2571000,1618000,2500000,- -,- -,200000,100000,400000,200000,1267000,- -,2341000,369000,124000,1583000,- -,1197000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3586000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,513000,- -,426000,310000,416000,- -,489000,654000,424000,2287000,- -,1882000
61,Total Liabilities,- -,13477000,14573000,9836000,17200000,14495000,14775000,12759000,12867000,12400000,6600000,- -,6300000,4300000,3700000,8500000,5572000,- -,8136000,9758000,18831000,19581000,- -,20401000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,18000,20000,23000,24000,25000,26000,28000,29000,29000,30000,- -,35000,38000,45000,100000,56000,- -,57000,80000,95000,8000,- -,11000
64,Retained Earnings,- -,-58011000,-48381000,-74859000,-106146000,-110865000,-119697000,-117347000,-127525000,-138700000,-148000000,- -,-157800000,-157600000,-177600000,-189800000,-202908000,- -,-220756000,-254035000,-267814000,-283258000,- -,- -
65,Other Comprehensive Income/Loss,- -,-4876000,-6434000,-9290000,-13649000,-15998000,- -,377000,726000,400000,-20100000,- -,1000000,600000,-17200000,-15200000,-15467000,- -,-15175000,-12480000,-12700000,-12163000,- -,- -
66,Other Total Stockholders Equity,- -,99874000,140529000,158549000,164702000,170706000,- -,- -,- -,167289000,189932000,- -,178024000,186275000,222033000,245498000,253886000,- -,256199000,281313000,297674000,309236000,- -,12476000
67,Total Stockholders Equity,- -,37005000,85734000,74423000,44931000,43868000,36166000,42237000,37368000,29018000,21862000,- -,21259000,29313000,27278000,40598000,35567000,- -,20325000,14878000,17255000,13823000,- -,12487000
68,Total Liabilities And Stockholders Equity,- -,50482000,100307000,84259000,62131000,58363000,50941000,54996000,50235000,41418000,28462000,- -,27559000,33613000,30978000,49098000,41139000,- -,28461000,24636000,36086000,33404000,- -,32888000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18000,-62000,- -,41000,-13000,22000,2000,- -,- -,- -,- -,- -,- -,- -,-3105000
70,Total Liabilities & Equity,- -,50482000,100307000,84259000,62131000,58363000,50941000,54996000,50235000,41400000,28400000,- -,27600000,33600000,31000000,49100000,41139000,- -,28461000,24636000,36086000,33404000,- -,29783000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/882508/000091205702009873/0000912057-02-009873-index.htm,https://www.sec.gov/Archives/edgar/data/882508/000104746903009437/0001047469-03-009437-index.htm,https://www.sec.gov/Archives/edgar/data/882508/000110465904006787/0001104659-04-006787-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/882508/000104746908002505/0001047469-08-002505-index.htm,https://www.sec.gov/Archives/edgar/data/882508/000104746909002474/0001047469-09-002474-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/882508/000119312510055378/0001193125-10-055378-index.htm,https://www.sec.gov/Archives/edgar/data/882508/000088250811000004/0000882508-11-000004-index.htm,https://www.sec.gov/Archives/edgar/data/882508/000088250813000003/0000882508-13-000003-index.htm,https://www.sec.gov/Archives/edgar/data/882508/000088250814000003/0000882508-14-000003-index.htm,https://www.sec.gov/Archives/edgar/data/882508/000088250815000004/0000882508-15-000004-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/882508/000088250816000049/0000882508-16-000049-index.htm,https://www.sec.gov/Archives/edgar/data/882508/000088250818000005/0000882508-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/882508/000156459019008052/0001564590-19-008052-index.htm,https://www.sec.gov/Archives/edgar/data/882508/000156459020010836/0001564590-20-010836-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/882508/000143774921006923/0001437749-21-006923-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,200000,3161000,9630000,-26478000,-31287000,-4719000,-8832000,2350000,-9214000,-11130000,-9360000,- -,-9750000,120000,-12310000,-12280000,-13079000,- -,-17848000,-14131000,-13779000,-15444000,- -,-11151000
74,Depreciation and Amortization,1700000,2148000,2939000,3654000,3984000,4478000,4300000,2637000,3122000,2946000,2214000,- -,1750000,1236000,1223000,1338000,1510000,- -,1409000,1373000,1276000,1201000,- -,817000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-63000,273000,- -,- -,- -,- -,- -,-185000,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2341000,- -,2384000,2418000,2003000,1979000,2242000,- -,1941000,1441000,1901000,3144000,- -,1739000
77,Change in Working Capital,-4700000,- -,42971000,-35165000,-19059000,4262000,1809000,6657000,-5344000,-6399000,-4900000,- -,700000,8800000,2000000,12900000,-4405000,- -,-14263000,3577000,2957000,-5210000,- -,-188000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,844000,- -,-711000,-1693000,333000,-1999000,1709000,- -,-49000,-86000,-1284000,218000,- -,303000
79,Inventory,3000000,-1472000,-5978000,-1984000,4098000,1168000,-2181000,-1495000,-4081000,-647000,2272000,- -,-637000,-1337000,289000,-1659000,-935000,- -,1845000,-1774000,-662000,483000,- -,373000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2158000,- -,- -,-352000,-654000,1379000,-2002000,- -,260000,-145000,223000,-456000,- -,298000
81,Other Working Capital,32568000,32568000,75539000,40374000,21315000,25577000,27386000,34043000,28699000,22300000,17400000,- -,18100000,26900000,24900000,37800000,33395000,- -,19132000,12619000,15576000,10366000,- -,10178000
82,Other Non-Cash Items,5100000,-8466000,-51228000,37426000,37708000,798000,3133000,-5974000,7300000,11875000,10806000,- -,-772000,-12721000,-1516000,-13266000,2978000,- -,16932000,-5198000,-4993000,4900000,- -,2039000
83,Cash Provided by Operating Activities,2300000,-3157000,4312000,-20563000,-8654000,4819000,410000,5670000,-4136000,-2708000,1101000,- -,-5688000,-147000,-8663000,-9056000,-10754000,- -,-11829000,-12938000,-12638000,-11594000,- -,-6744000
84,CAPEX,-700000,-3254000,-6700000,-7791000,-1695000,-1998000,-1323000,-1766000,-2261000,-2290000,- -,- -,- -,-829000,-1241000,-1257000,-1046000,- -,-346000,-642000,-351000,-941000,- -,-1054000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,265000,- -,- -,- -,- -,- -,20000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,2123000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-14581000,-7335000,- -,- -,- -,95000,95000,-530000,- -,-124000,270000,-1241000,-1257000,-1044000,- -,-346000,-642000,-288000,-941000,- -,-1054000
89,Cash Used for Investing Activites,-700000,-3254000,-6700000,-22372000,-9030000,125000,-1323000,-1766000,-2166000,-2195000,-530000,- -,-124000,270000,-1241000,-992000,-1044000,- -,-346000,-642000,-288000,-921000,- -,-1054000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4271000,- -,-9006000,-8389000,-452000,-216000,-300000,- -,-293000,-18344000,-27407000,-46365000,- -,-57270000
91,Common Stock Issued,100000,34307000,38389000,1678000,1376000,2385000,2256000,3344000,2551000,1456000,208000,- -,6411000,6027000,12731000,26311000,4702000,- -,554000,17550000,16215000,9437000,- -,9296000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-774000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-1500000,-933000,-349000,-100000,456000,6113000,-2872000,-3879000,89000,-306000,2000000,- -,8000000,6000000,- -,-1219000,40000,- -,1000000,16031000,34054000,44528000,- -,56972000
95,Cash Used/Provided by Financing Activities,-1400000,33374000,38040000,1578000,1832000,8498000,-616000,-535000,2640000,1150000,-2063000,- -,4631000,3638000,12279000,24876000,4442000,- -,1261000,15237000,22862000,7600000,- -,8998000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,300000,26963000,35652000,-41357000,-15852000,13442000,-1529000,3369000,-3662000,-3753000,-1492000,- -,-1181000,3761000,2375000,14828000,-7356000,- -,-10914000,1657000,9936000,-4915000,- -,1200000
98,Cash at the End of Period,7600000,34558000,70210000,28853000,13001000,26443000,24914000,28283000,24621000,20868000,19376000,- -,18195000,21956000,22578000,37406000,30050000,- -,19136000,16527000,26463000,21548000,- -,22748000
99,Cash at the Beginning of Period,7300000,7595000,34558000,70210000,28853000,13001000,26443000,24914000,28283000,24621000,20868000,- -,19376000,18195000,20203000,22578000,37406000,- -,30050000,14870000,16527000,26463000,- -,21548000
100,Free Cash Flow,1600000,-6411000,-2388000,-28354000,-10349000,2821000,-913000,3904000,-6397000,-4998000,1101000,- -,-5688000,-976000,-9904000,-10313000,-11800000,- -,-12175000,-13580000,-12989000,-12535000,- -,-7798000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/882508/000091205702009873/0000912057-02-009873-index.htm,https://www.sec.gov/Archives/edgar/data/882508/000104746903009437/0001047469-03-009437-index.htm,https://www.sec.gov/Archives/edgar/data/882508/000110465904006787/0001104659-04-006787-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/882508/000104746908002505/0001047469-08-002505-index.htm,https://www.sec.gov/Archives/edgar/data/882508/000104746909002474/0001047469-09-002474-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/882508/000119312510055378/0001193125-10-055378-index.htm,https://www.sec.gov/Archives/edgar/data/882508/000088250811000004/0000882508-11-000004-index.htm,https://www.sec.gov/Archives/edgar/data/882508/000088250813000003/0000882508-13-000003-index.htm,https://www.sec.gov/Archives/edgar/data/882508/000088250814000003/0000882508-14-000003-index.htm,https://www.sec.gov/Archives/edgar/data/882508/000088250815000004/0000882508-15-000004-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/882508/000088250816000049/0000882508-16-000049-index.htm,https://www.sec.gov/Archives/edgar/data/882508/000088250818000005/0000882508-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/882508/000156459019008052/0001564590-19-008052-index.htm,https://www.sec.gov/Archives/edgar/data/882508/000156459020010836/0001564590-20-010836-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/882508/000143774921006923/0001437749-21-006923-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
