,https://roic.ai/company/CSII,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
36,Other Current Assets,- -,- -,- -,105000,275000,2079000,2429000,1315000,798000,1048000,797000,1536000,959000,1846000,3380000,2992000,5074000,2977000,3330000,2617000,5285000
37,Total Current Assets,- -,- -,- -,27123000,60070000,132280000,92695000,46803000,46052000,38478000,41028000,57770000,89829000,162711000,133894000,104882000,159059000,167611000,180075000,287689000,284669000
38,PP&E,- -,- -,- -,2904000,3248000,3170000,1905000,- -,1719000,1964000,2383000,2163000,2999000,15297000,32883000,32471000,29696000,27744000,27324000,27810000,31106000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,1363000,1712000,2314000,2635000,3219000,3823000,4511000,5013000,5056000,5231000,5105000,16606000,15376000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,1363000,1712000,2314000,2635000,3219000,3823000,4511000,5013000,5056000,5231000,5105000,16606000,15376000
42,Investments,- -,- -,- -,- -,- -,- -,- -,22000000,20000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,40000,261000,111000,90000,-21964000,3236000,180000,1033000,556000,850000,70000,40000,40000,129000,2766000,6073000,7414000,21416000
45,Total Non-Current Assets,- -,- -,- -,2944000,3509000,3281000,1995000,36000,26318000,3856000,5730000,5354000,7068000,19190000,37434000,37524000,34881000,35741000,38502000,51830000,67898000
46,Other Assets,- -,11988000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,11988000,- -,30067000,63579000,135561000,94690000,46839000,72370000,42334000,46758000,63124000,96897000,181901000,171328000,142406000,193940000,203352000,218577000,339519000,352567000
48,Accounts Payable,- -,- -,- -,1216000,9154000,7957000,4553000,635000,4751000,3353000,5181000,5610000,7230000,12699000,9763000,8506000,10736000,10441000,11194000,11539000,14061000
49,Short-Term Debt,- -,- -,- -,1215000,161000,- -,- -,- -,25823000,3613000,3813000,4678000,5095000,2400000,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3217000,3372000,3497000,3522000,3349000,2145000,1464000
51,Deferred Revenue,- -,- -,- -,283000,- -,56176000,- -,- -,- -,- -,- -,- -,156000,59000,- -,- -,- -,1243000,1764000,1867000,2400000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,7702000,4063000,5600000,7750000,6192000,7564000,9932000,14571000,20125000,26993000,30236000,25776000,29387000,31100000,38189000
53,Total Current Liabilities,- -,- -,- -,2714000,9315000,64133000,12255000,4698000,36174000,14716000,15186000,17852000,22413000,29729000,29888000,35499000,40972000,37460000,42345000,44506000,54650000
54,Long-Term Debt,- -,- -,- -,84000,- -,- -,- -,- -,4379000,7286000,8331000,12842000,7472000,- -,- -,- -,- -,- -,- -,- -,22321000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000000,8946000,6541000,4707000,2194000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,69471000,136896000,56000,31000,- -,1485000,2617000,1606000,241000,180000,117000,2005000,6010000,24579000,22476000,21747000,21514000,2444000
58,Total Non-Current Liabilities,- -,- -,- -,69555000,136896000,56000,31000,- -,5864000,9903000,9937000,13083000,7652000,117000,2005000,6010000,34579000,31422000,28288000,26221000,26959000
59,Other Liabilities,- -,16906000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,1485000,- -,- -,- -,- -,- -,- -,- -,21100000,21064000,20972000,20818000,22321000
61,Total Liabilities,- -,16906000,- -,72269000,146211000,64189000,12286000,4698000,42038000,24619000,25123000,30935000,30065000,29846000,31893000,41509000,75551000,68882000,70633000,70727000,81609000
62,Preferred Stock,- -,13764000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,1000,2000,27000,27000,27000,14000,15000,17000,20000,24000,31000,32000,33000,33000,33000,34000,39000,39000
64,Retained Earnings,- -,-4960000,- -,-42235000,-83107000,-116980000,-109288000,-150413000,-127419000,-151323000,-162448000,-179238000,-203275000,-238565000,-271387000,-327411000,-329303000,-327591000,-329536000,-363075000,-381380000
65,Other Comprehensive Income/Loss,- -,- -,- -,34000,475000,-7000,96000,288000,-871000,-1420000,-2083000,- -,-3622000,-3997000,90000,40000,100000,101000,78000,269000,11000
66,Other Total Stockholders Equity,- -,42000,- -,-2000,-2000,188332000,191569000,192239000,158608000,170443000,186149000,- -,273705000,394586000,410700000,428235000,447559000,461927000,477368000,631559000,652288000
67,Total Stockholders Equity,- -,-4918000,- -,-42202000,-82632000,71372000,82404000,42141000,30332000,17715000,21635000,32189000,66832000,152055000,139435000,100897000,118389000,134470000,147944000,268792000,270958000
68,Total Liabilities And Stockholders Equity,- -,11988000,- -,30067000,63579000,135561000,94690000,46839000,72370000,42334000,46758000,63124000,96897000,181901000,171328000,142406000,193940000,203352000,218577000,339519000,352567000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,11988000,- -,30067000,63579000,135561000,94690000,46839000,72370000,42334000,46758000,63124000,96897000,181901000,171328000,142406000,193940000,203352000,218577000,339519000,352567000
71,SEC Link,undefined,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1180145/000103570407000240/d44715e10vk.htm,https://www.sec.gov/Archives/edgar/data/1180145/000103570408000117/d54722e10vk.htm,https://www.sec.gov/Archives/edgar/data/1180145/000095013409003526/0000950134-09-003526-index.html,https://www.sec.gov/Archives/edgar/data/1180145/000095012309046614/0000950123-09-046614-index.html,https://www.sec.gov/Archives/edgar/data/1180145/000095012310089614/0000950123-10-089614-index.html,https://www.sec.gov/Archives/edgar/data/1180145/000119312511245825/0001193125-11-245825-index.html,- -,https://www.sec.gov/Archives/edgar/data/1180145/000144530513002256/0001445305-13-002256-index.html,https://www.sec.gov/Archives/edgar/data/1180145/000118014514000030/0001180145-14-000030-index.html,https://www.sec.gov/Archives/edgar/data/1180145/000118014515000026/0001180145-15-000026-index.html,https://www.sec.gov/Archives/edgar/data/1180145/000118014516000096/csii10-kx63016.htm,https://www.sec.gov/Archives/edgar/data/1180145/000118014517000040/0001180145-17-000040-index.html,https://www.sec.gov/Archives/edgar/data/1180145/000118014518000044/0001180145-18-000044-index.html,https://www.sec.gov/Archives/edgar/data/1180145/000118014519000028/csii10-kx63019.htm,https://www.sec.gov/Archives/edgar/data/1180145/000118014520000042/0001180145-20-000042-index.htm,https://www.sec.gov/Archives/edgar/data/1180145/000118014521000032/0001180145-21-000032-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,-19239000,-33669000,-29249000,7692000,-41125000,-9114000,-23904000,-11125000,-16790000,-24037000,-35290000,-32822000,-56024000,-1792000,1712000,-255000,-27236000,-13421000
74,Depreciation and Amortization,- -,- -,- -,1295000,1293000,683000,2253000,917000,470000,600000,716000,872000,973000,1367000,2321000,3917000,4135000,3934000,3446000,4179000,4312000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,488000,6771000,9094000,6468000,5165000,7442000,10928000,14718000,12977000,10354000,10302000,11266000,13612000,16230000
77,Change in Working Capital,- -,- -,- -,422000,26346000,17392000,12293000,45205000,-32227000,13884000,2080000,14076000,27498000,65566000,-28976000,-34623000,48704000,12064000,7579000,105453000,-13164000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,-3672000,-1057000,-3718000,-391000,-1281000,-6718000,-10568000,7327000,-5809000,-2878000,-4915000,9503000,-14821000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,407000,-950000,-1499000,-1243000,818000,-6647000,-1076000,-3474000,543000,292000,-1453000,-9648000,-4607000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,-1100000,-1398000,1828000,269000,1484000,4624000,581000,-970000,1761000,104000,566000,576000,2073000
81,Other Working Capital,- -,- -,- -,24409000,50755000,68147000,80440000,42105000,9878000,23762000,25842000,39918000,67416000,132982000,104006000,69383000,118087000,130151000,137730000,243183000,230019000
82,Other Non-Cash Items,- -,- -,- -,336000,-20429000,33346000,-56953000,-50121000,4390000,-13240000,-6500000,-14663000,-22641000,-69409000,22402000,50170000,-41813000,-18338000,-11828000,-108773000,5159000
83,Cash Provided by Operating Activities,- -,- -,- -,-17186000,-26459000,22172000,-34715000,-44636000,-29710000,-13566000,-8361000,-11340000,-10765000,-26838000,-22357000,-23583000,19588000,9674000,10208000,-12765000,-884000
84,CAPEX,- -,- -,- -,-886000,-1570000,-1214000,-232000,-14000,-957000,-1194000,-1737000,-975000,-2455000,-13419000,-21280000,-4631000,-1825000,-3069000,-3555000,-4086000,-3954000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,37369000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5741000,-3353000
86,Purchases of Investments,- -,- -,- -,-158346000,-157281000,-230681000,-101673000,-9376000,- -,- -,- -,- -,- -,- -,-2112000,-37000,- -,-2538000,-50947000,-39532000,-213542000
87,Sales/Maturities of Investments,- -,- -,- -,136150000,125500000,184420000,156175000,43769000,50000,22950000,- -,- -,- -,- -,365000,1249000,46000,194000,150000,40690000,108140000
88,Other Investing Activites,- -,- -,- -,- -,1000,45000,7000,7000,-436000,-400000,-656000,-538000,-783000,-702000,-955000,-1163000,-844000,-795000,-890000,-717000,- -
89,Cash Used for Investing Activites,- -,- -,- -,-23082000,-33350000,-47430000,54277000,34386000,36026000,21756000,-1737000,-975000,-2455000,-13419000,-23027000,-3769000,-1779000,-5095000,-54352000,-8669000,-112709000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-945000,-25277000,-2448000,-1935000,-4800000,-9850000,-2400000,- -,- -,- -,- -,-92000,- -
91,Common Stock Issued,- -,- -,- -,38840000,60468000,45036000,346000,- -,- -,- -,965000,14889000,38209000,84369000,- -,- -,- -,- -,- -,134979000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,5376000,-946000,-40000,-30000,19000,20445000,7393000,9023000,13731000,12179000,24433000,5034000,4148000,29465000,3769000,2121000,-2227000,-800000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,44216000,59522000,44996000,316000,19000,19500000,-17884000,7540000,26685000,45588000,98952000,2634000,4148000,29465000,3769000,2121000,132660000,-800000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,3948000,-287000,19738000,19878000,-10231000,25816000,-9694000,-2558000,14370000,32368000,58695000,-42750000,-23204000,47274000,8348000,-42023000,111226000,-114393000
98,Cash at the End of Period,- -,- -,- -,4640000,4353000,24091000,43969000,33738000,33411000,23717000,21159000,35529000,67897000,126592000,83842000,60638000,107912000,116260000,74237000,185463000,71070000
99,Cash at the Beginning of Period,- -,- -,- -,692000,4640000,4353000,24091000,43969000,7595000,33411000,23717000,21159000,35529000,67897000,126592000,83842000,60638000,107912000,116260000,74237000,185463000
100,Free Cash Flow,- -,- -,- -,-18072000,-28029000,20958000,-34947000,-44650000,-30667000,-14760000,-10098000,-12315000,-13220000,-40257000,-43637000,-28214000,17763000,6605000,6653000,-16851000,-4838000
101,SEC Link,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1180145/000103570407000240/d44715e10vk.htm,https://www.sec.gov/Archives/edgar/data/1180145/000103570408000117/d54722e10vk.htm,https://www.sec.gov/Archives/edgar/data/1180145/000095013409003526/0000950134-09-003526-index.html,https://www.sec.gov/Archives/edgar/data/1180145/000095012309046614/0000950123-09-046614-index.html,https://www.sec.gov/Archives/edgar/data/1180145/000095012310089614/0000950123-10-089614-index.html,https://www.sec.gov/Archives/edgar/data/1180145/000119312511245825/0001193125-11-245825-index.html,- -,https://www.sec.gov/Archives/edgar/data/1180145/000144530513002256/0001445305-13-002256-index.html,https://www.sec.gov/Archives/edgar/data/1180145/000118014514000030/0001180145-14-000030-index.html,https://www.sec.gov/Archives/edgar/data/1180145/000118014515000026/0001180145-15-000026-index.html,https://www.sec.gov/Archives/edgar/data/1180145/000118014516000096/csii10-kx63016.htm,https://www.sec.gov/Archives/edgar/data/1180145/000118014517000040/0001180145-17-000040-index.html,https://www.sec.gov/Archives/edgar/data/1180145/000118014518000044/0001180145-18-000044-index.html,https://www.sec.gov/Archives/edgar/data/1180145/000118014519000028/csii10-kx63019.htm,https://www.sec.gov/Archives/edgar/data/1180145/000118014520000042/0001180145-20-000042-index.htm,https://www.sec.gov/Archives/edgar/data/1180145/000118014521000032/0001180145-21-000032-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
