,https://roic.ai/company/WHR,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3541000000,3812000000,4281000000,3882000000,3177000000,3237000000,3311000000,3327000000,3865000000,4514000000,4710000000,6476000000,6555000000,6044000000,7025000000,7315000000,6422000000,6827000000,7022000000,8098000000,7325000000,7339000000,7930000000,7898000000,7398000000,9015000000,9695000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1779000000,1798000000,2375000000,2418000000,2178000000,2134000000,2052000000,2338000000,2456000000,2583000000,2511000000,3157000000,3212000000,2985000000,3117000000,3134000000,3102000000,3034000000,3041000000,3981000000,3774000000,3810000000,4033000000,3414000000,4222000000,4188000000,3751000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1663000000,1760000000,1728000000,1729000000,1731000000,1727000000,1727000000,1724000000,2807000000,3006000000,2956000000,3118000000,2451000000,2440000000,2496000000,2485000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,931000000,870000000,916000000,936000000,795000000,762000000,703000000,343000000,250000000,276000000,284000000,1871000000,1854000000,1821000000,1796000000,1789000000,1757000000,1722000000,1702000000,2803000000,2678000000,2552000000,2591000000,2296000000,2225000000,2194000000,1981000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,931000000,870000000,916000000,936000000,795000000,762000000,703000000,343000000,250000000,276000000,284000000,3534000000,3614000000,3549000000,3525000000,3520000000,3484000000,3449000000,3426000000,5610000000,5684000000,5508000000,5709000000,4747000000,4665000000,4690000000,4466000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,354000000,437000000,268000000,323000000,472000000,513000000,- -,- -,- -,1305000000,1893000000,1832000000,1764000000,1900000000,1850000000,2154000000,2013000000,1989000000,2238000000,2217000000,1920000000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1549000000,1535000000,698000000,699000000,676000000,769000000,547000000,186000000,522000000,485000000,271000000,198000000,628000000,954000000,1427000000,310000000,280000000,254000000,291000000,413000000,377000000,342000000,353000000,299000000,358000000,240000000,453000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4259000000,4203000000,3989000000,4053000000,3649000000,3665000000,3656000000,3304000000,3496000000,3667000000,3538000000,7402000000,7454000000,7488000000,8069000000,8269000000,8759000000,8569000000,8522000000,11904000000,11685000000,11814000000,12108000000,10449000000,11483000000,11335000000,10590000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7800000000,8015000000,8270000000,7935000000,6826000000,6902000000,6967000000,6631000000,7361000000,8181000000,8248000000,13878000000,14009000000,13532000000,15094000000,15584000000,15181000000,15396000000,15544000000,20002000000,19010000000,19153000000,20038000000,18347000000,18881000000,20350000000,20285000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,977000000,983000000,987000000,1079000000,1081000000,1257000000,1427000000,1631000000,1944000000,2297000000,2330000000,2945000000,3260000000,2805000000,3308000000,3660000000,3512000000,3698000000,3865000000,4730000000,4403000000,4416000000,4797000000,4487000000,4547000000,4834000000,5413000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1939000000,2157000000,1354000000,930000000,225000000,990000000,167000000,432000000,279000000,251000000,496000000,538000000,425000000,595000000,401000000,314000000,362000000,517000000,617000000,803000000,528000000,594000000,826000000,1981000000,853000000,310000000,308000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,913000000,882000000,1335000000,1258000000,1586000000,1056000000,1488000000,1442000000,1366000000,1437000000,1475000000,2519000000,2208000000,2163000000,2232000000,2175000000,2423000000,2295000000,2312000000,2870000000,2813000000,2652000000,2882000000,3210000000,2969000000,3186000000,2789000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3829000000,4022000000,3676000000,3267000000,2892000000,3303000000,3082000000,3505000000,3589000000,3985000000,4301000000,6002000000,5893000000,5563000000,5941000000,6149000000,6297000000,6510000000,6794000000,8403000000,7744000000,7662000000,8505000000,9678000000,8369000000,8330000000,8510000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,983000000,955000000,1074000000,1087000000,714000000,795000000,1295000000,1092000000,1134000000,1160000000,745000000,1798000000,1668000000,2002000000,2502000000,2195000000,2129000000,1944000000,1846000000,3544000000,3470000000,3876000000,4392000000,4046000000,4140000000,5897000000,5723000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,234000000,206000000,190000000,152000000,157000000,175000000,177000000,117000000,236000000,240000000,167000000,352000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,698000000,724000000,786000000,814000000,780000000,798000000,828000000,1100000000,1038000000,1122000000,1198000000,2395000000,2468000000,2894000000,2891000000,2920000000,2475000000,2575000000,1870000000,2259000000,2122000000,1887000000,2013000000,1418000000,2254000000,1414000000,1039000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1915000000,1885000000,2050000000,2053000000,1651000000,1768000000,2300000000,2309000000,2408000000,2522000000,2110000000,4545000000,4136000000,4896000000,5393000000,5115000000,4604000000,4519000000,3716000000,5803000000,5592000000,5763000000,6405000000,5464000000,6394000000,7311000000,6762000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,778000000,838000000,794000000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5744000000,5907000000,5726000000,5320000000,4543000000,5071000000,5382000000,5814000000,5997000000,6507000000,6411000000,10547000000,10029000000,10459000000,11334000000,11264000000,10901000000,11029000000,10510000000,14206000000,13336000000,13425000000,14910000000,15142000000,14763000000,15641000000,15272000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,84000000,84000000,86000000,87000000,88000000,90000000,92000000,102000000,103000000,104000000,105000000,106000000,106000000,108000000,109000000,110000000,111000000,111000000,112000000,112000000,112000000,113000000,114000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1863000000,1918000000,1801000000,2024000000,2268000000,2539000000,2470000000,1985000000,2276000000,2596000000,2902000000,3205000000,3703000000,3993000000,4193000000,4680000000,4922000000,5147000000,5784000000,6209000000,6722000000,7314000000,7352000000,6933000000,7870000000,8639000000,10170000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1883000000,-2041000000,-2887000000,-3093000000,-3004000000,-3142000000,-3262000000,-999000000,-757000000,-601000000,-862000000,-643000000,-270000000,-1259000000,-868000000,-893000000,-1226000000,-1531000000,-1298000000,-1840000000,-2332000000,-2400000000,-2331000000,-2695000000,-2618000000,-2811000000,-2357000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2076000000,2231000000,3630000000,3684000000,2935000000,2350000000,2291000000,-334000000,-306000000,-479000000,-387000000,619000000,375000000,168000000,234000000,333000000,379000000,536000000,329000000,406000000,242000000,-252000000,-935000000,-2059000000,-2169000000,-2142000000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2056000000,2108000000,2544000000,2615000000,2283000000,1831000000,1585000000,739000000,1301000000,1606000000,1745000000,3283000000,3911000000,3006000000,3664000000,4226000000,4181000000,4260000000,4924000000,4885000000,4743000000,4773000000,4198000000,2291000000,3195000000,3799000000,4846000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7800000000,8015000000,8270000000,7935000000,6826000000,6902000000,6967000000,6553000000,7298000000,8113000000,8156000000,13830000000,13940000000,13465000000,14998000000,15490000000,15082000000,15289000000,15434000000,19091000000,18079000000,18198000000,19108000000,17433000000,17958000000,19440000000,20118000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,78000000,63000000,68000000,92000000,48000000,69000000,67000000,96000000,94000000,99000000,107000000,110000000,911000000,931000000,955000000,930000000,914000000,923000000,910000000,167000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7800000000,8015000000,8270000000,7935000000,6826000000,6902000000,6967000000,6631000000,7361000000,8181000000,8248000000,13878000000,14009000000,13532000000,15094000000,15584000000,15181000000,15396000000,15544000000,20002000000,19010000000,19153000000,20038000000,18347000000,18881000000,20350000000,20285000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/106640/000095013196001100/0000950131-96-001100-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/106640/000095013103001354/0000950131-03-001354-index.htm,https://www.sec.gov/Archives/edgar/data/106640/000119312504040222/0001193125-04-040222-index.htm,https://www.sec.gov/Archives/edgar/data/106640/000119312505042422/0001193125-05-042422-index.htm,https://www.sec.gov/Archives/edgar/data/106640/000104746906002674/0001047469-06-002674-index.htm,https://www.sec.gov/Archives/edgar/data/106640/000119312507042772/0001193125-07-042772-index.htm,https://www.sec.gov/Archives/edgar/data/106640/000119312508036294/0001193125-08-036294-index.htm,https://www.sec.gov/Archives/edgar/data/106640/000119312509032852/0001193125-09-032852-index.htm,https://www.sec.gov/Archives/edgar/data/106640/000119312510033211/0001193125-10-033211-index.htm,https://www.sec.gov/Archives/edgar/data/106640/000119312511035529/0001193125-11-035529-index.htm,https://www.sec.gov/Archives/edgar/data/106640/000010664012000006/0000106640-12-000006-index.htm,https://www.sec.gov/Archives/edgar/data/106640/000010664013000009/0000106640-13-000009-index.htm,https://www.sec.gov/Archives/edgar/data/106640/000010664014000008/0000106640-14-000008-index.htm,https://www.sec.gov/Archives/edgar/data/106640/000010664015000014/0000106640-15-000014-index.htm,https://www.sec.gov/Archives/edgar/data/106640/000010664016000068/0000106640-16-000068-index.htm,https://www.sec.gov/Archives/edgar/data/106640/000010664017000013/0000106640-17-000013-index.htm,https://www.sec.gov/Archives/edgar/data/106640/000010664018000019/0000106640-18-000019-index.htm,https://www.sec.gov/Archives/edgar/data/106640/000010664019000016/0000106640-19-000016-index.htm,https://www.sec.gov/Archives/edgar/data/106640/000010664020000017/0000106640-20-000017-index.htm,https://www.sec.gov/Archives/edgar/data/106640/000010664021000022/0000106640-21-000022-index.htm,https://www.sec.gov/Archives/edgar/data/106640/000010664022000015/0000106640-22-000015-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,72000000,170000000,205000000,51000000,158000000,209000000,156000000,-15000000,325000000,347000000,367000000,21000000,-394000000,414000000,406000000,422000000,433000000,640000000,418000000,328000000,619000000,390000000,401000000,827000000,650000000,783000000,888000000,350000000,-183000000,1184000000,1071000000,1783000000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,247000000,233000000,275000000,241000000,266000000,312000000,353000000,356000000,438000000,417000000,400000000,396000000,405000000,427000000,445000000,442000000,550000000,593000000,597000000,525000000,555000000,558000000,551000000,540000000,560000000,668000000,655000000,654000000,645000000,587000000,568000000,494000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,-29000000,3000000,9000000,-31000000,-28000000,44000000,-32000000,-208000000,26000000,29000000,74000000,-129000000,157000000,- -,- -,- -,- -,10000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
