,https://roic.ai/company/NPK,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,0.1722,0.1548,0.1524,0.1500,0.2110,0.2220,0.2632,0.2292,0.1737,0.1889,0.1265,0.0972,0.1114,0.1709,0.1718,0.0772,-0.0153,0.0478,0.1408,0.1203,0.1291,0.1183,0.1283,0.1412,0.1909,0.2027,0.1716,0.1264,0.1371,0.0968,0.1412,0.1828,0.1849,0.1482,0.1503,0.1594,0.0844
19,Total Other Income Expenses (Gains),7800000,7600000,8500000,10500000,12100000,11300000,9900000,7300000,5600000,6400000,10200000,8900000,9800000,9100000,9500000,10328000,7965000,5119000,4234000,3585000,4345000,4349000,4247000,4270000,3050000,2273000,1041000,705000,731000,366000,396000,810000,3581000,4437000,5926000,3792000,2430000
20,Income Before Tax,24400000,24400000,24000000,26700000,39000000,39500000,52400000,36700000,26200000,30600000,25400000,19200000,22000000,27400000,29200000,19328000,6135000,11514000,23083000,22706000,28174000,40379000,58207000,67551000,94397000,99355000,75025000,60424000,58345000,40297000,60790000,63322000,65285000,52339000,52306000,59988000,32459000
21,Income Before Tax Ratio,0.2531,0.2249,0.2360,0.2472,0.3059,0.3110,0.3245,0.2860,0.2209,0.2389,0.2113,0.1811,0.2009,0.2558,0.2546,0.1658,0.0512,0.0861,0.1725,0.1428,0.1527,0.1325,0.1384,0.1507,0.1973,0.2074,0.1741,0.1279,0.1389,0.0977,0.1421,0.1852,0.1957,0.1619,0.1695,0.1701,0.0912
22,Income Tax expense (Gain),7900000,7600000,7100000,6400000,10300000,10400000,15700000,10800000,7500000,9100000,6400000,4500000,5000000,7700000,8400000,4170000,-151000,2824000,7606000,7265000,9207000,12419000,19584000,23368000,31821000,35824000,27057000,21549000,17093000,13820000,20294000,21407000,21971000,12450000,11766000,13030000,6805000
23,Net Income,16500000,16800000,16900000,20300000,28700000,29100000,36700000,25900000,18700000,21500000,19000000,14700000,17000000,19700000,20800000,15158000,6286000,8690000,15477000,15441000,18967000,27960000,38623000,44183000,62576000,63531000,47968000,38875000,41252000,26477000,40496000,44564000,52959000,39940000,42220000,46958000,25654000
24,Net Income ratio,0.1712,0.1548,0.1662,0.1880,0.2251,0.2291,0.2272,0.2019,0.1577,0.1678,0.1581,0.1387,0.1553,0.1839,0.1813,0.1300,0.0525,0.0650,0.1156,0.0971,0.1028,0.0918,0.0918,0.0986,0.1308,0.1326,0.1113,0.0823,0.0982,0.0642,0.0947,0.1303,0.1587,0.1235,0.1369,0.1332,0.0721
25,EPS,2.23,2.27,2.28,2.74,3.89,3.94,4.98,3.53,2.55,2.92,2.61,2.00,2.31,2.68,2.84,2.16,0.92,1.27,2.27,2.26,2.78,4.09,5.65,6.45,9.13,9.26,6.98,5.64,5.97,3.82,5.83,6.39,7.58,5.70,6.01,6.67,3.63
26,EPS Diluted,2.23,2.27,2.28,2.74,3.89,3.94,4.98,3.53,2.55,2.88,2.59,2.00,2.31,2.68,2.84,2.16,0.92,1.27,2.27,2.26,2.78,4.09,5.65,6.45,9.13,9.26,6.98,5.64,5.97,3.82,5.83,6.39,7.58,5.70,6.01,6.67,3.63
27,Weighted Average Shares Outstanding,7399103,7400881,7412281,7408759,7377892,7385787,7369478,7337110,7333333,7363014,7279693,7350000,7354000,7357000,7343000,7014000,6856000,6839000,6820000,6821000,6826000,6831000,6836000,6845000,6854000,6862000,6871000,6889000,6907000,6930000,6951000,6970000,6989000,7005000,7027000,7038000,7062000
28,Weighted Average Shares Outstanding Diluted,7399103,7400881,7412281,7408759,7377892,7385787,7369478,7337110,7333333,7458000,7344000,7352000,7355000,7358000,7344000,7015000,6857000,6840000,6821000,6823000,6827000,6831000,6836000,6845000,6854000,6864000,6872000,6891000,6907000,6930000,6951000,6970000,6989000,7005000,7027000,7038000,7062000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/80172/000089710107001809/0000897101-07-001809-index.htm,https://www.sec.gov/Archives/edgar/data/80172/000089710108000656/0000897101-08-000656-index.htm,https://www.sec.gov/Archives/edgar/data/80172/000111650209000400/0001116502-09-000400-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/80172/000089710112000452/0000897101-12-000452-index.html,https://www.sec.gov/Archives/edgar/data/80172/000089710113000378/0000897101-13-000378-index.html,https://www.sec.gov/Archives/edgar/data/80172/000089710114000337/0000897101-14-000337-index.htm,https://www.sec.gov/Archives/edgar/data/80172/000089710115000339/0000897101-15-000339-index.htm,https://www.sec.gov/Archives/edgar/data/80172/000008017216000039/0000080172-16-000039-index.htm,https://www.sec.gov/Archives/edgar/data/80172/000008017217000013/0000080172-17-000013-index.htm,https://www.sec.gov/Archives/edgar/data/80172/000008017218000011/0000080172-18-000011-index.htm,https://www.sec.gov/Archives/edgar/data/80172/000008017219000007/0000080172-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/80172/000156276220000111/0001562762-20-000111-index.htm,https://www.sec.gov/Archives/edgar/data/80172/000143774921006162/0001437749-21-006162-index.htm,https://www.sec.gov/Archives/edgar/data/80172/000143774922006042/0001437749-22-006042-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,140700000,144900000,144200000,177900000,103800000,118800000,129100000,126800000,115500000,109400000,91400000,91900000,91600000,114600000,88100000,79624000,83877000,114637000,143765000,104724000,101467000,46696000,26715000,24692000,48974000,49719000,73995000,37437000,22953000,54043000,56222000,27034000,11222000,56847000,79579000,86036000,- -
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,150500000,143205000,106992000,92578000,69836000,76096000,72108000,96920000,116559000,121217000,118442000,101005000,59360000,55586000,36404000,22404000,32259000,84457000,144252000,134598000,78733000,68981000,- -
33,Cash and Short-Term Investments,140700000,144900000,144200000,177900000,103800000,118800000,129100000,126800000,115500000,109400000,91400000,91900000,91600000,114600000,238600000,222829000,190869000,207215000,213601000,180820000,173575000,143616000,143274000,145909000,167416000,150724000,133355000,93023000,59357000,76447000,88481000,111491000,155474000,191445000,158312000,155017000,- -
34,Net Receivables,35200000,37400000,43100000,25700000,32600000,27000000,109600000,23600000,132800000,149700000,38100000,21800000,20200000,15800000,20000000,10023000,31194000,27898000,28904000,33561000,32284000,65571000,87918000,75594000,92359000,91115000,73634000,76443000,84535000,70420000,67528000,67285000,65220000,59585000,44317000,56536000,53715000
35,Inventory,15900000,19500000,18500000,20800000,22800000,87700000,19900000,19300000,23500000,18900000,25600000,17800000,18600000,16000000,17300000,31307000,33997000,24987000,24638000,34127000,37679000,55492000,65485000,71720000,75212000,83132000,94506000,83364000,92514000,89058000,98622000,95403000,104439000,93988000,128536000,135488000,- -
36,Other Current Assets,100000,700000,- -,100000,75800000,200000,100000,79600000,800000,900000,114400000,137100000,141700000,126900000,- -,47000,93000,998000,717000,8991000,13650000,8503000,7102000,6293000,7085000,20569000,27410000,17924000,27667000,20944000,6961000,66316000,13375000,7244000,6668000,10199000,- -
37,Total Current Assets,191900000,202500000,205800000,224500000,235000000,233700000,258700000,249300000,272600000,278900000,269500000,268600000,272100000,273300000,275900000,264206000,256153000,261098000,267860000,257499000,257188000,273182000,303779000,299516000,342072000,345540000,328905000,270754000,264073000,256869000,261592000,340495000,338508000,352262000,337833000,357240000,53715000
38,PP&E,6600000,6300000,5600000,4900000,5100000,4700000,4200000,4300000,3800000,4300000,7300000,7300000,9000000,10600000,12300000,13294000,11845000,13267000,17206000,41225000,50484000,62559000,59262000,54732000,48848000,58108000,64268000,61865000,89589000,95543000,91306000,49475000,45168000,39143000,40799000,40476000,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9085000,11485000,11485000,11485000,11485000,18468000,14325000,11485000,11485000,11485000,11485000,11485000,11485000,15317000,15317000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3396000,24698000,10644000,5471000,4961000,3330000,1000000,3059000,2838000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9085000,11485000,11485000,11485000,11485000,18468000,17721000,36183000,22129000,16956000,16446000,14815000,12485000,18376000,18155000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3336000,- -,995000,1088000,1281000,2994000,- -
44,Other Non-Current Assets,100000,100000,1000000,1900000,2800000,3600000,3500000,6200000,6600000,7800000,8100000,9500000,10800000,10900000,11200000,11207000,16902000,15629000,16327000,7104000,7854000,150000,150000,150000,- -,- -,- -,3571000,3695000,3818000,14194000,11178000,12387000,8640000,11964000,14305000,- -
45,Total Non-Current Assets,6700000,6400000,6600000,6800000,7900000,8300000,7700000,10500000,10400000,12100000,15400000,16800000,19800000,21500000,23500000,24501000,28747000,28896000,33533000,48329000,58338000,71794000,70897000,66367000,60333000,69593000,82736000,83157000,129467000,121490000,125792000,77099000,73365000,61356000,72420000,75930000,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,198600000,208900000,212400000,231300000,242900000,242000000,266400000,259800000,283000000,291000000,284900000,285400000,291900000,294800000,299400000,288707000,284900000,289994000,301393000,305828000,315526000,344976000,374676000,365883000,402405000,415133000,411641000,353911000,393540000,378359000,387384000,417594000,411873000,413618000,410253000,433170000,53715000
48,Accounts Payable,- -,- -,- -,- -,19100000,19600000,24200000,20900000,21300000,16800000,13700000,13300000,16000000,11400000,14400000,16014000,18194000,18753000,21341000,18439000,18084000,35424000,40381000,32325000,37903000,44298000,48344000,39077000,38323000,32948000,32536000,39584000,28445000,34100000,21652000,33474000,32759000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,546000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6291000,5859000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3163000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,28600000,30400000,26500000,34700000,15000000,15800000,18800000,17300000,21300000,26200000,24500000,25200000,26700000,29000000,29700000,27533000,30103000,32984000,33783000,30288000,32233000,27604000,36394000,19564000,23150000,22431000,17602000,16896000,15907000,15680000,15594000,24770000,17052000,13395000,17643000,20618000,19854000
53,Total Current Liabilities,28600000,30400000,26500000,34700000,34100000,35400000,43000000,38200000,42600000,43000000,38200000,38500000,42700000,40400000,44100000,43547000,48297000,51737000,55124000,48727000,50317000,63028000,76775000,51889000,61053000,66729000,65946000,55973000,54230000,48628000,48130000,64354000,45497000,47495000,39295000,55092000,53159000
54,Long-Term Debt,6100000,6100000,6100000,6100000,6100000,5100000,5100000,5100000,5100000,5100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2790000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2164000,1606000,3290000,3389000,5480000,4467000,9405000,7368000,6759000,4288000,- -,3004000,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,-100000,- -,- -,-100000,- -,-100000,-100000,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,1626000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3001000,940000,9616000
58,Total Non-Current Liabilities,6100000,6000000,6100000,6100000,6000000,5100000,5000000,5000000,5100000,5100000,- -,100000,- -,- -,- -,- -,- -,- -,- -,1626000,2164000,1606000,3290000,3389000,5480000,4467000,9405000,7368000,6759000,4288000,- -,3004000,- -,- -,3001000,3730000,9616000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3521000,3363000,- -
61,Total Liabilities,34700000,36400000,32600000,40800000,40100000,40500000,48000000,43200000,47700000,48100000,38200000,38600000,42700000,40400000,44100000,43547000,48297000,51737000,55124000,50353000,52481000,64634000,80065000,55278000,66533000,71196000,75351000,63341000,60989000,52916000,48130000,67358000,45497000,47495000,42296000,58822000,62775000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7400000,7441000,7441000,7441000,7441000,7441000,7441000,7441000,7441000,7441000,7441000,7441000,7441000,7441000,7441000,7441000,7441000,7441000,7441000,7441000,7441000,7441000,- -
64,Retained Earnings,157800000,166300000,174500000,185600000,197800000,196500000,213400000,211400000,230100000,237600000,240800000,240800000,243100000,248100000,254200000,254381000,246913000,249313000,258506000,265970000,273543000,290519000,304246000,319362000,343930000,351571000,342873000,295643000,336895000,328417000,340799000,350203000,364757000,362709000,362842000,367627000,- -
65,Other Comprehensive Income/Loss,-14100000,-14500000,-11100000,-9400000,-8000000,-8200000,-8800000,-9400000,-9100000,-9400000,-9300000,-9900000,-11000000,-11400000,-12000000,-12984000,-7483000,-9400000,-9771000,-13527000,-17618000,-24416000,-31129000,1000000,643000,129000,-57340000,-61553000,-66283000,-75721000,-86322000,-51688000,-58370000,-56951000,-56704000,- -,- -
66,Other Total Stockholders Equity,20200000,20700000,16400000,14300000,13000000,13200000,13800000,14600000,14300000,14700000,15200000,15900000,17100000,17700000,5700000,- -,- -,-9097000,-9907000,-4409000,-321000,6798000,14053000,-17198000,- -,- -,43316000,49040000,54498000,65306000,77336000,44280000,52548000,52924000,54378000,-720000,357623000
67,Total Stockholders Equity,163900000,172500000,179800000,190500000,202800000,201500000,218400000,216600000,235300000,242900000,246700000,246800000,249200000,254400000,255300000,245160000,236603000,238257000,246269000,255475000,263045000,280342000,294611000,310605000,335872000,343937000,336290000,290571000,332551000,325443000,339254000,350236000,366376000,366123000,367957000,374348000,357623000
68,Total Liabilities And Stockholders Equity,198600000,208900000,212400000,231300000,242900000,242000000,266400000,259800000,283000000,291000000,284900000,285400000,291900000,294800000,299400000,288707000,284900000,289994000,301393000,305828000,315526000,344976000,374676000,365883000,402405000,415133000,411641000,353912000,393540000,378359000,387384000,417594000,411873000,413618000,410253000,433170000,420398000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000,- -,- -,- -,- -,- -,- -,- -,- -,-366683000
70,Total Liabilities & Equity,198600000,208900000,212400000,231300000,242900000,242000000,266400000,259800000,283000000,291000000,284900000,285400000,291900000,294800000,299400000,288707000,284900000,289994000,301393000,305828000,315526000,344976000,374676000,365883000,402405000,415133000,411641000,353911000,393540000,378359000,387384000,417594000,411873000,413618000,410253000,433170000,53715000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/80172/000089710107001809/0000897101-07-001809-index.htm,https://www.sec.gov/Archives/edgar/data/80172/000089710108000656/0000897101-08-000656-index.htm,https://www.sec.gov/Archives/edgar/data/80172/000111650209000400/0001116502-09-000400-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/80172/000089710112000452/0000897101-12-000452-index.html,https://www.sec.gov/Archives/edgar/data/80172/000089710113000378/0000897101-13-000378-index.html,https://www.sec.gov/Archives/edgar/data/80172/000089710114000337/0000897101-14-000337-index.htm,https://www.sec.gov/Archives/edgar/data/80172/000089710115000339/0000897101-15-000339-index.htm,https://www.sec.gov/Archives/edgar/data/80172/000008017216000039/0000080172-16-000039-index.htm,https://www.sec.gov/Archives/edgar/data/80172/000008017217000013/0000080172-17-000013-index.htm,https://www.sec.gov/Archives/edgar/data/80172/000008017218000011/0000080172-18-000011-index.htm,https://www.sec.gov/Archives/edgar/data/80172/000008017219000007/0000080172-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/80172/000156276220000111/0001562762-20-000111-index.htm,https://www.sec.gov/Archives/edgar/data/80172/000143774921006162/0001437749-21-006162-index.htm,https://www.sec.gov/Archives/edgar/data/80172/000143774922006042/0001437749-22-006042-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,16500000,16800000,- -,20300000,28700000,29100000,36700000,25900000,18700000,21500000,19000000,14700000,17000000,19700000,20800000,15158000,6286000,8690000,15477000,15441000,18967000,27960000,38623000,44183000,62576000,63531000,47968000,38875000,41252000,26477000,40496000,44564000,52959000,39940000,42220000,46958000,25654000
74,Depreciation and Amortization,1700000,1700000,- -,1200000,1100000,1200000,1300000,1300000,1200000,1200000,1500000,2000000,2100000,2100000,2300000,2786000,3436000,1934000,2353000,3310000,4245000,7891000,8485000,8794000,8738000,8637000,9037000,11185000,8944000,21819000,15600000,14683000,9888000,6219000,3689000,3005000,- -
75,Deferred Income Tax,- -,- -,- -,- -,-1300000,-100000,-1500000,-600000,-300000,-1400000,-500000,-1800000,-1100000,- -,200000,198000,-2343000,311000,2252000,126000,-426000,-938000,3350000,1060000,-33000,-399000,5096000,-4792000,239000,-1005000,-998000,6360000,-4001000,-121000,1146000,-1718000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,7200000,- -,10500000,11100000,-2600000,17400000,-4600000,18900000,5900000,-4600000,-1200000,-700000,3500000,-1100000,-11141000,-12803000,1505000,3375000,-3964000,-1901000,3283000,16850000,20623000,33392000,-2208000,-15852000,-48178000,-4938000,-1602000,5221000,62679000,16870000,11756000,-6229000,3610000,-301592000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16765000,1244000,17973000,-6546000,-8533000,16536000,708000,-13539000,1848000,11546000,10915000,-12203000,- -
79,Inventory,- -,- -,- -,- -,-2000000,7700000,-4800000,700000,-4300000,4700000,-6700000,7800000,-800000,2700000,-1400000,-13980000,605000,9010000,1804000,-9489000,-3552000,-15904000,-9993000,-6235000,-3492000,-14557000,-10284000,11091000,-9150000,8144000,-9398000,-7528000,-8730000,6821000,-34241000,-6952000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9999000,2948000,-6033000,-2684000,12145000,-11462000,- -,- -,- -,32759000
81,Other Working Capital,172100000,179300000,- -,189800000,200900000,198300000,215700000,211100000,230000000,235900000,231300000,230100000,229400000,232900000,231800000,220659000,207856000,209361000,212736000,208772000,206871000,210154000,227004000,247627000,281019000,278811000,262959000,214781000,209843000,208241000,213462000,276141000,293011000,304767000,298538000,302148000,556000
82,Other Non-Cash Items,-18200000,-25700000,- -,-32000000,-17600000,16700000,-23200000,13000000,-23400000,-10200000,-8400000,26600000,5500000,2100000,-300000,6874000,-219000,13077000,1340000,-10107000,-1798000,-32690000,-29276000,-39332000,-42528000,-11793000,12437000,65252000,-21278000,27524000,-14044000,-61910000,-51438000,18454000,-31243000,-10882000,275938000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,22000000,44300000,30700000,35000000,15100000,17000000,7000000,40300000,22800000,27400000,21900000,13875000,-5643000,25517000,24797000,4806000,19087000,5506000,38032000,35328000,62145000,57768000,58686000,62342000,24219000,73213000,46275000,66376000,24278000,76248000,9583000,40973000,- -
84,CAPEX,- -,- -,- -,- -,-1500000,-1200000,-800000,-1500000,-1000000,-1700000,-4500000,-2000000,-4000000,-3700000,-4200000,-3843000,-2038000,-3408000,-2903000,-28188000,-13832000,-7271000,-6224000,-4370000,-3337000,-17972000,-15003000,-13584000,-58224000,-11287000,-6461000,-7161000,-8396000,-8686000,-3138000,-2621000,- -
