,https://roic.ai/company/GEOS,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,0.2561,0.1520,0.0143,-0.0337,0.0292,0.0067,-0.0783,0.0924,0.0468,0.1394,0.2036,0.1501,0.0389,0.1642,0.2567,0.2654,0.3367,0.2271,-0.6193,-0.8945,-0.7369,-0.2738,0.0108,-0.2054,-0.1778
19,Total Other Income Expenses (Gains),100000,300000,- -,41000,-226000,-770000,50000,35000,-44000,-204000,118000,233000,-298000,-206000,214000,997000,-134000,-256000,2721000,177000,215000,951000,1238000,1446000,3393000
20,Income Before Tax,10600000,10300000,600000,-1763000,1630000,-336000,-3932000,5906000,3363000,14247000,28237000,20418000,3311000,20902000,44619000,51862000,101093000,53543000,-49834000,-55333000,-54108000,-19792000,2271000,-16593000,-13478000
21,Income Before Tax Ratio,0.2585,0.1565,0.0143,-0.0330,0.0256,-0.0052,-0.0773,0.0930,0.0462,0.1374,0.2045,0.1518,0.0357,0.1626,0.2580,0.2706,0.3363,0.2260,-0.5872,-0.8916,-0.7340,-0.2613,0.0237,-0.1889,-0.1421
22,Income Tax expense (Gain),4000000,3600000,-200000,-572000,292000,-857000,-1399000,-47000,812000,4477000,8638000,6266000,1551000,6820000,14908000,16744000,31536000,16632000,-17193000,-9363000,2683000,-580000,2417000,2649000,578000
23,Net Income,6600000,6700000,800000,-1191000,1338000,1119000,-2533000,5953000,2507000,9770000,19599000,14152000,1760000,14082000,29711000,35118000,69557000,36911000,-32641000,-45970000,-56791000,-19212000,-146000,-19242000,-14056000
24,Net Income ratio,0.1610,0.1018,0.0190,-0.0223,0.0210,0.0172,-0.0498,0.0937,0.0344,0.0942,0.1419,0.1052,0.0190,0.1096,0.1718,0.1832,0.2314,0.1558,-0.3846,-0.7407,-0.7704,-0.2536,-0.0015,-0.2191,-0.1482
25,EPS,0.83,0.66,0.08,-0.11,0.12,0.10,-0.23,0.54,0.23,0.86,1.69,1.20,0.15,1.17,2.39,1.38,5.40,2.82,-2.51,-3.52,-4.32,-1.45,-0.01,-1.42,-1.05
26,EPS Diluted,0.83,0.65,0.07,-0.11,0.12,0.10,-0.23,0.53,0.22,0.82,1.61,1.16,0.14,1.14,2.37,1.37,5.38,2.81,-2.51,-3.52,-4.32,-1.45,-0.01,-1.42,-1.05
27,Weighted Average Shares Outstanding,7951807,10144524,10769060,10863802,10978502,11071958,11100432,11147222,11213716,11373200,11587680,11817454,11900806,12062628,12441314,25471040,12886372,12950958,12996958,13044875,13134071,13250867,13388626,13525179,13358930
28,Weighted Average Shares Outstanding Diluted,7951807,10333512,10898808,10863802,11197194,11095548,11100432,11369706,11487202,11911824,12126892,12232078,12158756,12386036,12572648,25672478,12938661,12997009,12996958,13044875,13134071,13250867,13388626,13525179,13358930
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1001115/000089924302003199/0000899243-02-003199-index.html,https://www.sec.gov/Archives/edgar/data/1001115/000119312503088882/0001193125-03-088882-index.htm,https://www.sec.gov/Archives/edgar/data/1001115/000119312504208792/0001193125-04-208792-index.htm,https://www.sec.gov/Archives/edgar/data/1001115/000119312505247590/0001193125-05-247590-index.htm,https://www.sec.gov/Archives/edgar/data/1001115/000119312506248755/0001193125-06-248755-index.htm,https://www.sec.gov/Archives/edgar/data/1001115/000119312507261344/0001193125-07-261344-index.htm,https://www.sec.gov/Archives/edgar/data/1001115/000119312508247886/0001193125-08-247886-index.htm,https://www.sec.gov/Archives/edgar/data/1001115/000119312509251202/0001193125-09-251202-index.htm,https://www.sec.gov/Archives/edgar/data/1001115/000119312510277978/0001193125-10-277978-index.htm,https://www.sec.gov/Archives/edgar/data/1001115/000119312511336346/0001193125-11-336346-index.htm,https://www.sec.gov/Archives/edgar/data/1001115/000119312512499442/0001193125-12-499442-index.htm,https://www.sec.gov/Archives/edgar/data/1001115/000156459013001356/0001564590-13-001356-index.htm,https://www.sec.gov/Archives/edgar/data/1001115/000156459014005894/0001564590-14-005894-index.htm,https://www.sec.gov/Archives/edgar/data/1001115/000156459015010914/0001564590-15-010914-index.htm,https://www.sec.gov/Archives/edgar/data/1001115/000156459016029427/0001564590-16-029427-index.htm,https://www.sec.gov/Archives/edgar/data/1001115/000156459017024421/0001564590-17-024421-index.htm,https://www.sec.gov/Archives/edgar/data/1001115/000156459018029718/0001564590-18-029718-index.htm,https://www.sec.gov/Archives/edgar/data/1001115/000156459019044161/0001564590-19-044161-index.htm,https://www.sec.gov/Archives/edgar/data/1001115/000156459020054742/0001564590-20-054742-index.htm,https://www.sec.gov/Archives/edgar/data/1001115/000156459021057727/0001564590-21-057727-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2500000,4000000,5300000,3989000,882000,1538000,671000,3139000,1753000,2054000,3013000,1562000,8571000,33453000,31388000,50752000,2726000,33357000,22314000,10262000,15092000,11934000,18925000,32686000,14066000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4926000,19960000,- -,19861000,18112000,27491000,36137000,25471000,- -,- -,9496000
33,Cash and Short-Term Investments,2500000,4000000,5300000,3989000,882000,1538000,671000,3139000,1753000,2054000,3013000,1562000,8571000,33453000,36314000,70712000,2726000,53218000,40426000,37753000,51229000,37405000,18925000,32686000,23562000
34,Net Receivables,6500000,11900000,7800000,8509000,11539000,12585000,9978000,12827000,12676000,22169000,23222000,32420000,24355000,21507000,21861000,20035000,67446000,28388000,32066000,30215000,12763000,18581000,27426000,13778000,18210000
35,Inventory,15000000,19700000,21900000,22095000,28737000,21801000,22929000,25406000,33155000,49378000,50276000,64396000,57257000,47395000,72390000,83894000,149548000,145890000,124800000,104540000,20752000,18812000,23855000,16933000,16196000
36,Other Current Assets,1300000,2600000,3200000,3098000,2451000,2396000,3972000,4061000,3813000,2983000,4463000,5566000,5559000,7631000,12016000,12587000,13383000,16512000,7717000,1826000,1623000,1856000,1001000,1540000,2062000
37,Total Current Assets,25300000,38200000,38200000,37691000,43609000,38320000,37550000,45433000,51397000,76584000,80974000,103944000,95742000,109986000,142581000,187228000,233103000,244008000,205009000,174334000,86367000,76654000,71207000,64937000,60030000
38,PP&E,6100000,19400000,18800000,21396000,20307000,20243000,22379000,21421000,22320000,25093000,38963000,43557000,41173000,41991000,46637000,62286000,85388000,103078000,94745000,75705000,53861000,73169000,93536000,84191000,70079000
39,Goodwill,- -,- -,- -,- -,2767000,1843000,- -,- -,- -,1843000,1843000,1843000,1843000,1843000,1843000,1843000,1843000,1843000,- -,- -,- -,4343000,5008000,4337000,5072000
40,Intangible Assets,1000000,4500000,5600000,5204000,2008000,4556000,5704000,4970000,4271000,1758000,1297000,1057000,807000,558000,319000,80000,- -,- -,- -,- -,- -,8006000,10063000,8331000,7250000
41,Intangible Assets,1000000,4500000,5600000,5204000,4775000,6399000,5704000,4970000,4271000,3601000,3140000,2900000,2650000,2401000,2162000,1923000,1843000,1843000,- -,- -,- -,12349000,15071000,12668000,12322000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,340000,931000,1869000,2700000,2979000,951000,228000,624000,687000,754000,505000,307000,594000,75000,1586000,216000,259000,246000,236000,- -,- -
44,Other Non-Current Assets,2700000,1200000,800000,817000,4057000,2233000,3933000,3270000,3455000,2947000,4857000,8355000,1230000,8364000,4916000,7278000,6297000,5982000,5706000,4517000,65209000,36662000,21951000,25049000,21498000
45,Total Non-Current Assets,9800000,25100000,25200000,27417000,29479000,29806000,33885000,32361000,33025000,32592000,47188000,55436000,45740000,53510000,54220000,71794000,94122000,110978000,102037000,80438000,119329000,122426000,130794000,121908000,103899000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,35100000,63300000,63400000,65108000,73088000,68126000,71435000,77794000,84422000,109176000,128162000,159380000,141482000,163496000,196801000,259022000,327225000,354986000,307046000,254772000,205696000,199080000,202001000,186845000,163929000
48,Accounts Payable,3000000,5500000,2800000,5694000,4984000,4047000,2801000,4876000,4695000,6593000,7760000,8210000,4692000,3809000,5042000,17187000,16737000,4964000,4077000,2120000,2599000,4106000,4051000,1593000,6391000
49,Short-Term Debt,- -,- -,200000,198000,1033000,714000,5889000,1029000,340000,312000,322000,744000,728000,440000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,225000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,159000,2056000,399000,1275000,2811000,2065000,2912000,3359000,2383000,2028000,1990000,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,4859000,146000,138000,316000,321000,9313000,1668000,962000,367000,1311000,774000,8641000,1093000,3752000,165000,174000,1568000,3752000,2724000,8753000,7799000
52,Other Current Liabilities,6100000,5800000,2900000,2911000,4282000,5283000,3785000,6423000,5540000,9751000,10895000,11553000,7113000,12849000,11865000,15364000,16809000,14635000,9692000,7974000,6338000,6877000,6388000,- -,807000
53,Total Current Liabilities,9100000,11300000,5900000,8803000,15158000,10190000,12613000,12644000,10896000,25969000,20645000,21469000,12900000,18409000,17681000,41192000,34639000,23351000,13934000,10268000,10505000,14735000,13163000,10346000,15222000
54,Long-Term Debt,- -,1000000,4200000,3984000,3772000,3544000,6232000,5805000,10731000,7440000,5147000,19526000,8820000,7260000,- -,- -,931000,- -,- -,- -,- -,- -,- -,- -,1009000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4567000,31000
56,Deferred Tax Liabilities,900000,1600000,1900000,1612000,1367000,- -,- -,- -,- -,- -,- -,- -,1104000,1241000,2107000,2843000,2597000,2377000,3488000,37000,37000,45000,51000,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1022000,- -,- -,- -,- -,- -,- -,- -,- -,- -,7713000,9940000,10962000,5210000
58,Total Non-Current Liabilities,900000,2600000,6100000,5596000,5139000,3544000,6232000,5805000,10731000,7440000,5147000,20548000,9924000,8501000,2107000,2843000,3528000,2377000,3488000,37000,37000,7758000,9991000,15529000,6250000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1234000
61,Total Liabilities,10000000,13900000,12000000,14399000,20297000,13734000,18845000,18449000,21627000,33409000,25792000,42017000,22824000,26910000,19788000,44035000,38167000,25728000,17422000,10305000,10542000,22493000,23154000,25875000,21472000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,100000,55000,55000,55000,56000,56000,56000,57000,59000,59000,60000,61000,64000,128000,129000,131000,131000,133000,134000,136000,136000,137000,137000
64,Retained Earnings,15600000,22200000,23100000,21875000,23213000,24332000,21799000,27752000,30259000,40029000,59628000,73780000,75540000,89622000,119333000,154451000,224008000,260919000,228278000,182308000,125517000,105954000,105808000,86566000,72510000
65,Other Comprehensive Income/Loss,-5600000,-9200000,-10800000,-13213000,-11664000,-13984000,-20000,277000,530000,1044000,2263000,1494000,-242000,-156000,170000,-225000,-1064000,-2496000,-12945000,-15941000,-14230000,-15619000,-15757000,-16698000,-16320000
66,Other Total Stockholders Equity,15100000,36400000,39000000,41992000,41187000,43989000,30636000,31115000,31761000,34637000,40420000,42030000,43300000,47059000,57446000,60633000,65985000,70704000,74160000,77967000,83733000,86116000,88660000,90965000,86130000
67,Total Stockholders Equity,25100000,49400000,51400000,50709000,52791000,54392000,52471000,59200000,62606000,75767000,102370000,117363000,118658000,136586000,177013000,214987000,289058000,329258000,289624000,244467000,195154000,176587000,178847000,160970000,142457000
68,Total Liabilities And Stockholders Equity,35100000,63300000,63400000,65108000,73088000,68126000,71316000,77649000,84233000,109176000,128162000,159380000,141482000,163496000,196801000,259022000,327225000,354986000,307046000,254772000,205696000,199080000,202001000,186845000,163929000
69,Minority Interest,- -,- -,- -,- -,- -,- -,119000,145000,189000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,35100000,63300000,63400000,65108000,73088000,68126000,71435000,77794000,84422000,109176000,128162000,159380000,141482000,163496000,196801000,259022000,327225000,354986000,307046000,254772000,205696000,199080000,202001000,186845000,163929000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1001115/000089924302003199/0000899243-02-003199-index.html,https://www.sec.gov/Archives/edgar/data/1001115/000119312503088882/0001193125-03-088882-index.htm,https://www.sec.gov/Archives/edgar/data/1001115/000119312504208792/0001193125-04-208792-index.htm,https://www.sec.gov/Archives/edgar/data/1001115/000119312505247590/0001193125-05-247590-index.htm,https://www.sec.gov/Archives/edgar/data/1001115/000119312506248755/0001193125-06-248755-index.htm,https://www.sec.gov/Archives/edgar/data/1001115/000119312507261344/0001193125-07-261344-index.htm,https://www.sec.gov/Archives/edgar/data/1001115/000119312508247886/0001193125-08-247886-index.htm,https://www.sec.gov/Archives/edgar/data/1001115/000119312509251202/0001193125-09-251202-index.htm,https://www.sec.gov/Archives/edgar/data/1001115/000119312510277978/0001193125-10-277978-index.htm,https://www.sec.gov/Archives/edgar/data/1001115/000119312511336346/0001193125-11-336346-index.htm,https://www.sec.gov/Archives/edgar/data/1001115/000119312512499442/0001193125-12-499442-index.htm,https://www.sec.gov/Archives/edgar/data/1001115/000156459013001356/0001564590-13-001356-index.htm,https://www.sec.gov/Archives/edgar/data/1001115/000156459014005894/0001564590-14-005894-index.htm,https://www.sec.gov/Archives/edgar/data/1001115/000156459015010914/0001564590-15-010914-index.htm,https://www.sec.gov/Archives/edgar/data/1001115/000156459016029427/0001564590-16-029427-index.htm,https://www.sec.gov/Archives/edgar/data/1001115/000156459017024421/0001564590-17-024421-index.htm,https://www.sec.gov/Archives/edgar/data/1001115/000156459018029718/0001564590-18-029718-index.htm,https://www.sec.gov/Archives/edgar/data/1001115/000156459019044161/0001564590-19-044161-index.htm,https://www.sec.gov/Archives/edgar/data/1001115/000156459020054742/0001564590-20-054742-index.htm,https://www.sec.gov/Archives/edgar/data/1001115/000156459021057727/0001564590-21-057727-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,6600000,6700000,800000,-1191000,1338000,1119000,-2533000,5953000,2507000,9770000,19599000,14152000,1760000,14082000,29711000,35118000,69557000,36911000,-32641000,-45970000,-56791000,-19212000,-146000,-19242000,-14056000
74,Depreciation and Amortization,1500000,2800000,4300000,4014000,4444000,4852000,4268000,4962000,4150000,3890000,3701000,4565000,5189000,5184000,7047000,9587000,12229000,17774000,19547000,19914000,17766000,14412000,19339000,23693000,20777000
75,Deferred Income Tax,1500000,-1200000,400000,281000,258000,-1381000,-1036000,-1013000,-558000,1640000,-479000,441000,451000,-1416000,-718000,808000,-523000,818000,-943000,4209000,-25000,-18000,16000,181000,3000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,283000,445000,736000,762000,544000,4119000,4539000,5220000,5732000,2318000,2329000,2305000,1970000
77,Change in Working Capital,300000,10700000,5400000,-3412000,-437000,-321000,-3193000,7852000,7712000,10114000,9714000,22146000,367000,8735000,33323000,21136000,52428000,22193000,-29582000,-27009000,-88204000,-13943000,-3875000,-3453000,-6692000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-33717000,25605000,7088000,-3428000,7743000,-5090000,-9159000,- -,-2973000
79,Inventory,-2200000,-3400000,-500000,-154000,-6550000,7622000,-1128000,-2525000,-7750000,-16223000,-2340000,-15113000,3238000,6673000,-29528000,-15630000,-73357000,-10452000,9661000,5193000,2962000,-7824000,-1865000,5000,-7674000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3382000,-879000,1227000,12151000,-442000,-11756000,-834000,-1942000,477000,1333000,-44000,-2453000,4712000
81,Other Working Capital,16200000,26900000,32300000,28888000,28451000,28130000,24937000,32789000,40501000,50615000,60329000,82475000,82842000,91577000,124900000,146036000,198464000,220657000,191075000,164066000,75862000,61919000,58044000,54591000,294000
82,Other Non-Cash Items,100000,-16600000,-7900000,5137000,-2992000,2277000,-108000,-9376000,-15436000,-20063000,-20134000,-49326000,9291000,2991000,-68963000,-24187000,-191396000,-14165000,27711000,41941000,131613000,6042000,-12034000,14638000,-9174000
83,Cash Provided by Operating Activities,10000000,2400000,3000000,4829000,2611000,6546000,-2602000,8378000,-1625000,5351000,12401000,-8022000,17341000,30021000,1136000,43224000,-57161000,67650000,-11369000,-1695000,10091000,-10401000,5629000,18122000,-7172000
84,CAPEX,-6400000,-14700000,-4900000,-6004000,-4909000,-4729000,-6045000,-2506000,-6247000,-4775000,-17007000,-9796000,-1709000,-6117000,-20144000,-35729000,-41659000,-33511000,-6162000,-2369000,-1632000,-8234000,-36006000,-8403000,-5309000
85,Acquisitions Net,- -,- -,- -,- -,-1925000,913000,-164000,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4352000,-1819000,- -,-1346000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4926000,-16823000,-1587000,-21610000,-6306000,-25791000,-19242000,-17922000,- -,- -,-12544000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2030000,21139000,2000000,7902000,16368000,10532000,28463000,25606000,- -,5239000
88,Other Investing Activites,800000,400000,1600000,83000,286000,-1651000,33000,1241000,1367000,257000,1889000,736000,-1686000,-6106000,19918000,-7515000,25497000,16417000,4278000,1584000,4884000,9822000,13779000,4353000,10642000
89,Cash Used for Investing Activites,-5600000,-14300000,-3300000,-5921000,-6548000,-5467000,-6176000,-1265000,-4880000,-4618000,-15118000,-9060000,-1686000,-6106000,-5152000,-26321000,3390000,-36704000,-288000,-10208000,-5458000,7777000,1560000,-4050000,-3318000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10722000,-1985000,-7700000,- -,- -,-931000,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,193000,393000,77000,39000,400000,513000,1375000,2491000,842000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6805000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-2700000,13200000,1500000,-169000,623000,-546000,7864000,-5286000,4237000,-2362000,163000,15537000,988000,3315000,9654000,2489000,5740000,602000,- -,- -,50000,63000,215000,-78000,-1421000
95,Cash Used/Provided by Financing Activities,-2700000,13200000,1500000,24000,1016000,-469000,7903000,-4886000,4750000,-987000,2654000,16379000,-9734000,1330000,1954000,2489000,5740000,-329000,- -,- -,50000,63000,215000,-78000,-8226000
96,Effect of Forex Changes on Cash,- -,200000,100000,-223000,-186000,46000,8000,241000,369000,555000,1022000,-748000,1088000,-363000,-3000,-28000,5000,14000,614000,-149000,147000,-597000,-413000,-233000,96000
97,Net Change In Cash,- -,- -,1300000,-1291000,-3107000,656000,-867000,2468000,-1386000,301000,959000,-1451000,7009000,24882000,-2065000,19364000,-48026000,30631000,-11043000,-12052000,4830000,-3158000,6991000,13761000,-18620000
98,Cash at the End of Period,- -,- -,5300000,3989000,882000,1538000,671000,3139000,1753000,2054000,3013000,1562000,8571000,33453000,31388000,50752000,2726000,33357000,22314000,10262000,15092000,11934000,18925000,32686000,14066000
99,Cash at the Beginning of Period,800000,2500000,4000000,5280000,3989000,882000,1538000,671000,3139000,1753000,2054000,3013000,1562000,8571000,33453000,31388000,50752000,2726000,33357000,22314000,10262000,15092000,11934000,18925000,32686000
100,Free Cash Flow,3600000,-12300000,-1900000,-1175000,-2298000,1817000,-8647000,5872000,-7872000,576000,-4606000,-17818000,15632000,23904000,-19008000,7495000,-98820000,34139000,-17531000,-4064000,8459000,-18635000,-30377000,9719000,-12481000
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1001115/000089924302003199/0000899243-02-003199-index.html,https://www.sec.gov/Archives/edgar/data/1001115/000119312503088882/0001193125-03-088882-index.htm,https://www.sec.gov/Archives/edgar/data/1001115/000119312504208792/0001193125-04-208792-index.htm,https://www.sec.gov/Archives/edgar/data/1001115/000119312505247590/0001193125-05-247590-index.htm,https://www.sec.gov/Archives/edgar/data/1001115/000119312506248755/0001193125-06-248755-index.htm,https://www.sec.gov/Archives/edgar/data/1001115/000119312507261344/0001193125-07-261344-index.htm,https://www.sec.gov/Archives/edgar/data/1001115/000119312508247886/0001193125-08-247886-index.htm,https://www.sec.gov/Archives/edgar/data/1001115/000119312509251202/0001193125-09-251202-index.htm,https://www.sec.gov/Archives/edgar/data/1001115/000119312510277978/0001193125-10-277978-index.htm,https://www.sec.gov/Archives/edgar/data/1001115/000119312511336346/0001193125-11-336346-index.htm,https://www.sec.gov/Archives/edgar/data/1001115/000119312512499442/0001193125-12-499442-index.htm,https://www.sec.gov/Archives/edgar/data/1001115/000156459013001356/0001564590-13-001356-index.htm,https://www.sec.gov/Archives/edgar/data/1001115/000156459014005894/0001564590-14-005894-index.htm,https://www.sec.gov/Archives/edgar/data/1001115/000156459015010914/0001564590-15-010914-index.htm,https://www.sec.gov/Archives/edgar/data/1001115/000156459016029427/0001564590-16-029427-index.htm,https://www.sec.gov/Archives/edgar/data/1001115/000156459017024421/0001564590-17-024421-index.htm,https://www.sec.gov/Archives/edgar/data/1001115/000156459018029718/0001564590-18-029718-index.htm,https://www.sec.gov/Archives/edgar/data/1001115/000156459019044161/0001564590-19-044161-index.htm,https://www.sec.gov/Archives/edgar/data/1001115/000156459020054742/0001564590-20-054742-index.htm,https://www.sec.gov/Archives/edgar/data/1001115/000156459021057727/0001564590-21-057727-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
