,https://roic.ai/company/AMG,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,-1200000,3000000,42585000,128907000,95608000,83314000,93238000,101832000,129093000,189652000,237887000,288827000,44105000,240919000,378851000,452700000,495200000,863700000,1013500000,1090600000,974600000,1067100000,713600000,308000000,508400000,1141100000
21,Income Before Tax Ratio,-0.0238,0.0315,0.1786,0.2485,0.2084,0.2041,0.1932,0.2057,0.1956,0.2069,0.2033,0.2108,0.0381,0.2862,0.2789,0.2655,0.2743,0.3946,0.4036,0.4390,0.4441,0.4630,0.3000,0.1375,0.2508,0.4730
22,Income Tax expense (Gain),200000,1400000,17034000,56719000,38952000,33325000,37296000,41304000,51946000,70583000,86610000,106866000,20935000,28003000,91523000,93100000,83800000,194100000,227900000,256900000,235600000,58400000,181300000,2900000,81400000,251000000
23,Net Income,-2400000,-8400000,25551000,72188000,56656000,49989000,55942000,60528000,77147000,119069000,151277000,181961000,23170000,59473000,138633000,164900000,174000000,360500000,452100000,516000000,472800000,689500000,243600000,15700000,202200000,565700000
24,Net Income ratio,-0.0476,-0.0881,0.1071,0.1392,0.1235,0.1225,0.1159,0.1223,0.1169,0.1299,0.1293,0.1328,0.0200,0.0706,0.1021,0.0967,0.0964,0.1647,0.1801,0.2077,0.2154,0.2991,0.1024,0.0070,0.0997,0.2345
25,EPS,-0.16,-2.46,0.97,2.17,1.69,1.51,1.69,1.90,2.57,3.54,4.83,6.18,0.61,1.44,2.92,3.18,3.36,6.79,8.22,9.49,8.73,12.30,4.55,0.31,4.34,12.17
26,EPS Diluted,-0.16,-2.46,0.89,2.12,1.66,1.47,1.65,1.85,2.02,2.81,3.74,4.58,0.57,1.38,2.81,3.11,3.28,6.55,8.01,9.28,8.57,12.03,4.52,0.31,4.33,12.11
27,Weighted Average Shares Outstanding,14992504,14055472,26374350,33270168,33461214,33204615,33029223,31867989,29994560,33667542,31289005,29464764,38211326,41385359,47428846,51800000,51700000,53100000,55000000,54300000,54200000,56000000,53600000,50500000,46500000,46500000
28,Weighted Average Shares Outstanding Diluted,14992504,14055472,28834246,34039524,34122892,34098193,33865849,32706777,39644676,44689655,45159002,44921784,40872656,43333355,49398535,53000000,53000000,56700000,58400000,57200000,57000000,58600000,53800000,50600000,46700000,46700000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1004434/000104746999012958/0001047469-99-012958-index.html,https://www.sec.gov/Archives/edgar/data/1004434/000091205700015163/0000912057-00-015163-index.html,https://www.sec.gov/Archives/edgar/data/1004434/000091205701506196/0000912057-01-506196-index.html,https://www.sec.gov/Archives/edgar/data/1004434/000091205702012931/0000912057-02-012931-index.html,https://www.sec.gov/Archives/edgar/data/1004434/000104746903011288/0001047469-03-011288-index.html,https://www.sec.gov/Archives/edgar/data/1004434/000104746904008009/0001047469-04-008009-index.html,https://www.sec.gov/Archives/edgar/data/1004434/000104746905006812/0001047469-05-006812-index.html,https://www.sec.gov/Archives/edgar/data/1004434/000104746906003533/a2168119z10-k.htm,https://www.sec.gov/Archives/edgar/data/1004434/000110465907015471/0001104659-07-015471-index.html,https://www.sec.gov/Archives/edgar/data/1004434/000104746908002079/a2183035z10-k.htm,https://www.sec.gov/Archives/edgar/data/1004434/000104746909002123/0001047469-09-002123-index.html,https://www.sec.gov/Archives/edgar/data/1004434/000104746910001655/0001047469-10-001655-index.html,https://www.sec.gov/Archives/edgar/data/1004434/000104746911001624/a2202148z10-k.htm,https://www.sec.gov/Archives/edgar/data/1004434/000104746912001372/0001047469-12-001372-index.html,https://www.sec.gov/Archives/edgar/data/1004434/000104746913001515/0001047469-13-001515-index.html,https://www.sec.gov/Archives/edgar/data/1004434/000100443414000006/amg_10-kx12312013.htm,https://www.sec.gov/Archives/edgar/data/1004434/000100443415000003/amg_10-kx12312014.htm,https://www.sec.gov/Archives/edgar/data/1004434/000100443416000035/0001004434-16-000035-index.html,https://www.sec.gov/Archives/edgar/data/1004434/000100443417000004/0001004434-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/1004434/000100443418000004/0001004434-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/1004434/000100443419000008/0001004434-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/1004434/000100443420000011/0001004434-20-000011-index.html,https://www.sec.gov/Archives/edgar/data/1004434/000100443421000014/0001004434-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1004434/000100443422000017/0001004434-22-000017-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,6800000,22800000,23735000,53879000,31612000,73427000,27708000,253334000,140277000,140423000,201729000,222954000,396431000,259487000,313328000,449500000,430400000,469600000,550600000,563800000,430800000,439500000,565500000,539600000,1039700000,908500000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,21173000,- -,123866000,155894000,79188000,150499000,115965000,100400000,128900000,157900000,172600000,199900000,122400000,77800000,119300000,59400000,74900000,78500000
33,Cash and Short-Term Investments,6800000,22800000,23735000,53879000,31612000,73427000,27708000,253334000,161450000,140423000,325595000,378848000,475619000,409986000,429293000,549900000,559300000,627500000,723200000,763700000,553200000,517300000,684800000,599000000,1114600000,987000000
34,Net Receivables,15500000,27100000,66939000,239383000,66126000,57148000,50798000,65288000,91487000,148850000,201385000,237636000,131099000,140118000,278382000,249400000,295600000,418400000,425900000,391200000,383300000,433800000,400600000,417100000,421600000,419200000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,800000,2200000,5137000,6705000,15448000,9464000,11009000,20861000,24795000,48529000,27299000,33273000,34603000,35478000,61755000,77100000,57400000,- -,- -,- -,- -,- -,- -,- -,- -,- -
37,Total Current Assets,23100000,52100000,95811000,299967000,113186000,140039000,89515000,339483000,277732000,337802000,554279000,649757000,641321000,585582000,769430000,876400000,912300000,1045900000,1149100000,1154900000,936500000,951100000,1085400000,1016100000,1536200000,1406200000
38,PP&E,3000000,4700000,8001000,12321000,15346000,17802000,19228000,36886000,40953000,50592000,63984000,69879000,71845000,62402000,67725000,69100000,81500000,92300000,95400000,114100000,110100000,111000000,104300000,92300000,79600000,73900000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1177227000,1230387000,1243583000,1413217000,2131143000,2117300000,2355200000,2341700000,2652800000,2668400000,2628100000,2662500000,2633400000,2651700000,2661400000,2689200000
40,Intangible Assets,40800000,249700000,321409000,385382000,444116000,655311000,739053000,751607000,888567000,1093249000,502066000,496602000,491408000,571573000,1424165000,1321100000,1585500000,1460700000,1778400000,1686400000,1497400000,1449700000,1309900000,1182000000,1048800000,1966400000
41,Intangible Assets,40800000,249700000,321409000,385382000,444116000,655311000,739053000,751607000,888567000,1093249000,1679293000,1726989000,1734991000,1984790000,3555308000,3438400000,3940700000,3802400000,4431200000,4354800000,4125500000,4112200000,3943300000,3833700000,3710200000,4655600000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,658332000,678931000,615800000,1031300000,1287600000,1950700000,2086400000,3515800000,3469700000,2992100000,2407400000,2332000000,2509600000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,423000000,- -
44,Other Non-Current Assets,34400000,150500000,180113000,211403000,221082000,347169000,395198000,391229000,726169000,839993000,368364000,949080000,798213000,99800000,219821000,219200000,221300000,90600000,71700000,74600000,61200000,58100000,94000000,304000000,-192100000,231100000
45,Total Non-Current Assets,78200000,404900000,509523000,609106000,680544000,1020282000,1153479000,1179722000,1655689000,1983834000,2111641000,2745948000,2605049000,2805324000,4521785000,4342500000,5274800000,5272900000,6549000000,6629900000,7812600000,7751000000,7133700000,6637400000,6352700000,7470200000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1117000000,- -
47,Total Assets,101300000,457000000,605334000,909073000,793730000,1160321000,1242994000,1519205000,1933421000,2321636000,2665920000,3395705000,3246370000,3390906000,5291215000,5218900000,6187100000,6318800000,7698100000,7784800000,8749100000,8702100000,8219100000,7653500000,7888900000,8876400000
48,Accounts Payable,400000,18800000,42617000,170299000,86800000,67136000,81404000,3528000,114350000,8800000,9359000,4971000,8909000,5128000,39782000,90100000,59500000,23500000,816800000,729400000,729300000,807200000,746600000,- -,- -,- -
49,Short-Term Debt,7400000,- -,22000000,- -,- -,252894000,12348000,11744000,17728000,65750000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,449700000,2312000000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,73000000,59800000,67900000,87700000,93000000,42900000,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,1309000,- -,886000,953000,1487000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,15800000,- -,- -,- -,- -,- -,- -,84870000,- -,181152000,277501000,309894000,203663000,221987000,367675000,327500000,316300000,491200000,-8500000,- -,- -,- -,- -,634600000,-1599600000,789100000
53,Total Current Liabilities,23600000,18800000,64617000,170299000,86800000,320030000,93752000,101451000,132078000,256588000,287813000,316352000,212572000,227115000,407457000,417600000,375800000,514700000,808300000,729400000,729300000,807200000,746600000,1084300000,712400000,789100000
54,Long-Term Debt,33400000,159500000,191300000,175300000,151800000,200000000,459023000,423340000,850708000,599732000,1078858000,1197583000,740660000,456976000,882118000,685600000,1115100000,1383700000,1894900000,1894800000,2109600000,1854700000,1829600000,1344100000,2312100000,2490400000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,25346000,31907000,38081000,61658000,92707000,124168000,182623000,218584000,257022000,228429000,322671000,495349000,506000000,497100000,456900000,491700000,565700000,660800000,467400000,511600000,450200000,423400000,503200000
57,Other Non-Current Liabilities,3800000,2500000,11614000,1346000,2636000,23795000,26202000,246144000,31397000,320149000,311209000,833516000,761234000,902423000,717697000,658300000,1157700000,818900000,860000000,825800000,822900000,994300000,996400000,1275800000,1123700000,1383100000
58,Total Non-Current Liabilities,37200000,162000000,202914000,201992000,186343000,261876000,546883000,762191000,1006273000,1102504000,1608651000,2288121000,1730323000,1682070000,2095164000,1849900000,2769900000,2659500000,3246600000,3286300000,3593300000,3316400000,3337600000,3070100000,3859200000,4376700000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,60800000,180800000,267531000,372291000,273143000,581906000,640635000,863642000,1138351000,1359092000,1896464000,2604473000,1942895000,1909185000,2502621000,2267500000,3145700000,3174200000,4054900000,4015700000,4322600000,4123600000,4084200000,4154400000,4571600000,5165800000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,177000,235000,235000,235000,235000,235000,387000,390000,390000,390000,458000,458000,539000,500000,500000,500000,600000,600000,600000,600000,600000,600000,600000,600000
64,Retained Earnings,-5500000,-13900000,11669000,83857000,140513000,190502000,246444000,306972000,384119000,503188000,654465000,836426000,859596000,873137000,1011770000,1176700000,1350700000,1711200000,2163300000,2679300000,3054400000,3698500000,3876800000,3819800000,4005500000,4569500000
65,Other Comprehensive Income/Loss,-2000000,-7400000,-10030000,-12259000,-15482000,-21171000,-244000,944000,1537000,16756000,14666000,64737000,-4081000,45958000,100464000,50000000,79100000,74000000,31800000,-18100000,-122900000,-21800000,-109000000,-108800000,-98300000,-87900000
66,Other Total Stockholders Equity,48000000,297500000,335987000,464949000,395321000,408849000,325426000,306618000,321649000,297047000,-170299000,-432351000,236587000,190137000,687190000,638800000,653900000,348500000,431300000,175300000,687500000,144900000,-311000000,-774100000,-1128100000,- -
67,Total Stockholders Equity,40500000,276200000,337803000,536782000,520587000,578415000,571861000,614769000,707692000,817381000,499222000,469202000,1092560000,1109690000,1799963000,1866000000,2084200000,2134200000,2627000000,2837100000,3619600000,3822200000,3457400000,2937500000,2779700000,2786400000
68,Total Liabilities And Stockholders Equity,101300000,457000000,605334000,909073000,793730000,1160321000,1212496000,1478411000,1846043000,2176473000,2395686000,3073675000,3035455000,3018875000,4302584000,4133500000,5229900000,5308400000,6681900000,6852800000,7942200000,7945800000,7541600000,7091900000,7351300000,7952200000
69,Minority Interest,- -,- -,- -,- -,- -,- -,30498000,40794000,87378000,145163000,270234000,322030000,210915000,372031000,988631000,1085400000,957200000,1010400000,1016200000,932000000,806900000,756300000,677500000,561600000,537600000,924200000
70,Total Liabilities & Equity,101300000,457000000,605334000,909073000,793730000,1160321000,1242994000,1519205000,1933421000,2321636000,2665920000,3395705000,3246370000,3390906000,5291215000,5218900000,6187100000,6318800000,7698100000,7784800000,8749100000,8702100000,8219100000,7653500000,7888900000,8876400000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1004434/000104746999012958/0001047469-99-012958-index.html,https://www.sec.gov/Archives/edgar/data/1004434/000091205700015163/0000912057-00-015163-index.html,https://www.sec.gov/Archives/edgar/data/1004434/000091205701506196/0000912057-01-506196-index.html,https://www.sec.gov/Archives/edgar/data/1004434/000091205702012931/0000912057-02-012931-index.html,https://www.sec.gov/Archives/edgar/data/1004434/000104746903011288/0001047469-03-011288-index.html,https://www.sec.gov/Archives/edgar/data/1004434/000104746904008009/0001047469-04-008009-index.html,https://www.sec.gov/Archives/edgar/data/1004434/000104746905006812/0001047469-05-006812-index.html,https://www.sec.gov/Archives/edgar/data/1004434/000104746906003533/a2168119z10-k.htm,https://www.sec.gov/Archives/edgar/data/1004434/000110465907015471/0001104659-07-015471-index.html,https://www.sec.gov/Archives/edgar/data/1004434/000104746908002079/a2183035z10-k.htm,https://www.sec.gov/Archives/edgar/data/1004434/000104746909002123/0001047469-09-002123-index.html,https://www.sec.gov/Archives/edgar/data/1004434/000104746910001655/0001047469-10-001655-index.html,https://www.sec.gov/Archives/edgar/data/1004434/000104746911001624/a2202148z10-k.htm,https://www.sec.gov/Archives/edgar/data/1004434/000104746912001372/0001047469-12-001372-index.html,https://www.sec.gov/Archives/edgar/data/1004434/000104746913001515/0001047469-13-001515-index.html,https://www.sec.gov/Archives/edgar/data/1004434/000100443414000006/amg_10-kx12312013.htm,https://www.sec.gov/Archives/edgar/data/1004434/000100443415000003/amg_10-kx12312014.htm,https://www.sec.gov/Archives/edgar/data/1004434/000100443416000035/0001004434-16-000035-index.html,https://www.sec.gov/Archives/edgar/data/1004434/000100443417000004/0001004434-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/1004434/000100443418000004/0001004434-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/1004434/000100443419000008/0001004434-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/1004434/000100443420000011/0001004434-20-000011-index.html,https://www.sec.gov/Archives/edgar/data/1004434/000100443421000014/0001004434-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1004434/000100443422000017/0001004434-22-000017-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-2400000,-8400000,25551000,72188000,56656000,49989000,55942000,60528000,77147000,119069000,151277000,181961000,23170000,59473000,138633000,164900000,174000000,360500000,452100000,516000000,472800000,689500000,243600000,15700000,202200000,565700000
74,Depreciation and Amortization,9000000,8600000,20124000,26130000,31020000,38463000,23958000,25693000,28349000,34920000,39003000,45347000,51347000,45684000,74142000,112700000,214100000,142200000,139100000,134200000,129700000,106700000,136800000,165800000,159600000,52300000
75,Deferred Income Tax,-200000,- -,10410000,14936000,6561000,5731000,23234000,31049000,31616000,31688000,31343000,32232000,-30823000,28704000,35420000,1100000,14600000,27700000,62800000,94700000,59300000,-123600000,51900000,-55800000,26800000,91200000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19530000,30300000,47600000,84100000,113700000,102700000,80400000,90400000,101100000,90400000,119200000,126700000
77,Change in Working Capital,-4200000,33800000,-2106000,98474000,-103282000,-206377000,175754000,242269000,-92378000,-64440000,185252000,66939000,95344000,-70282000,3506000,96827000,77700000,-5300000,-190400000,84700000,-218300000,-63300000,194900000,-407000000,892000000,120000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-49195000,22500000,-34800000,-101800000,26500000,56100000,58200000,-53500000,14400000,- -,1100000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2700000,141100000,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,-500000,33300000,31194000,129668000,26386000,-179991000,-4237000,238032000,145654000,81214000,266466000,333405000,428749000,358467000,361973000,458800000,536500000,531200000,340800000,425500000,207200000,143900000,338800000,-68200000,823800000,- -
82,Other Non-Cash Items,4000000,-17800000,-8555000,-122609000,162756000,208368000,-151588000,-243024000,133152000,82841000,-105872000,175000,116638000,179631000,209468000,302673000,105200000,347900000,814900000,272500000,503700000,470700000,412300000,1120000000,-390500000,303300000
83,Cash Provided by Operating Activities,6200000,16200000,45424000,89119000,153711000,96174000,127300000,116515000,177886000,204078000,301003000,326654000,255676000,243210000,480699000,708500000,633200000,957100000,1392200000,1204800000,1027600000,1170400000,1140600000,929100000,1009300000,1259200000
84,CAPEX,-900000,-1600000,-4313000,-6050000,-6235000,-7230000,-6151000,-23889000,-6977000,-14523000,-21510000,-16821000,-9554000,-2566000,-8762000,-16100000,-20000000,-24000000,-19200000,-38200000,-20200000,-18500000,-18700000,-9600000,-8500000,-8400000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-139271000,-916143000,- -,-797400000,-26300000,-1245000000,-297700000,-1361300000,-30600000,-7300000,-44600000,-44500000,-558200000
86,Purchases of Investments,-25600000,-325900000,-66102000,- -,-104010000,-335968000,-136499000,-20927000,-511184000,-6393000,-152784000,-570331000,-205013000,-47733000,-63967000,-62500000,-19100000,-11400000,-21200000,-13500000,-16000000,-37200000,-40800000,-43100000,-47700000,-73500000
87,Sales/Maturities of Investments,600000,200000,- -,- -,- -,- -,- -,- -,39955000,24062000,9215000,6397000,25156000,8069000,15073000,10900000,34200000,11400000,17300000,24900000,65300000,100100000,48600000,72900000,47000000,56400000
88,Other Investing Activites,-3300000,- -,-2250000,-106889000,-1485000,-476000,3733000,-14000,-60000,-85175000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-29200000,-327300000,-72665000,-112939000,-111730000,-343674000,-138917000,-44830000,-478266000,-82029000,-165079000,-580755000,-189411000,-181501000,-973799000,-67700000,-802300000,-50300000,-1268100000,-324500000,-1332200000,13800000,-18200000,-24400000,-53700000,-583700000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-375514000,-760336000,-642500000,-555000000,-1201300000,-1020600000,-1256000000,-1125000000,-805000000,-1180600000,-510000000,-350000000,-33000000
91,Common Stock Issued,- -,218200000,- -,101536000,- -,- -,- -,11375000,210232000,28892000,52765000,553324000,238814000,37125000,46376000,27200000,73400000,48200000,41400000,57800000,465800000,41900000,9700000,- -,- -,117700000
92,Common Stock Repurchased,- -,-60000000,-2612000,-9322000,-48858000,-9113000,-30432000,-33688000,-194420000,-82317000,-536478000,-435997000,-65490000,- -,-135775000,-74400000,-60900000,-15700000,-190800000,-413700000,-33400000,-393200000,-505800000,-356100000,-335100000,-745800000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-119555000,-101049000,-172900000,- -,- -,- -,- -,- -,-44900000,-64400000,-65300000,-16800000,-1700000
94,Other Financing Activites,15700000,168900000,30775000,-38179000,-15103000,298380000,-3720000,176010000,199431000,-68842000,408631000,155221000,-63577000,255678000,1495828000,358800000,688700000,299700000,1137100000,757800000,893500000,11500000,758000000,-3300000,246500000,-135500000
95,Cash Used/Provided by Financing Activities,15700000,327100000,28163000,54035000,-63961000,289267000,-34152000,153697000,215243000,-122267000,-75082000,272548000,109747000,-202266000,545044000,-503800000,146200000,-869100000,-32900000,-854100000,200900000,-1189700000,-983100000,-934700000,-455400000,-798300000
96,Effect of Forex Changes on Cash,- -,- -,47000,-71000,-287000,48000,50000,244000,1132000,364000,464000,2778000,-2535000,3613000,1897000,-800000,3800000,1500000,-10200000,-13000000,-27200000,14200000,-10100000,8700000,2100000,-800000
97,Net Change In Cash,15700000,327100000,969000,30144000,-22267000,41815000,-45719000,225626000,-84005000,146000,61306000,21225000,173477000,-136944000,53841000,136200000,-19100000,39200000,81000000,13200000,-133000000,8700000,126000000,-25900000,500100000,-131200000
98,Cash at the End of Period,- -,- -,23735000,53879000,31612000,73427000,27708000,253334000,140277000,140423000,201729000,222954000,396431000,259487000,313328000,449500000,430400000,469600000,550600000,563800000,430800000,439500000,565500000,539600000,1039700000,908500000
99,Cash at the Beginning of Period,14100000,6800000,22766000,23735000,53879000,31612000,73427000,27708000,224282000,140277000,140423000,201729000,222954000,396431000,259487000,313300000,449500000,430400000,469600000,550600000,563800000,430800000,439500000,565500000,539600000,1039700000
100,Free Cash Flow,5300000,14600000,41111000,83069000,147476000,88944000,121149000,92626000,170909000,189555000,279493000,309833000,246122000,240644000,471937000,692400000,613200000,933100000,1373000000,1166600000,1007400000,1151900000,1121900000,919500000,1000800000,1250800000
