,https://roic.ai/company/PZZA,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
14,Depreciation and Amortization,700000,1900000,5300000,8700000,14300000,20500000,19900000,25200000,34172000,35176000,31741000,31059000,31159000,28750000,27208000,31866000,32846000,32756000,32407000,32681000,32798000,35105000,39965000,40307000,40987000,43668000,46403000,47281000,49705000,48816000
15,EBITDA,4700000,8400000,16700000,26400000,43800000,59900000,74500000,100900000,93504000,119872000,114297000,91895000,73604000,104530000,127234000,91342000,97182000,121155000,117201000,115766000,129053000,138718000,153915000,158848000,200921000,192479000,76829000,72129000,139407000,214030000
16,EBITDA ratio,0.0959,0.0942,0.1034,0.1042,0.1216,0.1162,0.1092,0.1253,0.0990,0.1229,0.1208,0.1021,0.0795,0.1079,0.1270,0.0859,0.0863,0.1123,0.1040,0.0951,0.0961,0.0964,0.0963,0.0970,0.1172,0.1079,0.0462,0.0445,0.0769,0.1035
17,Operating Income,3100000,6000000,10000000,15900000,25700000,39200000,55500000,72300000,84669000,82783000,81427000,60540000,41777000,72700000,97955000,52047000,63464000,95279000,86744000,87017000,99807000,106503000,117630000,136307000,164523000,151017000,30380000,24535000,90253000,168241000
18,Operating Income ratio,0.0633,0.0673,0.0619,0.0627,0.0714,0.0760,0.0814,0.0898,0.0896,0.0849,0.0861,0.0673,0.0451,0.0750,0.0978,0.0489,0.0563,0.0883,0.0770,0.0714,0.0743,0.0740,0.0736,0.0832,0.0960,0.0847,0.0183,0.0152,0.0498,0.0813
19,Total Other Income Expenses (Gains),800000,500000,1400000,1800000,3800000,100000,1600000,3400000,-33083000,-6883000,-6527000,-11340000,-9677000,-3100000,-1798000,-4947000,-4664000,-11079000,-3444000,-2217000,-1407000,-403000,-3375000,-17160000,-5714000,-10675000,-23683000,-19489000,-14891000,-17293000
20,Income Before Tax,3900000,6500000,11400000,17700000,29500000,39300000,57100000,75700000,51586000,75900000,74900000,49200000,32100000,69600000,96157000,47100000,58800000,84200000,83300000,84800000,98400000,106100000,114255000,119147000,158809000,140342000,6697000,5046000,75362000,150948000
21,Income Before Tax Ratio,0.0796,0.0729,0.0706,0.0699,0.0819,0.0762,0.0837,0.0940,0.0546,0.0778,0.0792,0.0547,0.0347,0.0718,0.0960,0.0443,0.0522,0.0781,0.0740,0.0696,0.0733,0.0737,0.0715,0.0728,0.0927,0.0787,0.0040,0.0031,0.0416,0.0730
22,Income Tax expense (Gain),1400000,2400000,4200000,6500000,10900000,15800000,22200000,28400000,19762000,28639000,28079000,20385000,13932000,25364000,33171000,13293000,20000000,28985000,26856000,26888000,32393000,33130000,36558000,37183000,49717000,33817000,2646000,-611000,14748000,25993000
23,Net Income,2500000,4100000,7200000,11200000,18600000,23600000,32400000,47300000,31824000,47200000,46800000,33600000,23200000,46100000,63375000,32700000,36800000,53700000,52600000,54700000,61700000,69500000,73315000,75682000,102820000,103711000,2474000,4866000,57932000,120016000
24,Net Income ratio,0.0510,0.0460,0.0446,0.0442,0.0517,0.0458,0.0475,0.0587,0.0337,0.0484,0.0495,0.0373,0.0251,0.0476,0.0633,0.0307,0.0327,0.0498,0.0467,0.0449,0.0460,0.0483,0.0459,0.0462,0.0600,0.0582,0.0015,0.0030,0.0319,0.0580
25,EPS,0.03,0.05,0.08,0.11,0.17,0.23,0.30,0.39,0.32,0.52,0.58,0.47,0.34,0.69,0.98,0.55,0.66,1.03,0.98,1.11,1.31,1.58,1.78,1.91,2.76,2.86,0.05,-0.24,1.29,0.12
26,EPS Diluted,0.03,0.05,0.07,0.11,0.17,0.23,0.29,0.38,0.32,0.52,0.58,0.47,0.33,0.67,0.96,0.55,0.65,1.03,0.98,1.10,1.29,1.55,1.75,1.89,2.74,2.83,0.05,-0.24,1.28,0.12
27,Weighted Average Shares Outstanding,76923077,82000000,92903226,99555556,112040000,115664000,117636000,120780000,98812000,90400000,80272000,71752000,68828000,67188000,64624000,59332000,56248000,55476000,52656000,50086000,46916000,43387000,40960000,39458000,37253000,36083000,32083000,31632000,32421000,35007000
28,Weighted Average Shares Outstanding Diluted,76923077,82000000,96000000,101818182,112888889,118368000,121308000,124320000,99628000,91012000,81200000,72148000,69620000,68632000,66092000,60034000,56528000,55818000,52936000,50620000,47810000,44243000,41718000,40000000,37608000,36522000,32299000,31632000,32717000,35337000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/901491/000110465902000966/j3064_10k405.htm,https://www.sec.gov/Archives/edgar/data/901491/000110465903005096/j8534_10k.htm,https://www.sec.gov/Archives/edgar/data/901491/000110465904006887/a04-3186_110k.htm,https://www.sec.gov/Archives/edgar/data/901491/000110465905010419/a05-1808_110k.htm,https://www.sec.gov/Archives/edgar/data/901491/000110465906012747/a06-1949_110k.htm,https://www.sec.gov/Archives/edgar/data/901491/000110465907014525/a07-5512_110k.htm,https://www.sec.gov/Archives/edgar/data/901491/000110465908012935/a08-2541_110k.htm,https://www.sec.gov/Archives/edgar/data/901491/000110465909011825/0001104659-09-011825-index.html,https://www.sec.gov/Archives/edgar/data/901491/000110465910008891/0001104659-10-008891-index.html,https://www.sec.gov/Archives/edgar/data/901491/000115752311001056/a6617241.htm,https://www.sec.gov/Archives/edgar/data/901491/000115752312000927/0001157523-12-000927-index.html,https://www.sec.gov/Archives/edgar/data/901491/000115752313001150/0001157523-13-001150-index.html,https://www.sec.gov/Archives/edgar/data/901491/000110465914013226/a14-3257_110k.htm,https://www.sec.gov/Archives/edgar/data/901491/000110465915013526/a14-26536_110k.htm,https://www.sec.gov/Archives/edgar/data/901491/000110465916099249/0001104659-16-099249-index.html,https://www.sec.gov/Archives/edgar/data/901491/000155837017000721/0001558370-17-000721-index.html,https://www.sec.gov/Archives/edgar/data/901491/000155837018001176/0001558370-18-001176-index.html,https://www.sec.gov/Archives/edgar/data/901491/000155837019001722/0001558370-19-001722-index.html,https://www.sec.gov/Archives/edgar/data/901491/000155837020001393/0001558370-20-001393-index.html,https://www.sec.gov/Archives/edgar/data/901491/000155837021001725/0001558370-21-001725-index.htm,https://www.sec.gov/Archives/edgar/data/901491/000155837022001836/0001558370-22-001836-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,400000,800000,12800000,19900000,24100000,18700000,33800000,3700000,6141000,17600000,9500000,7100000,14700000,22100000,12979000,8900000,11000000,25500000,47800000,18900000,16400000,13700000,20122000,21006000,15563000,22345000,33258000,27911000,130204000,70610000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,5745000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,400000,800000,12800000,19900000,24100000,18700000,33800000,3700000,11886000,17600000,9500000,7100000,14700000,22100000,12979000,8900000,11000000,25500000,47800000,18900000,16400000,13700000,20122000,21006000,15563000,22345000,33258000,27911000,130204000,70610000
34,Net Receivables,1300000,3600000,5700000,10200000,13100000,15100000,17400000,21400000,23064000,23200000,16800000,19700000,26500000,21300000,23326000,22500000,23800000,22100000,30100000,32400000,49200000,56800000,71680000,71408000,65480000,72880000,99762000,92735000,102726000,103108000
35,Inventory,1200000,1400000,2500000,5200000,6800000,9100000,9800000,10600000,18321000,12700000,16300000,17000000,22900000,26000000,26729000,18800000,16900000,15600000,17400000,20100000,22200000,23000000,27394000,21564000,25132000,30620000,27203000,27529000,30265000,34981000
36,Other Current Assets,200000,1300000,1900000,3000000,4200000,6300000,7000000,10400000,12244000,11600000,16200000,18700000,25000000,22600000,21509000,23500000,23600000,20800000,24200000,23400000,30800000,31500000,28564000,38612000,39400000,44149000,36054000,33371000,43212000,46310000
37,Total Current Assets,3100000,7100000,22900000,38300000,48200000,49200000,68000000,46100000,65515000,65100000,58800000,62500000,89100000,92000000,84543000,73700000,75300000,84000000,119500000,94800000,118600000,125000000,147760000,152590000,145575000,169994000,196277000,181546000,306407000,255009000
38,PP&E,4200000,10400000,27900000,56700000,80700000,112600000,172900000,227800000,245874000,238900000,223600000,203800000,196800000,178400000,197722000,199000000,190000000,188000000,185400000,181900000,196700000,212100000,219457000,214044000,230473000,234331000,226894000,369353000,365845000,421019000
39,Goodwill,- -,- -,- -,- -,- -,- -,9400000,47700000,- -,48300000,48800000,48600000,42600000,41900000,67357000,86500000,76900000,75100000,74700000,75100000,79000000,79400000,82007000,79657000,85529000,86892000,84516000,80340000,80791000,80632000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,49394000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,9400000,47700000,49394000,48300000,48800000,48600000,42600000,41900000,67357000,86500000,76900000,75100000,74700000,75100000,79000000,79400000,82007000,79657000,85529000,86892000,84516000,80340000,80791000,80632000
42,Investments,- -,- -,- -,- -,65100000,57900000,47400000,22100000,- -,3400000,- -,- -,- -,- -,- -,- -,530000,1382000,1604000,1704000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,3300000,4000000,5100000,2100000,- -,3500000,2400000,7900000,- -,- -,1643000,- -,- -,- -,- -,6700000,10700000,14700000,13940000,4610000,10047000,585000,7852000,2649000,10800000,5156000
44,Other Non-Current Assets,400000,10300000,25400000,33800000,14800000,29500000,16900000,26300000,34875000,28200000,33200000,24400000,46000000,38300000,28374000,42600000,43770000,45218000,36296000,30196000,33400000,33100000,41391000,43157000,40941000,63751000,80358000,96833000,108927000,123888000
45,Total Non-Current Assets,4600000,20700000,53300000,90500000,163900000,204000000,251700000,326000000,330143000,322300000,308000000,284700000,285400000,258600000,295096000,328100000,311200000,309700000,298000000,295600000,319800000,339300000,356795000,341468000,366990000,385559000,399620000,549175000,566363000,630695000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,7700000,27800000,76200000,128800000,212100000,253200000,319700000,372100000,395658000,387400000,366800000,347200000,374500000,350600000,379639000,401800000,386500000,393700000,417500000,390400000,438400000,464300000,504555000,494058000,512565000,555553000,595897000,730721000,872770000,885704000
48,Accounts Payable,2000000,4800000,6800000,9400000,13100000,15100000,18400000,24900000,23586000,23800000,24900000,28300000,35900000,28900000,29202000,31200000,29100000,27000000,31600000,33000000,32600000,35700000,38832000,43492000,42701000,32006000,27106000,29141000,37370000,28092000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,897000,- -,- -,- -,- -,- -,525000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20000000,- -,- -,47083000,27520000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6140000,3969000,10429000,4401000,9637000,8527000,8540000,- -,6590000,7599000,10263000,19996000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,2639000,3875000,7050000,7624000,7085000,- -,7147000,7102000,8408000,9647000,7636000,10279000,8004000,8248000,2415000,769000,4276000,2443000,5624000,19590000,21700000
52,Other Current Liabilities,1500000,2400000,5000000,7500000,9900000,15300000,27100000,43900000,45266000,39961000,47325000,45550000,70176000,65515000,72369000,68853000,63898000,51692000,34953000,40464000,60721000,54196000,59682000,87030000,84560000,76578000,159345000,173180000,184826000,210112000
53,Total Current Liabilities,3500000,7200000,11800000,16900000,23000000,30400000,45500000,68800000,69749000,66400000,76100000,80900000,113700000,101500000,102096000,107200000,100100000,87100000,76200000,81100000,103600000,97900000,106762000,132937000,128030000,132860000,188894000,207945000,288869000,287424000
54,Long-Term Debt,800000,- -,500000,1700000,1700000,1500000,8200000,900000,145710000,105100000,139900000,61000000,78500000,49000000,96511000,134000000,123600000,99100000,112500000,66500000,106500000,175700000,239006000,263509000,308281000,446565000,606590000,360704000,466489000,657982000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6596000,4780000,7329000,5827000,4257000,3190000,3313000,2652000,14679000,14722000,13664000,13846000
56,Deferred Tax Liabilities,- -,- -,- -,1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9647000,9147000,10672000,14660000,22188000,4610000,10047000,12546000,7852000,2649000,948000,258000
57,Other Non-Current Liabilities,1000000,1300000,1300000,2900000,6700000,8600000,11900000,10200000,13878000,20300000,28900000,46000000,43100000,38800000,34864000,33700000,32800000,30700000,16957000,23173000,28799000,32513000,46109000,60631000,66805000,66884000,97120000,225889000,369739000,93154000
58,Total Non-Current Liabilities,1800000,1300000,1800000,5600000,8400000,10100000,20100000,11100000,159588000,125400000,168800000,107000000,121600000,87800000,131375000,167700000,156400000,129800000,145700000,103600000,153300000,228700000,311560000,331940000,388446000,528647000,726241000,603964000,850840000,765240000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,157941000,165280000,204772000
61,Total Liabilities,5300000,8500000,13600000,22500000,31400000,40500000,65600000,79900000,229337000,191800000,244900000,187900000,235300000,189300000,233471000,274900000,256500000,216900000,221900000,184700000,256900000,326600000,418322000,464877000,516476000,661507000,915135000,811909000,1139709000,1052664000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,300000,300000,300000,300000,307000,300000,300000,300000,700000,300000,341000,300000,400000,400000,400000,400000,400000,400000,433000,437000,441000,442000,443000,447000,453000,490000
64,Retained Earnings,2300000,800000,8000000,18800000,35900000,62800000,87500000,134500000,166316000,213600000,260400000,293900000,317100000,200000,63614000,97000000,133800000,191200000,240100000,294800000,356500000,41300000,92876000,143789000,219278000,292251000,242182000,205697000,219158000,183157000
65,Other Comprehensive Income/Loss,-1200000,-2600000,-5900000,-11900000,1000000,300000,1400000,-800000,-83435000,-5800000,-10600000,-6200000,-1200000,-600000,1000000,400000,-4000000,-1000000,1000000,2000000,2000000,2000000,1000000,-2000000,-6000000,-2000000,-3000000,-10000000,-14168000,-9971000
66,Other Total Stockholders Equity,1300000,21100000,60500000,99400000,143400000,149300000,165000000,158100000,83133000,- -,-128153000,-128728000,-177377000,161379000,81213000,29203000,-214000,-13731000,-42806000,-87547000,-177386000,93974000,-8076000,-113045000,-217630000,-412404000,-556984000,-528465000,-487621000,-361346000
67,Total Stockholders Equity,2400000,19300000,62600000,106300000,180600000,212700000,254200000,292100000,166321000,195600000,121947000,159272000,139223000,161279000,146168000,126903000,129986000,176869000,198694000,209653000,181514000,137674000,86233000,29181000,-3911000,-121711000,-317359000,-332321000,-282178000,-187670000
68,Total Liabilities And Stockholders Equity,7700000,27800000,76200000,128800000,212000000,253200000,319800000,372000000,395658000,387400000,366847000,347172000,374523000,350579000,379639000,401803000,386486000,393769000,420594000,394353000,438414000,464274000,504555000,494058000,512565000,539796000,597776000,479588000,857531000,864994000
69,Minority Interest,- -,- -,- -,- -,100000,- -,-100000,100000,- -,- -,-47000,28000,-23000,21000,- -,-3000,14000,-69000,-3094000,-3953000,-14000,26000,- -,- -,- -,15757000,-1879000,251133000,15239000,20710000
70,Total Liabilities & Equity,7700000,27800000,76200000,128800000,212100000,253200000,319700000,372100000,395658000,387400000,366800000,347200000,374500000,350600000,379639000,401800000,386500000,393700000,417500000,390400000,438400000,464300000,504555000,494058000,512565000,555553000,595897000,730721000,872770000,885704000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/901491/000110465902000966/j3064_10k405.htm,https://www.sec.gov/Archives/edgar/data/901491/000110465903005096/j8534_10k.htm,https://www.sec.gov/Archives/edgar/data/901491/000110465904006887/a04-3186_110k.htm,https://www.sec.gov/Archives/edgar/data/901491/000110465905010419/a05-1808_110k.htm,https://www.sec.gov/Archives/edgar/data/901491/000110465906012747/a06-1949_110k.htm,https://www.sec.gov/Archives/edgar/data/901491/000110465907014525/a07-5512_110k.htm,https://www.sec.gov/Archives/edgar/data/901491/000110465908012935/a08-2541_110k.htm,https://www.sec.gov/Archives/edgar/data/901491/000110465909011825/0001104659-09-011825-index.html,https://www.sec.gov/Archives/edgar/data/901491/000110465910008891/0001104659-10-008891-index.html,https://www.sec.gov/Archives/edgar/data/901491/000115752311001056/a6617241.htm,https://www.sec.gov/Archives/edgar/data/901491/000115752312000927/0001157523-12-000927-index.html,https://www.sec.gov/Archives/edgar/data/901491/000115752313001150/0001157523-13-001150-index.html,https://www.sec.gov/Archives/edgar/data/901491/000110465914013226/a14-3257_110k.htm,https://www.sec.gov/Archives/edgar/data/901491/000110465915013526/a14-26536_110k.htm,https://www.sec.gov/Archives/edgar/data/901491/000110465916099249/0001104659-16-099249-index.html,https://www.sec.gov/Archives/edgar/data/901491/000155837017000721/0001558370-17-000721-index.html,https://www.sec.gov/Archives/edgar/data/901491/000155837018001176/0001558370-18-001176-index.html,https://www.sec.gov/Archives/edgar/data/901491/000155837019001722/0001558370-19-001722-index.html,https://www.sec.gov/Archives/edgar/data/901491/000155837020001393/0001558370-20-001393-index.html,https://www.sec.gov/Archives/edgar/data/901491/000155837021001725/0001558370-21-001725-index.htm,https://www.sec.gov/Archives/edgar/data/901491/000155837022001836/0001558370-22-001836-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,2500000,4100000,7200000,11200000,18600000,23600000,32400000,47300000,31824000,47200000,46800000,33600000,23200000,46100000,63375000,32700000,36800000,53700000,52600000,54700000,61700000,69500000,73315000,75682000,102820000,103711000,2474000,4866000,57932000,120016000
74,Depreciation and Amortization,700000,1900000,5300000,8700000,14300000,20500000,19900000,25200000,34172000,35176000,31741000,31059000,31159000,28750000,27208000,31866000,32846000,32756000,32407000,32681000,32798000,35105000,39965000,40307000,40987000,43668000,46403000,47281000,49705000,48816000
75,Deferred Income Tax,- -,-100000,- -,1200000,2000000,500000,-1400000,1800000,-5609000,8414000,-1018000,1037000,-16280000,4385000,3191000,-10779000,-3608000,7469000,4553000,9909000,2035000,10603000,14704000,-6246000,11624000,498000,1705000,-3764000,-9268000,3753000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2564000,5817000,6066000,6704000,6905000,7409000,8712000,9423000,10123000,10413000,9936000,15303000,16310000,16919000
77,Change in Working Capital,400000,- -,300000,11200000,10300000,3800000,-6400000,3700000,-45200000,18466000,2934000,-16000000,-1100000,-6200000,15100000,-8053000,-15947000,8700000,21700000,46400000,-29600000,1300000,12100000,13898000,-21345000,-2108000,19589000,-29751000,-33782000,-9497000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5162000,154000,-5022000,-4298000,-18048000,-11058000,-5741000,-9179000,1557000,-7358000,1386000,-5329000,-22420000,4023000
79,Inventory,-400000,-600000,-900000,-2600000,-1700000,-2200000,-500000,-300000,-7698000,5366000,-3682000,252000,-5962000,-3811000,-583000,7915000,1833000,1114000,-1848000,-2689000,-1947000,-857000,-2838000,4967000,-3639000,-5485000,3093000,-326000,-2736000,-4708000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2009000,-1879000,4579000,1397000,-342000,3029000,3171000,4804000,-916000,-8743000,-1694000,2035000,8229000,-9278000
81,Other Working Capital,-400000,-400000,-100000,11100000,21400000,25200000,18800000,22500000,-22700000,-4234000,-1300000,-17300000,-18400000,-24600000,-9500000,-17553000,-33500000,-24800000,-3100000,43300000,13700000,15000000,27100000,40998000,19653000,17545000,37134000,7383000,-26399000,-19895000
82,Other Non-Cash Items,600000,500000,-2300000,-20300000,-15400000,-3700000,18900000,7600000,61531000,-12868000,15094000,35145000,4803000,11250000,-23273000,15857000,20408000,-7529000,-28230000,-49386000,30541000,-22557000,-26164000,27248000,-152000,-21207000,-7312000,27814000,105542000,4668000
83,Cash Provided by Operating Activities,4200000,6400000,10500000,12000000,29800000,44700000,63400000,85600000,76718000,96388000,95551000,84841000,41782000,84285000,85601000,61591000,73063000,100913000,89096000,101008000,104379000,101360000,122632000,160312000,144057000,134975000,72795000,61749000,186439000,184675000
84,CAPEX,-2200000,-7300000,-18600000,-32700000,-28800000,-43100000,-69200000,-81200000,-59437000,-31479000,-18806000,-16315000,-20950000,-17546000,-39352000,-31148000,-29271000,-33538000,-31125000,-29319000,-42628000,-50750000,-48655000,-38972000,-55554000,-52593000,-42028000,-37711000,-35652000,-68559000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-6623000,-1306000,-781000,-150000,- -,-4475000,-30643000,-24983000,1962000,366000,1397000,- -,-5267000,- -,-4373000,-922000,3492000,-21000,7707000,13495000,- -,-699000
86,Purchases of Investments,- -,-24200000,-64900000,-15200000,-65000000,-41400000,-34100000,-22900000,- -,-3424000,-4318000,-738000,-6049000,-8565000,-2014000,-303000,-2100000,-12822000,-3186000,-3721000,-4903000,-6095000,- -,- -,- -,- -,- -,- -,-16589000,- -
87,Sales/Maturities of Investments,- -,15900000,51200000,12400000,26600000,46700000,44300000,46600000,15070000,5397000,- -,975000,5014000,21880000,6983000,1363000,2944000,8831000,4245000,129000,3642000,7068000,- -,- -,- -,- -,- -,- -,11154000,- -
88,Other Investing Activites,-300000,-800000,-2400000,-800000,-10400000,-18000000,-2300000,-37700000,-7994000,8555000,3997000,2142000,4222000,1620000,11464000,-252000,233000,756000,12000,5425000,36000,339000,-2006000,942000,5788000,-3884000,-4478000,-8359000,16000,5746000
89,Cash Used for Investing Activites,-2500000,-16400000,-34700000,-36300000,-77600000,-55800000,-61300000,-95200000,-58984000,-22257000,-19908000,-14086000,-17763000,-7086000,-53562000,-55323000,-26232000,-36407000,-28657000,-27486000,-49120000,-49438000,-55034000,-38952000,-46274000,-56498000,-38799000,-32575000,-41071000,-63512000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12125000,-31575000,- -,- -,- -,- -,- -,- -,- -,-230575000,-20000000,-255026000,-20000000,-340000000
91,Common Stock Issued,- -,18000000,35000000,30000000,2700000,5900000,14600000,14500000,2162000,8410000,9132000,6619000,18186000,43096000,15214000,12219000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-400000,-700000,- -,- -,- -,- -,-31700000,-156230000,-29354000,-128416000,-5916000,-68911000,-75325000,-106292000,-72871000,-37697000,-28477000,-46936000,-65323000,-106095000,-118569000,-117400000,-119793000,-122381000,-209586000,-158049000,- -,-2701000,-261146000
93,Dividends Paid,-1200000,-6100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10797000,-21735000,-24844000,-27896000,-30720000,-28985000,-38572000,-43011000,-46750000
94,Other Financing Activites,-400000,-1200000,1800000,1400000,49200000,-200000,-1400000,-3300000,139078000,-41439000,35260000,-78519000,33748000,-37175000,49751000,50035000,5693000,11515000,7203000,-37278000,48166000,74651000,78212000,24510000,47447000,398821000,170352000,259024000,22251000,467370000
