,https://roic.ai/company/QMCO,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41000,1255000,1199000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29261000,25515000,20163000,10686000,8342000,9754000,9460000,6817000,7912000,11670000,21095000,25350000,27522000
14,Depreciation and Amortization,3600000,5100000,13400000,4300000,-5300000,-13200000,-28100000,-26900000,-29300000,53312000,97108000,124436000,91599000,41907000,61998000,120695000,78195000,52321000,50181000,42465000,43424000,85200000,99897000,57743000,50559000,41961000,34875000,27059000,21249000,11978000,6690000,5608000,4970000,4266000,4287000,5697000
15,EBITDA,35400000,16000000,8100000,21900000,66800000,102800000,46200000,119700000,-25600000,198617000,-44230000,325132000,322414000,306225000,329349000,375570000,93366000,-217059000,20917000,30330000,3343000,26044000,39181000,-272141000,93982000,66678000,37639000,-15857000,10746000,38916000,-59993000,18277000,-29819000,-15060000,25230000,-2001000
16,EBITDA ratio,0.2921,0.1325,0.0430,0.1053,0.1497,0.1171,0.0410,0.0705,-0.0120,0.0590,-0.0100,0.0611,0.0555,0.2351,0.2321,0.2672,0.0858,-0.2493,0.0259,0.0382,0.0040,0.0256,0.0402,-0.3364,0.1379,0.0992,0.0577,-0.0270,0.0194,0.0704,-0.1260,0.0362,-0.0681,-0.0374,0.0626,-0.0057
17,Operating Income,21400000,6800000,-11900000,12400000,64900000,108300000,75300000,148800000,33200000,161062000,-113379000,241531000,295385000,365694000,344574000,261246000,-95306000,-107174000,-19692000,-9535000,-20964000,-27154000,-8097000,-329925000,29309000,24704000,5192000,-42700000,-11799000,14397000,-66098000,12148000,-28622000,-4746000,21204000,8403000
18,Operating Income ratio,0.1766,0.0563,-0.0631,0.0596,0.1454,0.1234,0.0668,0.0877,0.0156,0.0478,-0.0256,0.0454,0.0509,0.2807,0.2429,0.1858,-0.0876,-0.1231,-0.0244,-0.0120,-0.0251,-0.0267,-0.0083,-0.4078,0.0430,0.0367,0.0080,-0.0727,-0.0213,0.0260,-0.1389,0.0240,-0.0654,-0.0118,0.0526,0.0240
19,Total Other Income Expenses (Gains),10400000,4100000,6600000,5200000,7200000,7700000,-1000000,-2200000,-29500000,-15757000,-27959000,-40835000,-64570000,-101376000,-77223000,389000,-14495000,94001000,-11265000,-2600000,-19117000,-32002000,-52619000,-29220000,-11401000,-20150000,-13114000,-8558000,-8458000,3081000,-7402000,-7391000,-17837000,-35675000,-25611000,-43623000
20,Income Before Tax,31800000,10900000,-5300000,17600000,72100000,116000000,74300000,146600000,3700000,145305000,-141338000,200696000,230815000,264318000,267351000,261635000,-109801000,-13173000,-30957000,-12135000,-40081000,-59156000,-60716000,-359145000,17908000,4554000,-7922000,-51258000,-20257000,17478000,-73500000,4757000,-46459000,-40421000,-4407000,-35220000
21,Income Before Tax Ratio,0.2624,0.0902,-0.0281,0.0846,0.1616,0.1322,0.0659,0.0864,0.0017,0.0431,-0.0320,0.0377,0.0398,0.2029,0.1884,0.1861,-0.1009,-0.0151,-0.0383,-0.0153,-0.0480,-0.0582,-0.0622,-0.4440,0.0263,0.0068,-0.0121,-0.0872,-0.0366,0.0316,-0.1544,0.0094,-0.1061,-0.1004,-0.0109,-0.1008
22,Income Tax expense (Gain),9600000,2100000,-2100000,4700000,24900000,42100000,27500000,52800000,1000000,63714000,-50882000,52181000,60014000,141327000,121737000,94189000,-27331000,-5085000,32758000,-8639000,1398000,4938000,-482000,-881000,1274000,13000,887000,1161000,1217000,718000,1183000,1112000,-3113000,2376000,803000,239000
23,Net Income,22200000,8800000,-3200000,12900000,47200000,73900000,46800000,93800000,2700000,81591000,-90456000,148515000,170801000,122991000,145614000,160686000,42502000,-264295000,-62022000,-3496000,-41479000,-64094000,-60234000,-358264000,16634000,4541000,-8809000,-52419000,-21474000,16760000,-74683000,3645000,-43346000,-42797000,-5210000,-35459000
24,Net Income ratio,0.1832,0.0728,-0.0170,0.0620,0.1058,0.0842,0.0415,0.0553,0.0013,0.0242,-0.0205,0.0279,0.0294,0.0944,0.1026,0.1143,0.0391,-0.3035,-0.0767,-0.0044,-0.0497,-0.0631,-0.0617,-0.4429,0.0244,0.0068,-0.0135,-0.0892,-0.0388,0.0303,-0.1569,0.0072,-0.0990,-0.1063,-0.0129,-0.1014
25,EPS,0.37,0.15,-0.05,0.21,0.78,1.22,0.77,1.55,0.04,6.88,-6.96,4.84,10.00,-1.44,-0.80,8.64,2.16,-13.04,-2.80,-0.16,-1.84,-2.64,-2.40,-13.68,0.64,0.16,-0.32,-1.76,-0.72,0.56,-2.24,0.11,-1.25,-1.20,-0.14,-0.83
26,EPS Diluted,0.37,0.15,-0.05,0.21,0.78,1.22,0.77,1.55,0.04,6.08,-6.96,4.12,8.56,-1.44,-0.80,8.24,2.16,-13.04,-2.80,-0.16,-1.84,-2.64,-2.40,-13.68,0.16,0.16,-0.32,-1.76,-0.72,0.48,-2.24,0.11,-1.25,-1.20,-0.14,-0.83
27,Weighted Average Shares Outstanding,60433000,60433000,60433000,60433000,60433000,60433000,60433000,60433000,60433000,11829750,12960250,30786000,17050875,20083750,20723500,18518750,19396125,20276000,22004625,22638875,23007875,24029500,25304000,26130125,26584000,27611000,29074875,29981875,30878000,31833125,32841250,33701000,34687000,35551000,37593000,42721687
28,Weighted Average Shares Outstanding Diluted,60433000,60433000,60433000,60433000,60433000,60433000,60433000,60433000,60433000,14759500,12960250,38673250,20752000,20083750,20723500,19455625,19396125,20276000,22004625,22638875,23007875,24029500,25304000,26130125,27970125,28717250,29074875,29981875,30878000,32503375,32841250,34072000,34687000,35551000,45059000,42721687
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/709283/000095000597000595/0000950005-97-000595-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/709283/000103221000001281/0001032210-00-001281-index.html,https://www.sec.gov/Archives/edgar/data/709283/000102140801502794/0001021408-01-502794-index.html,https://www.sec.gov/Archives/edgar/data/709283/000101287002002895/0001012870-02-002895-index.html,https://www.sec.gov/Archives/edgar/data/709283/000070928303000014/d10k.htm,https://www.sec.gov/Archives/edgar/data/709283/000070928304000067/d10k.htm,https://www.sec.gov/Archives/edgar/data/709283/000070928305000043/d10k.htm,https://www.sec.gov/Archives/edgar/data/709283/000070928306000020/d10k.htm,https://www.sec.gov/Archives/edgar/data/709283/000119312507134671/0001193125-07-134671-index.html,https://www.sec.gov/Archives/edgar/data/709283/000119312508133393/0001193125-08-133393-index.html,https://www.sec.gov/Archives/edgar/data/709283/000119312509141705/0001193125-09-141705-index.html,https://www.sec.gov/Archives/edgar/data/709283/000120677410001437/0001206774-10-001437-index.html,https://www.sec.gov/Archives/edgar/data/709283/000120677411001377/0001206774-11-001377-index.html,https://www.sec.gov/Archives/edgar/data/709283/000120677412002735/quantum_10k.htm,https://www.sec.gov/Archives/edgar/data/709283/000120677413002096/0001206774-13-002096-index.html,https://www.sec.gov/Archives/edgar/data/709283/000120677414001897/0001206774-14-001897-index.html,https://www.sec.gov/Archives/edgar/data/709283/000162828015004907/0001628280-15-004907-index.html,https://www.sec.gov/Archives/edgar/data/709283/000162828016016926/0001628280-16-016926-index.html,https://www.sec.gov/Archives/edgar/data/709283/000162828017006127/0001628280-17-006127-index.html,- -,https://www.sec.gov/Archives/edgar/data/709283/000119312519214070/d756514d10k.htm,https://www.sec.gov/Archives/edgar/data/709283/000162828020009888/0001628280-20-009888-index.htm,https://www.sec.gov/Archives/edgar/data/709283/000070928321000024/0000709283-21-000024-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,67800000,77100000,59100000,50900000,79300000,114700000,74500000,121800000,217500000,187753000,164752000,345125000,642150000,272643000,336720000,397537000,343878000,221734000,214607000,225136000,123298000,60581000,93643000,87305000,114947000,76010000,51261000,68976000,99125000,67948000,33870000,12958000,10865000,10790000,6440000,27430000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,71573000,- -,2032000,1084000,555000,97055000,50800000,25000000,99975000,35000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,67800000,77100000,59100000,50900000,79300000,114700000,74500000,121800000,217500000,187753000,164752000,345125000,713723000,272643000,338752000,398621000,344433000,318789000,265407000,250136000,223273000,95581000,93643000,87305000,114947000,76010000,51261000,68976000,99125000,67948000,33870000,12958000,10865000,10790000,6440000,27430000
34,Net Receivables,11700000,12200000,17000000,35900000,70000000,161700000,194400000,267000000,324400000,497887000,711107000,887477000,737928000,254228000,214107000,208402000,149424000,133760000,117397000,128627000,114020000,149435000,182998000,107851000,103397000,114969000,110840000,99093000,101605000,124159000,105959000,116056000,96350000,86828000,70370000,73102000
35,Inventory,15200000,21000000,15000000,16600000,24100000,101700000,87400000,223200000,194100000,324650000,459538000,252802000,315035000,124462000,101478000,130763000,151941000,66305000,48343000,122307000,146279000,91153000,75995000,124266000,107297000,93167000,100161000,88443000,60444000,74914000,62021000,47510000,56317000,37510000,49698000,47888000
36,Other Current Assets,12500000,7300000,4900000,6500000,12000000,18200000,96600000,217700000,159700000,79634000,191097000,203015000,258651000,44028000,93093000,622760000,78880000,121554000,115397000,58661000,38291000,50292000,42661000,34680000,24303000,19408000,18959000,15215000,12921000,14953000,9741000,11801000,14907000,19160000,9319000,7646000
37,Total Current Assets,107200000,117600000,96000000,109900000,185400000,396300000,452900000,829700000,895700000,1089924000,1526494000,1688419000,2025337000,695361000,747430000,1360546000,724678000,640408000,546544000,559731000,521863000,386461000,395297000,354102000,349944000,303554000,281221000,271727000,274095000,281974000,211591000,188325000,178439000,154288000,135827000,156066000
38,PP&E,18500000,19300000,8900000,11300000,23200000,56100000,65800000,74700000,85800000,280099000,364111000,407206000,- -,- -,- -,- -,- -,54522000,40377000,42716000,38748000,50241000,39271000,28553000,24528000,24980000,25440000,21456000,17574000,14653000,12939000,11186000,9698000,8437000,21735000,19434000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,161157000,- -,- -,- -,47178000,390032000,390776000,46770000,46770000,46770000,55613000,55613000,55613000,55613000,- -,- -,- -,- -,- -,3466000
40,Intangible Assets,- -,- -,10100000,9400000,8700000,- -,- -,- -,- -,- -,- -,- -,- -,220368000,248288000,227501000,91209000,120360000,106564000,115197000,49809000,198601000,149890000,109236000,73092000,44711000,26112000,12813000,3911000,731000,451000,276000,138000,34000,- -,5037000
41,Intangible Assets,- -,- -,10100000,9400000,8700000,- -,- -,- -,- -,95818000,66313000,42131000,24490000,220368000,248288000,227501000,252366000,120360000,106564000,115197000,96987000,588633000,540666000,156006000,119862000,91481000,81725000,68426000,59524000,56344000,451000,276000,138000,34000,- -,8503000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,500000,400000,26700000,26400000,25900000,37000000,28100000,22200000,15900000,15187000,18437000,20507000,388584000,97914000,90286000,311657000,216728000,106439000,12073000,6970000,5746000,100494000,90491000,10708000,9809000,10950000,6962000,9531000,10605000,5784000,4565000,25240000,14364000,10112000,8433000,10921000
45,Total Non-Current Assets,19000000,19700000,45700000,47100000,57800000,93100000,93900000,96900000,101700000,391104000,448861000,469844000,413074000,318282000,338574000,539158000,469094000,281321000,159014000,164883000,141481000,739368000,670428000,195267000,154199000,127411000,114127000,99413000,87703000,76781000,17955000,36702000,24200000,18583000,30168000,38858000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,126200000,137300000,141700000,157000000,243200000,489400000,546800000,926600000,997400000,1481028000,1975355000,2158263000,2438411000,1013643000,1086004000,1899704000,1193772000,921729000,705558000,724614000,663344000,1125829000,1065725000,549369000,504143000,430965000,395348000,371140000,361798000,358755000,229546000,225027000,202639000,172871000,165995000,194924000
48,Accounts Payable,- -,- -,- -,- -,60500000,197900000,171300000,215400000,267200000,355117000,498829000,502069000,446243000,64025000,94596000,86510000,65503000,104495000,67341000,81447000,67306000,98757000,97965000,45182000,56688000,52203000,56304000,47634000,41792000,54367000,46136000,41611000,62646000,37395000,36949000,35245000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,935000,683000,689000,- -,41363000,- -,537000,- -,- -,25000000,4000000,4000000,23983000,1067000,- -,- -,- -,83735000,3000000,62827000,7500000,1650000,7321000,1850000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4752000,2594000,1172000,1133000,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15539000,16627000,17531000,20489000,22107000,57617000,73525000,84079000,94921000,87488000,93441000,91108000,98098000,95899000,88919000,84683000,96866000,90407000,81492000,84027000
52,Other Current Liabilities,13100000,18600000,23600000,53400000,22700000,49800000,64800000,100500000,106500000,288924000,322313000,313509000,253058000,93395000,167775000,193547000,174730000,132854000,126475000,141021000,125865000,148076000,106693000,82469000,67065000,64901000,60308000,62775000,50665000,64228000,41601000,41234000,40264000,49018000,32492000,37968000
53,Total Current Liabilities,13100000,18600000,23600000,53400000,83200000,247700000,236100000,315900000,373700000,644041000,821142000,815578000,700236000,158103000,263060000,280057000,297135000,253976000,211884000,242957000,215278000,329450000,282183000,215730000,242657000,205659000,210053000,201517000,190555000,298229000,179656000,230355000,207276000,178470000,158254000,159090000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,212500000,212500000,327500000,598158000,419018000,327485000,229641000,216892000,287500000,287500000,287500000,160000000,160000000,160000000,497500000,496000000,404000000,305899000,238267000,184495000,205000000,203735000,70000000,131962000,65028000,115986000,145621000,157669000,98895000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32082000,30724000,34281000,36430000,38393000,40054000,39532000,35427000,37642000,38587000,36733000,37443000,36126000
56,Deferred Tax Liabilities,7200000,10600000,4100000,3500000,6400000,3500000,2300000,- -,- -,- -,11232000,33587000,38668000,27355000,13578000,35807000,48636000,25091000,27125000,10974000,6995000,16751000,13640000,11190000,8676000,6820000,4564000,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3888000,- -,- -,- -,- -,- -,- -,- -,- -,- -,27687000,45898000,6326000,7444000,7049000,6486000,7812000,14854000,11432000,9440000,8001000,14257000,11827000,11154000,13058000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,212500000,212500000,327500000,609390000,456493000,366153000,256996000,230470000,323307000,336136000,312591000,187125000,170974000,166995000,541938000,555538000,453598000,352743000,286417000,231975000,251205000,258643000,120964000,176829000,110671000,168830000,194181000,206266000,148079000
59,Other Liabilities,7300000,10600000,4000000,3400000,6400000,3400000,2300000,212500000,212400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10822000,8005000
61,Total Liabilities,20400000,29200000,27600000,56800000,89600000,251100000,238400000,528400000,586100000,971541000,1430532000,1272071000,1066389000,415099000,493530000,603364000,633271000,566567000,399009000,413931000,382273000,871388000,837721000,669328000,595400000,492076000,442028000,452722000,449198000,419193000,356485000,341026000,376106000,372651000,364520000,307169000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,461000,541000,1308000,1609000,- -,- -,2352000,1570000,1755000,1804000,1839000,1889000,1978000,339401000,2102000,2149000,2273000,2364000,2431000,2504000,2582000,2662000,341000,354000,360000,399000,570000
64,Retained Earnings,60100000,61100000,56700000,54200000,101400000,175300000,219400000,298100000,286700000,368333000,277877000,426392000,595731000,425538000,571152000,584696000,374914000,110619000,48597000,45101000,3622000,-60472000,-119499000,-477763000,-461129000,-456588000,-465397000,-517816000,-540071000,-523311000,-597994000,-593295000,-655157000,-697954000,-703164000,-738623000
65,Other Comprehensive Income/Loss,-8100000,-12700000,-23300000,-18000000,-13700000,-25400000,-41100000,-57400000,-57400000,- -,- -,- -,- -,-54630000,-80997000,-113208000,-120289000,1117000,2831000,3173000,2870000,6526000,8102000,5852000,6349000,7293000,6583000,6192000,6620000,3880000,3844000,3105000,-274000,-1410000,-1522000,-856000
66,Other Total Stockholders Equity,53800000,59700000,80700000,64000000,65900000,88400000,130100000,157500000,182000000,140693000,266405000,458492000,774682000,227636000,102319000,822500000,304306000,241671000,253317000,260570000,272690000,306409000,- -,349850000,361374000,385911000,409770000,427611000,443547000,456411000,464549000,473850000,481610000,499224000,505762000,626664000
67,Total Stockholders Equity,105800000,108100000,114100000,100200000,153600000,238300000,308400000,398200000,411300000,509487000,544823000,886192000,1372022000,598544000,592474000,1296340000,560501000,355162000,306549000,310683000,281071000,254441000,228004000,-119959000,-91257000,-61111000,-46680000,-81582000,-87400000,-60438000,-126939000,-115999000,-173467000,-199780000,-198525000,-112245000
68,Total Liabilities And Stockholders Equity,126200000,137300000,141700000,157000000,243200000,489400000,546800000,926600000,997400000,1481028000,1975355000,2158263000,2438411000,1013643000,1086004000,1899704000,1193772000,921729000,705558000,724614000,663344000,1125829000,1065725000,549369000,504143000,430965000,395348000,371140000,361798000,358755000,229546000,225027000,202639000,172871000,165995000,194924000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,126200000,137300000,141700000,157000000,243200000,489400000,546800000,926600000,997400000,1481028000,1975355000,2158263000,2438411000,1013643000,1086004000,1899704000,1193772000,921729000,705558000,724614000,663344000,1125829000,1065725000,549369000,504143000,430965000,395348000,371140000,361798000,358755000,229546000,225027000,202639000,172871000,165995000,194924000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/709283/000095000597000595/0000950005-97-000595-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/709283/000103221000001281/0001032210-00-001281-index.html,https://www.sec.gov/Archives/edgar/data/709283/000102140801502794/0001021408-01-502794-index.html,https://www.sec.gov/Archives/edgar/data/709283/000101287002002895/0001012870-02-002895-index.html,https://www.sec.gov/Archives/edgar/data/709283/000070928303000014/d10k.htm,https://www.sec.gov/Archives/edgar/data/709283/000070928304000067/d10k.htm,https://www.sec.gov/Archives/edgar/data/709283/000070928305000043/d10k.htm,https://www.sec.gov/Archives/edgar/data/709283/000070928306000020/d10k.htm,https://www.sec.gov/Archives/edgar/data/709283/000119312507134671/0001193125-07-134671-index.html,https://www.sec.gov/Archives/edgar/data/709283/000119312508133393/0001193125-08-133393-index.html,https://www.sec.gov/Archives/edgar/data/709283/000119312509141705/0001193125-09-141705-index.html,https://www.sec.gov/Archives/edgar/data/709283/000120677410001437/0001206774-10-001437-index.html,https://www.sec.gov/Archives/edgar/data/709283/000120677411001377/0001206774-11-001377-index.html,https://www.sec.gov/Archives/edgar/data/709283/000120677412002735/quantum_10k.htm,https://www.sec.gov/Archives/edgar/data/709283/000120677413002096/0001206774-13-002096-index.html,https://www.sec.gov/Archives/edgar/data/709283/000120677414001897/0001206774-14-001897-index.html,https://www.sec.gov/Archives/edgar/data/709283/000162828015004907/0001628280-15-004907-index.html,https://www.sec.gov/Archives/edgar/data/709283/000162828016016926/0001628280-16-016926-index.html,https://www.sec.gov/Archives/edgar/data/709283/000162828017006127/0001628280-17-006127-index.html,- -,https://www.sec.gov/Archives/edgar/data/709283/000119312519214070/d756514d10k.htm,https://www.sec.gov/Archives/edgar/data/709283/000162828020009888/0001628280-20-009888-index.htm,https://www.sec.gov/Archives/edgar/data/709283/000070928321000024/0000709283-21-000024-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,47200000,73900000,46800000,93800000,2700000,81591000,-90456000,148515000,170801000,122991000,145614000,160686000,42502000,-264295000,-62022000,-3496000,-41479000,-64094000,-60234000,-358264000,16634000,4541000,-8809000,-52419000,-21474000,16760000,-74683000,3645000,-43346000,-42797000,-5210000,-35459000
74,Depreciation and Amortization,- -,- -,- -,- -,-5300000,-13200000,-28100000,-26900000,-29300000,53312000,97108000,124436000,91599000,41907000,61998000,120695000,78195000,52321000,50181000,42465000,43424000,85200000,99897000,57743000,50559000,41961000,34875000,27059000,21249000,11978000,6690000,5608000,4970000,4266000,4287000,5697000
75,Deferred Income Tax,- -,- -,- -,- -,3000000,- -,- -,- -,- -,- -,-54339000,9081000,-6001000,- -,-26049000,-46600000,-40880000,-19124000,20890000,2000,-40000,1006000,-260000,-325000,-466000,-184000,-1280000,-142000,36000,-160000,-85000,97000,-3883000,2356000,458000,-543000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10592000,9789000,10421000,13737000,15139000,13459000,11583000,8916000,6698000,5394000,3409000,6748000,9624000
77,Change in Working Capital,- -,- -,- -,- -,-13000000,-8300000,-24500000,-150800000,32900000,-41031000,-322561000,28276000,23717000,-43938000,117644000,-76671000,64392000,47778000,-11927000,-14134000,613000,20591000,-26106000,18651000,27837000,-19696000,-5909000,8017000,9914000,-25685000,-15205000,-13467000,12772000,-12777000,-20943000,-3645000
78,Accounts Receivable,- -,- -,- -,- -,-34100000,-91800000,-32600000,-72600000,-57400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,75147000,4454000,-14935000,4134000,11747000,-4770000,-22554000,18200000,-10097000,6510000,8054000,15237000,-1625000
79,Inventory,- -,- -,- -,- -,-7500000,-77600000,14300000,-135800000,29100000,16085000,-188444000,206736000,-62233000,2666000,24125000,-85661000,36799000,41800000,13392000,1152000,-23972000,26430000,8126000,8249000,5545000,495000,-17731000,1637000,16027000,-20698000,5545000,7962000,-9373000,9548000,-14909000,-4955000
