,https://roic.ai/company/CL,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,1638400000,1849300000,2195500000,1727600000,1857300000,2141800000,2628600000,2692700000,2666700000,2860300000,3179900000,3368400000,3556900000,3527400000,3594600000,3371700000,3329600000,3057000000,3222000000,3646800000,3990000000,4388000000,5038700000,5605700000,5393000000,5715000000,5749000000,5960000000,6250000000,5996000000,5503000000,5271000000,5533000000,5459000000,5708000000,6142000000,6474000000
11,COGS and Expenses,4246900000,4652300000,5263500000,4370800000,4603400000,5136600000,5778700000,6208600000,6187000000,6538500000,7232700000,7503200000,7698500000,7487400000,7478400000,7637200000,7566500000,7281200000,7678100000,8394000000,9181900000,9924100000,11081000000,12309200000,11712000000,12075000000,12893000000,13113000000,13469000000,13164000000,12138000000,11343000000,11707000000,11772000000,12076000000,12596000000,13520000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000000,11000000,6000000,7000000,65000000,125000000,106000000,107000000,50000000,51000000,50000000,47000000,19000000,17000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,105600000,88000000,65000000,59000000,80000000,116000000,130000000,133000000,149000000,153000000,193000000,192000000,183000000,192000000
14,Depreciation and Amortization,72200000,89300000,101300000,82000000,97000000,126200000,146200000,192500000,209600000,235100000,300300000,316300000,319900000,330300000,340200000,337800000,336200000,296500000,315500000,327800000,329300000,328700000,333900000,347600000,351000000,376000000,421000000,425000000,439000000,442000000,449000000,443000000,475000000,511000000,519000000,539000000,556000000
15,EBITDA,351800000,386300000,224100000,372400000,543900000,637600000,364100000,920400000,687600000,1115000000,663800000,1270900000,1422200000,1580400000,1734800000,1905000000,2004900000,2166800000,2357400000,2330200000,2408300000,2330500000,2830400000,3378300000,3871000000,3761000000,4146000000,4220000000,3951000000,3946000000,3181000000,4185000000,3965000000,4010000000,3852000000,4204000000,3663000000
16,EBITDA ratio,0.0778,0.0775,0.0397,0.0787,0.1079,0.1120,0.0601,0.1314,0.0963,0.1469,0.0794,0.1453,0.1570,0.1762,0.1903,0.2036,0.2127,0.2331,0.2380,0.2202,0.2113,0.1904,0.2053,0.2204,0.2526,0.2416,0.2478,0.2470,0.2268,0.2284,0.1984,0.2754,0.2566,0.2580,0.2455,0.2552,0.2103
17,Operating Income,276800000,332300000,384000000,363500000,435400000,554700000,281600000,798600000,954300000,1049400000,1125500000,1245800000,1358200000,1484200000,1639800000,1720700000,1861300000,2013100000,2166000000,2122100000,2215000000,2160500000,2653100000,3020700000,3615000000,3489000000,3841000000,3889000000,3556000000,3557000000,2789000000,3837000000,3589000000,3694000000,3554000000,3885000000,3332000000
18,Operating Income ratio,0.0612,0.0667,0.0680,0.0768,0.0864,0.0975,0.0465,0.1140,0.1336,0.1383,0.1347,0.1424,0.1500,0.1654,0.1798,0.1839,0.1974,0.2166,0.2187,0.2005,0.1944,0.1765,0.1924,0.1970,0.2359,0.2242,0.2295,0.2276,0.2041,0.2059,0.1739,0.2525,0.2322,0.2376,0.2265,0.2359,0.1913
19,Total Other Income Expenses (Gains),-1300000,-35300000,-261200000,-113200000,11500000,-43300000,-63700000,-70700000,-118100000,-169500000,-762000000,-291200000,-255900000,-234100000,-245200000,-153500000,-192600000,-142800000,-124100000,-119700000,-136000000,-158700000,-156600000,-95600000,-77000000,-59000000,-52000000,-15000000,9000000,-24000000,-26000000,-99000000,-102000000,-230000000,-253000000,-238000000,-245000000
20,Income Before Tax,275500000,297000000,122800000,250300000,446900000,511400000,217900000,727900000,836200000,879900000,363500000,954600000,1102300000,1250100000,1394600000,1567200000,1668700000,1870300000,2041900000,2002400000,2079000000,2001800000,2496500000,2925100000,3538000000,3430000000,3789000000,3874000000,3565000000,3533000000,2763000000,3738000000,3487000000,3464000000,3301000000,3647000000,3087000000
21,Income Before Tax Ratio,0.0609,0.0596,0.0217,0.0529,0.0887,0.0899,0.0360,0.1039,0.1171,0.1160,0.0435,0.1091,0.1217,0.1393,0.1529,0.1675,0.1770,0.2012,0.2062,0.1892,0.1824,0.1636,0.1810,0.1908,0.2308,0.2204,0.2264,0.2267,0.2046,0.2045,0.1723,0.2460,0.2256,0.2229,0.2103,0.2214,0.1772
22,Income Tax expense (Gain),107700000,119500000,68800000,97600000,166900000,190400000,93000000,250900000,288100000,299700000,191500000,319600000,361900000,401500000,457300000,503400000,522100000,582000000,620600000,675300000,727600000,648400000,759100000,967900000,1141000000,1117000000,1235000000,1243000000,1155000000,1194000000,1215000000,1152000000,1313000000,906000000,774000000,787000000,749000000
23,Net Income,171900000,177500000,54000000,192800000,280000000,321000000,124900000,477000000,189900000,580200000,172000000,635000000,740400000,848600000,937300000,1063800000,1146600000,1288300000,1421300000,1327100000,1351400000,1353400000,1737400000,1957200000,2291000000,2203000000,2431000000,2472000000,2241000000,2180000000,1384000000,2441000000,2024000000,2400000000,2367000000,2695000000,2166000000
24,Net Income ratio,0.0380,0.0356,0.0096,0.0407,0.0556,0.0564,0.0206,0.0681,0.0266,0.0765,0.0206,0.0726,0.0818,0.0946,0.1028,0.1137,0.1216,0.1386,0.1435,0.1254,0.1186,0.1106,0.1260,0.1277,0.1495,0.1415,0.1453,0.1447,0.1286,0.1262,0.0863,0.1606,0.1310,0.1544,0.1508,0.1636,0.1243
25,EPS,0.14,0.16,0.05,0.18,0.25,0.28,0.10,0.36,0.14,0.48,0.13,0.52,0.61,0.70,0.79,0.91,1.01,1.17,1.30,1.23,1.27,1.28,1.68,1.91,2.27,2.23,2.49,2.60,2.41,2.38,1.53,2.74,2.30,2.76,2.76,3.15,2.56
26,EPS Diluted,0.14,0.16,0.05,0.18,0.24,0.27,0.10,0.34,0.13,0.45,0.13,0.49,0.57,0.65,0.73,0.85,0.94,1.09,1.23,1.17,1.22,1.23,1.60,1.83,2.19,2.15,2.47,2.58,2.38,2.36,1.52,2.72,2.28,2.75,2.75,3.14,2.55
27,Weighted Average Shares Outstanding,929712000,1106250000,1070000000,1068333333,1077600000,1057543860,1095789474,1250136986,1246666667,1169842932,1156923077,1171551313,1179180328,1178220641,1167261146,1152596685,1113762376,1087038627,1073538462,1062204082,1041889764,1030894942,1020537313,1012600000,999000000,975600000,976600000,952200000,930800000,915100000,902200000,891800000,881800000,870600000,859100000,856800000,845000000
28,Weighted Average Shares Outstanding Diluted,929712000,1106250000,1070000000,1068333333,1122500000,1137358491,1095789474,1322608696,1294615385,1255280899,1179607843,1258666667,1267488987,1268505747,1246666667,1227176471,1190370370,1156529680,1134634146,1116909871,1089053498,1076991870,1068375000,1070000000,1049200000,1021800000,984000000,960200000,939900000,924300000,909700000,898400000,887800000,873000000,861100000,859300000,848300000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/21665/000095014695000129/0000950146-95-000129-index.html,https://www.sec.gov/Archives/edgar/data/21665/000095011296000868/0000950112-96-000868-index.html,https://www.sec.gov/Archives/edgar/data/21665/000094018097000241/0000940180-97-000241-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/21665/000095013002001698/0000950130-02-001698-index.html,https://www.sec.gov/Archives/edgar/data/21665/000095013003002310/d10k.htm,https://www.sec.gov/Archives/edgar/data/21665/000119312504040431/d10k.htm,https://www.sec.gov/Archives/edgar/data/21665/000119312505037145/d10k.htm,https://www.sec.gov/Archives/edgar/data/21665/000119312506038891/d10k.htm,https://www.sec.gov/Archives/edgar/data/21665/000119312507038190/d10k.htm,https://www.sec.gov/Archives/edgar/data/21665/000119312508041526/d10k.htm,https://www.sec.gov/Archives/edgar/data/21665/000119312509041029/0001193125-09-041029-index.html,https://www.sec.gov/Archives/edgar/data/21665/000114036110008522/0001140361-10-008522-index.html,https://www.sec.gov/Archives/edgar/data/21665/000114036111011883/form10k.htm,https://www.sec.gov/Archives/edgar/data/21665/000144530512000409/0001445305-12-000409-index.html,https://www.sec.gov/Archives/edgar/data/21665/000144530513000275/0001445305-13-000275-index.html,https://www.sec.gov/Archives/edgar/data/21665/000154554714000003/cl-12312013x10k.htm,https://www.sec.gov/Archives/edgar/data/21665/000162828015000846/cl-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/21665/000162828016011343/0001628280-16-011343-index.html,https://www.sec.gov/Archives/edgar/data/21665/000002166517000002/0000021665-17-000002-index.html,https://www.sec.gov/Archives/edgar/data/21665/000002166518000003/0000021665-18-000003-index.html,https://www.sec.gov/Archives/edgar/data/21665/000002166519000003/0000021665-19-000003-index.html,https://www.sec.gov/Archives/edgar/data/21665/000002166520000004/0000021665-20-000004-index.html,https://www.sec.gov/Archives/edgar/data/21665/000002166521000007/0000021665-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/21665/000002166522000003/0000021665-22-000003-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,259500000,165100000,57100000,365500000,397900000,166400000,168500000,117900000,144100000,169900000,208800000,248200000,183100000,181700000,199600000,206600000,172700000,167900000,265300000,319600000,340700000,489500000,428700000,554900000,600000000,490000000,878000000,884000000,962000000,1089000000,970000000,1315000000,1535000000,726000000,883000000,888000000,832000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35600000,5900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,259500000,165100000,57100000,365500000,397900000,166400000,168500000,117900000,144100000,169900000,208800000,248200000,183100000,181700000,235200000,212500000,172700000,167900000,265300000,319600000,340700000,489500000,428700000,554900000,600000000,490000000,878000000,884000000,962000000,1089000000,970000000,1315000000,1535000000,726000000,883000000,888000000,832000000
34,Net Receivables,543900000,553400000,723300000,589300000,600900000,665700000,744200000,876500000,988300000,1049600000,1116900000,1064400000,1037400000,1085600000,1100800000,1195400000,1124900000,1145400000,1222400000,1319900000,1309400000,1523200000,1680700000,1591900000,1626000000,1610000000,1675000000,1668000000,1636000000,1552000000,1427000000,1411000000,1480000000,1400000000,1440000000,1264000000,1297000000
35,Inventory,616100000,637100000,753400000,629700000,590700000,692400000,675900000,695600000,678000000,713900000,774800000,770700000,728400000,746000000,783700000,686600000,677000000,671700000,718300000,845500000,855800000,1008400000,1171000000,1197100000,1209000000,1222000000,1327000000,1365000000,1425000000,1382000000,1180000000,1171000000,1221000000,1250000000,1400000000,1673000000,1692000000
36,Other Current Assets,234100000,128700000,182700000,198300000,307400000,288200000,269100000,305100000,260000000,244300000,259700000,289000000,247600000,231600000,235100000,252700000,228800000,243100000,290500000,254900000,251200000,279900000,338100000,366100000,375000000,408000000,522000000,639000000,799000000,840000000,807000000,441000000,403000000,417000000,456000000,513000000,576000000
37,Total Current Assets,1653600000,1484300000,1716500000,1782800000,1896900000,1812700000,1857700000,1995100000,2070400000,2177700000,2360200000,2372300000,2196500000,2244900000,2354800000,2347200000,2203400000,2228100000,2496500000,2739900000,2757100000,3301000000,3618500000,3710000000,3810000000,3730000000,4402000000,4556000000,4822000000,4863000000,4384000000,4338000000,4639000000,3793000000,4179000000,4338000000,4397000000
38,PP&E,978300000,1113700000,1201800000,1021600000,1105400000,1362400000,1394900000,1596800000,1766300000,1988100000,2155200000,2428900000,2441000000,2589200000,2551100000,2528300000,2513500000,2491300000,2542200000,2647700000,2544100000,2696100000,3015200000,3119500000,3516000000,3693000000,3668000000,3842000000,4083000000,4080000000,3796000000,3840000000,4072000000,3881000000,3750000000,3716000000,3730000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2081800000,2272000000,2152000000,2302000000,2362000000,2657000000,2500000000,2474000000,2307000000,2103000000,2107000000,2218000000,2530000000,3508000000,3824000000,3284000000
40,Intangible Assets,- -,- -,- -,- -,275100000,560600000,827200000,1430500000,1589000000,1671800000,2741700000,2720400000,2585300000,2524100000,2185400000,2096400000,1904000000,1791300000,1897000000,2724100000,2628900000,831100000,844800000,833500000,821000000,831000000,1341000000,1499000000,1496000000,1413000000,1346000000,1313000000,1341000000,1637000000,2667000000,2894000000,2462000000
41,Intangible Assets,- -,- -,- -,- -,275100000,560600000,827200000,1430500000,1589000000,1671800000,2741700000,2720400000,2585300000,2524100000,2185400000,2096400000,1904000000,1791300000,1897000000,2724100000,2628900000,2912900000,3116800000,2985500000,3123000000,3193000000,3998000000,3999000000,3970000000,3720000000,3449000000,3420000000,3559000000,4167000000,6175000000,6718000000,5746000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,115000000,92000000,77000000,76000000,67000000,301000000,188000000,152000000,177000000,291000000,193000000
44,Other Non-Current Assets,182100000,247900000,309400000,413200000,259100000,422200000,430800000,411700000,335500000,304800000,385200000,379900000,315900000,327000000,331800000,280400000,363900000,576500000,543100000,561200000,577000000,228000000,361500000,164300000,685000000,556000000,541000000,905000000,924000000,720000000,262000000,224000000,218000000,168000000,753000000,857000000,974000000
45,Total Non-Current Assets,1160400000,1361600000,1511200000,1434800000,1639600000,2345200000,2652900000,3439000000,3690800000,3964700000,5282100000,5529200000,5342200000,5440300000,5068300000,4905100000,4781400000,4859100000,4982300000,5933000000,5750000000,5837000000,6493500000,6269300000,7324000000,7442000000,8322000000,8838000000,9054000000,8596000000,7574000000,7785000000,8037000000,8368000000,10855000000,11582000000,10643000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2814000000,2845900000,3227700000,3217600000,3536500000,4157900000,4510600000,5434100000,5761200000,6142400000,7642300000,7901500000,7538700000,7685200000,7423100000,7252300000,6984800000,7087200000,7478800000,8672900000,8507100000,9138000000,10112000000,9979300000,11134000000,11172000000,12724000000,13394000000,13876000000,13459000000,11958000000,12123000000,12676000000,12161000000,15034000000,15920000000,15040000000
48,Accounts Payable,- -,- -,- -,- -,458400000,539800000,535200000,563000000,599300000,694900000,738700000,751700000,716900000,726100000,764800000,738900000,678100000,728300000,753600000,864400000,876100000,1039700000,1066800000,1061400000,1172000000,1165000000,1244000000,1290000000,1343000000,1231000000,1110000000,1124000000,1212000000,1222000000,1237000000,1393000000,1479000000
49,Short-Term Debt,366900000,155600000,217200000,105500000,111200000,274000000,206400000,191400000,184900000,207900000,241400000,282700000,336700000,456900000,546200000,320200000,325500000,393100000,418000000,585600000,528200000,950800000,294000000,198200000,361000000,609000000,380000000,304000000,908000000,504000000,302000000,13000000,11000000,12000000,659000000,404000000,188000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,272400000,387000000,272000000,392000000,302000000,261000000,416000000,398000000,553000000,477000000,538000000,474000000,519000000,554000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,768700000,900100000,1059800000,966400000,419800000,482900000,520100000,605100000,609800000,626400000,773000000,869900000,905900000,931400000,962500000,1185000000,1119900000,1027300000,1273800000,1280700000,1338700000,1478600000,1801900000,1693700000,2066000000,1954000000,2092000000,2142000000,2219000000,2211000000,2122000000,2168000000,2185000000,2107000000,2142000000,2607000000,2384000000
53,Total Current Liabilities,1135600000,1055700000,1277000000,1071900000,989400000,1296700000,1261700000,1359500000,1394000000,1529200000,1753100000,1904300000,1959500000,2114400000,2273500000,2244100000,2123500000,2148700000,2445400000,2730700000,2743000000,3469100000,3162700000,2953300000,3599000000,3728000000,3716000000,3736000000,4470000000,3946000000,3534000000,3305000000,3408000000,3341000000,4038000000,4404000000,4051000000
54,Long-Term Debt,529300000,522000000,694100000,674300000,1059500000,1068400000,850800000,946500000,1532400000,1751500000,2992000000,2786800000,2340300000,2300600000,2243300000,2536900000,2812000000,3210800000,2684900000,3089500000,2918000000,2720400000,3221900000,3585300000,2821000000,2815000000,4430000000,4926000000,4749000000,5644000000,6269000000,6520000000,6566000000,6354000000,7333000000,7810000000,7645000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,105000000,140500000,126500000,183200000,223800000,261900000,211100000,171300000,266200000,295400000,237300000,234300000,284500000,448000000,398600000,447300000,480600000,488800000,456000000,509600000,554700000,309900000,264100000,81900000,82000000,108000000,252000000,293000000,444000000,261000000,233000000,246000000,204000000,235000000,507000000,426000000,395000000
57,Other Non-Current Liabilities,149600000,160300000,201500000,150100000,140600000,167300000,320700000,337000000,693600000,743400000,980100000,942000000,775800000,736600000,674000000,555900000,722300000,888600000,1005400000,836700000,941300000,1227700000,1067200000,1436700000,1375000000,1704000000,1785000000,2049000000,1677000000,2223000000,1966000000,2035000000,2255000000,2034000000,2598000000,2179000000,1978000000
58,Total Non-Current Liabilities,783900000,822800000,1022100000,1007600000,1423900000,1497600000,1382600000,1454800000,2492200000,2790300000,4209400000,3963100000,3400600000,3485200000,3315900000,3540100000,4014900000,4588200000,4146300000,4435800000,4414000000,4258000000,4553200000,5103900000,4278000000,4627000000,6467000000,7268000000,6870000000,8128000000,8468000000,8801000000,9025000000,8623000000,10438000000,10415000000,10018000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,636000000,613000000,588000000
61,Total Liabilities,1919500000,1878500000,2299100000,2079500000,2413300000,2794300000,2644300000,2814300000,3886200000,4319500000,5962500000,5867400000,5360100000,5599600000,5589400000,5784200000,6138400000,6736900000,6591700000,7166500000,7157000000,7727100000,7715900000,8057200000,7877000000,8355000000,10183000000,11004000000,11340000000,12074000000,12002000000,12106000000,12433000000,11964000000,14476000000,14819000000,14069000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,323000000,292900000,274000000,253700000,222700000,197500000,181000000,169000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,732900000,732900000,732900000,732900000,732900000,732900000,732900000,732900000,732900000,732900000,733000000,733000000,733000000,733000000,1466000000,1466000000,1466000000,1466000000,1466000000,1466000000,1466000000,1466000000,1466000000
64,Retained Earnings,1342000000,1423800000,1380300000,1614700000,1778100000,1960800000,1928600000,2204900000,2163400000,2496700000,2392200000,2731000000,3138000000,3641000000,4212300000,4893700000,5643600000,6518500000,7433000000,8223900000,8968100000,9643700000,10627500000,11759500000,13157000000,14329000000,15649000000,16953000000,17952000000,18832000000,18861000000,19922000000,20531000000,21615000000,22501000000,23699000000,24350000000
65,Other Comprehensive Income/Loss,-675000000,-651300000,-764500000,-614700000,-623200000,-761900000,-965700000,-985600000,-1053900000,-1115300000,-1444200000,-1401900000,-1357400000,-1538100000,-1614900000,-1759000000,-1895400000,-2205700000,-2198000000,-2113800000,-2088000000,-2332600000,-1885700000,-2477300000,-2096000000,-2115000000,-2475000000,-2621000000,-2451000000,-3507000000,-3950000000,-4180000000,-3855000000,-4188000000,-4273000000,-4345000000,-4386000000
66,Other Total Stockholders Equity,227500000,194900000,312800000,138100000,- -,164700000,903400000,1400500000,765500000,441500000,731800000,705000000,398000000,- -,- -,- -,- -,-5018400000,-5373700000,-5871600000,-6516600000,-6855800000,-7386000000,-8274000000,-8847000000,-10272000000,-11532000000,-12876000000,-14662000000,-15646000000,-16676000000,-17451000000,-18202000000,-18995000000,-19577000000,-20077000000,- -
67,Total Stockholders Equity,894500000,967400000,928600000,1138100000,1123200000,1363600000,1866300000,2619800000,1875000000,1822900000,1679800000,2034100000,2178600000,2085600000,1833700000,1468100000,846400000,350300000,887100000,1245400000,1350100000,1410900000,2286200000,1922100000,3116000000,2675000000,2375000000,2189000000,2305000000,1145000000,-299000000,-243000000,-60000000,-102000000,117000000,743000000,609000000
68,Total Liabilities And Stockholders Equity,2814000000,2845900000,3227700000,3217600000,3536500000,4157900000,4510600000,5434100000,5761200000,6142400000,7642300000,7901500000,7538700000,7685200000,7423100000,7252300000,6984800000,7087200000,7478800000,8411900000,8507100000,9138000000,10002100000,9979300000,10993000000,11030000000,12558000000,13193000000,13645000000,13219000000,11703000000,11863000000,12373000000,11862000000,14593000000,15562000000,14678000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,261000000,- -,- -,109900000,- -,141000000,142000000,166000000,201000000,231000000,240000000,255000000,260000000,303000000,299000000,441000000,358000000,362000000
70,Total Liabilities & Equity,2814000000,2845900000,3227700000,3217600000,3536500000,4157900000,4510600000,5434100000,5761200000,6142400000,7642300000,7901500000,7538700000,7685200000,7423100000,7252300000,6984800000,7087200000,7478800000,8672900000,8507100000,9138000000,10112000000,9979300000,11134000000,11172000000,12724000000,13394000000,13876000000,13459000000,11958000000,12123000000,12676000000,12161000000,15034000000,15920000000,15040000000
