,https://roic.ai/company/CUBE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1298675/000119312505065580/0001193125-05-065580-index.htm,https://www.sec.gov/Archives/edgar/data/1298675/000095015206001610/0000950152-06-001610-index.htm,https://www.sec.gov/Archives/edgar/data/1298675/000110465907020077/0001104659-07-020077-index.htm,https://www.sec.gov/Archives/edgar/data/1298675/000110465908014369/0001104659-08-014369-index.htm,https://www.sec.gov/Archives/edgar/data/1298675/000110465909013540/0001104659-09-013540-index.htm,https://www.sec.gov/Archives/edgar/data/1298675/000110465910010853/0001104659-10-010853-index.htm,https://www.sec.gov/Archives/edgar/data/1298675/000110465911011520/0001104659-11-011520-index.htm,https://www.sec.gov/Archives/edgar/data/1298675/000110465912014654/0001104659-12-014654-index.htm,https://www.sec.gov/Archives/edgar/data/1298675/000110465913016175/0001104659-13-016175-index.htm,https://www.sec.gov/Archives/edgar/data/1298675/000110465914014848/0001104659-14-014848-index.htm,https://www.sec.gov/Archives/edgar/data/1298675/000110465915015158/0001104659-15-015158-index.htm,https://www.sec.gov/Archives/edgar/data/1298675/000155837016003304/0001558370-16-003304-index.htm,https://www.sec.gov/Archives/edgar/data/1298675/000129867517000006/0001298675-17-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1298675/000129867518000006/0001298675-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1298675/000129867519000009/0001298675-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1298675/000129867520000008/0001298675-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1298675/000129867521000006/0001298675-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1298675/000129867522000008/0001298675-22-000008-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,7503000,28485000,201098000,19716000,4517000,3744000,102768000,5891000,9069000,4495000,3176000,2901000,62869000,2973000,5268000,3764000,54857000,3592000,11140000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,7503000,28485000,201098000,19716000,4517000,3744000,102768000,5891000,9069000,4495000,3176000,2901000,62869000,2973000,5268000,3764000,54857000,3592000,11140000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,20112000,- -,- -,10209000,4957000,4237000,5049000,5284000,12978000,16256000,16836000,18959000,23562000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,-186426000,- -,58357000,- -,45457000,10250000,11291000,9431000,7222000,7275000,28540000,12586000,9955000,8603000,10481000,11597000,61781000
37,Total Current Assets,- -,- -,- -,- -,28485000,14672000,19716000,62874000,3744000,168337000,16141000,20360000,24135000,15355000,14413000,96458000,20843000,28201000,28623000,82174000,34148000,96483000
38,PP&E,- -,- -,- -,395599000,729155000,1246295000,1566815000,1647118000,1559958000,1430533000,1428491000,1788720000,- -,- -,- -,- -,- -,- -,- -,41698000,55302000,54741000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21670000,9463000,22494000,12814000,8280000,1716000,8145000,10283000,57820000,108794000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15181000,- -,156310000,95709000,97281000,98682000,91206000,100796000,96117000,97071000,119751000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34187000,51718000,2104514000,2177496000,2653723000,2908281000,3347223000,3424213000,3615408000,3799273000,4533801000,6168310000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1430533000,1462678000,1855619000,2126184000,2343269000,2771926000,3018376000,3454185000,3517135000,3724349000,3947371000,4743994000,6451596000
46,Other Assets,268307000,392016000,420098000,412219000,747389000,1466816000,1595623000,1624957000,1593915000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,268307000,392016000,420098000,412219000,775874000,1481488000,1615339000,1687831000,1597659000,1598870000,1478819000,1875979000,2150319000,2358624000,2786339000,3114834000,3475028000,3545336000,3752972000,4029545000,4778142000,6548079000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36172000,51025000,60708000,57599000,69198000,85034000,93764000,143344000,149914000,137880000,159140000,199985000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,172000000,569026000,- -,- -,45000000,38600000,78000000,- -,43300000,81700000,195525000,- -,117800000,209900000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,9725000,8449000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29087000,- -
52,Other Current Liabilities,- -,- -,- -,- -,36000000,109200000,108400000,152100000,-27125000,36671000,7275000,11401000,16419000,19955000,28137000,38685000,49239000,55297000,60627000,64688000,39214000,99919000
53,Total Current Liabilities,- -,- -,- -,- -,36000000,109200000,108400000,152100000,154600000,614146000,43447000,62426000,122127000,116154000,175335000,123719000,186303000,280341000,406066000,202568000,345241000,509804000
54,Long-Term Debt,- -,- -,- -,271571000,380496000,669282000,879766000,1027501000,805504000,200000000,615457000,758441000,978759000,1100218000,1095851000,1262212000,1552443000,1553290000,1551569000,1931765000,2246876000,3001686000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,9740000,10148000,- -,- -,8873000,9568000,11090000,12394000,15311000,17519000,20226000,21529000,22595000,25313000,29087000,37144000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,4000,18000,-10106000,-57549000,114596000,45394000,45634000,50222000,48434000,36651000,50224000,66531000,54819000,54806000,56293000,62563000,316090000,109285000
58,Total Non-Current Liabilities,- -,- -,- -,271571000,380500000,669300000,879400000,980100000,920100000,245394000,669964000,818231000,1038283000,1149263000,1161386000,1346262000,1627488000,1629625000,1630457000,2019641000,2592053000,3148115000
59,Other Liabilities,155308000,249854000,279267000,552041000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,374000,156000,56000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,65599000,65801000
61,Total Liabilities,155308000,249854000,279267000,280470000,405432000,714376000,930948000,1083230000,1028705000,859540000,713411000,880657000,1160410000,1265417000,1336721000,1469981000,1813791000,1909966000,2036523000,2222209000,2937294000,3657919000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31000,31000,31000,31000,31000,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,373000,570000,573000,576000,576000,927000,986000,1221000,1318000,1393000,1639000,1747000,1801000,1822000,1871000,1936000,1974000,2239000
64,Retained Earnings,- -,- -,- -,- -,-37430000,-91253000,-167712000,-241233000,-271124000,-279670000,-302601000,-342013000,-410225000,-440837000,-519193000,-584654000,-658583000,-729311000,-791915000,-876606000,-974799000,-1218498000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,-205049000,-1664000,-7553000,-874000,-1121000,-12831000,-19796000,-11014000,-8759000,-4978000,-1850000,3000,-1029000,-729000,-632000,-570000
66,Other Total Stockholders Equity,112999000,142162000,140831000,131749000,396437000,793687000,999681000,797940000,801029000,974926000,1026952000,1309505000,1418463000,1542703000,1974308000,2231181000,2314014000,2356620000,2500751000,2674745000,2805673000,- -
67,Total Stockholders Equity,112999000,142162000,140831000,131749000,359380000,703004000,627493000,555619000,522928000,695309000,724216000,955913000,989791000,1092276000,1448026000,1643327000,1655382000,1629134000,1709678000,1799346000,1832216000,2871563000
68,Total Liabilities And Stockholders Equity,268307000,392016000,420098000,412219000,764812000,1417380000,1558441000,1638849000,1551633000,1554849000,1437627000,1836570000,2150201000,2357693000,2784747000,3113308000,3469173000,3539100000,3746201000,4021555000,4769510000,6529482000
69,Minority Interest,- -,- -,- -,- -,11062000,64108000,56898000,48982000,46026000,44021000,41192000,39409000,118000,931000,1592000,1526000,5855000,6236000,6771000,7990000,8632000,18597000
70,Total Liabilities & Equity,268307000,392016000,420098000,412219000,775874000,1481488000,1615339000,1687831000,1597659000,1598870000,1478819000,1875979000,2150319000,2358624000,2786339000,3114834000,3475028000,3545336000,3752972000,4029545000,4778142000,6548079000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1298675/000119312505065580/0001193125-05-065580-index.htm,https://www.sec.gov/Archives/edgar/data/1298675/000095015206001610/0000950152-06-001610-index.htm,https://www.sec.gov/Archives/edgar/data/1298675/000110465907020077/0001104659-07-020077-index.htm,https://www.sec.gov/Archives/edgar/data/1298675/000110465908014369/0001104659-08-014369-index.htm,https://www.sec.gov/Archives/edgar/data/1298675/000110465909013540/0001104659-09-013540-index.htm,https://www.sec.gov/Archives/edgar/data/1298675/000110465910010853/0001104659-10-010853-index.htm,https://www.sec.gov/Archives/edgar/data/1298675/000110465911011520/0001104659-11-011520-index.htm,https://www.sec.gov/Archives/edgar/data/1298675/000110465912014654/0001104659-12-014654-index.htm,https://www.sec.gov/Archives/edgar/data/1298675/000110465913016175/0001104659-13-016175-index.htm,https://www.sec.gov/Archives/edgar/data/1298675/000110465914014848/0001104659-14-014848-index.htm,https://www.sec.gov/Archives/edgar/data/1298675/000110465915015158/0001104659-15-015158-index.htm,https://www.sec.gov/Archives/edgar/data/1298675/000155837016003304/0001558370-16-003304-index.htm,https://www.sec.gov/Archives/edgar/data/1298675/000129867517000006/0001298675-17-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1298675/000129867518000006/0001298675-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1298675/000129867519000009/0001298675-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1298675/000129867520000008/0001298675-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1298675/000129867521000006/0001298675-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1298675/000129867522000008/0001298675-22-000008-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,16232000,-32347000,2777000,-8551000,-13077000,2792000,-937000,-7393000,-398000,1817000,41448000,26379000,77712000,87905000,134288000,163889000,169117000,165621000,223482000
74,Depreciation and Amortization,- -,- -,- -,20716000,28295000,41902000,66727000,72218000,80132000,75908000,70850000,73702000,118573000,117074000,129003000,154113000,164442000,148319000,145663000,166366000,159247000,-232049000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,2722000,3396000,3641000,3204000,4550000,5617000,1735000,2155000,3212000,5586000,5572000,6694000,7140000,8088000
77,Change in Working Capital,- -,- -,- -,608000,-7515000,-87013000,5844000,-542000,-61630000,-294953000,418503000,-14760000,-55926000,-2807000,-60123000,133661000,-138199000,-86680000,-125303000,257049000,-190699000,237164000
78,Accounts Receivable,- -,- -,- -,- -,3021000,-3187000,-350000,-2756000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,-560000,5379000,4722000,7006000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14871000
81,Other Working Capital,- -,- -,- -,- -,-7515000,-94528000,-88684000,-89226000,-150856000,-445809000,-27306000,-42066000,-97992000,-100799000,-160922000,-27261000,-165460000,-252140000,-377443000,-120394000,-311093000,-73929000
82,Other Non-Cash Items,- -,- -,- -,-3329000,46505000,91184000,547000,4275000,42996000,278800000,-414084000,22579000,49414000,-18470000,69038000,-151936000,146166000,91925000,114514000,-267458000,209724000,212500000
83,Cash Provided by Operating Activities,- -,- -,- -,34227000,34938000,48850000,64567000,62874000,67012000,62214000,71517000,84327000,118428000,142862000,166032000,215705000,263526000,293438000,304335000,331768000,351033000,449185000
84,CAPEX,- -,- -,- -,-8808000,-227841000,-394649000,-349766000,-48014000,- -,- -,-104441000,-471188000,- -,-53979000,-23566000,-81315000,-143713000,-64659000,-86002000,-102826000,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,-2909000,- -,- -,- -,-30738000,30759000,- -,- -,-81158000,-157461000,-2550000,-8433000,-12176000,-301000,-19216000,-128223000,-7022000,-1678984000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-19000000,- -,- -,- -,- -,-15462000,- -,- -,- -,-4100000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,114170000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,6301000,-3439000,1955000,6549000,-105562000,57915000,68093000,59658000,44550000,-190778000,-125463000,-520149000,-362075000,-532295000,-147523000,-303043000,-247441000,-504419000,-173684000
89,Cash Used for Investing Activites,- -,- -,- -,-2507000,-234189000,-392694000,-248047000,-153576000,27177000,98852000,-44783000,-442100000,-271936000,-282924000,-522699000,-374608000,-544471000,-147824000,-322259000,-375664000,-511441000,-1852668000
90,Debt Repayment,- -,- -,- -,-2402000,-295275000,-4691000,-437048000,-60301000,-12526000,-534130000,-248205000,-539021000,-594340000,-779096000,-703249000,-894225000,-952160000,-698666000,-565710000,-1358776000,-607378000,-20023000
91,Common Stock Issued,- -,- -,- -,- -,424989000,378747000,2985000,- -,- -,- -,47573000,204019000,102079000,100290000,416006000,234062000,136122000,29643000,131830000,196304000,120727000,965638000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-77574000,-2046000,-1461000,-421000,-686000,- -
93,Dividends Paid,- -,- -,- -,- -,-18297000,-44532000,- -,-66816000,-41621000,-6736000,-9407000,-27849000,-45479000,-65167000,-81857000,-113101000,-155825000,-195006000,-221328000,-243859000,-256253000,- -
94,Other Financing Activites,- -,- -,- -,-23327000,108816000,186933000,538360000,202620000,-40815000,478824000,86428000,723802000,686674000,882716000,725492000,992135000,1270486000,722756000,671917000,1502607000,851786000,464957000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,-25729000,220233000,516457000,104297000,75503000,-94962000,-62042000,-123611000,360951000,148934000,138743000,356392000,218871000,221049000,-143319000,15248000,95855000,108196000,1410572000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,5991000,20982000,172613000,-79183000,-15199000,-773000,99024000,-96877000,3178000,-4574000,-1319000,-275000,59968000,-59896000,2295000,-2676000,51959000,-52212000,7089000
98,Cash at the End of Period,- -,- -,- -,7503000,30552000,201098000,19716000,4517000,3744000,102768000,5891000,9069000,4495000,3176000,2901000,62869000,2973000,5268000,6482000,58441000,6229000,13318000
99,Cash at the Beginning of Period,- -,- -,- -,1512000,9570000,28485000,98899000,19716000,4517000,3744000,102768000,5891000,9069000,4495000,3176000,2901000,62869000,2973000,9158000,6482000,58441000,6229000
100,Free Cash Flow,- -,- -,- -,25419000,-192903000,-345799000,-285199000,14860000,67012000,62214000,-32924000,-386861000,118428000,142862000,166032000,215705000,263526000,293438000,304335000,331768000,351033000,449185000
101,SEC Link,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1298675/000119312505065580/0001193125-05-065580-index.htm,https://www.sec.gov/Archives/edgar/data/1298675/000095015206001610/0000950152-06-001610-index.htm,https://www.sec.gov/Archives/edgar/data/1298675/000110465907020077/0001104659-07-020077-index.htm,https://www.sec.gov/Archives/edgar/data/1298675/000110465908014369/0001104659-08-014369-index.htm,https://www.sec.gov/Archives/edgar/data/1298675/000110465909013540/0001104659-09-013540-index.htm,https://www.sec.gov/Archives/edgar/data/1298675/000110465910010853/0001104659-10-010853-index.htm,https://www.sec.gov/Archives/edgar/data/1298675/000110465911011520/0001104659-11-011520-index.htm,https://www.sec.gov/Archives/edgar/data/1298675/000110465912014654/0001104659-12-014654-index.htm,https://www.sec.gov/Archives/edgar/data/1298675/000110465913016175/0001104659-13-016175-index.htm,https://www.sec.gov/Archives/edgar/data/1298675/000110465914014848/0001104659-14-014848-index.htm,https://www.sec.gov/Archives/edgar/data/1298675/000110465915015158/0001104659-15-015158-index.htm,https://www.sec.gov/Archives/edgar/data/1298675/000155837016003304/0001558370-16-003304-index.htm,https://www.sec.gov/Archives/edgar/data/1298675/000129867517000006/0001298675-17-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1298675/000129867518000006/0001298675-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1298675/000129867519000009/0001298675-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1298675/000129867520000008/0001298675-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1298675/000129867521000006/0001298675-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1298675/000129867522000008/0001298675-22-000008-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
