,https://roic.ai/company/FICO,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/814547/000095000595000341/0000950005-95-000341-index.html,https://www.sec.gov/Archives/edgar/data/814547/000095000596001002/0000950005-96-001002-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/814547/000095000500001222/0000950005-00-001222-index.html,https://www.sec.gov/Archives/edgar/data/814547/000095000501500749/0000950005-01-500749-index.html,- -,https://www.sec.gov/Archives/edgar/data/814547/000093639203001666/a94662e10vk.htm,https://www.sec.gov/Archives/edgar/data/814547/000095013704011008/a03859e10vk.htm,https://www.sec.gov/Archives/edgar/data/814547/000095013405023081/c00522e10vk.htm,https://www.sec.gov/Archives/edgar/data/814547/000095013706013419/c10450e10vk.htm,https://www.sec.gov/Archives/edgar/data/814547/000095013707017904/0000950137-07-017904-index.html,https://www.sec.gov/Archives/edgar/data/814547/000095013708014107/0000950137-08-014107-index.html,https://www.sec.gov/Archives/edgar/data/814547/000095012309065746/0000950123-09-065746-index.html,https://www.sec.gov/Archives/edgar/data/814547/000095012310108284/0000950123-10-108284-index.html,https://www.sec.gov/Archives/edgar/data/814547/000119312511317245/0001193125-11-317245-index.html,https://www.sec.gov/Archives/edgar/data/814547/000119312512473516/0001193125-12-473516-index.html,https://www.sec.gov/Archives/edgar/data/814547/000119312513438562/0001193125-13-438562-index.html,https://www.sec.gov/Archives/edgar/data/814547/000081454714000011/0000814547-14-000011-index.html,https://www.sec.gov/Archives/edgar/data/814547/000081454715000019/0000814547-15-000019-index.html,https://www.sec.gov/Archives/edgar/data/814547/000081454716000035/0000814547-16-000035-index.html,https://www.sec.gov/Archives/edgar/data/814547/000081454717000014/0000814547-17-000014-index.html,https://www.sec.gov/Archives/edgar/data/814547/000081454718000010/0000814547-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/814547/000081454719000016/0000814547-19-000016-index.html,https://www.sec.gov/Archives/edgar/data/814547/000081454720000012/0000814547-20-000012-index.htm,https://www.sec.gov/Archives/edgar/data/814547/000081454721000019/0000814547-21-000019-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,700000,10100000,14300000,13500000,3300000,5400000,6100000,5200000,11000000,8300000,8200000,13200000,14200000,20700000,39506000,24608000,96834000,249458000,159870000,82880000,75154000,95284000,129678000,178157000,146199000,135752000,71609000,83178000,105075000,86120000,75926000,105618000,90023000,106426000,157394000,195354000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5200000,19109000,13800000,184377000,255893000,139435000,146088000,152141000,125327000,57049000,139673000,68615000,105826000,22008000,- -,- -,- -,- -,- -,- -,- -,25513000,- -
33,Cash and Short-Term Investments,700000,10100000,14300000,13500000,3300000,5400000,6100000,5200000,11000000,8300000,8200000,13200000,14200000,25900000,58615000,38408000,281211000,505351000,299305000,228968000,227295000,220611000,186727000,317830000,214814000,241578000,93617000,83178000,105075000,86120000,75926000,105618000,90023000,106426000,182907000,195354000
34,Net Receivables,4000000,4400000,3700000,6900000,6700000,8000000,12200000,11000000,14200000,30400000,38500000,54300000,61000000,62900000,41625000,80071000,121456000,138712000,140845000,156375000,165806000,177402000,141571000,101742000,113187000,104974000,142595000,143733000,155295000,158773000,167786000,168586000,208865000,297427000,334180000,312107000
35,Inventory,200000,100000,200000,100000,- -,- -,5600000,- -,- -,- -,- -,- -,22000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,2800000,4800000,3700000,300000,14400000,11200000,800000,15800000,13100000,9100000,14800000,14300000,5400000,12500000,36972000,15782000,25507000,23809000,25951000,27337000,20209000,24738000,23404000,22986000,19174000,17929000,23113000,22277000,28157000,41709000,23926000,36727000,39624000,51853000,16991000,43513000
37,Total Current Assets,7700000,19400000,21900000,20800000,24400000,24600000,24700000,32000000,38300000,47800000,61500000,81800000,102600000,101300000,137212000,134261000,428174000,667872000,466101000,412680000,413310000,422751000,351702000,442558000,347175000,364481000,259325000,249188000,288527000,286602000,267638000,310931000,338512000,455706000,534078000,550974000
38,PP&E,1200000,1400000,1500000,2000000,2200000,2300000,4400000,7900000,12300000,16800000,23200000,34500000,36900000,39400000,48565000,49383000,63898000,50706000,53288000,48436000,56611000,52157000,46360000,34340000,30975000,33017000,41080000,45155000,36677000,38208000,45122000,40703000,48837000,53027000,104075000,75188000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,695162000,692922000,686082000,667640000,665953000,664688000,757504000,773931000,779928000,814750000,798415000,804414000,800890000,803542000,812364000,788185000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,3800000,3400000,5000000,9600000,8400000,10500000,10700000,8630000,6530000,520114000,551772000,825142000,803306000,90900000,62923000,52468000,38255000,27244000,19498000,52299000,57361000,47914000,47321000,33619000,21185000,14536000,14139000,9236000,4099000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,3800000,3400000,5000000,9600000,8400000,10500000,10700000,8630000,6530000,520114000,551772000,825142000,803306000,786062000,755845000,738550000,705895000,693197000,684186000,809803000,831292000,827842000,862071000,832034000,825599000,815426000,817681000,821600000,792284000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,59000000,40000000,26000000,84000000,72445000,15441000,15104000,16500000,18140000,19784000,20525000,21936000,25515000,19756000,21865000,26573000,33196000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5504000,45384000,40738000,21028000,19902000,20010000,14828000,45786000,38100000,27774000,25032000,22856000,11132000,13061000,15196000,47598000,47204000,20117000,6006000,14629000,20549000
44,Other Non-Current Assets,700000,500000,1100000,3100000,1000000,4500000,12800000,10500000,16900000,18700000,18800000,20500000,39600000,59000000,46881000,121335000,154943000,184085000,79220000,7737000,5212000,4190000,8855000,10550000,9154000,7648000,9047000,6640000,6407000,7561000,6724000,5668000,12431000,79163000,105285000,95585000
45,Total Non-Current Assets,1900000,1900000,2600000,5100000,3200000,6800000,17200000,22200000,32600000,40500000,51600000,63400000,87000000,109100000,104076000,182752000,784339000,827301000,978678000,938381000,907895000,853020000,923551000,861330000,776541000,764987000,899286000,912359000,903771000,943561000,953414000,944689000,916567000,977742000,1072162000,1016802000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,9600000,21300000,24500000,25900000,27600000,31400000,41900000,54200000,70900000,88300000,113100000,145200000,189600000,210400000,241288000,317013000,1212513000,1495173000,1444779000,1351061000,1321205000,1275771000,1275253000,1303888000,1123716000,1129468000,1158611000,1161547000,1192298000,1230163000,1221052000,1255620000,1255079000,1433448000,1606240000,1567776000
48,Accounts Payable,- -,- -,- -,- -,400000,700000,2100000,4500000,6000000,5800000,7500000,8200000,17400000,3300000,1606000,1415000,7603000,15267000,13055000,11579000,12162000,16300000,11172000,8593000,8765000,11139000,18958000,19216000,22000000,19852000,22952000,19510000,20251000,23118000,23033000,20749000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5200000,19109000,13800000,184377000,- -,- -,- -,400000000,390963000,- -,- -,8000000,8000000,49000000,23000000,170000000,92000000,77000000,142000000,235000000,218000000,95000000,250000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11754000,6821000,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17921000,31584000,41050000,55837000,48284000,42572000,38243000,39673000,42953000,41768000,47959000,49181000,56519000,46697000,47129000,55431000,52215000,111016000,115159000,105417000
52,Other Current Liabilities,4600000,3200000,5200000,5700000,6900000,7400000,9300000,12800000,15800000,17600000,20700000,25900000,30400000,36900000,15803000,24422000,-119692000,51511000,66211000,70741000,76583000,76089000,73216000,66322000,62429000,85591000,93688000,74483000,92885000,85326000,98996000,109714000,114749000,138694000,181319000,183041000
53,Total Current Liabilities,4600000,3200000,5200000,5700000,7300000,8100000,11400000,17300000,21800000,23400000,28200000,34100000,47800000,45400000,36518000,39637000,90209000,98362000,120316000,138157000,537029000,525924000,122631000,114588000,122147000,146498000,209605000,165880000,341404000,243875000,246077000,326655000,422215000,490828000,414511000,559207000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,2700000,2700000,2300000,1900000,1600000,1200000,800000,400000,- -,- -,139922000,541364000,400000000,400000000,- -,170000000,570000000,570000000,512000000,504000000,455000000,447000000,376000000,516000000,494000000,462801000,528944000,606790000,739435000,1062688000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,700000,3000000,2100000,1400000,400000,1000000,- -,2700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,100000,300000,400000,400000,200000,- -,1200000,- -,3900000,6900000,5000000,6700000,7500000,8100000,5769000,5604000,8910000,5905000,7992000,7810000,14148000,13533000,20681000,19031000,14655000,13476000,19600000,17990000,20280000,33290000,34147000,39627000,40183000,46063000,121212000,56823000
58,Total Non-Current Liabilities,800000,3300000,2500000,1800000,600000,1000000,3900000,5400000,6200000,8800000,6600000,7900000,8300000,8500000,5769000,5604000,148832000,547269000,407992000,407810000,14148000,183533000,590681000,589031000,526655000,517476000,474600000,464990000,396280000,549290000,528147000,502428000,569127000,652853000,860647000,1119511000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,73207000,53670000
61,Total Liabilities,5400000,6500000,7700000,7500000,7900000,9100000,15300000,22700000,28000000,32200000,34800000,42000000,56100000,53900000,42287000,45241000,239041000,645631000,528308000,545967000,551177000,709457000,713312000,703619000,648802000,663974000,684205000,630870000,737684000,793165000,774224000,829083000,991342000,1143681000,1275158000,1678718000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,148000,233000,507000,466000,697000,638000,594000,511000,485000,482000,399000,371000,348000,348000,320000,313000,309000,302000,290000,289000,291000,276000
64,Retained Earnings,4200000,6100000,8500000,9900000,11000000,13200000,16300000,20800000,30000000,42000000,57200000,77500000,100700000,129500000,156021000,200737000,216041000,319341000,417218000,546450000,644836000,745054000,825109000,886324000,947202000,1015624000,1104825000,1192096000,1284261000,1368255000,1475214000,1598395000,1740810000,1956648000,2193059000,2585143000
65,Other Comprehensive Income/Loss,-1300000,-1400000,-1800000,-2300000,-3100000,-3700000,-4500000,-5900000,-9600000,-12900000,-20500000,-29000000,-38900000,-50400000,-64098000,-84109000,-99573000,-3635000,-3904000,-3772000,3691000,13815000,637000,-17429000,-19678000,-21709000,-15808000,-20908000,-23189000,-50715000,-77011000,-66494000,-76407000,-90085000,-82995000,-75854000
66,Other Total Stockholders Equity,1300000,10100000,10100000,10800000,11800000,12800000,14800000,16600000,22500000,27000000,41600000,54700000,71700000,77300000,106930000,154911000,856497000,533370000,502460000,261778000,120907000,-193066000,-264290000,-269108000,-453009000,-528792000,-614959000,-640859000,-806778000,-880855000,-951684000,-1105666000,-1400956000,-1577085000,-1779273000,-2620507000
67,Total Stockholders Equity,4200000,14800000,16800000,18400000,19700000,22300000,26600000,31500000,42900000,56100000,78300000,103200000,133500000,156500000,199001000,271772000,973472000,849542000,916471000,805094000,770028000,566314000,561941000,600269000,474914000,465494000,474406000,530677000,454614000,436998000,446828000,426537000,263737000,289767000,331082000,-110942000
68,Total Liabilities And Stockholders Equity,9600000,21300000,24500000,25900000,27600000,31400000,41900000,54200000,70900000,88300000,113100000,145200000,189600000,210400000,241288000,317013000,1212513000,1495173000,1444779000,1351061000,1321205000,1275771000,1275253000,1303888000,1123716000,1129468000,1158611000,1161547000,1192298000,1230163000,1221052000,1255620000,1255079000,1433448000,1606240000,1567776000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,9600000,21300000,24500000,25900000,27600000,31400000,41900000,54200000,70900000,88300000,113100000,145200000,189600000,210400000,241288000,317013000,1212513000,1495173000,1444779000,1351061000,1321205000,1275771000,1275253000,1303888000,1123716000,1129468000,1158611000,1161547000,1192298000,1230163000,1221052000,1255620000,1255079000,1433448000,1606240000,1567776000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/814547/000095000595000341/0000950005-95-000341-index.html,https://www.sec.gov/Archives/edgar/data/814547/000095000596001002/0000950005-96-001002-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/814547/000095000500001222/0000950005-00-001222-index.html,https://www.sec.gov/Archives/edgar/data/814547/000095000501500749/0000950005-01-500749-index.html,- -,https://www.sec.gov/Archives/edgar/data/814547/000093639203001666/a94662e10vk.htm,https://www.sec.gov/Archives/edgar/data/814547/000095013704011008/a03859e10vk.htm,https://www.sec.gov/Archives/edgar/data/814547/000095013405023081/c00522e10vk.htm,https://www.sec.gov/Archives/edgar/data/814547/000095013706013419/c10450e10vk.htm,https://www.sec.gov/Archives/edgar/data/814547/000095013707017904/0000950137-07-017904-index.html,https://www.sec.gov/Archives/edgar/data/814547/000095013708014107/0000950137-08-014107-index.html,https://www.sec.gov/Archives/edgar/data/814547/000095012309065746/0000950123-09-065746-index.html,https://www.sec.gov/Archives/edgar/data/814547/000095012310108284/0000950123-10-108284-index.html,https://www.sec.gov/Archives/edgar/data/814547/000119312511317245/0001193125-11-317245-index.html,https://www.sec.gov/Archives/edgar/data/814547/000119312512473516/0001193125-12-473516-index.html,https://www.sec.gov/Archives/edgar/data/814547/000119312513438562/0001193125-13-438562-index.html,https://www.sec.gov/Archives/edgar/data/814547/000081454714000011/0000814547-14-000011-index.html,https://www.sec.gov/Archives/edgar/data/814547/000081454715000019/0000814547-15-000019-index.html,https://www.sec.gov/Archives/edgar/data/814547/000081454716000035/0000814547-16-000035-index.html,https://www.sec.gov/Archives/edgar/data/814547/000081454717000014/0000814547-17-000014-index.html,https://www.sec.gov/Archives/edgar/data/814547/000081454718000010/0000814547-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/814547/000081454719000016/0000814547-19-000016-index.html,https://www.sec.gov/Archives/edgar/data/814547/000081454720000012/0000814547-20-000012-index.htm,https://www.sec.gov/Archives/edgar/data/814547/000081454721000019/0000814547-21-000019-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,1600000,2800000,3900000,5300000,10000000,12700000,16200000,20700000,24300000,29100000,27631000,46112000,17884000,107157000,102788000,134548000,103486000,104650000,83952000,65102000,64457000,71562000,92004000,90095000,94879000,86502000,109448000,128256000,142415000,192124000,236411000,392084000
74,Depreciation and Amortization,- -,- -,- -,- -,1300000,1100000,1400000,4500000,4900000,6200000,7800000,11800000,14900000,17400000,21461000,25074000,32913000,53617000,49887000,54444000,48695000,49126000,39494000,38419000,30918000,24197000,21549000,33214000,32632000,33889000,31633000,36214000,30182000,31612000,30367000,25592000
75,Deferred Income Tax,- -,- -,- -,- -,-1000000,-1100000,-300000,-1500000,-1800000,-1700000,300000,-2800000,-3800000,-100000,-2487000,2428000,5315000,2442000,11911000,13279000,1125000,3800000,-23095000,-5031000,6761000,1252000,-1042000,6558000,-9991000,6596000,-1823000,-6049000,25729000,7701000,-8639000,-5955000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19935000,17305000,15500000,21229000,25850000,36362000,45308000,55509000,61222000,74814000,82973000,93681000,112457000
77,Change in Working Capital,- -,- -,- -,- -,1600000,-600000,-3200000,1400000,1800000,7900000,8900000,14400000,7100000,1100000,44794000,-6070000,243341000,231545000,-223725000,-71262000,-398242000,20546000,332244000,98899000,-102942000,-7045000,-168263000,33588000,-136185000,95604000,-21166000,-37285000,-67979000,48581000,154689000,-12740000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31316000,-11561000,8571000,-26490000,1286000,-13649000,-4602000,-18225000,-1265000,-42403000,-36176000,-59889000,24496000
79,Inventory,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,-3800000,-4900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2519000,-317000,-1749000,6810000,-590000,3174000,-3672000,564000,-2027000,843000,1885000,1059000,-2354000
