,https://roic.ai/company/NTAP,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
25,EPS,0.03,0.00,0.08,0.13,0.25,0.23,0.01,0.23,0.44,0.63,0.72,0.80,0.88,0.26,1.18,1.87,1.66,1.40,1.87,1.77,0.78,1.85,0.28,4.60,3.56,3.29
26,EPS Diluted,0.03,0.00,0.07,0.12,0.21,0.21,0.01,0.22,0.42,0.59,0.69,0.77,0.86,0.26,1.13,1.71,1.58,1.37,1.83,1.75,0.77,1.81,0.28,4.51,3.52,3.23
27,Weighted Average Shares Outstanding,253120000,278272000,259656000,273740000,299370000,320435000,331645000,337647000,346965000,361009000,371061000,371204000,351676000,330279000,339600000,360900000,363900000,361500000,340300000,315500000,294000000,275000000,268000000,254000000,230000000,222000000
28,Weighted Average Shares Outstanding Diluted,253120000,282176000,287608000,311724000,345171000,359824000,350498000,350122000,366195000,380412000,388381000,388454000,361090000,334575000,353200000,393700000,384300000,368000000,347900000,320700000,297000000,281000000,276000000,259000000,233000000,226000000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1002047/000089161897002988/0000891618-97-002988-index.html,https://www.sec.gov/Archives/edgar/data/1002047/000089161898003420/0000891618-98-003420-index.html,https://www.sec.gov/Archives/edgar/data/1002047/000089161899003094/0000891618-99-003094-index.html,https://www.sec.gov/Archives/edgar/data/1002047/000089161800003806/0000891618-00-003806-index.html,https://www.sec.gov/Archives/edgar/data/1002047/000089161801501663/0000891618-01-501663-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1002047/000095013404009447/0000950134-04-009447-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1002047/000095013407014094/0000950134-07-014094-index.html,https://www.sec.gov/Archives/edgar/data/1002047/000095013408011751/0000950134-08-011751-index.html,https://www.sec.gov/Archives/edgar/data/1002047/000095012309014485/0000950123-09-014485-index.html,https://www.sec.gov/Archives/edgar/data/1002047/000095012310059271/0000950123-10-059271-index.html,https://www.sec.gov/Archives/edgar/data/1002047/000119312511171858/0001193125-11-171858-index.html,https://www.sec.gov/Archives/edgar/data/1002047/000119312512275547/d328654d10k.htm,https://www.sec.gov/Archives/edgar/data/1002047/000119312513261334/0001193125-13-261334-index.html,https://www.sec.gov/Archives/edgar/data/1002047/000119312514239169/0001193125-14-239169-index.html,https://www.sec.gov/Archives/edgar/data/1002047/000156459015005051/0001564590-15-005051-index.html,https://www.sec.gov/Archives/edgar/data/1002047/000156459016020754/0001564590-16-020754-index.html,https://www.sec.gov/Archives/edgar/data/1002047/000156459017012758/0001564590-17-012758-index.html,https://www.sec.gov/Archives/edgar/data/1002047/000156459018015820/0001564590-18-015820-index.html,https://www.sec.gov/Archives/edgar/data/1002047/000156459019022779/0001564590-19-022779-index.html,https://www.sec.gov/Archives/edgar/data/1002047/000156459020029349/0001564590-20-029349-index.htm,https://www.sec.gov/Archives/edgar/data/1002047/000156459021033645/0001564590-21-033645-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,21520000,37315000,221284000,279014000,271931000,- -,284161000,241149000,193542000,461256000,489000000,936000000,1494000000,1705000000,2757000000,1550000000,3277000000,2291000000,1922000000,2868000000,2444000000,2941000000,2325000000,2658000000,4529000000
32,Short-Term Investments,- -,6916000,10800000,5800000,74477000,92094000,- -,334677000,566816000,976423000,861636000,820000000,228000000,1110000000,2019000000,2417000000,3849000000,3676000000,2712000000,3404000000,2435000000,2477000000,2450000000,1574000000,224000000,67000000
33,Cash and Short-Term Investments,- -,28436000,48115000,227084000,353491000,364025000,- -,618838000,807965000,1169965000,1322892000,1309000000,1164000000,2604000000,3724000000,5174000000,5399000000,6953000000,5003000000,5326000000,5303000000,4921000000,5391000000,3899000000,2882000000,4596000000
34,Net Receivables,- -,13911000,34313000,57163000,108902000,186956000,- -,151637000,193942000,296885000,415295000,548000000,582000000,447000000,471500000,743000000,831000000,801000000,856000000,779000000,813000000,731000000,1047000000,1216000000,973000000,945000000
35,Inventory,- -,9920000,8707000,13581000,20434000,22504000,- -,31559000,34109000,38983000,64452000,55000000,70000000,61000000,112900000,109000000,162000000,140000000,122000000,146000000,98000000,163000000,122000000,131000000,145000000,114000000
36,Other Current Assets,- -,4353000,7804000,17518000,50173000,62032000,- -,51458000,53220000,70056000,230571000,329000000,251000000,327000000,228700000,339000000,435000000,524000000,490000000,522000000,234000000,383000000,392000000,364000000,274000000,346000000
37,Total Current Assets,- -,56620000,98939000,315346000,533000000,635517000,- -,853492000,1089236000,1575889000,2033210000,2241000000,2067000000,3439000000,4537100000,6365000000,6827000000,8418000000,6471000000,6773000000,6448000000,6198000000,6952000000,5610000000,4274000000,6001000000
38,PP&E,- -,9238000,12217000,19271000,47949000,103238000,- -,362862000,370717000,418749000,513193000,604000000,694000000,808000000,804400000,912000000,1137000000,1171000000,1109000000,1030000000,937000000,799000000,756000000,759000000,864000000,639000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,487535000,601000000,680000000,681000000,681000000,760000000,905000000,988000000,988000000,1027000000,1676000000,1684000000,1739000000,1735000000,1778000000,2039000000
40,Intangible Assets,- -,- -,- -,- -,- -,79510000,- -,51166000,323534000,313264000,75051000,83000000,90000000,46000000,25100000,53000000,236000000,181000000,122000000,90000000,180000000,131000000,94000000,47000000,44000000,101000000
41,Intangible Assets,- -,- -,- -,- -,- -,79510000,- -,51166000,323534000,313264000,562586000,684000000,770000000,727000000,706100000,813000000,1141000000,1169000000,1110000000,1117000000,1856000000,1815000000,1833000000,1782000000,1822000000,2140000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,127317000,72800000,69200000,51000000,42000000,36000000,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,219000000
44,Other Non-Current Assets,- -,3083000,4580000,11730000,11284000,217987000,- -,51653000,93779000,64745000,151976000,129000000,540000000,282683000,374000000,339800000,376000000,442000000,488000000,481000000,796000000,681000000,450000000,590000000,562000000,361000000
45,Total Non-Current Assets,- -,12321000,16797000,31001000,59233000,400735000,- -,465681000,788030000,796758000,1227755000,1417000000,2004000000,1945000000,1957300000,2134000000,2705000000,2824000000,2743000000,2628000000,3589000000,3295000000,3039000000,3131000000,3248000000,3359000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,68941000,115736000,346347000,592233000,1036252000,- -,1319173000,1877266000,2372647000,3260965000,3658000000,4071000000,5384000000,6494400000,8499000000,9532000000,11242000000,9214000000,9401000000,10037000000,9493000000,9991000000,8741000000,7522000000,9360000000
48,Accounts Payable,- -,4394000,10024000,15126000,34061000,64892000,- -,39600000,52719000,83572000,101278000,144000000,178000000,138000000,184600000,233000000,233000000,260000000,247000000,284000000,254000000,347000000,609000000,542000000,426000000,420000000
49,Short-Term Debt,- -,21000,17000,- -,- -,- -,- -,- -,- -,- -,166211000,- -,- -,- -,- -,- -,- -,- -,- -,- -,849000000,500000000,385000000,249000000,522000000,49000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,53371000,6245000,4732000000,- -,133300000,161000000,189600000,235900000,271900000,216000000,218000000,348000000,296000000,- -,- -
51,Deferred Revenue,- -,2317000,4799000,11474000,23182000,58316000,- -,110672000,166602000,261998000,399388000,110741000,127197000,207050000000,1135100000,1226600000,1366500000,1563300000,1653800000,1724200000,1794000000,1744000000,1804000000,1825000000,1894000000,2062000000
52,Other Current Liabilities,- -,7969000,14468000,23930000,56190000,95565000,- -,114744000,124902000,174619000,250286000,933259000,1108803000,-205509000000,591300000,1913400000,1920500000,2007700000,794200000,700800000,765000000,1531000000,733000000,1251000000,774000000,921000000
53,Total Current Liabilities,- -,14701000,29308000,50530000,113433000,218773000,- -,265016000,344223000,520189000,917163000,1188000000,1414000000,1679000000,1911000000,3373000000,3520000000,3831000000,2695000000,2709000000,3662000000,4122000000,3531000000,3867000000,3616000000,3452000000
54,Long-Term Debt,- -,12000,163000,93000,54000,149000,- -,- -,4858000,4474000,133790000,- -,173000000,1055000000,1101500000,115000000,63000000,995000000,990000000,1487000000,1490000000,744000000,1541000000,1144000000,1146000000,2703000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,779500000,1088300000,1449400000,1446200000,1446400000,1473000000,- -,- -,- -,1843000000,1804000000,1941000000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,126448000,208529000,372065000000,- -,45600000,92600000,93700000,47300000,47500000,47000000,45000000,72000000,1843000000,1804000000,- -
57,Other Non-Current Liabilities,- -,199000,- -,- -,- -,12882000,- -,66800000,112337000,187180000,286559000,354552000,575471000,-371199000000,171900000,147100000,114000000,159100000,248300000,270500000,1957000000,1802000000,2571000000,-1046000000,-1090000000,579000000
58,Total Non-Current Liabilities,- -,211000,163000,93000,54000,13031000,- -,66800000,117195000,191654000,420349000,481000000,957000000,1921000000,2052900000,1396000000,1719000000,2694000000,2732000000,3278000000,3494000000,2591000000,4184000000,3784000000,3664000000,5223000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,130000000,- -,- -,144000000,120000000
61,Total Liabilities,- -,14912000,29471000,50623000,113487000,231804000,- -,331816000,461418000,711843000,1337512000,1669000000,2371000000,3600000000,3963900000,4769000000,5239000000,6525000000,5427000000,5987000000,7156000000,6713000000,7715000000,7651000000,7280000000,8675000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,54707000,66422000,240807000,352693000,616595000,- -,341000,364000,381000,408000,- -,- -,- -,500000,1000000,1000000,1000000,- -,3385000000,2912000000,2769000000,2355000000,1133000000,284000000,504000000
64,Retained Earnings,- -,-624000,20341000,55954000,129746000,204632000,- -,284137000,436224000,661978000,928430000,1226000000,1536000000,1601000000,2000900000,2674000000,2805000000,2897000000,1000000,53000000,- -,40000000,-9000000,- -,- -,211000000
65,Other Comprehensive Income/Loss,- -,-4514000,-9506000,-14688000,-18673000,-40784000,- -,-1459000,-173136000,-19832000,-60364000,6000000,1000000,-5000000,3000000,13000000,5000000,9000000,9000000,-24000000,-31000000,-29000000,-70000000,-43000000,-42000000,-30000000
66,Other Total Stockholders Equity,- -,4460000,9008000,13651000,14980000,24005000,- -,- -,1152396000,- -,- -,757000000,163000000,188000000,526100000,1042200000,1545200000,1810500000,3777000000,100000,- -,- -,-209000000,- -,- -,- -
67,Total Stockholders Equity,- -,54029000,86265000,295724000,478746000,804448000,- -,987357000,1415848000,1660804000,1923453000,1989021000,1700339000,1662346000,2530500000,3730200000,4356200000,4717500000,3786500000,3414100000,2881000000,2780000000,2067000000,1090000000,242000000,685000000
68,Total Liabilities And Stockholders Equity,- -,68941000,115736000,346347000,592233000,1036252000,- -,1319173000,1877266000,2372647000,3260965000,3658021000,4071339000,5262346000,6494400000,8499200000,9595200000,11242500000,9213500000,9401100000,10037000000,9493000000,9782000000,8741000000,7522000000,9360000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-21000,-339000,121654000,- -,-200000,-63200000,-500000,500000,-100000,- -,- -,209000000,- -,- -,- -
70,Total Liabilities & Equity,- -,68941000,115736000,346347000,592233000,1036252000,- -,1319173000,1877266000,2372647000,3260965000,3658000000,4071000000,5384000000,6494400000,8499000000,9532000000,11242000000,9214000000,9401000000,10037000000,9493000000,9991000000,8741000000,7522000000,9360000000
71,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/1002047/000089161897002988/0000891618-97-002988-index.html,https://www.sec.gov/Archives/edgar/data/1002047/000089161898003420/0000891618-98-003420-index.html,https://www.sec.gov/Archives/edgar/data/1002047/000089161899003094/0000891618-99-003094-index.html,https://www.sec.gov/Archives/edgar/data/1002047/000089161800003806/0000891618-00-003806-index.html,https://www.sec.gov/Archives/edgar/data/1002047/000089161801501663/0000891618-01-501663-index.html,undefined,- -,https://www.sec.gov/Archives/edgar/data/1002047/000095013404009447/0000950134-04-009447-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1002047/000095013407014094/0000950134-07-014094-index.html,https://www.sec.gov/Archives/edgar/data/1002047/000095013408011751/0000950134-08-011751-index.html,https://www.sec.gov/Archives/edgar/data/1002047/000095012309014485/0000950123-09-014485-index.html,https://www.sec.gov/Archives/edgar/data/1002047/000095012310059271/0000950123-10-059271-index.html,https://www.sec.gov/Archives/edgar/data/1002047/000119312511171858/0001193125-11-171858-index.html,https://www.sec.gov/Archives/edgar/data/1002047/000119312512275547/d328654d10k.htm,https://www.sec.gov/Archives/edgar/data/1002047/000119312513261334/0001193125-13-261334-index.html,https://www.sec.gov/Archives/edgar/data/1002047/000119312514239169/0001193125-14-239169-index.html,https://www.sec.gov/Archives/edgar/data/1002047/000156459015005051/0001564590-15-005051-index.html,https://www.sec.gov/Archives/edgar/data/1002047/000156459016020754/0001564590-16-020754-index.html,https://www.sec.gov/Archives/edgar/data/1002047/000156459017012758/0001564590-17-012758-index.html,https://www.sec.gov/Archives/edgar/data/1002047/000156459018015820/0001564590-18-015820-index.html,https://www.sec.gov/Archives/edgar/data/1002047/000156459019022779/0001564590-19-022779-index.html,https://www.sec.gov/Archives/edgar/data/1002047/000156459020029349/0001564590-20-029349-index.htm,https://www.sec.gov/Archives/edgar/data/1002047/000156459021033645/0001564590-21-033645-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,6600000,250000,20965000,35613000,73792000,74886000,3033000,76472000,152087000,225754000,266452000,297700000,309700000,64600000,400400000,673100000,605400000,505300000,637500000,559900000,229000000,481000000,116000000,1169000000,819000000,730000000
74,Depreciation and Amortization,1386000,2866000,5548000,8146000,15708000,42260000,65290000,57411000,59453000,65624000,81797000,110833000,144184000,170538000,166000000,165600000,293100000,344600000,334100000,307200000,279000000,226000000,198000000,197000000,193000000,207000000
75,Deferred Income Tax,-2100000,-2794000,-1749000,-5084000,-11614000,-35467000,-4592000,-18344000,-21452000,6321000,1545000,-19523000,-53031000,-108371000,-11300000,-26300000,46600000,-76600000,-76000000,-2700000,-113000000,90000000,277000000,-3000000,-17000000,-6000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,140754000,159800000,175200000,257600000,276600000,273000000,259300000,260000000,195000000,161000000,158000000,153000000,197000000
77,Change in Working Capital,-2580000,27712000,-27712000,27712000,195185000,154751000,-2823000,171732000,156537000,310687000,60347000,-63047000,-400000000,1107000000,866100000,365900000,315000000,1280000000,-811000000,288000000,-1278000000,-710000000,1345000000,-1678000000,-1085000000,285000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,128692000,-21300000,-262700000,-90400000,23100000,-56600000,74800000,-16000000,81000000,-272000000,-185000000,238000000,62000000
79,Inventory,-1181000,-5095000,1213000,-4934000,-12425000,-13683000,-6156000,-16253000,-9975000,-14996000,-46247000,9908000,-15382000,9126000,-52100000,4400000,-16500000,22000000,17000000,-24100000,49000000,-65000000,37000000,-9000000,-14000000,31000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-26969000,42700000,38700000,11400000,25100000,-12100000,38600000,-53000000,94000000,262000000,-57000000,-117000000,-11000000
81,Other Working Capital,41919000,69631000,41919000,69631000,264816000,419567000,416744000,588476000,745013000,1055700000,1116047000,1053000000,653000000,1760000000,2626100000,2992000000,3307000000,4587000000,3776000000,4064000000,2786000000,2076000000,3421000000,1743000000,658000000,193000000
82,Other Non-Cash Items,197000,-21765000,25674000,-20440000,-154991000,-18077000,82985000,-92021000,-35738000,-146268000,144141000,538493000,1008033000,-485291000,-606000000,-7200000,-55100000,-943600000,992000000,-143600000,1597000000,704000000,-619000000,1498000000,997000000,-80000000
83,Cash Provided by Operating Activities,3503000,6269000,22726000,45947000,118080000,218353000,143893000,195250000,310887000,462118000,554282000,864456000,1008886000,889230000,975000000,1346300000,1462600000,1386300000,1349600000,1268100000,974000000,986000000,1478000000,1341000000,1060000000,1333000000
84,CAPEX,-4281000,-7124000,-7971000,-15474000,-40819000,-83685000,-284238000,-61269000,-48601000,-93568000,-132915000,-165828000,-188280000,-289657000,-135600000,-222700000,-407100000,-303300000,-221400000,-175300000,-160000000,-175000000,-145000000,-173000000,-124000000,-162000000
85,Acquisitions Net,- -,- -,- -,- -,- -,-7171000,- -,- -,-6841000,- -,-53747000,-131241000,-99390000,- -,- -,-136500000,-480000000,-106500000,- -,-84600000,-842000000,-8000000,-75000000,-3000000,-73000000,-350000000
86,Purchases of Investments,-2982000,-17770000,-15050000,-18680000,-106514000,-172938000,-362911000,-361735000,-590623000,-872662000,-1029412000,-2631933000,-1057685000,-1750779000,-2632600000,-2190900000,-3572400000,-2287700000,-1018500000,-2596800000,-1589000000,-1977000000,-1389000000,-41000000,-13000000,-5000000
87,Sales/Maturities of Investments,- -,13836000,11166000,23680000,30650000,151595000,211862000,271910000,355682000,605773000,900993000,2821020000,1449053000,1036779000,1772300000,1772400000,2147500000,2464700000,1993500000,1952000000,2571000000,1934000000,1379000000,917000000,1383000000,165000000
88,Other Investing Activites,- -,11000,-2000000,-7000000,2500000,- -,- -,- -,-8892000,9149000,-10921000,24204000,-793000,336000,8200000,500000,1600000,4200000,6800000,1500000,105000000,6000000,209000000,4000000,96000000,373000000
89,Cash Used for Investing Activites,-7263000,-11047000,-13855000,-17474000,-114183000,-112199000,-435287000,-151094000,-299275000,-351308000,-326002000,-83778000,102905000,-1003321000,-987700000,-777200000,-2310400000,-228600000,760400000,-903200000,85000000,-220000000,-21000000,704000000,1269000000,21000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-199181000,- -,-1000000,- -,- -,-1264900000,- -,-20000000,-850000000,-865000000,-136000000,-410000000,-689000000
91,Common Stock Issued,26628000,1730000,6937000,155496000,53833000,80510000,36472000,29249000,81548000,181922000,232745000,215453000,114697000,254073000,197100000,324200000,142100000,110600000,201400000,156900000,70000000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-52000,-1000,- -,- -,- -,- -,- -,-136172000,-192903000,-488908000,-805708000,-903704000,-399981000,- -,- -,-600000000,-590000000,-1881500000,-1165200000,-960000000,-705000000,-794000000,-2111000000,-1411000000,-125000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-202300000,-207400000,-210000000,-208000000,-214000000,-403000000,-439000000,-427000000
94,Other Financing Activites,-22000,-17000,-12000,- -,- -,-193747000,193747000,- -,- -,-1122000,298938000,-157003000,126615000,1041689000,22800000,127700000,114300000,1058300000,43300000,540500000,1011000000,584000000,887000000,19000000,300000000,1685000000
95,Cash Used/Provided by Financing Activities,26606000,1661000,6924000,155496000,53833000,-113237000,230219000,29249000,-54624000,-12103000,42775000,-747258000,-662392000,696600000,219900000,450900000,-343600000,578900000,-3104000000,-675200000,-109000000,-1179000000,-986000000,-2631000000,-1960000000,444000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,2507000,-3341000,-5597000,-1999000,-24835000,3600000,32300000,-16100000,-9300000,7900000,-59200000,-4000000,-11000000,26000000,-30000000,-34000000,71000000
97,Net Change In Cash,22846000,-3117000,15795000,183969000,57730000,-7083000,-61175000,73405000,-43012000,101214000,267714000,27823000,447400000,557674000,210800000,1052300000,-1207500000,1727300000,-986100000,-369500000,946000000,-424000000,497000000,-616000000,335000000,1869000000
98,Cash at the End of Period,24637000,21520000,37315000,221284000,279014000,271931000,210756000,284161000,241149000,193542000,461256000,489079000,936479000,1494153000,1705000000,2757300000,1549800000,3277100000,2291000000,1921500000,2868000000,2444000000,2941000000,2331000000,2666000000,4535000000
99,Cash at the Beginning of Period,1791000,24637000,21520000,37315000,221284000,279014000,271931000,210756000,284161000,92328000,193542000,461256000,489079000,936479000,1494200000,1705000000,2757300000,1549800000,3277100000,2291000000,1922000000,2868000000,2444000000,2947000000,2331000000,2666000000
100,Free Cash Flow,-778000,-855000,14755000,30473000,77261000,134668000,-140345000,133981000,262286000,368550000,421367000,698628000,820606000,599573000,839400000,1123600000,1055500000,1083000000,1128200000,1092800000,814000000,811000000,1333000000,1168000000,936000000,1171000000
