,https://roic.ai/company/KSS,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
11,COGS and Expenses,803400000,954200000,1032300000,1203300000,1430200000,1775900000,2199000000,2801600000,3344000000,4109000000,5501000000,6639000000,8030000000,9258790000,10464000000,11986000000,13729000000,14669000000,14853000000,15466000000,15549000000,16646000000,17389000000,17289000000,17334000000,17820000000,18498000000,18668000000,18931000000,18866000000,16255000000,16915000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000000,9000000,4000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,134000000,141000000,303000000,329000000,338000000,340000000,327000000,308000000,299000000,256000000,207000000,284000000,260000000
14,Depreciation and Amortization,18700000,19900000,19800000,24000000,27400000,34000000,44200000,57700000,70200000,88837000,133273000,167049000,201791000,247476000,289108000,339826000,388515000,453171000,543000000,591000000,656000000,778000000,833000000,889000000,886000000,934000000,938000000,991000000,964000000,917000000,874000000,838000000
15,EBITDA,46700000,50800000,67800000,118900000,144800000,156800000,215200000,292800000,386200000,509837000,738273000,967049000,1235791000,1197849000,1462978000,1685656000,2163279000,2195381000,1968000000,2313000000,2585000000,2940000000,2723000000,2631000000,2575000000,2318000000,2121000000,2407000000,2262000000,2025000000,612000000,2317000000
16,EBITDA ratio,0.0541,0.0505,0.0618,0.0911,0.0932,0.0814,0.0901,0.0957,0.1049,0.1119,0.1200,0.1291,0.1355,0.1165,0.1250,0.1258,0.1392,0.1333,0.1201,0.1346,0.1406,0.1563,0.1412,0.1382,0.1354,0.1207,0.1078,0.1198,0.1118,0.1014,0.0384,0.1192
17,Operating Income,59500000,51600000,64600000,102400000,123900000,149800000,189000000,258500000,338000000,448000000,651000000,850000000,1090000000,1023304000,1237000000,1416000000,1815000000,1804000000,1536000000,1712000000,2092000000,2158000000,1890000000,1742000000,1689000000,1553000000,1183000000,1416000000,1361000000,1099000000,-262000000,1680000000
18,Operating Income ratio,0.0690,0.0513,0.0589,0.0784,0.0797,0.0778,0.0791,0.0845,0.0918,0.0983,0.1058,0.1135,0.1195,0.0995,0.1057,0.1057,0.1168,0.1095,0.0937,0.0997,0.1138,0.1148,0.0980,0.0915,0.0888,0.0809,0.0601,0.0705,0.0673,0.0550,-0.0164,0.0865
19,Total Other Income Expenses (Gains),-31500000,-19900000,-16600000,-5700000,-6500000,-27000000,-18000000,-23400000,-21000000,-27000000,-46000000,-50000000,-56000000,-72931000,-63000000,-70000000,-41000000,-62000000,-111000000,-124000000,-304000000,-299000000,-329000000,-338000000,-340000000,-496000000,-308000000,-299000000,-319000000,-198000000,-284000000,-461000000
20,Income Before Tax,28000000,31700000,48000000,96700000,117400000,122800000,171000000,235100000,317000000,421000000,605000000,800000000,1034000000,950373000,1174000000,1346000000,1774000000,1742000000,1425000000,1588000000,1788000000,1859000000,1561000000,1404000000,1349000000,1057000000,875000000,1117000000,1042000000,901000000,-546000000,1219000000
21,Income Before Tax Ratio,0.0324,0.0315,0.0438,0.0741,0.0755,0.0638,0.0716,0.0768,0.0861,0.0924,0.0983,0.1068,0.1134,0.0924,0.1003,0.1004,0.1141,0.1057,0.0869,0.0924,0.0972,0.0989,0.0810,0.0738,0.0709,0.0550,0.0445,0.0556,0.0515,0.0451,-0.0342,0.0627
22,Income Tax expense (Gain),13000000,14200000,21400000,41000000,48900000,50100000,69000000,93800000,124000000,163000000,233000000,304000000,391000000,359221000,443870000,503830000,665764000,658210000,540000000,597000000,668000000,692000000,575000000,515000000,482000000,384000000,319000000,258000000,241000000,210000000,-383000000,281000000
23,Net Income,15000000,16700000,26600000,53900000,68500000,72700000,102000000,141300000,192000000,258000000,372000000,496000000,643000000,591152000,730000000,842000000,1109000000,1084000000,885000000,991000000,1120000000,1167000000,986000000,889000000,867000000,673000000,556000000,859000000,801000000,691000000,-163000000,938000000
24,Net Income ratio,0.0174,0.0166,0.0243,0.0413,0.0441,0.0378,0.0427,0.0462,0.0521,0.0566,0.0605,0.0662,0.0705,0.0575,0.0624,0.0628,0.0713,0.0658,0.0540,0.0577,0.0609,0.0621,0.0511,0.0467,0.0456,0.0350,0.0283,0.0428,0.0396,0.0346,-0.0102,0.0483
25,EPS,0.07,0.07,0.11,0.17,0.24,0.25,0.35,0.47,0.61,0.80,1.13,1.48,1.91,1.74,2.14,2.45,3.34,3.41,2.89,3.25,3.67,4.33,4.19,4.08,4.28,3.48,3.12,5.14,4.88,4.39,-1.06,6.47
26,EPS Diluted,0.07,0.07,0.11,0.16,0.23,0.25,0.34,0.46,0.59,0.77,1.10,1.45,1.87,1.72,2.12,2.43,3.31,3.39,2.89,3.23,3.65,4.30,4.17,4.05,4.24,3.46,3.11,5.12,4.84,4.37,-1.06,6.38
27,Weighted Average Shares Outstanding,214285714,238571429,241818182,317058824,285416667,290800000,292857143,304942000,315245902,324628000,333112720,335138497,336676000,339199000,341724000,344172000,332323000,317844868,306000000,305000000,304000000,270000000,235000000,218000000,203000000,193000000,178000000,167000000,164000000,157000000,154000000,145000000
28,Weighted Average Shares Outstanding Diluted,214285714,238571429,241818182,336875000,297826087,290800000,301470588,312154000,325932203,333856000,333112720,335138497,346728000,344907000,344773000,346772000,334771000,319720059,307000000,306000000,306000000,271000000,237000000,220000000,204000000,195000000,179000000,168000000,165000000,158000000,154000000,147000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/885639/0000950131-98-002734-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/885639/000119312504045654/d10k.htm,https://www.sec.gov/Archives/edgar/data/885639/000119312505055302/d10k.htm,https://www.sec.gov/Archives/edgar/data/885639/000119312506058252/d10k.htm,https://www.sec.gov/Archives/edgar/data/885639/000119312507062937/d10k.htm,https://www.sec.gov/Archives/edgar/data/885639/000119312508062622/d10k.htm,https://www.sec.gov/Archives/edgar/data/885639/000119312509059797/0001193125-09-059797-index.html,https://www.sec.gov/Archives/edgar/data/885639/000119312510061795/0001193125-10-061795-index.html,https://www.sec.gov/Archives/edgar/data/885639/000119312512119732/0001193125-12-119732-index.htm,- -,https://www.sec.gov/Archives/edgar/data/885639/000088563913000004/0000885639-13-000004-index.html,https://www.sec.gov/Archives/edgar/data/885639/000088563914000007/kohls_10kx2013.htm,https://www.sec.gov/Archives/edgar/data/885639/000088563915000007/kohls_10kx2014.htm,https://www.sec.gov/Archives/edgar/data/885639/000088563916000033/0000885639-16-000033-index.html,https://www.sec.gov/Archives/edgar/data/885639/000088563917000007/0000885639-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/885639/000156459018006671/0001564590-18-006671-index.html,https://www.sec.gov/Archives/edgar/data/885639/000156459019009005/0001564590-19-009005-index.html,https://www.sec.gov/Archives/edgar/data/885639/000156459020011512/0001564590-20-011512-index.html,https://www.sec.gov/Archives/edgar/data/885639/000156459021014145/0001564590-21-014145-index.htm,https://www.sec.gov/Archives/edgar/data/885639/000095017022004076/0000950170-22-004076-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,9000000,44200000,3000000,13000000,124000000,107000000,90000000,112748000,117000000,127000000,189000000,181000000,167000000,2267000000,2277000000,1205000000,537000000,971000000,1407000000,707000000,1074000000,1308000000,934000000,723000000,2271000000,1587000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,27000000,28000000,49000000,229000000,476000000,34285000,89000000,160000000,431000000,483000000,509000000,- -,277000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,9000000,44200000,30000000,41000000,173000000,336000000,566000000,147033000,206000000,287000000,620000000,664000000,676000000,2267000000,2554000000,1205000000,537000000,971000000,1407000000,707000000,1074000000,1308000000,934000000,723000000,2271000000,1587000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,239600000,271000000,501000000,681000000,836000000,991000000,1150157000,1390000000,1652000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,62000000,29000000,15000000,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,423000000,515800000,617000000,794000000,1003000000,1198000000,1627000000,1606990000,1947000000,2238000000,2588000000,2856000000,2799000000,2923000000,3036000000,3199000000,3748000000,3874000000,3814000000,4038000000,3795000000,3542000000,3475000000,3537000000,2590000000,3067000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,33000000,11800000,21000000,31000000,65000000,94000000,100000000,120659000,100000000,89000000,193000000,204000000,225000000,295000000,52000000,371000000,434000000,447000000,477000000,331000000,378000000,468000000,397000000,374000000,974000000,369000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,465000000,811400000,939000000,1367000000,1922000000,2464000000,3284000000,3024839000,3643000000,4266000000,3401000000,3724000000,3700000000,5485000000,5642000000,4775000000,4719000000,5292000000,5698000000,5076000000,5247000000,5380000000,4835000000,4649000000,5835000000,5023000000
38,PP&E,- -,- -,- -,- -,- -,- -,596000000,749600000,933000000,1353000000,1726000000,2199000000,2739000000,3324243000,3988000000,4544000000,5353000000,6510000000,6984000000,7018000000,8692000000,8905000000,8872000000,8745000000,8515000000,8308000000,8103000000,7773000000,7428000000,9743000000,9087000000,7304000000
39,Goodwill,- -,- -,- -,- -,- -,- -,35000000,- -,25000000,20000000,15000000,9000000,9000000,- -,9000000,9000000,9000000,9000000,9000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,18000000,30100000,14000000,133000000,127000000,175000000,180000000,244829000,225000000,212000000,219000000,210000000,201000000,204000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,53000000,30100000,39000000,153000000,142000000,184000000,189000000,244829000,234000000,221000000,228000000,219000000,210000000,204000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,321000000,277000000,153000000,53000000,64000000,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,39000000,- -,54000000,66000000,84000000,114000000,172000000,- -,297000000,218000000,244000000,262000000,- -,377000000,- -,- -,362000000,382000000,- -,257000000,272000000,211000000,184000000,260000000,42000000,206000000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,-31000000,28600000,-29000000,-24000000,-19000000,-31000000,-68000000,104539000,-183000000,-96000000,-185000000,-155000000,440000000,-245000000,-277000000,261000000,-101000000,-105000000,218000000,-35000000,-48000000,25000000,22000000,-97000000,373000000,2521000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,657000000,808300000,997000000,1548000000,1933000000,2466000000,3032000000,3673611000,4336000000,4887000000,5640000000,6836000000,7634000000,7675000000,8692000000,9319000000,9186000000,9086000000,8733000000,8530000000,8327000000,8009000000,7634000000,9906000000,9502000000,10031000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,1122000000,1619700000,1936000000,2915000000,3855000000,4930000000,6316000000,6698450000,7979000000,9153000000,9041000000,10560000000,11334000000,13160000000,14334000000,14094000000,13905000000,14378000000,14431000000,13606000000,13574000000,13389000000,12469000000,14555000000,15337000000,15054000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,127000000,150700000,213000000,330000000,400000000,479000000,695000000,532599000,705000000,830000000,934000000,836000000,881000000,1188000000,1138000000,1258000000,1307000000,1365000000,1511000000,1251000000,1507000000,1271000000,1187000000,1206000000,1476000000,1683000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,1800000,- -,85000000,5000000,- -,355464000,12529000,3464000,107941000,18841000,12701000,17000000,16000000,418000000,94000000,105000000,139000000,110000000,127000000,131000000,126000000,115000000,282000000,276000000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,184000000,127000000,299000000,290000000,260000000,263000000,314000000,295000000,250000000,224000000,230000000,196000000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,56693000,- -,54050000,23677000,40190000,71069000,- -,73000000,77000000,- -,122000000,142000000,307000000,257000000,272000000,213000000,184000000,260000000,339000000,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,109000000,133700000,167000000,219000000,318000000,401000000,400843000,577229000,693486000,784382000,925969000,851230000,917000000,1113000000,1148000000,1238000000,1001000000,1090000000,931000000,1079000000,1064000000,1099000000,1244000000,1021000000,931000000,1603000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,236000000,286200000,380000000,634000000,723000000,880000000,1508000000,1122357000,1456000000,1746000000,1919000000,1771000000,1815000000,2390000000,2781000000,2590000000,2535000000,2736000000,2859000000,2714000000,2974000000,2709000000,2730000000,2769000000,3022000000,3286000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,312000000,310400000,311000000,495000000,803000000,1095000000,1059000000,1075973000,1103000000,1046000000,1040000000,2052000000,2053000000,2052000000,400000000,4150000000,4448000000,4722000000,2793000000,4581000000,4480000000,4388000000,3384000000,3223000000,6463000000,1910000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,206000000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,45100000,- -,- -,- -,- -,- -,236712000,- -,- -,- -,- -,320000000,377000000,- -,386000000,362000000,382000000,368000000,257000000,272000000,213000000,184000000,260000000,302000000,206000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,57000000,23200000,82000000,100000000,127000000,163000000,237000000,72069000,454000000,404000000,479000000,635000000,407000000,488000000,450000000,460000000,512000000,560000000,2420000000,563000000,671000000,660000000,644000000,2853000000,354000000,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,369000000,378700000,393000000,595000000,930000000,1258000000,1296000000,1384754000,1557000000,1450000000,1519000000,2687000000,2780000000,2917000000,850000000,4996000000,5322000000,5664000000,5581000000,5401000000,5423000000,5261000000,4212000000,6336000000,7119000000,2322000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12918000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9429000000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16000000,- -,2103000000,2061000000,2069000000,1968000000,1916000000,1816000000,1717000000,1638000000,4268000000,4288000000,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,605000000,664900000,773000000,1229000000,1653000000,2138000000,2804000000,2507111000,3013000000,3196000000,3438000000,4458000000,4595000000,5307000000,14849000000,7586000000,7857000000,8400000000,8440000000,8115000000,8397000000,7970000000,6942000000,9105000000,10141000000,10393000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,1000000,- -,2000000,3000000,3000000,3000000,3000000,3401000,3000000,3000000,3000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,323000000,464700000,657000000,915000000,1287000000,1783000000,2426000000,3017419000,3705000000,4371000000,5480000000,6563000000,7448000000,8439000000,9301000000,10195000000,10878000000,11462000000,12008000000,12329000000,12522000000,12999000000,13395000000,13745000000,13468000000,14257000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,-129000000,-176900000,-208000000,-279000000,-385000000,-490000000,-617000000,-775469000,-985000000,-1242000000,-1654000000,-2030000000,-46000000,-36000000,-37000000,-53000000,-45000000,-34000000,-20000000,-17000000,-14000000,-11000000,- -,-7002000000,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,322000000,667000000,712000000,1047000000,1298000000,1495000000,1699917000,1945988000,2243728000,2825338000,1774395000,1564603000,-667000000,-554000000,-1166000000,- -,-4789000000,-5454000000,-6001000000,-6825000000,-7335000000,-7566000000,-7872000000,-1297000000,-8276000000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,517000000,954800000,1163000000,1686000000,2203000000,2791000000,3511917000,4191339000,4966728000,5957338000,5603395000,6101603000,6739000000,7853000000,8102000000,6508000000,6048000000,5978000000,5991000000,5491000000,5177000000,5426000000,5527000000,5450000000,5196000000,4661000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,1122000000,1619700000,1936000000,2915000000,3856000000,4929000000,6315917000,6698450000,7979728000,9153338000,9041395000,10559603000,11334000000,13160000000,22951000000,14094000000,13905000000,14378000000,14431000000,13606000000,13574000000,13396000000,12469000000,14555000000,15337000000,15054000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000000,1000000,83000,- -,-728000,-338000,-395000,397000,- -,- -,-8617000000,- -,- -,- -,- -,- -,- -,-7000000,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,1122000000,1619700000,1936000000,2915000000,3855000000,4930000000,6316000000,6698450000,7979000000,9153000000,9041000000,10560000000,11334000000,13160000000,14334000000,14094000000,13905000000,14378000000,14431000000,13606000000,13574000000,13389000000,12469000000,14555000000,15337000000,15054000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/885639/0000950131-98-002734-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/885639/000119312504045654/d10k.htm,https://www.sec.gov/Archives/edgar/data/885639/000119312505055302/d10k.htm,https://www.sec.gov/Archives/edgar/data/885639/000119312506058252/d10k.htm,https://www.sec.gov/Archives/edgar/data/885639/000119312507062937/d10k.htm,https://www.sec.gov/Archives/edgar/data/885639/000119312508062622/d10k.htm,https://www.sec.gov/Archives/edgar/data/885639/000119312509059797/0001193125-09-059797-index.html,https://www.sec.gov/Archives/edgar/data/885639/000119312510061795/0001193125-10-061795-index.html,https://www.sec.gov/Archives/edgar/data/885639/000119312512119732/0001193125-12-119732-index.htm,- -,https://www.sec.gov/Archives/edgar/data/885639/000088563913000004/0000885639-13-000004-index.html,https://www.sec.gov/Archives/edgar/data/885639/000088563914000007/kohls_10kx2013.htm,https://www.sec.gov/Archives/edgar/data/885639/000088563915000007/kohls_10kx2014.htm,https://www.sec.gov/Archives/edgar/data/885639/000088563916000033/0000885639-16-000033-index.html,https://www.sec.gov/Archives/edgar/data/885639/000088563917000007/0000885639-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/885639/000156459018006671/0001564590-18-006671-index.html,https://www.sec.gov/Archives/edgar/data/885639/000156459019009005/0001564590-19-009005-index.html,https://www.sec.gov/Archives/edgar/data/885639/000156459020011512/0001564590-20-011512-index.html,https://www.sec.gov/Archives/edgar/data/885639/000156459021014145/0001564590-21-014145-index.htm,https://www.sec.gov/Archives/edgar/data/885639/000095017022004076/0000950170-22-004076-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,15000000,16700000,26600000,53900000,68500000,72700000,102000000,141300000,192000000,258000000,372000000,496000000,643000000,591152000,730000000,842000000,1109000000,1084000000,885000000,991000000,1120000000,1167000000,986000000,889000000,867000000,673000000,556000000,859000000,801000000,691000000,-163000000,938000000
74,Depreciation and Amortization,18700000,19900000,19800000,24000000,27400000,34000000,44200000,57700000,70200000,88837000,133273000,167049000,201791000,247476000,289108000,339826000,388515000,453171000,543000000,591000000,656000000,778000000,833000000,889000000,886000000,934000000,938000000,991000000,964000000,917000000,874000000,838000000
75,Deferred Income Tax,2200000,-1500000,- -,4500000,8200000,10700000,4900000,-2800000,900000,4923000,427000,17211000,53322000,71632000,82430000,18793000,9216000,-11958000,84000000,52000000,38000000,144000000,-79000000,-7000000,46000000,-38000000,13000000,-61000000,-31000000,51000000,18000000,-92000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,64000000,66000000,57000000,50000000,55000000,48000000,48000000,41000000,55000000,87000000,56000000,40000000,48000000
77,Change in Working Capital,1000000,- -,- -,- -,- -,- -,229000000,296200000,33800000,174000000,466000000,385000000,192000000,126482000,284518000,333000000,-1038000000,471000000,-68000000,1210000000,-234000000,-676000000,-1000000,372000000,283000000,-477000000,-89000000,398000000,-566000000,-225000000,933000000,-1076000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,-12700000,-23700000,- -,-31100000,-57500000,-72400000,-102600000,-92600000,-101600000,-177077000,-208851000,-195017000,-428689000,20006000,-339987000,-290591000,-350531000,-275025000,60000000,-119000000,-107000000,-158000000,-523000000,-116000000,68000000,-215000000,249000000,264000000,79000000,-51000000,768000000,-467000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,306000000,-50000000,96000000,74000000,58000000,146000000,-260000000,256000000,-236000000,-84000000,19000000,270000000,206000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,229000000,525200000,559000000,733000000,1199000000,1584000000,1776000000,1902482000,2187000000,2520000000,1482000000,1953000000,1885000000,3095000000,2861000000,2185000000,2184000000,2556000000,2839000000,2362000000,2273000000,2671000000,2105000000,1880000000,2813000000,1737000000
82,Other Non-Cash Items,3500000,6200000,15100000,-19400000,-8600000,-88700000,-274900000,-542600000,-66200000,-415555000,-599625000,-523443000,-420529000,-282281000,-438398000,-651928000,2630647000,-761850000,257000000,-674000000,30000000,673000000,-524000000,-314000000,-106000000,334000000,689000000,-551000000,852000000,167000000,-364000000,1615000000
83,Cash Provided by Operating Activities,40400000,41300000,61500000,63000000,95500000,28700000,105200000,-50200000,230700000,110205000,372075000,541817000,669584000,754461000,947658000,881691000,3099378000,1234363000,1701000000,2234000000,1676000000,2143000000,1265000000,1884000000,2024000000,1474000000,2148000000,1691000000,2107000000,1657000000,1338000000,2271000000
84,CAPEX,-11300000,-27500000,-37100000,-58800000,-107500000,-132400000,-223400000,-202700000,-248900000,-625392000,-480981000,-662011000,-715968000,-831599000,-889598000,-799417000,-1142247000,-1541683000,-1014000000,-666000000,-761000000,-927000000,-785000000,-643000000,-682000000,-690000000,-768000000,-672000000,-578000000,-855000000,-334000000,-605000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-3300000,-4200000,- -,- -,- -,- -,-26700000,-764000,-21100000,-180777000,-246614000,- -,-54482000,-71310000,-13509169000,-7746231000,-532000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,441706000,- -,- -,13238936000,7694333000,93000000,28000000,42000000,145000000,109000000,1000000,82000000,- -,- -,- -,- -,- -,- -,- -
