,https://roic.ai/company/AEO,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
45,Total Non-Current Assets,12800000,23000000,38700000,- -,36600000,42322000,56400000,92000000,224300000,294700000,313400000,339448000,466100000,524900000,789200000,846900000,1038317000,971100000,705600000,663300000,614300000,770600000,806395000,888871000,881431000,847783000,857125000,2280749000,1912163000,2389719000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,40100000,82900000,134500000,- -,110400000,144795000,210900000,354600000,543000000,672700000,741300000,865071000,1293700000,1605600000,1987500000,1867700000,1963676000,2138100000,1880000000,1950800000,1756100000,1694200000,1696908000,1612246000,1782660000,1816313000,1903378000,3328679000,3434806000,3786643000
48,Accounts Payable,11300000,23800000,37800000,- -,20400000,24606000,18600000,30700000,42000000,39100000,50600000,71330000,76300000,139200000,171200000,157900000,152068000,158500000,167700000,183800000,176900000,203900000,191146000,182789000,246204000,236703000,240671000,285746000,255912000,231782000
49,Short-Term Debt,11400000,3400000,28800000,- -,- -,- -,- -,- -,- -,- -,4225000,4832000,- -,- -,- -,12953000,75000000,30000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,299161000,328624000,311005000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20585000,- -,20135000,29155000,5778000,33110000,22223000,12220000,12781000,20064000,9514000,14150000,16274000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,24894000,20321000,15846000,- -,47754000,46976000,47732000,47004000,- -,60156000,48059000,48761000,58230000,45478000,47888000,64927000,49250000,9344000,14062000,22724000,62181000,- -
52,Other Current Liabilities,5600000,5500000,10000000,- -,19000000,29381000,41200000,57700000,82206000,90479000,70929000,112873000,129246000,175424000,241568000,158343000,174695000,160344000,172041000,172839000,200770000,166122000,220059000,215966000,198329000,239174000,287912000,144125000,211765000,300084000
53,Total Current Liabilities,28300000,32700000,76600000,- -,39400000,53987000,59800000,88400000,149100000,149900000,141600000,189035000,253300000,361600000,460500000,376200000,401763000,409000000,387800000,405400000,435900000,415500000,459093000,463682000,493783000,485221000,542645000,751756000,858482000,842871000
54,Long-Term Debt,7400000,- -,- -,- -,- -,- -,- -,- -,24900000,19400000,16400000,13874000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1474032000,1495483000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,71880000,59571000,59510000,- -,50104000,45114000,47977000,47377000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24238000,- -,27305000,19616000,35471000,19011000,16543000,- -,4566000,4537000,7269000,3547000,427020000,- -,- -
57,Other Non-Current Liabilities,- -,100000,- -,- -,- -,- -,- -,1700000,1400000,1400000,5900000,18492000,76900000,88500000,109700000,126762000,152882000,123295000,121484000,21249000,20418000,36447000,98069000,42518000,34657000,29055000,22254000,902050000,15627000,24617000
58,Total Non-Current Liabilities,7400000,100000,- -,- -,- -,- -,- -,1700000,26300000,20800000,22300000,32366000,76900000,88500000,109700000,151000000,152882000,150600000,141100000,128600000,99000000,112500000,98069000,97188000,84308000,84301000,73178000,1329070000,1489659000,1520100000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,60087000,- -,- -,- -,17388000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1600896000,1477366000,1465486000
61,Total Liabilities,35700000,32800000,76600000,- -,39400000,53987000,59800000,90100000,175400000,170700000,163900000,221401000,330200000,450100000,570200000,527200000,554645000,559600000,528900000,534000000,534900000,528000000,557162000,560870000,578091000,569522000,615823000,2080826000,2348141000,2362971000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,53837000,- -,- -,- -,700000,700000,735000,1500000,1600000,2500000,2500000,2485000,2500000,2500000,2500000,2500000,2500000,2496000,2496000,2496000,2496000,2496000,2496000,2496000,2496000
64,Retained Earnings,- -,-2700000,4100000,- -,- -,35800000,- -,- -,- -,379800000,468500000,528522000,726800000,978900000,1302300000,1601800000,1694161000,1764000000,1711900000,1771500000,1553100000,1569900000,1543085000,1659267000,1775775000,1883592000,2054654000,2108292000,1868613000,2203772000
65,Other Comprehensive Income/Loss,-21000000,-21600000,-23500000,- -,142200000,-23273000,302400000,529000000,735400000,-3800000,-2284000,2657000,11941000,20987000,21714000,35485000,-14389000,16838000,28072000,28659000,29297000,12157000,-9944000,-29868000,-36462000,-30795000,-34832000,-33168000,-40748000,-40845000
66,Other Total Stockholders Equity,25400000,74400000,77300000,- -,- -,24444000,- -,- -,- -,125400000,110566000,111756000,223245000,154065000,90798000,-299321000,-273226000,-204821000,-391401000,-385808000,-363710000,-418379000,-395891000,-580519000,-537240000,-608502000,-734763000,-829767000,-743696000,-741751000
67,Total Stockholders Equity,4400000,50100000,57900000,- -,71100000,90808000,151200000,264500000,367700000,502100000,577482000,643670000,963486000,1155552000,1417312000,1340464000,1409031000,1578517000,1351071000,1416851000,1221187000,1166178000,1139746000,1051376000,1204569000,1246791000,1287555000,1247853000,1086665000,1423672000
68,Total Liabilities And Stockholders Equity,40100000,82900000,134500000,- -,110500000,144795000,211000000,354600000,543100000,672800000,741382000,865071000,1293686000,1605652000,1987512000,1867664000,1963676000,2138117000,1879971000,1950851000,1756087000,1694178000,1696908000,1612246000,1782660000,1816313000,1903378000,3328679000,3434806000,3786643000
69,Minority Interest,- -,- -,- -,- -,-100000,- -,-100000,- -,-100000,-100000,-82000,- -,14000,-52000,-12000,36000,- -,-17000,29000,-51000,13000,22000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,40100000,82900000,134500000,- -,110400000,144795000,210900000,354600000,543000000,672700000,741300000,865071000,1293700000,1605600000,1987500000,1867700000,1963676000,2138100000,1880000000,1950800000,1756100000,1694200000,1696908000,1612246000,1782660000,1816313000,1903378000,3328679000,3434806000,3786643000
71,SEC Link,- -,- -,- -,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/919012/000095016802001211/d10k.htm,https://www.sec.gov/Archives/edgar/data/919012/000091901203000010/form10kf.htm,https://www.sec.gov/Archives/edgar/data/919012/000091901204000006/form10k2003final.htm,https://www.sec.gov/Archives/edgar/data/919012/000119312505076660/d10k.htm,https://www.sec.gov/Archives/edgar/data/919012/000119312506073893/d10k.htm,https://www.sec.gov/Archives/edgar/data/919012/000119312507074428/0001193125-07-074428-index.html,https://www.sec.gov/Archives/edgar/data/919012/000095015208002525/0000950152-08-002525-index.html,https://www.sec.gov/Archives/edgar/data/919012/000095015209003261/0000950152-09-003261-index.html,https://www.sec.gov/Archives/edgar/data/919012/000095012310028815/0000950123-10-028815-index.html,https://www.sec.gov/Archives/edgar/data/919012/000095012311024788/l41576e10vk.htm,https://www.sec.gov/Archives/edgar/data/919012/000119312512117468/0001193125-12-117468-index.html,https://www.sec.gov/Archives/edgar/data/919012/000119312513102293/0001193125-13-102293-index.html,https://www.sec.gov/Archives/edgar/data/919012/000119312514098050/d657823d10k.htm,https://www.sec.gov/Archives/edgar/data/919012/000119312515087519/d848537d10k.htm,https://www.sec.gov/Archives/edgar/data/919012/000156459016014422/0001564590-16-014422-index.html,https://www.sec.gov/Archives/edgar/data/919012/000156459017003969/0001564590-17-003969-index.html,https://www.sec.gov/Archives/edgar/data/919012/000156459018006045/0001564590-18-006045-index.html,https://www.sec.gov/Archives/edgar/data/919012/000156459019007828/0001564590-19-007828-index.html,https://www.sec.gov/Archives/edgar/data/919012/000156459020010469/0001564590-20-010469-index.html,https://www.sec.gov/Archives/edgar/data/919012/000156459021012543/0001564590-21-012543-index.htm,https://www.sec.gov/Archives/edgar/data/919012/000095017022003587/0000950170-22-003587-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,3800000,12200000,6800000,7100000,5900000,19537000,54100000,90700000,93800000,105500000,88700000,60000000,213300000,294200000,387400000,400000000,179061000,169000000,140600000,151700000,232100000,83000000,80322000,218138000,212449000,204163000,261902000,191257000,-209274000,419629000
74,Depreciation and Amortization,3300000,3700000,5000000,4100000,6087000,7318000,8611000,12199000,23200000,41875000,50661000,56281000,68273000,74578000,88033000,109203000,133141000,147483000,145548000,143156000,128397000,134047000,142351000,148858000,158174000,169473000,170504000,181379000,165580000,171151000
75,Deferred Income Tax,- -,-7000000,3100000,- -,-1898000,-496000,-2753000,-7214000,-6572000,6574000,2792000,7466000,-17087000,4752000,-27615000,-8147000,24469000,-36027000,11885000,4563000,-31418000,20187000,-2279000,4680000,14838000,44312000,-4391000,6541000,-34890000,-12850000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36900000,25457000,12341000,66349000,-6541000,16070000,34977000,29137000,16890000,27506000,23038000,32778000,38153000
77,Change in Working Capital,3900000,-1000000,- -,28200000,-8000000,15200000,14086000,46214000,79500000,-4600000,58500000,58200000,50288000,237712000,144800000,18700000,-93200000,-121004000,234404000,28600000,95500000,-176200000,-197800000,-76680000,-171727000,147753000,75863000,20299000,-207434000,-324356000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7052000,-3790000,-3589000,-6664000,-29511000,3084000,-10093000,-7705000,8837000,-14093000,- -,- -,- -
79,Inventory,12300000,-20800000,-33900000,45900000,-3723000,-8903000,-13410000,-10687000,-5606000,-7709000,-33001000,6123000,-25840000,-39137000,-53527000,-19074000,-13735000,-27994000,18713000,-77311000,35202000,40148000,8586000,-22259000,-53613000,-35912000,-28496000,-21615000,42156000,-147140000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4992000,5232000,17934000,-10468000,28568000,-5280000,-3189000,52347000,-16663000,4329000,44949000,-30909000,-36192000
81,Other Working Capital,- -,-1000000,-1000000,27200000,19200000,34400000,48486000,94700000,174200000,169600000,228100000,286300000,336588000,574300000,719100000,737800000,644600000,523596000,758000000,786600000,882100000,705900000,508100000,431420000,259693000,407446000,483309000,503608000,296174000,-1412000
82,Other Non-Cash Items,2500000,-13200000,-18600000,9000000,16492000,-15391000,-14223000,-8987000,-39337000,25541000,-96105000,7522000,63357000,-145601000,156650000,-55486000,58722000,190110000,-176734000,-101104000,-15873000,175363000,300725000,5140000,122725000,-188165000,-74739000,-7098000,455738000,11944000
83,Cash Provided by Operating Activities,13500000,-5300000,-3700000,48400000,18581000,26168000,59821000,132912000,150591000,174890000,104548000,189469000,378131000,465641000,749268000,464270000,302193000,386462000,381160000,239256000,475055000,229856000,339389000,335113000,365596000,394426000,456645000,415416000,202498000,303671000
84,CAPEX,-2200000,-12700000,-21300000,-5100000,-10540000,-12646000,-24919000,-45556000,-174509000,-119347000,-61407000,-64173000,-97288000,-81545000,-225939000,-250407000,-265335000,-127419000,-84259000,-134322000,-95064000,-306085000,-246266000,-166080000,-163022000,-172150000,-189693000,-210360000,-127975000,-233847000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-358151000
86,Purchases of Investments,- -,- -,- -,- -,- -,-900000,-13360000,-124166000,-46421000,-53019000,-86856000,-154373000,-483083000,-1187556000,-1353339000,-1772653000,-48655000,- -,-62797000,-193851000,-111086000,-52065000,- -,- -,- -,- -,-202912000,-85000000,-14956000,-75000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,38775000,112878000,35861000,84894000,90574000,309203000,876111000,915952000,2126891000,393559000,80353000,177472000,240797000,15500000,162785000,10002000,- -,- -,- -,109776000,122135000,69956000,75000000
88,Other Investing Activites,- -,- -,- -,5000000,5874000,54000,6000,- -,-1397000,1966000,-5102000,-1513000,-14000,-74000,12205000,-1170000,-1180000,-129422000,-87066000,-134322000,-95844000,-285334000,-246266000,-143059000,-163022000,-172150000,-189693000,-212029000,-128945000,-236450000
89,Cash Used for Investing Activites,-2200000,-12700000,-21300000,-100000,-4666000,-13492000,-38273000,-130947000,-109449000,-134539000,-68471000,-129485000,-271182000,-393064000,-651121000,102661000,78389000,-49069000,27609000,-87376000,-191430000,-195365000,-236264000,-153501000,-163022000,-172150000,-282829000,-174894000,-73945000,-594601000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-47015000,-32590000,-3256000,-3066000,-2839000,-7143000,-7635000,-4375000,-3384000,-6802000,- -,-330000000,- -
91,Common Stock Issued,- -,33300000,- -,- -,425000,1357000,2033000,2676000,10191000,15832000,1840000,1139000,57533000,48198000,28447000,13183000,3799000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-22339000,-2515000,-19476000,-689000,- -,-171495000,-154233000,-450601000,-3432000,-247000,-234111000,-17349000,-177679000,-56437000,-7464000,-232234000,-7032000,-100195000,-164073000,-120468000,-25413000,-24018000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8841000,-42058000,-61521000,-80796000,-82394000,-82985000,-183166000,-85592000,-403490000,-72280000,-97224000,-97237000,-90680000,-88548000,-97123000,-92783000,-22854000,-113945000
94,Other Financing Activites,-11200000,-15400000,25400000,-28800000,- -,- -,- -,- -,27450000,-5716000,-4778000,-5434000,-19570000,-745000,18546000,4244000,73516000,10442000,13337000,5471000,89680000,15030000,8047000,7940000,17023000,3355000,15495000,2025000,738174000,12766000
