,https://roic.ai/company/HRB,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,151600000,172900000,195200000,61200000,85700000,96000000,120000000,152200000,163100000,303504000,197457000,17826000,255975000,355074000,403615000,465066000,715428000,980242000,1154303000,1052253000,853925000,659562000,719439000,838869000,774837000,531417000,565990000,696686000,-763211000,794666000,633192000,715984000,752050000,615792000,183083000,769627000
18,Operating Income ratio,0.2564,0.2518,0.2509,0.0766,0.0914,0.0905,0.0978,0.1101,0.1458,0.2231,0.2208,0.0092,0.1959,0.2159,0.1646,0.1549,0.2156,0.2593,0.2745,0.2381,0.1752,0.1640,0.1634,0.2054,0.2000,0.1460,0.2026,0.2397,-0.2524,0.2581,0.2084,0.2358,0.2380,0.1990,0.0694,0.2254
19,Total Other Income Expenses (Gains),-38800000,-45500000,-54800000,100400000,114800000,129600000,144300000,143100000,120100000,-83508000,- -,44542000,24916000,28467000,8651000,8012000,1412000,6835000,9854000,-34538000,-26532000,-23764000,25782000,501000,9298000,145608000,10080000,5325000,1530327000,-51861000,-63713000,-86697000,-83318000,-70632000,-186457000,-100891000
20,Income Before Tax,112800000,127400000,140400000,161600000,200500000,225600000,264300000,295300000,283200000,219996000,197457000,62368000,280891000,383541000,412266000,473078000,716840000,987077000,1164157000,1017715000,827393000,635798000,745221000,839370000,784135000,677025000,576070000,702011000,767116000,742805000,569479000,629287000,668732000,545160000,-3374000,668736000
21,Income Before Tax Ratio,0.1908,0.1856,0.1804,0.2022,0.2138,0.2126,0.2155,0.2136,0.2532,0.1617,0.2208,0.0323,0.2149,0.2332,0.1681,0.1576,0.2161,0.2611,0.2768,0.2303,0.1698,0.1581,0.1692,0.2055,0.2024,0.1860,0.2062,0.2416,0.2537,0.2413,0.1874,0.2073,0.2116,0.1761,-0.0013,0.1959
22,Income Tax expense (Gain),52700000,54100000,52500000,61400000,77000000,85500000,102000000,114600000,119200000,112737000,72368000,14613000,106739000,145746000,160371000,196330000,282435000,407013000,459901000,381858000,336985000,261461000,290745000,326315000,295189000,257620000,230102000,236853000,267019000,256061000,185926000,208370000,41823000,99904000,-9530000,78524000
23,Net Income,60100000,73300000,87900000,100200000,123500000,140100000,162300000,180700000,200500000,107259000,177168000,47755000,392130000,215366000,251895000,281162000,434405000,580064000,697897000,635857000,490408000,-433653000,-308647000,485673000,479242000,406110000,265932000,433948000,475157000,473663000,374267000,408945000,613149000,422509000,-7526000,583791000
24,Net Income ratio,0.1016,0.1068,0.1130,0.1254,0.1317,0.1320,0.1323,0.1307,0.1792,0.0788,0.1981,0.0247,0.3001,0.1309,0.1027,0.0937,0.1309,0.1535,0.1659,0.1439,0.1006,-0.1078,-0.0701,0.1189,0.1237,0.1116,0.0952,0.1493,0.1571,0.1539,0.1232,0.1347,0.1940,0.1365,-0.0029,0.1710
25,EPS,0.15,0.18,0.21,0.24,0.29,0.33,0.37,0.42,0.47,0.25,0.42,0.11,0.94,0.54,0.64,0.77,1.19,1.61,1.97,1.92,1.49,-1.34,-0.95,1.46,1.44,1.31,0.89,1.59,1.73,1.72,1.50,1.92,2.93,2.05,-0.04,3.11
26,EPS Diluted,0.15,0.18,0.21,0.24,0.29,0.33,0.37,0.42,0.47,0.25,0.42,0.11,0.91,0.54,0.64,0.76,1.16,1.57,1.93,1.89,1.47,-1.34,-0.95,1.45,1.43,1.31,0.89,1.58,1.72,1.71,1.49,1.91,2.91,2.04,-0.04,3.08
27,Weighted Average Shares Outstanding,394098361,407222222,408837209,421894737,425862069,427786260,435704698,430238095,426595745,424788119,424354491,424488889,419390374,398825926,392054475,367532026,365046218,359172755,354262437,332040209,329132886,323621642,324891579,332787000,332283000,309230000,297863000,273057000,273830000,275033000,249009000,212809000,208824000,205372000,196701000,186832000
28,Weighted Average Shares Outstanding Diluted,394098361,407222222,408837209,421894737,425862069,427786260,435704698,430238095,426595745,424788119,424354491,424488889,429731507,402553271,395129412,369950000,376108225,368294603,361604663,337324668,333610884,326054887,328347872,334539000,333236000,309777000,298601000,274359000,276027000,277136000,250818000,214095000,210213000,206724000,198108000,188777000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/12659/000001265994000006/0000012659-94-000006-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/12659/000095012498004013/0000950124-98-004013-index.html,https://www.sec.gov/Archives/edgar/data/12659/000095012499004315/0000950124-99-004315-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/12659/000095013402008804/0000950134-02-008804-index.html,https://www.sec.gov/Archives/edgar/data/12659/000095013403010141/c78154e10vk.htm,https://www.sec.gov/Archives/edgar/data/12659/000095013704005468/c86302e10vk.htm,https://www.sec.gov/Archives/edgar/data/12659/000095013705009321/c91685e10vk.htm,https://www.sec.gov/Archives/edgar/data/12659/000095013706007517/c04679e10vk.htm,https://www.sec.gov/Archives/edgar/data/12659/000095013707009521/0000950137-07-009521-index.html,https://www.sec.gov/Archives/edgar/data/12659/000095013408012051/0000950134-08-012051-index.html,https://www.sec.gov/Archives/edgar/data/12659/000095012309018620/0000950123-09-018620-index.html,https://www.sec.gov/Archives/edgar/data/12659/000095012310061837/0000950123-10-061837-index.html,https://www.sec.gov/Archives/edgar/data/12659/000095012311061237/0000950123-11-061237-index.html,https://www.sec.gov/Archives/edgar/data/12659/000119312512283991/d347306d10k.htm,https://www.sec.gov/Archives/edgar/data/12659/000157484213000010/0001574842-13-000010-index.html,https://www.sec.gov/Archives/edgar/data/12659/000157484214000031/0001574842-14-000031-index.html,https://www.sec.gov/Archives/edgar/data/12659/000157484215000011/0001574842-15-000011-index.html,https://www.sec.gov/Archives/edgar/data/12659/000157484216000042/0001574842-16-000042-index.html,https://www.sec.gov/Archives/edgar/data/12659/000157484217000019/0001574842-17-000019-index.html,https://www.sec.gov/Archives/edgar/data/12659/000157484218000019/0001574842-18-000019-index.html,https://www.sec.gov/Archives/edgar/data/12659/000157484219000022/0001574842-19-000022-index.html,https://www.sec.gov/Archives/edgar/data/12659/000157484220000021/0001574842-20-000021-index.htm,https://www.sec.gov/Archives/edgar/data/12659/000183886221000028/0001838862-21-000028-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,41300000,90248000,58414000,595851000,900856000,193240000,379901000,271813000,436145000,875353000,1071676000,1100213000,694358000,921838000,726845000,1654663000,1804045000,1677844000,1944334000,1747584000,2185307000,2007190000,896801000,1011331000,1544944000,1572150000,2661914000,934251000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,263239000,360212000,84362000,346158000,56881000,62369000,54424000,28370000,23859000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,423495000,439625000,1133000,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,41300000,353487000,418626000,680213000,1247014000,250121000,442270000,326237000,464515000,899212000,1071676000,1100213000,694358000,921838000,726845000,1654663000,1804045000,1677844000,1944334000,1747584000,2608802000,2446815000,897934000,1011331000,1544944000,1572150000,2661914000,934251000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,165900000,260198000,214548000,525777000,793237000,743301000,3292101000,1684027000,1212883000,920234000,972986000,1009014000,999765000,966777000,991770000,512814000,517986000,492290000,193858000,206835000,191618000,167964000,153116000,162775000,159084000,138965000,133197000,531242000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,492600000,21823000,629736000,64008000,103026000,94000000,129172000,260942000,567745000,927915000,916637000,961407000,1129824000,1565677000,662965000,403603000,327005000,307597000,362802000,507924000,313586000,336522000,171248000,171933000,187685000,282244000,291625000,234231000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,699800000,635508000,1262910000,1269998000,2143277000,1087422000,3863543000,2271206000,2245143000,2747361000,2961299000,3070634000,2823947000,3454292000,2381580000,2571080000,2649036000,2477731000,2500994000,2462343000,3114006000,2951301000,1222298000,1346039000,1891713000,1993359000,3086736000,1699724000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,165200000,227448000,51515000,420278000,77321000,114222000,260666000,288847000,286500000,288594000,279220000,330150000,443785000,379066000,380738000,368289000,345470000,307320000,252985000,267880000,304911000,311387000,293565000,263827000,231888000,212092000,679155000,585736000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,78205000,42825000,80133000,288580000,405534000,1095074000,1051826000,- -,- -,- -,- -,1100452000,993919000,1005268000,850230000,840447000,846245000,427566000,434782000,436117000,441831000,470757000,491207000,507871000,519937000,712138000,757659000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,67700000,- -,- -,- -,- -,- -,- -,- -,1106941000,1056080000,1399068000,1263039000,491966000,181413000,147368000,385998000,367432000,367919000,264451000,284439000,355622000,432142000,433885000,409364000,373981000,342493000,414976000,360148000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,67700000,78205000,42825000,80133000,288580000,405534000,1095074000,1051826000,1106941000,1056080000,1399068000,1263039000,1592418000,1175332000,1152636000,1236228000,1207879000,1214164000,692017000,719221000,791739000,873973000,904642000,900571000,881852000,862430000,1127114000,1117807000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1358000000,966000000,745000000,595000000,649000000,371315000,486876000,4329000,239000000,202000000,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13461000,120123000,83728000,34095000,141979000,151195000,182848000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,142000000,136877000,60311000,135849000,394905000,302998000,480067000,509745000,592207000,511870000,740439000,875460000,1128985000,1132803000,742471000,439125000,436933000,559746000,832256000,601459000,478544000,126298000,115147000,99943000,101401000,90085000,67847000,67531000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,374900000,442530000,154651000,636260000,760806000,822754000,1835807000,1850418000,1985648000,1856544000,2418727000,2468649000,3165188000,4045201000,3241845000,2788642000,2585282000,2730230000,2148573000,2075436000,1579523000,1564119000,1635477000,1348069000,1249236000,1306586000,2025311000,1953922000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,1074700000,1078038000,1417561000,1906258000,2904083000,1910176000,5699350000,4121624000,4230791000,4603905000,5380026000,5539283000,5989135000,7499493000,5623425000,5359722000,5234318000,5207961000,4649567000,4537779000,4693529000,4515420000,2857775000,2694108000,3140949000,3299945000,5112047000,3653646000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,160600000,145909000,95314000,193628000,114875000,168641000,2792562000,1419210000,1313823000,1331627000,1521960000,1515433000,1549808000,1152561000,1341938000,705945000,756577000,618070000,567079000,523921000,569007000,231322000,259586000,217028000,251975000,249525000,203103000,198084000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,49421000,72651000,269619000,643002000,71939000,67978000,51763000,59656000,55678000,275669000,25545000,506992000,1576386000,136286000,888670000,53688000,880657000,1458983000,722000,400637000,790000,826000,981000,1026000,- -,844921000,206393000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,543967000,459175000,458910000,336374000,416128000,406655000,434684000,373754000,348199000,263050000,271973000,209816000,287404000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,936464000,769785000,1066749000,243653000,189216000,186101000,204976000,201401000,200216000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,175600000,163381000,171781000,249895000,519015000,313249000,659909000,517429000,506223000,509891000,674414000,667942000,836636000,2447405000,1618152000,803665000,1511226000,715948000,500366000,551098000,573687000,579428000,535540000,532055000,404549000,468500000,326191000,558386000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,336200000,358711000,339746000,713142000,1276892000,553829000,3520449000,1988402000,1879702000,1897196000,2472043000,2208920000,2893436000,5176352000,3096376000,2398280000,2321491000,2214675000,2526428000,2012205000,2313116000,1878289000,1039605000,939280000,843651000,923001000,1575616000,1163079000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,249675000,249725000,872396000,870974000,868387000,822302000,545811000,923073000,417539000,519807000,1031784000,1032122000,1060144000,1049754000,409115000,896978000,505837000,497894000,1495316000,1493017000,1494609000,1492629000,2845873000,1732665000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,156298000,160182000,163609000,179548000,144882000,124510000,126150000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25750000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,142586000,132960000,159085000,229430000,197906000,182441000,279351000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,30600000,33462000,38222000,38952000,35884000,44635000,87916000,88507000,113282000,220698000,465163000,430919000,530361000,388835000,507447000,523461000,412053000,493958000,388132000,365049000,318027000,7404000,6609000,- -,- -,- -,312566000,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,30600000,33462000,38222000,64702000,285559000,294360000,960312000,959481000,981669000,1043000000,1010974000,1353992000,947900000,908642000,1539231000,1555583000,1472197000,1543712000,797247000,1262027000,823864000,804182000,1795067000,1815711000,1903587000,1835417000,3465390000,2138166000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,75000000,- -,- -,- -,9702000,- -,8194000,7435000,- -,- -,- -,508103000,449019000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,366800000,392173000,377968000,777844000,1562451000,848189000,4480761000,2947883000,2861371000,2940196000,3483017000,3562912000,3841336000,6084994000,4635607000,3953863000,3793688000,3758387000,3323675000,3274232000,3136980000,2682471000,2834672000,2754991000,2747238000,2758418000,5041006000,3301245000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,1089000,1089000,1089000,1089000,1089000,1089000,1089000,2179000,2179000,2179000,2179000,4359000,- -,- -,- -,- -,- -,- -,3166000,3166000,3166000,2602000,2462000,2462000,2383000,2282000,2167000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,719700000,700423000,747212000,684071000,986030000,1130909000,1277324000,1450112000,1767702000,2221868000,2781368000,3188785000,3492059000,2886440000,2384449000,2671437000,2658586000,2658103000,2523997000,1333445000,1589297000,1836442000,40347000,-48206000,362980000,499386000,42965000,248506000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,-192500000,-227056000,-122914000,-432195000,-167065000,-193549000,-214145000,-324287000,-410885000,36862000,57953000,68718000,21948000,-1320000,2486000,-11639000,1678000,11233000,12145000,10550000,5177000,1740000,-11233000,-15299000,-14303000,-20416000,-51576000,4786000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,180700000,211409000,414206000,875449000,521578000,123538000,154321000,46827000,10424000,-597200000,-944491000,-1283311000,-1370567000,- -,- -,- -,- -,- -,- -,-83614000,-41091000,-8399000,-8613000,160000,42572000,60174000,77370000,96942000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,707900000,685865000,1039593000,1128414000,1341632000,1061987000,1218589000,1173741000,1369420000,1663709000,1897009000,1976371000,2147799000,1414499000,987818000,1405859000,1440630000,1449574000,1325892000,1263547000,1556549000,1832949000,23103000,-60883000,393711000,541527000,71041000,352401000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,1074700000,1078038000,1417561000,1906258000,2904083000,1910176000,5699350000,4121624000,4230791000,4603905000,5380026000,5539283000,5989135000,7499493000,5623425000,5359722000,5234318000,5207961000,4649567000,4537779000,4693529000,4515420000,2857775000,2694108000,3140949000,3299945000,5112047000,3653646000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,1074700000,1078038000,1417561000,1906258000,2904083000,1910176000,5699350000,4121624000,4230791000,4603905000,5380026000,5539283000,5989135000,7499493000,5623425000,5359722000,5234318000,5207961000,4649567000,4537779000,4693529000,4515420000,2857775000,2694108000,3140949000,3299945000,5112047000,3653646000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/12659/000001265994000006/0000012659-94-000006-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/12659/000095012498004013/0000950124-98-004013-index.html,https://www.sec.gov/Archives/edgar/data/12659/000095012499004315/0000950124-99-004315-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/12659/000095013402008804/0000950134-02-008804-index.html,https://www.sec.gov/Archives/edgar/data/12659/000095013403010141/c78154e10vk.htm,https://www.sec.gov/Archives/edgar/data/12659/000095013704005468/c86302e10vk.htm,https://www.sec.gov/Archives/edgar/data/12659/000095013705009321/c91685e10vk.htm,https://www.sec.gov/Archives/edgar/data/12659/000095013706007517/c04679e10vk.htm,https://www.sec.gov/Archives/edgar/data/12659/000095013707009521/0000950137-07-009521-index.html,https://www.sec.gov/Archives/edgar/data/12659/000095013408012051/0000950134-08-012051-index.html,https://www.sec.gov/Archives/edgar/data/12659/000095012309018620/0000950123-09-018620-index.html,https://www.sec.gov/Archives/edgar/data/12659/000095012310061837/0000950123-10-061837-index.html,https://www.sec.gov/Archives/edgar/data/12659/000095012311061237/0000950123-11-061237-index.html,https://www.sec.gov/Archives/edgar/data/12659/000119312512283991/d347306d10k.htm,https://www.sec.gov/Archives/edgar/data/12659/000157484213000010/0001574842-13-000010-index.html,https://www.sec.gov/Archives/edgar/data/12659/000157484214000031/0001574842-14-000031-index.html,https://www.sec.gov/Archives/edgar/data/12659/000157484215000011/0001574842-15-000011-index.html,https://www.sec.gov/Archives/edgar/data/12659/000157484216000042/0001574842-16-000042-index.html,https://www.sec.gov/Archives/edgar/data/12659/000157484217000019/0001574842-17-000019-index.html,https://www.sec.gov/Archives/edgar/data/12659/000157484218000019/0001574842-18-000019-index.html,https://www.sec.gov/Archives/edgar/data/12659/000157484219000022/0001574842-19-000022-index.html,https://www.sec.gov/Archives/edgar/data/12659/000157484220000021/0001574842-20-000021-index.htm,https://www.sec.gov/Archives/edgar/data/12659/000183886221000028/0001838862-21-000028-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,100200000,123500000,140100000,162300000,180700000,200500000,107259000,177168000,47755000,392130000,215366000,251895000,281162000,434405000,580064000,697897000,635857000,490408000,-433653000,-308647000,485673000,479242000,406110000,265932000,433948000,475157000,473663000,374267000,408945000,613149000,422509000,-7526000,583791000
74,Depreciation and Amortization,- -,- -,- -,25900000,29200000,33000000,44300000,54700000,57100000,67684000,32477000,287647000,55787000,74605000,147218000,205608000,155386000,161821000,241756000,268058000,336382000,150215000,146011000,123631000,126901000,121633000,103576000,92407000,115604000,159804000,173598000,182168000,183295000,166695000,169536000,156852000
75,Deferred Income Tax,- -,- -,- -,-2000000,-2400000,-100000,-2800000,- -,-2700000,3440000,1183000,-13968000,-15639000,1739000,-15767000,-38870000,30136000,63849000,- -,-42345000,-43409000,-45381000,-68332000,73213000,170566000,9432000,13227000,-21846000,20958000,-15502000,36276000,46455000,112140000,1129000,-8300000,-22583000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26557000,29369000,14500000,14968000,15293000,20058000,26068000,23540000,19285000,21954000,23767000,28045000,28271000
77,Change in Working Capital,- -,- -,- -,-90200000,- -,- -,- -,- -,363600000,- -,-86803000,646367000,-366308000,309529000,-332792000,-190499000,-60290000,82637000,484724000,-360909000,372458000,-931203000,-1652571000,1007264000,887596000,154745000,-64489000,-288490000,475572000,350752000,272122000,-890319000,224066000,641303000,22296000,440762000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
