,https://roic.ai/company/UNP,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Income Tax expense (Gain),248000000,-391000000,327000000,313000000,298000000,334000000,48000000,373000000,450000000,461000000,314000000,380000000,244000000,-63000000,419000000,468000000,567000000,675000000,581000000,252000000,410000000,919000000,1154000000,1318000000,1089000000,1653000000,1972000000,2375000000,2660000000,3163000000,2884000000,2533000000,-3080000000,1775000000,1828000000,1631000000,1955000000
23,Net Income,501000000,-460000000,583000000,644000000,595000000,618000000,64000000,728000000,530000000,546000000,946000000,904000000,432000000,-633000000,810000000,842000000,966000000,1341000000,1585000000,604000000,1026000000,1606000000,1855000000,2338000000,1898000000,2780000000,3292000000,3943000000,4388000000,5180000000,4772000000,4233000000,10712000000,5966000000,5919000000,5349000000,6523000000
24,Net Income ratio,0.0642,-0.0700,0.0981,0.1061,0.0917,0.0887,0.0091,0.0998,0.0701,0.0700,0.1264,0.1029,0.0390,-0.0600,0.0719,0.0709,0.0807,0.1074,0.1372,0.0494,0.0756,0.1031,0.1139,0.1301,0.1342,0.1639,0.1683,0.1884,0.1998,0.2159,0.2188,0.2123,0.5043,0.2613,0.2727,0.2738,0.2992
25,EPS,0.52,-0.57,0.65,0.71,0.70,0.77,0.08,0.90,0.65,0.67,1.15,1.03,0.44,-0.64,0.82,0.85,0.97,1.33,1.56,0.58,0.97,1.49,1.74,2.29,1.88,2.79,3.39,4.17,4.74,5.77,5.51,5.09,13.42,7.95,8.41,7.90,9.63
26,EPS Diluted,0.52,-0.57,0.65,0.71,0.70,0.77,0.08,0.89,0.65,0.67,1.15,1.03,0.43,-0.64,0.81,0.83,0.94,1.26,1.51,0.57,0.96,1.48,1.73,2.27,1.87,2.77,3.36,4.13,4.71,5.75,5.49,5.07,13.36,7.91,8.38,7.88,9.61
27,Weighted Average Shares Outstanding,899521531,857641921,849230769,894035088,843971631,800000000,800000000,813407821,818532819,821052632,822608696,873429952,982800000,984000000,986400000,986000000,992000000,1008400000,1017600000,1036400000,1053600000,1077600000,1063600000,1021200000,1006000000,996400000,971400000,946200000,926600000,897100000,866200000,832400000,798400000,750900000,703500000,677300000,677300000
28,Weighted Average Shares Outstanding Diluted,899521531,857641921,849230769,900353357,846975089,802597403,825806452,815686275,821705426,821052632,822712934,873429952,992400000,984000000,1079200000,1078000000,1087600000,1107200000,1072000000,1048800000,1066000000,1088000000,1073600000,1030000000,1011600000,1005800000,979600000,953000000,931600000,901100000,869400000,835400000,801700000,754300000,706100000,679100000,679100000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/100885/000095010996001749/0000950109-96-001749-index.html,https://www.sec.gov/Archives/edgar/data/100885/000010088597000002/0000100885-97-000002-index.html,https://www.sec.gov/Archives/edgar/data/100885/000095013498002114/0000950134-98-002114-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/100885/000095013401002416/0000950134-01-002416-index.html,https://www.sec.gov/Archives/edgar/data/100885/000095013402001771/0000950134-02-001771-index.html,https://www.sec.gov/Archives/edgar/data/100885/000095013403002918/0000950134-03-002918-index.html,https://www.sec.gov/Archives/edgar/data/100885/000119312504025678/0001193125-04-025678-index.htm,https://www.sec.gov/Archives/edgar/data/100885/000119312505037425/0001193125-05-037425-index.htm,https://www.sec.gov/Archives/edgar/data/100885/000119312506038383/0001193125-06-038383-index.htm,https://www.sec.gov/Archives/edgar/data/100885/000119312507038387/0001193125-07-038387-index.htm,https://www.sec.gov/Archives/edgar/data/100885/000119312508041700/0001193125-08-041700-index.htm,https://www.sec.gov/Archives/edgar/data/100885/000119312509021370/0001193125-09-021370-index.htm,https://www.sec.gov/Archives/edgar/data/100885/000119312510023294/0001193125-10-023294-index.htm,https://www.sec.gov/Archives/edgar/data/100885/000119312511024531/0001193125-11-024531-index.htm,https://www.sec.gov/Archives/edgar/data/100885/000119312512038569/0001193125-12-038569-index.htm,https://www.sec.gov/Archives/edgar/data/100885/000119312513045658/0001193125-13-045658-index.htm,https://www.sec.gov/Archives/edgar/data/100885/000119312514040752/0001193125-14-040752-index.htm,https://www.sec.gov/Archives/edgar/data/100885/000119312515037518/0001193125-15-037518-index.htm,https://www.sec.gov/Archives/edgar/data/100885/000010088516000260/0000100885-16-000260-index.htm,https://www.sec.gov/Archives/edgar/data/100885/000010088517000056/0000100885-17-000056-index.htm,https://www.sec.gov/Archives/edgar/data/100885/000010088518000048/0000100885-18-000048-index.htm,https://www.sec.gov/Archives/edgar/data/100885/000010088519000060/0000100885-19-000060-index.htm,https://www.sec.gov/Archives/edgar/data/100885/000010088520000065/0000100885-20-000065-index.htm,https://www.sec.gov/Archives/edgar/data/100885/000010088521000068/0000100885-21-000068-index.htm,https://www.sec.gov/Archives/edgar/data/100885/000143774922002494/0001437749-22-002494-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,121000000,230000000,191000000,90000000,176000000,175000000,105000000,113000000,369000000,527000000,977000000,773000000,827000000,878000000,1249000000,1850000000,1086000000,1217000000,1063000000,1432000000,1586000000,1391000000,1277000000,1275000000,1273000000,831000000,1799000000,960000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,60000000,90000000,60000000,60000000,60000000,46000000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,121000000,230000000,191000000,90000000,176000000,175000000,105000000,113000000,369000000,527000000,977000000,773000000,827000000,878000000,1249000000,1850000000,1086000000,1217000000,1063000000,1432000000,1586000000,1391000000,1337000000,1365000000,1333000000,891000000,1859000000,1006000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,939000000,1002000000,494000000,631000000,887000000,692000000,597000000,604000000,696000000,498000000,538000000,747000000,679000000,632000000,594000000,666000000,1184000000,1401000000,1331000000,1414000000,1611000000,1356000000,1258000000,1493000000,1755000000,1595000000,1505000000,1722000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,315000000,238000000,304000000,296000000,343000000,337000000,360000000,265000000,288000000,267000000,309000000,331000000,395000000,453000000,450000000,475000000,534000000,614000000,660000000,653000000,712000000,736000000,717000000,749000000,742000000,751000000,638000000,621000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,447000000,209000000,345000000,398000000,96000000,110000000,223000000,560000000,799000000,797000000,466000000,474000000,510000000,631000000,520000000,689000000,628000000,495000000,560000000,491000000,770000000,647000000,284000000,399000000,333000000,222000000,212000000,202000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1822000000,1679000000,1334000000,1415000000,1502000000,1314000000,1285000000,1542000000,2152000000,2089000000,2290000000,2325000000,2411000000,2594000000,2813000000,3680000000,3432000000,3727000000,3614000000,3990000000,4679000000,4130000000,3596000000,4006000000,4163000000,3459000000,4214000000,3551000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,12271000000,14105000000,25044000000,25977000000,26939000000,27519000000,28196000000,28792000000,29505000000,30283000000,31014000000,31975000000,32873000000,34158000000,35701000000,37428000000,38253000000,39934000000,41997000000,43749000000,46272000000,48866000000,50389000000,51605000000,52679000000,55728000000,55771000000,56658000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,939000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,939000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1260000000,387000000,443000000,- -,657000000,644000000,708000000,699000000,726000000,767000000,806000000,877000000,923000000,974000000,1036000000,1137000000,1175000000,1259000000,1321000000,1390000000,1410000000,1457000000,1809000000,1912000000,2050000000,2164000000,2241000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,910000000,2402000000,1149000000,929000000,933000000,398000000,374000000,509000000,408000000,362000000,518000000,514000000,354000000,358000000,234000000,266000000,266000000,260000000,283000000,671000000,375000000,194000000,276000000,386000000,393000000,436000000,249000000,1075000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,14120000000,17767000000,26580000000,27349000000,27872000000,28574000000,29214000000,30009000000,30612000000,31371000000,32299000000,33295000000,34104000000,35439000000,36909000000,38730000000,39656000000,41369000000,43539000000,45741000000,48037000000,50470000000,52122000000,53800000000,54984000000,58214000000,58184000000,59974000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,15942000000,19446000000,27914000000,28764000000,29374000000,29888000000,30499000000,31551000000,32764000000,33460000000,34589000000,35620000000,36515000000,38033000000,39722000000,42410000000,43088000000,45096000000,47153000000,49731000000,52716000000,54600000000,55718000000,57806000000,59147000000,61673000000,62398000000,63525000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,463000000,145000000,705000000,758000000,586000000,598000000,658000000,567000000,483000000,511000000,590000000,783000000,684000000,732000000,629000000,612000000,677000000,819000000,825000000,803000000,877000000,743000000,955000000,1013000000,872000000,749000000,612000000,752000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,470000000,132000000,127000000,233000000,181000000,214000000,207000000,194000000,276000000,167000000,150000000,656000000,780000000,139000000,320000000,212000000,239000000,209000000,196000000,705000000,462000000,594000000,758000000,800000000,1466000000,1619000000,1390000000,2496000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,236000000,219000000,208000000,212000000,279000000,343000000,207000000,224000000,86000000,482000000,368000000,491000000,412000000,434000000,472000000,547000000,694000000,496000000,635000000,823000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1572000000,1622000000,2224000000,2256000000,2165000000,2073000000,2097000000,1931000000,1942000000,1778000000,1776000000,1945000000,2075000000,2170000000,1931000000,1858000000,2036000000,2289000000,2098000000,2283000000,2426000000,1869000000,1927000000,2126000000,2288000000,1983000000,2171000000,2496000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,2505000000,1899000000,3056000000,3247000000,2932000000,2885000000,2962000000,2692000000,2701000000,2456000000,2516000000,3384000000,3539000000,3041000000,2880000000,2682000000,2952000000,3317000000,3119000000,3791000000,3765000000,3206000000,3640000000,3939000000,4626000000,4351000000,4173000000,5744000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,4090000000,6232000000,7900000000,8285000000,8511000000,8426000000,8144000000,7886000000,7428000000,7822000000,7981000000,6760000000,6000000000,7543000000,8607000000,9636000000,9003000000,8697000000,8801000000,8872000000,11018000000,13607000000,14249000000,16144000000,20925000000,23943000000,26943000000,28992000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,2856000000,3498000000,5939000000,6252000000,6308000000,6715000000,7143000000,7882000000,8478000000,9169000000,9180000000,9482000000,9696000000,10050000000,10282000000,11130000000,11557000000,12368000000,13108000000,14163000000,14680000000,15241000000,15996000000,10936000000,11302000000,11992000000,12247000000,12675000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1360000000,1237000000,2794000000,2755000000,2730000000,3861000000,3588000000,3516000000,3506000000,1659000000,2257000000,2287000000,1968000000,1814000000,2506000000,2021000000,1813000000,2136000000,2248000000,1680000000,2064000000,1844000000,1901000000,1931000000,1871000000,3259000000,2077000000,1953000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,8306000000,10967000000,16633000000,17292000000,17549000000,19002000000,18875000000,19284000000,19412000000,18650000000,19418000000,18529000000,17664000000,19407000000,21395000000,22787000000,22373000000,23201000000,24157000000,24715000000,27762000000,30692000000,32146000000,29011000000,34098000000,39194000000,41267000000,43620000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1833000000,1604000000,2095000000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,10811000000,12866000000,19689000000,20539000000,20481000000,21887000000,21837000000,21976000000,22113000000,21106000000,21934000000,21913000000,21203000000,22448000000,24275000000,25469000000,25325000000,26518000000,27276000000,28506000000,31527000000,33898000000,35786000000,32950000000,38724000000,43545000000,45440000000,49364000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,580000000,581000000,686000000,690000000,691000000,691000000,688000000,689000000,689000000,689000000,689000000,689000000,690000000,690000000,1382000000,1384000000,1385000000,1386000000,1386000000,1387000000,2775000000,2776000000,2777000000,2778000000,2779000000,2780000000,2781000000,2781000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,4734000000,5327000000,5262000000,5271000000,4441000000,5053000000,5699000000,6466000000,7597000000,8930000000,9222000000,9932000000,11215000000,12667000000,13813000000,15167000000,17154000000,19508000000,22271000000,25288000000,27367000000,30233000000,32587000000,41317000000,45284000000,48605000000,51326000000,55049000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6614000000,-4643000000,-5053000000,-5537000000,-6206000000,-6851000000,-7262000000,-7644000000,-234000000,-124000000,-237000000,-230000000,-142000000,-74000000,-704000000,-654000000,-734000000,-1054000000,-1186000000,-750000000,-1210000000,-1195000000,-1272000000,-1141000000,-1415000000,-1356000000,-1593000000,-914000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,6431000000,5099000000,7330000000,7801000000,8467000000,9108000000,9537000000,10064000000,2599000000,2859000000,2981000000,3316000000,3549000000,2302000000,956000000,1044000000,-42000000,-1262000000,-2594000000,-4700000000,-7743000000,-11112000000,-14160000000,-18098000000,-26225000000,-31901000000,-35556000000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,5131000000,6364000000,8225000000,8225000000,7393000000,8001000000,8662000000,9575000000,10651000000,12354000000,12655000000,13707000000,15312000000,15585000000,15447000000,16941000000,17763000000,18578000000,19877000000,21225000000,21189000000,20702000000,19932000000,24856000000,20423000000,18128000000,16958000000,14161000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,15942000000,19230000000,27914000000,28764000000,27874000000,29888000000,30499000000,31551000000,32764000000,33460000000,34589000000,35620000000,36515000000,38033000000,39722000000,42410000000,43088000000,45096000000,47153000000,49731000000,52716000000,54600000000,55718000000,57806000000,59147000000,61673000000,62398000000,63525000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,216000000,- -,- -,1500000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,15942000000,19446000000,27914000000,28764000000,29374000000,29888000000,30499000000,31551000000,32764000000,33460000000,34589000000,35620000000,36515000000,38033000000,39722000000,42410000000,43088000000,45096000000,47153000000,49731000000,52716000000,54600000000,55718000000,57806000000,59147000000,61673000000,62398000000,63525000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/100885/000095010996001749/0000950109-96-001749-index.html,https://www.sec.gov/Archives/edgar/data/100885/000010088597000002/0000100885-97-000002-index.html,https://www.sec.gov/Archives/edgar/data/100885/000095013498002114/0000950134-98-002114-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/100885/000095013401002416/0000950134-01-002416-index.html,https://www.sec.gov/Archives/edgar/data/100885/000095013402001771/0000950134-02-001771-index.html,https://www.sec.gov/Archives/edgar/data/100885/000095013403002918/0000950134-03-002918-index.html,https://www.sec.gov/Archives/edgar/data/100885/000119312504025678/0001193125-04-025678-index.htm,https://www.sec.gov/Archives/edgar/data/100885/000119312505037425/0001193125-05-037425-index.htm,https://www.sec.gov/Archives/edgar/data/100885/000119312506038383/0001193125-06-038383-index.htm,https://www.sec.gov/Archives/edgar/data/100885/000119312507038387/0001193125-07-038387-index.htm,https://www.sec.gov/Archives/edgar/data/100885/000119312508041700/0001193125-08-041700-index.htm,https://www.sec.gov/Archives/edgar/data/100885/000119312509021370/0001193125-09-021370-index.htm,https://www.sec.gov/Archives/edgar/data/100885/000119312510023294/0001193125-10-023294-index.htm,https://www.sec.gov/Archives/edgar/data/100885/000119312511024531/0001193125-11-024531-index.htm,https://www.sec.gov/Archives/edgar/data/100885/000119312512038569/0001193125-12-038569-index.htm,https://www.sec.gov/Archives/edgar/data/100885/000119312513045658/0001193125-13-045658-index.htm,https://www.sec.gov/Archives/edgar/data/100885/000119312514040752/0001193125-14-040752-index.htm,https://www.sec.gov/Archives/edgar/data/100885/000119312515037518/0001193125-15-037518-index.htm,https://www.sec.gov/Archives/edgar/data/100885/000010088516000260/0000100885-16-000260-index.htm,https://www.sec.gov/Archives/edgar/data/100885/000010088517000056/0000100885-17-000056-index.htm,https://www.sec.gov/Archives/edgar/data/100885/000010088518000048/0000100885-18-000048-index.htm,https://www.sec.gov/Archives/edgar/data/100885/000010088519000060/0000100885-19-000060-index.htm,https://www.sec.gov/Archives/edgar/data/100885/000010088520000065/0000100885-20-000065-index.htm,https://www.sec.gov/Archives/edgar/data/100885/000010088521000068/0000100885-21-000068-index.htm,https://www.sec.gov/Archives/edgar/data/100885/000143774922002494/0001437749-22-002494-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
