,https://roic.ai/company/AZPN,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13877000,1888000,1161000,672000,598000,1697000,2168000,1775000,439000,1603000,1698000,14952000,1799000,3444000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,24341000,59607000,37266000,47808000,34854000,64238000,62345000,86551000,62801000,67852000,90681000,143578000,178341000,228940000,250968000,252520000,272024000,286845000,25318000,43168000,56393000
52,Other Current Liabilities,16000000,36800000,37000000,56900000,65400000,82100000,74556000,78135000,102126000,77220000,102801000,77033000,95742000,76080000,52251000,51449000,65139000,38819000,36274000,37152000,40258000,36544000,49752000,41213000,69546000,45355000,54019000
53,Total Current Liabilities,18500000,43200000,44000000,65200000,75600000,92175000,108550000,171028000,151863000,191312000,143783000,146131000,265939000,217033000,204072000,155817000,173675000,195719000,215461000,266504000,296466000,432623000,467243000,502288000,320755000,234498000,141530000
54,Long-Term Debt,4100000,700000,500000,90600000,89500000,88173000,88149000,93945000,89911000,1952000,338000,149000,104324000,99391000,28211000,45711000,9157000,- -,- -,- -,- -,- -,- -,- -,- -,325457000,302861000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4761000,20354000,16070000,19427000,38262000,43595000,53012000,45942000,37919000,29558000,28335000,28259000,19573000,13913000,11732000
56,Deferred Tax Liabilities,4000000,6400000,6000000,6100000,- -,- -,- -,- -,13258000,4220000,2760000,1309000,625000,725000,2354000,956000,- -,- -,- -,- -,- -,- -,- -,- -,159071000,179978000,193360000
57,Other Non-Current Liabilities,7300000,10100000,10400000,16000000,13900000,15399000,8825000,29582000,83361000,122930000,146446000,148530000,16042000,44310000,35859000,31832000,33078000,15429000,12377000,11850000,29522000,32591000,13148000,18492000,10381000,3107000,3760000
58,Total Non-Current Liabilities,15400000,17200000,16900000,112700000,103400000,103572000,96974000,123527000,186530000,129102000,149544000,149988000,125752000,164780000,82494000,97926000,80497000,59024000,65389000,57792000,67441000,62149000,41483000,46751000,189025000,522455000,511713000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39912000,36450000
61,Total Liabilities,33900000,60400000,60900000,177900000,179000000,195747000,205524000,294555000,338393000,320414000,293327000,296119000,391691000,381813000,286566000,253743000,254172000,254743000,280850000,324296000,363907000,494772000,508726000,549039000,509780000,756953000,653243000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,2500000,2906000,3157000,3773000,3929000,4173000,4330000,4909000,8913000,9024000,9033000,9267000,9494000,9666000,9995000,10103000,10161000,10203000,10257000,10313000,10365000,10399000,10455000
64,Retained Earnings,4100000,-11100000,2600000,14900000,-11300000,-3752000,-24127000,-107593000,-277610000,-312658000,-398727000,-455403000,-361463000,-336517000,-283593000,-391038000,-381271000,-395079000,-349817000,-264034000,-145627000,-5676000,156520000,305208000,1259984000,1458330000,1778133000
65,Other Comprehensive Income/Loss,-8300000,-11900000,-19900000,-33600000,-45800000,-56250000,-69659000,-82873000,-1445000,805000,547000,-330000,9598000,7731000,7005000,7525000,9115000,8095000,7263000,9372000,6470000,2651000,1459000,1388000,336000,-5288000,9026000
66,Other Total Stockholders Equity,46000000,122800000,148700000,183700000,197800000,226294000,291699000,440481000,315213000,338291000,344765000,428943000,480158000,492575000,496965000,515216000,520465000,490910000,434457000,328235000,80450000,-82212000,-429020000,-601024000,-877400000,-997088000,-996857000
67,Total Stockholders Equity,41800000,99800000,131400000,165000000,143200000,169198000,201070000,253788000,40087000,30611000,-49085000,-21881000,137206000,172813000,229410000,140970000,157803000,113592000,101898000,83676000,-48546000,-75034000,-260784000,-284115000,393285000,466353000,800757000
68,Total Liabilities And Stockholders Equity,75700000,160200000,192300000,342900000,322200000,364945000,406594000,548343000,378480000,351025000,244242000,274238000,528897000,554626000,515976000,394713000,411975000,368335000,382748000,407972000,315361000,419738000,247942000,264924000,903065000,1223306000,1454000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,75700000,160200000,192300000,342900000,322200000,364945000,406594000,548343000,378480000,351025000,244242000,274238000,528897000,554626000,515976000,394713000,411975000,368335000,382748000,407972000,315361000,419738000,247942000,264924000,903065000,1223306000,1454000000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/929940/0000950135-96-004185-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/929940/000095013502004382/b44315ate10vk.htm,https://www.sec.gov/Archives/edgar/data/929940/000104746903031996/a2119422z10-k.htm,https://www.sec.gov/Archives/edgar/data/929940/000104746904028599/a2143308z10-k.htm,https://www.sec.gov/Archives/edgar/data/929940/000110465905043931/a05-16103_110k.htm,https://www.sec.gov/Archives/edgar/data/929940/000110465906063851/a06-20421_110k.htm,https://www.sec.gov/Archives/edgar/data/929940/000104746908004575/a2182595z10-k.htm,https://www.sec.gov/Archives/edgar/data/929940/000104746909006592/a2193564z10-k.htm,https://www.sec.gov/Archives/edgar/data/929940/000104746909006592/0001047469-09-006592-index.html,https://www.sec.gov/Archives/edgar/data/929940/000104746910007845/0001047469-10-007845-index.html,https://www.sec.gov/Archives/edgar/data/929940/000104746911007601/0001047469-11-007601-index.html,https://www.sec.gov/Archives/edgar/data/929940/000114036112037959/0001140361-12-037959-index.html,https://www.sec.gov/Archives/edgar/data/929940/000104746913008484/0001047469-13-008484-index.html,https://www.sec.gov/Archives/edgar/data/929940/000104746914006959/0001047469-14-006959-index.html,https://www.sec.gov/Archives/edgar/data/929940/000104746915006824/0001047469-15-006824-index.html,https://www.sec.gov/Archives/edgar/data/929940/000162828016018906/0001628280-16-018906-index.html,https://www.sec.gov/Archives/edgar/data/929940/000092994017000024/0000929940-17-000024-index.html,https://www.sec.gov/Archives/edgar/data/929940/000092994018000023/0000929940-18-000023-index.html,https://www.sec.gov/Archives/edgar/data/929940/000092994019000038/0000929940-19-000038-index.html,https://www.sec.gov/Archives/edgar/data/929940/000092994020000069/0000929940-20-000069-index.htm,https://www.sec.gov/Archives/edgar/data/929940/000092994021000060/0000929940-21-000060-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,5400000,-15200000,13200000,14600000,-25700000,5428000,-20375000,-77165000,-160833000,-28690000,-69372000,18346000,45518000,24946000,52924000,-107445000,10257000,-13808000,45262000,85783000,118407000,139951000,162196000,148688000,262734000,229671000,319803000
74,Depreciation and Amortization,2700000,5600000,11300000,14100000,18300000,16327000,24099000,25763000,30994000,27371000,24987000,22381000,19422000,10917000,8712000,6551000,5336000,5278000,5229000,5215000,6216000,6061000,6405000,6544000,8143000,9550000,10257000
75,Deferred Income Tax,2600000,-300000,-1600000,-2700000,-14100000,-6201000,-12783000,893000,- -,5524000,-1276000,-999000,3214000,-9375000,-911000,-2167000,-64264000,-4827000,5127000,34596000,20112000,2499000,-4286000,3193000,-26839000,28101000,12255000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11062000,10600000,4670000,15260000,9699000,12406000,14637000,14056000,14584000,15727000,18800000,22688000,27573000,31548000,33644000
77,Change in Working Capital,-7200000,41300000,2100000,101800000,-20700000,17280000,-41966000,-58303000,-27173000,-25798000,-12164000,21273000,27770000,63288000,-18393000,-3448000,-14278000,-14444000,4146000,-6712000,-96014000,-38464000,-249757000,-50046000,479388000,307657000,210845000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,872000,-38264000,34552000,16493000,5981000,-4285000,-6094000,-3179000,8028000,9382000,-7480000,4327000,-6626000,-12875000,-2132000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4947000,1633000,5933000,-4489000,-9070000,1156000,21921000,-23360000,-59000
81,Other Working Capital,27600000,68900000,71000000,172800000,152100000,169380000,127414000,69111000,41938000,16140000,3976000,25249000,53019000,116307000,97914000,94466000,80188000,65744000,69890000,63178000,-32836000,-71300000,-321057000,-371103000,108285000,415942000,626787000
82,Other Non-Cash Items,100000,-13000000,-24200000,-109400000,33200000,-4820000,37642000,100745000,178578000,62011000,83713000,-41084000,-51266000,-29547000,-13552000,129871000,116580000,120032000,72161000,67193000,128680000,27970000,249028000,75869000,-512686000,-363269000,-310670000
83,Cash Provided by Operating Activities,3600000,18400000,800000,18400000,-9000000,28014000,-13383000,-8067000,21566000,40418000,25888000,19917000,55720000,70829000,33450000,38622000,63330000,104637000,146562000,200131000,191985000,153744000,182386000,206936000,238313000,243258000,276134000
84,CAPEX,-2600000,-7000000,-18100000,-29300000,-8700000,-11767000,-20350000,-12940000,-4746000,-3123000,-5160000,-10568000,-3143000,-10204000,-5354000,-3351000,-4829000,-4752000,-6565000,-5096000,-8004000,-3752000,-3125000,-660000,-1567000,-1419000,-2366000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-93437000,- -,- -,- -,- -,-1295000,- -,- -,- -,- -,-2617000,- -,- -,- -,-8000000,-36171000,-33700000,-6098000,-74784000,-17415000
86,Purchases of Investments,-18400000,-23700000,- -,-18400000,-28700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-97597000,-68356000,-50065000,- -,-683748000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,22700000,- -,- -,373000,33884000,12257000,18535000,- -,- -,- -,- -,- -,- -,- -,- -,- -,4549000,60265000,85535000,58973000,686346000,- -,- -,- -,- -
88,Other Investing Activites,-700000,-44600000,-9200000,-9000000,-3100000,-10508000,-27249000,-8165000,-6338000,-3989000,-6650000,104000,-3426000,448000,-418000,-699000,-1990000,-511000,164000,-1085000,-359000,-269000,-405000,-329000,-1131000,-141000,-1129000
89,Cash Used for Investing Activites,-21700000,-75300000,-4600000,-56700000,-40500000,-21902000,-13715000,-102285000,7451000,-7112000,-11810000,-10464000,-7864000,-9756000,-5772000,-3351000,-4829000,-7369000,-97391000,-13187000,27466000,47221000,-36698000,-34360000,-7665000,-76203000,-19781000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-145308000,-135993000,-68212000,-44342000,-32051000,-44892000,-11010000,- -,- -,-1707000,- -,-351000,- -,-8000000,-135182000
91,Common Stock Issued,19300000,70900000,7800000,11600000,5300000,11720000,16611000,- -,3443000,96484000,5460000,11828000,858000,467000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10864000,9004000,26096000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-30000000,- -,- -,- -,- -,- -,- -,-10531000,-46105000,-84677000,-121776000,-297246000,-178604000,-371491000,-205049000,-299214000,-152432000,-45647000
93,Dividends Paid,-900000,- -,- -,- -,- -,-444000,- -,- -,- -,-296000,- -,-2439000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,1300000,-9100000,-600000,87000000,-900000,-2266000,-1041000,107164000,-15036000,-43997000,-59181000,-865000,142268000,75765000,29793000,12642000,8318000,9298000,13916000,1606000,35987000,141652000,9474000,26921000,33823000,200863000,-10401000
95,Cash Used/Provided by Financing Activities,19700000,61800000,7200000,98600000,4400000,9010000,15570000,107164000,-11593000,22191000,-53721000,8524000,-2182000,-59761000,-38419000,-31700000,-34264000,-81699000,-81771000,-120170000,-261259000,-38659000,-362017000,-178479000,-254527000,49435000,-165134000
96,Effect of Forex Changes on Cash,100000,-100000,100000,100000,-100000,210000,-1210000,126000,572000,613000,115000,146000,321000,469000,-1094000,-839000,803000,-312000,-210000,320000,-1469000,-219000,-53000,114000,-360000,-620000,838000
97,Net Change In Cash,1700000,61800000,7200000,98600000,-45200000,15332000,-12738000,-3062000,17996000,56110000,-39528000,18123000,45995000,1781000,-11835000,2732000,25040000,15257000,-32810000,67094000,-43277000,162087000,-216382000,-5789000,-24239000,215870000,92057000
98,Cash at the End of Period,4200000,- -,- -,- -,33500000,49371000,36633000,33571000,51567000,107677000,68149000,86272000,132267000,134048000,122213000,124945000,149985000,165242000,132432000,199526000,156249000,318336000,101954000,96165000,71926000,287796000,379853000
99,Cash at the Beginning of Period,2500000,4200000,12500000,18300000,78700000,34039000,49371000,36633000,33571000,51567000,107677000,68149000,86272000,132267000,134048000,122213000,124945000,149985000,165242000,132432000,199526000,156249000,318336000,101954000,96165000,71926000,287796000
100,Free Cash Flow,1000000,11400000,-17300000,-10900000,-17700000,16247000,-33733000,-21007000,16820000,37295000,20728000,9349000,52577000,60625000,28096000,35271000,58501000,99885000,139997000,195035000,183981000,149992000,179261000,206276000,236746000,241839000,273768000
