,https://roic.ai/company/ACTG,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,1399042,2219617,3952199,6224000,9686000,37220000,67834000,9908000,6705000,10339000,26820000,24646000,62108000,62430000,27393000,27188000,35241000,59026000,65986000,53942000,45708000,36498000,28419000,21452000,16376000,24476000,37204000
11,COGS and Expenses,1399042,2219617,3952199,6224000,9686000,37220000,67834000,9908000,6705000,10339000,26820000,41805000,62108000,62430000,73066000,93208000,141999000,170315000,213487000,193031000,172779000,147768000,90426000,128107000,34664000,49300000,73502000
12,Interest Income ,49567,- -,- -,302000,- -,3086000,3762000,620000,521000,471000,1071000,1524000,2359000,1056000,148000,103000,96000,825000,1938000,- -,- -,- -,4276000,969000,5473000,838000,- -
13,Interest Expense (Gain),- -,- -,- -,130000,- -,- -,65000,6000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,595000,- -,- -,- -,- -,- -,5923000,7922000
14,Depreciation and Amortization,9681,22412,529262,1709000,1823000,2657000,3869000,1797000,2409000,551000,4981000,5392000,5702000,6174000,4759000,7017000,9850000,39168000,53894000,57546000,53289000,34355000,22243000,27145000,3227000,4800000,10688000
15,EBITDA,2128809,1054173,-2580249,-4350000,-6354000,-36375000,-19118000,-11661000,-3179000,-5131000,-1429000,-64000,-9536000,-7459000,-6322000,42808000,39664000,120681000,-24498000,-3976000,-101947000,-1524000,47378000,-76705000,-15712000,123008000,-6845000
16,EBITDA ratio,0.6665,0.3253,-5.9759,-11.3874,-52.0820,-638.1579,-0.7760,-271.1860,-4.5939,-1.1977,-0.0730,-0.0018,-0.1813,-0.1547,-0.0939,0.3247,0.2303,0.4813,-0.1876,-0.0304,-0.8153,-0.0100,0.7244,-0.5833,-1.3971,4.1303,-0.0777
17,Operating Income,1795199,1020965,-3520421,-5842000,-9564000,-37163000,-43198000,-9865000,-6013000,-6055000,-7246000,-6980000,-9511000,-14203000,-5726000,38621000,30257000,80412000,-82931000,-62155000,-152622000,-37409000,-27272000,-24811000,-23418000,-19518000,14545000
18,Operating Income ratio,0.5620,0.3151,-8.1533,-15.2932,-78.3934,-651.9825,-1.7535,-229.4186,-8.6893,-1.4134,-0.3702,-0.2004,-0.1808,-0.2945,-0.0850,0.2930,0.1757,0.3207,-0.6352,-0.4749,-1.2206,-0.2450,-0.4170,-0.1887,-2.0823,-0.6554,0.1652
19,Total Other Income Expenses (Gains),323470,1031761,- -,-545000,-842000,-1235000,4166000,-3503000,408000,471000,1071000,1524000,2359000,570000,302000,135000,96000,937000,2131000,-595000,-56000,798000,51911000,-78858000,4465000,131803000,160107000
20,Income Before Tax,2118669,2052726,-3520421,-6387000,-10406000,-38398000,-39032000,-13368000,-5605000,-5584000,-6175000,-5456000,-7152000,-13633000,-5424000,38756000,30353000,81349000,-80800000,-62750000,-152678000,-36611000,24639000,-103669000,-18953000,112285000,174652000
21,Income Before Tax Ratio,0.6633,0.6334,-8.1533,-16.7199,-85.2951,-673.6491,-1.5843,-310.8837,-8.0997,-1.3035,-0.3155,-0.1567,-0.1360,-0.2827,-0.0805,0.2940,0.1762,0.3245,-0.6189,-0.4795,-1.2211,-0.2398,0.3767,-0.7883,-1.6853,3.7702,1.9836
22,Income Tax expense (Gain),55756,605341,-250132,- -,20000,-73000,-780000,-710000,-137000,-139000,-135000,40000,207000,124000,209000,1740000,8708000,22060000,-21958000,3912000,4800000,18188000,2955000,1179000,-1824000,-1159000,-24287000
23,Net Income,2063372,426420,-2859379,-6189000,-8197000,-38959000,-22272000,-12754000,-5451000,-5543000,-6275000,-5496000,-15445000,-13757000,-11290000,34051000,21106000,59453000,-56434000,-66029000,-160036000,-54067000,22180000,-105029000,-17115000,113444000,-1168000
24,Net Income ratio,0.6460,0.1316,-6.6223,-16.2016,-67.1885,-683.4912,-0.9040,-296.6047,-7.8772,-1.2939,-0.3206,-0.1578,-0.2936,-0.2853,-0.1677,0.2583,0.1225,0.2371,-0.4323,-0.5045,-1.2799,-0.3541,0.3391,-0.7987,-1.5219,3.8091,-0.0133
25,EPS,0.81,0.16,-1.15,-0.69,-0.75,-2.67,-1.16,-0.65,-0.28,-0.28,-0.24,-0.20,-0.26,-0.47,-0.38,1.05,0.50,1.26,-1.18,-1.33,-3.25,-1.08,0.44,-2.10,-0.35,1.85,-0.02
26,EPS Diluted,0.81,0.16,-1.15,-0.69,-0.75,-2.67,-1.16,-0.65,-0.28,-0.28,-0.24,-0.20,-0.26,-0.47,-0.38,0.97,0.48,1.24,-1.18,-1.37,-3.25,-1.08,0.44,-2.10,-0.40,1.54,-0.02
27,Weighted Average Shares Outstanding,2558647,2680433,2481143,8971272,10871423,14568389,19259256,19640808,19661655,19784883,26630732,27547651,28503314,29423998,29914801,32306322,39743433,47251061,48155832,50065382,49505817,50075847,50495119,49969062,49764002,48840829,48840829
28,Weighted Average Shares Outstanding Diluted,2558647,2680433,2481143,8971272,10871423,14568389,19259256,19640808,19661655,19784883,26630732,27547651,28503314,29423998,29914801,35081611,41258297,48060647,48155832,50065382,49505817,50075847,50692012,49969062,50896773,57435128,57435128
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/934549/0000912057-97-028002-index.html,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/934549/000101968706000581/0001019687-06-000581-index.htm,https://www.sec.gov/Archives/edgar/data/934549/000101968707000715/0001019687-07-000715-index.htm,https://www.sec.gov/Archives/edgar/data/934549/000101968708001103/0001019687-08-001103-index.htm,https://www.sec.gov/Archives/edgar/data/934549/000101968709000666/0001019687-09-000666-index.htm,https://www.sec.gov/Archives/edgar/data/934549/000101968710000765/0001019687-10-000765-index.htm,https://www.sec.gov/Archives/edgar/data/934549/000093454911000005/0000934549-11-000005-index.htm,https://www.sec.gov/Archives/edgar/data/934549/000093454912000005/0000934549-12-000005-index.htm,https://www.sec.gov/Archives/edgar/data/934549/000093454913000003/0000934549-13-000003-index.htm,https://www.sec.gov/Archives/edgar/data/934549/000093454914000004/0000934549-14-000004-index.htm,https://www.sec.gov/Archives/edgar/data/934549/000093454915000005/0000934549-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/934549/000093454916000100/0000934549-16-000100-index.htm,https://www.sec.gov/Archives/edgar/data/934549/000093454917000006/0000934549-17-000006-index.htm,https://www.sec.gov/Archives/edgar/data/934549/000093454918000007/0000934549-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/934549/000093454919000017/0000934549-19-000017-index.htm,https://www.sec.gov/Archives/edgar/data/934549/000168316820000836/0001683168-20-000836-index.htm,https://www.sec.gov/Archives/edgar/data/934549/000168316821001082/0001683168-21-001082-index.htm,https://www.sec.gov/Archives/edgar/data/934549/000093454922000006/0000934549-22-000006-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,788611,176251,1366878,7508000,37631000,35953000,59451000,39792000,28142000,15750000,14498000,32215000,40467000,48279000,51735000,102515000,314733000,221804000,126685000,134466000,135223000,127540000,136604000,128809000,57359000,165546000,308943000
32,Short-Term Investments,- -,- -,- -,- -,- -,40600000,25110000,- -,- -,12896000,24462000,12783000,10966000,- -,- -,- -,6597000,89475000,130017000,58558000,- -,19443000,- -,36654000,110983000,285785000,30934000
33,Cash and Short-Term Investments,788611,176251,1366878,7508000,37631000,76553000,84561000,39792000,28142000,28646000,38960000,44998000,51433000,48279000,51735000,102515000,321330000,311279000,256702000,193024000,135223000,146983000,136604000,165463000,168342000,451331000,339877000
34,Net Receivables,2097879,1168370,345059,376000,378000,68000,- -,- -,5282000,312000,4421000,649000,1409000,7436000,5110000,7987000,2915000,9843000,6341000,20168000,33500000,26750000,153000,32884000,511000,506000,9517000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8930000
36,Other Current Assets,28768,560912,83603,96000,3208000,1403000,1613000,775000,903000,754000,1406000,1187000,1356000,1255000,1081000,1679000,803000,3441000,10685000,5516000,15154000,14757000,2938000,3125000,2912000,5832000,372358000
37,Total Current Assets,2915258,1905533,1795540,7980000,41217000,78024000,86174000,40567000,34327000,29712000,44787000,46834000,54198000,56970000,57926000,112181000,325048000,324563000,273728000,218708000,183877000,188490000,139695000,201472000,171765000,457669000,730682000
38,PP&E,63569,116658,241661,530000,1154000,3727000,4906000,180000,71000,104000,121000,221000,323000,221000,163000,135000,220000,339000,766000,500000,272000,127000,- -,- -,1264000,951000,6210000
39,Goodwill,- -,- -,757697,1158000,1012000,3904000,4627000,- -,- -,- -,- -,121000,- -,- -,- -,- -,- -,30149000,30149000,30149000,- -,- -,- -,- -,- -,- -,7470000
40,Intangible Assets,- -,- -,3877250,4610000,3534000,9038000,11855000,5902000,5342000,3163000,23907000,18515000,16307000,12419000,- -,19803000,25188000,313529000,288432000,286636000,162642000,86319000,61917000,6587000,7814000,16912000,48793000
41,Intangible Assets,- -,- -,4634947,5768000,4546000,12942000,16482000,5902000,5342000,3163000,23907000,18636000,16307000,12419000,17510000,19803000,25188000,343678000,318581000,316785000,162642000,86319000,61917000,6587000,7814000,16912000,56263000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3239000,2152000,2001000,1956000,- -,- -,- -,- -,- -,106949000,15654000,1500000,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,1484385,3355579,2181485,5491000,4874000,3823000,3297000,563000,238000,79000,78000,79000,223000,225000,505000,664000,465000,137000,318000,355000,1110000,21067000,207000,236000,35818000,39988000,5701000
45,Total Non-Current Assets,1547954,3472237,7058093,11789000,10574000,20492000,24685000,6645000,5651000,3346000,24106000,18936000,16853000,16104000,20330000,22603000,27829000,344154000,319665000,317640000,164024000,107513000,169073000,22477000,46396000,57851000,68174000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,4463212,5377770,8853633,19769000,51791000,98516000,110859000,47212000,39978000,33058000,68893000,65770000,71051000,73074000,78256000,134784000,352877000,668717000,593393000,536348000,347901000,296003000,308768000,223949000,218161000,515520000,798856000
48,Accounts Payable,129066,76355,- -,- -,- -,- -,- -,2524000,1572000,2175000,81000,1834000,3462000,- -,- -,- -,354000,557000,128000,121000,17347000,14283000,7956000,8347000,1765000,1019000,5440000
49,Short-Term Debt,- -,552500,226089,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,435000,116252000,183275000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,583000,85000,- -,- -,3960000,3150000,15000,374000,27000,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,1503000,104000,428000,639000,360000,321000,318000,1510000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1114000
52,Other Current Liabilities,224718,- -,220480,366000,1293000,18159000,13778000,- -,- -,- -,5118000,2051000,2343000,14010000,20408000,19859000,29779000,21436000,25874000,45790000,15878000,13908000,1601000,22688000,9515000,7545000,- -
53,Total Current Liabilities,353784,628855,446569,366000,1293000,18159000,13778000,4027000,1676000,2603000,5838000,4245000,6126000,14328000,21918000,19859000,30133000,21993000,26002000,45911000,33225000,28191000,9557000,31035000,11715000,124816000,189829000
54,Long-Term Debt,- -,- -,- -,1222000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,372000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,4195,193503,- -,- -,- -,2689000,3829000,1156000,1012000,869000,726000,- -,- -,- -,- -,- -,- -,27831000,4874000,1161000,210000,- -,- -,- -,- -,- -,18552000
57,Other Non-Current Liabilities,- -,- -,- -,240000,5236000,17524000,34148000,- -,1500000,- -,83000,31000,121000,199000,369000,1072000,632000,415000,319000,228000,311000,369000,3552000,1674000,23399000,87251000,145247000
58,Total Non-Current Liabilities,4195,193503,- -,1462000,5236000,20213000,38349000,1156000,2512000,869000,809000,31000,121000,199000,369000,1072000,632000,28246000,5193000,1389000,521000,369000,3552000,1674000,23399000,87251000,163799000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1699000,1540000,- -
61,Total Liabilities,357979,822358,446569,1828000,6529000,38372000,52127000,5183000,4188000,3472000,6647000,4276000,6247000,14527000,22287000,20931000,30765000,50239000,31195000,47300000,33746000,28560000,13109000,32709000,35114000,212067000,353628000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8089000,10924000,- -
63,Common Stock,3934877,4081993,10712984,26737000,14000,16000,20000,- -,- -,- -,- -,- -,30000,31000,32000,36000,43000,49000,49000,50000,51000,50000,51000,50000,50000,49000,49000
64,Retained Earnings,367812,562171,-2706606,-8896000,-17093000,-56052000,-100012000,-65015000,-70466000,-76009000,-82284000,-87780000,-95195000,-108952000,-120242000,-86191000,-65085000,-5632000,-62066000,-128095000,-288131000,-342198000,-320018000,-422541000,-439656000,-326708000,-181724000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,-504000,-573000,-348000,-406000,-411000,-3000,- -,-784000,-870000,-1830000,-1166000,-947000,-353000,-215000,-76000,-88000,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,400686,100000,62341000,116180000,158724000,107548000,106829000,105943000,144936000,149685000,159972000,167468000,174456000,197896000,386821000,618251000,618674000,611955000,598506000,607813000,614356000,611884000,612731000,608146000,601108000
67,Total Stockholders Equity,4105233,4555412,8407064,17941000,45262000,60144000,58732000,40542000,34663000,28808000,61803000,61494000,64804000,58547000,53462000,110871000,319949000,611502000,555710000,483557000,310211000,265589000,294301000,189393000,181214000,292411000,419433000
68,Total Liabilities And Stockholders Equity,4463212,5377770,8853633,19769000,51791000,98516000,110859000,45725000,38851000,32280000,68450000,65770000,71051000,73074000,75749000,131802000,350714000,661741000,586905000,530857000,343957000,294149000,307410000,222102000,216328000,504478000,773061000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,1487000,1127000,778000,443000,- -,- -,- -,2507000,2982000,2163000,6976000,6488000,5491000,3944000,1854000,1358000,1847000,1833000,11042000,25795000
70,Total Liabilities & Equity,4463212,5377770,8853633,19769000,51791000,98516000,110859000,47212000,39978000,33058000,68893000,65770000,71051000,73074000,78256000,134784000,352877000,668717000,593393000,536348000,347901000,296003000,308768000,223949000,218161000,515520000,798856000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/934549/0000912057-97-028002-index.html,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/934549/000101968706000581/0001019687-06-000581-index.htm,https://www.sec.gov/Archives/edgar/data/934549/000101968707000715/0001019687-07-000715-index.htm,https://www.sec.gov/Archives/edgar/data/934549/000101968708001103/0001019687-08-001103-index.htm,https://www.sec.gov/Archives/edgar/data/934549/000101968709000666/0001019687-09-000666-index.htm,https://www.sec.gov/Archives/edgar/data/934549/000101968710000765/0001019687-10-000765-index.htm,https://www.sec.gov/Archives/edgar/data/934549/000093454911000005/0000934549-11-000005-index.htm,https://www.sec.gov/Archives/edgar/data/934549/000093454912000005/0000934549-12-000005-index.htm,https://www.sec.gov/Archives/edgar/data/934549/000093454913000003/0000934549-13-000003-index.htm,https://www.sec.gov/Archives/edgar/data/934549/000093454914000004/0000934549-14-000004-index.htm,https://www.sec.gov/Archives/edgar/data/934549/000093454915000005/0000934549-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/934549/000093454916000100/0000934549-16-000100-index.htm,https://www.sec.gov/Archives/edgar/data/934549/000093454917000006/0000934549-17-000006-index.htm,https://www.sec.gov/Archives/edgar/data/934549/000093454918000007/0000934549-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/934549/000093454919000017/0000934549-19-000017-index.htm,https://www.sec.gov/Archives/edgar/data/934549/000168316820000836/0001683168-20-000836-index.htm,https://www.sec.gov/Archives/edgar/data/934549/000168316821001082/0001683168-21-001082-index.htm,https://www.sec.gov/Archives/edgar/data/934549/000093454922000006/0000934549-22-000006-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,2063372,426420,-2859379,-6189000,-8197000,-38959000,-22272000,-12754000,-5451000,-5543000,-6275000,-5496000,-15445000,-13757000,-11290000,34051000,21106000,59453000,-56434000,-66029000,-160036000,-54067000,22180000,-105029000,-17115000,113444000,150365000
74,Depreciation and Amortization,9681,22412,529262,1709000,1823000,2657000,3869000,1797000,2409000,551000,4981000,5392000,5702000,6174000,4759000,7017000,9850000,39168000,53894000,57546000,53289000,34355000,22243000,27145000,3227000,4800000,10688000
75,Deferred Income Tax,-54715,245319,-193231,- -,- -,-81000,-182000,-142000,-136000,-143000,-143000,-36000,- -,- -,- -,- -,- -,6546000,-27271000,-1735000,- -,- -,- -,- -,- -,- -,15742000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7355000,7065000,7121000,13579000,25657000,27894000,18115000,11048000,9062000,8885000,-317000,1075000,1662000,2053000
77,Change in Working Capital,182789,-1284796,72293,6265029,32310000,19941000,12531000,-35856000,-3889000,-5542000,11840000,3640000,5483000,-5430000,-6634000,56314000,202593000,7655000,-54844000,-74929000,-22145000,9647000,-30161000,40299000,-10387000,172803000,208000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6027000,2326000,-2877000,5072000,-6928000,3502000,-13827000,-13332000,6750000,26597000,-28189000,32373000,5000,-747000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,169000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1906000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3039000,1076000,3718000,2570000,-3006000,-6349000,963000,109000,-2546000,- -
81,Other Working Capital,2561474,1276678,1348971,7614000,39924000,59865000,72396000,36540000,32651000,27109000,38949000,42589000,48072000,42642000,36008000,92322000,294915000,302570000,247726000,172797000,150652000,160299000,130138000,170437000,160050000,332853000,540853000
82,Other Non-Cash Items,-260227,-937507,741576,-5344029,-32071000,-18252000,-6507000,42531000,3157000,6718000,-13393000,2859000,1644000,8258000,22218000,-59581000,-186538000,-33876000,53252000,71216000,107895000,35064000,1331000,58779000,20892000,-312329000,-373522000
83,Cash Provided by Operating Activities,1940900,-1528152,-1709479,-3559000,-6135000,-34694000,-12561000,-4424000,-3910000,-3959000,-2990000,6359000,-2616000,2600000,16118000,44922000,60590000,104603000,-3509000,4184000,-9949000,34061000,24478000,20877000,-2308000,-19620000,13326000
84,CAPEX,-39530,-72269,-92061,-374000,-890000,-2476000,-3775000,-78000,-83000,-81000,-75000,-1209000,-223000,-2168000,-9692000,-8282000,-14870000,-178528000,-25736000,-42855000,-19512000,-1229000,-2000,-34000,-4603000,-199000,-91000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5796000,-16000,- -,- -,- -,- -,- -,-150000000,- -,- -,- -,- -,-31514000,-7000000,- -,- -,- -
86,Purchases of Investments,-2658638,-3429665,- -,-27000,- -,-43660000,-56686000,- -,-32714000,-9098000,-39919000,-16409000,-13035000,-265000,- -,- -,-8427000,-402500000,-279693000,-109963000,-23296000,-62633000,-448388000,-102769000,-147178000,-46492000,-66624000
87,Sales/Maturities of Investments,- -,2049051,68033,- -,- -,3975000,76275000,- -,- -,9004000,33141000,28147000,14873000,7503000,1040000,184000,60000,322236000,239370000,182115000,82115000,43232000,467790000,85737000,83718000,347332000,-3591000
88,Other Investing Activites,160470,1090093,397070,-3794000,-3761000,-2143000,-2999000,-517000,30801000,-203000,-445000,-353000,-8959000,-2140000,-9625000,-8224000,-14680000,-178260000,-25061000,-42746000,-19504000,-21225000,-4000000,- -,-4420000,-282043000,106057000
89,Cash Used for Investing Activites,-2498168,-290521,465103,-3821000,-4651000,-44304000,12815000,-595000,-1996000,-378000,-13094000,10160000,-7344000,5070000,-8652000,-8098000,-23237000,-408792000,-66059000,29297000,39307000,-40630000,-16114000,-24066000,-68063000,18598000,35751000
90,Debt Repayment,- -,-247500,-1452500,-144000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25000
91,Common Stock Issued,1010457,335000,3198301,12220000,34275000,39970000,20123000,- -,- -,- -,- -,- -,5014000,- -,- -,- -,175229000,218961000,- -,- -,- -,- -,- -,- -,- -,- -,202000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1107000,- -,- -,-26732000,-7926000,- -,- -,-82000,-45000,-4863000,- -,-3998000,-4012000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18633000,-25039000,-25434000,- -,- -,- -,- -,-1382000,-1452000
94,Other Financing Activites,-25599,1118813,572752,1445000,6634000,37350000,3036000,-2048000,6435000,-305000,19657000,1198000,5369000,142000,-2903000,13956000,-364000,19031000,1008000,-661000,-3167000,-1032000,745000,257000,33921000,114589000,64975000
95,Cash Used/Provided by Financing Activities,984858,1206313,2318553,13521000,40909000,77320000,23159000,-2048000,6435000,-305000,19657000,1198000,10383000,142000,-4010000,13956000,174865000,211260000,-25551000,-25700000,-28601000,-1114000,700000,-4606000,33921000,109209000,59738000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,-125000,- -,-13000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,427590,-612360,1074177,6141000,30123000,-1678000,23288000,-7067000,516000,-4642000,3573000,17717000,423000,7812000,3456000,50780000,212218000,-92929000,-95119000,7781000,757000,-7683000,9064000,-7795000,-36450000,108187000,108815000
98,Cash at the End of Period,788611,176251,1366878,7508000,37631000,35953000,59451000,39792000,3807000,15750000,14498000,32215000,40467000,48279000,51735000,102515000,314733000,221804000,126685000,134466000,135223000,127540000,136604000,128809000,92359000,- -,309361000
99,Cash at the Beginning of Period,361021,788611,292701,1367000,7508000,37631000,36163000,46859000,3291000,20392000,10925000,14498000,40044000,40467000,48279000,51735000,102515000,314733000,221804000,126685000,134466000,135223000,127540000,136604000,128809000,- -,- -
100,Free Cash Flow,1901370,-1600421,-1801540,-3933000,-7025000,-37170000,-16336000,-4502000,-3993000,-4040000,-3065000,5150000,-2839000,432000,6426000,36640000,45720000,-73925000,-29245000,-38671000,-29461000,32832000,24476000,20843000,-6911000,-19819000,13235000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/934549/0000912057-97-028002-index.html,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/934549/000101968706000581/0001019687-06-000581-index.htm,https://www.sec.gov/Archives/edgar/data/934549/000101968707000715/0001019687-07-000715-index.htm,https://www.sec.gov/Archives/edgar/data/934549/000101968708001103/0001019687-08-001103-index.htm,https://www.sec.gov/Archives/edgar/data/934549/000101968709000666/0001019687-09-000666-index.htm,https://www.sec.gov/Archives/edgar/data/934549/000101968710000765/0001019687-10-000765-index.htm,https://www.sec.gov/Archives/edgar/data/934549/000093454911000005/0000934549-11-000005-index.htm,https://www.sec.gov/Archives/edgar/data/934549/000093454912000005/0000934549-12-000005-index.htm,https://www.sec.gov/Archives/edgar/data/934549/000093454913000003/0000934549-13-000003-index.htm,https://www.sec.gov/Archives/edgar/data/934549/000093454914000004/0000934549-14-000004-index.htm,https://www.sec.gov/Archives/edgar/data/934549/000093454915000005/0000934549-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/934549/000093454916000100/0000934549-16-000100-index.htm,https://www.sec.gov/Archives/edgar/data/934549/000093454917000006/0000934549-17-000006-index.htm,https://www.sec.gov/Archives/edgar/data/934549/000093454918000007/0000934549-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/934549/000093454919000017/0000934549-19-000017-index.htm,https://www.sec.gov/Archives/edgar/data/934549/000168316820000836/0001683168-20-000836-index.htm,https://www.sec.gov/Archives/edgar/data/934549/000168316821001082/0001683168-21-001082-index.htm,https://www.sec.gov/Archives/edgar/data/934549/000093454922000006/0000934549-22-000006-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,
