,https://roic.ai/company/SPPI,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,1300000,7000000,12100000,24043005,45001829,28190985,16828934,11305000,12935000,20102000,31469000,44867000,42002000,58385000,109571000,103993000,141250000,166059000,191362000,175599000,172229000,177809000,213754000,140698000,169734000,59
11,COGS and Expenses,1300000,6800000,11600000,23523130,43873696,28190985,16828934,11305000,13058000,20499000,31566000,44867000,43195000,66533000,127010000,137831000,187883000,194639000,218399000,203288000,208072000,225027000,240510000,140698000,169734000,192
12,Interest Income ,- -,- -,- -,- -,776348,- -,- -,83000,- -,- -,2606000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4996000,1342000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,1857640,- -,- -,17000,- -,- -,- -,- -,- -,- -,- -,- -,- -,2192000,8584000,9074000,9435000,6798000,340000,-4996000,- -,- -
14,Depreciation and Amortization,- -,200000,500000,519875,1128133,2270469,1328164,346000,425000,682000,198000,255000,610000,4244000,4506000,5650000,10166000,22096000,25352000,31869000,26492000,27972000,28409000,3335000,261000,- -
15,EBITDA,-1000000,-6000000,-11100000,-25470030,-43441514,-25564351,-16305697,-10027000,-11861000,-17960000,-23086000,-33781000,-14857000,-15223000,-44381000,57871000,89146000,-12348000,-9597000,-9436000,-34898000,-73256000,-91261000,-137363000,-169473000,-192
16,EBITDA ratio,-10.0000,-60.0000,-111.0000,-25470030.0000,-43441514.0000,-621.8070,-6.8760,-10.0270,-45.9729,-31.1265,-4.0695,-4.4032,-0.5172,-0.4003,-0.5988,0.2999,0.3330,-0.0792,-0.0514,-0.0580,-0.2383,-0.5707,-0.8347,-Infinity,-Infinity,-3.2542
17,Operating Income,-1200000,-6700000,-11500000,-23523129,-43873695,-28149872,-17507362,-10468000,-12800000,-19922000,-25893000,-37195000,-19170000,-28508000,-52897000,55132000,79824000,-38785000,-31569000,-40732000,-61628000,-96660000,-131177000,-140698000,-169734000,-147703000
18,Operating Income ratio,-12.0000,-67.0000,-115.0000,-23523129.0000,-43873695.0000,-684.6952,-7.3828,-10.4680,-49.6124,-34.5269,-4.5643,-4.8481,-0.6674,-0.7497,-0.7137,0.2857,0.2982,-0.2489,-0.1690,-0.2506,-0.4208,-0.7530,-1.1998,-Infinity,-Infinity,-2503440.6780
19,Total Other Income Expenses (Gains),300000,700000,200000,-2223365,-8702,-200694,-3213869,-151000,2000,1279000,581000,3139000,-3535000,8737000,4010000,-2911000,-844000,2149000,-11964000,-9647000,-9197000,-11366000,11167000,-3896000,-1598000,147702808
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18643000,- -,- -,- -,-19771000,-48887000,52221000,78980000,-36636000,-43533000,-50379000,-70825000,-108026000,-120010000,-144594000,-171332000,-192
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,-32.3102,- -,- -,- -,-0.5199,-0.6596,0.2706,0.2950,-0.2351,-0.2330,-0.3099,-0.4836,-0.8415,-1.0977,-Infinity,-Infinity,-3.2542
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-421000,-43000,3704000,-15565000,25498000,2186000,406000,-2313000,-16778000,1000,-9208000,-60000,- -
23,Net Income,-1000000,-6200000,-11600000,-25989905,-46427287,-27834820,-17633861,-10390000,-12286000,-18642000,-23284000,-34036000,-15467000,-19046000,-48844000,48517000,94545000,-62134000,-45719000,-50785000,-68512000,-91248000,-120011000,-112689000,-160868000,-192
24,Net Income ratio,-10.0000,-62.0000,-116.0000,-25989905.0000,-46427287.0000,-677.0321,-7.4361,-10.3900,-47.6202,-32.3085,-4.1044,-4.4364,-0.5385,-0.5009,-0.6590,0.2514,0.3532,-0.3987,-0.2447,-0.3124,-0.4678,-0.7108,-1.0977,-Infinity,-Infinity,-3.2542
25,EPS,-7.75,-28.50,-51.75,-92.00,-109.25,-36.50,-12.34,-4.83,-0.98,-1.06,-0.96,-1.17,-0.49,-0.48,-0.99,0.91,1.61,-1.02,-0.71,-0.78,-0.94,-1.07,-1.16,-1.02,-1.29,-0.00
26,EPS Diluted,-7.75,-28.50,-51.75,-92.00,-109.25,-36.50,-12.34,-4.83,-0.98,-1.06,-0.96,-1.17,-0.49,-0.48,-0.99,0.84,1.46,-1.02,-0.71,-0.78,-0.94,-1.07,-1.16,-1.02,-1.29,-0.00
27,Weighted Average Shares Outstanding,134981,216233,224617,284201,425176,786980,1429380,4169374,12674506,17659602,24311306,29013850,31551152,39273905,49502854,53272767,58588916,60729128,64708163,64882417,72824070,85115592,103305911,110585768,124386545,159261818
28,Weighted Average Shares Outstanding Diluted,134981,216233,224617,284201,425176,786980,1429380,4169374,12674506,17659602,24311306,29013850,31551152,39273905,49502854,57959714,64637256,60729128,64708163,64882417,72824070,85115592,103305911,110585768,124386545,159261818
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/831547/000089256903000820/0000892569-03-000820-index.htm,https://www.sec.gov/Archives/edgar/data/831547/000089256904000402/0000892569-04-000402-index.htm,https://www.sec.gov/Archives/edgar/data/831547/000095013405005022/0000950134-05-005022-index.htm,https://www.sec.gov/Archives/edgar/data/831547/000095013706003058/0000950137-06-003058-index.htm,https://www.sec.gov/Archives/edgar/data/831547/000119312507054116/0001193125-07-054116-index.htm,https://www.sec.gov/Archives/edgar/data/831547/000089256908000305/0000892569-08-000305-index.htm,https://www.sec.gov/Archives/edgar/data/831547/000095013409006603/0000950134-09-006603-index.htm,https://www.sec.gov/Archives/edgar/data/831547/000095012310031884/0000950123-10-031884-index.htm,https://www.sec.gov/Archives/edgar/data/831547/000095012311023815/0000950123-11-023815-index.htm,https://www.sec.gov/Archives/edgar/data/831547/000119312512094639/0001193125-12-094639-index.htm,https://www.sec.gov/Archives/edgar/data/831547/000119312513080988/0001193125-13-080988-index.htm,https://www.sec.gov/Archives/edgar/data/831547/000119312514094593/0001193125-14-094593-index.htm,https://www.sec.gov/Archives/edgar/data/831547/000119312515091493/0001193125-15-091493-index.htm,https://www.sec.gov/Archives/edgar/data/831547/000083154716000059/0000831547-16-000059-index.htm,https://www.sec.gov/Archives/edgar/data/831547/000083154717000020/0000831547-17-000020-index.htm,https://www.sec.gov/Archives/edgar/data/831547/000083154718000015/0000831547-18-000015-index.htm,https://www.sec.gov/Archives/edgar/data/831547/000083154719000006/0000831547-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/831547/000083154720000009/0000831547-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/831547/000083154721000009/0000831547-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/831547/000083154722000014/0000831547-22-000014-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,10000000,6100000,1100000,6726220,6158375,749213,1511942,24581000,3241000,28750000,519000,1141000,9860000,82336000,53557000,121202000,139698000,156306000,129942000,139741000,158222000,227323000,157480000,64418000,46009000,88539000
32,Short-Term Investments,- -,- -,- -,2955212,5311215,6407388,66396,1770000,35965000,34917000,50178000,54518000,68226000,31005000,42117000,40060000,3310000,3471000,3306000,245000,247000,248000,46508000,159455000,134016000,- -
33,Cash and Short-Term Investments,10000000,6100000,1100000,9681432,11469590,7156601,1578338,26351000,39206000,63667000,50697000,55659000,78086000,113341000,95674000,161262000,143008000,159777000,133248000,139986000,158469000,227571000,203988000,223873000,180025000,88539000
34,Net Receivables,200000,200000,100000,148034,424059,474007,203558,16000,199000,287000,1150000,191000,5002000,8658000,21051000,51703000,92169000,57022000,76247000,43655000,45536000,34393000,33571000,9999000,2461000,1028000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,224000,58000,- -,- -,1841000,3230000,4234000,10762000,14478000,13519000,9200000,4176000,8715000,5715000,3550000,- -,- -,- -
36,Other Current Assets,5900000,3200000,2200000,130202,418010,386229,789214,397000,372000,373000,440000,762000,693000,1028000,906000,2074000,15218000,4872000,3774000,3507000,3930000,10067000,9579000,10148000,4161000,14385000
37,Total Current Assets,16100000,9500000,3400000,9959668,12311659,8016837,2571110,26764000,40001000,64385000,52287000,56612000,85622000,126257000,121865000,225801000,264873000,235190000,222469000,191324000,216650000,277746000,250688000,244020000,186647000,103952000
38,PP&E,100000,3500000,3300000,3160688,3416083,4688861,802066,560000,687000,562000,625000,716000,1782000,1928000,3158000,2681000,2548000,1535000,1405000,918000,449000,589000,385000,15413000,5824000,455000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28973000,18501000,18195000,17960000,17886000,18162000,18061000,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37042000,33325000,- -,41654000,202311000,231352000,230100000,190335000,164234000,137159000,111594000,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37042000,33325000,29605000,41654000,231284000,249853000,248295000,208295000,182120000,155321000,129655000,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9283000,- -,3593000,8501000,6689000,11533000,37530000,- -,- -,- -,12108000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,1800000,200000,100000,53641,53242,119164,79944,65000,70000,128000,205000,212000,289000,11623000,9003000,1361000,7569000,8984000,9363000,13994000,18016000,16253000,10158000,4000000,4327000,-4967000
45,Total Non-Current Assets,1900000,3700000,3400000,3214329,3469325,4808025,882010,625000,757000,690000,830000,928000,39113000,46876000,41766000,54979000,241401000,263965000,267564000,229896000,212118000,209693000,140198000,19413000,10151000,7596000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,18000000,13200000,6800000,13173997,15780984,12824862,3453120,27389000,40758000,65075000,53117000,57540000,124735000,173133000,163631000,280780000,506274000,499155000,490033000,421220000,428768000,487439000,390886000,263433000,196798000,111548000
48,Accounts Payable,300000,1000000,1300000,3613680,3708244,4186085,2013247,1538000,1609000,1220000,2100000,1598000,5627000,- -,- -,9805000,34352000,12796000,8994000,26684000,30488000,33648000,44919000,32012000,34385000,- -
49,Short-Term Debt,600000,1500000,400000,1031242,1136445,790008,306597,145000,- -,- -,- -,- -,7500000,- -,- -,- -,- -,- -,- -,- -,- -,38224000,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8500000,8300000,12300000,12300000,12300000,156000,9959000,6130000,3188000,3872000,4850000,- -,- -,- -
52,Other Current Liabilities,500000,- -,700000,111822,265383,236223,201847,1425000,1057000,2608000,4133000,6201000,6405000,31199000,51022000,56432000,81745000,77032000,90486000,43529000,31837000,34005000,36705000,29958000,18761000,53229000
53,Total Current Liabilities,1400000,2500000,2400000,4756744,5110072,5212316,2521691,3108000,2666000,3828000,6233000,7799000,28032000,39499000,63322000,78537000,128397000,89984000,109439000,76343000,65513000,109749000,86474000,61970000,53146000,53229000
54,Long-Term Debt,- -,- -,1100000,637308,474004,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,75000000,91480000,96298000,101548000,97043000,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24943000,25495000,14029000,2937000,- -,- -,383000,323000,315000,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7168000,6569000,6779000,6675000,1438000,1469000,- -,- -,- -
57,Other Non-Current Liabilities,- -,200000,- -,75121,86532,825536,259077,- -,178000,241000,1035000,992000,42822000,367000,338000,307000,15094000,28917000,23173000,23310000,23188000,24598000,19681000,11070000,9409000,10766000
58,Total Non-Current Liabilities,- -,200000,1100000,712429,560536,825536,259077,- -,178000,241000,1035000,992000,42822000,25310000,25833000,14336000,93031000,127565000,126040000,132020000,127229000,26351000,21150000,11070000,9409000,10766000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,157581,- -,- -,- -,- -,- -,95000,69000,40000,307000,- -,- -,- -,- -,- -,- -,- -,4055000,1544000,- -
61,Total Liabilities,1400000,2700000,3500000,5469173,5670608,6037852,2780768,3108000,2844000,4069000,7268000,8791000,70854000,64809000,89155000,92873000,221428000,217549000,235479000,208363000,192742000,136100000,107624000,73040000,62555000,63995000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,9371000,2542000,2542000,1281000,1048000,419000,419000,160000,123000,123000,123000,123000,123000,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,58139327,100612570,23777,2726,8000,15000,24000,25000,31000,32000,49000,51000,59000,60000,64000,66000,68000,80000,100000,110000,113000,146000,165000
64,Retained Earnings,-6500000,-12700000,-24300000,-50395931,-96823218,-125477822,-143111683,-153502000,-165788000,-184430000,-207714000,-241750000,-257217000,-261556000,-310400000,-261883000,-179320000,-237619000,-283338000,-334123000,-402641000,-502107000,-599886000,-724427000,-885295000,-1043923000
65,Other Comprehensive Income/Loss,-100000,-300000,-700000,-1261220,-1850076,-2646103,-884794,-1126000,-1299000,-977000,-1092000,-1307000,-1759000,-2089000,-2810000,-3704000,-7315000,1000000,-1000000,-5000000,-2000000,16000000,-4000000,-3000000,-1829000,-3042000
66,Other Total Stockholders Equity,23200000,23500000,28300000,1222648,890989,134887158,144666103,169530000,202420000,243824000,253329000,290727000,298144000,371501000,387475000,453312000,471298000,518038000,538703000,551789000,640587000,837346000,887038000,917707000,1021221000,1094353000
67,Total Stockholders Equity,16600000,10500000,3300000,7704824,2830265,6787010,672352,24281000,37890000,60983000,45829000,48749000,39619000,108324000,74476000,187907000,284846000,281606000,254554000,212857000,236026000,351339000,283262000,190393000,134243000,47553000
68,Total Liabilities And Stockholders Equity,18000000,13200000,6800000,13173997,8500873,12824862,3453120,27389000,40734000,65052000,53097000,57540000,110473000,173133000,163631000,280780000,506274000,499155000,490033000,421220000,428768000,487439000,390886000,263433000,196798000,111548000
69,Minority Interest,- -,- -,- -,- -,7280111,- -,- -,- -,24000,23000,20000,- -,14262000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,18000000,13200000,6800000,13173997,15780984,12824862,3453120,27389000,40758000,65075000,53117000,57540000,124735000,173133000,163631000,280780000,506274000,499155000,490033000,421220000,428768000,487439000,390886000,263433000,196798000,111548000
71,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/831547/000089256903000820/0000892569-03-000820-index.htm,https://www.sec.gov/Archives/edgar/data/831547/000089256904000402/0000892569-04-000402-index.htm,https://www.sec.gov/Archives/edgar/data/831547/000095013405005022/0000950134-05-005022-index.htm,https://www.sec.gov/Archives/edgar/data/831547/000095013706003058/0000950137-06-003058-index.htm,https://www.sec.gov/Archives/edgar/data/831547/000119312507054116/0001193125-07-054116-index.htm,https://www.sec.gov/Archives/edgar/data/831547/000089256908000305/0000892569-08-000305-index.htm,https://www.sec.gov/Archives/edgar/data/831547/000095013409006603/0000950134-09-006603-index.htm,https://www.sec.gov/Archives/edgar/data/831547/000095012310031884/0000950123-10-031884-index.htm,https://www.sec.gov/Archives/edgar/data/831547/000095012311023815/0000950123-11-023815-index.htm,https://www.sec.gov/Archives/edgar/data/831547/000119312512094639/0001193125-12-094639-index.htm,https://www.sec.gov/Archives/edgar/data/831547/000119312513080988/0001193125-13-080988-index.htm,https://www.sec.gov/Archives/edgar/data/831547/000119312514094593/0001193125-14-094593-index.htm,https://www.sec.gov/Archives/edgar/data/831547/000119312515091493/0001193125-15-091493-index.htm,https://www.sec.gov/Archives/edgar/data/831547/000083154716000059/0000831547-16-000059-index.htm,https://www.sec.gov/Archives/edgar/data/831547/000083154717000020/0000831547-17-000020-index.htm,https://www.sec.gov/Archives/edgar/data/831547/000083154718000015/0000831547-18-000015-index.htm,https://www.sec.gov/Archives/edgar/data/831547/000083154719000006/0000831547-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/831547/000083154720000009/0000831547-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/831547/000083154721000009/0000831547-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/831547/000083154722000014/0000831547-22-000014-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-1000000,-6200000,-11600000,-25989905,-46427287,-27834820,-17633861,-10390000,-12286000,-18642000,-23284000,-34036000,-15467000,-19046000,-48844000,48517000,94545000,-62134000,-45719000,-50785000,-68512000,-91248000,-120011000,-112689000,-160868000,-192
74,Depreciation and Amortization,- -,200000,500000,519875,1128133,2270469,1328164,346000,425000,682000,198000,255000,610000,4244000,4506000,5650000,10166000,22096000,25352000,31869000,26492000,27972000,28409000,3335000,261000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-34605000,- -,- -,- -,-2321000,-14888000,31000,-1674000,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7423000,8285000,22237000,14884000,12423000,11809000,12084000,12412000,15139000,17483000,21838000,17819000,- -
77,Change in Working Capital,-300000,-7700000,-6000000,4202924,1998663,-4397066,-2755102,23606581,13679000,23222000,-14503000,2759000,8777000,29168000,-28215000,88721000,-10788000,8730000,-32176000,1951000,36156000,16860000,-3783000,17836000,-48549000,-82778000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1118000,-12752000,-30897000,-33504000,42559000,-21671000,40245000,-9494000,7694000,2844000,29420000,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,-224000,166000,- -,- -,-1841000,-1389000,-1054000,-7848000,-734000,1570000,4253000,1863000,-5800000,4318000,3390000,-2037000,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24787000,-23897000,5304000,-28298000,-4033000,5518000,11382000,-35769000,-22053000,- -
81,Other Working Capital,14700000,7000000,1000000,5202924,7201587,2804521,49419,23656000,37335000,60557000,46054000,48813000,57590000,86758000,58543000,147264000,136476000,145206000,113030000,114981000,151137000,167997000,164214000,182050000,133501000,50723000
82,Other Non-Cash Items,100000,7800000,6700000,1420070,-63867,5131456,3768715,-19792581,-13647000,-21307000,24071000,5607000,-1925000,-39423000,41724000,-121837000,-2243000,16799000,37107000,11625000,-44686000,7310000,15468000,-63277000,69708000,82778192
83,Cash Provided by Operating Activities,-1200000,-5900000,-10400000,-19847036,-43364358,-24829961,-15292084,-6230000,-11829000,-16045000,-13518000,-25415000,-8005000,-17634000,-22544000,43288000,71959000,-2086000,-3627000,6744000,-40459000,-38855000,-62403000,-134631000,-121629000,- -
84,CAPEX,-100000,-3600000,-200000,-429861,-844251,-1363516,-58896,- -,-200000,-139000,-261000,-346000,-1518000,-673000,-1576000,-475000,-25747000,-3161000,-934000,-223000,-78000,-465000,-2757000,-9018000,-5535000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-30940000,- -,- -,-133264000,-11169000,- -,- -,- -,- -,- -,158571000,3954000,- -
86,Purchases of Investments,-7400000,- -,- -,-1185864,-2356003,-1009871,- -,-1704000,-44515000,-59171000,-14901000,-30000000,-23258000,- -,-40649000,-17191000,-28142000,- -,- -,- -,-601000,-616000,- -,-200160000,-89382000,- -
87,Sales/Maturities of Investments,- -,5300000,300000,- -,39335,- -,6208746,- -,10314000,60115000,- -,25735000,- -,25783000,32391000,18412000,72463000,- -,4093000,3061000,- -,- -,4130000,82549000,109035000,- -
88,Other Investing Activites,-100000,100000,- -,-62779,- -,-65922,780236,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25435000,-3000000,-25000000,- -,- -,- -,-2650000,50000,- -,- -
89,Cash Used for Investing Activites,-7600000,1800000,100000,-1678504,-3160919,-2439309,6930086,-1704000,-34401000,805000,-15162000,-4611000,-24776000,-5830000,-9834000,746000,-114690000,-14330000,-21841000,2838000,-679000,-1081000,1373000,31992000,18072000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-50009000,-175000000,- -,- -,-9014000,-27500000,-20000,- -,- -,- -
91,Common Stock Issued,18800000,- -,4200000,27751889,36628213,28327972,9921687,31358000,25015000,41169000,475000,30648000,- -,97269000,3628000,30600000,- -,16683000,- -,- -,73869000,128272000,- -,1817000,84567000,- -
92,Common Stock Repurchased,- -,- -,- -,-136246,- -,-4984192,-143000,- -,- -,-420000,- -,- -,- -,- -,- -,-2926000,-10491000,-3160000,-1733000,-638000,-1397000,-4331000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,-815807,- -,-35000,- -,- -,-26000,- -,- -,- -,- -,- -,-9011000,- -,- -,- -,-6000,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,200000,1100000,-461224,9329219,-667865,-653960,-320000,-125000,- -,- -,- -,41500000,-1329000,-29000,-4063000,130536000,196735000,2545000,2109000,-3808000,12280000,-8437000,7810000,663000,- -
95,Cash Used/Provided by Financing Activities,18800000,200000,5300000,27154419,45957432,21860108,9124727,31003000,24890000,40749000,449000,30648000,41500000,95940000,3599000,23611000,61025000,35258000,812000,1471000,59644000,108721000,-8457000,9627000,85230000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,202000,-2235000,-1708000,-1254000,-25000,316000,-356000,-50000,-82000,- -
97,Net Change In Cash,18800000,200000,5300000,5628879,-567845,-5409162,762729,23069000,-21340000,25509000,-28231000,622000,8719000,72476000,-28779000,67645000,18496000,16608000,-26364000,9799000,18481000,69101000,-69843000,-93062000,-18409000,- -
98,Cash at the End of Period,- -,- -,- -,6726220,6158375,749213,1511942,24581000,3241000,28750000,519000,1141000,9860000,82336000,53557000,121202000,139698000,156306000,129942000,139741000,158222000,227323000,157480000,64418000,46009000,- -
99,Cash at the Beginning of Period,- -,10000000,6100000,1097341,6726220,6158375,749213,1512000,24581000,3241000,28750000,519000,1141000,9860000,82336000,53557000,121202000,139698000,156306000,129942000,139741000,158222000,227323000,157480000,64418000,46009000
100,Free Cash Flow,-1300000,-9500000,-10600000,-20276897,-44208609,-26193477,-15350980,-6230000,-12029000,-16184000,-13779000,-25761000,-9523000,-18307000,-24120000,42813000,46212000,-5247000,-4561000,6521000,-40537000,-39320000,-65160000,-143649000,-127164000,- -
101,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/831547/000089256903000820/0000892569-03-000820-index.htm,https://www.sec.gov/Archives/edgar/data/831547/000089256904000402/0000892569-04-000402-index.htm,https://www.sec.gov/Archives/edgar/data/831547/000095013405005022/0000950134-05-005022-index.htm,https://www.sec.gov/Archives/edgar/data/831547/000095013706003058/0000950137-06-003058-index.htm,https://www.sec.gov/Archives/edgar/data/831547/000119312507054116/0001193125-07-054116-index.htm,https://www.sec.gov/Archives/edgar/data/831547/000089256908000305/0000892569-08-000305-index.htm,https://www.sec.gov/Archives/edgar/data/831547/000095013409006603/0000950134-09-006603-index.htm,https://www.sec.gov/Archives/edgar/data/831547/000095012310031884/0000950123-10-031884-index.htm,https://www.sec.gov/Archives/edgar/data/831547/000095012311023815/0000950123-11-023815-index.htm,https://www.sec.gov/Archives/edgar/data/831547/000119312512094639/0001193125-12-094639-index.htm,https://www.sec.gov/Archives/edgar/data/831547/000119312513080988/0001193125-13-080988-index.htm,https://www.sec.gov/Archives/edgar/data/831547/000119312514094593/0001193125-14-094593-index.htm,https://www.sec.gov/Archives/edgar/data/831547/000119312515091493/0001193125-15-091493-index.htm,https://www.sec.gov/Archives/edgar/data/831547/000083154716000059/0000831547-16-000059-index.htm,https://www.sec.gov/Archives/edgar/data/831547/000083154717000020/0000831547-17-000020-index.htm,https://www.sec.gov/Archives/edgar/data/831547/000083154718000015/0000831547-18-000015-index.htm,https://www.sec.gov/Archives/edgar/data/831547/000083154719000006/0000831547-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/831547/000083154720000009/0000831547-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/831547/000083154721000009/0000831547-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/831547/000083154722000014/0000831547-22-000014-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
