,https://roic.ai/company/SWN,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.3057,0.2043,0.2532,0.1879,-0.1085,0.1284,-0.1469,0.2397,0.1778,0.2973,0.3820,0.3636,0.3227,0.3039,0.3836,-0.0163,0.3912,0.3640,-0.4109,0.3570,0.3400,-2.0817,-0.9011,0.2282,0.2064,0.0889,-1.2439,0.3952
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,-11200000,-12500000,-16900000,-21400000,-21200000,-19700000,-21233000,-25428000,-23486000,-18694000,-18933000,-11729000,15763000,-24437000,32177000,-17189000,-25736000,-23811000,-34627000,-13246000,76000000,-39000000,-477000000,222000000,-259000000,210000000,166000000,-2660000000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,40800000,18800000,31000000,30500000,-50100000,16300000,-74702000,57241000,23019000,78648000,163354000,234191000,262035000,357029000,918945000,-52155000,995492000,1050990000,-1150203000,1190377000,1449000000,-6561000000,-2672000000,953000000,538000000,480000000,-2705000000,-25000000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.2399,0.1227,0.1638,0.1104,-0.1881,0.0581,-0.2053,0.1660,0.0880,0.2402,0.3424,0.3463,0.3434,0.2845,0.3975,-0.0243,0.3813,0.3559,-0.4236,0.3531,0.3588,-2.0942,-1.0969,0.2975,0.1393,0.1580,-1.1720,-0.0037
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,15700000,7300000,11800000,11800000,-19500000,6400000,-28905000,21917000,8708000,28896000,59778000,86431000,99399000,135855000,350999000,-16363000,391659000,413221000,-443139000,486874000,525000000,-2005000000,-29000000,-93000000,1000000,-411000000,407000000,- -
23,Net Income,21000000,13400000,9800000,11500000,14000000,14500000,20100000,22300000,37200000,25100000,11200000,19200000,18700000,-30600000,9900000,-46687000,35324000,14311000,48897000,103576000,147760000,162636000,221174000,567946000,-35650000,604118000,637769000,-707064000,703503000,924000000,-4556000000,-2643000000,1046000000,537000000,891000000,-3112000000,-25000000
24,Net Income ratio,0.2117,0.1782,0.1374,0.1207,0.1145,0.1238,0.1474,0.1579,0.2128,0.1476,0.0731,0.1015,0.0677,-0.1149,0.0353,-0.1283,0.1024,0.0547,0.1493,0.2171,0.2185,0.2131,0.1762,0.2457,-0.0166,0.2314,0.2160,-0.2604,0.2087,0.2288,-1.4542,-1.0850,0.3266,0.1390,0.2933,-1.3484,-0.0037
25,EPS,0.10,0.07,0.05,0.06,0.07,0.07,0.10,0.11,0.18,0.12,0.06,0.10,0.10,-0.15,0.05,-0.23,0.17,0.07,0.18,0.36,0.49,0.48,0.66,1.66,-0.10,1.75,1.84,-2.03,2.01,2.63,-12.25,-6.32,1.64,0.93,1.65,-5.42,-0.04
26,EPS Diluted,0.10,0.07,0.05,0.06,0.07,0.07,0.10,0.11,0.18,0.12,0.06,0.10,0.10,-0.15,0.05,-0.23,0.17,0.07,0.18,0.35,0.47,0.47,0.64,1.64,-0.10,1.73,1.82,-2.03,2.00,2.62,-12.25,-6.32,1.63,0.93,1.65,-5.42,-0.04
27,Weighted Average Shares Outstanding,210000000,198518519,201025641,200000000,200000000,203508772,206153846,205057471,206666667,205472880,201046248,197642048,197911056,199057360,199532400,200348688,201584840,201812640,267168416,285804808,301785204,334606282,338953446,341621814,343420568,345581568,347205316,348610503,350465430,351446747,380521039,435337402,498264321,574631756,539345343,573889502,573889502
28,Weighted Average Shares Outstanding Diluted,210000000,198518519,201025641,200000000,200000000,203508772,206153846,205057471,206666667,205472880,201046248,197642048,198223248,199057360,199576168,200348688,204808880,208417904,273903472,295702176,312618078,342575500,347442660,346245938,343420568,349310666,349921413,348610503,351101452,352410683,380521039,435337402,500804297,576642808,540382914,573889502,573889502
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/7332/000093066195000059/0000930661-95-000059-index.html,https://www.sec.gov/Archives/edgar/data/7332/000000733296000010/0000007332-96-000010-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/7332/000095012303001645/y83359e10vk.htm,https://www.sec.gov/Archives/edgar/data/7332/000000733204000020/swn2003form10k.htm,https://www.sec.gov/Archives/edgar/data/7332/000000733205000025/swn022805form10k.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/7332/000000733209000004/0000007332-09-000004-index.html,https://www.sec.gov/Archives/edgar/data/7332/000000733210000005/0000007332-10-000005-index.html,https://www.sec.gov/Archives/edgar/data/7332/000000733211000003/swn123110form10k.htm,https://www.sec.gov/Archives/edgar/data/7332/000000733212000003/0000007332-12-000003-index.html,https://www.sec.gov/Archives/edgar/data/7332/000000733213000007/0000007332-13-000007-index.html,https://www.sec.gov/Archives/edgar/data/7332/000000733214000004/swn-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/7332/000000733215000004/swn20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/7332/000000733216000038/0000007332-16-000038-index.html,https://www.sec.gov/Archives/edgar/data/7332/000000733217000009/0000007332-17-000009-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/7332/000000733220000017/0000007332-20-000017-index.html,https://www.sec.gov/Archives/edgar/data/7332/000000733221000016/0000007332-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/7332/000000733222000009/0000007332-22-000009-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,1200000,1500000,2300000,4600000,1600000,1200000,2386000,3641000,1690000,1277000,1235000,223705000,42927000,727000,196277000,13184000,16055000,15627000,53583000,22938000,53000000,15000000,1423000000,916000000,201000000,5000000,13000000,28000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,1200000,1500000,2300000,4600000,1600000,1200000,2386000,3641000,1690000,1277000,1235000,223705000,42927000,727000,196277000,13184000,16055000,15627000,53583000,22938000,53000000,15000000,1423000000,916000000,201000000,5000000,13000000,28000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,32300000,43800000,46600000,48800000,42700000,43300000,77041000,42763000,42115000,58543000,86268000,128948000,131370000,177680000,254557000,263076000,351573000,341915000,377638000,464045000,530000000,327000000,363000000,428000000,581000000,345000000,368000000,1160000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,12200000,15400000,17600000,20500000,22800000,21500000,17000000,26606000,24735000,32525000,32248000,49513000,62488000,33034000,50377000,30009000,35098000,46234000,28141000,37745000,37000000,3000000,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,2300000,3200000,6400000,14100000,5200000,4200000,16428000,20194000,7598000,7965000,11234000,58898000,87051000,151900000,388054000,258232000,178167000,574502000,349550000,119447000,495000000,48000000,86000000,165000000,174000000,329000000,290000000,225000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,48000000,63900000,72900000,88000000,72300000,70200000,112855000,93204000,76138000,100310000,130985000,461064000,323836000,363341000,889265000,564501000,580893000,978278000,808912000,644175000,1115000000,393000000,1872000000,1509000000,956000000,679000000,671000000,1413000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,425500000,485800000,568700000,603300000,549700000,576000000,564107000,619830000,632161000,762284000,984156000,1370397000,2016500000,3077630000,3713607000,4127253000,5298197000,6645480000,5836976000,7296623000,13712000000,7543000000,4955000000,5772000000,4656000000,5426000000,4274000000,10125000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,407000000,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,11100000,19400000,18600000,19600000,25600000,25200000,28416000,30089000,31863000,28116000,31003000,37063000,38733000,181745000,157286000,78496000,138373000,279139000,91639000,106928000,98000000,174000000,249000000,240000000,185000000,205000000,215000000,-11041000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,436600000,505200000,587300000,622900000,575300000,601200000,592523000,649919000,664024000,790400000,1015159000,1407460000,2055233000,3259375000,3870893000,4205749000,5436570000,6924619000,5928615000,7403551000,13810000000,7717000000,5204000000,6012000000,4841000000,6038000000,4489000000,-916000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,484600000,569100000,660200000,710900000,647600000,671400000,705378000,743123000,740162000,890710000,1146144000,1868524000,2379069000,3622716000,4760158000,4770250000,6017463000,7902897000,6737527000,8047726000,14925000000,8110000000,7076000000,7521000000,5797000000,6717000000,5160000000,497000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,18700000,24000000,25600000,29900000,37800000,33100000,54304000,41644000,29881000,54186000,81586000,154385000,266023000,313070000,464145000,404695000,473890000,514071000,459569000,507468000,653000000,513000000,473000000,533000000,609000000,525000000,573000000,1282000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,6100000,3100000,3100000,3100000,1500000,7500000,171000000,- -,- -,- -,- -,- -,- -,1200000,61200000,1200000,1200000,1200000,- -,- -,4501000000,1000000,41000000,- -,- -,34000000,42000000,126000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25500000,50051000,40691000,62980000,68019000,92000000,64000000,59000000,62000000,58000000,59000000,74000000,93000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,68919000,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,14300000,18300000,13100000,16000000,15500000,15700000,14580000,29824000,44676000,40882000,52114000,148001000,112837000,116625000,267516000,130521000,218893000,369642000,239283000,180543000,274000000,193000000,550000000,247000000,237000000,289000000,397000000,1644000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,39100000,45400000,41800000,49000000,54800000,56300000,239884000,71468000,74557000,95068000,133700000,302386000,378860000,430895000,792861000,536416000,693983000,884913000,767771000,688011000,5428000000,707000000,1064000000,780000000,846000000,848000000,1012000000,3052000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,136200000,207800000,275200000,296500000,281900000,294700000,225000000,350000000,342400000,278800000,325000000,100000000,136600000,977600000,674200000,997500000,1093000000,1342100000,1668273000,1950096000,2466000000,4728000000,4612000000,4391000000,2318000000,2242000000,3150000000,5485000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,102700000,117600000,130700000,139300000,121400000,126900000,97431000,122381000,116591000,147295000,203996000,254528000,370522000,479196000,721707000,811902000,1130292000,1586798000,1049138000,1532329000,1951000000,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,3100000,4600000,4100000,4200000,3700000,3400000,1569000,16619000,29009000,27905000,35004000,101472000,- -,- -,63093000,83451000,135312000,119782000,216473000,255260000,418000000,393000000,483000000,371000000,271000000,381000000,501000000,-2288000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,242000000,330000000,410000000,440000000,407000000,425000000,324000000,489000000,488000000,454000000,564000000,456000000,507122000,1456796000,1459000000,1892853000,2358604000,3048680000,2933884000,3737685000,4835000000,5121000000,5095000000,4762000000,2589000000,2623000000,3651000000,3197000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,820500000,880300000,- -,- -,648203000,- -,- -,- -,- -,- -,1061654000,2991547000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,153000000,159000000,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,281100000,374600000,452300000,489300000,461700000,481000000,564087000,547036000,550219000,537022000,686608000,746607000,933392000,1965646000,2242195000,2429269000,3052587000,3933593000,3701655000,4425696000,10263000000,5828000000,6159000000,5542000000,3435000000,3471000000,4663000000,6249000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,2800000,2800000,2800000,2800000,2800000,2800000,2774000,2774000,2774000,3723000,3723000,16845000,1690000,1708000,3436000,3461000,3477000,3491000,3511000,3529000,4000000,4000000,5000000,5000000,6000000,6000000,7000000,12000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,199400000,204600000,217900000,230700000,194100000,198000000,148353000,183677000,197988000,246885000,350461000,498221000,660857000,882031000,1449977000,1414327000,2018445000,2656214000,1949150000,2652653000,3577000000,-1082000000,-3725000000,-2679000000,-2142000000,-1251000000,-4363000000,-4388000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-242000000,-277800000,-319100000,-366600000,-478800000,-519900000,-554616000,-605790000,-22423000,-17995000,-26104000,-112568000,31487000,13348000,247665000,84276000,83975000,408428000,149804000,-4342000,62000000,-48000000,-39000000,-44000000,-36000000,-33000000,-38000000,-25000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,243300000,264900000,306300000,354700000,467800000,509500000,544780000,602425000,-851000,108948000,119597000,707806000,- -,- -,806752000,829161000,858979000,901171000,933407000,970190000,1019000000,3408000000,4676000000,4697000000,- -,4524000000,4891000000,6948000000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,203500000,194500000,207900000,221600000,185900000,190400000,141291000,183086000,177488000,341561000,447677000,1110304000,1434643000,1646500000,2507830000,2331225000,2964876000,3969304000,3035872000,3622030000,4662000000,2282000000,917000000,1979000000,2362000000,3246000000,497000000,2547000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,484600000,569100000,660200000,710900000,647600000,671400000,705378000,730122000,727707000,878583000,1134285000,1856911000,2368035000,3612146000,4750025000,4760494000,6017463000,7902897000,6737527000,8047726000,14925000000,8110000000,7076000000,7521000000,5797000000,6717000000,5160000000,8796000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13001000,12455000,12127000,11859000,11613000,11034000,10570000,10133000,9756000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8299000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,484600000,569100000,660200000,710900000,647600000,671400000,705378000,743123000,740162000,890710000,1146144000,1868524000,2379069000,3622716000,4760158000,4770250000,6017463000,7902897000,6737527000,8047726000,14925000000,8110000000,7076000000,7521000000,5797000000,6717000000,5160000000,497000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/7332/000093066195000059/0000930661-95-000059-index.html,https://www.sec.gov/Archives/edgar/data/7332/000000733296000010/0000007332-96-000010-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/7332/000095012303001645/y83359e10vk.htm,https://www.sec.gov/Archives/edgar/data/7332/000000733204000020/swn2003form10k.htm,https://www.sec.gov/Archives/edgar/data/7332/000000733205000025/swn022805form10k.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/7332/000000733209000004/0000007332-09-000004-index.html,https://www.sec.gov/Archives/edgar/data/7332/000000733210000005/0000007332-10-000005-index.html,https://www.sec.gov/Archives/edgar/data/7332/000000733211000003/swn123110form10k.htm,https://www.sec.gov/Archives/edgar/data/7332/000000733212000003/0000007332-12-000003-index.html,https://www.sec.gov/Archives/edgar/data/7332/000000733213000007/0000007332-13-000007-index.html,https://www.sec.gov/Archives/edgar/data/7332/000000733214000004/swn-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/7332/000000733215000004/swn20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/7332/000000733216000038/0000007332-16-000038-index.html,https://www.sec.gov/Archives/edgar/data/7332/000000733217000009/0000007332-17-000009-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/7332/000000733220000017/0000007332-20-000017-index.html,https://www.sec.gov/Archives/edgar/data/7332/000000733221000016/0000007332-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/7332/000000733222000009/0000007332-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,25100000,11200000,19200000,18700000,-30600000,9900000,-46687000,35324000,14311000,48897000,103576000,147760000,162636000,221174000,567946000,-35650000,604118000,637769000,-707064000,703503000,924000000,-4556000000,-2643000000,1046000000,537000000,891000000,-3112000000,-25000000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,357000000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,6400000,12200000,17300000,12500000,-13500000,5900000,-28905000,21917000,8708000,28896000,59778000,86431000,99399000,135855000,228999000,48606000,379720000,409023000,-461828000,497945000,504000000,-2003000000,-22000000,-71000000,- -,-409000000,409000000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12749000,9820000,10550000,11795000,13270000,18000000,26000000,29000000,24000000,14000000,8000000,3000000,2000000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3500000,9600000,12600000,7900000,-21500000,-3600000,-140929000,148765000,-20155000,3661000,-7957000,161393000,-213702000,-12530000,163958000,-68319000,-141175000,206455000,-52224000,-84977000,-4269164000,3999000000,1122000000,-79000000,-619000000,-279000000,-172000000,-209000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8519000,-88488000,9659000,-35717000,-86134000,-66000000,203000000,-30000000,-65000000,-153000000,234000000,50000000,-425000000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2600000,-3200000,-2100000,-2900000,-2300000,1300000,2290000,-9606000,1871000,-6683000,-2741000,-17265000,-12975000,-10800000,-39475000,11779000,5099000,-12975000,18111000,-5851000,1000000,4000000,- -,- -,- -,-7000000,2000000,-3000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-21739000,65782000,11490000,41275000,74229000,84000000,-78000000,-69000000,48000000,65000000,-141000000,-131000000,261000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,8900000,18500000,31100000,39000000,17500000,13900000,-127029000,21736000,1581000,5242000,-2715000,158678000,-55024000,-67554000,96404000,28085000,-113090000,93365000,41141000,-43836000,-4313000000,-314000000,808000000,729000000,110000000,-169000000,-341000000,-44000000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,- -,- -,- -,38600000,22900000,18500000,36300000,159300000,45900000,163318000,-61423000,74710000,27645000,82500000,-91102000,381604000,278236000,199906000,1401990000,790102000,476020000,2863263000,778787000,5158164000,4114000000,2012000000,177000000,1291000000,753000000,3043000000,1595000000
