,https://roic.ai/company/POWL,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,-6600000,-1000000,-2200000,3100000,5700000,10900000,11300000,11900000,6300000,6200000,8000000,16000000,18400000,16800000,10400000,10882000,21431000,28451000,13844000,1364000,3452000,- -,15402000,39868000,60659000,45061000,3997000,48234000,50732000,30688000,22991000,17793000,-16919000,-7699000,12334000,20330000,1092000
21,Income Before Tax Ratio,-0.1006,-0.0127,-0.0325,0.0379,0.0614,0.0833,0.0770,0.0869,0.0456,0.0408,0.0471,0.0941,0.0960,0.0790,0.0489,0.0488,0.0790,0.0929,0.0546,0.0066,0.0135,- -,0.0273,0.0624,0.0911,0.0818,0.0071,0.0673,0.0752,0.0474,0.0347,0.0315,-0.0427,-0.0172,0.0238,0.0392,0.0023
22,Income Tax expense (Gain),-4000000,-400000,-900000,1100000,1900000,3900000,4100000,3500000,1800000,1800000,2300000,5200000,5800000,5300000,3300000,3821000,7889000,10546000,6216000,-282000,1138000,- -,5468000,14072000,20734000,19894000,6712000,18577000,8656000,11068000,13552000,2283000,-7433000,-547000,2444000,3670000,461000
23,Net Income,-2600000,-600000,-1300000,2000000,2200000,7000000,7200000,8400000,2900000,4400000,5700000,4800000,12600000,6700000,7100000,7061000,13542000,17905000,7118000,1669000,2251000,- -,9913000,25847000,39717000,25008000,-2715000,29657000,42076000,29224000,9439000,15510000,-9486000,-7152000,9890000,16660000,631000
24,Net Income ratio,-0.0396,-0.0076,-0.0192,0.0245,0.0237,0.0535,0.0491,0.0613,0.0210,0.0289,0.0336,0.0282,0.0657,0.0315,0.0334,0.0317,0.0499,0.0584,0.0281,0.0081,0.0088,- -,0.0176,0.0405,0.0596,0.0454,-0.0048,0.0414,0.0624,0.0451,0.0143,0.0274,-0.0240,-0.0159,0.0191,0.0321,0.0013
25,EPS,-0.26,-0.05,-0.13,0.20,0.21,0.68,0.69,0.81,0.28,0.42,0.54,0.44,1.17,0.63,0.67,0.68,1.30,1.70,0.67,0.16,0.21,- -,0.90,2.29,3.48,2.17,-0.23,2.50,3.52,2.43,0.80,1.36,-0.83,-0.62,0.85,1.43,0.05
26,EPS Diluted,-0.26,-0.05,-0.13,0.20,0.21,0.68,0.69,0.81,0.28,0.42,0.54,0.44,1.17,0.62,0.66,0.67,1.28,1.67,0.67,0.15,0.21,- -,0.88,2.26,3.43,2.14,-0.23,2.49,3.51,2.42,0.79,1.36,-0.83,-0.62,0.85,1.42,0.05
27,Weighted Average Shares Outstanding,10000000,12000000,10000000,10000000,10476190,10294118,10434783,10370370,10357143,10476190,10555556,10909091,10769231,10644427,10665000,10451000,10381000,10511000,10591000,10688000,10779000,10779000,11045000,11265000,11424000,11545000,11735000,11850000,11948000,12003000,11869000,11400000,11453000,11507000,11571000,11624000,11705000
28,Weighted Average Shares Outstanding Diluted,10000000,12000000,10000000,10000000,10476190,10294118,10434783,10370370,10357143,10476190,10571429,10909091,10833333,10743428,10777000,10530000,10600000,10698000,10681000,10774000,10928000,10779000,11233000,11452000,11591000,11693000,11735000,11925000,11994000,12058000,11908000,11431000,11453000,11507000,11634000,11693000,11789000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/80420/000095012997000305/0000950129-97-000305-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/80420/000008042005000015/form2004_10k.htm,https://www.sec.gov/Archives/edgar/data/80420/000095012906000313/h31947e10vk.htm,https://www.sec.gov/Archives/edgar/data/80420/000095012907002707/h47053a1e10vktza.htm,https://www.sec.gov/Archives/edgar/data/80420/000095012907006026/0000950129-07-006026-index.html,https://www.sec.gov/Archives/edgar/data/80420/000095013408021933/0000950134-08-021933-index.html,https://www.sec.gov/Archives/edgar/data/80420/000095012309070233/0000950123-09-070233-index.html,https://www.sec.gov/Archives/edgar/data/80420/000095012310112061/0000950123-10-112061-index.html,https://www.sec.gov/Archives/edgar/data/80420/000119312511337982/0001193125-11-337982-index.html,https://www.sec.gov/Archives/edgar/data/80420/000156276212000007/0001562762-12-000007-index.html,https://www.sec.gov/Archives/edgar/data/80420/000156459013001396/0001564590-13-001396-index.html,https://www.sec.gov/Archives/edgar/data/80420/000156459014006033/0001564590-14-006033-index.html,https://www.sec.gov/Archives/edgar/data/80420/000156459015011208/0001564590-15-011208-index.html,https://www.sec.gov/Archives/edgar/data/80420/000156459016029924/0001564590-16-029924-index.html,https://www.sec.gov/Archives/edgar/data/80420/000008042017000032/0000080420-17-000032-index.html,https://www.sec.gov/Archives/edgar/data/80420/000008042018000036/0000080420-18-000036-index.html,https://www.sec.gov/Archives/edgar/data/80420/000008042019000039/0000080420-19-000039-index.html,https://www.sec.gov/Archives/edgar/data/80420/000008042020000036/0000080420-20-000036-index.htm,https://www.sec.gov/Archives/edgar/data/80420/000008042021000045/0000080420-21-000045-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,600000,600000,800000,900000,3100000,12600000,12300000,6400000,13100000,7600000,3000000,8900000,2200000,600000,10600000,2114000,6520000,14362000,36788000,59259000,24844000,10495000,5257000,10134000,97403000,115353000,123466000,90040000,107748000,103118000,43569000,97720000,68359000,36584000,118639000,160216000,114314000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5528000,3923000,8200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26829000,13170000,6042000,18705000,- -
33,Cash and Short-Term Investments,600000,600000,800000,900000,3100000,12600000,12300000,6400000,13100000,7600000,3000000,8900000,2200000,600000,10600000,2114000,6520000,14362000,42316000,63182000,33044000,10495000,5257000,10134000,97403000,115353000,123466000,90040000,107748000,103118000,43569000,97720000,95188000,49754000,124681000,178921000,114314000
34,Net Receivables,13500000,17800000,13100000,20200000,27100000,31200000,43600000,39700000,33700000,34000000,32200000,50900000,70700000,69000000,59200000,78497000,113799000,102349000,78484000,63660000,101220000,151113000,177707000,215169000,114969000,98492000,113388000,126256000,209063000,205936000,207809000,168867000,113628000,181997000,167700000,121419000,- -
35,Inventory,18400000,14300000,12300000,12300000,21900000,10800000,14100000,14000000,13500000,14900000,20100000,14100000,13600000,16300000,15200000,17523000,21425000,19558000,18060000,15332000,21616000,28940000,47789000,72679000,46252000,38244000,36640000,32917000,28983000,32815000,32891000,26521000,18448000,21352000,29202000,28968000,- -
36,Other Current Assets,3700000,2800000,2300000,1800000,2600000,3500000,3800000,2900000,4000000,10800000,18400000,5200000,3500000,3100000,2800000,1839000,835000,2230000,2453000,3446000,6297000,2398000,6133000,5453000,56379000,50102000,63188000,97197000,11547000,15458000,12830000,11032000,22807000,23559000,6985000,6350000,188147000
37,Total Current Assets,36200000,35500000,28500000,35200000,54700000,58100000,73800000,63000000,64300000,67300000,73700000,79100000,90000000,89000000,87800000,99973000,142579000,138499000,141313000,145620000,162177000,192946000,236886000,303435000,315003000,302191000,336682000,346410000,357341000,357327000,297099000,304140000,250071000,276662000,328568000,335658000,302461000
38,PP&E,15300000,15100000,13700000,12300000,13100000,13300000,14000000,16500000,16200000,15700000,16300000,14600000,26400000,32300000,33300000,31383000,37409000,45020000,43998000,45041000,55678000,60336000,67401000,61546000,61036000,63676000,59637000,78652000,144589000,156896000,154594000,144977000,139420000,128764000,120812000,119589000,109457000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1084000,1084000,1084000,1084000,1003000,1003000,1003000,1003000,1003000,1003000,1003000,- -,1004000,1003000,1004000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3708000,32263000,28861000,25014000,21305000,26132000,15847000,13317000,11612000,1904000,1390000,1056000,- -,510000,334000,157000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3708000,33347000,29945000,26098000,22389000,27135000,16850000,14320000,12615000,2907000,2393000,2059000,1719000,1514000,1337000,1161000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5309000,589000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9025000,11422000,2288000,- -,229000,5937000,5117000,3644000,- -
44,Other Non-Current Assets,2200000,2700000,2000000,1600000,1500000,1100000,1500000,2900000,5200000,7700000,6900000,5800000,6500000,5800000,6400000,6570000,1064000,5535000,5029000,5418000,5096000,5495000,6783000,6555000,6412000,7710000,8507000,8930000,7333000,12891000,12450000,11340000,23547000,17074000,11577000,12226000,24274000
45,Total Non-Current Assets,17500000,17800000,15700000,13900000,14600000,14400000,15500000,19400000,21400000,23400000,23200000,20400000,32900000,38100000,39700000,37953000,43782000,51144000,49027000,50459000,64482000,99178000,104129000,94199000,89837000,98521000,84994000,101902000,173562000,184116000,171725000,158376000,164915000,153289000,138843000,136620000,133731000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,53700000,53300000,44200000,49100000,69300000,72500000,89300000,82400000,85700000,90700000,96900000,99500000,122900000,127100000,127500000,137926000,186361000,189643000,190340000,196079000,226659000,292124000,341015000,397634000,404840000,400712000,421676000,448312000,530903000,541443000,468824000,462516000,414986000,429951000,467411000,472278000,436192000
48,Accounts Payable,- -,- -,- -,- -,12900000,8200000,13000000,7800000,8200000,9200000,10800000,8500000,11900000,12100000,9900000,16373000,18857000,15030000,14342000,14239000,22104000,61129000,91149000,93504000,48124000,41850000,56893000,48490000,58501000,70209000,48008000,34985000,33269000,40714000,51180000,35029000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2800000,3800000,- -,1400000,2400000,1429000,1429000,4746000,468000,474000,2095000,8510000,8464000,7814000,4692000,1683000,1140000,725000,416000,400000,400000,400000,400000,400000,400000,400000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,60201000,50731000,44086000,46003000,26673000,43174000,71464000,79445000,- -
52,Other Current Liabilities,13500000,13800000,13000000,17700000,12500000,14900000,20900000,17000000,16400000,18800000,17700000,20300000,26300000,16700000,15800000,18663000,33312000,32257000,29614000,31637000,34540000,26588000,35999000,51418000,96326000,71213000,79691000,81658000,48945000,36759000,32458000,36860000,25237000,33561000,34852000,38073000,121156000
53,Total Current Liabilities,13500000,13800000,13000000,17700000,25400000,23100000,33900000,24800000,24600000,28000000,31300000,32600000,38200000,30200000,28100000,36465000,53598000,52033000,44424000,46350000,58739000,96227000,135612000,152736000,149142000,114746000,137724000,130873000,168063000,158099000,124952000,118248000,85579000,117849000,157896000,152947000,121156000
54,Long-Term Debt,15100000,15900000,9800000,6000000,16300000,15800000,15000000,12700000,9900000,6600000,3800000,- -,6000000,11600000,7100000,5714000,21285000,7264000,6891000,6626000,19436000,33886000,27372000,33944000,4800000,5202000,4301000,3630000,3200000,2800000,2400000,2000000,1600000,1200000,800000,400000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4566000,2537000,507000,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,1900000,2000000,1800000,2000000,1900000,1400000,600000,700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,138000,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,2600000,1600000,1300000,2000000,1700000,1200000,1300000,1000000,4600000,4400000,4100000,3700000,2400000,2000000,1500000,1660000,2109000,2139000,2421000,3050000,3789000,2971000,4184000,3832000,3681000,3461000,4308000,3706000,4414000,4881000,5673000,6306000,6511000,9258000,9562000,12305000,13813000
58,Total Non-Current Liabilities,19600000,19500000,12900000,10000000,19900000,18400000,16900000,14400000,14500000,11000000,7900000,3700000,8400000,13600000,8600000,7374000,23394000,9403000,9312000,9676000,23225000,36857000,31556000,37776000,8481000,8663000,8609000,7336000,7614000,12247000,10610000,8951000,8111000,10458000,10362000,12705000,13813000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5786000,- -
61,Total Liabilities,33100000,33300000,25900000,27700000,45300000,41500000,50800000,39200000,39100000,39000000,39200000,36300000,46600000,43800000,36700000,43839000,76992000,61436000,53736000,56026000,81964000,133084000,167168000,190512000,157623000,123409000,146333000,138209000,175677000,170346000,135562000,127199000,93690000,128307000,168258000,165652000,134969000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,108000,109000,110000,110000,110000,110000,110000,111000,114000,115000,117000,117000,119000,119000,120000,121000,122000,122000,123000,124000,124000,- -
64,Retained Earnings,17600000,17000000,15300000,18400000,20600000,27600000,34800000,43200000,46100000,50500000,56200000,60900000,73600000,80200000,87400000,94425000,107967000,125872000,132990000,134419000,136670000,146490000,154572000,180244000,219961000,244969000,242254000,271911000,313987000,331213000,328294000,331959000,310598000,291530000,289422000,294016000,- -
65,Other Comprehensive Income/Loss,-7000000,-600000,-10600000,-12300000,-10600000,-16500000,-18500000,-21200000,-23600000,-26300000,-29200000,-27000000,-29600000,-33400000,-36500000,-36282000,-39148000,-42530000,-41442000,-37200000,-35131000,1000000,3000000,-50119000,-3000000,-1000000,-1000000,-78716000,-2000000,-7000000,-22000000,-24000000,-19000000,-22000000,-25000000,-25000000,-20356000
66,Other Total Stockholders Equity,10000000,3600000,13600000,15300000,14000000,19900000,22200000,21200000,24100000,27500000,30700000,29300000,32300000,36500000,39800000,35836000,40441000,44755000,44946000,42506000,42765000,11162000,15866000,76635000,29685000,33217000,33972000,116789000,43120000,46764000,26847000,27236000,29576000,31991000,34607000,37486000,- -
67,Total Stockholders Equity,20600000,20000000,18300000,21400000,24000000,31000000,38500000,43200000,46600000,51700000,57700000,63200000,76300000,83300000,90800000,94087000,109369000,128207000,136604000,139835000,144414000,158762000,173549000,206874000,246761000,277303000,275343000,310103000,355226000,371097000,333262000,335317000,321296000,301644000,299153000,306626000,301223000
68,Total Liabilities And Stockholders Equity,53700000,53300000,44200000,49100000,69300000,72500000,89300000,82400000,85700000,90700000,96900000,99500000,122900000,127100000,127500000,137926000,186361000,189643000,190340000,195861000,226378000,291846000,340717000,397386000,404384000,400712000,421676000,448312000,530903000,541443000,468824000,462516000,414986000,429951000,467411000,472278000,436192000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,218000,281000,278000,298000,248000,456000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,53700000,53300000,44200000,49100000,69300000,72500000,89300000,82400000,85700000,90700000,96900000,99500000,122900000,127100000,127500000,137926000,186361000,189643000,190340000,196079000,226659000,292124000,341015000,397634000,404840000,400712000,421676000,448312000,530903000,541443000,468824000,462516000,414986000,429951000,467411000,472278000,436192000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/80420/000095012997000305/0000950129-97-000305-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/80420/000008042005000015/form2004_10k.htm,https://www.sec.gov/Archives/edgar/data/80420/000095012906000313/h31947e10vk.htm,https://www.sec.gov/Archives/edgar/data/80420/000095012907002707/h47053a1e10vktza.htm,https://www.sec.gov/Archives/edgar/data/80420/000095012907006026/0000950129-07-006026-index.html,https://www.sec.gov/Archives/edgar/data/80420/000095013408021933/0000950134-08-021933-index.html,https://www.sec.gov/Archives/edgar/data/80420/000095012309070233/0000950123-09-070233-index.html,https://www.sec.gov/Archives/edgar/data/80420/000095012310112061/0000950123-10-112061-index.html,https://www.sec.gov/Archives/edgar/data/80420/000119312511337982/0001193125-11-337982-index.html,https://www.sec.gov/Archives/edgar/data/80420/000156276212000007/0001562762-12-000007-index.html,https://www.sec.gov/Archives/edgar/data/80420/000156459013001396/0001564590-13-001396-index.html,https://www.sec.gov/Archives/edgar/data/80420/000156459014006033/0001564590-14-006033-index.html,https://www.sec.gov/Archives/edgar/data/80420/000156459015011208/0001564590-15-011208-index.html,https://www.sec.gov/Archives/edgar/data/80420/000156459016029924/0001564590-16-029924-index.html,https://www.sec.gov/Archives/edgar/data/80420/000008042017000032/0000080420-17-000032-index.html,https://www.sec.gov/Archives/edgar/data/80420/000008042018000036/0000080420-18-000036-index.html,https://www.sec.gov/Archives/edgar/data/80420/000008042019000039/0000080420-19-000039-index.html,https://www.sec.gov/Archives/edgar/data/80420/000008042020000036/0000080420-20-000036-index.htm,https://www.sec.gov/Archives/edgar/data/80420/000008042021000045/0000080420-21-000045-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,2200000,7000000,7200000,8400000,2900000,4400000,5700000,4800000,12600000,6700000,7100000,7061000,13542000,17905000,7118000,1669000,2251000,- -,9913000,25847000,39717000,25008000,-2715000,29657000,42076000,29224000,9439000,15510000,-9486000,-7152000,9890000,16660000,631000
74,Depreciation and Amortization,- -,- -,- -,- -,2300000,3000000,2700000,3000000,3000000,3500000,3500000,3300000,3400000,4100000,4400000,4669000,4381000,4898000,5155000,4533000,5425000,6500000,11860000,11873000,11596000,13703000,15446000,13077000,10190000,12165000,13555000,13331000,12755000,12903000,12032000,10538000,10335000
75,Deferred Income Tax,- -,- -,- -,- -,-400000,-1100000,-700000,1000000,-1200000,-1500000,1200000,-2100000,1300000,900000,-800000,1166000,1029000,140000,902000,-1718000,-207000,-1500000,-592000,318000,-1447000,-348000,-425000,-1422000,-6720000,-3212000,10521000,2330000,100000,-2170000,820000,1473000,-995000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1989000,- -,- -,1622000,1929000,99000,1723000,4464000,3385000,3171000,4883000,2724000,3152000,3839000,3474000,2583000
77,Change in Working Capital,- -,- -,- -,- -,-9300000,5700000,4900000,-1700000,1500000,-400000,3100000,4100000,5300000,7000000,900000,3808000,25473000,-2515000,10423000,2381000,4168000,-6719000,4555000,49425000,15162000,21584000,11513000,16579000,-26259000,9950000,-27081000,13745000,-21400000,-5679000,11859000,12039000,-1406000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-42278000,- -,- -,15392000,39687000,-17616000,-16209000,5838000,1959000,391000,369000,47983000,-37176000,-20193000,41969000,-7509000
79,Inventory,- -,- -,- -,- -,-10100000,6300000,-3300000,100000,500000,-1300000,-5200000,900000,500000,-2700000,1100000,-2350000,-3902000,1867000,1498000,2193000,-2525000,-6531000,-19148000,-25513000,25884000,12320000,1542000,3948000,3881000,-3959000,-572000,6159000,8213000,-3023000,-7989000,304000,-599000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23064000,- -,- -,- -,- -,- -,- -,12565000,1002000,-5073000,-12334000,-2417000,8152000,9550000,-15309000,9760000
81,Other Working Capital,- -,- -,- -,- -,29300000,35000000,39900000,38200000,39700000,39300000,42400000,46500000,51800000,58800000,59700000,63508000,88981000,86466000,96889000,99270000,103438000,96719000,101274000,150699000,165861000,187445000,198958000,215537000,189278000,199228000,172147000,185892000,164492000,158813000,170672000,182711000,181305000
