,https://roic.ai/company/AWRE,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,238000,90000,83000,227000,328000,225000,151000,280000,401000,844000,1000000,176000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,200000,400000,900000,1500000,1775480,1738000,1720000,1844000,1471000,969000,614000,686000,878000,921000,823000,536000,475000,453000,458000,541000,640000,622000,518000,443000,441000,561000,- -
15,EBITDA,-100000,700000,-3500000,-700000,6673108,12436000,-800000,-9791000,-6567000,-398000,-1854000,2127000,1064000,2713000,1809000,718000,3044000,92946000,4971000,7796000,4718000,6810000,2765000,1668000,-2688000,-8687000,-37000
16,EBITDA ratio,-0.0303,0.1321,-0.5645,-0.0593,0.3251,0.4055,-0.0431,-0.7072,-0.6056,-0.0241,-0.1183,0.0884,0.0402,0.0889,0.0821,0.0305,0.1238,4.6707,0.2568,0.3287,0.2405,0.3158,0.1698,0.1034,-0.2203,-0.7681,-0.3700
17,Operating Income,-400000,-500000,-6100000,-3900000,3320539,9490000,-4823000,-12529000,-8635000,-1925000,-3618000,-399000,-1830000,629000,-5482000,-333000,2486000,91808000,5318000,7089000,3915000,5908000,1810000,381000,-4129000,-9424000,-6097000
18,Operating Income ratio,-0.1212,-0.0943,-0.9839,-0.3305,0.1618,0.3095,-0.2596,-0.9050,-0.7964,-0.1168,-0.2309,-0.0166,-0.0692,0.0206,-0.2487,-0.0141,0.1011,4.6135,0.2747,0.2989,0.1995,0.2739,0.1112,0.0236,-0.3383,-0.8333,-60.9700
19,Total Other Income Expenses (Gains),100000,800000,1700000,1700000,18300,2826000,2303000,894000,597000,558000,1150000,1817000,2016000,1163000,6468000,515000,83000,312000,351000,166000,163000,280000,437000,844000,1000000,176000,6060000
20,Income Before Tax,- -,- -,- -,- -,- -,12316000,-2520000,-11635000,-8038000,-1367000,-2468000,1418000,186000,1792000,986000,182000,2569000,92120000,5669000,7255000,4078000,6188000,2247000,1225000,-3129000,-9248000,-37000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,0.4016,-0.1357,-0.8404,-0.7413,-0.0829,-0.1575,0.0589,0.0070,0.0587,0.0447,0.0077,0.1045,4.6291,0.2929,0.3059,0.2078,0.2869,0.1380,0.0759,-0.2564,-0.8178,-0.3700
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,-2716000,- -,7093000,- -,- -,- -,407000,26000,16000,4000,2000,2000,20186000,1917000,2672000,-536000,2085000,965000,-8000,5211000,-1634000,-2000
23,Net Income,-300000,300000,-4400000,-2200000,4897628,13414000,-2520000,-18728000,-8038000,-1367000,-2468000,1034000,160000,1776000,982000,180000,2567000,72307000,2596000,4583000,4614000,4103000,1282000,1233000,-8340000,-7614000,-35000
24,Net Income ratio,-0.0909,0.0566,-0.7097,-0.1864,0.2386,0.4374,-0.1357,-1.3528,-0.7413,-0.0829,-0.1575,0.0430,0.0061,0.0582,0.0446,0.0076,0.1044,3.6335,0.1341,0.1932,0.2352,0.1903,0.0787,0.0764,-0.6834,-0.6733,-0.3500
25,EPS,-0.29,0.01,-0.23,-0.11,0.23,0.60,-0.11,-0.83,-0.35,-0.06,-0.11,0.04,0.01,0.08,0.05,0.01,0.12,3.32,0.12,0.20,0.20,0.18,0.06,0.06,-0.39,-0.35,-0.00
26,EPS Diluted,-0.29,0.01,-0.23,-0.11,0.21,0.56,-0.11,-0.83,-0.35,-0.06,-0.11,0.04,0.01,0.07,0.05,0.01,0.12,3.28,0.11,0.20,0.20,0.18,0.06,0.06,-0.39,-0.35,-0.00
27,Weighted Average Shares Outstanding,1034483,18394395,19328252,20343339,21496864,22454000,22631000,22679000,22713000,22785000,23076000,23474000,23738000,23638000,20869000,19971000,20534000,21814000,22543000,22703000,22899000,22829000,21814000,21545000,21523000,21473000,21473000
28,Weighted Average Shares Outstanding Diluted,1034483,18394395,19328252,20343339,23584688,23807000,22631000,22679000,22713000,22785000,23076000,24965000,25084000,23697000,20874000,20182000,20735000,22071000,22641000,22787000,22965000,22898000,21877000,21605000,21523000,21473000,21473000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1015739/000095013597001432/0000950135-97-001432-index.html,https://www.sec.gov/Archives/edgar/data/1015739/000095013598001991/0000950135-98-001991-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1015739/000100547701002245/0001005477-01-002245-index.html,https://www.sec.gov/Archives/edgar/data/1015739/000113388402000264/0001133884-02-000264-index.html,https://www.sec.gov/Archives/edgar/data/1015739/000118811203000146/0001188112-03-000146-index.html,https://www.sec.gov/Archives/edgar/data/1015739/000118811204000331/0001188112-04-000331-index.html,https://www.sec.gov/Archives/edgar/data/1015739/000118811205000453/0001188112-05-000453-index.html,https://www.sec.gov/Archives/edgar/data/1015739/000118811206000679/0001188112-06-000679-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1015739/000118811208000422/t61714_10k.htm,https://www.sec.gov/Archives/edgar/data/1015739/000118811209000293/0001188112-09-000293-index.html,https://www.sec.gov/Archives/edgar/data/1015739/000118811210000245/0001188112-10-000245-index.html,https://www.sec.gov/Archives/edgar/data/1015739/000118811211000241/t69717_10k.htm,https://www.sec.gov/Archives/edgar/data/1015739/000118811212000424/0001188112-12-000424-index.html,https://www.sec.gov/Archives/edgar/data/1015739/000118811213000422/0001188112-13-000422-index.html,https://www.sec.gov/Archives/edgar/data/1015739/000118811214000398/t78224_10k.htm,https://www.sec.gov/Archives/edgar/data/1015739/000157104915001114/t81354_10k.htm,https://www.sec.gov/Archives/edgar/data/1015739/000157104916011724/0001571049-16-011724-index.html,https://www.sec.gov/Archives/edgar/data/1015739/000157104917001193/0001571049-17-001193-index.html,https://www.sec.gov/Archives/edgar/data/1015739/000114420418011461/0001144204-18-011461-index.html,https://www.sec.gov/Archives/edgar/data/1015739/000114420419008788/0001144204-19-008788-index.html,https://www.sec.gov/Archives/edgar/data/1015739/000110465920022309/0001104659-20-022309-index.html,https://www.sec.gov/Archives/edgar/data/1015739/000156459021006373/0001564590-21-006373-index.htm,https://www.sec.gov/Archives/edgar/data/1015739/000156459022010383/0001564590-22-010383-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2200000,31100000,23500000,23500000,35248275,51662000,36056000,25268000,19504000,7482000,13068000,8571000,1806000,45516000,39669000,39949000,46577000,71074000,72660000,43985000,51232000,51913000,51608000,51612000,47742000,38565000,29963000
32,Short-Term Investments,- -,- -,- -,- -,1017302,5841000,21228000,8034000,15547000,27483000,23695000,29263000,36249000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,2200000,31100000,23500000,23500000,36265577,57503000,57284000,33302000,35051000,34965000,36763000,37834000,38055000,45516000,39669000,39949000,46577000,71074000,72660000,43985000,51232000,51913000,51608000,51612000,47742000,38565000,29963000
34,Net Receivables,600000,1700000,1800000,2900000,5705914,5200000,1383000,1258000,2449000,3070000,3749000,4738000,7661000,2211000,3565000,4968000,3546000,4578000,4582000,3619000,4743000,3016000,2401000,5289000,5802000,4514000,3763000
35,Inventory,- -,400000,200000,100000,122058,167000,282000,50000,48000,143000,86000,819000,1424000,1656000,1113000,1863000,547000,- -,1601000,2000,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,5800000,2900000,3300000,769155,7393000,2606000,530000,563000,417000,764000,867000,708000,598000,363000,235000,213000,1345000,1078000,569000,667000,268000,203000,284000,256000,582000,5089000
37,Total Current Assets,2800000,39000000,28400000,29800000,42862704,70263000,61555000,35140000,38111000,38595000,41362000,44258000,47848000,49981000,44710000,47015000,50883000,76997000,79921000,48175000,56642000,55197000,54212000,57185000,53800000,43661000,38815000
38,PP&E,400000,1200000,10800000,10300000,11619761,11187000,10937000,10038000,8921000,8287000,8075000,8123000,7872000,7463000,6744000,6360000,6232000,5904000,5582000,5289000,4977000,4634000,4304000,4085000,3755000,3701000,3216000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1651000,3120000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1217000,3222000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2868000,6342000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,727000,2010000,2754000,1428000,869000,951000,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,5282000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,943000,762000,804000,815000,1078000,5402000,5171000,- -,- -,- -
44,Other Non-Current Assets,- -,-100000,100000,100000,- -,- -,329000,14059000,3992000,3301000,304000,2205000,663000,102000,- -,25000,9000,- -,310000,197000,316000,124000,18000,- -,- -,1398000,- -
45,Total Non-Current Assets,400000,1100000,10900000,10400000,11619761,11187000,16548000,24097000,12913000,11588000,8379000,10328000,8535000,7565000,6744000,6385000,6968000,8857000,9408000,7718000,6977000,6787000,9724000,9256000,3755000,7967000,9558000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,3200000,40100000,39300000,40200000,54482465,81450000,78103000,59237000,51024000,50183000,49741000,54586000,56383000,57546000,51454000,53400000,57851000,85854000,89329000,55893000,63619000,61984000,63936000,66441000,57555000,51628000,48373000
48,Accounts Payable,100000,300000,1100000,500000,787684,483000,353000,274000,261000,361000,607000,692000,939000,466000,327000,565000,399000,328000,1516000,258000,234000,135000,166000,126000,187000,494000,283000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,236000,- -,2000,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,142000,471000,115000,538000,800000,413000,339000,563000,944000,1317000,2204000,1848000,2352000,5885000,2722000,2805000,3024000,2777000,3843000,3549000
52,Other Current Liabilities,200000,400000,600000,500000,725984,2634000,1594000,1243000,652000,951000,1093000,1394000,1465000,1888000,1611000,1688000,1098000,1107000,797000,820000,1188000,1075000,1186000,1319000,1096000,1531000,1909000
53,Total Current Liabilities,300000,700000,1700000,1000000,1513668,3117000,1947000,1659000,1384000,1427000,2238000,2886000,2817000,2693000,2501000,3197000,2814000,3639000,4161000,3430000,7307000,3932000,4157000,4469000,4060000,5868000,5741000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,593000,320000,462000,319000,18000,74000,131000,211000,127000,75000,60000,90000,191000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,330000,330000,330000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4822000
58,Total Non-Current Liabilities,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,330000,330000,330000,593000,320000,462000,319000,18000,74000,131000,211000,127000,75000,60000,90000,-4631000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,300000,700000,1700000,1100000,1513668,3117000,1947000,1659000,1384000,1427000,2238000,3216000,3147000,3023000,3094000,3517000,3276000,3958000,4179000,3504000,7438000,4143000,4284000,4544000,4120000,5958000,1110000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,219181,226000,227000,227000,228000,229000,233000,236000,239000,233000,198000,200000,206000,225000,226000,228000,229000,224000,215000,215000,214000,214000,216000
64,Retained Earnings,-10600000,-10300000,-14800000,-17000000,-12115849,1298000,-1222000,-19950000,-27988000,-29355000,-31823000,-30789000,-30629000,-28853000,-27870000,-27690000,-25123000,-18840000,-16244000,-51566000,-46952000,-42849000,-36809000,-34694000,-43034000,-50648000,-56472000
65,Other Comprehensive Income/Loss,-1500000,-600000,-1300000,-2900000,-4635996,-6374000,-8048000,-9754000,-11061000,-11951000,-12531000,-13149000,-13959000,-6888000,-5839000,-6066000,-20000,-50000,-125000,-29000,-64000,-19000,- -,-7823000,-8197000,- -,- -
66,Other Total Stockholders Equity,15000000,50300000,53700000,59000000,69501461,83183000,85199000,87055000,88461000,89833000,91624000,95072000,97585000,90031000,81871000,83439000,79512000,100561000,101293000,103756000,102968000,100485000,96246000,104199000,104452000,96104000,97778000
67,Total Stockholders Equity,2900000,39400000,37600000,39100000,52968797,78333000,76156000,57578000,49640000,48756000,47503000,51370000,53236000,54523000,48360000,49883000,54575000,81896000,85150000,52389000,56181000,57841000,59652000,61897000,53435000,45670000,41522000
68,Total Liabilities And Stockholders Equity,3200000,40100000,39300000,40200000,54482465,81450000,78103000,59237000,51024000,50183000,49741000,54586000,56383000,57546000,51454000,53400000,57851000,85854000,89329000,55893000,63619000,61984000,63936000,66441000,57555000,51628000,42632000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5741000
70,Total Liabilities & Equity,3200000,40100000,39300000,40200000,54482465,81450000,78103000,59237000,51024000,50183000,49741000,54586000,56383000,57546000,51454000,53400000,57851000,85854000,89329000,55893000,63619000,61984000,63936000,66441000,57555000,51628000,48373000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1015739/000095013597001432/0000950135-97-001432-index.html,https://www.sec.gov/Archives/edgar/data/1015739/000095013598001991/0000950135-98-001991-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1015739/000100547701002245/0001005477-01-002245-index.html,https://www.sec.gov/Archives/edgar/data/1015739/000113388402000264/0001133884-02-000264-index.html,https://www.sec.gov/Archives/edgar/data/1015739/000118811203000146/0001188112-03-000146-index.html,https://www.sec.gov/Archives/edgar/data/1015739/000118811204000331/0001188112-04-000331-index.html,https://www.sec.gov/Archives/edgar/data/1015739/000118811205000453/0001188112-05-000453-index.html,https://www.sec.gov/Archives/edgar/data/1015739/000118811206000679/0001188112-06-000679-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1015739/000118811208000422/t61714_10k.htm,https://www.sec.gov/Archives/edgar/data/1015739/000118811209000293/0001188112-09-000293-index.html,https://www.sec.gov/Archives/edgar/data/1015739/000118811210000245/0001188112-10-000245-index.html,https://www.sec.gov/Archives/edgar/data/1015739/000118811211000241/t69717_10k.htm,https://www.sec.gov/Archives/edgar/data/1015739/000118811212000424/0001188112-12-000424-index.html,https://www.sec.gov/Archives/edgar/data/1015739/000118811213000422/0001188112-13-000422-index.html,https://www.sec.gov/Archives/edgar/data/1015739/000118811214000398/t78224_10k.htm,https://www.sec.gov/Archives/edgar/data/1015739/000157104915001114/t81354_10k.htm,https://www.sec.gov/Archives/edgar/data/1015739/000157104916011724/0001571049-16-011724-index.html,https://www.sec.gov/Archives/edgar/data/1015739/000157104917001193/0001571049-17-001193-index.html,https://www.sec.gov/Archives/edgar/data/1015739/000114420418011461/0001144204-18-011461-index.html,https://www.sec.gov/Archives/edgar/data/1015739/000114420419008788/0001144204-19-008788-index.html,https://www.sec.gov/Archives/edgar/data/1015739/000110465920022309/0001104659-20-022309-index.html,https://www.sec.gov/Archives/edgar/data/1015739/000156459021006373/0001564590-21-006373-index.htm,https://www.sec.gov/Archives/edgar/data/1015739/000156459022010383/0001564590-22-010383-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-300000,300000,-4400000,-2200000,4897628,13414000,-2520000,-18728000,-8038000,-1367000,-2468000,1034000,160000,1776000,982000,180000,2567000,72307000,2596000,4583000,4614000,4103000,1282000,1233000,-8340000,-7614000,-35000
74,Depreciation and Amortization,200000,400000,900000,1500000,1775480,1738000,1720000,1844000,1471000,969000,614000,686000,878000,921000,823000,536000,475000,453000,458000,541000,640000,622000,518000,443000,441000,561000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,-2716000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,81000,-66000,-1896000,-24000,-9000,- -,5171000,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1737000,1495000,1277000,321000,662000,915000,689000,558000,663000,580000,692000,838000,- -
77,Change in Working Capital,- -,35800000,-11600000,2100000,12549036,25796964,-7538000,-26127000,3246000,441000,1956000,2248000,3659000,2257000,-5079000,1609000,4251000,25289000,2402000,-31015000,4590000,1930000,-1210000,2661000,-2976000,-11947000,-4719000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1353000,-1403000,1422000,85000,-1125000,963000,-1124000,1727000,615000,379000,-477000,84000,- -
79,Inventory,- -,-400000,200000,100000,-1147,-45000,-115000,232000,2000,-95000,57000,-733000,-605000,-232000,542000,-750000,1316000,547000,-1601000,1599000,2000,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-166000,-71000,1188000,-1258000,-24000,-99000,31000,-40000,61000,307000,- -
81,Other Working Capital,2500000,38300000,26700000,28800000,41349036,67146000,59608000,33481000,36727000,37168000,39124000,41372000,45031000,47288000,42209000,43818000,48069000,73358000,75760000,44745000,49335000,51265000,50055000,52716000,49740000,37793000,33074000
82,Other Non-Cash Items,-100000,-37100000,12500000,-3700000,-14886209,-23763964,9575000,33554000,-4743000,-968000,-2114000,-1158000,-5959000,4452000,-1860000,-3110000,-1741000,-113664000,-3370000,31298000,-1953000,-3375000,2425000,-4257000,2067000,12888000,4754000
83,Cash Provided by Operating Activities,-200000,-600000,-2600000,-2300000,4335935,14469000,1237000,-9457000,-8064000,-925000,-2012000,2810000,-1262000,9406000,-3397000,710000,6829000,-15294000,2829000,6256000,6684000,3814000,3669000,660000,-2945000,-5274000,- -
84,CAPEX,-200000,-1100000,-10600000,-1000000,-3074660,-1305000,-1424000,-807000,-190000,-256000,-368000,-666000,-559000,-445000,-168000,-218000,-331000,-116000,-160000,-135000,-127000,-87000,-82000,-206000,-111000,-484000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2430000,- -
86,Purchases of Investments,- -,-5600000,- -,-400000,- -,-4824000,-15387000,-13816000,-7513000,-27175000,-14888000,-23521000,-30009000,-2000000,- -,- -,-737000,-2065000,-2008000,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,3000000,- -,2037415,- -,- -,13194000,9903000,33051000,21977000,15984000,24497000,38743000,- -,- -,- -,855000,1117000,1432000,529000,- -,1019000,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-100000,-500000,500000,-375000,-52000,- -,- -,-338000,- -,- -,- -,6661000,-60000,- -,86394000,-314000,2127000,-277000,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-200000,-6700000,-7600000,-1500000,-1537245,-5629000,-17186000,-1481000,2200000,5620000,6383000,-8203000,-6071000,36298000,6493000,-278000,-1068000,85068000,-1365000,3424000,125000,-87000,937000,-206000,-111000,-2914000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,36300000,2600000,3800000,8937343,7574000,343000,150000,100000,483000,1215000,896000,647000,363000,7000,9000,1826000,6526000,65000,508000,40000,44000,61000,50000,43000,50000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-38000,-2357000,-8950000,- -,-735000,- -,- -,- -,- -,-3655000,-4799000,-393000,-765000,-946000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-66024000,- -,-39905000,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-41000,- -,- -,-161000,-224000,14221000,57000,1042000,398000,565000,-173000,-107000,-92000,-93000,- -
95,Cash Used/Provided by Financing Activities,- -,36300000,2600000,3800000,8937343,7574000,343000,150000,100000,483000,1215000,896000,568000,-1994000,-8943000,-152000,867000,-45277000,122000,-38355000,438000,-3046000,-4911000,-450000,-814000,-989000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,11736033,16414000,-15606000,-10788000,-5764000,5178000,5586000,-4497000,-6765000,43710000,-5847000,280000,6628000,24497000,1586000,-28675000,7247000,681000,-305000,4000,-3870000,-9177000,- -
98,Cash at the End of Period,- -,- -,- -,23500000,35248275,51662000,36056000,25268000,19504000,7482000,13068000,8571000,1806000,45516000,39669000,39949000,46577000,71074000,72660000,43985000,51232000,51913000,51608000,51612000,47742000,38565000,- -
99,Cash at the Beginning of Period,2600000,2200000,31100000,23500000,23512242,35248000,51662000,36056000,25268000,2304000,7482000,13068000,8571000,1806000,45516000,39669000,39949000,46577000,71074000,72660000,43985000,51232000,51913000,51608000,51612000,47742000,38565000
100,Free Cash Flow,-400000,-1700000,-13200000,-3300000,1261275,13164000,-187000,-10264000,-8254000,-1181000,-2380000,2144000,-1821000,8961000,-3565000,492000,6498000,-15410000,2669000,6121000,6557000,3727000,3587000,454000,-3056000,-5758000,- -
