,https://roic.ai/company/TPL,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19373,14500,12987,15500,15674,13000,12000,- -,- -,11640,- -,- -,- -,9000,12500,17250,13500,20500,21000,25000,18000,27000,-33655000,-74466000,-3966000,551000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19394,-89280,-64231,-43256,-42441,-45331,-138606,-43224,-30220,-33110,-43846,-62828,-27272,-6379,-20663,-15170,-20011,-36905,-34110,-32788,-196456,-958871,-18720000,-81533000,-111692000,-25998000,-14997000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3800000,-3202690,-3953656,-3158314,-3604427,-3737308,-5400790,-5534661,-6181717,-10048739,-8945001,-10715045,-16030938,-20183747,-25216940,-22963786,-28771073,-33085867,-34267000,-38397000,-4353000,- -,-19684000
93,Dividends Paid,- -,- -,- -,- -,- -,-1400000,-1400000,-1300000,-1300000,-1300000,-1222802,-1178802,-1134882,-1102802,-1067202,-1033842,-1003522,-956995,-1717870,-4961364,-1203386,-5872681,-1696780,-1884668,-1930444,-1968061,-2000233,-4295509,- -,-2280301,-2402460,-2507183,-10681000,-31652000,-46546000,-201660000,-85264000
94,Other Financing Activites,- -,- -,- -,- -,- -,-3700000,-2100000,-1600000,-2000000,-2000000,-2680652,-3254443,-3476309,-3509959,34439,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,-5100000,-3500000,-2900000,-3300000,-3300000,-3903454,-4433245,-4611191,-4612761,-4832763,-4236532,-4957178,-4115309,-5322297,-8698672,-6604176,-11407342,-7878497,-11933407,-10875445,-12683106,-18031171,-24479256,-25216940,-25244087,-31173533,-35593050,-44948000,-70049000,-50899000,-201660000,-104948000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,-5100000,-3500000,-2900000,-3300000,-3300000,790142,-1228087,117693,684784,-724836,-258705,971231,762681,1165504,1429695,3684039,-1102807,1629025,-498823,-1503170,-1001657,5880026,-4604671,4814304,13575548,18197210,4405920,30162000,40067000,180199000,-20621000,145218000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3022985,1794898,1912591,2597375,1872539,1613834,2585065,3347746,4513250,5942945,9626984,8524177,10153202,9654379,8151209,7149552,13029578,8424907,13239211,26814759,45011969,49417889,79580000,119647000,303645000,283024000,428242000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,3400000,2700000,2500000,2200000,2000000,2232843,3022985,1794898,1912591,2597375,1872539,1613834,2585065,3347746,4513250,5942945,9626984,8524177,10153202,9654379,8151209,7149552,13029578,8424907,13239211,26814759,45011969,49418000,79580000,123446000,303645000,283024000
100,Free Cash Flow,- -,- -,- -,- -,- -,4300000,3300000,2600000,3100000,3600000,4693596,3185785,4714384,5284558,4092427,3962153,5915409,4865990,6487801,10128367,10276575,10304535,9507522,11434584,9363275,11668949,23893947,19861085,30010744,38798635,49345743,39980970,75083000,119468000,305564000,185005000,249615000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/97517/000093244004000089/0000932440-04-000089-index.htm,- -,https://www.sec.gov/Archives/edgar/data/97517/000093244006000125/0000932440-06-000125-index.htm,https://www.sec.gov/Archives/edgar/data/97517/000093244007000218/0000932440-07-000218-index.htm,https://www.sec.gov/Archives/edgar/data/97517/000093244008000195/0000932440-08-000195-index.htm,https://www.sec.gov/Archives/edgar/data/97517/000093244009000215/0000932440-09-000215-index.htm,https://www.sec.gov/Archives/edgar/data/97517/000093244010000057/0000932440-10-000057-index.htm,https://www.sec.gov/Archives/edgar/data/97517/000093244011000107/0000932440-11-000107-index.htm,https://www.sec.gov/Archives/edgar/data/97517/000143774912002194/0001437749-12-002194-index.htm,https://www.sec.gov/Archives/edgar/data/97517/000143774913002599/0001437749-13-002599-index.htm,https://www.sec.gov/Archives/edgar/data/97517/000143774914003082/0001437749-14-003082-index.htm,https://www.sec.gov/Archives/edgar/data/97517/000143774915003635/0001437749-15-003635-index.htm,https://www.sec.gov/Archives/edgar/data/97517/000143774916026297/0001437749-16-026297-index.htm,https://www.sec.gov/Archives/edgar/data/97517/000143774917003418/0001437749-17-003418-index.htm,https://www.sec.gov/Archives/edgar/data/97517/000143774918003528/0001437749-18-003528-index.htm,https://www.sec.gov/Archives/edgar/data/97517/000009751719000015/0000097517-19-000015-index.htm,https://www.sec.gov/Archives/edgar/data/97517/000009751720000017/0000097517-20-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1811074/000181107421000013/0001811074-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1811074/000181107422000014/0001811074-22-000014-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
