,https://roic.ai/company/UIS,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,697900000,352200000,1565200000,1551800000,149900000,414900000,-336700000,1030800000,1183900000,595700000,-382800000,411300000,458100000,871100000,1023400000,630200000,238500000,630600000,723100000,318000000,203300000,137600000,384000000,341000000,678600000,647300000,456700000,445000000,377300000,310700000,126500000,192500000,138500000,367900000,245300000,986300000,-251600000
16,EBITDA ratio,0.1385,0.0474,0.1611,0.1567,0.0148,0.0410,-0.0387,0.1224,0.1529,0.0805,-0.0617,0.0646,0.0690,0.1208,0.1356,0.0915,0.0396,0.1125,0.1223,0.0546,0.0353,0.0239,0.0679,0.0652,0.1476,0.1610,0.1185,0.1201,0.1092,0.0926,0.0420,0.0682,0.0505,0.1302,0.0832,0.4867,-0.1225
17,Operating Income,427000000,-15800000,1126900000,1072900000,-210200000,44000000,-578900000,720700000,734100000,306000000,-698100000,327400000,504100000,810200000,960700000,426800000,-4500000,423200000,427700000,-34800000,-162400000,-326800000,85900000,40700000,345600000,375700000,324600000,319200000,219500000,154900000,-55100000,47600000,4600000,284100000,238200000,87000000,154000000
18,Operating Income ratio,0.0848,-0.0021,0.1160,0.1084,-0.0208,0.0044,-0.0666,0.0856,0.0948,0.0414,-0.1126,0.0514,0.0760,0.1124,0.1273,0.0620,-0.0007,0.0755,0.0724,-0.0060,-0.0282,-0.0568,0.0152,0.0078,0.0752,0.0935,0.0842,0.0861,0.0635,0.0462,-0.0183,0.0169,0.0017,0.1006,0.0808,0.0429,0.0750
19,Total Other Income Expenses (Gains),-67500000,-76000000,-179400000,-114300000,-344100000,-381300000,-709400000,-285100000,-230700000,-152800000,-83000000,-233700000,-1262900000,-205500000,-190400000,-47800000,-42000000,-90400000,-47200000,-41200000,-8500000,75900000,-82400000,-117700000,-111000000,-152800000,-118600000,-65100000,-100000,-9400000,-3700000,-27100000,-76700000,-140900000,-198500000,-358800000,-615700000
20,Income Before Tax,359500000,-91800000,947500000,958600000,-554300000,-337300000,-1288300000,435600000,503400000,153200000,-781100000,93700000,-758800000,604700000,770300000,379000000,-46500000,332800000,380500000,-76000000,-170900000,-250900000,3500000,-77000000,234600000,222900000,206000000,254100000,219400000,145500000,-58800000,20500000,-72100000,143200000,39700000,-271800000,-461700000
21,Income Before Tax Ratio,0.0714,-0.0124,0.0976,0.0968,-0.0549,-0.0334,-0.1481,0.0517,0.0650,0.0207,-0.1259,0.0147,-0.1143,0.0839,0.1021,0.0550,-0.0077,0.0594,0.0644,-0.0131,-0.0297,-0.0436,0.0006,-0.0147,0.0510,0.0555,0.0535,0.0686,0.0635,0.0434,-0.0195,0.0073,-0.0263,0.0507,0.0135,-0.1341,-0.2247
22,Income Tax expense (Gain),111300000,-48400000,369500000,278000000,85000000,99400000,105000000,139400000,141800000,45000000,-153800000,31900000,94800000,217700000,247500000,134200000,3400000,109800000,121800000,-114600000,1561000000,27800000,82600000,53100000,41600000,58800000,64800000,97300000,99300000,86200000,44400000,57200000,-5500000,64300000,53000000,45400000,-11900000
23,Net Income,248200000,-43400000,578000000,680600000,-639300000,-436700000,-1393300000,361200000,565400000,100500000,-624600000,49700000,-853600000,387000000,510700000,225000000,-67100000,223000000,258700000,38600000,-1731900000,-278700000,-79100000,-130100000,189300000,236100000,134000000,145600000,108500000,46700000,-109900000,-47700000,-65300000,75500000,-17200000,750700000,-448500000
24,Net Income ratio,0.0493,-0.0058,0.0595,0.0687,-0.0633,-0.0432,-0.1602,0.0429,0.0730,0.0136,-0.1007,0.0078,-0.1286,0.0537,0.0677,0.0327,-0.0111,0.0398,0.0438,0.0066,-0.3007,-0.0484,-0.0140,-0.0249,0.0412,0.0587,0.0348,0.0393,0.0314,0.0139,-0.0364,-0.0169,-0.0238,0.0267,-0.0058,0.3705,-0.2183
25,EPS,18.20,-5.40,31.50,35.80,-47.10,-34.50,-101.60,6.70,22.40,-6.70,-43.50,-4.10,-53.00,11.10,16.50,7.20,-2.10,6.90,7.90,1.20,-50.90,-8.10,-2.30,-3.60,4.82,5.55,2.79,2.95,2.10,0.89,-2.20,-0.95,-1.28,1.48,-0.31,11.93,-7.13
26,EPS Diluted,18.20,-5.40,29.30,32.70,-47.10,-34.50,-101.60,6.30,17.50,-6.70,-43.50,-4.10,-53.00,10.60,15.90,7.10,-2.10,6.90,7.80,1.10,-50.90,-8.10,-2.30,-3.60,4.75,5.45,2.71,2.84,2.08,0.89,-2.20,-0.95,-1.28,1.30,-0.31,11.93,-7.13
27,Weighted Average Shares Outstanding,13637363,13752900,14955556,16019553,15849257,15971014,14906496,16300000,19812500,17075200,17124138,17341463,18201887,25270270,28727273,31250000,31952381,32318841,32746835,32166667,34025540,34407407,34391304,35977700,39241000,42562000,43145000,43864000,43899000,49280000,49905000,50060000,50409000,50946000,55961000,62932000,62932000
28,Weighted Average Shares Outstanding Diluted,13637363,13752900,16078498,17538226,15849257,15971014,14906496,16506329,19812500,17075200,17124138,17341463,18201887,26462264,29811321,31690141,31952381,32318841,33166667,35090909,34025540,34407407,34391304,35977700,39834000,43333000,49478000,51216000,44347000,49584000,49905000,50060000,50409000,73355000,55961000,62932000,62932000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/746838/0000746838-94-000006-index.html,- -,https://www.sec.gov/Archives/edgar/data/746838/000074683896000001/0000746838-96-000001-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/746838/000103605001000142/0001036050-01-000142-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/746838/000119312505032226/0001193125-05-032226-index.htm,https://www.sec.gov/Archives/edgar/data/746838/000119312506038890/0001193125-06-038890-index.htm,https://www.sec.gov/Archives/edgar/data/746838/000119312507038291/0001193125-07-038291-index.htm,https://www.sec.gov/Archives/edgar/data/746838/000119312508043792/0001193125-08-043792-index.htm,https://www.sec.gov/Archives/edgar/data/746838/000119312509042668/0001193125-09-042668-index.htm,https://www.sec.gov/Archives/edgar/data/746838/000119312510038558/0001193125-10-038558-index.htm,https://www.sec.gov/Archives/edgar/data/746838/000119312511041209/0001193125-11-041209-index.htm,https://www.sec.gov/Archives/edgar/data/746838/000119312512078426/0001193125-12-078426-index.htm,https://www.sec.gov/Archives/edgar/data/746838/000119312513071504/0001193125-13-071504-index.htm,https://www.sec.gov/Archives/edgar/data/746838/000119312514063880/0001193125-14-063880-index.htm,https://www.sec.gov/Archives/edgar/data/746838/000119312515058367/0001193125-15-058367-index.htm,https://www.sec.gov/Archives/edgar/data/746838/000119312516483720/0001193125-16-483720-index.htm,https://www.sec.gov/Archives/edgar/data/746838/000074683817000008/0000746838-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/746838/000074683818000009/0000746838-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/746838/000074683819000051/0000746838-19-000051-index.htm,https://www.sec.gov/Archives/edgar/data/746838/000074683820000059/0000746838-20-000059-index.htm,https://www.sec.gov/Archives/edgar/data/746838/000074683821000014/0000746838-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/746838/000074683822000006/0000746838-22-000006-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,42500000,56000000,46200000,26300000,9200000,403400000,813600000,809100000,835400000,868400000,1114300000,1029200000,803000000,604300000,464000000,378000000,325900000,301800000,635900000,660500000,642500000,719300000,830200000,544000000,647600000,828300000,714900000,655600000,639800000,494300000,365200000,370600000,733900000,605000000,538800000,898500000,552900000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,42500000,56000000,46200000,26300000,9200000,403400000,813600000,809100000,835400000,868400000,1114300000,1029200000,803000000,604300000,464000000,378000000,325900000,301800000,635900000,660500000,642500000,719300000,830200000,544000000,647600000,828300000,714900000,655600000,639800000,494300000,365200000,370600000,733900000,605000000,538800000,898500000,552900000
34,Net Receivables,1228600000,1806900000,2192800000,2784600000,2697600000,2366000000,1777200000,1326300000,1088200000,1063800000,996300000,959000000,967300000,1232000000,1430500000,1247400000,1093700000,955600000,1027800000,1136800000,1111500000,1164600000,1059200000,818500000,790700000,789700000,673000000,670200000,683100000,619300000,581600000,505800000,503300000,538900000,548000000,504800000,493700000
35,Inventory,1475400000,1951900000,1855800000,2483600000,1760900000,1457800000,1024800000,873800000,753900000,773000000,673900000,642300000,560800000,463300000,372900000,425500000,345800000,292800000,238600000,216100000,194100000,176200000,171100000,135400000,100500000,88900000,64800000,50000000,55100000,46700000,43800000,29000000,26100000,27300000,20700000,13400000,7600000
36,Other Current Assets,121700000,721600000,522100000,520700000,615300000,642300000,680300000,858600000,522600000,436300000,434100000,502600000,555400000,517100000,578300000,536100000,438700000,395800000,355700000,404200000,205200000,178400000,151700000,140500000,164600000,168500000,150700000,136600000,162800000,157000000,145100000,121900000,126200000,130200000,113800000,89300000,78800000
37,Total Current Assets,2868200000,4536400000,4616900000,5815200000,5083000000,4869500000,4295900000,3867800000,3200100000,3141500000,3218600000,3133100000,2886500000,2816700000,2845700000,2587000000,2204100000,1946000000,2258000000,2417600000,2153300000,2238500000,2212200000,1638400000,1703400000,1875400000,1603400000,1512400000,1540800000,1317300000,1135700000,1027300000,1389500000,1301400000,1221300000,1506000000,1133000000
38,PP&E,1269000000,2192200000,2120900000,2275400000,2074500000,1928000000,1417400000,1125700000,961800000,933700000,691400000,621800000,581200000,580900000,620800000,620200000,534200000,609800000,424200000,424100000,386400000,341300000,332200000,276500000,227900000,219700000,191300000,302700000,290200000,319600000,335800000,317800000,344800000,337700000,454000000,363700000,273800000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,193900000,200600000,189400000,198500000,197900000,192500000,192300000,188700000,183900000,177400000,178600000,180800000,177800000,177200000,108600000,315000000
40,Intangible Assets,- -,962600000,1356200000,1599900000,1579500000,1517800000,1266600000,1225200000,1183900000,1142500000,1014600000,981300000,34200000,- -,- -,- -,159000000,160600000,177500000,189900000,192000000,304300000,268800000,202000000,154900000,143800000,129800000,124200000,129100000,144100000,138500000,137000000,138300000,162100000,186800000,193600000,211100000
41,Intangible Assets,- -,962600000,1356200000,1599900000,1579500000,1517800000,1266600000,1225200000,1183900000,1142500000,1014600000,981300000,34200000,- -,- -,- -,159000000,160600000,177500000,189900000,192000000,498200000,469400000,391400000,353400000,341700000,322300000,316500000,317800000,328000000,315900000,315600000,319100000,339900000,364000000,302200000,526100000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,747800000,1476000000,1384600000,1394600000,138400000,191300000,93800000,87600000,180600000,179600000,181500000,162700000,112300000,154600000,114500000,146100000,119900000,109300000,114000000,136200000,125300000
44,Other Non-Current Assets,419200000,1717600000,1864000000,1844100000,2014000000,1973300000,1452100000,1289900000,2173400000,2106200000,2188600000,2230900000,2089400000,2180100000,2423200000,2510500000,2124000000,789000000,1230300000,1194700000,1158800000,768600000,1029500000,430200000,491600000,404500000,313700000,126100000,248900000,229200000,241300000,214800000,369100000,369300000,350700000,399800000,361300000
45,Total Non-Current Assets,1688200000,4872400000,5341100000,5719400000,5668000000,5419100000,4136100000,3640800000,4319100000,4182400000,3894600000,3834000000,2704800000,2761000000,3044000000,3130700000,3565000000,3035400000,3216600000,3203300000,1875600000,1799400000,1924900000,1185700000,1253500000,1145500000,1008800000,908000000,969200000,1031400000,1007500000,994300000,1152900000,1156200000,1282700000,1201900000,1286500000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,4556400000,9408800000,9958000000,11534600000,10751000000,10288600000,8432000000,7508600000,7519200000,7323900000,7113200000,6967100000,5591300000,5577700000,5889700000,5717700000,5769100000,4981400000,5474600000,5620900000,4028900000,4037900000,4137100000,2824100000,2956900000,3020900000,2612200000,2420400000,2510000000,2348700000,2143200000,2021600000,2542400000,2457600000,2504000000,2707900000,2419500000
48,Accounts Payable,- -,- -,- -,- -,1202000000,1320500000,1058400000,1117500000,1027000000,986100000,940600000,871100000,817100000,922700000,1036700000,847700000,694900000,532500000,513800000,487400000,444600000,460900000,419600000,379200000,307400000,260700000,241600000,228600000,246700000,262500000,219300000,189000000,241800000,268900000,252000000,223200000,180200000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,80100000,355600000,19700000,253700000,54600000,49800000,226300000,81100000,81700000,19900000,152700000,76900000,1700000,204400000,1500000,65800000,800000,900000,300000,- -,1800000,76800000,106000000,10800000,10000000,83500000,139900000,53600000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,78600000,96200000,103300000,112100000,64700000,60700000,55100000,63500000,46900000,74200000,64300000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,721900000,618100000,- -,453600000,556300000,448100000,389500000,402400000,348300000,335100000,337400000,327500000,294400000,288600000,257100000,253200000
52,Other Current Liabilities,1239700000,3342100000,3476900000,3431600000,2335000000,2889100000,2604600000,1926400000,1338900000,1443200000,1851100000,1574300000,1506600000,1605200000,1532000000,1611800000,1547100000,1570300000,1519800000,1382700000,1293300000,747200000,653900000,1045700000,568000000,518900000,425500000,411900000,375700000,385100000,339300000,349200000,391500000,350000000,303200000,314900000,265500000
53,Total Current Liabilities,1239700000,3342100000,3476900000,3431600000,3537000000,4209600000,3663000000,3043900000,2365900000,2509400000,3147300000,2465100000,2577400000,2582500000,2618500000,2685800000,2323100000,2184500000,2053500000,2022800000,1814800000,1931700000,1896000000,1426400000,1394800000,1336700000,1116100000,1030300000,1024800000,997700000,970500000,981600000,971600000,923300000,927300000,935100000,752500000
54,Long-Term Debt,801800000,2225600000,1933100000,3078100000,3247800000,2494600000,2694600000,2172800000,2025000000,1864100000,1533300000,2271400000,1438300000,1105200000,950200000,536300000,745000000,748000000,1048300000,898400000,1049000000,1049100000,1058300000,1059100000,845900000,823200000,358800000,210000000,210000000,222200000,235500000,194000000,633900000,642800000,566100000,527100000,557300000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,149400000,120300000,123100000,122700000,119500000,123300000,117600000,159000000,157200000,147400000,137900000,150700000
56,Deferred Tax Liabilities,22500000,12800000,3300000,70000000,84400000,99000000,60000000,47800000,432800000,- -,572400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,1431700000,1426400000,1428800000,- -,- -,- -,- -,- -,345900000,- -,474600000,369700000,373000000,367700000,309500000,588300000,1192900000,977600000,1193200000,1197700000,1121300000,816200000,1792900000,1987900000,1645400000,2328000000,2645700000,1816400000,2461700000,2192500000,2375800000,2104400000,2033900000,2091500000,1419900000,1023400000
58,Total Non-Current Liabilities,824300000,3670100000,3362800000,4576900000,3332200000,2593600000,2754600000,2220600000,2457800000,2210000000,2105700000,2746000000,1808000000,1478200000,1317900000,845800000,1333300000,1940900000,2025900000,2091600000,2246700000,2170400000,1874500000,2852000000,2833800000,2618000000,2807100000,2978800000,2149100000,2803400000,2551300000,2687400000,2897300000,2833900000,2805000000,2084900000,1731400000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,153600000,99500000,81500000
61,Total Liabilities,2064000000,7012200000,6839700000,8008500000,6869200000,6803200000,6417600000,5264500000,4823700000,4719400000,5253000000,5211100000,4385400000,4060700000,3936400000,3531600000,3656400000,4125400000,4079400000,4114400000,4061500000,4102100000,3770500000,4278400000,4228600000,3954700000,3923200000,4009100000,3173900000,3801100000,3521800000,3669000000,3868900000,3757200000,3732300000,3020000000,2483900000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,249700000,249700000,249700000,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3100000,3200000,3200000,3300000,3300000,3400000,3400000,3500000,3600000,3700000,400000,400000,400000,400000,400000,500000,500000,500000,500000,500000,700000,700000,700000
64,Retained Earnings,1872400000,1678600000,2016600000,2434600000,1529500000,900800000,-497000000,-228000000,159800000,45700000,-702600000,-770100000,-1736800000,-1456300000,-1054400000,-829400000,-896500000,-673600000,-414800000,-376200000,-2108100000,-2386800000,-2465900000,-2596000000,-2406700000,-2170600000,-2036600000,-1891000000,-1782500000,-1735800000,-1845700000,-1893400000,-1963100000,-1694000000,-1711200000,-960500000,-1409000000
65,Other Comprehensive Income/Loss,-1486600000,-1398900000,-1675400000,-1967700000,-2200300000,-2253800000,-2215700000,-1949900000,-1814200000,-1780600000,-1397000000,-1328500000,-1192900000,-1139600000,-1102200000,-963900000,-910800000,-2236900000,-2011900000,-2004500000,-1844900000,-1626000000,-1182900000,-2916500000,-3013500000,-2928300000,-3700900000,-4133600000,-3333400000,-4113400000,-3945300000,-4152800000,-3815800000,-4084800000,-4088600000,-3939500000,-3264100000
66,Other Total Stockholders Equity,2106600000,2116900000,2777100000,3059200000,4552600000,4838400000,4727100000,4422000000,4349900000,4339400000,3959800000,3854600000,4135600000,4112900000,4106800000,3976200000,3916800000,3763200000,3818600000,3883800000,3917000000,3945100000,4011800000,4054500000,4151500000,4161200000,4169300000,4174300000,4165300000,4388700000,4400800000,4414700000,4423700000,4434800000,4533700000,4542500000,- -
67,Total Stockholders Equity,2492400000,2396600000,3118300000,3526100000,3881800000,3485400000,2014400000,2244100000,2695500000,2604500000,1860200000,1756000000,1205900000,1517000000,1953300000,2186100000,2112700000,856000000,1395200000,1506500000,-32600000,-64200000,366600000,-1454300000,-1268300000,-937300000,-1318100000,-1600200000,-700500000,-1460000000,-1389700000,-1631000000,-1354700000,-1343500000,-1265400000,-356800000,-113700000
68,Total Liabilities And Stockholders Equity,4556400000,9408800000,9958000000,11534600000,10751000000,10288600000,8432000000,7508600000,7519200000,7323900000,7113200000,6967100000,5591300000,5577700000,5889700000,5717700000,5769100000,4981400000,5474600000,5620900000,4028900000,4037900000,4137100000,2824100000,2960300000,3017400000,2605100000,2408900000,2473400000,2341100000,2132100000,2038000000,2514200000,2413700000,2466900000,2663200000,2370200000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3400000,3500000,7100000,11500000,36600000,7600000,11100000,-16400000,28200000,43900000,37100000,44700000,49300000
70,Total Liabilities & Equity,4556400000,9408800000,9958000000,11534600000,10751000000,10288600000,8432000000,7508600000,7519200000,7323900000,7113200000,6967100000,5591300000,5577700000,5889700000,5717700000,5769100000,4981400000,5474600000,5620900000,4028900000,4037900000,4137100000,2824100000,2956900000,3020900000,2612200000,2420400000,2510000000,2348700000,2143200000,2021600000,2542400000,2457600000,2504000000,2707900000,2419500000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/746838/0000746838-94-000006-index.html,- -,https://www.sec.gov/Archives/edgar/data/746838/000074683896000001/0000746838-96-000001-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/746838/000103605001000142/0001036050-01-000142-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/746838/000119312505032226/0001193125-05-032226-index.htm,https://www.sec.gov/Archives/edgar/data/746838/000119312506038890/0001193125-06-038890-index.htm,https://www.sec.gov/Archives/edgar/data/746838/000119312507038291/0001193125-07-038291-index.htm,https://www.sec.gov/Archives/edgar/data/746838/000119312508043792/0001193125-08-043792-index.htm,https://www.sec.gov/Archives/edgar/data/746838/000119312509042668/0001193125-09-042668-index.htm,https://www.sec.gov/Archives/edgar/data/746838/000119312510038558/0001193125-10-038558-index.htm,https://www.sec.gov/Archives/edgar/data/746838/000119312511041209/0001193125-11-041209-index.htm,https://www.sec.gov/Archives/edgar/data/746838/000119312512078426/0001193125-12-078426-index.htm,https://www.sec.gov/Archives/edgar/data/746838/000119312513071504/0001193125-13-071504-index.htm,https://www.sec.gov/Archives/edgar/data/746838/000119312514063880/0001193125-14-063880-index.htm,https://www.sec.gov/Archives/edgar/data/746838/000119312515058367/0001193125-15-058367-index.htm,https://www.sec.gov/Archives/edgar/data/746838/000119312516483720/0001193125-16-483720-index.htm,https://www.sec.gov/Archives/edgar/data/746838/000074683817000008/0000746838-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/746838/000074683818000009/0000746838-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/746838/000074683819000051/0000746838-19-000051-index.htm,https://www.sec.gov/Archives/edgar/data/746838/000074683820000059/0000746838-20-000059-index.htm,https://www.sec.gov/Archives/edgar/data/746838/000074683821000014/0000746838-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/746838/000074683822000006/0000746838-22-000006-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
