,https://roic.ai/company/OFIX,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),- -,-800000,-300000,300000,-24700000,-4300000,-3900000,1700000,-2390000,38325000,-1668000,-2409000,-1269000,-4641000,35809000,-2534000,-23259000,-38086000,-23854000,-16592000,-11816000,-6282000,295000,-4680000,-748000,-2043000,-4420000,-7209000,-8265000,5898000,-5180000
20,Income Before Tax,- -,7500000,10300000,11900000,-17200000,2300000,7200000,17000000,20826000,61050000,28831000,40530000,39315000,50359000,95515000,6319000,14798000,-295035000,40021000,72398000,20703000,82728000,-4792000,12456000,8507000,19024000,36391000,22885000,-27049000,-368000,-13495000
21,Income Before Tax Ratio,- -,0.2679,0.3280,0.3005,-0.3289,0.0298,0.0800,0.1633,0.1717,0.4633,0.1776,0.2282,0.1930,0.1757,0.3049,0.0173,0.0302,-0.5677,0.0733,0.1283,0.0358,0.1789,-0.0120,0.0310,0.0215,0.0464,0.0839,0.0505,-0.0588,-0.0009,-0.0291
22,Income Tax expense (Gain),- -,1300000,2600000,2800000,2600000,2800000,4100000,2700000,7914000,16234000,7867000,12875000,14585000,16210000,22113000,13361000,3767000,-66481000,15549000,28190000,21776000,28792000,10116000,16200000,10849000,15527000,29100000,9074000,1413000,-2885000,24884000
23,Net Income,5000000,6200000,7700000,9100000,-19800000,-500000,3100000,14300000,12912000,44816000,20964000,25913000,24730000,34149000,73402000,-7042000,10968000,-228554000,24472000,44208000,-1073000,51295000,-25515000,-8537000,-2809000,3056000,6223000,13811000,-28462000,2517000,-38379000
24,Net Income ratio,0.2392,0.2214,0.2452,0.2298,-0.3786,-0.0065,0.0344,0.1374,0.1065,0.3401,0.1291,0.1459,0.1214,0.1191,0.2343,-0.0193,0.0224,-0.4398,0.0449,0.0783,-0.0019,0.1110,-0.0637,-0.0212,-0.0071,0.0075,0.0143,0.0305,-0.0619,0.0062,-0.0826
25,EPS,0.57,0.61,0.71,0.84,-1.78,-0.04,0.24,1.10,0.99,3.40,1.60,1.96,1.76,2.22,4.61,-0.44,0.66,-13.37,1.43,2.51,-0.06,2.70,-1.52,-0.46,-0.15,0.17,0.34,0.73,-1.51,0.13,-1.95
26,EPS Diluted,0.57,0.61,0.71,0.84,-1.78,-0.04,0.23,1.07,0.97,3.20,1.42,1.76,1.68,2.14,4.51,-0.44,0.64,-13.37,1.42,2.47,-0.06,2.64,-1.52,-0.46,-0.15,0.17,0.34,0.72,-1.51,0.13,-1.95
27,Weighted Average Shares Outstanding,8771930,10163934,10845070,10833333,11123596,12500000,12932807,12966830,13020320,13182789,13086467,13196524,14061447,15396540,15913475,16165540,16638873,17095416,17119474,17601956,18219343,18977263,18697228,18459054,18795194,18144019,18117405,18494002,18903289,19267920,19690593
28,Weighted Average Shares Outstanding Diluted,8771930,10163934,10845070,10833333,11123596,12500000,13211397,13291988,13364127,13986098,14737567,14685236,14681883,15974945,16288975,16165540,17047587,17095416,17202943,17913545,18219343,19390413,18697228,18459054,18795194,18463161,18498745,18911610,18903289,19391718,19690593
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/884624/000114036107005916/0001140361-07-005916-index.htm,https://www.sec.gov/Archives/edgar/data/884624/000114036108005446/0001140361-08-005446-index.htm,https://www.sec.gov/Archives/edgar/data/884624/000114036109006833/0001140361-09-006833-index.html,https://www.sec.gov/Archives/edgar/data/884624/000114036110009092/0001140361-10-009092-index.html,https://www.sec.gov/Archives/edgar/data/884624/000119312511055066/0001193125-11-055066-index.htm,https://www.sec.gov/Archives/edgar/data/884624/000110465912014637/0001104659-12-014637-index.html,https://www.sec.gov/Archives/edgar/data/884624/000119312513087561/0001193125-13-087561-index.html,https://www.sec.gov/Archives/edgar/data/884624/000119312514122624/0001193125-14-122624-index.htm,https://www.sec.gov/Archives/edgar/data/884624/000156459015003012/ofix-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/884624/000156459016013722/0001564590-16-013722-index.html,https://www.sec.gov/Archives/edgar/data/884624/000156459017002569/0001564590-17-002569-index.html,https://www.sec.gov/Archives/edgar/data/884624/000156459018003256/0001564590-18-003256-index.html,https://www.sec.gov/Archives/edgar/data/884624/000156459019004093/0001564590-19-004093-index.html,https://www.sec.gov/Archives/edgar/data/884624/000156459020006037/0001564590-20-006037-index.html,https://www.sec.gov/Archives/edgar/data/884624/000156459021009214/0001564590-21-009214-index.htm,https://www.sec.gov/Archives/edgar/data/884624/000156459022006929/0001564590-22-006929-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,15200000,17200000,20500000,7000000,3600000,4100000,7000000,9724000,50458000,34273000,48813000,33559000,25944000,63786000,25881000,25064000,14594000,13328000,13561000,33207000,31055000,30486000,36815000,63663000,39572000,81157000,69623000,69719000,96291000,87847000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,15200000,17200000,20500000,7000000,3600000,4100000,7000000,9724000,50458000,34273000,48813000,33559000,25944000,63786000,25881000,25064000,14594000,13328000,13561000,33207000,31055000,30486000,36815000,63663000,39572000,81157000,69623000,69719000,96291000,87847000
34,Net Receivables,- -,9200000,11200000,12800000,19700000,24000000,27000000,32700000,39755000,42203000,46111000,54654000,70690000,75321000,80745000,104662000,108900000,110720000,129777000,149121000,188075000,150316000,75567000,61358000,59839000,57848000,63437000,77747000,86805000,72423000,78560000
35,Inventory,- -,2300000,3400000,3600000,9300000,12300000,11900000,15800000,15633000,19179000,19249000,23471000,30713000,32895000,32853000,70395000,93952000,91185000,94624000,84589000,91247000,88744000,90577000,59846000,57563000,63346000,81330000,76847000,82397000,84635000,82974000
36,Other Current Assets,- -,2700000,1900000,2000000,6400000,4600000,5500000,8000000,10520000,13894000,12778000,10060000,12906000,28432000,29891000,33030000,52861000,58151000,61765000,64489000,92061000,70329000,83614000,98389000,31187000,33607000,25877000,20422000,21632000,17030000,20141000
37,Total Current Assets,- -,29400000,33700000,38900000,42400000,44500000,48500000,63500000,75632000,125734000,112411000,136998000,147868000,162592000,207275000,233968000,280777000,274650000,299494000,311760000,404590000,340444000,280244000,256408000,212252000,194373000,251801000,244639000,260553000,270379000,269522000
38,PP&E,- -,2200000,2100000,3500000,9400000,9500000,9000000,9100000,9568000,10124000,12580000,13841000,19169000,18326000,18987000,25311000,33444000,32660000,38694000,45535000,52124000,51362000,54606000,48549000,52306000,48916000,45139000,42835000,62727000,63613000,59252000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,313070000,319938000,182581000,185175000,176497000,179373000,74388000,53565000,53565000,53565000,53565000,53565000,72401000,71177000,84018000,71317000
40,Intangible Assets,- -,3200000,9000000,9500000,52100000,59000000,55500000,47500000,49060000,51448000,60824000,62995000,234123000,239956000,240323000,261159000,230305000,53546000,47628000,41457000,37515000,6880000,9046000,7152000,5302000,7461000,10461000,51897000,54139000,60517000,52666000
41,Intangible Assets,- -,3200000,9000000,9500000,52100000,59000000,55500000,47500000,49060000,51448000,60824000,62995000,234123000,239956000,240323000,574229000,550243000,236127000,232803000,217954000,216888000,81268000,62611000,60717000,58867000,61026000,64026000,124298000,125316000,144535000,123983000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4000000,4000000,4000000,2000000,345000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,371000,253000,- -,- -,- -,- -,- -,16773000,15683000,19137000,16175000,9662000,19904000,18336000,18541000,57306000,47325000,23315000,33228000,35117000,25042000,1771000
44,Other Non-Current Assets,- -,1700000,3300000,4800000,100000,100000,-100000,2300000,2462000,2757000,2846000,6940000,12019000,10226000,3276000,24777000,427000,95000,- -,12565000,12287000,11303000,7385000,8970000,19491000,20463000,21073000,21641000,11907000,22292000,22095000
45,Total Non-Current Assets,- -,7100000,14400000,17800000,61600000,68600000,64400000,58900000,61090000,64700000,76503000,83776000,265311000,268508000,266586000,628317000,604887000,286565000,290979000,292229000,290961000,163837000,142938000,136777000,187970000,177730000,153553000,222002000,235067000,255482000,207101000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,36500000,48100000,56700000,104000000,113100000,112900000,122400000,136722000,190434000,188914000,220774000,413179000,431100000,473861000,862285000,885664000,561215000,590473000,603989000,695551000,504281000,423182000,393185000,400222000,372103000,405354000,466641000,495620000,525861000,476623000
48,Accounts Payable,- -,2600000,2400000,2900000,5800000,6300000,6300000,7800000,7228000,7900000,7872000,7562000,11569000,9507000,11602000,26051000,24715000,23865000,23302000,19796000,20105000,21812000,20674000,13223000,16391000,14353000,18111000,17989000,19886000,23118000,26459000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11135000,10133000,15266000,3412000,12047000,5236000,5541000,11312000,18818000,16000,- -,- -,- -,- -,- -,- -,- -,16000,4424000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4655000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25042000,- -
52,Other Current Liabilities,- -,3900000,6400000,5500000,20500000,22200000,24000000,18200000,21178000,35634000,30180000,29564000,30236000,25745000,51208000,31577000,36544000,45894000,59210000,52418000,136489000,46969000,46146000,53220000,65597000,69088000,61295000,67919000,64997000,55723000,74947000
53,Total Current Liabilities,- -,6500000,8800000,8400000,26300000,28500000,30300000,26000000,28406000,43534000,38052000,37126000,52940000,45385000,78076000,61040000,73306000,74995000,88053000,83526000,175412000,68797000,66820000,66443000,81988000,83441000,79406000,85908000,84883000,103899000,105830000
54,Long-Term Debt,- -,700000,1100000,1000000,14300000,12900000,9400000,4200000,5379000,854000,840000,44000,99072000,67249000,21000,312055000,294588000,277533000,249132000,208695000,191195000,20000000,20000000,- -,- -,- -,- -,- -,- -,- -,19890000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,600000,600000,900000,1400000,1700000,1300000,1500000,1763000,1173000,1236000,2202000,16642000,17555000,25652000,95019000,75908000,4509000,6115000,8102000,9777000,11456000,13132000,229000,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,300000,300000,300000,500000,2300000,2100000,4500000,3975000,3359000,3357000,3451000,3749000,3739000,1227000,1536000,7922000,2117000,6904000,2775000,3996000,4930000,12736000,26886000,27923000,25185000,29340000,45336000,83106000,65098000,13969000
58,Total Non-Current Liabilities,- -,1600000,2000000,2200000,16200000,16900000,12800000,10200000,11117000,5386000,5433000,5697000,119463000,88543000,26900000,408610000,378418000,284159000,262151000,219572000,204968000,36386000,45868000,27115000,27923000,25185000,29340000,45336000,83106000,65098000,33859000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22846000,24940000,24314000
61,Total Liabilities,- -,8100000,10800000,10600000,42500000,45400000,43100000,36200000,39523000,48920000,43485000,42823000,172403000,133928000,104976000,469650000,451724000,359154000,350204000,303098000,380380000,105183000,112688000,93558000,109911000,108626000,108746000,131244000,167989000,168997000,139689000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,1337000,1366000,1384000,1384000,1498000,1572000,1602000,1645000,1704000,1710000,1714000,1772000,1846000,1934000,1810000,1861000,1866000,1783000,1828000,1858000,1902000,1942000,1983000
64,Retained Earnings,- -,4800000,12500000,21500000,1700000,1200000,43100000,18600000,31501000,76317000,97281000,123194000,147924000,182073000,255475000,248433000,258201000,29647000,54119000,98327000,97254000,148549000,89332000,65360000,62551000,64179000,70402000,87078000,57749000,59379000,21000000
65,Other Comprehensive Income/Loss,- -,-1800000,-2200000,-2700000,-3400000,-5000000,-6400000,-9100000,-14915000,-11193000,-15104000,-19737000,-26068000,-33074000,5000000,14000000,17000000,3000000,7000000,5000000,4000000,5000000,4000000,-101023000,-6000000,-7000000,4000000,3000000,-3000000,3252000,- -
66,Other Total Stockholders Equity,- -,25000000,24900000,24800000,60400000,67700000,28400000,69200000,71647000,66498000,54541000,63243000,117422000,146601000,106808000,128557000,157035000,167704000,177436000,195792000,212071000,243615000,215352000,333429000,231894000,204515000,220378000,243461000,270980000,292291000,- -
67,Total Stockholders Equity,- -,28000000,35200000,43600000,58700000,63900000,65100000,78700000,89570000,132988000,138102000,168084000,240776000,297172000,368885000,392635000,433940000,202061000,240269000,300891000,315171000,399098000,310494000,299627000,290311000,263477000,296608000,335397000,327631000,356864000,336934000
68,Total Liabilities And Stockholders Equity,- -,36100000,46000000,54200000,101200000,109300000,108200000,114900000,129093000,181908000,181587000,210907000,413179000,431100000,473861000,862285000,885664000,561215000,590473000,603989000,695551000,504281000,423182000,393185000,400222000,372103000,405354000,466641000,495620000,525861000,476623000
69,Minority Interest,- -,400000,2100000,2500000,2800000,3800000,4700000,7500000,7629000,8526000,7327000,9867000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,36500000,48100000,56700000,104000000,113100000,112900000,122400000,136722000,190434000,188914000,220774000,413179000,431100000,473861000,862285000,885664000,561215000,590473000,603989000,695551000,504281000,423182000,393185000,400222000,372103000,405354000,466641000,495620000,525861000,476623000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/884624/000114036107005916/0001140361-07-005916-index.htm,https://www.sec.gov/Archives/edgar/data/884624/000114036108005446/0001140361-08-005446-index.htm,https://www.sec.gov/Archives/edgar/data/884624/000114036109006833/0001140361-09-006833-index.html,https://www.sec.gov/Archives/edgar/data/884624/000114036110009092/0001140361-10-009092-index.html,https://www.sec.gov/Archives/edgar/data/884624/000119312511055066/0001193125-11-055066-index.htm,https://www.sec.gov/Archives/edgar/data/884624/000110465912014637/0001104659-12-014637-index.html,https://www.sec.gov/Archives/edgar/data/884624/000119312513087561/0001193125-13-087561-index.html,https://www.sec.gov/Archives/edgar/data/884624/000119312514122624/0001193125-14-122624-index.htm,https://www.sec.gov/Archives/edgar/data/884624/000156459015003012/ofix-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/884624/000156459016013722/0001564590-16-013722-index.html,https://www.sec.gov/Archives/edgar/data/884624/000156459017002569/0001564590-17-002569-index.html,https://www.sec.gov/Archives/edgar/data/884624/000156459018003256/0001564590-18-003256-index.html,https://www.sec.gov/Archives/edgar/data/884624/000156459019004093/0001564590-19-004093-index.html,https://www.sec.gov/Archives/edgar/data/884624/000156459020006037/0001564590-20-006037-index.html,https://www.sec.gov/Archives/edgar/data/884624/000156459021009214/0001564590-21-009214-index.htm,https://www.sec.gov/Archives/edgar/data/884624/000156459022006929/0001564590-22-006929-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,6200000,7700000,9100000,-19800000,-500000,3100000,14300000,12912000,44816000,20964000,25913000,24730000,34149000,73402000,-7042000,10968000,-228554000,24472000,44208000,-1073000,51295000,-25515000,-8537000,-2809000,3056000,6223000,13811000,-28462000,2517000,-38379000
74,Depreciation and Amortization,- -,800000,700000,1100000,2200000,6200000,6500000,6500000,6833000,7379000,7950000,5829000,6949000,15080000,17533000,16958000,32334000,32683000,22344000,22521000,22776000,20261000,22659000,22878000,20923000,20841000,20124000,18659000,24699000,34276000,33095000
75,Deferred Income Tax,- -,600000,500000,200000,300000,300000,-200000,-5000000,-169000,962000,-381000,1092000,131000,-3874000,-1533000,-12363000,-12168000,-79158000,-4409000,178000,-801000,871000,-1191000,-7053000,-1156000,10460000,21286000,-2661000,1393000,10787000,24482000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10752000,8138000,6648000,6303000,6267000,5724000,7214000,15966000,12557000,18930000,21540000,16207000,15432000
77,Change in Working Capital,- -,-4700000,2000000,5600000,-14400000,-100000,2200000,19300000,9726000,34974000,-7841000,25513000,-4944000,22279000,11992000,43729000,34543000,-7816000,11786000,16793000,944000,42469000,-58223000,-23459000,-59701000,-19332000,61463000,-13664000,16939000,-9190000,-18103000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-23858000,-14770000,-25818000,-31600000,25747000,6138000,-1547000,392000,-6562000,-3706000,-11037000,13283000,-7049000
79,Inventory,- -,-400000,-700000,100000,-2600000,-3000000,-500000,-3600000,-1003000,-2348000,-380000,-3790000,-435000,-882000,-1498000,-12867000,-22745000,-13731000,-8941000,-222000,-13812000,-6692000,-6626000,8109000,3136000,-5284000,-15645000,9698000,-5712000,-873000,619000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1310000,-2863000,576000,5554000,-2280000,-6451000,3011000,-1771000,2324000,-170000,2138000,2532000,4253000
81,Other Working Capital,- -,22900000,24900000,30500000,16100000,16000000,18200000,37500000,47226000,82200000,74359000,99872000,94928000,117207000,129199000,172928000,207471000,199655000,211441000,228234000,229178000,271647000,213424000,189965000,130264000,110932000,172395000,158731000,175670000,166480000,-14105000
82,Other Non-Cash Items,- -,300000,-1100000,-7200000,36400000,-3700000,-7000000,-29100000,-20852000,-31822000,-1824000,-29043000,4923000,-40149000,5279000,-33111000,-44181000,309615000,-14975000,-49330000,36287000,-109993000,122884000,61405000,78753000,13716000,-68312000,14843000,-4076000,19675000,1948000
83,Cash Provided by Operating Activities,- -,3200000,9800000,8800000,4700000,2200000,4600000,6000000,8450000,56309000,18868000,29304000,31789000,27485000,106673000,8171000,21496000,26770000,49970000,42508000,64781000,11206000,66881000,50958000,43224000,44707000,53341000,49918000,32033000,74272000,18475000
84,CAPEX,- -,-600000,-700000,-2500000,-2900000,-3200000,-3400000,-3400000,-5446000,-5582000,-6769000,-7130000,-5238000,-12243000,-12248000,-12613000,-27229000,-20192000,-21998000,-26361000,-25758000,-28774000,-29678000,-18525000,-27899000,-18334000,-16948000,-15256000,-20524000,-17094000,-19592000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-342000000,- -,6000000,- -,24000000,-5000000,154000000,- -,- -,- -,- -,- -,-44000000,- -,-18000000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-400000,- -,- -,-8957000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1457000,-15250000,-3613000,- -,- -,- -,-10000000,-2171000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1711000,- -,- -,- -,- -,32000,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-1800000,-6800000,-1900000,-32000000,-500000,100000,12200000,-5348000,-7289000,1084000,-9626000,-150218000,819000,- -,-290000,-3142000,249000,-3083000,-302000,-26008000,-29001000,-29678000,-18525000,-23099000,-18334000,-16474000,-16998000,-22924000,-8849000,-20842000
89,Cash Used for Investing Activites,- -,-2400000,-7500000,-4400000,-34900000,-3700000,-3300000,8400000,-10794000,-12871000,-14642000,-16756000,-155456000,-11424000,-12248000,-354903000,-30371000,-13943000,-22287000,-2146000,-31008000,124999000,-29678000,-19950000,-38349000,-21947000,-16474000,-60998000,-22924000,-52334000,-23013000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-28323000,-36269000,-10061000,-188695000,-16000,-20000000,- -,- -,- -,- -,-365000,-100323000,-537000
91,Common Stock Issued,- -,21000000,100000,100000,1200000,200000,400000,500000,669000,2847000,1773000,20457000,11705000,12247000,6471000,11507000,15053000,1734000,70000,7854000,20113000,25586000,3450000,10462000,3704000,19720000,7783000,7100000,11551000,7598000,8824000
92,Common Stock Repurchased,- -,- -,- -,-1200000,- -,- -,- -,-2100000,-681000,-2058000,-16456000,-21886000,-4395000,- -,- -,- -,- -,- -,-220000,- -,- -,- -,-39494000,- -,-11575000,-63425000,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-6700000,-300000,-100000,15600000,-2100000,-1200000,-10100000,5167000,-3043000,-4974000,1116000,99314000,-34355000,-62085000,296317000,-7366000,-24051000,-870000,-11611000,-23716000,24502000,-2293000,-10456000,32985000,-2407000,-4245000,-4107000,-21874000,95970000,-11908000
95,Cash Used/Provided by Financing Activities,- -,14300000,-200000,-1200000,16800000,-1900000,-800000,-11700000,5155000,-2254000,-19657000,-313000,106624000,-22108000,-55614000,307824000,7687000,-22317000,-29343000,-40026000,-13664000,-138607000,-38353000,-19994000,25114000,-46112000,3538000,2993000,-10688000,3245000,-3621000
