,https://roic.ai/company/CPRT,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,3700000,11400000,18200000,19500000,24900000,35200000,47974000,71043700,93657600,94167100,130296500,165069000,174522000,217421000,249650000,227732000,239495000,263877000,278056000,276872000,270035000,332069000,395865000,440100000,562511000,704951000,800839000,1121846000
21,Income Before Tax Ratio,0.1623,0.1962,0.1540,0.1544,0.2180,0.2482,0.2524,0.2798,0.2960,0.2710,0.3251,0.3611,0.3302,0.3878,0.3181,0.3065,0.3099,0.3025,0.3009,0.2646,0.2321,0.2897,0.3121,0.3039,0.3115,0.3452,0.3631,0.4167
22,Income Tax expense (Gain),1500000,4500000,7000000,7500000,9700000,13200000,18544900,28358700,36268400,36944900,51076200,62953000,61862000,81083000,92718000,88186000,87868000,97502000,95937000,96847000,91348000,112286000,125505000,45839000,144504000,113258000,100932000,185351000
23,Net Income,600000,6900000,11200000,12000000,15200000,22000000,29429100,42685000,57389200,57222200,79220300,102116000,96947000,136338000,156932000,141103000,151627000,166375000,182119000,180025000,178687000,219783000,270360000,394227000,417867000,591693000,699907000,936495000
24,Net Income ratio,0.0263,0.1188,0.0948,0.0950,0.1331,0.1551,0.1549,0.1681,0.1813,0.1647,0.1977,0.2234,0.1834,0.2432,0.2000,0.1899,0.1962,0.1907,0.1971,0.1720,0.1536,0.1918,0.2131,0.2723,0.2314,0.2898,0.3173,0.3478
25,EPS,0.01,0.03,0.04,0.04,0.05,0.07,0.09,0.13,0.16,0.16,0.22,0.28,0.27,0.38,0.45,0.42,0.45,0.55,0.71,0.72,0.71,0.88,1.18,1.72,1.80,2.57,3.00,3.96
26,EPS Diluted,0.00,0.03,0.04,0.04,0.05,0.07,0.09,0.13,0.16,0.15,0.22,0.28,0.26,0.36,0.44,0.41,0.45,0.54,0.69,0.69,0.68,0.83,1.10,1.66,1.73,2.46,2.93,3.90
27,Weighted Average Shares Outstanding,179910045,229885057,317175264,318160968,316351200,320251200,323404800,329358000,354870400,365630400,357827200,360648000,361488000,362604000,349648000,334148000,336660000,302596000,256240000,249824000,251386000,251828000,228846000,228686000,231793000,230489000,233202000,236252000
28,Weighted Average Shares Outstanding Diluted,179910045,243407708,317175264,318160968,322792800,330828000,333159623,338457600,365004000,372071200,366148800,371936000,371700000,373820000,359432000,339076000,340108000,306704000,262856000,259562000,262460000,262850000,244294000,237019000,241877000,240453000,238656000,240290000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/900075/000091205701534314/0000912057-01-534314-index.htm,https://www.sec.gov/Archives/edgar/data/900075/000091205702040105/0000912057-02-040105-index.htm,https://www.sec.gov/Archives/edgar/data/900075/000104746903033615/0001047469-03-033615-index.htm,https://www.sec.gov/Archives/edgar/data/900075/000095013404015006/0000950134-04-015006-index.htm,https://www.sec.gov/Archives/edgar/data/900075/000110465905048573/0001104659-05-048573-index.htm,https://www.sec.gov/Archives/edgar/data/900075/000110465906069980/0001104659-06-069980-index.htm,https://www.sec.gov/Archives/edgar/data/900075/000110465907072450/0001104659-07-072450-index.htm,https://www.sec.gov/Archives/edgar/data/900075/000104746908010447/0001047469-08-010447-index.htm,https://www.sec.gov/Archives/edgar/data/900075/000104746909008622/0001047469-09-008622-index.htm,https://www.sec.gov/Archives/edgar/data/900075/000104746910008242/0001047469-10-008242-index.htm,https://www.sec.gov/Archives/edgar/data/900075/000114544311000951/0001145443-11-000951-index.htm,https://www.sec.gov/Archives/edgar/data/900075/000114544312001120/0001145443-12-001120-index.htm,https://www.sec.gov/Archives/edgar/data/900075/000114544313001938/0001145443-13-001938-index.htm,https://www.sec.gov/Archives/edgar/data/900075/000114544314001196/0001145443-14-001196-index.htm,https://www.sec.gov/Archives/edgar/data/900075/000162828015007286/0001628280-15-007286-index.htm,https://www.sec.gov/Archives/edgar/data/900075/000090007516000081/0000900075-16-000081-index.htm,https://www.sec.gov/Archives/edgar/data/900075/000090007517000044/0000900075-17-000044-index.htm,https://www.sec.gov/Archives/edgar/data/900075/000090007518000048/0000900075-18-000048-index.htm,https://www.sec.gov/Archives/edgar/data/900075/000090007519000022/0000900075-19-000022-index.htm,https://www.sec.gov/Archives/edgar/data/900075/000090007520000021/0000900075-20-000021-index.htm,https://www.sec.gov/Archives/edgar/data/900075/000090007521000022/0000900075-21-000022-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,13000000,27700000,15700000,37000000,12164900,15245200,132690000,116746400,178320100,252548000,126590000,98365000,38954000,162691000,268188000,74009000,140112000,63631000,158668000,456012000,155849000,210100000,274520000,186319000,477718000,1048260000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,148725000,102625000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,13000000,27700000,15700000,37000000,12164900,15245200,132690000,116746400,178320100,252548000,275315000,200990000,38954000,162691000,268188000,74009000,140112000,63631000,158668000,456012000,155849000,210100000,274520000,186319000,477718000,1048260000
34,Net Receivables,- -,- -,30000000,31300000,32800000,37500000,52509600,64907300,64071900,75570800,81632700,91323000,102023000,113103000,130746000,114674000,120019000,128004000,141278000,192130000,199273000,221788000,285021000,318264000,366913000,386791000,376947000,500640000
35,Inventory,- -,- -,1500000,300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,5999000,5334000,4667000,4976000,8016000,8494000,10736000,7259000,8613000,10388000,10163000,16734000,20941000,20080000,44968000
36,Other Current Assets,- -,- -,12800000,12000000,26500000,14800000,26740000,30366500,29230500,33449000,33158100,32257000,34012000,34360000,37719000,33901000,44232000,31839000,32409000,39955000,47091000,48169000,48048000,48734000,50949000,93116000,89014000,108743000
37,Total Current Assets,- -,- -,57300000,71300000,75000000,89300000,91414500,110519000,225992400,225766200,293110900,376128000,411350000,354452000,212753000,315933000,437415000,241868000,322293000,306452000,412291000,734582000,499306000,587261000,709116000,687167000,963759000,1702611000
38,PP&E,- -,- -,26200000,28800000,37600000,51600000,80514200,114997600,197768700,244361100,257666900,292949000,341943000,420664000,510340000,530886000,573514000,600388000,587163000,677517000,692383000,700402000,816791000,944056000,1163425000,1427726000,2060174000,2416111000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,102920100,- -,- -,- -,112291000,161645000,177164000,166327000,175870000,198620000,196438000,267463000,283780000,271850000,260198000,340243000,337235000,333321000,343622000,355717000
40,Intangible Assets,- -,- -,74600000,75300000,78400000,77800000,90395600,87379100,9166400,116973100,115631900,118313000,1874000,27442000,21901000,15212000,13016000,12748000,7985000,17706000,25242000,17857000,11761000,75938000,64892000,55156000,47772000,45873000
41,Intangible Assets,- -,- -,74600000,75300000,78400000,77800000,90395600,87379100,112086500,116973100,115631900,118313000,114165000,189087000,199065000,181539000,188886000,211368000,204423000,285169000,309022000,289707000,271959000,416181000,402127000,388477000,391394000,401590000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21915000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5137000,7785000,2319000,7759000,10213000,9425000,22280000,30117000,36721000,28840000,23506000,1287000,470000,411000,213000,- -
44,Other Non-Current Assets,- -,- -,- -,-100000,-100000,- -,- -,3739000,- -,- -,6613400,6138000,22110000,33356000,31770000,- -,18784000,21387000,18907000,35226000,56387000,46421000,38258000,33716000,32560000,43836000,39721000,41831000
45,Total Non-Current Assets,- -,- -,100800000,104000000,115900000,129400000,170909800,206115700,309855200,361334200,379912200,417400000,483355000,650892000,743494000,742099000,791397000,842568000,832773000,1028029000,1094513000,1065370000,1150514000,1395240000,1598582000,1860450000,2491502000,2859532000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,158100000,175300000,190900000,218700000,262324300,316634700,535847600,587100400,673023100,793528000,894705000,1005344000,956247000,1058032000,1228812000,1084436000,1155066000,1334481000,1506804000,1799952000,1649820000,1982501000,2307698000,2547617000,3455261000,4562143000
48,Accounts Payable,- -,- -,10400000,11800000,11700000,16600000,19984500,18398100,31893400,38309200,44079700,56965000,60644000,85082000,88883000,82773000,55293000,54555000,52506000,70561000,62213000,57517000,76953000,71160000,133717000,113947000,132919000,163237000
49,Short-Term Debt,- -,- -,800000,1900000,600000,300000,7842300,302900,324500,91200,7300,- -,- -,- -,17502000,- -,- -,50370000,75170000,92338000,79674000,53671000,76151000,82155000,1151000,1138000,25572000,22472000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5269000,1314000,3543000,3082000,4741000,8284000,8279000,5625000,6472000,673000,3482000,20745000,18713000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,8863100,8352000,9707500,9720700,12477000,15372000,13897000,14518000,13165000,10642000,5636000,5390000,30216000,32287000,37595000,45128000,55622000,66931000,79887000,97253000,126342000
52,Other Current Liabilities,- -,- -,5500000,8700000,7900000,7700000,9545400,13543700,6476500,6075800,9415500,10669000,7317000,7623000,7349000,7646000,41289000,56065000,54319000,45444000,70110000,64343000,80551000,93216000,75457000,87032000,100300000,108980000
53,Total Current Liabilities,- -,- -,16700000,22400000,20200000,24600000,37372200,41107800,47046400,54183700,63223200,80111000,83333000,106602000,128252000,103584000,107224000,166626000,187385000,238559000,244284000,213126000,278783000,302153000,277256000,282004000,356044000,421031000
54,Long-Term Debt,- -,- -,10500000,7800000,7800000,7600000,712200,409200,84700,16200,8900,- -,- -,- -,- -,- -,- -,325386000,368950000,296410000,223227000,592135000,564341000,550883000,398747000,400091000,492620000,495597000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,600000,1000000,1100000,800000,2834300,4553000,1063100,6013900,6354800,2878000,- -,13998000,14044000,31263000,33117000,10057000,7186000,8071000,7372000,5322000,3816000,3192000,19733000,48683000,71686000,63969000
57,Other Non-Current Liabilities,- -,- -,4100000,1300000,1600000,1700000,1515200,1412300,1436400,1247100,1172900,1160000,1402000,3878000,14955000,1726000,1237000,27195000,30428000,29040000,28422000,24905000,28424000,27673000,30863000,38458000,45395000,52345000
58,Total Non-Current Liabilities,- -,- -,15200000,10100000,10500000,10100000,5061700,6374500,2584200,7277200,7536600,4038000,1402000,17876000,28999000,32989000,34354000,362638000,406564000,333521000,259021000,622362000,596581000,581748000,449343000,487232000,609701000,611911000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,121156000,120433000
61,Total Liabilities,- -,- -,31900000,32500000,30700000,34700000,42433900,47482300,49630600,61460900,70759800,84149000,84735000,124478000,157251000,136573000,141578000,529264000,593949000,572080000,503305000,835488000,875364000,883901000,726599000,769236000,965745000,1032942000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,115000000,121515000,128092000,287767400,269967700,267276000,272017000,- -,- -,- -,- -,- -,- -,12000,13000,13000,12000,11000,23000,23000,23000,24000,24000
64,Retained Earnings,- -,- -,19800000,31800000,47000000,68900000,98375400,141060400,198449600,255671800,334892100,437008000,533955000,670293000,481490000,614101000,754468000,264457000,272961000,440780000,619004000,625437000,491194000,745370000,1162146000,1338328000,1937853000,2868203000
65,Other Comprehensive Income/Loss,- -,- -,-7200000,-9600000,-13200000,-19000000,-25615000,-34199000,-47774300,-69624500,95200,354000,-37000,4447000,833000,-27082000,-32741000,-23225000,-38043000,-47161000,-20060000,-68793000,-109194000,-100676000,-107928000,-132529000,-121088000,-100860000
66,Other Total Stockholders Equity,- -,- -,113600000,120600000,126400000,19100000,25615000,34199000,47774300,69624500,- -,- -,408895000,206573000,316506000,334358000,365766000,313715000,326187000,368769000,404542000,407808000,392445000,453349000,526858000,572559000,672727000,761834000
67,Total Stockholders Equity,- -,- -,126200000,142800000,160200000,184000000,219890400,269152400,486217000,525639500,602263300,709379000,809970000,880866000,798996000,921459000,1087234000,555172000,561117000,762401000,1003499000,964464000,774456000,1098066000,1581099000,1778381000,2489516000,3529201000
68,Total Liabilities And Stockholders Equity,- -,- -,158100000,175300000,190900000,218700000,262324300,316634700,535847600,587100400,673023100,793528000,894705000,1005344000,956247000,1058032000,1228812000,1084436000,1155066000,1334481000,1506804000,1799952000,1649820000,1981967000,2307698000,2547617000,3455261000,4562143000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,534000,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,158100000,175300000,190900000,218700000,262324300,316634700,535847600,587100400,673023100,793528000,894705000,1005344000,956247000,1058032000,1228812000,1084436000,1155066000,1334481000,1506804000,1799952000,1649820000,1982501000,2307698000,2547617000,3455261000,4562143000
71,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/900075/000091205701534314/0000912057-01-534314-index.htm,https://www.sec.gov/Archives/edgar/data/900075/000091205702040105/0000912057-02-040105-index.htm,https://www.sec.gov/Archives/edgar/data/900075/000104746903033615/0001047469-03-033615-index.htm,https://www.sec.gov/Archives/edgar/data/900075/000095013404015006/0000950134-04-015006-index.htm,https://www.sec.gov/Archives/edgar/data/900075/000110465905048573/0001104659-05-048573-index.htm,https://www.sec.gov/Archives/edgar/data/900075/000110465906069980/0001104659-06-069980-index.htm,https://www.sec.gov/Archives/edgar/data/900075/000110465907072450/0001104659-07-072450-index.htm,https://www.sec.gov/Archives/edgar/data/900075/000104746908010447/0001047469-08-010447-index.htm,https://www.sec.gov/Archives/edgar/data/900075/000104746909008622/0001047469-09-008622-index.htm,https://www.sec.gov/Archives/edgar/data/900075/000104746910008242/0001047469-10-008242-index.htm,https://www.sec.gov/Archives/edgar/data/900075/000114544311000951/0001145443-11-000951-index.htm,https://www.sec.gov/Archives/edgar/data/900075/000114544312001120/0001145443-12-001120-index.htm,https://www.sec.gov/Archives/edgar/data/900075/000114544313001938/0001145443-13-001938-index.htm,https://www.sec.gov/Archives/edgar/data/900075/000114544314001196/0001145443-14-001196-index.htm,https://www.sec.gov/Archives/edgar/data/900075/000162828015007286/0001628280-15-007286-index.htm,https://www.sec.gov/Archives/edgar/data/900075/000090007516000081/0000900075-16-000081-index.htm,https://www.sec.gov/Archives/edgar/data/900075/000090007517000044/0000900075-17-000044-index.htm,https://www.sec.gov/Archives/edgar/data/900075/000090007518000048/0000900075-18-000048-index.htm,https://www.sec.gov/Archives/edgar/data/900075/000090007519000022/0000900075-19-000022-index.htm,https://www.sec.gov/Archives/edgar/data/900075/000090007520000021/0000900075-20-000021-index.htm,https://www.sec.gov/Archives/edgar/data/900075/000090007521000022/0000900075-21-000022-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,600000,6900000,11200000,12000000,15200000,22000000,29429100,42685000,57389200,57222200,79220300,102116000,96947000,136338000,156932000,141103000,151627000,166375000,182119000,180025000,178687000,219783000,270360000,394227000,417867000,591693000,699907000,936495000
74,Depreciation and Amortization,1700000,3400000,6000000,7500000,7800000,9800000,11479000,14350000,16308200,25545000,30808300,31296000,31456000,37089000,42804000,41354000,43242000,45694000,48167000,56728000,53726000,48893000,49643000,57441000,79040000,85334000,104257000,123084000
75,Deferred Income Tax,-100000,- -,-300000,400000,-100000,-700000,1312800,772000,2811500,7205900,-122200,-5620000,-4120000,-8948000,5690000,-2393000,-4512000,-2099000,-17579000,-3605000,-10838000,4365000,5740000,19901000,16717000,23167000,23082000,-7951000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9413000,17955000,19007000,21791000,19557000,22099000,18154000,20864000,20840000,23221000,23445000,23322000,40922000
77,Change in Working Capital,-400000,- -,40600000,8300000,5900000,9900000,-10657700,15368900,109534800,-7363500,58305200,66129300,32000000,-80167000,-163349000,127848000,117842000,-254949000,59666000,-67015000,100114000,353449000,-300933000,64585000,146752000,-26697000,202552000,-95818000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,982000,2436000,-12865000,-16202000,-31171000,-12870000,-20417000,-54213000,-38542000,-40335000,-60808000,15993000,-127513000
79,Inventory,- -,-3200000,1800000,1200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1361000,1489000,-54000,-256000,-2666000,-218000,-1777000,4012000,-1731000,-2509000,1294000,-3959000,-4719000,1348000,-24602000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14749000,5425000,-3926000,48347000,4269000,53320000,11126000,41648000,44613000
81,Other Working Capital,- -,- -,40600000,48900000,54800000,64700000,54042300,69411200,178946000,171582500,229887700,296017000,328017000,247850000,84501000,212349000,330191000,75242000,134908000,67893000,168007000,521456000,220523000,285108000,431860000,405163000,607715000,-11125000
82,Other Non-Cash Items,2900000,-5100000,-46200000,-3600000,-6900000,-10300000,-5368000,-16277500,-104052500,-3529700,-53010300,-57930300,-14339000,97741000,151986000,-113986000,-126747000,268904000,-64491000,13636000,-81194000,-379568000,286824000,-64936000,-148528000,-50296000,-135235000,-5841000
83,Cash Provided by Operating Activities,4700000,5200000,11300000,24600000,21900000,30700000,26195200,56898400,81991200,79079900,115201300,135991000,141944000,182053000,194063000,203339000,199407000,242932000,229673000,199326000,262594000,265076000,332498000,492058000,535069000,646646000,917885000,990891000
84,CAPEX,-2400000,-9900000,-8600000,-7800000,-12200000,-20700000,-37022400,-45932400,-85937000,-70721300,-64551400,-66258000,-117687000,-196861000,-113364000,-78912000,-75840000,-70170000,-54832000,-130265000,-81510000,-79153000,-173917000,-172178000,-287910000,-373883000,-591972000,-462996000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-5099000,-8561100,-6604000,-4733000,-4543000,-2325000,- -,-38229000,- -,-21362000,-34912000,-2564000,-84022000,-14300000,-4500000,- -,-164378000,-6991000,-745000,-11702000,-5000000
86,Purchases of Investments,- -,- -,- -,- -,-13100000,- -,- -,- -,- -,- -,- -,-755420000,-726012000,-921750000,-154360000,- -,- -,- -,- -,- -,- -,- -,-21119000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,13100000,- -,- -,- -,- -,- -,928020000,568395000,967850000,266131000,- -,- -,- -,- -,- -,- -,- -,21498000,- -,- -,- -,- -,- -
88,Other Investing Activites,-10700000,-33300000,-3800000,-3300000,-9300000,-2600000,-17707100,1367800,1388400,808700,19948300,5649000,9714000,15200000,7222000,19008000,1177000,20602000,11873000,6266000,3707000,1738000,662000,765000,6425000,18361000,2466000,2530000
89,Cash Used for Investing Activites,-13100000,-43200000,-12400000,-11100000,-34600000,-10200000,-54729500,-49663600,-93109700,-76516600,-49336100,107448000,-267915000,-135561000,-32600000,-59904000,-96025000,-84480000,-48087000,-208021000,-92103000,-81915000,-172876000,-335791000,-288476000,-356267000,-601208000,-465466000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17502000,- -,-25000000,-56250000,-96660000,-75000000,-350000000,-337500000,-7000000,-231000000,- -,-1065000,-1118000
91,Common Stock Issued,32200000,34300000,900000,2400000,2100000,1400000,2917000,3687900,128866200,2269900,6427600,3235000,7061000,12407000,14386000,1942000,2044000,1957000,1957000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20447300,-10723100,- -,-8873000,-89579000,-269251000,-9769000,-12706000,-739638000,-203285000,-15009000,-572000,-237306000,-457894000,- -,- -,-364997000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-7700000,-400000,-500000,-1200000,-1300000,-600000,734400,-7842400,-302900,-329500,-91200,- -,2317000,1787000,25188000,7689000,11928000,408606000,142705000,45778000,-1251000,707668000,346898000,-99975000,48962000,-5307000,-26349000,42040000
95,Cash Used/Provided by Financing Activities,24500000,33900000,400000,1200000,800000,800000,3651400,-4154500,128563300,-18506900,-4386700,3235000,505000,-75385000,-229677000,-17640000,1266000,-354075000,-114873000,-65891000,-76823000,120362000,-448496000,-106975000,-182038000,-370304000,-27414000,40922000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,95200,154000,-492000,668000,-453000,-2058000,849000,1444000,-610000,-1895000,1369000,-6179000,-11289000,4959000,-135000,-8276000,2136000,4195000
97,Net Change In Cash,24500000,33900000,400000,1200000,800000,21300000,-24882900,3080300,117444800,-15943600,61573700,246828000,-125958000,-28225000,-68667000,123737000,105497000,-194179000,66103000,-76481000,95037000,297344000,-300163000,54251000,64420000,-88201000,291399000,570542000
98,Cash at the End of Period,- -,- -,- -,- -,- -,37000000,12164900,15245200,132690000,116746400,178320100,252548000,126590000,98365000,38954000,162691000,268188000,74009000,140112000,63631000,158668000,456012000,155849000,210100000,274520000,186319000,477718000,1048260000
99,Cash at the Beginning of Period,1800000,17900000,13800000,13000000,27700000,15700000,37047800,12164900,15245200,132690000,116746400,5720000,252548000,126590000,107621000,38954000,162691000,268188000,74009000,140112000,63631000,158668000,456012000,155849000,210100000,274520000,186319000,477718000
100,Free Cash Flow,2300000,-4700000,2700000,16800000,9700000,10000000,-10827200,10966000,-3945800,8358600,50649900,69733000,24257000,-14808000,80699000,124427000,123567000,172762000,174841000,69061000,181084000,185923000,158581000,319880000,247159000,272763000,325913000,527895000
