,https://roic.ai/company/UNH,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
14,Depreciation and Amortization,1600000,3500000,7800000,8300000,-7800000,-10600000,-14300000,-31100000,-50300000,64079000,94458000,133166000,146000000,185000000,233000000,247000000,265000000,255000000,299000000,374000000,453000000,670000000,796000000,981000000,991000000,1064000000,1124000000,1309000000,1375000000,1478000000,1693000000,2055000000,2245000000,2428000000,2720000000,2891000000,3103000000
15,EBITDA,5700000,16000000,-11300000,-26500000,13700000,40900000,99200000,144900000,254100000,1907115000,550627000,713401000,888000000,139000000,1127000000,1402000000,1737000000,2351000000,3234000000,4475000000,5826000000,7654000000,8101000000,6244000000,7350000000,8928000000,9588000000,10563000000,10950000000,11752000000,12659000000,14929000000,17189000000,19376000000,22005000000,24930000000,26626000000
16,EBITDA ratio,0.0563,0.0752,-0.0260,-0.0611,0.0333,0.0675,0.1171,0.1005,0.1005,0.5060,0.0971,0.0708,0.0753,0.0080,0.0576,0.0664,0.0741,0.0940,0.1132,0.1215,0.1299,0.1083,0.1074,0.0776,0.0843,0.0954,0.0947,0.0961,0.0899,0.0906,0.0809,0.0811,0.0859,0.0862,0.0916,0.0975,0.0933
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,506047000,460785000,596410000,742000000,-42000000,943000000,1200000000,1566000000,2186000000,2935000000,4101000000,5373000000,6984000000,7849000000,5263000000,6359000000,7864000000,8464000000,9254000000,9623000000,10274000000,11021000000,12930000000,15209000000,17344000000,19685000000,22405000000,23970000000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1343,0.0813,0.0592,0.0629,-0.0024,0.0482,0.0568,0.0668,0.0874,0.1027,0.1113,0.1198,0.0988,0.1041,0.0654,0.0730,0.0841,0.0836,0.0842,0.0790,0.0792,0.0705,0.0703,0.0760,0.0771,0.0819,0.0876,0.0840
19,Total Other Income Expenses (Gains),- -,4200000,1600000,-27100000,-4400000,-3800000,-1600000,-1700000,-1500000,-38103000,-771000,-15560000,- -,-4000000,-49000000,-45000000,-94000000,-90000000,-95000000,-128000000,-241000000,-456000000,-544000000,-639000000,-551000000,-481000000,-505000000,-632000000,-708000000,-618000000,-790000000,-1067000000,-1186000000,-1400000000,-1704000000,-1663000000,-1660000000
20,Income Before Tax,4100000,12500000,-19100000,-34800000,21500000,51500000,113500000,176000000,304400000,467944000,460014000,580850000,742000000,-46000000,894000000,1155000000,1472000000,2096000000,2840000000,3973000000,5132000000,6528000000,7305000000,4624000000,5808000000,7383000000,7959000000,8622000000,8915000000,9656000000,10231000000,11863000000,14023000000,15944000000,17981000000,20742000000,22310000000
21,Income Before Tax Ratio,0.0405,0.0587,-0.0439,-0.0802,0.0522,0.0851,0.1340,0.1221,0.1204,0.1242,0.0811,0.0577,0.0629,-0.0027,0.0457,0.0547,0.0628,0.0838,0.0994,0.1079,0.1144,0.0924,0.0968,0.0575,0.0667,0.0789,0.0786,0.0784,0.0732,0.0745,0.0654,0.0645,0.0701,0.0709,0.0748,0.0811,0.0782
22,Income Tax expense (Gain),2000000,6200000,-3300000,2000000,7800000,17600000,38700000,61800000,109800000,177822000,170205000,224598000,282000000,120000000,326000000,419000000,559000000,744000000,1015000000,1386000000,1832000000,2369000000,2651000000,1647000000,1986000000,2749000000,2817000000,3096000000,3242000000,4037000000,4363000000,4790000000,3200000000,3562000000,3742000000,4973000000,4578000000
23,Net Income,2100000,6300000,-15800000,-36800000,13700000,33900000,74800000,114200000,194600000,1665214000,285964000,355637000,460000000,-166000000,568000000,736000000,913000000,1352000000,1825000000,2587000000,3300000000,4159000000,4654000000,2977000000,3822000000,4634000000,5142000000,5526000000,5625000000,5619000000,5813000000,7017000000,10558000000,11986000000,13839000000,15403000000,17285000000
24,Net Income ratio,0.0208,0.0296,-0.0363,-0.0848,0.0333,0.0560,0.0883,0.0792,0.0770,0.4418,0.0504,0.0353,0.0390,-0.0096,0.0290,0.0348,0.0389,0.0540,0.0639,0.0702,0.0736,0.0589,0.0617,0.0370,0.0439,0.0495,0.0508,0.0503,0.0462,0.0433,0.0372,0.0381,0.0528,0.0533,0.0576,0.0603,0.0606
25,EPS,0.01,0.01,-0.03,-0.07,0.02,0.04,0.07,0.10,0.15,1.19,0.20,0.22,0.29,-0.14,0.41,0.57,0.73,1.11,1.55,2.06,2.61,3.09,3.55,2.46,3.33,4.27,4.95,5.42,5.69,5.89,6.10,7.60,10.90,12.49,14.60,16.28,18.27
26,EPS Diluted,0.01,0.01,-0.03,-0.07,0.02,0.04,0.07,0.10,0.15,1.19,0.20,0.22,0.28,-0.14,0.40,0.55,0.70,1.06,1.48,1.97,2.48,2.97,3.42,2.40,3.24,4.10,4.73,5.28,5.50,5.70,6.01,7.48,10.07,12.19,14.33,16.03,17.99
27,Weighted Average Shares Outstanding,280000000,420000000,486153846,507586207,685000000,847500000,997333333,1087619048,1255483871,1401672000,1419544000,1486760000,1496000000,1528000000,1392800000,1296800000,1249600000,1213600000,1178000000,1252000000,1265000000,1344000000,1312000000,1220000000,1173000000,1086000000,1039000000,1019000000,988000000,954000000,953000000,952000000,969000000,960000000,948000000,946000000,946000000
28,Weighted Average Shares Outstanding Diluted,280000000,420000000,486153846,507586207,685000000,904000000,997333333,1087619048,1255483871,1402217295,1419544000,1486760000,1528000000,1528000000,1420000000,1346000000,1307200000,1272400000,1233108108,1313197970,1330000000,1402000000,1361000000,1241000000,1179000000,1131000000,1087000000,1046000000,1023000000,986000000,967000000,968000000,985000000,983000000,966000000,961000000,961000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/731766/0000950131-96-001401-index.html,https://www.sec.gov/Archives/edgar/data/731766/000091205797010848/0000912057-97-010848-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/731766/000091205701505867/0000912057-01-505867-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/731766/000095013404003522/c82635e10vk.htm,https://www.sec.gov/Archives/edgar/data/731766/000119312505039947/d10k.htm,https://www.sec.gov/Archives/edgar/data/731766/000119312506038949/d10k.htm,https://www.sec.gov/Archives/edgar/data/731766/000119312507046861/d10k.htm,https://www.sec.gov/Archives/edgar/data/731766/000119312508035391/d10k.htm,https://www.sec.gov/Archives/edgar/data/731766/000119312509025587/0001193125-09-025587-index.html,https://www.sec.gov/Archives/edgar/data/731766/000119312510027229/0001193125-10-027229-index.html,https://www.sec.gov/Archives/edgar/data/731766/000119312511030615/d10k.htm,https://www.sec.gov/Archives/edgar/data/731766/000073176612000009/0000731766-12-000009-index.html,https://www.sec.gov/Archives/edgar/data/731766/000073176613000005/0000731766-13-000005-index.html,https://www.sec.gov/Archives/edgar/data/731766/000073176614000008/unh2013123110-k.htm,https://www.sec.gov/Archives/edgar/data/731766/000073176615000007/unh2014123110-k.htm,https://www.sec.gov/Archives/edgar/data/731766/000073176616000058/0000731766-16-000058-index.html,https://www.sec.gov/Archives/edgar/data/731766/000073176617000009/0000731766-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/731766/000073176618000005/0000731766-18-000005-index.html,https://www.sec.gov/Archives/edgar/data/731766/000073176619000005/0000731766-19-000005-index.html,https://www.sec.gov/Archives/edgar/data/731766/000073176620000006/0000731766-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/731766/000073176621000013/0000731766-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/731766/000073176622000008/0000731766-22-000008-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,940110000,1036716000,750000000,1644000000,1605000000,1419000000,1540000000,1130000000,2262000000,3991000000,5421000000,10320000000,8865000000,7426000000,9800000000,9123000000,9429000000,8406000000,7276000000,7495000000,10923000000,10430000000,11981000000,10866000000,10985000000,16921000000,21375000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,863815000,610572000,506000000,170000000,546000000,200000000,270000000,701000000,486000000,514000000,590000000,620000000,754000000,783000000,1239000000,2072000000,2577000000,3031000000,1937000000,1741000000,1988000000,2845000000,3509000000,3458000000,3260000000,2860000000,2532000000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1803925000,1647288000,1256000000,1814000000,2151000000,1619000000,1810000000,1831000000,2748000000,4505000000,6011000000,10940000000,9619000000,8209000000,11039000000,11195000000,12006000000,11437000000,9213000000,9236000000,12911000000,13275000000,15490000000,14324000000,14245000000,19781000000,23907000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,550313000,605801000,768000000,991000000,912000000,867000000,856000000,835000000,745000000,906000000,1290000000,1323000000,1574000000,3644000000,3792000000,3704000000,4549000000,5598000000,7050000000,9750000000,13324000000,15651000000,15830000000,18250000000,11822000000,12870000000,28082000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,512883000,486575000,169000000,1475000000,1505000000,1919000000,2280000000,2508000000,2627000000,2830000000,3339000000,3781000000,4351000000,3137000000,3369000000,3494000000,3795000000,4017000000,4117000000,4570000000,5404000000,4953000000,5764000000,6118000000,16567000000,21067000000,9769000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2867121000,2739664000,2193000000,4280000000,4568000000,4405000000,4946000000,5174000000,6120000000,8241000000,10640000000,16044000000,15544000000,14990000000,18200000000,18393000000,20350000000,21052000000,20380000000,23556000000,31639000000,33879000000,37084000000,38692000000,42634000000,53718000000,61758000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,267652000,312984000,364000000,294000000,278000000,303000000,847000000,955000000,1032000000,1139000000,1647000000,1894000000,2121000000,2181000000,946000000,2200000000,2515000000,3939000000,4010000000,4418000000,4861000000,5901000000,7013000000,8458000000,8704000000,8626000000,8969000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1727042000,- -,- -,- -,- -,- -,- -,3363000000,3509000000,9470000000,16206000000,16822000000,16854000000,20088000000,20727000000,22745000000,23975000000,31286000000,31604000000,32940000000,44453000000,47584000000,54556000000,58910000000,65659000000,71337000000,75795000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24701000,2139009000,2281000000,2517000000,2859000000,2911000000,2805000000,122000000,180000000,1205000000,2020000000,1904000000,1737000000,2329000000,3575000000,2910000000,2795000000,4682000000,3844000000,3669000000,8391000000,8541000000,8489000000,9325000000,10349000000,10856000000,10044000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1751743000,2139009000,2281000000,2517000000,2859000000,2911000000,2805000000,3485000000,3689000000,10675000000,18226000000,18726000000,18591000000,22417000000,24302000000,25655000000,26770000000,35968000000,35448000000,36609000000,52844000000,56125000000,63045000000,68235000000,76008000000,82193000000,85839000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4498000000,6729000000,7748000000,8971000000,9642000000,12667000000,13366000000,13311000000,14707000000,16166000000,17711000000,19605000000,18827000000,18792000000,23868000000,28341000000,32510000000,37209000000,41242000000,43114000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1274470000,1804973000,2785000000,2610000000,2568000000,3434000000,3888000000,52000000,64000000,76000000,1890000000,2014000000,1976000000,2861000000,2286000000,2108000000,2088000000,2215000000,2439000000,2972000000,3247000000,3037000000,3575000000,4326000000,9334000000,11510000000,12526000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3293865000,4256966000,5430000000,5421000000,5705000000,6648000000,7540000000,8990000000,11514000000,19638000000,30734000000,32276000000,35355000000,40825000000,40845000000,44670000000,47539000000,59833000000,61502000000,62826000000,79744000000,88931000000,101974000000,113529000000,131255000000,143571000000,150448000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6160986000,6996630000,7623000000,9701000000,10273000000,11053000000,12486000000,14164000000,17634000000,27879000000,41374000000,48320000000,50899000000,55815000000,59045000000,63063000000,67889000000,80885000000,81882000000,86382000000,111383000000,122810000000,139058000000,152221000000,173889000000,197289000000,212206000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,79796000,73077000,- -,- -,- -,- -,- -,- -,5727000000,7647000000,7301000000,8076000000,- -,8664000000,- -,9220000000,9799000000,17988000000,19033000000,21287000000,26324000000,29752000000,33051000000,36596000000,40695000000,44367000000,49126000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,459000000,591000000,559000000,684000000,811000000,229000000,673000000,3261000000,1483000000,1946000000,1456000000,2164000000,2480000000,982000000,2713000000,1969000000,1399000000,6634000000,7193000000,2857000000,1973000000,3870000000,4819000000,3620000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1217000000,1533000000,1225000000,1505000000,1600000000,1972000000,2142000000,1968000000,2269000000,2396000000,2622000000,2842000000,2571000000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2354200000,2569705000,2570000000,4883000000,5301000000,6011000000,6807000000,7568000000,2812000000,3009000000,6082000000,8938000000,16546000000,9641000000,18782000000,10467000000,11916000000,4910000000,5279000000,5965000000,7798000000,10339000000,12286000000,12244000000,14595000000,20392000000,22975000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2433996000,2642782000,2570000000,5342000000,5892000000,6570000000,7491000000,8379000000,8768000000,11329000000,16644000000,18497000000,18492000000,19761000000,22163000000,23700000000,23922000000,27116000000,27881000000,30623000000,42898000000,49252000000,50463000000,53209000000,61782000000,72420000000,78292000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38970000,30761000,19000000,249000000,400000000,650000000,900000000,950000000,1750000000,3350000000,3850000000,5973000000,9063000000,11338000000,9009000000,11023000000,13101000000,14041000000,14891000000,16007000000,25460000000,25777000000,28835000000,34581000000,36808000000,38648000000,42383000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2325000000,2361000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,118000000,145000000,204000000,407000000,471000000,814000000,1386000000,1190000000,1432000000,1650000000,1942000000,2515000000,2574000000,2450000000,1796000000,2065000000,3587000000,2761000000,2182000000,2474000000,2993000000,3367000000,3265000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000000,500000000,500000000,72000000,- -,- -,- -,- -,1517000000,1669000000,1761000000,1850000000,1849000000,2286000000,- -,-2361000000,- -,6100000000,5165000000,5233000000,5713000000,6843000000,7745000000,7638000000,11870000000,14526000000,11787000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,538970000,530761000,519000000,321000000,518000000,795000000,1104000000,1357000000,3738000000,5833000000,6997000000,9013000000,12344000000,15274000000,13276000000,13538000000,15675000000,22591000000,21852000000,23305000000,34760000000,35381000000,38762000000,44693000000,51671000000,56541000000,57435000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2972966000,3173543000,3089000000,5663000000,6410000000,7365000000,8595000000,9736000000,12506000000,17162000000,23641000000,27510000000,30836000000,35035000000,35439000000,37238000000,39597000000,49707000000,49733000000,53928000000,77658000000,84633000000,89225000000,97902000000,113453000000,128961000000,135727000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1752000,1849000,2000000,2000000,2000000,3000000,3000000,3000000,6000000,6000000,14000000,13000000,13000000,12000000,11000000,11000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,9000000,10000000,10000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2358640000,2680191000,3105000000,2885000000,3447000000,3595000000,3805000000,4104000000,4915000000,7484000000,10765000000,14376000000,18929000000,20782000000,23342000000,25562000000,27821000000,30664000000,33047000000,33836000000,37125000000,40945000000,48730000000,55846000000,61178000000,69295000000,77134000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,148000000,149000000,132000000,33000000,15000000,98000000,-52000000,253000000,252000000,461000000,438000000,-908000000,-1392000000,-3334000000,-2681000000,-2667000000,-4160000000,-3578000000,-3814000000,-5384000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,827628000,1141047000,1427000000,1151000000,414000000,90000000,83000000,173000000,58000000,3095000000,6921000000,6406000000,1023000000,38000000,- -,- -,- -,66000000,- -,- -,29000000,- -,1703000000,- -,7000000,- -,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3188020000,3823087000,4534000000,4038000000,3863000000,3688000000,3891000000,4428000000,5128000000,10717000000,17733000000,20810000000,20063000000,20780000000,23606000000,25825000000,28292000000,31178000000,32149000000,32454000000,33830000000,38274000000,47776000000,51696000000,57616000000,65491000000,71760000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6160986000,6996630000,7623000000,9701000000,10273000000,11053000000,12486000000,14164000000,17634000000,27879000000,41374000000,48320000000,50899000000,55815000000,59045000000,63063000000,67889000000,80885000000,81882000000,86382000000,111488000000,122907000000,137001000000,149598000000,171069000000,194452000000,207487000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-105000000,-97000000,2057000000,2623000000,2820000000,2837000000,4719000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6160986000,6996630000,7623000000,9701000000,10273000000,11053000000,12486000000,14164000000,17634000000,27879000000,41374000000,48320000000,50899000000,55815000000,59045000000,63063000000,67889000000,80885000000,81882000000,86382000000,111383000000,122810000000,139058000000,152221000000,173889000000,197289000000,212206000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/731766/0000950131-96-001401-index.html,https://www.sec.gov/Archives/edgar/data/731766/000091205797010848/0000912057-97-010848-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/731766/000091205701505867/0000912057-01-505867-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/731766/000095013404003522/c82635e10vk.htm,https://www.sec.gov/Archives/edgar/data/731766/000119312505039947/d10k.htm,https://www.sec.gov/Archives/edgar/data/731766/000119312506038949/d10k.htm,https://www.sec.gov/Archives/edgar/data/731766/000119312507046861/d10k.htm,https://www.sec.gov/Archives/edgar/data/731766/000119312508035391/d10k.htm,https://www.sec.gov/Archives/edgar/data/731766/000119312509025587/0001193125-09-025587-index.html,https://www.sec.gov/Archives/edgar/data/731766/000119312510027229/0001193125-10-027229-index.html,https://www.sec.gov/Archives/edgar/data/731766/000119312511030615/d10k.htm,https://www.sec.gov/Archives/edgar/data/731766/000073176612000009/0000731766-12-000009-index.html,https://www.sec.gov/Archives/edgar/data/731766/000073176613000005/0000731766-13-000005-index.html,https://www.sec.gov/Archives/edgar/data/731766/000073176614000008/unh2013123110-k.htm,https://www.sec.gov/Archives/edgar/data/731766/000073176615000007/unh2014123110-k.htm,https://www.sec.gov/Archives/edgar/data/731766/000073176616000058/0000731766-16-000058-index.html,https://www.sec.gov/Archives/edgar/data/731766/000073176617000009/0000731766-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/731766/000073176618000005/0000731766-18-000005-index.html,https://www.sec.gov/Archives/edgar/data/731766/000073176619000005/0000731766-19-000005-index.html,https://www.sec.gov/Archives/edgar/data/731766/000073176620000006/0000731766-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/731766/000073176621000013/0000731766-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/731766/000073176622000008/0000731766-22-000008-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,13700000,33900000,74800000,114200000,194600000,1665214000,285964000,355637000,460000000,-166000000,568000000,736000000,913000000,1352000000,1825000000,2587000000,3300000000,4159000000,4654000000,2977000000,3822000000,4634000000,5142000000,5526000000,5625000000,5619000000,5813000000,7017000000,10558000000,11986000000,13839000000,15403000000,17285000000
74,Depreciation and Amortization,- -,- -,- -,- -,-7800000,-10600000,-14300000,-31100000,-50300000,64079000,94458000,133166000,146000000,185000000,233000000,247000000,265000000,255000000,299000000,374000000,453000000,670000000,796000000,981000000,991000000,1064000000,1124000000,1309000000,1375000000,1478000000,1693000000,2055000000,2245000000,2428000000,2720000000,2891000000,3103000000
