,https://roic.ai/company/HNGR,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,5100000,9300000,10600000,15400000,19800000,24400000,22100000,27400000,53800000,69300000,128700000,203283000,228408000,201520000,205163000,278028000,233374000,236262000,261418000,281980000,176674000,198926000,210489000,558848000,593528000,660536000,694684000,695905000,676497000,650913000,674847000,613833000,127752000
11,COGS and Expenses,9800000,18400000,21000000,31400000,39500000,47600000,46700000,59600000,127300000,162200000,296700000,452215000,469276000,442892000,463546000,553989000,516965000,536327000,569370000,625401000,669550000,730586000,800931000,855041000,912574000,984820000,1030967000,1027976000,1005720000,988930000,1032618000,929243000,525326000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30693000,30340000,31821000,31169000,26475000,28277000,29892000,45199000,57688000,37566000,34258000,32445000,28864000
14,Depreciation and Amortization,700000,1100000,1300000,2200000,2700000,3100000,2700000,2900000,4700000,5800000,15100000,25764000,27433000,12199000,13030000,15514000,15908000,16473000,17690000,19005000,16319000,18809000,30969000,34652000,37486000,38929000,46343000,44887000,39259000,36455000,35925000,34847000,30633000
15,EBITDA,-200000,-400000,1600000,1900000,7000000,800000,6300000,4800000,15100000,29200000,36300000,10271000,19457000,53716000,41240000,-4312000,40043000,23316000,48683000,63446000,107006000,84593000,147796000,163990000,164705000,50263000,-318470000,-32295000,19573000,78401000,100662000,106122000,102637000
16,EBITDA ratio,-0.0192,-0.0207,0.0678,0.0567,0.1595,0.0159,0.1200,0.0719,0.1037,0.1554,0.1047,0.0211,0.0383,0.1022,0.0753,-0.0076,0.0692,0.0389,0.0764,0.0902,0.1408,0.1035,0.1609,0.1664,0.1574,0.0497,-0.2984,-0.0310,0.0188,0.0748,0.0917,0.1060,0.0916
17,Operating Income,600000,900000,2600000,2100000,4400000,2700000,5800000,7200000,18300000,25700000,50100000,33816000,35089000,82642000,84570000,14732000,61276000,62439000,67980000,77728000,90520000,81379000,116827000,129338000,133864000,27280000,-349602000,-72086000,-19686000,59647000,65428000,71907000,72671000
18,Operating Income ratio,0.0577,0.0466,0.1102,0.0627,0.1002,0.0537,0.1105,0.1078,0.1257,0.1368,0.1445,0.0696,0.0691,0.1573,0.1544,0.0259,0.1060,0.1043,0.1067,0.1105,0.1191,0.0996,0.1272,0.1312,0.1279,0.0270,-0.3276,-0.0692,-0.0189,0.0569,0.0596,0.0718,0.0649
19,Total Other Income Expenses (Gains),100000,-100000,-2300000,-1300000,-1300000,-4600000,-2200000,-5200000,-5200000,-2300000,-28900000,-49309000,-43065000,-38314000,-56360000,-34558000,-37141000,-55596000,-36987000,-33287000,-30526000,-45935000,-31821000,-31169000,-33120000,-28277000,-37129000,-51230000,-57688000,-55267000,-34949000,-33077000,-29531000
20,Income Before Tax,- -,- -,300000,800000,3100000,-1900000,3600000,2000000,13100000,23400000,21200000,-15493000,-7976000,44328000,28210000,-19826000,24135000,6843000,30993000,44441000,59994000,35444000,85006000,98169000,100744000,-997000,-386731000,-123316000,-77374000,4380000,30479000,38830000,43140000
21,Income Before Tax Ratio,- -,- -,0.0127,0.0239,0.0706,-0.0378,0.0686,0.0299,0.0900,0.1245,0.0611,-0.0319,-0.0157,0.0843,0.0515,-0.0349,0.0417,0.0114,0.0486,0.0632,0.0789,0.0434,0.0925,0.0996,0.0963,-0.0010,-0.3624,-0.1183,-0.0743,0.0042,0.0278,0.0388,0.0385
22,Income Tax expense (Gain),- -,- -,200000,500000,1600000,400000,1500000,900000,5500000,9600000,10200000,-1497000,907000,17947000,11971000,3568000,6382000,3409000,11726000,17695000,23901000,14009000,29987000,34477000,37160000,2023000,-67614000,-15910000,27297000,5238000,2954000,638000,1158000
23,Net Income,-900000,-1500000,100000,-800000,2700000,-2700000,2100000,1000000,4900000,13800000,11000000,-13996000,-8883000,23570000,16239000,-23394000,17753000,3434000,19267000,26746000,36093000,21435000,55019000,63692000,63584000,-18966000,-327091000,-106471000,-104671000,-858000,27525000,38192000,41982000
24,Net Income ratio,-0.0865,-0.0777,0.0042,-0.0239,0.0615,-0.0537,0.0400,0.0150,0.0337,0.0734,0.0317,-0.0288,-0.0175,0.0448,0.0296,-0.0411,0.0307,0.0057,0.0302,0.0380,0.0475,0.0262,0.0599,0.0646,0.0608,-0.0187,-0.3065,-0.1022,-0.1006,-0.0008,0.0251,0.0381,0.0375
25,EPS,-1.60,-2.92,-0.03,-0.14,0.32,-0.33,0.26,0.11,0.42,0.82,0.47,-0.98,-0.73,0.94,0.42,-1.30,0.55,-0.19,0.78,0.81,1.15,0.66,1.64,1.87,1.83,-0.54,-9.18,-2.96,-2.89,-0.02,0.74,1.01,1.09
26,EPS Diluted,-1.60,-2.92,-0.03,-0.14,0.32,-0.33,0.26,0.11,0.37,0.75,0.44,-0.98,-0.73,0.86,0.39,-1.30,0.53,-0.19,0.64,0.78,1.13,0.65,1.61,1.84,1.80,-0.54,-9.18,-2.96,-2.89,-0.02,0.72,0.99,1.07
27,Weighted Average Shares Outstanding,2277000,2282000,5717000,5714286,8437500,8181818,8290544,8663161,11792892,16812717,18854751,18910002,18920094,19535272,20813456,21473765,21694807,21981026,22475513,25930096,31383895,32238401,33544813,34282591,34818214,35309478,35635448,35933222,36270920,36764551,37267188,37948796,38599300
28,Weighted Average Shares Outstanding Diluted,2277000,2282000,5717000,5714286,8437500,8181818,8421053,8663161,13138377,18515567,20005282,18910002,18920094,21456994,22234361,21473765,22232453,21981026,30257021,27090817,32068325,32888305,34220256,34832830,35394721,35309478,35635448,35933222,36270920,36764551,38064617,38598330,39225616
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/722723/000095013396000271/0000950133-96-000271-index.html,https://www.sec.gov/Archives/edgar/data/722723/000090445697000030/0000904456-97-000030-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/722723/000089706901500040/0000897069-01-500040-index.html,https://www.sec.gov/Archives/edgar/data/722723/000089706902000258/0000897069-02-000258-index.html,- -,https://www.sec.gov/Archives/edgar/data/722723/000089706904000603/sdc669.htm,https://www.sec.gov/Archives/edgar/data/722723/000089706905000689/cmw1280.htm,https://www.sec.gov/Archives/edgar/data/722723/000089706906000860/dbk116.htm,https://www.sec.gov/Archives/edgar/data/722723/000089706907000793/cmw2751.htm,https://www.sec.gov/Archives/edgar/data/722723/000089706908000510/cmw3387.htm,https://www.sec.gov/Archives/edgar/data/722723/000104746909001956/0001047469-09-001956-index.html,https://www.sec.gov/Archives/edgar/data/722723/000104746910001757/0001047469-10-001757-index.html,https://www.sec.gov/Archives/edgar/data/722723/000104746911002064/a2202022z10-k.htm,https://www.sec.gov/Archives/edgar/data/722723/000104746912001903/0001047469-12-001903-index.html,https://www.sec.gov/Archives/edgar/data/722723/000104746913002994/0001047469-13-002994-index.html,https://www.sec.gov/Archives/edgar/data/722723/000104746914003425/a2219022z10-k.htm,https://www.sec.gov/Archives/edgar/data/722723/000110465917032012/a17-4163_110k.htm,- -,https://www.sec.gov/Archives/edgar/data/722723/000110465918003089/a17-25118_110k.htm,https://www.sec.gov/Archives/edgar/data/722723/000110465918003089/0001104659-18-003089-index.html,https://www.sec.gov/Archives/edgar/data/722723/000110465919014846/0001104659-19-014846-index.html,https://www.sec.gov/Archives/edgar/data/722723/000110465920031942/0001104659-20-031942-index.html,https://www.sec.gov/Archives/edgar/data/722723/000110465921029987/0001104659-21-029987-index.htm,https://www.sec.gov/Archives/edgar/data/722723/000072272322000006/0000722723-22-000006-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,700000,1000000,500000,1400000,1400000,1000000,1500000,6600000,6600000,9700000,5700000,20669000,10043000,6566000,15363000,8351000,7921000,23139000,26938000,58413000,84558000,36308000,42896000,19211000,9860000,11699000,58753000,7157000,1508000,95114000,74419000,144602000,61692000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7500000,4968000,4976000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,700000,1000000,500000,1400000,1400000,1000000,1500000,6600000,6600000,9700000,5700000,20669000,10043000,6566000,15363000,8351000,7921000,23139000,34438000,63381000,89534000,36308000,42896000,19211000,9860000,11699000,58753000,7157000,1508000,95114000,74419000,144602000,61692000
34,Net Receivables,2600000,3400000,4400000,6900000,10100000,12400000,13300000,24300000,31100000,39200000,106800000,111210000,105073000,107604000,116479000,109191000,103200000,99403000,99117000,99861000,105480000,118622000,138826000,165668000,185769000,181799000,219288000,163985000,167093000,152213000,166070000,147547000,152058000
35,Inventory,1700000,2700000,4600000,6900000,8300000,9500000,10300000,15900000,17400000,16900000,59900000,61223000,55946000,56454000,60643000,67691000,76725000,75803000,82228000,85960000,91289000,98290000,114086000,127295000,141518000,70517000,68478000,68225000,69138000,67690000,68204000,76429000,87462000
36,Other Current Assets,200000,100000,400000,800000,1000000,2400000,1800000,4800000,6400000,8500000,17000000,30625000,24825000,22018000,18908000,11966000,13641000,16767000,19318000,24824000,23547000,35272000,37663000,46478000,45817000,131272000,11109000,12914000,13220000,10883000,6962000,6294000,17117000
37,Total Current Assets,5200000,7200000,9900000,16000000,20800000,25300000,26900000,51600000,61500000,74300000,189400000,223727000,195887000,192642000,211393000,197199000,201487000,215112000,235101000,274026000,309850000,288492000,333471000,358652000,382964000,395287000,357628000,252281000,250959000,325900000,315655000,374872000,318329000
38,PP&E,4200000,4600000,4700000,6500000,8100000,8000000,7800000,17300000,18200000,22700000,46100000,46994000,37778000,35546000,43270000,47966000,43497000,42294000,47314000,50734000,62311000,103304000,104772000,114461000,126798000,112350000,113274000,100467000,93615000,89489000,196104000,212630000,226925000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,435256000,453988000,468930000,442586000,445979000,446371000,459562000,470411000,484422000,- -,609484000,674774000,681547000,710053000,335642000,249678000,196343000,198742000,232244000,277223000,363554000
40,Intangible Assets,9100000,13800000,15500000,25200000,26700000,27600000,26700000,65200000,77500000,108000000,512800000,489623000,17124000,5828000,4958000,4615000,3765000,2935000,4599000,5072000,7516000,- -,54894000,64281000,58021000,58515000,47128000,32941000,21940000,15478000,17952000,18431000,25892000
41,Intangible Assets,9100000,13800000,15500000,25200000,26700000,27600000,26700000,65200000,77500000,108000000,512800000,489623000,452380000,459816000,473888000,447201000,449744000,449306000,464161000,475483000,491938000,647078000,664378000,739055000,739568000,768568000,382770000,282619000,218283000,214220000,250196000,295654000,389446000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11851000,14386000,17573000,2340000,2918000,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,98254000,94223000,68126000,65635000,70481000,54877000,45494000
44,Other Non-Current Assets,- -,800000,200000,300000,1800000,600000,400000,800000,800000,900000,1800000,1474000,13862000,24222000,11813000,10940000,9739000,12410000,13107000,13507000,10937000,22605000,25879000,25159000,22330000,14249000,6772000,7941000,7100000,4848000,9817000,12718000,17945000
45,Total Non-Current Assets,13300000,19200000,20400000,32000000,36600000,36200000,34900000,83300000,96500000,131600000,560700000,538091000,504020000,519584000,528971000,506107000,502980000,504010000,524582000,539724000,565186000,772987000,795029000,878675000,888696000,907018000,615456000,502823000,389464000,377110000,526598000,575879000,679810000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,18500000,26400000,30300000,48000000,57400000,61500000,61800000,134900000,158000000,205900000,750100000,761818000,699907000,712226000,740364000,703306000,704467000,719122000,759683000,813750000,875036000,1061479000,1128500000,1237327000,1271660000,1302305000,973084000,755104000,640423000,703010000,842253000,950751000,998139000
48,Accounts Payable,- -,- -,1300000,1000000,1500000,1600000,1600000,4100000,3800000,5000000,16700000,17809000,16901000,14876000,17959000,18121000,20520000,19093000,17257000,18764000,27552000,29243000,26561000,28923000,36729000,48554000,56099000,50549000,48269000,55797000,48477000,65091000,63565000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,1800000,4900000,5700000,4400000,25400000,37595000,30512000,5181000,4944000,4498000,4466000,5386000,5691000,3794000,8835000,7006000,8065000,11082000,15998000,26852000,30385000,30944000,4336000,8583000,43094000,45087000,100314000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11212000,5888000,5716000,6335000,6810000,8543000,9863000,581000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9263000,24169000,28895000,30194000,24563000,24183000,27195000,- -
52,Other Current Liabilities,2300000,4300000,3900000,3100000,3500000,5300000,2900000,17100000,13000000,15300000,28900000,34633000,39258000,45917000,45201000,48307000,40950000,33425000,46359000,51220000,56799000,66444000,57116000,67182000,63152000,126169000,107151000,86879000,89494000,82331000,92652000,108207000,62926000
53,Total Current Liabilities,2300000,4300000,5200000,4100000,5000000,6900000,6300000,26100000,22500000,24700000,71000000,90037000,86671000,65974000,68104000,70926000,65936000,57904000,69307000,73778000,93186000,102693000,91742000,107187000,115879000,210838000,217804000,197267000,172293000,171274000,208406000,245580000,226805000
54,Long-Term Debt,14000000,19800000,10100000,15000000,19200000,24300000,22900000,64300000,23200000,11200000,426200000,422838000,367315000,378101000,404492000,388613000,373965000,405238000,405201000,418530000,401637000,501678000,499968000,509564000,452261000,502132000,536048000,441706000,445928000,502090000,490121000,486118000,626323000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,1300000,600000,700000,2400000,3400000,5200000,13500000,26026000,26495000,22965000,34326000,31596000,30851000,30741000,30574000,33166000,37973000,64447000,74309000,77730000,76545000,59924000,- -,- -,- -,- -,- -,5918000,- -
57,Other Non-Current Liabilities,600000,1400000,300000,100000,- -,500000,300000,2100000,2300000,2200000,7300000,2656000,73752000,77519000,53351000,60155000,68473000,57562000,64063000,21410000,26347000,28234000,32818000,39752000,46755000,45875000,53986000,50717000,50253000,51570000,134222000,162158000,34840000
58,Total Non-Current Liabilities,14600000,21200000,10400000,15100000,20500000,25400000,23900000,68800000,28900000,18600000,447000000,451520000,467562000,478585000,492169000,480364000,473289000,493541000,499838000,473106000,465957000,594359000,607095000,627046000,575561000,607931000,590034000,492423000,496181000,553660000,624343000,654194000,661163000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,122760000,143460000,- -
61,Total Liabilities,16900000,25500000,15600000,19200000,25500000,32300000,30200000,94900000,51400000,43300000,518000000,541557000,554233000,544559000,560273000,551290000,539225000,551445000,569145000,546884000,559143000,697052000,698837000,734233000,691440000,818769000,807838000,689690000,668474000,724934000,832749000,899774000,887968000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,190000,191000,203000,215000,218000,222000,224000,244000,325000,330000,344000,351000,356000,361000,355000,359000,362000,365000,371000,376000,383000,389000
64,Retained Earnings,-900000,-2300000,-3000000,-3800000,-1200000,-3800000,-1700000,-700000,4200000,18100000,26900000,8348000,-535000,17833000,26610000,- -,11945000,11629000,28995000,50071000,86164000,107599000,162618000,225229000,288813000,178559000,-148532000,-255003000,-359772000,-361023000,-331951000,-293998000,-252016000
65,Other Comprehensive Income/Loss,-100000,-400000,-800000,-1300000,-2200000,-3100000,-4200000,-5500000,-7500000,-10300000,-15300000,-24345000,-31598000,-39036000,-2599000,-1980000,-2615000,-86225000,-100133000,-4497000,-3056000,-279000,-1185000,-1919000,-1020000,-1888000,-1414000,-1440000,-1686000,-4531000,-12551000,-20215000,-11150000
66,Other Total Stockholders Equity,2600000,3600000,18500000,33900000,35300000,36100000,37500000,46200000,109900000,154800000,220300000,236068000,177616000,188667000,155865000,153778000,155690000,242049000,261432000,220967000,232455000,256763000,267879000,279428000,292066000,306510000,314833000,321495000,333042000,343259000,353630000,364807000,372948000
67,Total Stockholders Equity,1600000,900000,14700000,28800000,31900000,29200000,31600000,40000000,106600000,162600000,232100000,220261000,145674000,167667000,180091000,152016000,165242000,167677000,190538000,266866000,315893000,364427000,429663000,503094000,580220000,483536000,165246000,65414000,-28051000,-21924000,9504000,50977000,110171000
68,Total Liabilities And Stockholders Equity,18500000,26400000,30300000,48000000,57400000,61500000,61800000,134900000,158000000,205900000,750100000,761818000,699907000,712226000,740364000,703306000,704467000,719122000,759683000,813750000,875036000,1061479000,1128500000,1237327000,1271660000,1302305000,973084000,755104000,640423000,703010000,842253000,950751000,998139000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,18500000,26400000,30300000,48000000,57400000,61500000,61800000,134900000,158000000,205900000,750100000,761818000,699907000,712226000,740364000,703306000,704467000,719122000,759683000,813750000,875036000,1061479000,1128500000,1237327000,1271660000,1302305000,973084000,755104000,640423000,703010000,842253000,950751000,998139000
71,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/722723/000095013396000271/0000950133-96-000271-index.html,https://www.sec.gov/Archives/edgar/data/722723/000090445697000030/0000904456-97-000030-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/722723/000089706901500040/0000897069-01-500040-index.html,https://www.sec.gov/Archives/edgar/data/722723/000089706902000258/0000897069-02-000258-index.html,- -,https://www.sec.gov/Archives/edgar/data/722723/000089706904000603/sdc669.htm,https://www.sec.gov/Archives/edgar/data/722723/000089706905000689/cmw1280.htm,https://www.sec.gov/Archives/edgar/data/722723/000089706906000860/dbk116.htm,https://www.sec.gov/Archives/edgar/data/722723/000089706907000793/cmw2751.htm,https://www.sec.gov/Archives/edgar/data/722723/000089706908000510/cmw3387.htm,https://www.sec.gov/Archives/edgar/data/722723/000104746909001956/0001047469-09-001956-index.html,https://www.sec.gov/Archives/edgar/data/722723/000104746910001757/0001047469-10-001757-index.html,https://www.sec.gov/Archives/edgar/data/722723/000104746911002064/a2202022z10-k.htm,https://www.sec.gov/Archives/edgar/data/722723/000104746912001903/0001047469-12-001903-index.html,https://www.sec.gov/Archives/edgar/data/722723/000104746913002994/0001047469-13-002994-index.html,https://www.sec.gov/Archives/edgar/data/722723/000104746914003425/a2219022z10-k.htm,https://www.sec.gov/Archives/edgar/data/722723/000110465917032012/a17-4163_110k.htm,- -,https://www.sec.gov/Archives/edgar/data/722723/000110465918003089/a17-25118_110k.htm,https://www.sec.gov/Archives/edgar/data/722723/000110465918003089/0001104659-18-003089-index.html,https://www.sec.gov/Archives/edgar/data/722723/000110465919014846/0001104659-19-014846-index.html,https://www.sec.gov/Archives/edgar/data/722723/000110465920031942/0001104659-20-031942-index.html,https://www.sec.gov/Archives/edgar/data/722723/000110465921029987/0001104659-21-029987-index.htm,https://www.sec.gov/Archives/edgar/data/722723/000072272322000006/0000722723-22-000006-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,100000,-800000,2700000,-2700000,2100000,1000000,4900000,13800000,11000000,-13996000,-8883000,23570000,16239000,-23394000,17753000,3434000,19267000,26746000,36093000,21435000,55019000,63692000,63584000,-18966000,-327091000,-106471000,-104671000,-858000,27525000,38192000,41982000
74,Depreciation and Amortization,- -,- -,1300000,2200000,2700000,3100000,2700000,2900000,4700000,5800000,15100000,25764000,27433000,12199000,13030000,15514000,15908000,16473000,17690000,19005000,16319000,18809000,30969000,34652000,37486000,38929000,46343000,44887000,39259000,36455000,35925000,34847000,30633000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,800000,-700000,2100000,-600000,700000,24394000,-328000,14846000,9198000,1495000,-1818000,-985000,1508000,456000,- -,- -,8439000,-4303000,-1602000,-39214000,-48926000,4031000,26248000,3452000,-3226000,17432000,5613000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7430000,9596000,8088000,8061000,9080000,9642000,11134000,9763000,12930000,13065000,13414000,18448000,12297000
77,Change in Working Capital,- -,- -,-3000000,7200000,3900000,2600000,2200000,4900000,13500000,10600000,68800000,15290000,-24474000,17452000,16621000,-17016000,9278000,21657000,8586000,34454000,16416000,-30865000,55930000,9736000,15620000,-82636000,-44625000,-84810000,23652000,75960000,-47377000,22043000,-37768000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20069000,-31041000,-42024000,-40443000,-32060000,-28797000,-13625000,17612000,-12585000,3238000,-12329000,34378000,-17315000
79,Inventory,- -,- -,-1600000,-500000,-600000,-1200000,-800000,700000,-1100000,300000,-10400000,-1113000,2043000,-306000,-3791000,-5925000,-8646000,1047000,-5569000,-3118000,-4424000,-5431000,-14944000,-12827000,-11329000,6917000,2520000,253000,-913000,1750000,1568000,-6258000,-6350000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3287000,-190000,-5902000,-2114000,6235000,-777000,8084000,-3133000,-3562000,6511000,-6725000,14674000,-1909000
81,Other Working Capital,- -,- -,4700000,11900000,15800000,18400000,20600000,25500000,39000000,49600000,118400000,133690000,109216000,126668000,143289000,126273000,135551000,157208000,165794000,200248000,216664000,185799000,241729000,251465000,267085000,184449000,139824000,55014000,78666000,154626000,107249000,129292000,91524000
82,Other Non-Cash Items,- -,- -,900000,-8700000,-7100000,-3300000,-4100000,-2200000,-17100000,-11100000,-95800000,-47845000,57418000,-20533000,2009000,72495000,-15380000,-16542000,4636000,-27441000,-3127000,37567000,-96641000,-30519000,-37908000,141864000,422679000,201408000,32687000,-49547000,32585000,24605000,-16547000
83,Cash Provided by Operating Activities,- -,- -,-700000,-100000,2200000,-300000,3700000,5900000,8100000,18500000,-200000,3607000,51166000,47534000,57097000,49094000,25741000,24037000,51687000,53220000,73131000,56542000,61804000,81319000,86260000,49619000,59514000,68808000,30105000,78527000,58846000,155567000,36210000
84,CAPEX,- -,- -,-400000,-800000,-700000,-3700000,-900000,-1200000,-2600000,-33200000,-444900000,-9845000,-6697000,-9112000,-17932000,-19454000,-8759000,-12827000,-20129000,-19330000,-21270000,-30593000,-28124000,-33163000,-38446000,-31108000,-32252000,-23624000,-22355000,-28819000,-33105000,-28092000,-22579000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14742000,-8277000,-10407000,-10450000,-19527000,-2792000,-693000,-14833000,-10911000,-11511000,-162250000,- -,-62500000,-9296000,-38097000,-10215000,- -,- -,-1978000,-36585000,-21801000,-80078000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7500000,- -,-2000000,- -,-4000000,-2000000,- -,-2294000,-2544000,-2543000,-555000,-598000,-66000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6495000,- -,- -,- -,- -,- -,- -,17135000,- -,- -,- -,- -
